PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,19:06:28,"McKnight, Bryce",822665,Right,ARI_WIL,Undefined,Sinker,NA,NA,91.83443,-2.805293,-2.851306,2273.1806,242.700905,02:00:00,5.59871,2.32183,5.22127,-23.013,10.77599,18.94473,1.03805,1.21756,84.79763,-7.020316,0.506119,0.418369,-10.22855,6.39709,-2.07353,50,5.32223,5.75739,-133.16183,-7.40982,-18.53843,26.07936,-20.5798,b0c9c45f-f1b6-45f5-b0cf-2546ba0a6885,NA,NA,NA,NA,NA,822162,"Forrester, Brandon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NMS_AGG,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,NMS_AGG,UArizona,D1,BIG12,20250429-UArizona-1,58a032e0-255f-11f0-831c-f76305248ce7,90.09383,NA,NA,7.0368,NA,NA,NA,21851411-6274-4df6-bd76-54ee1a8d90de,2025-04-30,01:06:28,2025-04-30T01:06:28Z,2025-04-30T01:06:28Z,NA,v3,232,471379,29 April 2025 21:00-nmstate@arizona,"Splaine, Thomas",1000016801,Right,ARI_WIL,55.28048,-134.19201,13.03968,5.59888,-6.59689,-10.2899,-2.31542,6.48969,-9.26922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-29,19:06:46,"McKnight, Bryce",822665,Right,ARI_WIL,Undefined,Sinker,NA,NA,90.22669,-1.117564,-3.373588,2184.747089,242.389294,02:00:00,5.69611,2.21685,5.14403,-26.46541,8.97812,14.9567,2.43646,0.28319,82.33551,-5.97794,-0.730069,0.428489,-8.46,5.11611,-1.913,50,5.5711,7.0189,-130.71919,-3.56518,-14.61299,27.99891,-23.33699,b8c088e9-4bf0-4ab1-91e6-5611e66ee39e,NA,NA,NA,NA,15.055567,822162,"Forrester, Brandon",2998.114247,NA,95.4876,Right,29.747508,106.5455,58.87271,27.35006,359.64926,358.15442,5.198946,12.433211,2.05112,2.29699,-0.33432,NA,NA,NA,NA,NA,1,2,NMS_AGG,1,Top,0,1,0,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,ARI_WIL,NMS_AGG,UArizona,D1,BIG12,20250429-UArizona-1,6375c9f0-255f-11f0-831c-f76305248ce7,87.96588,84.7747,NA,7.89118,NA,NA,NA,21851411-6274-4df6-bd76-54ee1a8d90de,2025-04-30,01:06:46,2025-04-30T01:06:46Z,2025-04-30T01:06:46Z,FlyBall,v3,232,471379,29 April 2025 21:00-nmstate@arizona,"Splaine, Thomas",1000016801,Right,ARI_WIL,55.35636,-131.86149,13.99946,5.69713,-2.61308,-11.6685,-2.21152,7.61508,-7.3065,179.919835,2.05398,117.36352,-22.50585,5.1644,-0.95855,0.13492,-0.01496,0.0014,-8e-5,2.29635,69.49504,-15.86997,0.45864,0.1293,-0.09257,0.02811,-0.00401,2.2e-4,-0.33346,31.56968,-6.08223,0.91544,-0.08674,0.0031,-9.1e-4,3.3e-4,-3e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
3,2025-04-29,19:07:27,"McKnight, Bryce",822665,Right,ARI_WIL,Undefined,Sinker,NA,NA,91.04599,-1.229773,-3.654664,2117.29508,260.279539,02:45:00,5.69777,2.12399,5.00776,-30.24876,4.1654,18.84615,2.01369,0.2401,84.54863,-6.700215,-0.331186,0.422221,-10.19008,2.64599,-1.78867,50,5.55487,7.54661,-132.10728,-4.08145,-18.30763,23.75798,-27.42025,0ef4e849-5e1a-4d51-8f12-295b1d1709ad,NA,NA,NA,NA,NA,814833,"Solorzano, Steve",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NMS_AGG,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,NMS_AGG,UArizona,D1,BIG12,20250429-UArizona-1,7c16df80-255f-11f0-831c-f76305248ce7,89.27179,NA,NA,6.49736,NA,NA,NA,21851411-6274-4df6-bd76-54ee1a8d90de,2025-04-30,01:07:27,2025-04-30T01:07:27Z,2025-04-30T01:07:27Z,NA,v3,232,471379,29 April 2025 21:00-nmstate@arizona,"Splaine, Thomas",1000016801,Right,ARI_WIL,55.49469,-133.09177,11.87899,5.70046,-2.9452,-13.71013,-2.11711,8.30524,-9.15381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-29,19:07:51,"McKnight, Bryce",822665,Right,ARI_WIL,Undefined,Slider,NA,NA,83.48253,0.364486,-2.664181,2349.974757,136.26971700000001,10:30:00,5.72519,2.07057,4.8125,-38.25037,3.09567,-1.86004,2.88333,-0.61011,77.33408,-6.528354,-2.990947,0.462795,0.27201,1.73047,-1.80386,50,5.72806,5.71826,-121.15952,-0.69729,0.40896,21.14507,-29.57241,eb7fa230-e19c-4278-9fd7-e449cd6c5dcf,NA,NA,NA,NA,-21.434366,814833,"Solorzano, Steve",1682.192092,NA,79.73781,Right,17.244593,100.45952,20.44673,-44.80891,208.98275,208.98275,2.229538,-27.081931,3.10112,2.88533,0.60575,NA,NA,NA,NA,NA,2,2,NMS_AGG,1,Top,1,1,0,Slider,InPlay,Undefined,LineDrive,Single,0,0,NA,ARI_WIL,NMS_AGG,UArizona,D1,BIG12,20250429-UArizona-1,8a1ea3b0-255f-11f0-831c-f76305248ce7,81.44527,20.45045,NA,6.14846,NA,NA,NA,21851411-6274-4df6-bd76-54ee1a8d90de,2025-04-30,01:07:51,2025-04-30T01:07:51Z,2025-04-30T01:07:51Z,LineDrive,v3,232,471379,29 April 2025 21:00-nmstate@arizona,"Splaine, Thomas",1000016801,Right,ARI_WIL,55.68938,-122.14841,10.57253,5.72833,0.68573,-14.78621,-2.07084,5.69913,0.20448,109.850108,3.10112,103.96673,-15.20835,3.64202,-0.78585,0.1528,-0.03034,0.00483,-3.1e-4,2.88533,34.66965,-18.05257,0.99329,-0.06025,-0.00773,0.00302,7.3e-4,-1.8e-4,0.60575,-40.81606,-2.63884,1.37975,-0.43975,0.10691,-0.0212,0.00272,-1.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2025-04-29,19:08:32,"McKnight, Bryce",822665,Right,ARI_WIL,Undefined,Slider,NA,NA,81.87361,1.408877,-0.744117,2229.934333,103.366266,09:30:00,5.69899,2.28895,4.44238,-41.35313,1.80732,-3.01764,3.59706,1.32771,76.34049,-5.98268,-1.271446,0.47284,1.30669,0.90445,-2.20706,50,5.80756,1.68054,-118.95887,1.27041,1.91189,18.31335,-30.85074,9a1ae83f-21f8-4eaf-a3e0-7279d0a46df4,NA,NA,NA,NA,NA,809621,"Namie, Mitch",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NMS_AGG,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,NMS_AGG,UArizona,D1,BIG12,20250429-UArizona-1,a2871d10-255f-11f0-831c-f76305248ce7,79.71496,NA,NA,5.53312,NA,NA,NA,21851411-6274-4df6-bd76-54ee1a8d90de,2025-04-30,01:08:32,2025-04-30T01:08:32Z,2025-04-30T01:08:32Z,NA,v3,232,471379,29 April 2025 21:00-nmstate@arizona,"Splaine, Thomas",1000016801,Right,ARI_WIL,56.0593,-119.88805,9.15668,5.7034,2.83571,-15.42537,-2.28987,1.58354,0.95594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-29,19:08:52,"McKnight, Bryce",822665,Right,ARI_WIL,Undefined,Sinker,NA,NA,90.45526,-1.09075,-2.626107,2097.7904360000002,238.53152,02:00:00,5.76769,2.13002,5.13352,-24.06958,10.72331,15.89611,2.7335,0.97988,83.54719,-5.502121,0.18531,0.424538,-8.55945,5.91559,-1.89639,50,5.64678,5.28358,-131.30969,-3.42208,-15.1232,24.68829,-21.72209,f4441908-1a90-4997-9932-3a1aad28968e,NA,NA,NA,NA,NA,809621,"Namie, Mitch",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NMS_AGG,1,Top,1,1,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,NMS_AGG,UArizona,D1,BIG12,20250429-UArizona-1,ae7c54f0-255f-11f0-831c-f76305248ce7,88.78458,NA,NA,6.90807,NA,NA,NA,21851411-6274-4df6-bd76-54ee1a8d90de,2025-04-30,01:08:52,2025-04-30T01:08:52Z,2025-04-30T01:08:52Z,NA,v3,232,471379,29 April 2025 21:00-nmstate@arizona,"Splaine, Thomas",1000016801,Right,ARI_WIL,55.3673,-132.31497,12.34414,5.76811,-2.53757,-10.86104,-2.12407,5.89938,-7.5616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-29,19:09:12,"McKnight, Bryce",822665,Right,ARI_WIL,Undefined,Sweeper,NA,NA,77.2574,0.783604,-1.796208,2359.281135,67.579993,08:15:00,5.57028,2.36372,4.63989,-51.80802,-2.87764,-10.51548,1.99805,-0.22014,71.35024,-8.492502,-3.640731,0.503455,4.67126,-1.19461,-2.16952,50,5.60288,3.95392,-112.06961,-0.3901,5.95813,19.70282,-33.69773,a7a70363-225f-4571-b60c-bfc371ce52b9,NA,NA,NA,NA,NA,809621,"Namie, Mitch",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NMS_AGG,1,Top,1,1,1,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,NMS_AGG,UArizona,D1,BIG12,20250429-UArizona-1,bafdc740-255f-11f0-831c-f76305248ce7,74.86754,NA,NA,5.90716,NA,NA,NA,21851411-6274-4df6-bd76-54ee1a8d90de,2025-04-30,01:09:12,2025-04-30T01:09:12Z,2025-04-30T01:09:12Z,NA,v3,232,471379,29 April 2025 21:00-nmstate@arizona,"Splaine, Thomas",1000016801,Right,ARI_WIL,55.8615,-113.09542,9.85141,5.57752,1.36433,-16.84886,-2.3673,3.64371,2.97907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-29,19:09:34,"McKnight, Bryce",822665,Right,ARI_WIL,Undefined,ChangeUp,NA,NA,85.38385,-0.258744,-2.732544,1673.782392,254.597897,02:30:00,5.76868,2.18269,6.02229,-33.50773,4.31024,11.70969,2.73644,0.62566,78.90061,-6.449824,-0.626617,0.442609,-6.76174,2.5954,-1.97516,50,5.72992,5.47142,-124.10245,-1.65737,-10.63679,22.81811,-28.09127,7b38253e-95a5-42ff-b763-9a4a640112c4,NA,NA,NA,NA,-71.089394,809621,"Namie, Mitch",4577.693859,NA,74.07091,Left,49.170999,26.49677,82.58944,-106.76077,236.43517,81.56652,4.461622,-80.730279,1.65301,2.82533,-1.06506,NA,NA,NA,NA,NA,3,4,NMS_AGG,1,Top,1,1,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,NMS_AGG,UArizona,D1,BIG12,20250429-UArizona-1,c7abc7d0-255f-11f0-831c-f76305248ce7,85.15963,84.81632,NA,6.48325,NA,NA,NA,21851411-6274-4df6-bd76-54ee1a8d90de,2025-04-30,01:09:34,2025-04-30T01:09:34Z,2025-04-30T01:09:34Z,Popup,v3,232,471379,29 April 2025 21:00-nmstate@arizona,"Splaine, Thomas",1000016801,Right,ARI_WIL,54.47953,-124.92337,11.40906,5.77137,-0.64675,-14.04563,-2.17888,5.8541,-5.3184,NA,1.65083,23.09655,-7.98688,3.09643,-1.74374,0.87714,-0.27518,0.04501,-0.0029,2.81799,82.37148,-25.0896,4.02326,-1.79695,0.69326,-0.16911,0.02193,-0.00115,-1.06081,-67.28834,5.76963,-1.57762,0.76918,-0.32074,0.08104,-0.01022,4.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
9,2025-04-29,19:09:58,"McKnight, Bryce",822665,Right,ARI_WIL,Undefined,Sinker,NA,NA,90.24537,-0.910804,-4.069448,2160.639585,240.667264,02:00:00,5.67999,2.17963,4.88438,-24.096,11.60009,18.6206,2.80805,-0.12515,82.48221,-5.331966,-0.798578,0.430013,-10.32138,6.30115,-1.79636,50,5.57044,8.409,-130.65459,-3.01959,-17.88686,26.87011,-21.25419,6aceec00-439d-4a20-bc73-d4f420310c53,NA,NA,NA,NA,-147.958734,809621,"Namie, Mitch",4286.070997,NA,63.46222,Left,40.42533,NA,NA,NA,NA,45.42461,NA,NA,2.10049,2.62355,-0.02681,NA,NA,NA,NA,NA,3,5,NMS_AGG,1,Top,1,1,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,NMS_AGG,UArizona,D1,BIG12,20250429-UArizona-1,d65486f0-255f-11f0-831c-f76305248ce7,87.6542,31.93442,NA,7.76317,NA,NA,NA,21851411-6274-4df6-bd76-54ee1a8d90de,2025-04-30,01:09:58,2025-04-30T01:09:58Z,2025-04-30T01:09:58Z,NA,v3,232,471379,29 April 2025 21:00-nmstate@arizona,"Splaine, Thomas",1000016801,Right,ARI_WIL,55.61616,-131.80454,13.43505,5.6802,-2.10999,-10.6271,-2.17261,9.1745,-8.94343,NA,2.10049,-60.06192,1.17118,1.01855,-0.26587,-0.13932,0.49169,-0.56802,0.25708,2.62355,60.35686,-27.89355,3.37645,-0.58302,-0.36329,1.02951,-1.15291,0.51335,-0.02681,-37.59102,3.80458,-0.21641,-0.01749,0.06315,-0.0939,0.09569,-0.04071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
10,2025-04-29,19:10:24,"McKnight, Bryce",822665,Right,ARI_WIL,Undefined,Sweeper,NA,NA,77.23059,2.203082,0.603631,2334.22502,60.057465,08:00:00,5.4577,2.40672,4.35591,-53.04074,-3.27729,-8.45902,3.1434,2.27847,70.60068,-7.293841,-0.872893,0.507723,4.2426,-1.69858,-2.46253,50,5.64124,-0.80701,-111.87242,2.25611,5.36709,20.51972,-34.32282,3094c048-3c84-40aa-80bc-2c179550e016,NA,NA,NA,NA,NA,809621,"Namie, Mitch",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NMS_AGG,1,Top,1,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,NMS_AGG,UArizona,D1,BIG12,20250429-UArizona-1,e54a2d90-255f-11f0-831c-f76305248ce7,74.23823,NA,NA,6.62991,NA,NA,NA,21851411-6274-4df6-bd76-54ee1a8d90de,2025-04-30,01:10:24,2025-04-30T01:10:24Z,2025-04-30T01:10:24Z,NA,v3,232,471379,29 April 2025 21:00-nmstate@arizona,"Splaine, Thomas",1000016801,Right,ARI_WIL,56.14372,-112.99369,10.25986,5.46671,4.13162,-17.16141,-2.41042,-1.10029,2.68355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
