PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,17:07:09,"Mitchell, Joey",10313750,Right,SHE_UNI,Undefined,Undefined,NA,NA,87.07625,-3.6589,-1.506937,2327.924274,211.032354,01:00:00,6.20564,1.12687,5.35634,-12.75036,26.1636,14.74304,1.70572,0.94184,77.22832,-6.18402,1.111701,0.448977,-7.88319,14.8682,-1.00208,50,5.86794,2.62978,-125.66584,-8.31852,-12.21507,32.81869,-9.13562,cdf11397-ac86-4e21-b46d-4ef70f2926cb,NA,NA,NA,NA,NA,1000243163,"Coogan, Corey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ROA_COL,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ROA_COL,BridgeforthField,D3,Team,20250502-BridgeforthField-4,694c6820-2799-11f0-b127-ef7de9afaa5a,83.95183,NA,NA,9.84793,NA,NA,NA,ecca2a52-e460-4406-a80b-ad39d4c9c949,2025-05-02,21:07:09,2025-05-02T21:07:09Z,2025-05-02T21:07:09Z,NA,v3,NA,roanoke,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,55.13787,-127.00055,16.40935,6.19869,-7.9469900000000004,-4.56781,-1.11913,3.12656,-6.10754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-02,17:07:24,"Mitchell, Joey",10313750,Right,SHE_UNI,Undefined,Undefined,NA,NA,81.01529,-0.7946,-4.752804,1902.663311,243.973012,02:15:00,5.95434,1.44407,5.23896,-34.01884,10.89508,18.64115,2.36996,-1.47996,72.43008,-7.094566,-1.459841,0.48234900000000003,-10.84528,6.23504,-1.02015,50,5.85644,8.91009,-116.86895,-2.77289,-14.65268,26.77308,-23.75011,bbb7c5ee-2410-494a-bd8c-10888dfbca13,NA,NA,NA,NA,NA,1000243163,"Coogan, Corey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ROA_COL,1,Top,0,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ROA_COL,BridgeforthField,D3,Team,20250502-BridgeforthField-4,72642290-2799-11f0-b127-ef7de9afaa5a,78.14342,NA,NA,8.58521,NA,NA,NA,ecca2a52-e460-4406-a80b-ad39d4c9c949,2025-05-02,21:07:24,2025-05-02T21:07:24Z,2025-05-02T21:07:24Z,NA,v3,NA,roanoke,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,55.25659,-118.06702,13.38654,5.95675,-1.7101,-11.87506,-1.43354,9.56578,-7.32634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-02,17:07:40,"Mitchell, Joey",10313750,Right,SHE_UNI,Undefined,Undefined,NA,NA,87.75703,-2.030304,-2.360194,2278.449464,238.63125,02:00:00,6.20744,0.99871,5.60697,-21.46084,16.52296,24.44367,2.52138,0.83124,77.68251,-6.120502,2.003484,0.443579,-13.18717,9.5667,-0.81265,50,6.0203,4.13068,-126.83334,-5.15894,-20.72983,34.38616,-17.13551,6349fb59-0de2-484f-b56b-10e7d4cc6aa5,NA,NA,NA,NA,-32.421727,1000243163,"Coogan, Corey",3604.474245,NA,73.03033,Left,9.621051,NA,NA,NA,119.9307,90.83925,1.269139,-37.491126,0.44136,2.42972,-0.84624,NA,NA,NA,NA,NA,1,3,ROA_COL,1,Top,0,1,1,Sinker,InPlay,Undefined,LineDrive,Out,1,0,NA,SHE_UNI,ROA_COL,BridgeforthField,D3,Team,20250502-BridgeforthField-4,7bbb2ff0-2799-11f0-b127-ef7de9afaa5a,84.97353,7.3514099999999996,NA,10.07452,NA,NA,NA,ecca2a52-e460-4406-a80b-ad39d4c9c949,2025-05-02,21:07:40,2025-05-02T21:07:40Z,2025-05-02T21:07:40Z,GroundBall,v3,NA,roanoke,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.88892,-128.15194,17.19308,6.20553,-4.50185,-8.56776,-0.98629,4.92559,-10.36492,101.509567,0.44136,89.1433,-13.5975,2.17833,-0.44305,0.06506,-0.0099,0.00159,-1.5e-4,2.42972,17.90157,-16.871,1.16328,-0.17666,0.03705,-0.00459,5.9e-4,-9e-5,-0.84624,-56.61949,-0.93267,0.85799,-0.27719,0.06832,-0.01403,0.00235,-2.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-05-02,17:08:08,"Mitchell, Joey",10313750,Right,SHE_UNI,Undefined,Undefined,NA,NA,88.31649,-1.404625,-1.63643,2403.916399,223.731916,01:30:00,6.3412,0.75081,5.63789,-18.89568,18.51847,16.19808,3.45533,0.57353,78.08724,-5.044917,1.256632,0.44024,-8.80036,10.33981,-0.62219,50,6.21032,2.92444,-127.71673,-3.68238,-14.02707,34.87001,-15.69322,4ef94e1d-0dc6-4112-a840-403ca57878c3,NA,NA,NA,NA,-10.138289,1000193363,"Moshier, Kyle",NA,NA,69.87066,Right,66.147511,103.468,101.36527,-37.3408,156.71402,80.14187,5.30206,-20.41869,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ROA_COL,1,Top,1,0,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,SHE_UNI,ROA_COL,BridgeforthField,D3,Team,20250502-BridgeforthField-4,8cb272f0-2799-11f0-b127-ef7de9afaa5a,85.61798,115.89895,NA,10.22926,NA,NA,NA,ecca2a52-e460-4406-a80b-ad39d4c9c949,2025-05-02,21:08:08,2025-05-02T21:08:08Z,2025-05-02T21:08:08Z,Popup,v3,NA,roanoke,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.85715,-129.03605,17.43501,6.33841,-3.08862,-7.84661,-0.74287,3.45515,-7.01354,157.368761,1.75056,40.68668,-6.62305,1.00572,0.3418,-0.25512,0.06873,-0.00878,4.4e-4,5.05525,93.92397,-24.64978,3.65661,-1.28308,0.36616,-0.06656,0.00642,-2.5e-4,-1.52078,-7.30517,-2.1768,0.55097,0.06914,-0.10323,0.03381,-0.00486,2.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
5,2025-05-02,17:08:38,"Mitchell, Joey",10313750,Right,SHE_UNI,Undefined,Undefined,NA,NA,88.25405,-2.462277,-1.337237,2270.064851,217.877602,01:15:00,6.41983,0.71263,5.52424,-15.93717,21.26667,15.41355,2.78764,0.74665,79.00821,-5.534325,1.410076,0.439001,-8.18406,11.954650000000001,-0.60671,50,6.19535,2.28509,-127.70181,-5.93323,-13.21854,31.66811,-12.86544,d3953c94-c97b-4dad-8182-fc23ab19b6ae,NA,NA,NA,NA,NA,1000093222,"Stallard, Parker",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ROA_COL,1,Top,2,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ROA_COL,BridgeforthField,D3,Team,20250502-BridgeforthField-4,9e87e0f0-2799-11f0-b127-ef7de9afaa5a,85.85966,NA,NA,9.24584,NA,NA,NA,ecca2a52-e460-4406-a80b-ad39d4c9c949,2025-05-02,21:08:38,2025-05-02T21:08:38Z,2025-05-02T21:08:38Z,NA,v3,NA,roanoke,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.97196,-128.92888,15.83406,6.41559,-5.43472,-6.43272,-0.70518,2.79728,-6.60927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-02,17:08:52,"Mitchell, Joey",10313750,Right,SHE_UNI,Undefined,Undefined,NA,NA,88.97449,-2.81008,-2.719143,2386.684389,216.357468,01:15:00,6.3991,0.71776,5.60419,-20.07037,16.44312,11.06611,2.09821,-0.90038,79.8521,-6.607047,-0.745376,0.434909,-6.46977,9.65335,-0.49199,50,6.14553,5.60898,-128.62661,-6.95011,-10.62277,31.64313,-16.32412,b07effc6-0a7d-4d55-a9ea-a3dc6d76ff83,NA,NA,NA,NA,NA,1000093222,"Stallard, Parker",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ROA_COL,1,Top,2,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ROA_COL,BridgeforthField,D3,Team,20250502-BridgeforthField-4,a6ec50f0-2799-11f0-b127-ef7de9afaa5a,86.66749,NA,NA,9.12239,NA,NA,NA,ecca2a52-e460-4406-a80b-ad39d4c9c949,2025-05-02,21:08:52,2025-05-02T21:08:52Z,2025-05-02T21:08:52Z,NA,v3,NA,roanoke,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.89158,-129.8244,15.82157,6.39692,-6.33219,-8.16206,-0.71192,6.01108,-5.31138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-02,17:09:07,"Mitchell, Joey",10313750,Right,SHE_UNI,Undefined,Undefined,NA,NA,89.10154,-2.535108,-4.084475,2423.650002,228.214311,01:30:00,6.41294,0.60681,5.7327,-19.48926,16.85387,17.26288,2.42036,-1.7649,79.75297,-6.246648,-1.004179,0.433893,-10.07579,9.81016,-0.27621,50,6.18929,8.41476,-128.69119,-6.29995,-16.54166,31.9472,-16.06845,24ae2649-8376-424e-afae-6476071cdd92,NA,NA,NA,NA,NA,1000093222,"Stallard, Parker",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,ROA_COL,1,Top,2,0,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ROA_COL,BridgeforthField,D3,Team,20250502-BridgeforthField-4,af7cda00-2799-11f0-b127-ef7de9afaa5a,86.87037,NA,NA,9.34857,NA,NA,NA,ecca2a52-e460-4406-a80b-ad39d4c9c949,2025-05-02,21:09:07,2025-05-02T21:09:07Z,2025-05-02T21:09:07Z,NA,v3,NA,roanoke,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.7635,-129.86833,15.9736,6.41051,-5.70789,-8.03423,-0.59749,9.02427,-8.27083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-02,17:09:21,"Mitchell, Joey",10313750,Right,SHE_UNI,Undefined,Undefined,NA,NA,84.59822,-1.9145,-2.951852,2460.924484,172.388904,11:45:00,6.15785,1.01205,5.36546,-35.55254,5.16713,-0.48638,1.39687,-1.79888,76.35269,-8.43269,-3.038253,0.459276,-0.74941,3.71516,-0.74651,50,5.96102,6.32823,-122.30845,-5.36967,-1.11281,28.55382,-26.65717,5d43666e-398d-4720-8907-4dd790c098b8,NA,NA,NA,NA,NA,1000093222,"Stallard, Parker",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,ROA_COL,1,Top,2,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ROA_COL,BridgeforthField,D3,Team,20250502-BridgeforthField-4,b7e89d00-2799-11f0-b127-ef7de9afaa5a,82.06927,NA,NA,8.24553,NA,NA,NA,ecca2a52-e460-4406-a80b-ad39d4c9c949,2025-05-02,21:09:21,2025-05-02T21:09:21Z,2025-05-02T21:09:21Z,NA,v3,NA,roanoke,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,55.1304,-123.50037,14.27691,6.16194,-4.25692,-13.32859,-1.01164,6.37468,-0.55641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-02,17:09:36,"Mitchell, Joey",10313750,Right,SHE_UNI,Undefined,Undefined,NA,NA,89.30794,-1.25768,-1.680479,2385.578845,216.648262,01:15:00,6.46311,0.60207,5.59012,-14.33347,22.10076,15.34127,4.09357,0.31086,79.31621,-4.06817,1.056248,0.434437,-8.22764,11.95257,-0.46742,50,6.3461,3.07157,-129.18499,-3.18984,-13.51894,33.8549,-12.53463,f3674f7d-47e7-4d22-a4a8-e22d9ed2c92e,NA,NA,NA,NA,NA,1000093222,"Stallard, Parker",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,ROA_COL,1,Top,2,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ROA_COL,BridgeforthField,D3,Team,20250502-BridgeforthField-4,c0e0e890-2799-11f0-b127-ef7de9afaa5a,86.76168,NA,NA,9.99174,NA,NA,NA,ecca2a52-e460-4406-a80b-ad39d4c9c949,2025-05-02,21:09:36,2025-05-02T21:09:36Z,2025-05-02T21:09:36Z,NA,v3,NA,roanoke,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.90295,-130.46356,16.92745,6.45762,-2.71646,-6.26732,-0.59307,3.58213,-6.75947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-02,17:09:56,"Mitchell, Joey",10313750,Right,SHE_UNI,Undefined,Undefined,NA,NA,83.68954,-1.423606,-1.65128,2364.689676,227.590648,01:30:00,6.141,0.917,5.43665,-35.86124,6.70717,5.19107,1.81859,-0.19719,73.43193,-8.101609,-0.72634,0.469586,-3.28925,4.52977,-0.77446,50,5.99106,3.25353,-120.76683,-4.23554,-4.6242,34.02546,-25.8059,f1ddf323-2c6c-439f-aa77-16fa93029447,NA,NA,NA,NA,105.588308,1000093222,"Stallard, Parker",5811.805045,NA,68.99428,Right,61.233536,NA,NA,NA,NA,47.46949,NA,NA,1.87263,1.33932,0.31635,NA,NA,NA,NA,NA,3,6,ROA_COL,1,Top,2,3,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ROA_COL,BridgeforthField,D3,Team,20250502-BridgeforthField-4,ccc83dc0-2799-11f0-b127-ef7de9afaa5a,80.26738,62.2477,NA,10.25761,NA,NA,NA,ecca2a52-e460-4406-a80b-ad39d4c9c949,2025-05-02,21:09:56,2025-05-02T21:09:56Z,2025-05-02T21:09:56Z,NA,v3,NA,roanoke,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,55.05504,-122.18277,17.01273,6.14498,-3.16166,-12.90295,-0.91385,3.44596,-2.3121,NA,1.87263,-13.08613,-6.3622,3.48313,-1.1023,0.3025,-0.06981,0.01054,-1.1e-4,1.33932,88.70327,-33.31443,5.31603,-1.10864,0.17739,0.00913,-0.02728,0.0083,0.31635,46.90623,-3.15167,-0.9234,0.50738,-0.19565,0.07209,-0.02597,0.00488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
