PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,14:01:30,"Pirko, Lukas",814556,Right,TEX_RAI,Undefined,Fastball,NA,NA,89.28952,-1.805588,-2.141864,1938.832634,203.561749,12:45:00,6.2763,2.36391,5.7224,-18.89029,16.33434,6.64284,3.01852,0.92147,81.82242,-5.356672,-0.954225,0.427164,-3.93362,9.11981,-2.18896,50,6.11367,4.55422,-129.56018,-4.6812,-6.70696,26.28038,-16.62454,1364b0d4-2685-4c8f-8504-fa168bb22628,NA,NA,NA,NA,NA,822310,"Bermudez, Will",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CAL_ANT,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_RAI,CAL_ANT,DanLawField,D1,BIG12,20250222-DanLawField-1,5b274110-f158-11ef-88d9-2b3c74b11fa7,88.23884,NA,NA,7.4671,NA,NA,NA,3f6271ab-712d-4557-a6d4-9ce47d8e9707,2025-02-22,20:01:30,2025-02-22T20:01:30Z,2025-02-22T20:01:30Z,NA,v3,2330,3031,22 February 2025 15:00-ucirvine@txtech,"Maxcey, Dylan",805263,Right,TEX_RAI,54.77645,-130.52545,13.14019,6.2744,-4.07059,-8.31227,-2.36076,4.80057,-3.35348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-22,14:01:43,"Pirko, Lukas",814556,Right,TEX_RAI,Undefined,Fastball,NA,NA,88.37022,-1.824197,-2.297641,1891.373375,187.388543,12:15:00,6.25394,2.32312,5.92806,-19.26607,16.39036,1.98284,2.95386,0.35528,81.10627,-5.45305,-1.94191,0.429774,-1.60559,9.19111,-2.14034,50,6.09678,5.05799,-128.22266,-4.6612,-2.6859,25.31951,-16.7989,cf8f6fd2-ec7d-4c60-80f2-2737218105ff,NA,NA,NA,NA,-156.271607,822310,"Bermudez, Will",1458.607204,NA,77.49902,Left,15.818551,NA,NA,NA,NA,34.23692,NA,NA,0.17136,2.58892,0.14327,NA,NA,NA,NA,NA,1,2,CAL_ANT,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TEX_RAI,CAL_ANT,DanLawField,D1,BIG12,20250222-DanLawField-1,630012e0-f158-11ef-88d9-2b3c74b11fa7,87.70284,10.79329,NA,7.26395,NA,NA,NA,3f6271ab-712d-4557-a6d4-9ce47d8e9707,2025-02-22,20:01:43,2025-02-22T20:01:43Z,2025-02-22T20:01:43Z,NA,v3,2330,3031,22 February 2025 15:00-ucirvine@txtech,"Maxcey, Dylan",805263,Right,TEX_RAI,54.56834,-129.1216,12.65975,6.25168,-4.06478,-8.39945,-2.32161,5.15335,-1.34295,87.870556,0.1724,-100.15855,5.49274,NA,NA,NA,NA,NA,NA,2.59054,30.91839,-17.78217,NA,NA,NA,NA,NA,NA,0.13728,-43.76302,17.48554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
3,2025-02-22,14:02:00,"Pirko, Lukas",814556,Right,TEX_RAI,Undefined,Fastball,NA,NA,89.94972,-1.817381,-2.515731,2052.250145,208.746941,01:00:00,6.39826,2.22153,5.67013,-18.35214,16.58454,8.47193,3.17222,0.58039,82.06571,-5.277077,-1.003171,0.425414,-5.02799,9.28414,-2.01448,50,6.23323,5.3631,-130.44715,-4.72607,-8.6476,27.91762,-16.20638,53d2f4c6-0790-4d78-85d3-851e8e647fc8,NA,NA,NA,NA,-155.143483,822310,"Bermudez, Will",1842.610177,NA,74.66201,Left,23.984998,NA,NA,NA,NA,33.92405,NA,NA,1.04242,2.81149,-0.28417,NA,NA,NA,NA,NA,1,3,CAL_ANT,1,Top,0,0,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TEX_RAI,CAL_ANT,DanLawField,D1,BIG12,20250222-DanLawField-1,6d46b060-f158-11ef-88d9-2b3c74b11fa7,88.6017,15.42025,NA,7.88401,NA,NA,NA,3f6271ab-712d-4557-a6d4-9ce47d8e9707,2025-02-22,20:02:00,2025-02-22T20:02:00Z,2025-02-22T20:02:00Z,NA,v3,2330,3031,22 February 2025 15:00-ucirvine@txtech,"Maxcey, Dylan",805263,Right,TEX_RAI,54.83008,-131.4768,13.95881,6.39651,-4.12835,-8.10319,-2.21816,5.68204,-4.3238,50.031133,1.04505,-90.87971,3.04118,NA,NA,NA,NA,NA,NA,2.81683,44.3138,-25.22071,NA,NA,NA,NA,NA,NA,-0.28854,-41.8919,11.17564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
4,2025-02-22,14:02:16,"Pirko, Lukas",814556,Right,TEX_RAI,Undefined,ChangeUp,NA,NA,79.38969,0.412193,-2.280872,1493.301081,237.483758,02:00:00,6.38465,2.1013,5.38033,-35.81675,9.47914,12.57796,3.78664,1.01014,72.54178,-6.183148,-0.04577,0.484396,-6.91744,5.1002,-1.90607,50,6.39656,4.07331,-115.13891,-0.35601,-9.27445,21.62612,-25.33605,93f30065-9b47-4940-9797-d8b036dd07b5,NA,NA,NA,NA,NA,822310,"Bermudez, Will",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CAL_ANT,1,Top,0,0,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_RAI,CAL_ANT,DanLawField,D1,BIG12,20250222-DanLawField-1,76a14030-f158-11ef-88d9-2b3c74b11fa7,77.81321,NA,NA,6.84791,NA,NA,NA,3f6271ab-712d-4557-a6d4-9ce47d8e9707,2025-02-22,20:02:16,2025-02-22T20:02:16Z,2025-02-22T20:02:16Z,NA,v3,2330,3031,22 February 2025 15:00-ucirvine@txtech,"Maxcey, Dylan",805263,Right,TEX_RAI,55.1185,-116.09632,10.81306,6.38749,0.76564,-12.66803,-2.09549,4.4839,-4.63722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-22,14:02:31,"Pirko, Lukas",814556,Right,TEX_RAI,Undefined,ChangeUp,NA,NA,79.15094,0.170656,-2.078782,1234.824469,264.130085,02:45:00,6.28482,2.26571,5.41374,-42.50435,3.12721,15.76568,2.90278,1.63114,72.31098,-7.61152,0.727845,0.486188,-8.46646,2.02614,-2.09182,50,6.27072,3.52474,-114.80744,-1.10384,-11.24477,22.22666,-29.48302,aa29eae5-6775-4791-9187-9cd3bffbf36d,NA,NA,NA,NA,NA,822310,"Bermudez, Will",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,CAL_ANT,1,Top,0,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_RAI,CAL_ANT,DanLawField,D1,BIG12,20250222-DanLawField-1,7ff23310-f158-11ef-88d9-2b3c74b11fa7,77.52648,NA,NA,6.83995,NA,NA,NA,3f6271ab-712d-4557-a6d4-9ce47d8e9707,2025-02-22,20:02:31,2025-02-22T20:02:31Z,2025-02-22T20:02:31Z,NA,v3,2330,3031,22 February 2025 15:00-ucirvine@txtech,"Maxcey, Dylan",805263,Right,TEX_RAI,55.08589,-115.78788,11.11333,6.29072,0.19669,-14.74151,-2.25824,4.02075,-5.62239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-22,14:02:45,"Pirko, Lukas",814556,Right,TEX_RAI,Undefined,Fastball,NA,NA,90.07709,-1.45848,-2.189061,2041.668085,212.229246,01:00:00,6.25835,2.37108,5.85769,-17.48572,17.10973,10.07134,3.44484,1.1755,82.06805,-4.779312,-0.383965,0.423332,-5.79197,9.51288,-2.1993,50,6.12976,4.56742,-130.71337,-3.85777,-9.98921,28.3653,-15.76745,711a140a-9187-4932-ba3f-a62a4aacb958,NA,NA,NA,NA,-36.308168,822310,"Bermudez, Will",3444.266227,NA,91.16942,Left,19.513001,83.38952,31.71786,-71.73622,283.92763,228.79291,3.093484,-46.619558,0.87615,3.42567,-1.13068,NA,NA,NA,NA,NA,1,6,CAL_ANT,1,Top,0,2,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TEX_RAI,CAL_ANT,DanLawField,D1,BIG12,20250222-DanLawField-1,88216240-f158-11ef-88d9-2b3c74b11fa7,89.03761,34.88214,NA,8.00903,NA,NA,NA,3f6271ab-712d-4557-a6d4-9ce47d8e9707,2025-02-22,20:02:45,2025-02-22T20:02:45Z,2025-02-22T20:02:45Z,LineDrive,v3,2330,3031,22 February 2025 15:00-ucirvine@txtech,"Maxcey, Dylan",805263,Right,TEX_RAI,54.64253,-131.71697,14.18265,6.25638,-3.2999,-7.88372,-2.36716,4.92085,-4.9946,123.18155,0.87623,101.56307,-22.17756,5.36141,-1.08631,0.13044,0.00555,-0.00527,6.5e-4,3.42556,44.66632,-16.78675,0.6893,-0.07452,0.07121,-0.03798,0.00981,-9.6e-4,-1.13073,-74.62555,2.40221,0.64753,-0.40245,0.13747,-0.03409,0.00539,-4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-02-22,14:03:21,"Pirko, Lukas",814556,Right,TEX_RAI,Undefined,Fastball,NA,NA,90.64939,-1.743607,-3.288118,1976.862476,195.075352,12:30:00,6.33175,2.24756,5.85287,-14.24009,20.2158,5.12134,3.52176,-0.38431,82.03532,-4.493895,-2.372218,0.422477,-3.63063,11.22634,-1.98315,50,6.18169,7.32283,-131.3087,-4.38937,-6.27732,30.32329,-12.76389,2b91e342-0c09-4c94-a8b7-70483fab2b21,NA,NA,NA,NA,-170.475372,822310,"Bermudez, Will",1227.427433,NA,71.45175,Left,19.747704,NA,NA,NA,NA,32.70515,NA,NA,1.10711,3.5318,0.36941,NA,NA,NA,NA,NA,1,7,CAL_ANT,1,Top,0,2,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TEX_RAI,CAL_ANT,DanLawField,D1,BIG12,20250222-DanLawField-1,9d75e4e0-f158-11ef-88d9-2b3c74b11fa7,89.21771,13.41982,NA,8.61407,NA,NA,NA,3f6271ab-712d-4557-a6d4-9ce47d8e9707,2025-02-22,20:03:21,2025-02-22T20:03:21Z,2025-02-22T20:03:21Z,NA,v3,2330,3031,22 February 2025 15:00-ucirvine@txtech,"Maxcey, Dylan",805263,Right,TEX_RAI,54.64624,-132.37731,15.16165,6.32845,-3.93956,-6.38195,-2.24511,7.54404,-3.13866,323.949377,1.10538,-97.20774,7.88731,NA,NA,NA,NA,NA,NA,3.53526,35.27787,-20.67965,NA,NA,NA,NA,NA,NA,0.36992,-16.34002,-0.28914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
8,2025-02-22,14:03:43,"Pirko, Lukas",814556,Right,TEX_RAI,Undefined,Fastball,NA,NA,90.1395,-3.096233,-3.266035,1988.525458,211.038912,01:00:00,6.26377,2.15574,5.83848,-16.49965,18.18446,10.24934,2.00354,-0.02904,82.24882,-6.227256,-1.432054,0.423874,-6.20902,10.54434,-1.89552,50,6.00123,7.01873,-130.55904,-7.56561,-10.68928,28.15286,-14.02116,10a07db7-0ec2-44ff-9198-25c656ef3ffe,NA,NA,NA,NA,-61.215122,822310,"Bermudez, Will",5187.938789,NA,70.43941,Left,43.90887,39.58773,66.38578,-102.6293,212.2188,105.30058,4.019413,-75.121932,1.43229,2.23207,-0.24832,NA,NA,NA,NA,NA,1,8,CAL_ANT,1,Top,0,2,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TEX_RAI,CAL_ANT,DanLawField,D1,BIG12,20250222-DanLawField-1,aaba3200-f158-11ef-88d9-2b3c74b11fa7,88.9237,66.74686,NA,7.89068,NA,NA,NA,3f6271ab-712d-4557-a6d4-9ce47d8e9707,2025-02-22,20:03:43,2025-02-22T20:03:43Z,2025-02-22T20:03:43Z,FlyBall,v3,2330,3031,22 February 2025 15:00-ucirvine@txtech,"Maxcey, Dylan",805263,Right,TEX_RAI,54.66262,-131.56061,14.07643,6.26151,-7.06679,-7.01058,-2.15198,7.39902,-5.34464,NA,1.41505,36.29837,-14.5552,8.25099,-5.84233,3.01615,-0.91975,0.14593,-0.00922,2.23446,71.5653,-22.35967,0.90335,1.13299,-0.92933,0.3429,-0.06248,0.00448,-0.25428,-65.05979,3.79688,1.73606,-2.35289,1.40874,-0.46006,0.07795,-0.00532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
9,2025-02-22,14:04:06,"Pirko, Lukas",814556,Right,TEX_RAI,Undefined,ChangeUp,NA,NA,79.72443,-0.330084,-1.738889,1166.285014,237.313802,02:00:00,6.2942,2.18281,5.48763,-35.25518,9.51276,12.54493,3.04731,1.60087,72.86848,-6.830436,0.496671,0.481565,-6.76705,5.35654,-2.03887,50,6.24168,3.00102,-115.66022,-1.82033,-9.14157,22.12074,-24.93793,1332a294-c88d-4fcf-9dd0-88838e493093,NA,NA,NA,NA,NA,822310,"Bermudez, Will",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,CAL_ANT,1,Top,0,2,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_RAI,CAL_ANT,DanLawField,D1,BIG12,20250222-DanLawField-1,b857e9c0-f158-11ef-88d9-2b3c74b11fa7,78.27074,NA,NA,6.85595,NA,NA,NA,3f6271ab-712d-4557-a6d4-9ce47d8e9707,2025-02-22,20:04:06,2025-02-22T20:04:06Z,2025-02-22T20:04:06Z,NA,v3,2330,3031,22 February 2025 15:00-ucirvine@txtech,"Maxcey, Dylan",805263,Right,TEX_RAI,55.01064,-116.6146,11.06037,6.29701,-0.74441,-12.46897,-2.17685,3.39543,-4.57079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-22,14:04:24,"Pirko, Lukas",814556,Right,TEX_RAI,Undefined,ChangeUp,NA,NA,78.22008,0.173897,-3.110289,1168.142925,243.615631,02:00:00,6.2178,2.16283,5.72497,-39.71486,6.31886,9.79603,3.07044,0.07931,71.71986,-7.145447,-1.359642,0.488326,-5.81859,3.63764,-1.90889,50,6.20803,5.78884,-113.45615,-0.90815,-7.58505,20.737,-27.43205,afd4744a-15ba-41db-abe2-eab05139ddc6,NA,NA,NA,NA,NA,822310,"Bermudez, Will",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,CAL_ANT,1,Top,0,3,2,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,TEX_RAI,CAL_ANT,DanLawField,D1,BIG12,20250222-DanLawField-1,c2e6dae0-f158-11ef-88d9-2b3c74b11fa7,77.18709,NA,NA,6.50021,NA,NA,NA,3f6271ab-712d-4557-a6d4-9ce47d8e9707,2025-02-22,20:04:24,2025-02-22T20:04:24Z,2025-02-22T20:04:24Z,NA,v3,2330,3031,22 February 2025 15:00-ucirvine@txtech,"Maxcey, Dylan",805263,Right,TEX_RAI,54.77454,-114.32549,10.3685,6.22199,0.24186,-13.71602,-2.15824,6.10682,-3.79253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.78478,NA,NA,0.932104,NA,NA,NA,0.49989,5.59177,-1.60451,73.12774,10.91418,-51.68431,0.56797,83.86866,-6.43667,5.61569,17.77777,-12.96389,-1.67031,-59.06521,5.77743,High,High,High,NA,NA,High,High,High
