PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-12,13:34:28,"Fix, Isaac",801694,Left,DAV_WIL,Undefined,Fastball,NA,NA,89.83005,-2.146799,4.114513,2215.814108,132.632102,10:30:00,5.68585,-2.57513,5.39343,-17.84052,18.28351,-18.34422,2.18102,-0.24105,80.46897,-5.543759,0.862589,0.432583,10.58985,10.2893,2.22073,50,5.48178,-8.49375,-129.75717,-5.43836,17.70784,32.01608,-14.96876,3062f454-8e1e-4df6-89be-0f4adbe22417,NA,NA,NA,NA,NA,813662,"Blazier, Ian",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SLU_BILL,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250412-WilsonField-1,6304c050-17c4-11f0-99f5-3198f9937bb1,87.13342,NA,NA,9.36108,NA,NA,NA,dd6db79d-36b0-4584-a353-3168e17dde53,2025-04-12,17:34:28,2025-04-12T17:34:28Z,2025-04-12T17:34:28Z,NA,v3,471280,471427,12 April 2025 13:30-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,55.10429,-131.01054,16.00804,5.68322,-4.85236,-7.48438,2.56681,-9.18698,8.85392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-12,13:34:46,"Fix, Isaac",801694,Left,DAV_WIL,Undefined,Fastball,NA,NA,89.46722,-1.739755,5.005093,2179.907908,144.53803,10:45:00,5.63991,-2.46192,5.46037,-18.12288,17.92769,-11.8591,2.49447,1.2467,80.89584,-5.167431,2.906154,0.432143,7.47229,9.91449,2.02824,50,5.47403,-10.78051,-129.22819,-4.51246,12.52595,29.11874,-15.55421,21c9d01e-5de7-4e0d-bebd-3df4b51489a4,NA,NA,NA,NA,NA,813662,"Blazier, Ian",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SLU_BILL,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250412-WilsonField-1,6d94e9f0-17c4-11f0-99f5-3198f9937bb1,87.22215,NA,NA,8.57138,NA,NA,NA,dd6db79d-36b0-4584-a353-3168e17dde53,2025-04-12,17:34:46,2025-04-12T17:34:46Z,2025-04-12T17:34:46Z,NA,v3,471280,471427,12 April 2025 13:30-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,55.0373,-130.35829,14.55937,5.63744,-3.9088,-7.7771,2.45607,-11.26664,6.26298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-12,13:35:02,"Fix, Isaac",801694,Left,DAV_WIL,Undefined,Slider,NA,NA,81.71932,-1.229736,4.559444,2211.499269,110.165566,09:45:00,5.73276,-2.75874,5.38335,-42.48298,2.20079,-0.65114,1.03595,1.46995,72.33483,-9.038765,4.444103,0.481112,2.17669,2.13205,2.35058,50,5.59306,-9.36041,-117.7212,-4.005,2.92496,31.16456,-29.30908,10186be7-a728-4df1-9fbf-97aa18b7d1ea,NA,NA,NA,NA,NA,813662,"Blazier, Ian",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,SLU_BILL,1,Top,0,1,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250412-WilsonField-1,77af4750-17c4-11f0-99f5-3198f9937bb1,78.34441,NA,NA,9.38449,NA,NA,NA,dd6db79d-36b0-4584-a353-3168e17dde53,2025-04-12,17:35:02,2025-04-12T17:35:02Z,2025-04-12T17:35:02Z,NA,v3,471280,471427,12 April 2025 13:30-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,55.11098,-119.06656,15.58228,5.73864,-2.73975,-14.65454,2.75739,-9.48668,1.46248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-12,13:35:19,"Fix, Isaac",801694,Left,DAV_WIL,Undefined,Slider,NA,NA,81.02486,-1.627435,3.760034,2345.1811,335.810493,05:15:00,5.7089,-2.41493,5.10982,-50.15286,-4.33488,2.8341,-0.00751,1.36885,72.11681,-10.720115,4.261233,0.48718,0.10024,-1.08787,2.05781,50,5.51613,-7.79545,-116.82168,-5.13637,0.13256,30.77238,-33.61303,82a8fbbe-e840-407f-87a0-aeff56ce99da,NA,NA,NA,NA,NA,813662,"Blazier, Ian",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,SLU_BILL,1,Top,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250412-WilsonField-1,817e6ae0-17c4-11f0-99f5-3198f9937bb1,77.36863,NA,NA,8.90804,NA,NA,NA,dd6db79d-36b0-4584-a353-3168e17dde53,2025-04-12,17:35:19,2025-04-12T17:35:19Z,2025-04-12T17:35:19Z,NA,v3,471280,471427,12 April 2025 13:30-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,55.38782,-118.23239,15.38619,5.71628,-3.59544,-16.80651,2.41532,-7.80153,0.06628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-12,13:35:56,"Fix, Isaac",801694,Left,DAV_WIL,Undefined,Cutter,NA,NA,85.82663,0.106505,3.266572,2441.380946,158.026496,11:15:00,5.57395,-2.6332,5.52489,-33.01632,5.3717,-1.70071,2.92233,0.28233,78.87713,-5.951728,2.964135,0.445932,1.73646,3.02028,2.35,50,5.56106,-7.03503,-124.50552,-0.9367,2.73616,24.10081,-27.41497,98b3e679-d9eb-4bb8-ab9f-85ba63500039,NA,NA,NA,NA,-4.262239,1000094154,"Iffrig, Riley",4378.941141,NA,96.36916,Left,44.358442,108.99341,101.22174,-14.84561,301.08226,295.92772,5.98406,-20.666649,1.31299,3.06187,-0.27935,NA,NA,NA,NA,NA,2,1,SLU_BILL,1,Top,1,0,0,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250412-WilsonField-1,975ed9d0-17c4-11f0-99f5-3198f9937bb1,84.525,128.39911,NA,6.94949,NA,NA,NA,dd6db79d-36b0-4584-a353-3168e17dde53,2025-04-12,17:35:56,2025-04-12T17:35:56Z,2025-04-12T17:35:56Z,FlyBall,v3,471280,471427,12 April 2025 13:30-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,54.97578,-125.46499,12.05041,5.57662,0.15471,-13.70748,2.63223,-7.14396,1.36808,168.949463,1.34813,100.17911,-22.48587,3.47214,0.53419,-0.44315,0.09937,-0.00986,3.7e-4,3.06163,98.79628,-23.61163,1.95427,0.04141,-0.17125,0.0545,-0.00723,3.5e-4,-0.27828,-7.54421,-1.20541,-1.01275,0.63003,-0.23099,0.05046,-0.00578,2.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
6,2025-04-12,13:36:33,"Fix, Isaac",801694,Left,DAV_WIL,Undefined,Cutter,NA,NA,85.07559,-1.235846,3.489811,2416.201181,170.355457,11:45:00,5.51874,-2.47735,5.69588,-31.19576,7.49241,-1.08284,1.76506,0.68867,78.67239,-6.963702,3.296627,0.447673,1.44724,4.45252,2.18461,50,5.39507,-7.48531,-123.44912,-3.72145,2.25124,22.7354,-25.24807,3e66b13f-f654-4c11-8df0-9d9084ab310a,NA,NA,NA,NA,NA,809738,"Sitzman, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,SLU_BILL,1,Top,2,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250412-WilsonField-1,adc67a20-17c4-11f0-99f5-3198f9937bb1,84.19644,NA,NA,6.40319,NA,NA,NA,dd6db79d-36b0-4584-a353-3168e17dde53,2025-04-12,17:36:33,2025-04-12T17:36:33Z,2025-04-12T17:36:33Z,NA,v3,471280,471427,12 April 2025 13:30-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,54.80568,-124.33102,11.3677,5.52043,-2.74208,-12.62404,2.47666,-7.57264,1.12562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-12,13:36:47,"Fix, Isaac",801694,Left,DAV_WIL,Undefined,Sinker,NA,NA,88.01403,-1.79741,4.131446,2181.276697,111.42749,09:45:00,5.45713,-2.85631,5.63821,-29.26387,7.29485,-15.60422,1.33671,-0.29562,80.63469,-7.188281,1.350097,0.435178,9.10646,4.53729,2.51497,50,5.28518,-8.54975,-127.49628,-5.04001,14.99286,26.1553,-24.70389,70a5329d-39b9-4d20-b41c-0d042b99a905,NA,NA,NA,NA,19.138638,809738,"Sitzman, Ethan",3187.633149,NA,94.38314,Right,11.405592,100.82745,13.68286,43.9747,206.57813,206.57813,1.941272,27.80692,0.7988,1.2414,0.23984,NA,NA,NA,NA,NA,3,2,SLU_BILL,1,Top,2,0,1,Changeup,InPlay,Undefined,LineDrive,Single,0,0,NA,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250412-WilsonField-1,b5e15e00-17c4-11f0-99f5-3198f9937bb1,86.61382,13.68273,NA,7.37934,NA,NA,NA,dd6db79d-36b0-4584-a353-3168e17dde53,2025-04-12,17:36:47,2025-04-12T17:36:47Z,2025-04-12T17:36:47Z,LineDrive,v3,471280,471427,12 April 2025 13:30-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,54.86305,-128.49004,13.07765,5.45885,-4.1014,-12.35194,2.85063,-9.1194,7.49643,246.262888,0.7988,128.19452,-25.60657,5.84519,-1.34388,0.30619,-0.06415,0.01,-7.9e-4,1.2414,27.37464,-15.74246,0.82184,-0.08574,0.00217,0.00246,-5e-4,4e-5,0.23984,44.48821,4.33603,-1.41161,0.40246,-0.10472,0.02343,-0.00379,3.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-04-12,13:37:23,"Fix, Isaac",801694,Left,DAV_WIL,Undefined,Cutter,NA,NA,85.56296,-1.154874,3.721903,2485.203404,154.447318,11:15:00,5.60722,-2.65106,5.69257,-29.58931,8.62587,-3.59992,2.06271,0.52257,79.14461,-6.596281,3.07999,0.444928,2.77815,5.00433,2.34018,50,5.49129,-7.93083,-124.14177,-3.50714,4.37742,22.59826,-24.28895,0b73d50c-326f-456e-984c-68c4b1365659,NA,NA,NA,NA,-37.621094,695679,"McGwire, Max",2253.018387,NA,76.9272,Right,26.319559,83.83932,37.65025,-71.21052,239.93185,225.13871,3.245307,-44.719682,1.90821,2.10773,-0.47864,NA,NA,NA,NA,NA,4,1,SLU_BILL,1,Top,2,0,0,Slider,InPlay,Undefined,LineDrive,Double,0,0,NA,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250412-WilsonField-1,cbbb3d40-17c4-11f0-99f5-3198f9937bb1,84.71589,38.91492,NA,6.41835,NA,NA,NA,dd6db79d-36b0-4584-a353-3168e17dde53,2025-04-12,17:37:23,2025-04-12T17:37:23Z,2025-04-12T17:37:23Z,LineDrive,v3,471280,471427,12 April 2025 13:30-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,54.80889,-125.0141,11.29913,5.60857,-2.56955,-12.14447,2.64959,-8.0998,2.18871,NA,1.90831,80.09761,-14.61288,2.97662,-0.49665,0.03154,0.01581,-0.00555,5.8e-4,2.1075,50.03381,-19.07097,1.95206,-0.62659,0.25883,-0.0872,0.01712,-0.00139,-0.47868,-61.73212,5.12297,-1.04391,0.17274,-0.00983,-0.00606,0.00205,-2.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-04-12,13:38:08,"Fix, Isaac",801694,Left,DAV_WIL,Undefined,Slider,NA,NA,82.35308,-1.771214,3.516379,2254.15982,249.89626,02:15:00,5.65004,-2.54468,5.47388,-40.81132,1.91256,0.96972,0.58794,0.83088,74.67643,-9.224114,3.688907,0.470443,0.67972,1.91437,2.23465,50,5.46616,-7.35929,-119.13205,-5.09177,0.95816,26.97374,-29.47552,70aff64c-1c89-4b97-a0f8-b285ad4b6a70,NA,NA,NA,NA,NA,10083882,"Stressler, Brenden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,SLU_BILL,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250412-WilsonField-1,e67bfe80-17c4-11f0-99f5-3198f9937bb1,80.12118,NA,NA,7.67665,NA,NA,NA,dd6db79d-36b0-4584-a353-3168e17dde53,2025-04-12,17:38:08,2025-04-12T17:38:08Z,2025-04-12T17:38:08Z,NA,v3,471280,471427,12 April 2025 13:30-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,55.02617,-120.26468,13.48687,5.65398,-3.85408,-14.73776,2.54451,-7.39952,0.47908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-12,13:38:23,"Fix, Isaac",801694,Left,DAV_WIL,Undefined,Slider,NA,NA,81.11697,-1.565065,4.237455,2242.084705,312.007944,04:30:00,5.65259,-2.57984,5.10448,-46.58349,-1.89169,3.87862,0.29155,1.74338,73.78692,-9.967883,4.921849,0.481155,-0.54843,-0.05165,2.17627,50,5.46798,-8.84322,-117.19695,-4.89401,-0.74907,25.86123,-32.24461,25c8a516-e715-4164-935d-3afd84b1de3c,NA,NA,NA,NA,NA,10083882,"Stressler, Brenden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,SLU_BILL,1,Top,2,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250412-WilsonField-1,ef788fd0-17c4-11f0-99f5-3198f9937bb1,78.33735,NA,NA,7.33006,NA,NA,NA,dd6db79d-36b0-4584-a353-3168e17dde53,2025-04-12,17:38:23,2025-04-12T17:38:23Z,2025-04-12T17:38:23Z,NA,v3,471280,471427,12 April 2025 13:30-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,55.39567,-118.38159,12.93061,5.65834,-3.41695,-16.12231,2.58057,-8.80891,-0.37454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
