PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-25,15:03:11,"Curless, Tristan",1000119183,Left,ETS_BUC,Undefined,Fastball,NA,NA,87.83274,-1.609589,5.167818,2102.107955,149.215914,11:00:00,5.85769,-3.17707,6.13536,-17.34174,18.47107,-10.3719,2.91843,0.74792,80.86728,-4.900011,3.310004,0.430716,6.64465,10.27347,2.78688,50,5.72512,-11.09008,-127.21685,-4.06785,10.99601,23.70372,-15.17284,5bbd7ef2-4df7-41fb-ba6d-88640baacf05,NA,NA,NA,NA,NA,1000192101,"Church, Braxton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,APP_MOU,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,APP_MOU,EastTennesseeState,D1,SOCON,20250225-EastTennesseeState-1,8ad9a670-f3b3-11ef-b22e-b37c3623ac65,87.51118,NA,NA,6.96547,NA,NA,NA,1b1ae813-13b4-40ec-8593-2a62b004ae41,2025-02-25,20:03:11,2025-02-25T20:03:11Z,2025-02-25T20:03:11Z,NA,v3,4844,471230,NA,"Juarez, Gabe",1000242087,Right,ETS_BUC,54.36445,-128.02747,11.85186,5.85535,-3.54896,-7.58642,3.17257,-11.46612,5.49801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-25,15:03:30,"Curless, Tristan",1000119183,Left,ETS_BUC,Undefined,Fastball,NA,NA,87.95615,-0.12267,3.566508,2145.897921,136.861512,10:30:00,5.84285,-3.14046,6.06238,-21.8521,13.95761,-12.05536,3.90809,-0.83994,80.59143,-4.237128,1.401718,0.430697,7.14178,7.55567,2.86969,50,5.82154,-7.46307,-127.64563,-0.93888,11.83548,25.17988,-19.65264,4d4c5d18-e60b-4639-a2b3-71250f9c3b75,NA,NA,NA,NA,NA,1000192101,"Church, Braxton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,APP_MOU,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,APP_MOU,EastTennesseeState,D1,SOCON,20250225-EastTennesseeState-1,96366ee0-f3b3-11ef-b22e-b37c3623ac65,87.515,NA,NA,7.36472,NA,NA,NA,1b1ae813-13b4-40ec-8593-2a62b004ae41,2025-02-25,20:03:30,2025-02-25T20:03:30Z,2025-02-25T20:03:30Z,NA,v3,4844,471230,NA,"Juarez, Gabe",1000242087,Right,ETS_BUC,54.43696,-128.5179,12.58994,5.84227,-0.25808,-9.82632,3.13533,-7.87307,5.91774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-25,15:03:48,"Curless, Tristan",1000119183,Left,ETS_BUC,Undefined,Fastball,NA,NA,88.20348,-2.621289,3.360116,2124.501511,145.622495,10:45:00,5.75688,-3.03167,5.97732,-17.98489,17.72462,-11.37957,1.82232,-0.86156,81.13963,-6.017127,1.3187,0.430094,6.74516,10.13749,2.77212,50,5.53912,-7.05003,-127.92401,-6.39441,11.24855,24.81447,-15.2683,d086f111-bfe1-46be-a0e7-ca7050cfcbd1,NA,NA,NA,NA,NA,1000192101,"Church, Braxton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,APP_MOU,1,Top,0,1,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,APP_MOU,EastTennesseeState,D1,SOCON,20250225-EastTennesseeState-1,a0f39bf0-f3b3-11ef-b22e-b37c3623ac65,87.63769,NA,NA,7.06385,NA,NA,NA,1b1ae813-13b4-40ec-8593-2a62b004ae41,2025-02-25,20:03:48,2025-02-25T20:03:48Z,2025-02-25T20:03:48Z,NA,v3,4844,471230,NA,"Juarez, Gabe",1000242087,Right,ETS_BUC,54.52318,-128.79842,12.40723,5.75496,-5.85639,-7.63415,3.02753,-7.4464,5.62428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-25,15:04:08,"Curless, Tristan",1000119183,Left,ETS_BUC,Undefined,Cutter,NA,NA,79.40725,-0.814876,4.837579,2158.068256,241.511652,02:00:00,5.71221,-2.83238,6.0387,-40.1786,3.91303,4.84638,1.60673,2.06142,73.56091,-8.184839,5.704778,0.477914,-1.22634,2.62122,2.45157,50,5.62662,-9.91266,-115.06795,-2.86665,-1.65215,20.38964,-28.64274,0be19e91-3fa6-4344-a03b-13eae0d2ef23,NA,NA,NA,NA,NA,1000192101,"Church, Braxton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,APP_MOU,1,Top,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,APP_MOU,EastTennesseeState,D1,SOCON,20250225-EastTennesseeState-1,ad075850-f3b3-11ef-b22e-b37c3623ac65,78.86871,NA,NA,5.84634,NA,NA,NA,1b1ae813-13b4-40ec-8593-2a62b004ae41,2025-02-25,20:04:08,2025-02-25T20:04:08Z,2025-02-25T20:04:08Z,NA,v3,4844,471230,NA,"Juarez, Gabe",1000242087,Right,ETS_BUC,54.46197,-115.85589,10.19482,5.71601,-1.75976,-14.32137,2.83341,-9.84881,-0.82607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-25,15:04:27,"Curless, Tristan",1000119183,Left,ETS_BUC,Undefined,Fastball,NA,NA,88.26634,-0.798828,3.879932,2261.278171,141.508881,10:45:00,5.85272,-2.97693,6.16241,-19.67497,15.58772,-11.58154,3.47346,-0.3524,81.32478,-4.512409,1.797493,0.427395,7.00847,8.59796,2.68827,50,5.78179,-8.23837,-128.14671,-2.36948,11.76572,24.10485,-17.73989,55fd2be6-c177-469f-8d57-86a441d4db2e,NA,NA,NA,NA,26.552206,1000192101,"Church, Braxton",2597.573589,NA,75.6682,Left,30.417549,97.5297,51.47789,50.87184,286.39366,279.28898,4.185416,28.843865,1.89938,3.59315,0.41458,NA,NA,NA,NA,NA,1,5,APP_MOU,1,Top,0,2,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,ETS_BUC,APP_MOU,EastTennesseeState,D1,SOCON,20250225-EastTennesseeState-1,b824a6c0-f3b3-11ef-b22e-b37c3623ac65,88.19116,57.22198,NA,6.94155,NA,NA,NA,1b1ae813-13b4-40ec-8593-2a62b004ae41,2025-02-25,20:04:27,2025-02-25T20:04:27Z,2025-02-25T20:04:27Z,FlyBall,v3,4844,471230,NA,"Juarez, Gabe",1000242087,Right,ETS_BUC,54.33894,-128.9603,12.05242,5.85166,-1.77072,-8.86994,2.97304,-8.63549,5.88286,195.625255,1.90083,85.57108,-12.68604,2.52654,-0.0703,-0.20524,0.07673,-0.01161,6.6e-4,3.59164,56.22538,-15.93099,0.95527,-0.39234,0.16886,-0.03506,0.0031,-8e-5,0.41531,42.76016,-3.86831,0.3132,0.17948,-0.12309,0.03705,-0.0054,3.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
6,2025-02-25,15:05:04,"Curless, Tristan",1000119183,Left,ETS_BUC,Undefined,ChangeUp,NA,NA,76.85789,-0.769629,3.516526,1776.805718,112.413759,09:45:00,5.56682,-2.98907,6.2346,-39.4088,7.0052,-13.68261,1.57138,-0.88116,71.17715,-8.067928,1.047255,0.490338,8.04197,4.23603,2.73326,50,5.48961,-6.39795,-111.63554,-2.61332,10.22621,18.65795,-26.78747,5e0110a7-b60b-4aa1-9c84-2ad8c2efdfc6,NA,NA,NA,NA,NA,695523,"Correa, Juan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,APP_MOU,1,Top,1,0,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,APP_MOU,EastTennesseeState,D1,SOCON,20250225-EastTennesseeState-1,cdfcb140-f3b3-11ef-b22e-b37c3623ac65,76.87028,NA,NA,5.68074,NA,NA,NA,1b1ae813-13b4-40ec-8593-2a62b004ae41,2025-02-25,20:05:04,2025-02-25T20:05:04Z,2025-02-25T20:05:04Z,NA,v3,4844,471230,NA,"Juarez, Gabe",1000242087,Right,ETS_BUC,54.26697,-112.34642,9.32897,5.56973,-1.59269,-13.39374,2.98446,-6.78758,5.11311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-25,15:05:19,"Curless, Tristan",1000119183,Left,ETS_BUC,Undefined,ChangeUp,NA,NA,74.12679,-0.388694,3.665704,1726.771619,93.920106,09:15:00,5.57532,-2.93304,6.2552,-47.53416,2.56524,-15.0328,1.25497,-0.80082,68.4983,-9.169274,0.950161,0.509434,8.85174,1.86681,2.66799,50,5.52296,-6.40601,-107.63428,-2.04347,10.40669,18.30157,-29.9793,dd195b84-da69-4d5d-974d-3f1f9e67b699,NA,NA,NA,NA,NA,695523,"Correa, Juan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,APP_MOU,1,Top,1,0,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,APP_MOU,EastTennesseeState,D1,SOCON,20250225-EastTennesseeState-1,d727f3b0-f3b3-11ef-b22e-b37c3623ac65,73.9889,NA,NA,5.62849,NA,NA,NA,1b1ae813-13b4-40ec-8593-2a62b004ae41,2025-02-25,20:05:19,2025-02-25T20:05:19Z,2025-02-25T20:05:19Z,NA,v3,4844,471230,NA,"Juarez, Gabe",1000242087,Right,ETS_BUC,54.24681,-108.35398,9.15079,5.58013,-0.86455,-14.98965,2.92795,-6.81524,5.20334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-25,15:05:36,"Curless, Tristan",1000119183,Left,ETS_BUC,Undefined,ChangeUp,NA,NA,74.73336,-1.009435,4.063983,1814.443973,99.898217,09:15:00,5.47663,-3.08135,6.42147,-44.59971,4.51099,-17.0108,0.82963,-0.75682,68.9428,-9.281521,0.982954,0.504382,10.09835,3.05386,2.79874,50,5.38407,-7.16517,-108.4643,-3.10606,12.03199,18.94034,-28.53541,d2b460b3-7ea4-4f3d-b22f-ccb4fb4622d8,NA,NA,NA,NA,NA,695523,"Correa, Juan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,APP_MOU,1,Top,1,0,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,ETS_BUC,APP_MOU,EastTennesseeState,D1,SOCON,20250225-EastTennesseeState-1,e145fa90-f3b3-11ef-b22e-b37c3623ac65,74.72999,NA,NA,5.79056,NA,NA,NA,1b1ae813-13b4-40ec-8593-2a62b004ae41,2025-02-25,20:05:36,2025-02-25T20:05:36Z,2025-02-25T20:05:36Z,NA,v3,4844,471230,NA,"Juarez, Gabe",1000242087,Right,ETS_BUC,54.08067,-109.17455,9.47017,5.48048,-2.036,-14.26771,3.0759,-7.61636,6.01599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-25,15:06:09,"Curless, Tristan",1000119183,Left,ETS_BUC,Undefined,ChangeUp,NA,NA,74.52317,0.487705,4.03934,1656.990476,91.834822,09:00:00,5.50101,-2.99552,6.37781,-47.30353,2.05843,-17.05611,2.00887,-0.69445,68.69219,-8.286183,0.955207,0.50567,10.02575,1.37575,2.71161,50,5.51432,-7.0860900000000004,-108.18796,-0.36495,11.911,18.45309,-30.53959,f778320a-de49-49b4-aac7-071c683ee77b,NA,NA,NA,NA,NA,1000303602,"Figueroa, Tyler",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,APP_MOU,1,Top,2,0,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,APP_MOU,EastTennesseeState,D1,SOCON,20250225-EastTennesseeState-1,f4949b10-f3b3-11ef-b22e-b37c3623ac65,74.53955,NA,NA,5.83097,NA,NA,NA,1b1ae813-13b4-40ec-8593-2a62b004ae41,2025-02-25,20:06:09,2025-02-25T20:06:09Z,2025-02-25T20:06:09Z,NA,v3,4844,471230,NA,"Juarez, Gabe",1000242087,Right,ETS_BUC,54.12435,-108.88916,9.22655,5.50614,0.79552,-15.26979,2.98947,-7.53869,5.9555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-25,15:06:24,"Curless, Tristan",1000119183,Left,ETS_BUC,Undefined,ChangeUp,NA,NA,74.56276,-1.422798,4.883302,1686.580222,112.279398,09:45:00,5.59422,-2.94324,6.42284,-41.86735,7.58225,-14.68166,0.79236,0.33305,68.759,-9.195724,2.230174,0.506119,9.09985,4.7876,2.60095,50,5.47322,-8.7687,-108.0662,-3.79162,10.76774,18.72164,-26.50892,c5c9433d-c55a-4074-8497-8fd2f27bae3b,NA,NA,NA,NA,NA,1000303602,"Figueroa, Tyler",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,APP_MOU,1,Top,2,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,APP_MOU,EastTennesseeState,D1,SOCON,20250225-EastTennesseeState-1,fdfb5fe0-f3b3-11ef-b22e-b37c3623ac65,74.47345,NA,NA,5.80377,NA,NA,NA,1b1ae813-13b4-40ec-8593-2a62b004ae41,2025-02-25,20:06:24,2025-02-25T20:06:24Z,2025-02-25T20:06:24Z,NA,v3,4844,471230,NA,"Juarez, Gabe",1000242087,Right,ETS_BUC,54.07875,-108.77052,9.36082,5.5971,-2.79434,-13.25446,2.93845,-9.17379,5.38387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
