PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,11:08:24,"McGarrh, Cade",1000107414,Right,ABI_WIL,Undefined,Fastball,NA,NA,91.18726,-0.801459,-3.744917,2262.356185,224.1098,01:30:00,5.43827,1.61337,6.11419,-18.5706,14.84312,13.34993,3.14807,-0.74159,83.1731,-4.325754,-1.345598,0.416039,-7.98981,8.22091,-1.33299,50,5.36698,8.10875,-132.27848,-2.41495,-14.14218,28.48115,-17.62281,e28c1770-801d-4c9c-aa04-b5d9262105f7,NA,NA,NA,NA,135.113349,695531,"Cutting, Garrett",6975.446429,NA,56.32718,Right,-8.403147,NA,NA,NA,18.04565,16.69567,0.233341,129.377027,1.78342,3.04032,1.05119,NA,NA,NA,NA,NA,1,1,YSU_PEN,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ABI_WIL,YSU_PEN,AbileneChristian,D1,WAC,20250223-AbileneChristian-1,cb3282c0-f208-11ef-9469-afbc4483c920,90.59839,3.04032,NA,8.01415,NA,NA,NA,a0885873-e39e-440b-ae77-2ee6e699a8cf,2025-02-23,17:08:24,2025-02-23T17:08:24Z,2025-02-23T17:08:24Z,GroundBall,v3,471223,471499,NA,"Miesse, Maddox",809515,Right,ABI_WIL,54.38499,-133.21927,14.24058,5.43714,-1.83283,-8.81141,-1.60856,8.5759,-7.07109,NA,1.78291,-57.87461,5.02442,NA,NA,NA,NA,NA,NA,3.03952,-12.02675,-4.26863,NA,NA,NA,NA,NA,NA,1.05248,57.60141,-10.01751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
2,2025-02-23,11:08:43,"McGarrh, Cade",1000107414,Right,ABI_WIL,Undefined,Fastball,NA,NA,91.44362,-1.616243,-3.185047,2305.772227,217.443941,01:15:00,5.4858,1.52938,6.0569,-16.21229,17.2119,12.32221,2.63609,-0.39486,83.1121,-4.718994,-0.97079,0.416104,-7.28764,9.67481,-1.28837,50,5.35139,6.85692,-132.60304,-4.21197,-12.90932,29.71361,-15.03615,d555b2a1-933e-4913-8bee-e66403bfc28c,NA,NA,NA,NA,120.015871,695531,"Cutting, Garrett",5854.306346,NA,76.49562,Right,53.911715,NA,NA,NA,NA,23.88556,NA,NA,0.3079,2.98686,0.48535,NA,NA,NA,NA,NA,1,2,YSU_PEN,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ABI_WIL,YSU_PEN,AbileneChristian,D1,WAC,20250223-AbileneChristian-1,d68cb320-f208-11ef-9469-afbc4483c920,90.58418,34.90867,NA,8.33151,NA,NA,NA,a0885873-e39e-440b-ae77-2ee6e699a8cf,2025-02-23,17:08:43,2025-02-23T17:08:43Z,2025-02-23T17:08:43Z,NA,v3,471223,471499,NA,"Miesse, Maddox",809515,Right,ABI_WIL,54.44084,-133.59444,14.8568,5.48355,-3.71029,-7.51807,-1.52434,7.28764,-6.45466,NA,0.31807,-33.40611,-2.56891,NA,NA,NA,NA,NA,NA,2.99884,90.26906,-27.45852,NA,NA,NA,NA,NA,NA,0.51426,56.25067,-21.68958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
3,2025-02-23,11:09:02,"McGarrh, Cade",1000107414,Right,ABI_WIL,Undefined,Fastball,NA,NA,90.9518,0.587922,-3.313927,2267.656962,228.866459,01:45:00,5.39157,1.4374,5.96082,-20.37722,13.5639,14.23005,4.23956,-0.45309,82.41518,-3.269668,-0.762401,0.419309,-8.25154,7.11343,-1.18201,50,5.42696,7.01791,-131.87151,0.7145,-14.44127,29.64859,-19.72459,1e2c33bc-521d-41b6-8bd6-1e304c8474bf,NA,NA,NA,NA,NA,695531,"Cutting, Garrett",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,YSU_PEN,1,Top,0,0,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ABI_WIL,YSU_PEN,AbileneChristian,D1,WAC,20250223-AbileneChristian-1,e1ba5540-f208-11ef-9469-afbc4483c920,89.89172,NA,NA,8.53662,NA,NA,NA,a0885873-e39e-440b-ae77-2ee6e699a8cf,2025-02-23,17:09:02,2025-02-23T17:09:02Z,2025-02-23T17:09:02Z,NA,v3,471223,471499,NA,"Miesse, Maddox",809515,Right,ABI_WIL,54.53607,-132.88744,14.8243,5.39089,1.39038,-9.86229,-1.43096,7.51275,-7.22063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-23,11:09:17,"McGarrh, Cade",1000107414,Right,ABI_WIL,Undefined,Slider,NA,NA,80.54575,0.956537,-1.443949,1589.799057,59.257134,08:00:00,5.32472,1.48683,5.94177,-50.00089,-6.44851,-13.37119,2.04563,-0.96712,73.19858,-8.244447,-3.84776,0.474982,6.39351,-3.18189,-1.36428,50,5.37306,3.45669,-116.90618,0.31562,8.7052,25.36422,-36.50641,19cf2bb0-35cd-4f9f-865b-88a20d237546,NA,NA,NA,NA,NA,695531,"Cutting, Garrett",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,YSU_PEN,1,Top,0,1,2,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,ABI_WIL,YSU_PEN,AbileneChristian,D1,WAC,20250223-AbileneChristian-1,ead03af0-f208-11ef-9469-afbc4483c920,79.35547,NA,NA,7.34717,NA,NA,NA,a0885873-e39e-440b-ae77-2ee6e699a8cf,2025-02-23,17:09:17,2025-02-23T17:09:17Z,2025-02-23T17:09:17Z,NA,v3,471223,471499,NA,"Miesse, Maddox",809515,Right,ABI_WIL,54.55747,-117.89083,12.68211,5.3333,1.73281,-18.25321,-1.49191,3.11875,4.3526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-23,11:09:52,"McGarrh, Cade",1000107414,Right,ABI_WIL,Undefined,ChangeUp,NA,NA,81.03424,1.161535,-2.716791,1416.682311,284.038317,03:30:00,4.97826,1.81471,6.74266,-44.03841,-2.41898,15.3717,2.37094,0.61171,73.58041,-7.096638,0.086629,0.464322,-8.9454,-1.1891,-1.64115,50,5.03855,5.05064,-117.70139,1.13589,-12.39474,24.89989,-33.82167,1450dbe1-e05d-4aca-91fc-466af3e5a517,NA,NA,NA,NA,NA,1000315863,"Smith, Cole",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,YSU_PEN,1,Top,1,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ABI_WIL,YSU_PEN,AbileneChristian,D1,WAC,20250223-AbileneChristian-1,ffa49110-f208-11ef-9469-afbc4483c920,81.17729,NA,NA,7.45383,NA,NA,NA,a0885873-e39e-440b-ae77-2ee6e699a8cf,2025-02-23,17:09:52,2025-02-23T17:09:52Z,2025-02-23T17:09:52Z,NA,v3,471223,471499,NA,"Miesse, Maddox",809515,Right,ABI_WIL,53.75624,-118.49336,12.44994,4.98532,2.21163,-16.91084,-1.80805,5.44487,-6.19737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-23,11:10:06,"McGarrh, Cade",1000107414,Right,ABI_WIL,Undefined,Fastball,NA,NA,91.59925,-2.132998,-2.76675,2286.37569,224.364061,01:30:00,5.4286,1.70291,6.54096,-17.62371,15.18284,13.74032,2.00051,0.30846,83.07873,-5.517801,-0.272606,0.412242,-8.033,8.9463,-1.51658,50,5.273,5.86985,-132.89706,-5.42833,-14.23231,30.96244,-16.3236,245f0ddf-b356-4f63-83a2-052fa80f3ac5,NA,NA,NA,NA,NA,1000315863,"Smith, Cole",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,YSU_PEN,1,Top,1,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ABI_WIL,YSU_PEN,AbileneChristian,D1,WAC,20250223-AbileneChristian-1,079f42c0-f209-11ef-9469-afbc4483c920,91.43289,NA,NA,8.52052,NA,NA,NA,a0885873-e39e-440b-ae77-2ee6e699a8cf,2025-02-23,17:10:06,2025-02-23T17:10:06Z,2025-02-23T17:10:06Z,NA,v3,471223,471499,NA,"Miesse, Maddox",809515,Right,ABI_WIL,53.95615,-133.81559,15.48122,5.42685,-4.94407,-8.1618,-1.69698,6.29206,-7.11616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-23,11:10:22,"McGarrh, Cade",1000107414,Right,ABI_WIL,Undefined,ChangeUp,NA,NA,79.64406,-2.259218,-3.400064,1633.95837,265.583197,02:45:00,4.90294,1.82278,6.42102,-40.73565,2.73784,16.92103,-0.57319,0.10374,73.16575,-9.806079,-0.329251,0.474552,-10.02851,2.41083,-1.58807,50,4.72267,6.30752,-115.57066,-5.71838,-13.47332,22.8758,-28.93511,26a2a5a3-4423-42ae-bfb0-eda32118e12c,NA,NA,NA,NA,NA,1000315863,"Smith, Cole",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,YSU_PEN,1,Top,1,0,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ABI_WIL,YSU_PEN,AbileneChristian,D1,WAC,20250223-AbileneChristian-1,11603580-f209-11ef-9469-afbc4483c920,79.42746,NA,NA,6.47831,NA,NA,NA,a0885873-e39e-440b-ae77-2ee6e699a8cf,2025-02-23,17:10:22,2025-02-23T17:10:22Z,2025-02-23T17:10:22Z,NA,v3,471223,471499,NA,"Miesse, Maddox",809515,Right,ABI_WIL,54.08057,-116.37555,11.4379,4.90596,-4.70029,-14.46756,-1.81835,6.78158,-6.73666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-23,11:10:40,"McGarrh, Cade",1000107414,Right,ABI_WIL,Undefined,ChangeUp,NA,NA,81.92876,-1.104621,-2.483705,1515.297971,282.660016,03:30:00,4.93823,1.79545,6.67414,-42.69699,-2.05118,15.07406,0.36855,0.77805,75.05818,-9.056423,0.267383,0.458859,-8.78477,-0.42457,-1.63502,50,4.84733,4.65734,-119.07893,-3.51748,-12.50416,24.71859,-32.77837,fc9cd533-0a59-4392-8885-6cbdebd5f9cd,NA,NA,NA,NA,NA,1000315863,"Smith, Cole",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,YSU_PEN,1,Top,1,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ABI_WIL,YSU_PEN,AbileneChristian,D1,WAC,20250223-AbileneChristian-1,1c4053e0-f209-11ef-9469-afbc4483c920,82.14381,NA,NA,6.87059,NA,NA,NA,a0885873-e39e-440b-ae77-2ee6e699a8cf,2025-02-23,17:10:40,2025-02-23T17:10:40Z,2025-02-23T17:10:40Z,NA,v3,471223,471499,NA,"Miesse, Maddox",809515,Right,ABI_WIL,53.82674,-119.87066,12.3593,4.94318,-2.4676,-16.38918,-1.79061,5.05784,-6.25208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-23,11:11:00,"McGarrh, Cade",1000107414,Right,ABI_WIL,Undefined,Fastball,NA,NA,91.7101,-1.624706,-2.89583,2217.369659,226.512235,01:30:00,5.31616,1.77712,6.56023,-19.36824,13.48288,12.97068,2.2103,0.20083,82.77635,-5.338472,-0.540877,0.412522,-7.77394,7.94965,-1.58272,50,5.19582,6.218,-133.04387,-4.31722,-13.72381,32.5586,-18.14008,b747a204-da41-44d4-9491-51cd83618011,NA,NA,NA,NA,18.712022,1000315863,"Smith, Cole",1151.710143,NA,105.09929,Left,8.909598,102.8219,11.65442,39.08482,210.07883,209.3884,1.711868,23.230647,2.25544,2.17025,-0.24412,NA,NA,NA,NA,NA,2,5,YSU_PEN,1,Top,1,2,2,Sinker,InPlay,Undefined,LineDrive,Single,0,0,NA,ABI_WIL,YSU_PEN,AbileneChristian,D1,WAC,20250223-AbileneChristian-1,27f882c0-f209-11ef-9469-afbc4483c920,91.37084,11.64685,NA,8.93375,NA,NA,NA,a0885873-e39e-440b-ae77-2ee6e699a8cf,2025-02-23,17:11:00,2025-02-23T17:11:00Z,2025-02-23T17:11:00Z,LineDrive,v3,471223,471499,NA,"Miesse, Maddox",809515,Right,ABI_WIL,53.93741,-134.00397,16.2793,5.31525,-3.7823,-9.07004,-1.77204,6.62269,-6.8619,243.62757,2.25543,144.23706,-27.29304,6.63353,-1.46972,0.27954,-0.04177,0.00324,7e-5,2.17025,23.87237,-15.15431,-0.00461,0.27806,-0.09435,0.01696,-3.3e-4,-2.4e-4,-0.24412,48.85386,1.72727,-1.97554,0.76339,-0.20878,0.04006,-0.00411,8e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-02-23,11:11:35,"McGarrh, Cade",1000107414,Right,ABI_WIL,Undefined,Slider,NA,NA,78.53572,2.014443,-1.307983,1648.813505,46.03419,07:30:00,5.13094,1.65582,6.11525,-54.12322,-8.11063,-10.21764,2.48443,-0.40518,70.53817,-8.013106,-3.150372,0.488213,4.77587,-4.34166,-1.5505,50,5.25808,2.98148,-113.8493,2.30253,6.10061,26.11205,-37.72003,4c5c711b-2777-4095-9de3-9bd93eb11caa,NA,NA,NA,NA,NA,822531,"Fossum, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,YSU_PEN,1,Top,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ABI_WIL,YSU_PEN,AbileneChristian,D1,WAC,20250223-AbileneChristian-1,3ce80200-f209-11ef-9469-afbc4483c920,77.20485,NA,NA,7.99755,NA,NA,NA,a0885873-e39e-440b-ae77-2ee6e699a8cf,2025-02-23,17:11:35,2025-02-23T17:11:35Z,2025-02-23T17:11:35Z,NA,v3,471223,471499,NA,"Miesse, Maddox",809515,Right,ABI_WIL,54.38202,-114.84995,13.05602,5.14215,3.74801,-18.86001,-1.66028,2.7477,3.05031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
