PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-14,18:05:14,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Fastball,NA,NA,90.50181,-3.467457,2.935839,2148.658576,136.140301,10:30:00,5.94991,-1.19562,5.36573,-17.18576,17.87489,-16.04111,1.25804,0.22301,82.52424,-6.693964,0.087957,0.426168,8.9413,10.33359,0.94387,50,5.62611,-5.99437,-130.97917,-8.51384,15.48707,28.42255,-14.27545,ab420920-de22-4f43-8857-f65c7919ba5e,NA,NA,NA,NA,NA,825128,"Johnson, Camden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,WIC_SHO,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,WIC_SHO,JoeMillerBallpark,D1,SLAND,20250214-JoeMillerBallpark-1,89877c10-eb30-11ef-9136-81a9cdea2443,88.44493,NA,NA,7.97758,NA,NA,NA,53a03900-7570-4aef-84bb-b8386c8df588,2025-02-15,00:05:14,2025-02-15T00:05:14Z,2025-02-15T00:05:14Z,NA,v3,mcneese,471492,14 February 2025 19:00-wichitast@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.13635,-132.08906,14.21127,5.94768,-7.95639,-7.13773,1.18976,-6.59913,7.74354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-14,18:05:30,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Slider,NA,NA,82.63643,-0.37967,2.129175,2251.256105,300.406847,04:00:00,5.88208,-1.13994,5.16098,-42.5303,-0.71449,3.29012,1.98026,1.13932,76.46043,-8.067197,2.711987,0.465416,-1.08768,0.12535,0.93849,50,5.81387,-4.59958,-119.96633,-2.37455,-1.59535,21.80705,-31.9902,681a56d9-a05e-427d-9c70-d6d343b60bfe,NA,NA,NA,NA,NA,825128,"Johnson, Camden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,WIC_SHO,1,Top,0,1,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,WIC_SHO,JoeMillerBallpark,D1,SLAND,20250214-JoeMillerBallpark-1,9316fe90-eb30-11ef-9136-81a9cdea2443,80.98648,NA,NA,6.176,NA,NA,NA,53a03900-7570-4aef-84bb-b8386c8df588,2025-02-15,00:05:30,2025-02-15T00:05:30Z,2025-02-15T00:05:30Z,NA,v3,mcneese,471492,14 February 2025 19:00-wichitast@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.34172,-120.93343,10.90353,5.88772,-0.95585,-15.9951,1.1409,-4.52883,-0.79767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-14,18:05:53,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Slider,NA,NA,83.05095,-0.954897,1.660866,2251.764759,306.143791,04:15:00,6.00675,-1.15197,4.99686,-42.08046,-0.02272,1.8915,1.59802,0.5742,76.15984,-8.557977,1.995231,0.466761,-0.46311,0.61071,0.9905,50,5.88042,-3.57298,-120.43429,-3.59183,-0.67722,24.33075,-31.28097,f548787a-193b-420e-af37-8123c18d732a,NA,NA,NA,NA,42.411334,825128,"Johnson, Camden",NA,NA,63.29799,Left,-54.427618,NA,NA,NA,2.51635,1.97292,0.021362,5.054306,1.65227,1.61784,-0.5587,NA,NA,NA,NA,NA,1,3,WIC_SHO,1,Top,0,1,1,Slider,InPlay,Undefined,GroundBall,Single,0,0,NA,MCN_COW,WIC_SHO,JoeMillerBallpark,D1,SLAND,20250214-JoeMillerBallpark-1,a13c35d0-eb30-11ef-9136-81a9cdea2443,80.75324,1.61784,NA,6.89111,NA,NA,NA,53a03900-7570-4aef-84bb-b8386c8df588,2025-02-15,00:05:53,2025-02-15T00:05:53Z,2025-02-15T00:05:53Z,GroundBall,v3,mcneese,471492,14 February 2025 19:00-wichitast@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.50571,-121.54149,12.16538,6.01148,-2.16836,-15.64049,1.15239,-3.54217,-0.33861,NA,1.65187,39.99087,NA,NA,NA,NA,NA,NA,NA,1.6186,-75.73333,NA,NA,NA,NA,NA,NA,NA,-0.55907,36.53119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
4,2025-02-14,18:06:33,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Fastball,NA,NA,91.59623,-2.541056,1.62412,2136.105102,150.254942,11:00:00,6.04496,-1.36268,5.21248,-17.77481,16.63391,-8.83741,2.17162,-0.57142,83.30405,-5.868874,0.058052,0.422188,4.87406,9.38343,1.21939,50,5.79694,-3.34222,-132.67914,-6.50428,8.645,29.70942,-15.53093,31834abe-92e9-4d0b-85ad-f1b8d0c3b29f,NA,NA,NA,NA,NA,703625,"Duncan, Kaleb",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,WIC_SHO,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,WIC_SHO,JoeMillerBallpark,D1,SLAND,20250214-JoeMillerBallpark-1,b8b67ea0-eb30-11ef-9136-81a9cdea2443,89.27888,NA,NA,8.29217,NA,NA,NA,53a03900-7570-4aef-84bb-b8386c8df588,2025-02-15,00:06:33,2025-02-15T00:06:33Z,2025-02-15T00:06:33Z,NA,v3,mcneese,471492,14 February 2025 19:00-wichitast@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.28705,-133.85778,14.85471,6.04276,-5.88814,-7.76547,1.35879,-3.68518,4.3225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-14,18:07:09,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Fastball,NA,NA,91.39955,-3.693477,2.990221,2107.404773,139.632044,10:45:00,6.06203,-1.39758,5.17277,-16.10942,18.39883,-14.68528,1.23416,0.19525,83.64777,-6.707683,0.393011,0.422798,8.20516,10.54855,1.13079,50,5.70538,-6.23222,-132.2625,-9.10043,14.55472,27.84139,-13.46251,f7fd9ce2-71ca-4f4d-ae52-078fb3004c39,NA,NA,NA,NA,55.635214,703625,"Duncan, Kaleb",4808.793359,NA,76.73791,Right,24.814302,49.3112,34.09777,98.32782,234.36827,130.50773,3.114251,72.258252,0.57482,1.31266,-0.03063,NA,NA,NA,NA,NA,2,2,WIC_SHO,1,Top,0,0,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,WIC_SHO,JoeMillerBallpark,D1,SLAND,20250214-JoeMillerBallpark-1,ce1dc5f0-eb30-11ef-9136-81a9cdea2443,89.15001,34.8513,NA,7.75178,NA,NA,NA,53a03900-7570-4aef-84bb-b8386c8df588,2025-02-15,00:07:09,2025-02-15T00:07:09Z,2025-02-15T00:07:09Z,LineDrive,v3,mcneese,471492,14 February 2025 19:00-wichitast@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.33001,-133.37975,13.9207,6.05974,-8.56019,-6.73126,1.39261,-6.81629,7.27736,NA,0.57466,57.66937,-19.59044,4.89068,-1.21053,0.27721,-0.05584,0.00698,-3.1e-4,1.31275,47.2313,-18.01736,1.0453,-0.04053,-0.0222,0.00549,8.8e-4,-2.7e-4,-0.03073,84.33048,-4.59009,-0.1187,0.19961,-0.05127,0.00639,-5.1e-4,7e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
6,2025-02-14,18:07:34,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Slider,NA,NA,82.79533,0.203485,0.319865,2209.206298,288.081109,03:30:00,6.02501,-1.43969,4.48209,-42.35872,1.22059,1.06429,2.68907,-1.04612,74.87111,-7.438366,0.50622,0.475129,-0.41433,0.97713,1.40495,50,6.00595,-0.71834,-119.83754,-1.26866,-0.59376,26.30559,-30.77381,c2026a0e-82da-4f50-af7e-31efd4ef084e,NA,NA,NA,NA,35.670457,703625,"Duncan, Kaleb",NA,NA,93.0881,Right,-9.604307,NA,NA,NA,15.88364,14.92512,0.112258,38.489234,0.13392,2.56172,1.05763,NA,NA,NA,NA,NA,2,3,WIC_SHO,1,Top,0,0,2,Slider,InPlay,Undefined,GroundBall,FieldersChoice,1,0,NA,MCN_COW,WIC_SHO,JoeMillerBallpark,D1,SLAND,20250214-JoeMillerBallpark-1,dd613e70-eb30-11ef-9136-81a9cdea2443,79.33096,2.56172,NA,7.92422,NA,NA,NA,53a03900-7570-4aef-84bb-b8386c8df588,2025-02-15,00:07:34,2025-02-15T00:07:34Z,2025-02-15T00:07:34Z,GroundBall,v3,mcneese,471492,14 February 2025 19:00-wichitast@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,56.01714,-121.15117,13.1528,6.03093,0.26809,-15.38691,1.44008,-0.68869,-0.29688,180,0.13036,109.55648,NA,NA,NA,NA,NA,NA,NA,2.56246,-22.81994,NA,NA,NA,NA,NA,NA,NA,1.05508,78.63869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-02-14,18:08:13,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Fastball,NA,NA,90.36885,-1.533006,1.446179,2115.826427,143.147303,10:45:00,6.00778,-1.57915,5.20381,-17.62119,17.85363,-12.44709,3.09669,-1.25594,81.7378,-4.857091,-0.759142,0.428678,6.63292,9.72764,1.45497,50,5.85308,-2.71832,-130.92711,-4.09119,11.39978,30.18987,-15.45547,52a8726c-4304-46e8-9e93-17d6f0867f6d,NA,NA,NA,NA,NA,1000099788,"Rogers, Jordan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,WIC_SHO,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,WIC_SHO,JoeMillerBallpark,D1,SLAND,20250214-JoeMillerBallpark-1,f4433ee0-eb30-11ef-9136-81a9cdea2443,87.92709,NA,NA,8.63105,NA,NA,NA,53a03900-7570-4aef-84bb-b8386c8df588,2025-02-15,00:08:13,2025-02-15T00:08:13Z,2025-02-15T00:08:13Z,NA,v3,mcneese,471492,14 February 2025 19:00-wichitast@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.29524,-132.14248,15.09493,6.00526,-3.46899,-7.72774,1.57364,-3.17725,5.69989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-14,18:08:32,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,ChangeUp,NA,NA,81.92851,0.574712,1.05153,2142.807914,15.507089,06:30:00,6.02423,-1.43641,4.60697,-44.5303,-0.41158,-0.53701,2.86001,-0.48109,74.40833,-7.457383,0.957313,0.47806,0.58366,0.09717,1.3286,50,6.04247,-2.15329,-118.64886,-0.56493,0.82371,24.81476,-32.03693,4b19ca77-9dc5-4c2c-b834-765ae33099b7,NA,NA,NA,NA,NA,1000099788,"Rogers, Jordan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,WIC_SHO,1,Top,1,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,WIC_SHO,JoeMillerBallpark,D1,SLAND,20250214-JoeMillerBallpark-1,ffa5d3b0-eb30-11ef-9136-81a9cdea2443,78.84451,NA,NA,7.52018,NA,NA,NA,53a03900-7570-4aef-84bb-b8386c8df588,2025-02-15,00:08:32,2025-02-15T00:08:32Z,2025-02-15T00:08:32Z,NA,v3,mcneese,471492,14 February 2025 19:00-wichitast@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.89258,-119.87492,12.40738,6.03128,1.01797,-16.01847,1.436,-2.19399,0.41185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-14,18:08:52,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Curveball,NA,NA,76.38591,1.677848,-1.402886,2002.745393,329.890816,05:00:00,6.0651,-1.20482,4.97416,-59.40586,-9.77847,6.57115,2.70034,-1.98258,70.21424,-9.019615,-0.241504,0.507028,-3.64673,-4.84075,1.33472,50,6.1782,2.4488,-110.82775,1.1151199999999999,-4.52747,20.14129,-38.18388,0b406dcd-db63-4d0f-a08d-5ba518c0d74e,NA,NA,NA,NA,NA,1000099788,"Rogers, Jordan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,WIC_SHO,1,Top,1,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,WIC_SHO,JoeMillerBallpark,D1,SLAND,20250214-JoeMillerBallpark-1,0ba9ffb0-eb31-11ef-9136-81a9cdea2443,74.33992,NA,NA,6.17167,NA,NA,NA,53a03900-7570-4aef-84bb-b8386c8df588,2025-02-15,00:08:52,2025-02-15T00:08:52Z,2025-02-15T00:08:52Z,NA,v3,mcneese,471492,14 February 2025 19:00-wichitast@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.53035,-111.8283,10.07064,6.07569,3.01195,-19.09194,1.20749,2.6737,-2.26374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-14,18:09:13,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Slider,NA,NA,82.54759,-0.49032,1.809289,2193.668604,321.684423,04:45:00,6.01946,-1.26234,5.06004,-46.40703,-3.7602,4.09488,1.68957,0.78571,75.45892,-8.87506,2.534078,0.470018,-1.50343,-1.38984,1.08673,50,5.93553,-3.95333,-119.68185,-2.76053,-2.1606900000000002,25.07097,-34.1715,9e756824-4707-4a87-9554-d65ecde36460,NA,NA,NA,NA,NA,1000099788,"Rogers, Jordan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,WIC_SHO,1,Top,1,2,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,WIC_SHO,JoeMillerBallpark,D1,SLAND,20250214-JoeMillerBallpark-1,1823a9d0-eb31-11ef-9136-81a9cdea2443,80.19355,NA,NA,7.08867,NA,NA,NA,53a03900-7570-4aef-84bb-b8386c8df588,2025-02-15,00:09:13,2025-02-15T00:09:13Z,2025-02-15T00:09:13Z,NA,v3,mcneese,471492,14 February 2025 19:00-wichitast@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.44293,-120.81666,12.53548,6.02548,-1.2138,-17.08575,1.26346,-3.85553,-1.08034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
