PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,12:04:28,"Stanley, Drew",1000075490,Right,RAD_HIG,Undefined,Sinker,NA,NA,89.31324,0.918252,-3.24433,2401.312155,254.37754,02:30:00,4.87455,2.21371,6.36715,-28.15045,6.77335,19.74816,3.37511,0.8707,80.40084,-4.393948,0.326134,0.425336,-11.3619,3.58209,-1.98784,50,4.92803,6.55316,-129.53273,1.19963,-19.00018,31.03132,-26.18379,ab35824d-b827-476b-acda-f3e9bb3e9425,NA,NA,NA,NA,NA,1000121470,"McCulloch, Sean",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,QUI_BOB,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,QUI_BOB,CarterMemorial,D1,BSOU,20250222-CarterMemorial-1,13fe6ed0-f13f-11ef-a39a-215b87ae4ea7,88.61804,NA,NA,8.9124,NA,NA,NA,f4669961-c824-44fb-8359-cced848e6363,2025-02-22,17:04:28,2025-02-22T17:04:28Z,2025-02-22T17:04:28Z,NA,v3,471417,471416,22 February 2025 14:00-quinnipiac@radford,"Whitacre, Brady",1000133418,Right,RAD_HIG,54.13362,-130.51923,15.51566,4.87667,2.03203,-13.0919,-2.20577,7.15719,-9.50009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-22,12:04:45,"Stanley, Drew",1000075490,Right,RAD_HIG,Undefined,Sinker,NA,NA,88.13421,2.013132,-0.991926,2315.637295,259.359266,02:45:00,4.89024,2.11077,6.46863,-31.10576,4.40567,17.06875,4.14809,2.62204,79.73856,-3.843113,2.103954,0.4289,-9.11752,2.08484,-2.04715,50,5.019,1.52443,-127.97815,3.5225,-14.96203,29.00799,-28.75276,62024947-3b28-40e6-b989-e69fb3ddcff6,NA,NA,NA,NA,NA,1000121470,"McCulloch, Sean",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,QUI_BOB,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,QUI_BOB,CarterMemorial,D1,BSOU,20250222-CarterMemorial-1,1e7013f0-f13f-11ef-a39a-215b87ae4ea7,87.88174,NA,NA,8.39565,NA,NA,NA,f4669961-c824-44fb-8359-cced848e6363,2025-02-22,17:04:45,2025-02-22T17:04:45Z,2025-02-22T17:04:45Z,NA,v3,471417,471416,22 February 2025 14:00-quinnipiac@radford,"Whitacre, Brady",1000133418,Right,RAD_HIG,54.03023,-128.88842,14.50399,4.8943,4.42476,-14.37638,-2.10235,1.99394,-7.48101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-22,12:05:03,"Stanley, Drew",1000075490,Right,RAD_HIG,Undefined,Cutter,NA,NA,80.60393,2.044647,-0.303166,2555.753693,123.474371,10:00:00,4.84211,2.20978,5.68995,-37.07978,5.77851,-6.95571,3.65865,1.34757,74.47159,-4.781903,-1.546368,0.471182,3.44512,2.83,-2.17994,50,4.99091,0.89339,-117.14091,2.96768,4.84441,19.64113,-28.19462,6dd2be85-88ea-44d9-a68d-de6410813a9d,NA,NA,NA,NA,NA,1000121470,"McCulloch, Sean",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,QUI_BOB,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,QUI_BOB,CarterMemorial,D1,BSOU,20250222-CarterMemorial-1,29196ae0-f13f-11ef-a39a-215b87ae4ea7,79.99551,NA,NA,6.13234,NA,NA,NA,f4669961-c824-44fb-8359-cced848e6363,2025-02-22,17:05:03,2025-02-22T17:05:03Z,2025-02-22T17:05:03Z,NA,v3,471417,471416,22 February 2025 14:00-quinnipiac@radford,"Whitacre, Brady",1000133418,Right,RAD_HIG,54.81097,-117.94481,9.82056,4.84583,4.12167,-14.09731,-2.21245,0.69511,2.4222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-22,12:05:18,"Stanley, Drew",1000075490,Right,RAD_HIG,Undefined,Sinker,NA,NA,87.76985,0.8813,-3.028422,2262.812217,267.030208,03:00:00,4.85755,2.27095,6.46719,-33.74392,2.18473,17.89245,2.8562,0.97787,79.31956,-5.450573,0.214545,0.431412,-10.3256,1.22248,-2.0646,50,4.90508,6.04486,-127.3753,0.90196,-16.73393,29.47289,-30.19285,b8d3440d-0afd-445f-9388-478c177387cb,NA,NA,NA,NA,-25.965962,1000121470,"McCulloch, Sean",3849.628691,NA,69.5823,Left,31.452695,93.15416,45.38084,-58.50034,228.85564,227.11797,3.600837,-37.271589,1.42722,2.86025,-0.94905,NA,NA,NA,NA,NA,1,4,QUI_BOB,1,Top,0,2,1,Sinker,InPlay,Undefined,Popup,Single,0,0,NA,RAD_HIG,QUI_BOB,CarterMemorial,D1,BSOU,20250222-CarterMemorial-1,324d5fe0-f13f-11ef-a39a-215b87ae4ea7,87.37002,45.98178,NA,8.45028,NA,NA,NA,f4669961-c824-44fb-8359-cced848e6363,2025-02-22,17:05:18,2025-02-22T17:05:18Z,2025-02-22T17:05:18Z,FlyBall,v3,471417,471416,22 February 2025 14:00-quinnipiac@radford,"Whitacre, Brady",1000133418,Right,RAD_HIG,54.03394,-128.3053,14.73644,4.86158,1.85468,-15.09642,-2.26368,6.57289,-8.36697,134.105685,1.42781,78.25452,-15.15522,3.60029,-0.67218,0.1017,-0.02607,0.00725,-7.5e-4,2.86056,53.23789,-17.75057,0.65623,0.34506,-0.29963,0.11969,-0.02287,0.00166,-0.94913,-38.11506,-1.47747,1.0852,-0.40711,0.12289,-0.03033,0.00472,-3.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2025-02-22,12:06:01,"Stanley, Drew",1000075490,Right,RAD_HIG,Undefined,Sinker,NA,NA,87.72254,1.664984,-2.730164,2284.960482,258.677747,02:30:00,4.85142,2.34938,6.5352,-31.08769,4.75819,17.57233,3.79022,1.3075,79.21249,-4.197643,0.457997,0.430914,-9.92567,2.39146,-2.16598,50,4.95429,5.36184,-127.27828,2.74548,-16.09343,28.94775,-28.29657,21c91b60-12f0-410a-8499-1cccdbed9610,NA,NA,NA,NA,NA,10266904,"Garbowski, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,QUI_BOB,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,QUI_BOB,CarterMemorial,D1,BSOU,20250222-CarterMemorial-1,4bdec8e0-f13f-11ef-a39a-215b87ae4ea7,87.47083,NA,NA,8.51005,NA,NA,NA,f4669961-c824-44fb-8359-cced848e6363,2025-02-22,17:06:01,2025-02-22T17:06:01Z,2025-02-22T17:06:01Z,NA,v3,471417,471416,22 February 2025 14:00-quinnipiac@radford,"Whitacre, Brady",1000133418,Right,RAD_HIG,53.96333,-128.17652,14.47388,4.85548,3.6235,-14.14829,-2.34011,5.86122,-8.04671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-22,12:06:35,"Stanley, Drew",1000075490,Right,RAD_HIG,Undefined,Sinker,NA,NA,88.22492,-0.258683,-2.407915,2272.30549,262.526744,02:45:00,4.89367,2.32713,6.40311,-31.87604,4.10307,20.81785,1.99925,1.84635,79.0828,-6.25915,1.365698,0.431715,-11.54142,2.68012,-2.16253,50,4.86126,4.51733,-127.93813,-1.59568,-18.67761,32.20442,-27.8368,354e8fe9-f5b3-4130-9680-c576676f1ff2,NA,NA,NA,NA,NA,10266904,"Garbowski, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,QUI_BOB,1,Top,0,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,QUI_BOB,CarterMemorial,D1,BSOU,20250222-CarterMemorial-1,601a8880-f13f-11ef-a39a-215b87ae4ea7,87.30871,NA,NA,9.14212,NA,NA,NA,f4669961-c824-44fb-8359-cced848e6363,2025-02-22,17:06:35,2025-02-22T17:06:35Z,2025-02-22T17:06:35Z,NA,v3,471417,471416,22 February 2025 14:00-quinnipiac@radford,"Whitacre, Brady",1000133418,Right,RAD_HIG,54.09444,-128.96466,16.10221,4.8979799999999996,-0.70837,-13.9184,-2.316,5.11268,-9.3388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-22,12:06:55,"Stanley, Drew",1000075490,Right,RAD_HIG,Undefined,Sinker,NA,NA,87.59963,0.873215,-3.179074,2282.636411,259.922416,02:45:00,4.89121,2.2803,6.443,-31.70214,4.70398,18.76517,3.05306,0.91983,78.48914,-5.108083,0.219542,0.434269,-10.72886,2.60882,-2.06147,50,4.93972,6.28122,-126.95851,0.9452,-17.14577,31.05078,-28.00492,99e3f511-1e34-4a6a-87c8-b0b22780f66c,NA,NA,NA,NA,NA,10266904,"Garbowski, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,QUI_BOB,1,Top,0,2,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,QUI_BOB,CarterMemorial,D1,BSOU,20250222-CarterMemorial-1,6b914190-f13f-11ef-a39a-215b87ae4ea7,86.7952,NA,NA,9.11048,NA,NA,NA,f4669961-c824-44fb-8359-cced848e6363,2025-02-22,17:06:55,2025-02-22T17:06:55Z,2025-02-22T17:06:55Z,NA,v3,471417,471416,22 February 2025 14:00-quinnipiac@radford,"Whitacre, Brady",1000133418,Right,RAD_HIG,54.05428,-127.94624,15.52539,4.89549,1.83604,-14.00246,-2.26995,6.82663,-8.57289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
8,2025-02-22,12:07:14,"Stanley, Drew",1000075490,Right,RAD_HIG,Undefined,Cutter,NA,NA,80.44077,0.643944,-1.750316,2622.398926,125.098467,10:15:00,4.93958,2.33621,5.62837,-37.3223,6.2002,-6.94024,2.43057,0.12411,73.90382,-6.224501,-2.988911,0.474819,3.0613,3.34768,-2.18245,50,4.9704,3.83785,-116.81595,0.09695,4.23652,21.69285,-27.54125,8ac8d34d-7d77-4d16-81d3-c11cd3c8c588,NA,NA,NA,NA,-7.129311,10266904,"Garbowski, Kyle",2989.787834,NA,94.75592,Left,15.64052,108.18835,26.07709,-19.88161,294.70413,290.76574,3.206462,-17.036386,1.75208,2.41967,-0.14268,NA,NA,NA,NA,NA,2,4,QUI_BOB,1,Top,0,2,1,Slider,InPlay,Undefined,LineDrive,Double,0,1,NA,RAD_HIG,QUI_BOB,CarterMemorial,D1,BSOU,20250222-CarterMemorial-1,7747c2c0-f13f-11ef-a39a-215b87ae4ea7,79.38268,30.24036,NA,6.53695,NA,NA,NA,f4669961-c824-44fb-8359-cced848e6363,2025-02-22,17:07:14,2025-02-22T17:07:14Z,2025-02-22T17:07:14Z,LineDrive,v3,471417,471416,22 February 2025 14:00-quinnipiac@radford,"Whitacre, Brady",1000133418,Right,RAD_HIG,54.87305,-117.7174,10.84642,4.9426,1.24143,-13.77063,-2.33827,3.66181,2.11826,134.198796,1.75214,132.7914,-22.46023,4.22047,-0.74907,0.08438,0.00124,-0.0021,2.3e-4,2.41965,37.46991,-13.31884,0.6398,-0.24051,0.13333,-0.04367,0.00797,-6.1e-4,-0.14274,-16.61003,-6.56275,1.82339,-0.27136,-0.03813,0.02972,-0.00619,4.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-02-22,12:08:08,"Stanley, Drew",1000075490,Right,RAD_HIG,Undefined,Slider,NA,NA,75.66288,2.790383,-1.207402,2581.949157,85.32086,08:45:00,5.41239,2.12627,6.09678,-48.50723,0.33406,-15.40891,3.95366,-0.27474,68.88359,-6.209127,-3.979601,0.502996,7.50721,-0.12268,-2.02573,50,5.60258,2.86884,-109.77183,3.91818,9.08296,20.95897,-32.32248,76e069f2-3745-49e2-a489-636671a92864,NA,NA,NA,NA,NA,1000120932,"Mueller, Sebastian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,QUI_BOB,1,Top,0,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,QUI_BOB,CarterMemorial,D1,BSOU,20250222-CarterMemorial-1,977b0430-f13f-11ef-a39a-215b87ae4ea7,74.9358,NA,NA,6.77928,NA,NA,NA,f4669961-c824-44fb-8359-cced848e6363,2025-02-22,17:08:08,2025-02-22T17:08:08Z,2025-02-22T17:08:08Z,NA,v3,471417,471416,22 February 2025 14:00-quinnipiac@radford,"Whitacre, Brady",1000133418,Right,RAD_HIG,54.40338,-110.60939,10.47949,5.42019,5.20983,-16.16124,-2.13312,2.50587,4.54148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-22,12:08:25,"Stanley, Drew",1000075490,Right,RAD_HIG,Undefined,Cutter,NA,NA,81.68218,1.982417,-2.138018,2608.761045,107.302901,09:30:00,4.83306,2.5017,5.7452,-38.27612,3.56717,-7.64461,3.49119,-0.12693,75.29949,-5.059491,-3.503529,0.465569,3.33622,1.69669,-2.3192,50,4.97462,4.7296,-118.61148,2.84003,4.79069,20.99223,-29.73763,944056fa-4324-493f-933f-805c8ec45f79,NA,NA,NA,NA,NA,1000120932,"Mueller, Sebastian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,QUI_BOB,1,Top,0,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,QUI_BOB,CarterMemorial,D1,BSOU,20250222-CarterMemorial-1,a199ce60-f13f-11ef-a39a-215b87ae4ea7,80.95989,NA,NA,6.38269,NA,NA,NA,f4669961-c824-44fb-8359-cced848e6363,2025-02-22,17:08:25,2025-02-22T17:08:25Z,2025-02-22T17:08:25Z,NA,v3,471417,471416,22 February 2025 14:00-quinnipiac@radford,"Whitacre, Brady",1000133418,Right,RAD_HIG,54.75603,-119.45025,10.49612,4.83741,4.02823,-14.86882,-2.50435,4.53818,2.39534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
