PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-19,13:07:46,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,90.31442,-2.552578,0.047626,2096.458829,195.58213,12:30:00,6.58163,0.96506,5.90327,-10.17142,24.25552,6.44,3.3629,1.54594,82.10071,-4.56672,1.203446,0.4223,-3.25606,13.45883,-0.97242,50,6.37036,-0.39137,-131.01108,-6.03763,-5.63205,28.913,-8.89401,38f66e59-1b14-47c3-8d35-59181a13147f,NA,NA,NA,NA,NA,1000078273,"Ashworth, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,LON_DIR,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,LON_DIR,GoodwinField,D1,BW,20250419-GoodwinField-1,f66849d0-1d59-11f0-b4b2-c15009073ff5,89.2552,NA,NA,8.21371,NA,NA,NA,86b17ac0-b941-460e-98fc-8e73024603fa,2025-04-19,20:07:46,2025-04-19T20:07:46Z,2025-04-19T20:07:46Z,NA,v3,471254,471255,19 April 2025 16:00-longbeach@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.59335,-132.0209,14.4565,6.57581,-5.727,-4.447,-0.96219,-0.19467,-2.81603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-19,13:08:06,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,92.27302,-4.793225,-1.393313,2263.580461,203.072976,12:45:00,6.58139,0.8683,5.8644,-10.75048,22.35119,9.04733,1.22101,0.32765,84.24194,-6.881975,0.229073,0.414092,-5.03114,13.13772,-0.76073,50,6.18584,2.85444,-133.55298,-11.46084,-9.06903,29.29267,-8.49225,513c8121-13d4-47d2-bf13-245877ec653d,NA,NA,NA,NA,NA,1000078273,"Ashworth, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,LON_DIR,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,LON_DIR,GoodwinField,D1,BW,20250419-GoodwinField-1,0232c830-1d5a-11f0-b4b2-c15009073ff5,91.02441,NA,NA,8.03109,NA,NA,NA,86b17ac0-b941-460e-98fc-8e73024603fa,2025-04-19,20:08:06,2025-04-19T20:08:06Z,2025-04-19T20:08:06Z,NA,v3,471254,471255,19 April 2025 16:00-longbeach@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.63473,-134.56569,14.64634,6.57699,-11.16724,-4.24613,-0.86483,3.16798,-4.53451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-19,13:08:24,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,89.98618,-3.144856,0.738963,2193.175646,203.702181,12:45:00,6.66153,0.88674,6.00767,-12.833,21.92186,9.08575,2.67533,2.32855,81.54214,-5.641281,2.372607,0.424306,-4.39225,12.54205,-0.9494,50,6.40702,-2.07766,-130.40588,-7.46084,-7.48787,29.98185,-10.79242,6344d01c-496f-4903-a43c-82c78ca272cc,NA,NA,NA,NA,NA,1000078273,"Ashworth, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,LON_DIR,1,Top,0,2,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,LON_DIR,GoodwinField,D1,BW,20250419-GoodwinField-1,0cbf6f60-1d5a-11f0-b4b2-c15009073ff5,88.83314,NA,NA,8.44404,NA,NA,NA,86b17ac0-b941-460e-98fc-8e73024603fa,2025-04-19,20:08:24,2025-04-19T20:08:24Z,2025-04-19T20:08:24Z,NA,v3,471254,471255,19 April 2025 16:00-longbeach@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.48788,-131.43365,14.99093,6.65643,-7.09088,-5.39621,-0.88258,-1.82098,-3.74394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-19,13:08:42,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,91.47208,-2.689971,-0.737342,2142.5561510000002,201.338781,12:45:00,6.53283,1.01796,5.71836,-10.61217,23.27261,8.63453,3.14068,1.05062,82.96138,-4.777246,0.807062,0.418961,-4.57268,12.9304,-0.96156,50,6.30131,1.31341,-132.59829,-6.46346,-8.08503,30.1794,-9.31168,6c7a9a68-a22b-4b12-bbb3-2da59b64904f,NA,NA,NA,NA,NA,1000078273,"Ashworth, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,LON_DIR,1,Top,0,3,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,LON_DIR,GoodwinField,D1,BW,20250419-GoodwinField-1,17f9e2c0-1d5a-11f0-b4b2-c15009073ff5,89.96644,NA,NA,8.5107,NA,NA,NA,86b17ac0-b941-460e-98fc-8e73024603fa,2025-04-19,20:08:42,2025-04-19T20:08:42Z,2025-04-19T20:08:42Z,NA,v3,471254,471255,19 April 2025 16:00-longbeach@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.77804,-133.68135,15.0897,6.52726,-6.12929,-4.65584,-1.01391,1.60356,-4.04251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-19,13:09:03,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,90.15955,-3.810775,-1.160873,2124.395143,204.478807,12:45:00,6.45529,1.04759,6.00181,-11.58682,23.06993,9.94146,1.95282,0.80027,81.69733,-6.083637,0.626701,0.423707,-5.43256,13.35032,-0.96155,50,6.14865,2.21796,-130.57808,-8.94942,-9.2901,29.94625,-9.34404,9b0f9de4-e6c2-463a-92e4-b69ef6545b6c,NA,NA,NA,NA,NA,1000078273,"Ashworth, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,LON_DIR,1,Top,0,3,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,LON_DIR,GoodwinField,D1,BW,20250419-GoodwinField-1,244e78b0-1d5a-11f0-b4b2-c15009073ff5,88.95879,NA,NA,8.46221,NA,NA,NA,86b17ac0-b941-460e-98fc-8e73024603fa,2025-04-19,20:09:03,2025-04-19T20:09:03Z,2025-04-19T20:09:03Z,NA,v3,471254,471255,19 April 2025 16:00-longbeach@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.49501,-131.60491,14.97312,6.45002,-8.62902,-4.67202,-1.04306,2.53651,-4.64505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-19,13:09:23,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,90.98484,-3.122391,-1.457635,2097.041173,195.702331,12:30:00,6.58569,1.26344,5.93444,-9.20867,24.94836,6.66642,2.9177,0.46637,82.14927,-4.976996,-0.261001,0.420641,-3.8852,14.14761,-1.15091,50,6.3312,3.06837,-131.82892,-7.35902,-6.7512,31.31188,-7.59013,7ba23918-01c4-4e57-b9f6-a2e0045ba5c9,NA,NA,NA,NA,-162.352569,1000078273,"Ashworth, Kyle",2107.754603,NA,72.30839,Left,25.317595,NA,NA,NA,NA,43.78822,NA,NA,1.54816,2.97655,-0.46414,NA,NA,NA,NA,NA,1,6,LON_DIR,1,Top,0,3,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,LON_DIR,GoodwinField,D1,BW,20250419-GoodwinField-1,3073c140-1d5a-11f0-b4b2-c15009073ff5,89.60719,19.54733,NA,8.83557,NA,NA,NA,86b17ac0-b941-460e-98fc-8e73024603fa,2025-04-19,20:09:23,2025-04-19T20:09:23Z,2025-04-19T20:09:23Z,NA,v3,471254,471255,19 April 2025 16:00-longbeach@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.56351,-132.90842,15.65594,6.58039,-7.09734,-3.79507,-1.2607,3.30112,-3.3756,47.692391,1.54803,-91.35204,5.68469,NA,NA,NA,NA,NA,NA,2.98883,45.01577,-22.94074,NA,NA,NA,NA,NA,NA,-0.47225,-28.8403,7.03956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
7,2025-04-19,13:09:49,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,92.97554,-2.620017,-1.943126,2214.476565,203.788639,12:45:00,6.58949,0.79558,6.03794,-9.17902,23.42568,9.80441,3.39551,-0.18729,83.80566,-4.469516,-0.180168,0.410971,-5.68551,13.25733,-0.64931,50,6.38008,4.14839,-134.75776,-6.34161,-10.30759,33.13235,-8.13905,292bbd44-5d9b-45d1-a18b-ebda28f50e7f,NA,NA,NA,NA,-169.581584,1000078273,"Ashworth, Kyle",2388.515056,NA,72.16307,Left,27.926729,NA,NA,NA,NA,42.76484,NA,NA,2.08834,3.49185,0.18365,NA,NA,NA,NA,NA,1,7,LON_DIR,1,Top,0,3,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,LON_DIR,GoodwinField,D1,BW,20250419-GoodwinField-1,3fa167d0-1d5a-11f0-b4b2-c15009073ff5,91.7155,21.19075,NA,9.16988,NA,NA,NA,86b17ac0-b941-460e-98fc-8e73024603fa,2025-04-19,20:09:49,2025-04-19T20:09:49Z,2025-04-19T20:09:49Z,NA,v3,471254,471255,19 April 2025 16:00-longbeach@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.46036,-135.84999,16.56618,6.58471,-6.0733,-4.06952,-0.79166,4.48819,-5.1538,11.266615,2.08834,-91.97203,7.25113,0.39464,-0.20603,0.08695,-0.01101,-0.01031,0.00683,3.49185,49.56885,-30.31155,4.22902,-0.91288,0.19728,-0.04036,0.01167,-0.00302,0.18365,-16.91058,3.38805,-0.47232,0.08803,-0.01174,0.00292,-0.00205,9.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
8,2025-04-19,13:10:13,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,ChangeUp,NA,NA,84.18243,-0.607282,-2.283963,1511.304992,293.664046,03:45:00,6.30621,1.27085,5.86787,-41.0753,-1.72071,6.63717,2.31869,-0.29878,77.61259,-8.136391,-1.092034,0.451512,-4.05847,-0.43181,-1.08985,50,6.2327,4.62227,-122.31052,-2.6847,-6.1585,23.73628,-32.82932,fc4eb156-8c62-4dc8-af14-9cadd6e24351,NA,NA,NA,NA,64.378762,1000078273,"Ashworth, Kyle",NA,NA,91.66368,Left,-26.880776,NA,NA,NA,7.63711,7.63711,0.04308,40.149368,3.59887,2.6243,0.25624,NA,NA,NA,NA,NA,1,8,LON_DIR,1,Top,0,3,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,LON_DIR,GoodwinField,D1,BW,20250419-GoodwinField-1,4dbfe850-1d5a-11f0-b4b2-c15009073ff5,83.48055,2.6243,NA,6.56983,NA,NA,NA,86b17ac0-b941-460e-98fc-8e73024603fa,2025-04-19,20:10:13,2025-04-19T20:10:13Z,2025-04-19T20:10:13Z,GroundBall,v3,471254,471255,19 April 2025 16:00-longbeach@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.63422,-123.20658,11.86814,6.31066,-1.44538,-16.41466,-1.26873,4.85476,-3.07925,NA,3.59809,51.9658,NA,NA,NA,NA,NA,NA,NA,2.62522,-60.91725,NA,NA,NA,NA,NA,NA,NA,0.25461,108.3579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
9,2025-04-19,13:10:39,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,90.6269,-2.595641,-0.337186,2179.728875,202.157898,12:45:00,6.43689,1.00282,5.92975,-11.43071,22.81521,8.80965,3.07433,1.4241,82.20535,-4.839081,1.24492,0.421188,-4.5939,12.7956,-0.98074,50,6.22286,0.38999,-131.44141,-6.21311,-7.97414,29.89014,-9.96332,12746a54-d906-4ae0-a00c-dea8756c8a1c,NA,NA,NA,NA,NA,1000078273,"Ashworth, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,LON_DIR,1,Top,0,3,2,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,CAL_FUL,LON_DIR,GoodwinField,D1,BW,20250419-GoodwinField-1,5d506f60-1d5a-11f0-b4b2-c15009073ff5,89.49078,NA,NA,8.42154,NA,NA,NA,86b17ac0-b941-460e-98fc-8e73024603fa,2025-04-19,20:10:39,2025-04-19T20:10:39Z,2025-04-19T20:10:39Z,NA,v3,471254,471255,19 April 2025 16:00-longbeach@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.5673,-132.47596,14.94507,6.43194,-5.86827,-4.98166,-0.99902,0.66599,-3.98707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-19,13:11:21,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,89.23005,-4.251898,-1.451799,2021.606295,210.035618,01:00:00,6.43489,1.16911,5.83107,-15.6765,19.95706,10.80886,1.16761,0.72004,81.04412,-7.240318,0.486216,0.429636,-5.96351,11.8606,-1.05705,50,6.07807,2.81139,-129.1365,-10.04169,-9.97991,29.14294,-12.32528,29f7a1fb-60c2-4652-bc84-e1b56d641d31,NA,NA,NA,NA,NA,811562,"Champagne, Alex",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,LON_DIR,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,LON_DIR,GoodwinField,D1,BW,20250419-GoodwinField-1,76c3c910-1d5a-11f0-b4b2-c15009073ff5,87.73105,NA,NA,8.18593,NA,NA,NA,86b17ac0-b941-460e-98fc-8e73024603fa,2025-04-19,20:11:21,2025-04-19T20:11:21Z,2025-04-19T20:11:21Z,NA,v3,471254,471255,19 April 2025 16:00-longbeach@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.66683,-130.18543,14.57147,6.43151,-9.59808,-6.16264,-1.1647,3.17059,-4.98996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
