PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-25,17:03:24,"Barrera, Robert",10098166,Left,UIC_FLA,Undefined,Fastball,NA,NA,87.09492,-0.727133,2.045785,1961.360564,162.881377,11:30:00,5.77788,-0.69338,6.22974,-22.87375,13.49576,-3.80244,3.20042,0.87797,79.64133,-5.044701,1.359458,0.43405,2.53843,7.55162,0.54239,50,5.71213,-4.36818,-126.509,-2.27945,4.11177,25.93099,-19.94197,582e3924-c27f-46bd-9415-8d24a1850c04,NA,NA,NA,NA,NA,10012581,"Perona, Joseph",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NOR_PAR,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,NOR_PAR,CurtisGrandisonStadium,D1,MVC,20250225-CurtisGrandisonStadium-1,56243dd0-f3c4-11ef-bb80-07a8350267de,86.83886,NA,NA,7.4536,NA,NA,NA,5326abd5-f4e5-4cb5-97e8-a1c82e9b10e0,2025-02-25,22:03:24,2025-02-25T22:03:24Z,2025-02-25T22:03:24Z,NA,v3,471318,north-park,NA,"Cowans, Blake",1000299314,Right,UIC_FLA,54.268,-127.38082,12.9655,5.7775,-1.60899,-9.97098,0.69157,-4.50642,2.05588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-25,17:03:42,"Barrera, Robert",10098166,Left,UIC_FLA,Undefined,Fastball,NA,NA,88.93236,-0.509877,0.81116,2122.269947,178.329024,12:00:00,5.73235,-0.6527,6.18545,-19.08989,15.93371,-0.43154,3.67066,0.06038,80.97149,-4.147732,0.733282,0.425943,0.4574,8.73016,0.59173,50,5.68411,-1.81142,-129.19213,-1.69368,0.7699,27.93086,-17.47889,7f31ebc6-d925-470c-8c6d-67d593787dec,NA,NA,NA,NA,NA,10012581,"Perona, Joseph",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NOR_PAR,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,NOR_PAR,CurtisGrandisonStadium,D1,MVC,20250225-CurtisGrandisonStadium-1,605cd190-f3c4-11ef-bb80-07a8350267de,88.49169,NA,NA,7.96088,NA,NA,NA,5326abd5-f4e5-4cb5-97e8-a1c82e9b10e0,2025-02-25,22:03:42,2025-02-25T22:03:42Z,2025-02-25T22:03:42Z,NA,v3,471318,north-park,NA,"Cowans, Blake",1000299314,Right,UIC_FLA,54.31149,-130.12092,13.96543,5.73076,-1.11245,-8.73945,0.65239,-1.83702,0.38495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-25,17:03:58,"Barrera, Robert",10098166,Left,UIC_FLA,Undefined,Slider,NA,NA,81.69942,1.087432,-0.011223,2291.169838,268.873768,03:00:00,5.62455,-0.9432,5.79014,-40.72447,1.4715,4.74051,3.24256,-0.5586,74.49391,-6.429423,0.838623,0.467527,-2.44071,0.78437,0.94116,50,5.68945,-0.15936,-118.64694,0.91528,-3.45634,24.08888,-31.06327,7163d18b-1dd1-40fd-b035-cefd59571188,NA,NA,NA,NA,NA,10012581,"Perona, Joseph",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NOR_PAR,1,Top,0,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,NOR_PAR,CurtisGrandisonStadium,D1,MVC,20250225-CurtisGrandisonStadium-1,6a07cb50-f3c4-11ef-bb80-07a8350267de,80.62086,NA,NA,7.20551,NA,NA,NA,5326abd5-f4e5-4cb5-97e8-a1c82e9b10e0,2025-02-25,22:03:58,2025-02-25T22:03:58Z,2025-02-25T22:03:58Z,NA,v3,471318,north-park,NA,"Cowans, Blake",1000299314,Right,UIC_FLA,54.70975,-119.59933,12.04444,5.62898,2.14342,-15.53163,0.94476,-0.02271,-1.72817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-25,17:04:30,"Barrera, Robert",10098166,Left,UIC_FLA,Undefined,Slider,NA,NA,81.25489,0.387758,1.33044,2366.74822,307.266952,04:15:00,5.5892,-1.12137,5.83987,-44.28487,-2.45536,4.69969,2.25927,0.50699,75.63822,-7.707798,2.173953,0.465493,-2.08874,-1.00913,1.01018,50,5.59448,-2.9237,-118.22407,-0.66832,-2.99356,19.87365,-33.62032,9329f21e-8ed2-41c3-a4df-30ea2e54df67,NA,NA,NA,NA,NA,10012581,"Perona, Joseph",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NOR_PAR,1,Top,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,UIC_FLA,NOR_PAR,CurtisGrandisonStadium,D1,MVC,20250225-CurtisGrandisonStadium-1,7d1fcb70-f3c4-11ef-bb80-07a8350267de,80.97323,NA,NA,5.61668,NA,NA,NA,5326abd5-f4e5-4cb5-97e8-a1c82e9b10e0,2025-02-25,22:04:30,2025-02-25T22:04:30Z,2025-02-25T22:04:30Z,NA,v3,471318,north-park,NA,"Cowans, Blake",1000299314,Right,UIC_FLA,54.66209,-119.00519,9.93682,5.59478,0.65311,-16.81016,1.12279,-2.80604,-1.49678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.19698,2.236721,1.235354,1.001367,-1.201,1.89483,-0.60732,-2.04941,5.01485,-2.57652,68.08702,2.58291,-56.69182,-2.01189,74.7632,-4.75269,5.0527,11.635,-14.08065,-2.62771,-59.551,5.55202,High,High,High,NA,NA,High,High,High
5,2025-02-25,17:04:59,"Barrera, Robert",10098166,Left,UIC_FLA,Undefined,Fastball,NA,NA,89.45271,-2.518663,-0.609672,2084.972714,166.33669,11:30:00,5.69783,-1.04252,6.32009,-18.1732,15.92351,-3.62772,1.86205,-1.90636,82.5644,-5.954446,-1.266269,0.420269,1.7337,9.25189,1.08871,50,5.50476,1.52685,-130.02466,-6.23476,2.99189,25.2072,-16.20769,7c24244b-636b-4f73-983c-9f145e0bad57,NA,NA,NA,NA,NA,1000119796,"Sommerfeld, Nathan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NOR_PAR,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,NOR_PAR,CurtisGrandisonStadium,D1,MVC,20250225-CurtisGrandisonStadium-1,8e3803f0-f3c4-11ef-bb80-07a8350267de,89.6864,NA,NA,6.88831,NA,NA,NA,5326abd5-f4e5-4cb5-97e8-a1c82e9b10e0,2025-02-25,22:04:59,2025-02-25T22:04:59Z,2025-02-25T22:04:59Z,NA,v3,471318,north-park,NA,"Cowans, Blake",1000299314,Right,UIC_FLA,54.17912,-130.83233,12.6036,5.69621,-5.71544,-8.10385,1.04133,1.43099,1.49594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-25,17:05:18,"Barrera, Robert",10098166,Left,UIC_FLA,Undefined,Fastball,NA,NA,88.02105,-1.364849,0.891589,2110.460777,185.377373,12:15:00,5.71075,-0.83229,6.54353,-19.38044,15.8078,1.38248,2.84361,0.10067,80.45879,-5.067619,1.142808,0.426943,-0.47559,9.0393,0.77005,50,5.60783,-2.04318,-127.96767,-3.56361,-0.78673,26.99264,-17.22057,0dabfe88-475d-4008-b8a2-067e35d8abfb,NA,NA,NA,NA,48.541105,1000119796,"Sommerfeld, Nathan",3495.913338,NA,68.03363,Right,55.787512,57.96626,82.98619,93.4874,173.99586,142.58859,4.539144,60.369972,1.2894,2.72521,-0.13407,NA,NA,NA,NA,NA,2,2,NOR_PAR,1,Top,1,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,NOR_PAR,CurtisGrandisonStadium,D1,MVC,20250225-CurtisGrandisonStadium-1,9a02a960-f3c4-11ef-bb80-07a8350267de,88.28441,85.70923,NA,7.56226,NA,NA,NA,5326abd5-f4e5-4cb5-97e8-a1c82e9b10e0,2025-02-25,22:05:18,2025-02-25T22:05:18Z,2025-02-25T22:05:18Z,Popup,v3,471318,north-park,NA,"Cowans, Blake",1000299314,Right,UIC_FLA,53.95551,-128.79932,13.49632,5.70946,-3.03304,-8.61028,0.83262,-2.01894,-0.39337,211.018633,1.3259,36.30619,-6.91979,-3.89905,5.45653,-2.73557,0.69889,-0.08929,0.00452,2.72715,82.45363,-23.8129,1.69262,0.38838,-0.41267,0.13702,-0.02113,0.00125,-0.1392,42.1583,-3.16128,1.02323,-0.70001,0.3201,-0.07975,0.00991,-4.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-02-25,17:05:54,"Barrera, Robert",10098166,Left,UIC_FLA,Undefined,Fastball,NA,NA,88.87875,-2.640555,0.881596,2020.270054,166.136364,11:30:00,5.71696,-1.03065,6.31692,-17.79639,17.17343,-3.95146,1.79979,-0.54786,81.05422,-6.037815,0.166436,0.425616,2.30079,10.04064,0.9679,50,5.51499,-1.82537,-129.00345,-6.42887,3.86016,27.93678,-15.32824,ab974954-7e33-431f-8148-82fec97af0d1,NA,NA,NA,NA,NA,1000119796,"Sommerfeld, Nathan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NOR_PAR,1,Top,1,1,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,NOR_PAR,CurtisGrandisonStadium,D1,MVC,20250225-CurtisGrandisonStadium-1,af538280-f3c4-11ef-bb80-07a8350267de,88.55966,NA,NA,7.82453,NA,NA,NA,5326abd5-f4e5-4cb5-97e8-a1c82e9b10e0,2025-02-25,22:05:54,2025-02-25T22:05:54Z,2025-02-25T22:05:54Z,NA,v3,471318,north-park,NA,"Cowans, Blake",1000299314,Right,UIC_FLA,54.17989,-129.90549,13.96839,5.71458,-5.93395,-7.66412,1.02885,-1.95001,1.93008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-25,17:06:16,"Barrera, Robert",10098166,Left,UIC_FLA,Undefined,Fastball,NA,NA,89.89467,-1.376586,0.817585,2173.682217,174.382776,11:45:00,5.56624,-0.8066,6.22041,-18.45296,15.78973,-1.44284,2.75788,-0.17236,81.9218,-4.891739,0.556984,0.421168,0.98929,8.93296,0.74615,50,5.45398,-1.8055,-130.59357,-3.6683,1.70065,28.67927,-16.81787,ee46ee33-bf9e-48b8-a110-da6ea1ff5940,NA,NA,NA,NA,83.917756,1000119796,"Sommerfeld, Nathan",NA,NA,66.5555,Right,67.594903,NA,NA,NA,125.11476,47.17961,4.615453,104.044751,1.90946,4.68557,0.30168,NA,NA,NA,NA,NA,2,4,NOR_PAR,1,Top,1,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,NOR_PAR,CurtisGrandisonStadium,D1,MVC,20250225-CurtisGrandisonStadium-1,bc360090-f3c4-11ef-bb80-07a8350267de,89.495,94.55267,NA,7.97287,NA,NA,NA,5326abd5-f4e5-4cb5-97e8-a1c82e9b10e0,2025-02-25,22:06:16,2025-02-25T22:06:16Z,2025-02-25T22:06:16Z,Popup,v3,471318,north-park,NA,"Cowans, Blake",1000299314,Right,UIC_FLA,54.27812,-131.52972,14.33964,5.56476,-3.11933,-8.40893,0.80599,-1.86101,0.85032,NA,1.90612,3.97685,-9.66867,3.39685,-0.28368,-0.32798,0.15561,-0.02753,0.00175,4.69871,89.92244,-26.05483,0.34896,2.21365,-1.31537,0.3647,-0.05021,0.00275,0.30888,36.83069,-2.98139,-0.91797,1.13367,-0.50557,0.11304,-0.01231,5.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
9,2025-02-25,17:06:40,"Barrera, Robert",10098166,Left,UIC_FLA,Undefined,Fastball,NA,NA,86.7521,-2.955045,2.026613,1703.977672,121.699329,10:00:00,5.44668,-1.17364,6.44382,-26.14289,10.23123,-14.71568,0.54875,-0.53701,79.7805,-7.846664,-0.644803,0.434078,8.30154,6.5191,1.03627,50,5.22498,-3.9107,-125.97109,-7.27424,13.34372,25.51388,-21.69544,ef9aff60-053b-4ae5-87cc-7a58f5f0961b,NA,NA,NA,NA,NA,1000119796,"Sommerfeld, Nathan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NOR_PAR,1,Top,1,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,NOR_PAR,CurtisGrandisonStadium,D1,MVC,20250225-CurtisGrandisonStadium-1,ca7a7fa0-f3c4-11ef-bb80-07a8350267de,86.83336,NA,NA,6.9716,NA,NA,NA,5326abd5-f4e5-4cb5-97e8-a1c82e9b10e0,2025-02-25,22:06:40,2025-02-25T22:06:40Z,2025-02-25T22:06:40Z,NA,v3,471318,north-park,NA,"Cowans, Blake",1000299314,Right,UIC_FLA,54.05661,-126.79004,12.75694,5.44729,-6.57785,-10.84772,1.16867,-4.33901,6.67186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-25,17:07:02,"Barrera, Robert",10098166,Left,UIC_FLA,Undefined,Fastball,NA,NA,89.45683,-2.500299,1.305797,2201.884497,159.856148,11:15:00,5.61412,-0.9435,6.44021,-17.50513,16.45615,-5.6678,1.85574,-0.2157,82.48886,-5.826315,0.277832,0.419434,3.32099,9.58587,0.85331,50,5.42841,-2.74863,-130.0434,-6.159,5.72693,25.47655,-15.64342,08bb706b-81f3-4e65-85aa-cc80690ebd1f,NA,NA,NA,NA,9.344643,1000119796,"Sommerfeld, Nathan",4191.283906,NA,85.71944,Right,52.36287,NA,NA,NA,NA,37.75213,NA,NA,1.4865,2.26007,0.17551,NA,NA,NA,NA,NA,2,6,NOR_PAR,1,Top,1,2,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,UIC_FLA,NOR_PAR,CurtisGrandisonStadium,D1,MVC,20250225-CurtisGrandisonStadium-1,d7a9e530-f3c4-11ef-bb80-07a8350267de,89.86501,49.55136,NA,6.96796,NA,NA,NA,5326abd5-f4e5-4cb5-97e8-a1c82e9b10e0,2025-02-25,22:07:02,2025-02-25T22:07:02Z,2025-02-25T22:07:02Z,NA,v3,471318,north-park,NA,"Cowans, Blake",1000299314,Right,UIC_FLA,54.06011,-130.83639,12.73827,5.61253,-5.67208,-7.82171,0.94164,-2.92688,2.86347,NA,1.4865,75.75434,-20.02845,5.52833,-1.005,-0.71779,1.93245,-2.09169,0.91535,2.26007,99.55806,-21.03479,1.40959,-0.32086,0.85656,-1.75525,1.86162,-0.81197,0.17551,12.46578,4.28586,-1.29948,0.24066,0.23049,-0.59295,0.64006,-0.27997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
