PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-25,18:32:00,"Soucie, Jackson",1000217824,Left,SOU_GAM,Undefined,Fastball,NA,NA,90.19756,-1.949917,2.398282,2184.422463,128.038892,10:15:00,5.75868,-2.10442,5.57689,-18.83155,16.53265,-19.44922,2.36585,-1.48386,81.14552,-5.520699,-1.070647,0.428009,10.52201,9.3493,1.91055,50,5.57867,-4.57374,-130.58629,-5.04431,17.87378,31.66925,-16.2924,aec0e470-3de7-4089-a25d-24335f6a84c0,NA,NA,NA,NA,NA,1000122224,"Knight, Lawson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,GAR_RUN,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,GAR_RUN,UofSouthCarolina,D1,SEC,20250225-UofSouthCarolina-1,b6283450-f3d0-11ef-be8e-5598c5960852,88.06452,NA,NA,9.05204,NA,NA,NA,319a97da-e954-4112-b5dc-697346ebbda8,2025-02-25,23:32:00,2025-02-25T23:32:00Z,2025-02-25T23:32:00Z,NA,v3,471441,471504,25 February 2025 18:30-gardwebb@scarolina,"Kaufer, Max",806130,Right,SOU_GAM,54.92037,-131.77416,15.83462,5.75642,-4.43321,-8.1462,2.09468,-5.24416,8.93689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-25,18:32:14,"Soucie, Jackson",1000217824,Left,SOU_GAM,Undefined,Fastball,NA,NA,89.36199,-1.876403,3.501129,2152.576077,121.177344,10:00:00,5.62753,-2.08444,5.45866,-23.65722,12.73229,-18.72595,1.89574,-0.36354,80.13022,-6.306668,0.172085,0.434169,10.5617,7.43532,1.78865,50,5.44606,-7.04657,-129.18669,-5.05366,17.48952,31.96426,-19.86164,0aa4eed9-5cc8-4af0-a98f-5f9a7b055968,NA,NA,NA,NA,NA,1000122224,"Knight, Lawson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,GAR_RUN,1,Top,0,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,GAR_RUN,UofSouthCarolina,D1,SEC,20250225-UofSouthCarolina-1,beefabe0-f3d0-11ef-be8e-5598c5960852,86.81504,NA,NA,9.23177,NA,NA,NA,319a97da-e954-4112-b5dc-697346ebbda8,2025-02-25,23:32:14,2025-02-25T23:32:14Z,2025-02-25T23:32:14Z,NA,v3,471441,471504,25 February 2025 18:30-gardwebb@scarolina,"Kaufer, Max",806130,Right,SOU_GAM,55.03886,-130.42748,15.98213,5.62727,-4.28267,-9.93082,2.07536,-7.72548,8.74476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-25,18:32:28,"Soucie, Jackson",1000217824,Left,SOU_GAM,Undefined,Fastball,NA,NA,89.5748,-3.213253,2.622169,2140.239283,112.639355,09:45:00,5.69851,-2.15423,5.40268,-26.63234,9.73229,-19.95103,0.46186,-1.358,80.49934,-8.142635,-0.928821,0.434021,10.84296,6.40059,1.93458,50,5.39344,-5.00177,-129.43454,-8.23627,17.99764,32.45017,-21.55006,a3ed568b-dc48-40df-9ab6-d3d252ef9cc0,NA,NA,NA,NA,NA,1000122224,"Knight, Lawson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,GAR_RUN,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,GAR_RUN,UofSouthCarolina,D1,SEC,20250225-UofSouthCarolina-1,c761d780-f3d0-11ef-be8e-5598c5960852,86.84467,NA,NA,9.07546,NA,NA,NA,319a97da-e954-4112-b5dc-697346ebbda8,2025-02-25,23:32:28,2025-02-25T23:32:28Z,2025-02-25T23:32:28Z,NA,v3,471441,471504,25 February 2025 18:30-gardwebb@scarolina,"Kaufer, Max",806130,Right,SOU_GAM,55.09445,-130.70551,16.22509,5.6995,-7.39221,-10.77503,2.14429,-5.70668,8.99882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-25,18:32:45,"Soucie, Jackson",1000217824,Left,SOU_GAM,Undefined,Fastball,NA,NA,90.28269,-0.379465,1.96481,2205.795702,126.590608,10:15:00,5.73013,-2.36871,5.67641,-19.39186,16.02505,-19.7084,3.76017,-2.17863,80.43841,-4.085387,-1.556868,0.428328,10.60666,8.63457,2.21526,50,5.68633,-3.58154,-130.7178,-1.46628,17.88288,34.12085,-17.61612,ee158363-deb6-403b-9883-ddfd542174f9,NA,NA,NA,NA,NA,1000122224,"Knight, Lawson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,GAR_RUN,1,Top,0,2,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,GAR_RUN,UofSouthCarolina,D1,SEC,20250225-UofSouthCarolina-1,d0ef3720-f3d0-11ef-be8e-5598c5960852,87.99895,NA,NA,9.84428,NA,NA,NA,319a97da-e954-4112-b5dc-697346ebbda8,2025-02-25,23:32:45,2025-02-25T23:32:45Z,2025-02-25T23:32:45Z,NA,v3,471441,471504,25 February 2025 18:30-gardwebb@scarolina,"Kaufer, Max",806130,Right,SOU_GAM,54.81973,-131.96988,17.06042,5.72827,-0.81985,-8.80806,2.35873,-4.23776,8.94144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-25,18:33:04,"Soucie, Jackson",1000217824,Left,SOU_GAM,Undefined,Fastball,NA,NA,88.30281,-1.264944,2.422028,2151.644202,125.006828,10:15:00,5.68485,-2.25451,5.38076,-23.44218,13.88926,-17.77836,2.54428,-1.4642,79.09695,-5.663732,-0.737435,0.439753,9.68351,7.80079,2.05046,50,5.55555,-4.58742,-127.7674,-3.61996,15.67009,31.49246,-19.55065,ab0b6be7-7df3-4a33-843b-1f8e7d7f76d0,NA,NA,NA,NA,NA,1000122224,"Knight, Lawson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,GAR_RUN,1,Top,0,3,1,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,SOU_GAM,GAR_RUN,UofSouthCarolina,D1,SEC,20250225-UofSouthCarolina-1,dc98e710-f3d0-11ef-be8e-5598c5960852,85.71276,NA,NA,9.20585,NA,NA,NA,319a97da-e954-4112-b5dc-697346ebbda8,2025-02-25,23:33:04,2025-02-25T23:33:04Z,2025-02-25T23:33:04Z,NA,v3,471441,471504,25 February 2025 18:30-gardwebb@scarolina,"Kaufer, Max",806130,Right,SOU_GAM,55.11583,-129.0222,15.74623,5.68427,-2.84098,-9.77532,2.24568,-5.21179,7.83505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-25,18:33:38,"Soucie, Jackson",1000217824,Left,SOU_GAM,Undefined,Fastball,NA,NA,90.24573,-1.158657,3.137606,2186.402358,130.638261,10:15:00,5.80175,-2.07408,5.39399,-18.58218,17.34351,-18.5269,3.16556,-0.67448,80.30758,-4.704399,-0.151769,0.431394,10.35548,9.49871,1.80713,50,5.68579,-6.2803,-130.44458,-3.23214,17.38213,34.04,-16.23004,42dcf8c7-7675-4c19-a891-180cd87f6d62,NA,NA,NA,NA,NA,1000121110,"Capozzi, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,GAR_RUN,1,Top,0,0,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,GAR_RUN,UofSouthCarolina,D1,SEC,20250225-UofSouthCarolina-1,f0ed85e0-f3d0-11ef-be8e-5598c5960852,87.37361,NA,NA,9.93816,NA,NA,NA,319a97da-e954-4112-b5dc-697346ebbda8,2025-02-25,23:33:38,2025-02-25T23:33:38Z,2025-02-25T23:33:38Z,NA,v3,471441,471504,25 February 2025 18:30-gardwebb@scarolina,"Kaufer, Max",806130,Right,SOU_GAM,55.10218,-131.76928,17.02,5.79928,-2.60053,-8.11502,2.06469,-6.95675,8.69106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-25,18:34:15,"Soucie, Jackson",1000217824,Left,SOU_GAM,Undefined,Fastball,NA,NA,88.30246,-1.67819,3.939668,2154.682047,130.028162,10:15:00,5.64682,-2.04864,5.44223,-21.81033,15.63737,-16.8467,2.25373,0.24223,78.83602,-5.797491,0.949217,0.440437,9.80213,8.85398,1.71171,50,5.4836,-8.01827,-127.54069,-4.45665,15.76745,31.95977,-17.93177,1a3534e8-9d98-49b2-b1f5-7ea8b3f8fdd4,NA,NA,NA,NA,NA,1000121110,"Capozzi, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,GAR_RUN,1,Top,0,0,1,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,GAR_RUN,UofSouthCarolina,D1,SEC,20250225-UofSouthCarolina-1,07290d20-f3d1-11ef-be8e-5598c5960852,85.57961,NA,NA,9.46644,NA,NA,NA,319a97da-e954-4112-b5dc-697346ebbda8,2025-02-25,23:34:15,2025-02-25T23:34:15Z,2025-02-25T23:34:15Z,NA,v3,471441,471504,25 February 2025 18:30-gardwebb@scarolina,"Kaufer, Max",806130,Right,SOU_GAM,55.05435,-128.801,15.97989,5.64541,-3.74952,-8.96589,2.04017,-8.64006,7.88373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-25,18:34:37,"Soucie, Jackson",1000217824,Left,SOU_GAM,Undefined,Fastball,NA,NA,89.41375,-2.861271,2.953804,2151.519414,132.564744,10:30:00,5.638,-2.03179,5.51047,-18.27477,18.04977,-18.10635,1.43355,-0.77591,80.1007,-6.338468,-0.269632,0.433782,10.11985,10.47178,1.78645,50,5.37617,-5.84912,-129.23826,-7.03218,16.75073,32.29148,-14.8408,dec46371-1028-4b92-904a-cfba1c84170b,NA,NA,NA,NA,NA,1000121110,"Capozzi, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,GAR_RUN,1,Top,0,0,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,GAR_RUN,UofSouthCarolina,D1,SEC,20250225-UofSouthCarolina-1,13fc7000-f3d1-11ef-be8e-5598c5960852,86.89258,NA,NA,9.31305,NA,NA,NA,319a97da-e954-4112-b5dc-697346ebbda8,2025-02-25,23:34:37,2025-02-25T23:34:37Z,2025-02-25T23:34:37Z,NA,v3,471441,471504,25 February 2025 18:30-gardwebb@scarolina,"Kaufer, Max",806130,Right,SOU_GAM,54.98716,-130.4784,16.14574,5.63529,-6.46223,-7.4204,2.02344,-6.49243,8.37536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.29925,NA,0.792883,NA,0.81521,1.36647,0.77893,-1.50983,4.81808,3.92726,NA,NA,NA,-1.48389,89.07132,-11.40876,4.82741,2.49457,-13.49854,3.93325,73.9973,-4.49249,High,High,High,NA,NA,High,High,Medium
9,2025-02-25,18:35:04,"Soucie, Jackson",1000217824,Left,SOU_GAM,Undefined,Fastball,NA,NA,90.64839,-1.98071,3.370975,2213.427591,120.886404,10:00:00,5.72523,-2.04015,5.5509,-21.66041,13.6254,-20.47863,2.06535,-0.59302,81.13416,-6.061606,-0.276695,0.427535,11.51713,7.94878,1.76224,50,5.53963,-6.79235,-131.08089,-5.27,19.59121,33.47212,-18.6528,ac8ce6f4-4f34-4e6a-aa6e-02c3d9cd2c13,NA,NA,NA,NA,35.121934,1000121110,"Capozzi, Nick",3853.959505,NA,72.76501,Right,43.099884,81.48607,75.48914,73.89182,225.58125,163.07838,4.593287,47.039622,1.0924,2.79005,0.82452,NA,NA,NA,NA,NA,2,4,GAR_RUN,1,Top,0,1,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,GAR_RUN,UofSouthCarolina,D1,SEC,20250225-UofSouthCarolina-1,23d6d150-f3d1-11ef-be8e-5598c5960852,88.16224,77.19031,NA,9.51422,NA,NA,NA,319a97da-e954-4112-b5dc-697346ebbda8,2025-02-25,23:35:04,2025-02-25T23:35:04Z,2025-02-25T23:35:04Z,FlyBall,v3,471441,471504,25 February 2025 18:30-gardwebb@scarolina,"Kaufer, Max",806130,Right,SOU_GAM,54.94776,-132.3383,16.73606,5.72444,-4.56929,-9.3264,2.03122,-7.5283,9.7956,210.310344,1.09782,63.60589,-15.97805,3.45674,0.02727,-0.33337,0.10899,-0.01489,7.6e-4,2.78816,72.95442,-20.23046,1.38199,-0.06768,-0.0925,0.04709,-0.00895,6e-4,0.82503,44.81782,-2.85993,-0.04596,0.246,-0.11478,0.02961,-0.00403,2.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
10,2025-02-25,18:41:47,"Soucie, Jackson",1000217824,Left,SOU_GAM,Undefined,Fastball,NA,NA,82.20948,-2.302613,1.970929,1923.013351,137.123276,10:30:00,5.65241,-2.23788,5.16235,-25.38966,17.85934,-15.07792,1.36684,-1.63852,74.16469,-7.035485,-0.699238,0.473325,8.14122,10.10343,2.06601,50,5.41869,-3.44449,-118.93251,-5.60517,11.47359,26.22752,-17.93509,2a411d16-fce2-41a2-9c07-d1c6e4e5155c,NA,NA,NA,NA,NA,1000121110,"Capozzi, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,GAR_RUN,1,Top,0,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,GAR_RUN,UofSouthCarolina,D1,SEC,20250225-UofSouthCarolina-1,144d0b90-f3d2-11ef-be8e-5598c5960852,79.63332,NA,NA,8.04479,NA,NA,NA,319a97da-e954-4112-b5dc-697346ebbda8,2025-02-25,23:41:47,2025-02-25T23:41:47Z,2025-02-25T23:41:47Z,NA,v3,471441,471504,25 February 2025 18:30-gardwebb@scarolina,"Kaufer, Max",806130,Right,SOU_GAM,55.33504,-120.10326,13.11376,5.65103,-4.80458,-8.96755,2.2312,-3.95664,5.7368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
