PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-17,12:05:17,"Mosiello, Andrew",805649,Right,SAN_TOR,Undefined,Fastball,NA,NA,92.08562,-2.440963,-1.227661,2309.532279,200.085757,12:45:00,5.34633,0.89812,6.62,-15.06284,17.04052,5.85272,1.85372,0.26135,84.13401,-5.346081,-0.162693,0.4078,-3.4183500000000002,9.96709,-0.81688,50,5.17386,2.6344,-133.78027,-6.08008,-6.18328,29.36872,-14.14501,821a7c71-3ceb-493e-941f-b1cc3edd6297,NA,NA,NA,NA,NA,823055,"Griffin, Colton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TCU_HFG,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,TCU_HFG,UofSanDiego,D1,WCC,20250217-UofSanDiego-1,82742220-ed6a-11ef-b613-d1a84f726796,92.42884,NA,NA,7.95161,NA,NA,NA,c557d553-1438-4ab6-a70a-86c1c703c024,2025-02-17,20:05:17,2025-02-17T20:05:17Z,2025-02-17T20:05:17Z,NA,v3,5320,5045,17 February 2025 15:00-tcu@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,53.88087,-134.62954,14.68436,5.34377,-5.67104,-7.0725,-0.89565,2.81321,-3.09164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-17,12:05:33,"Mosiello, Andrew",805649,Right,SAN_TOR,Undefined,Fastball,NA,NA,91.08215,-0.249685,-1.962185,2372.269782,191.890085,12:30:00,5.40575,0.94362,6.44673,-17.30426,15.6458,3.07792,3.73417,-0.60355,83.2061,-3.564018,-1.404518,0.413142,-2.15858,8.5665,-0.80573,50,5.38005,4.41309,-132.38337,-1.05094,-3.82945,28.34313,-16.97651,53eea132-1119-47cb-bebe-bfae5926296c,NA,NA,NA,NA,NA,823055,"Griffin, Colton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,TCU_HFG,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,TCU_HFG,UofSanDiego,D1,WCC,20250217-UofSanDiego-1,8b9d41b0-ed6a-11ef-b613-d1a84f726796,91.23357,NA,NA,7.87605,NA,NA,NA,c557d553-1438-4ab6-a70a-86c1c703c024,2025-02-17,20:05:33,2025-02-17T20:05:33Z,2025-02-17T20:05:33Z,NA,v3,5320,5045,17 February 2025 15:00-tcu@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.0548,-133.24867,14.171569999999999,5.40422,-0.53266,-8.48825,-0.94224,4.53,-1.91472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-17,12:05:55,"Mosiello, Andrew",805649,Right,SAN_TOR,Undefined,Fastball,NA,NA,91.97035,-1.009752,-0.645314,2421.833106,198.080321,12:30:00,5.38936,1.1572,6.52048,-15.5565,16.6467,5.10504,3.16632,0.99048,84.0603,-4.005711,0.281872,0.408433,-2.8465,9.308,-1.11425,50,5.31194,1.30039,-133.72855,-2.76066,-5.15372,28.88632,-15.3215,3b27b304-29bf-44ca-8bc9-b9e3febd2b5b,NA,NA,NA,NA,NA,823055,"Griffin, Colton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,TCU_HFG,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,TCU_HFG,UofSanDiego,D1,WCC,20250217-UofSanDiego-1,98b72370-ed6a-11ef-b613-d1a84f726796,92.28544,NA,NA,7.91005,NA,NA,NA,c557d553-1438-4ab6-a70a-86c1c703c024,2025-02-17,20:05:55,2025-02-17T20:05:55Z,2025-02-17T20:05:55Z,NA,v3,5320,5045,17 February 2025 15:00-tcu@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,53.98035,-134.58559,14.44316,5.3871,-2.30608,-7.66075,-1.1551,1.4533,-2.57686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-17,12:06:12,"Mosiello, Andrew",805649,Right,SAN_TOR,Undefined,Slider,NA,NA,77.16297,1.48085,-1.390664,2253.862655,62.538222,08:00:00,5.20475,1.21625,5.91097,-52.10566,-5.42571,-13.04717,2.23785,-1.16208,71.34102,-8.065087,-3.733982,0.491741,6.33343,-2.78748,-1.09708,50,5.29373,3.19169,-112.18132,1.26881,8.09479,19.72958,-35.73677,5476b582-28e3-4e90-8eec-2302cd5d35ee,NA,NA,NA,NA,NA,823055,"Griffin, Colton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,TCU_HFG,1,Top,0,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,TCU_HFG,UofSanDiego,D1,WCC,20250217-UofSanDiego-1,a35026b0-ed6a-11ef-b613-d1a84f726796,76.65097,NA,NA,5.82195,NA,NA,NA,c557d553-1438-4ab6-a70a-86c1c703c024,2025-02-17,20:06:12,2025-02-17T20:06:12Z,2025-02-17T20:06:12Z,NA,v3,5320,5045,17 February 2025 15:00-tcu@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.5944,-112.98646,9.86479,5.2122,2.72718,-17.86838,-1.22059,2.86135,4.0474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
5,2025-02-17,12:06:30,"Mosiello, Andrew",805649,Right,SAN_TOR,Undefined,Fastball,NA,NA,90.08688,-0.434464,-2.239913,2285.226531,182.58439,12:00:00,5.2948,0.9429,6.48225,-20.36769,13.18733,0.54941,3.19824,-1.06912,82.61448,-4.29893,-2.140335,0.416918,-0.89547,7.34142,-0.7856,50,5.25507,5.10105,-130.95893,-1.57716,-1.55899,27.00658,-19.39262,b3ad1bf3-c515-4760-be04-8cb4b02863c9,NA,NA,NA,NA,NA,823055,"Griffin, Colton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,TCU_HFG,1,Top,0,2,2,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,SAN_TOR,TCU_HFG,UofSanDiego,D1,WCC,20250217-UofSanDiego-1,adc415c0-ed6a-11ef-b613-d1a84f726796,90.40739,NA,NA,7.4724,NA,NA,NA,c557d553-1438-4ab6-a70a-86c1c703c024,2025-02-17,20:06:30,2025-02-17T20:06:30Z,2025-02-17T20:06:30Z,NA,v3,5320,5045,17 February 2025 15:00-tcu@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.01997,-131.78533,13.50329,5.29425,-0.98375,-9.69631,-0.94243,5.14876,-0.77949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-17,12:07:05,"Mosiello, Andrew",805649,Right,SAN_TOR,Undefined,Cutter,NA,NA,84.8074,0.749956,-0.718887,2349.689503,127.688244,10:15:00,5.29413,1.17807,5.95417,-31.2286,7.18445,-7.88217,3.38739,-0.14554,78.21611,-5.040275,-2.13502,0.446078,3.85705,3.84701,-1.11655,50,5.3362,1.86031,-123.32136,0.59919,5.98826,22.65099,-26.20136,ad484e8e-624f-4f4a-b035-04df8c6412c4,NA,NA,NA,NA,NA,822347,"Cadena, Isaac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,TCU_HFG,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,TCU_HFG,UofSanDiego,D1,WCC,20250217-UofSanDiego-1,c2e33080-ed6a-11ef-b613-d1a84f726796,84.49744,NA,NA,6.59128,NA,NA,NA,c557d553-1438-4ab6-a70a-86c1c703c024,2025-02-17,20:07:05,2025-02-17T20:07:05Z,2025-02-17T20:07:05Z,NA,v3,5320,5045,17 February 2025 15:00-tcu@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.54809,-124.15392,11.3255,5.29648,1.56225,-13.10068,-1.18088,1.6402,2.99413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-17,12:07:22,"Mosiello, Andrew",805649,Right,SAN_TOR,Undefined,Fastball,NA,NA,91.09871,-1.158817,-1.953732,2117.608662,192.023599,12:30:00,5.34848,0.94818,6.5632,-15.43713,17.27714,3.46666,2.99887,-0.55485,83.48472,-4.131545,-1.324173,0.411661,-2.36449,9.72079,-0.81497,50,5.26181,4.38558,-132.45471,-3.07759,-4.20932,27.74368,-14.86901,203793b1-2f22-4ce0-ade5-cf50305966b4,NA,NA,NA,NA,4.717073,822347,"Cadena, Isaac",3934.142957,NA,83.26051,Left,50.566046,109.99526,113.6874,-1.01925,248.88713,127.02617,5.66181,-4.278092,1.79573,4.04776,0.28428,NA,NA,NA,NA,NA,2,2,TCU_HFG,1,Top,1,0,1,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,SAN_TOR,TCU_HFG,UofSanDiego,D1,WCC,20250217-UofSanDiego-1,cca13d10-ed6a-11ef-b613-d1a84f726796,91.56178,122.60426,NA,7.61399,NA,NA,NA,c557d553-1438-4ab6-a70a-86c1c703c024,2025-02-17,20:07:22,2025-02-17T20:07:22Z,2025-02-17T20:07:22Z,FlyBall,v3,5320,5045,17 February 2025 15:00-tcu@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,53.93954,-133.27732,13.87184,5.34653,-2.63672,-7.4345,-0.94685,4.51039,-2.10466,161.728083,1.80012,77.20721,-16.59898,3.70894,-0.34888,-0.0638,0.02468,-0.0029,1.2e-4,4.04561,94.35049,-22.36728,2.05553,-0.30529,-0.00903,0.01768,-0.00332,2e-4,0.28622,6.33229,-6.0036,1.56425,-0.12941,-0.05113,0.01866,-0.00242,1.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
8,2025-02-17,12:08:00,"Mosiello, Andrew",805649,Right,SAN_TOR,Undefined,Fastball,NA,NA,90.36185,-0.863609,-2.052412,2177.324304,187.116712,12:15:00,5.34174,0.86162,6.46798,-16.7521,16.77351,1.96055,3.15196,-0.86091,82.44143,-4.082592,-1.697074,0.416735,-1.60606,9.33961,-0.71757,50,5.27304,4.6266,-131.28306,-2.41933,-2.79714,28.33678,-15.90828,fb359f18-6c08-4b3c-9f36-3192ad59364c,NA,NA,NA,NA,NA,1000269664,"Brunson, Chase",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,TCU_HFG,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,TCU_HFG,UofSanDiego,D1,WCC,20250217-UofSanDiego-1,e33c2260-ed6a-11ef-b613-d1a84f726796,90.44708,NA,NA,7.92043,NA,NA,NA,c557d553-1438-4ab6-a70a-86c1c703c024,2025-02-17,20:08:00,2025-02-17T20:08:00Z,2025-02-17T20:08:00Z,NA,v3,5320,5045,17 February 2025 15:00-tcu@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.0326,-132.15061,14.16839,5.33965,-1.93228,-7.95414,-0.86053,4.71224,-1.39857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-17,12:08:15,"Mosiello, Andrew",805649,Right,SAN_TOR,Undefined,Cutter,NA,NA,83.60329,0.606258,-0.504134,2334.119262,113.541499,09:45:00,5.22059,1.1913,6.00556,-35.53628,4.21898,-6.85693,2.82101,0.15277,76.61171,-5.982572,-1.737983,0.453804,3.41051,2.34004,-1.14781,50,5.24861,1.33099,-121.51951,0.14628,5.09442,24.04653,-28.67862,1ee0d358-b8ea-4e10-8c91-0f771fd352f1,NA,NA,NA,NA,170.692669,1000269664,"Brunson, Chase",2287.914164,NA,67.25528,Right,27.126742,NA,NA,NA,NA,39.09342,NA,NA,2.0998,2.92537,-0.19358,NA,NA,NA,NA,NA,3,2,TCU_HFG,1,Top,2,1,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,TCU_HFG,UofSanDiego,D1,WCC,20250217-UofSanDiego-1,ec503350-ed6a-11ef-b613-d1a84f726796,83.05879,19.3316,NA,6.99157,NA,NA,NA,c557d553-1438-4ab6-a70a-86c1c703c024,2025-02-17,20:08:15,2025-02-17T20:08:15Z,2025-02-17T20:08:15Z,NA,v3,5320,5045,17 February 2025 15:00-tcu@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.49746,-122.40623,12.02326,5.22372,1.20383,-14.33931,-1.19343,1.14313,2.54721,335.658964,2.09872,-86.60545,5.53915,NA,NA,NA,NA,NA,NA,2.93635,44.67313,-22.48536,NA,NA,NA,NA,NA,NA,-0.19065,14.11733,-2.80082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
10,2025-02-17,12:08:35,"Mosiello, Andrew",805649,Right,SAN_TOR,Undefined,Slider,NA,NA,77.27429,2.127221,-0.711485,2366.528137,69.796752,08:15:00,5.18314,1.13232,5.81861,-53.3042,-4.93288,-18.62643,2.72011,-1.08146,68.98331,-7.731458,-4.050114,0.500571,9.22796,-2.77815,-1.06289,50,5.32622,2.09544,-111.90624,2.46251,11.31321,26.43789,-35.57999,08a07edf-1f39-4d3d-b509-104264dd926b,NA,NA,NA,NA,11.655096,1000269664,"Brunson, Chase",2513.819554,NA,80.42114,Right,16.765843,106.15973,22.64732,28.81156,224.73513,224.73513,2.562676,18.55791,1.65099,2.79631,1.05327,NA,NA,NA,NA,NA,3,3,TCU_HFG,1,Top,2,1,1,Curveball,InPlay,Undefined,Popup,Single,0,0,NA,SAN_TOR,TCU_HFG,UofSanDiego,D1,WCC,20250217-UofSanDiego-1,f823d970-ed6a-11ef-b613-d1a84f726796,75.29893,22.82479,NA,8.29098,NA,NA,NA,c557d553-1438-4ab6-a70a-86c1c703c024,2025-02-17,20:08:35,2025-02-17T20:08:35Z,2025-02-17T20:08:35Z,LineDrive,v3,5320,5045,17 February 2025 15:00-tcu@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.68215,-113.00698,13.21894,5.19285,3.94388,-17.79,-1.14033,1.62441,5.6566,228.107792,1.65099,110.60825,-16.4324,3.24248,-0.6436,0.11949,-0.02042,0.0027,-1.8e-4,2.79631,34.0242,-15.25786,0.78623,-0.10625,0.01601,-8e-4,7e-5,-1e-5,1.05327,22.81553,3.17168,-0.87603,0.21838,-0.04763,0.0087,-0.00116,8e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
