PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,14:04:41,"Eaquinto, Derik",813808,Left,STM_GAE,Undefined,Fastball,NA,NA,85.36387,-0.003414,2.916603,2137.789412,120.741479,10:00:00,5.84444,-2.47133,6.69411,-25.83399,11.90323,-17.72808,3.68848,-1.27919,76.93106,-4.941433,-0.31038,0.442137,10.19123,6.67878,2.28266,50,5.83405,-5.63877,-123.8714,-0.69538,15.58826,28.33565,-21.95834,a7cd5438-08ed-4339-bd37-df6e89b6b0fd,NA,NA,NA,NA,NA,1000124474,"Hefft, Jason",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,UNL_REB,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STM_GAE,UNL_REB,BruceHurst,D1,WCC,20250307-BruceHurst-1,ca3b4490-fb97-11ef-bc47-ff5fd8342268,85.25066,NA,NA,8.43281,NA,NA,NA,6b644251-b384-4014-964c-5fef4206d330,2025-03-07,21:04:41,2025-03-07T21:04:41Z,2025-03-07T21:04:41Z,NA,v3,471428,471376,NA,"Conrad, Blake",1000352434,Right,STM_GAE,53.80184,-124.73804,14.16783,5.84504,-0.02379,-10.97917,2.46241,-6.11554,7.79413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-07,14:04:54,"Eaquinto, Derik",813808,Left,STM_GAE,Undefined,Fastball,NA,NA,85.43562,-1.907177,5.386478,2132.973677,122.570775,10:00:00,5.81032,-2.32614,6.5641,-25.30316,12.51422,-17.54639,1.94491,1.1643,77.65972,-6.700394,2.214543,0.442606,10.83961,7.52567,1.96132,50,5.66768,-11.01105,-123.62322,-4.82647,16.65487,26.28752,-20.61096,e3d0e675-a162-4e97-876f-281bb7de8274,NA,NA,NA,NA,NA,1000124474,"Hefft, Jason",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,UNL_REB,1,Top,0,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STM_GAE,UNL_REB,BruceHurst,D1,WCC,20250307-BruceHurst-1,d1bbbd30-fb97-11ef-bc47-ff5fd8342268,85.16027,NA,NA,7.77591,NA,NA,NA,6b644251-b384-4014-964c-5fef4206d330,2025-03-07,21:04:54,2025-03-07T21:04:54Z,2025-03-07T21:04:54Z,NA,v3,471428,471376,NA,"Conrad, Blake",1000352434,Right,STM_GAE,53.93494,-124.45714,13.14376,5.81042,-4.17263,-10.30548,2.31901,-11.53939,8.32744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,14:05:06,"Eaquinto, Derik",813808,Left,STM_GAE,Undefined,Fastball,NA,NA,85.00537,-1.540032,2.700168,2092.245573,120.588343,10:00:00,5.83745,-2.40365,6.70471,-25.79899,12.02603,-18.14288,2.27759,-1.44499,77.25124,-6.444345,-0.605886,0.44265,10.30827,7.21209,2.23007,50,5.72498,-5.14429,-123.4079,-4.00901,15.74875,26.6949,-21.15555,cb9a42d4-b812-4ac3-8108-2b71e951db32,NA,NA,NA,NA,NA,1000124474,"Hefft, Jason",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,UNL_REB,1,Top,0,2,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STM_GAE,UNL_REB,BruceHurst,D1,WCC,20250307-BruceHurst-1,d92e0500-fb97-11ef-bc47-ff5fd8342268,85.15171,NA,NA,7.75412,NA,NA,NA,6b644251-b384-4014-964c-5fef4206d330,2025-03-07,21:05:06,2025-03-07T21:05:06Z,2025-03-07T21:05:06Z,NA,v3,471428,471376,NA,"Conrad, Blake",1000352434,Right,STM_GAE,53.79236,-124.22553,13.34745,5.83785,-3.36104,-10.57777,2.39502,-5.62666,7.87438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-07,14:05:19,"Eaquinto, Derik",813808,Left,STM_GAE,Undefined,Fastball,NA,NA,86.14996,-0.364276,3.407396,2141.185311,114.351481,09:45:00,5.80389,-2.49747,6.55741,-27.94238,9.33083,-17.64253,3.14077,-0.83988,77.70231,-5.663354,0.205598,0.43941,10.26111,5.42158,2.26861,50,5.76713,-6.75218,-124.93175,-1.59672,15.97092,28.73727,-23.73564,aed27366-3545-4fd1-9122-cfccd7fb45b0,NA,NA,NA,NA,NA,1000124474,"Hefft, Jason",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,UNL_REB,1,Top,0,3,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,STM_GAE,UNL_REB,BruceHurst,D1,WCC,20250307-BruceHurst-1,e0d00f60-fb97-11ef-bc47-ff5fd8342268,85.77972,NA,NA,8.44764,NA,NA,NA,6b644251-b384-4014-964c-5fef4206d330,2025-03-07,21:05:19,2025-03-07T21:05:19Z,2025-03-07T21:05:19Z,NA,v3,471428,471376,NA,"Conrad, Blake",1000352434,Right,STM_GAE,53.93889,-125.83452,14.36864,5.80558,-0.85107,-11.86782,2.48861,-7.2539,7.98546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-07,14:05:35,"Eaquinto, Derik",813808,Left,STM_GAE,Undefined,Fastball,NA,NA,84.88761,-0.111624,3.742538,2071.4698,113.876979,09:45:00,5.86601,-2.34092,6.53006,-28.65344,9.49363,-18.54198,3.3756,-0.44801,77.12926,-5.525339,0.381203,0.444531,10.86564,5.38662,2.0883,50,5.84592,-7.37595,-123.18004,-1.05285,16.5701,26.17152,-23.95942,668da1f2-3d9b-48e8-a6e9-d3417db08c14,NA,NA,NA,NA,NA,1000124474,"Hefft, Jason",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,UNL_REB,1,Top,0,3,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,STM_GAE,UNL_REB,BruceHurst,D1,WCC,20250307-BruceHurst-1,eaa2b560-fb97-11ef-bc47-ff5fd8342268,84.79147,NA,NA,7.75835,NA,NA,NA,6b644251-b384-4014-964c-5fef4206d330,2025-03-07,21:05:35,2025-03-07T21:05:35Z,2025-03-07T21:05:35Z,NA,v3,471428,471376,NA,"Conrad, Blake",1000352434,Right,STM_GAE,53.96931,-124.02051,13.08576,5.86738,-0.28342,-11.97971,2.33372,-7.90809,8.28505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-07,14:06:00,"Eaquinto, Derik",813808,Left,STM_GAE,Undefined,ChangeUp,NA,NA,81.32318,-0.444484,3.817754,2219.291854,99.49647,09:15:00,5.83641,-2.44198,6.24853,-37.28034,4.97673,-20.79399,2.31887,-0.64865,73.71893,-7.404483,0.064722,0.467866,11.90973,3.19465,2.16726,50,5.78541,-7.07915,-117.8761,-2.03942,16.54485,25.05228,-27.73607,df0188f7-4dc5-4cc0-8a64-e0f55ea6c679,NA,NA,NA,NA,NA,1000124474,"Hefft, Jason",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,UNL_REB,1,Top,0,3,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,STM_GAE,UNL_REB,BruceHurst,D1,WCC,20250307-BruceHurst-1,f992b6b0-fb97-11ef-bc47-ff5fd8342268,80.56254,NA,NA,7.60425,NA,NA,NA,6b644251-b384-4014-964c-5fef4206d330,2025-03-07,21:06:00,2025-03-07T21:06:00Z,2025-03-07T21:06:00Z,NA,v3,471428,471376,NA,"Conrad, Blake",1000352434,Right,STM_GAE,54.24952,-118.77582,12.52614,5.84077,-1.04331,-13.86803,2.43217,-7.67334,8.27242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,14:06:32,"Eaquinto, Derik",813808,Left,STM_GAE,Undefined,Fastball,NA,NA,87.2345,-1.548566,3.571498,2149.926768,129.930665,10:15:00,5.86594,-2.50403,6.54433,-21.05836,15.07296,-16.53336,2.68778,-0.60217,79.2387,-5.57322,0.573205,0.432627,9.76378,8.7413,2.26332,50,5.74946,-7.27496,-126.54698,-3.98828,15.71081,27.68379,-18.1085,e9199b96-b2b1-4beb-a0bd-bc2dc6b43353,NA,NA,NA,NA,0.78621,814089,"Sheff, Cooper",4156.066524,NA,99.26806,Right,30.95636,109.85923,64.39871,5.55155,361.97625,351.03658,5.61532,8.394964,1.52423,2.77052,0.60895,NA,NA,NA,NA,NA,2,1,UNL_REB,1,Top,1,0,0,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,STM_GAE,UNL_REB,BruceHurst,D1,WCC,20250307-BruceHurst-1,0c3ab6f0-fb98-11ef-bc47-ff5fd8342268,87.12463,98.34933,NA,7.99581,NA,NA,NA,6b644251-b384-4014-964c-5fef4206d330,2025-03-07,21:06:32,2025-03-07T21:06:32Z,2025-03-07T21:06:32Z,FlyBall,v3,471428,471376,NA,"Conrad, Blake",1000352434,Right,STM_GAE,53.95443,-127.40912,13.84189,5.86489,-3.42434,-9.05425,2.4975,-7.76424,7.85541,194.556772,1.52763,124.78374,-26.09316,6.01898,-1.21934,0.21365,-0.0307,0.003,-1.3e-4,2.77063,74.88177,-16.3332,0.71375,0.05934,-0.07319,0.02139,-0.00278,1.3e-4,0.60851,1.72173,3.62334,-0.94982,0.20597,-0.03503,0.00424,-3.2e-4,1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
8,2025-03-07,14:07:08,"Eaquinto, Derik",813808,Left,STM_GAE,Undefined,Fastball,NA,NA,87.74949,-2.04435,5.851751,2145.657747,132.977335,10:30:00,5.78334,-2.45936,6.68086,-19.56206,16.18418,-16.0395,2.27259,1.57535,79.62778,-5.80121,2.951686,0.430315,10.12497,9.48945,2.07256,50,5.63791,-12.38638,-126.8529,-5.0401,16.39328,27.48874,-16.80971,7529203d-5b95-4077-a712-1f972fc03cc2,NA,NA,NA,NA,NA,1000114468,"Toigo, Dean",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,UNL_REB,1,Top,2,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STM_GAE,UNL_REB,BruceHurst,D1,WCC,20250307-BruceHurst-1,21c14610-fb98-11ef-bc47-ff5fd8342268,87.59266,NA,NA,8.12171,NA,NA,NA,6b644251-b384-4014-964c-5fef4206d330,2025-03-07,21:07:08,2025-03-07T21:07:08Z,2025-03-07T21:07:08Z,NA,v3,471428,471376,NA,"Conrad, Blake",1000352434,Right,STM_GAE,53.81644,-127.67724,13.74437,5.7815,-4.536,-8.40486,2.45137,-12.87799,8.19664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-07,14:07:20,"Eaquinto, Derik",813808,Left,STM_GAE,Undefined,Fastball,NA,NA,85.77312,0.057573,3.486557,2134.514483,123.846703,10:15:00,5.81772,-2.31855,6.40059,-26.05749,11.56375,-15.3182,3.69931,-0.38487,77.70663,-4.878983,0.716569,0.441456,8.98678,6.39902,2.07463,50,5.80997,-6.98027,-124.40281,-0.62248,13.95782,27.0318,-22.23537,f07db06e-a6c5-4ab0-ba1d-503d12f9a072,NA,NA,NA,NA,NA,1000114468,"Toigo, Dean",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,UNL_REB,1,Top,2,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STM_GAE,UNL_REB,BruceHurst,D1,WCC,20250307-BruceHurst-1,29150960-fb98-11ef-bc47-ff5fd8342268,85.38201,NA,NA,8.06648,NA,NA,NA,6b644251-b384-4014-964c-5fef4206d330,2025-03-07,21:07:20,2025-03-07T21:07:20Z,2025-03-07T21:07:20Z,NA,v3,471428,471376,NA,"Conrad, Blake",1000352434,Right,STM_GAE,54.0962,-125.28972,13.5159,5.81843,0.10706,-11.11768,2.31117,-7.43823,6.97891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-07,14:07:46,"Eaquinto, Derik",813808,Left,STM_GAE,Undefined,ChangeUp,NA,NA,80.5043,-1.196114,4.776461,2264.044547,99.013094,09:15:00,5.79604,-2.31899,6.47839,-37.99829,4.80744,-20.76387,1.5272,0.34683,73.14654,-8.300194,1.017816,0.470893,12.35276,3.33866,1.99089,50,5.69518,-9.00565,-116.59766,-3.52449,16.80246,24.36516,-27.63271,0d538610-bcf8-4916-946e-1c25dbb4ecb7,NA,NA,NA,NA,NA,1000114468,"Toigo, Dean",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,UNL_REB,1,Top,2,2,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,STM_GAE,UNL_REB,BruceHurst,D1,WCC,20250307-BruceHurst-1,38652c10-fb98-11ef-bc47-ff5fd8342268,80.04457,NA,NA,7.35776,NA,NA,NA,6b644251-b384-4014-964c-5fef4206d330,2025-03-07,21:07:46,2025-03-07T21:07:46Z,2025-03-07T21:07:46Z,NA,v3,471428,471376,NA,"Conrad, Blake",1000352434,Right,STM_GAE,54.02092,-117.4349,12.18258,5.79997,-2.57497,-13.81636,2.31026,-9.58302,8.40123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
