PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-16,14:02:35,"Tallon, James",810890,Left,DUK_BLU,Undefined,Slider,NA,NA,78.61973,1.230973,1.055104,2486.556254,267.726983,03:00:00,5.29095,-1.65754,6.24422,-42.86018,1.86949,11.26257,2.85498,0.25426,71.92822,-6.735895,3.09009,0.481359,-5.5024,1.08406,1.57392,50,5.3619,-2.51103,-114.23299,1.18285,-7.23637,21.96984,-30.74837,cebe5105-e5c9-443d-b3f4-67a9c23a8223,NA,NA,NA,NA,NA,701136,"Cross, Kerrington",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CIN_BEA,1,Top,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DUK_BLU,CIN_BEA,JackCoombs,D1,ACC,20250216-JackCoombs-1,95b6bd20-ec98-11ef-b983-634e297a505f,78.30417,NA,NA,6.69151,NA,NA,NA,2fc4e5ae-edf9-4790-a631-eb8161e6f193,2025-02-16,19:02:35,2025-02-16T19:02:35Z,2025-02-16T19:02:35Z,NA,v3,471284,471270,16 February 2025 13:00-cincy@duke,"Yu, Andrew",803187,Right,DUK_BLU,54.2535,-115.04813,10.98492,5.29685,2.3237,-15.37418,1.66211,-2.24254,-3.61819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-16,14:02:52,"Tallon, James",810890,Left,DUK_BLU,Undefined,Slider,NA,NA,75.2971,0.377544,-1.84759,2503.10629,302.754642,04:00:00,5.21651,-1.67017,6.0718,-56.45928,-6.5865,13.09497,0.86111,-2.28914,68.23614,-10.038311,0.51725,0.50828,-7.28977,-2.8261,1.80688,50,5.21719,3.044,-109.22579,-1.00457,-8.61685,23.10139,-35.51463,7c00bab2-212c-46f2-a5d7-c64ef158562f,NA,NA,NA,NA,NA,701136,"Cross, Kerrington",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,CIN_BEA,1,Top,0,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DUK_BLU,CIN_BEA,JackCoombs,D1,ACC,20250216-JackCoombs-1,9f957110-ec98-11ef-b983-634e297a505f,74.15681,NA,NA,7.06096,NA,NA,NA,2fc4e5ae-edf9-4790-a631-eb8161e6f193,2025-02-16,19:02:52,2025-02-16T19:02:52Z,2025-02-16T19:02:52Z,NA,v3,471284,471270,16 February 2025 13:00-cincy@duke,"Yu, Andrew",803187,Right,DUK_BLU,54.42519,-110.15775,11.5507,5.22882,0.42817,-17.75732,1.67706,3.39162,-4.30843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-16,14:03:08,"Tallon, James",810890,Left,DUK_BLU,Undefined,Fastball,NA,NA,91.35429,-1.776531,3.172625,2353.627614,132.231419,10:30:00,5.48358,-1.37296,6.41577,-15.81021,17.57202,-18.0008,2.52983,0.04663,82.1753,-4.849112,-0.085256,0.415843,10.45945,10.11532,1.15407,50,5.34925,-6.61027,-132.43152,-4.51735,18.25786,32.78747,-14.51689,924711cb-8832-4a1e-88b9-92e7f62c8804,NA,NA,NA,NA,57.593312,701136,"Cross, Kerrington",4322.784791,NA,84.42313,Right,60.53609,NA,NA,NA,NA,31.79788,NA,NA,1.38901,2.43519,0.17046,NA,NA,NA,NA,NA,1,3,CIN_BEA,1,Top,0,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DUK_BLU,CIN_BEA,JackCoombs,D1,ACC,20250216-JackCoombs-1,a96e0a80-ec98-11ef-b983-634e297a505f,90.64114,47.19725,NA,9.179,NA,NA,NA,2fc4e5ae-edf9-4790-a631-eb8161e6f193,2025-02-16,19:03:08,2025-02-16T19:03:08Z,2025-02-16T19:03:08Z,NA,v3,471284,471270,16 February 2025 13:00-cincy@duke,"Yu, Andrew",803187,Right,DUK_BLU,54.08164,-133.43823,16.39373,5.48111,-4.07162,-7.25845,1.36564,-7.17086,9.12893,NA,1.38901,32.64009,-9.14053,3.69185,-1.16423,0.34043,-0.09448,0.022,-0.00279,2.43519,107.80616,-44.93786,8.54449,-1.94784,0.40549,-0.07884,0.01098,0,0.17046,51.41929,4.21941,-4.73432,1.92843,-0.66255,0.21223,-0.06324,0.01285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
4,2025-02-16,14:03:34,"Tallon, James",810890,Left,DUK_BLU,Undefined,Fastball,NA,NA,92.50446,-0.949875,3.348608,2431.256837,137.663325,10:30:00,5.34189,-1.52899,6.63965,-14.17024,17.89056,-15.28859,3.28994,0.26583,83.65014,-3.72156,0.571454,0.407529,9.09563,10.04323,1.30846,50,5.27159,-7.24946,-134.24514,-2.5637,16.42551,31.88949,-14.03732,1fc533e0-dbfc-440f-a0fd-d384f6bea0a9,NA,NA,NA,NA,NA,701136,"Cross, Kerrington",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CIN_BEA,1,Top,0,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DUK_BLU,CIN_BEA,JackCoombs,D1,ACC,20250216-JackCoombs-1,b8b70140-ec98-11ef-b983-634e297a505f,92.49022,NA,NA,8.85432,NA,NA,NA,2fc4e5ae-edf9-4790-a631-eb8161e6f193,2025-02-16,19:03:34,2025-02-16T19:03:34Z,2025-02-16T19:03:34Z,NA,v3,471284,471270,16 February 2025 13:00-cincy@duke,"Yu, Andrew",803187,Right,DUK_BLU,53.85825,-135.15854,15.94475,5.33927,-2.16163,-7.01866,1.52285,-7.71993,8.21275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-16,14:03:58,"Tallon, James",810890,Left,DUK_BLU,Undefined,Fastball,NA,NA,92.11294,0.841769,0.104703,2429.17558,127.971326,10:15:00,5.34457,-1.56011,6.58449,-16.80505,15.89288,-18.8104,4.71558,-3.03169,82.43281,-2.434235,-3.314477,0.411559,9.68666,8.3476,1.55847,50,5.39463,0.57197,-133.67314,1.55134,17.14318,34.69357,-17.4007,dab0d5b5-d34c-44d9-adca-959e6a065524,NA,NA,NA,NA,NA,701136,"Cross, Kerrington",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,CIN_BEA,1,Top,0,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DUK_BLU,CIN_BEA,JackCoombs,D1,ACC,20250216-JackCoombs-1,c6f23180-ec98-11ef-b983-634e297a505f,91.58463,NA,NA,9.68013,NA,NA,NA,2fc4e5ae-edf9-4790-a631-eb8161e6f193,2025-02-16,19:03:58,2025-02-16T19:03:58Z,2025-02-16T19:03:58Z,NA,v3,471284,471270,16 February 2025 13:00-cincy@duke,"Yu, Andrew",803187,Right,DUK_BLU,53.90751,-134.68348,17.34679,5.34207,2.05807,-8.70035,1.54908,0.07272,8.57159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-16,14:04:20,"Tallon, James",810890,Left,DUK_BLU,Undefined,Fastball,NA,NA,92.24378,-1.547831,2.517783,2464.905952,139.775198,10:45:00,5.41715,-1.34447,6.75343,-12.85808,19.47166,-15.45398,2.93009,-0.33099,82.82932,-4.10115,-0.298674,0.409235,9.01985,11.16064,1.18468,50,5.31031,-5.27991,-133.8612,-3.8833,16.05184,34.07227,-12.31246,73d01e44-055c-4790-9a29-d96db4dc32aa,NA,NA,NA,NA,5.256865,701136,"Cross, Kerrington",4121.778411,NA,95.57116,Right,35.939252,NA,NA,NA,NA,93.45772,NA,NA,1.56178,3.20896,0.26563,NA,NA,NA,NA,NA,1,6,CIN_BEA,1,Top,0,2,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,DUK_BLU,CIN_BEA,JackCoombs,D1,ACC,20250216-JackCoombs-1,d461fb70-ec98-11ef-b983-634e297a505f,92.10464,65.69296,NA,9.41446,NA,NA,NA,2fc4e5ae-edf9-4790-a631-eb8161e6f193,2025-02-16,19:04:20,2025-02-16T19:04:20Z,2025-02-16T19:04:20Z,NA,v3,471284,471270,16 February 2025 13:00-cincy@duke,"Yu, Andrew",803187,Right,DUK_BLU,53.74342,-134.81066,17.03614,5.41374,-3.5402,-6.15623,1.33804,-5.72721,8.02592,208.172741,1.56178,113.01042,-24.09654,5.96968,-1.24297,-0.00745,0.38172,-0.31961,0.09796,3.20896,82.27019,-19.01622,1.11373,-0.19688,0.36963,-0.55655,0.41694,-0.12505,0.26563,10.39797,5.61028,-2.02963,0.48354,0.14827,-0.39941,0.31571,-0.09577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
7,2025-02-16,14:04:59,"Tallon, James",810890,Left,DUK_BLU,Undefined,Cutter,NA,NA,85.21836,0.042139,3.057557,2342.773366,134.474947,10:30:00,5.30597,-1.47448,6.63021,-30.84462,7.32819,-6.01319,2.77423,0.82653,76.55695,-5.804384,1.964966,0.444681,4.15819,4.28977,1.2694,50,5.29677,-6.36731,-123.54019,-0.79243,6.29428,29.32575,-25.68059,f72fe660-21f0-43d5-8392-6ef1a3c3f865,NA,NA,NA,NA,NA,10075254,"Ford, Donavan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CIN_BEA,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DUK_BLU,CIN_BEA,JackCoombs,D1,ACC,20250216-JackCoombs-1,eb6ba820-ec98-11ef-b983-634e297a505f,84.76288,NA,NA,8.66141,NA,NA,NA,2fc4e5ae-edf9-4790-a631-eb8161e6f193,2025-02-16,19:04:59,2025-02-16T19:04:59Z,2025-02-16T19:04:59Z,NA,v3,471284,471270,16 February 2025 13:00-cincy@duke,"Yu, Andrew",803187,Right,DUK_BLU,53.86314,-124.45384,14.66287,5.30899,0.00765,-12.8403,1.47083,-6.56341,3.14714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-16,14:05:15,"Tallon, James",810890,Left,DUK_BLU,Undefined,Cutter,NA,NA,86.40577,0.509541,1.397647,2233.937467,182.604632,12:00:00,5.21941,-1.60716,6.73544,-30.12584,6.86402,0.24886,3.17467,-0.30907,77.43197,-5.222975,1.443022,0.437736,0.35516,3.87083,1.51509,50,5.24175,-3.06918,-125.40727,0.26184,0.55225,30.95015,-26.15542,527070fe-9b77-455c-9cff-5cea3bd72a7e,NA,NA,NA,NA,NA,10075254,"Ford, Donavan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CIN_BEA,1,Top,1,0,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DUK_BLU,CIN_BEA,JackCoombs,D1,ACC,20250216-JackCoombs-1,f51edf40-ec98-11ef-b983-634e297a505f,86.1076,NA,NA,8.97379,NA,NA,NA,2fc4e5ae-edf9-4790-a631-eb8161e6f193,2025-02-16,19:05:15,2025-02-16T19:05:15Z,2025-02-16T19:05:15Z,NA,v3,471284,471270,16 February 2025 13:00-cincy@duke,"Yu, Andrew",803187,Right,DUK_BLU,53.75855,-126.33147,15.47508,5.22227,1.04286,-13.07771,1.60698,-3.08567,0.27613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-16,14:05:37,"Tallon, James",810890,Left,DUK_BLU,Undefined,Fastball,NA,NA,92.35844,-1.579914,2.817797,2494.863997,135.844798,10:30:00,5.37359,-1.46102,6.68658,-13.13048,19.58214,-17.72032,2.83228,-0.35847,82.00824,-4.204298,-0.406886,0.411651,10.00619,11.09808,1.27665,50,5.26145,-5.78074,-133.71471,-3.91858,17.6111,36.32081,-12.64118,49130589-51db-4ddd-8960-bdeb7fdd231b,NA,NA,NA,NA,171.56324,10075254,"Ford, Donavan",1127.627558,NA,78.22912,Right,3.972916,NA,NA,NA,NA,44.51656,NA,NA,2.3197,3.53051,-0.41787,NA,NA,NA,NA,NA,2,3,CIN_BEA,1,Top,1,0,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DUK_BLU,CIN_BEA,JackCoombs,D1,ACC,20250216-JackCoombs-1,023d7bf0-ec99-11ef-b983-634e297a505f,91.56414,5.83581,NA,10.35019,NA,NA,NA,2fc4e5ae-edf9-4790-a631-eb8161e6f193,2025-02-16,19:05:37,2025-02-16T19:05:37Z,2025-02-16T19:05:37Z,NA,v3,471284,471270,16 February 2025 13:00-cincy@duke,"Yu, Andrew",803187,Right,DUK_BLU,53.80114,-134.74325,18.16041,5.36735,-3.56061,-6.32059,1.44741,-6.27946,8.80555,204.022576,2.30941,-112.9059,13.93395,NA,NA,NA,NA,NA,NA,3.52556,8.10326,-6.39293,NA,NA,NA,NA,NA,NA,-0.41173,16.60378,-6.42852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
10,2025-02-16,14:05:59,"Tallon, James",810890,Left,DUK_BLU,Undefined,Fastball,NA,NA,92.01832,-1.053753,1.353239,2433.127946,125.256567,10:15:00,5.30552,-1.45899,6.81393,-16.3906,15.59304,-20.56785,2.97784,-1.93808,83.70393,-4.226004,-2.40352,0.407038,11.18485,8.87008,1.3775,50,5.23096,-2.34227,-133.79823,-2.85992,20.14245,30.63628,-16.20019,c5acec46-af3e-4c39-bc06-344025c2762d,NA,NA,NA,NA,NA,10075254,"Ford, Donavan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,CIN_BEA,1,Top,1,0,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DUK_BLU,CIN_BEA,JackCoombs,D1,ACC,20250216-JackCoombs-1,0f75bb20-ec99-11ef-b983-634e297a505f,92.60168,NA,NA,8.31439,NA,NA,NA,2fc4e5ae-edf9-4790-a631-eb8161e6f193,2025-02-16,19:05:59,2025-02-16T19:05:59Z,2025-02-16T19:05:59Z,NA,v3,471284,471270,16 February 2025 13:00-cincy@duke,"Yu, Andrew",803187,Right,DUK_BLU,53.68332,-134.63897,15.31814,5.30334,-2.41534,-8.1001,1.44936,-2.89504,10.07123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
