PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,17:01:58,"Doyle, Liam",824604,Left,TEN_VOL,Undefined,Fastball,NA,NA,98.13164,-1.283462,0.680989,2491.673289,156.733983,11:15:00,5.89122,-0.34767,5.8572,-8.66126,20.92352,-8.51874,3.97673,-0.42485,87.85916,-3.030413,-0.846768,0.391476,4.51953,11.35843,0.2971,50,5.78188,-1.27127,-142.21561,-3.34475,9.07849,38.45201,-9.35817,e56d7a0f-0418-4522-ae36-f7208521125c,NA,NA,NA,NA,NA,1000252349,"Tharnish, Jayce",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,STB_BON,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,STB_BON,LindseyNelsonStadium,D1,SEC,20250307-LindseyNelsonStadium-1,2c122980-fba8-11ef-8e13-fb5d82b71810,96.28277,NA,NA,10.27248,NA,NA,NA,4eb2461d-0f31-46d3-acc4-5e306b017035,2025-03-07,23:01:58,2025-03-07T23:01:58Z,2025-03-07T23:01:58Z,NA,v3,471459,471424,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.63551,-143.46348,19.22601,5.8855,-3.04106,-4.67908,0.34314,-1.56589,4.53925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-07,17:02:12,"Doyle, Liam",824604,Left,TEN_VOL,Undefined,Fastball,NA,NA,96.74287,-2.763596,2.476172,2483.366801,160.187681,11:15:00,5.68726,-0.58516,6.16945,-9.12296,21.02572,-7.16374,2.37011,1.10634,86.7538,-4.600975,1.185599,0.39519,4.48197,12.04922,0.40095,50,5.47271,-5.72467,-140.05641,-6.92626,8.73796,37.08765,-8.68319,8ed9a796-fd69-4843-ad37-e2c59f45480a,NA,NA,NA,NA,NA,1000252349,"Tharnish, Jayce",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,STB_BON,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,STB_BON,LindseyNelsonStadium,D1,SEC,20250307-LindseyNelsonStadium-1,34bd6680-fba8-11ef-8e13-fb5d82b71810,95.37805,NA,NA,9.98906,NA,NA,NA,4eb2461d-0f31-46d3-acc4-5e306b017035,2025-03-07,23:02:12,2025-03-07T23:02:12Z,2025-03-07T23:02:12Z,NA,v3,471459,471424,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.32397,-141.19678,18.54383,5.68158,-6.65927,-4.34159,0.5811,-5.99334,4.36898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,17:02:27,"Doyle, Liam",824604,Left,TEN_VOL,Undefined,Fastball,NA,NA,97.5172,-1.011945,0.806804,2527.044309,145.650221,10:45:00,5.77398,-0.47484,5.86966,-10.1269,19.85533,-12.79379,3.98993,-0.79153,87.20525,-3.026979,-1.488267,0.394097,6.73965,10.75886,0.41664,50,5.68619,-1.36941,-141.33466,-2.72273,13.34617,38.51882,-10.86876,2a1525df-ab6b-4789-88f1-a393a74dda63,NA,NA,NA,NA,NA,1000252349,"Tharnish, Jayce",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,STB_BON,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,STB_BON,LindseyNelsonStadium,D1,SEC,20250307-LindseyNelsonStadium-1,3dc03960-fba8-11ef-8e13-fb5d82b71810,95.64251,NA,NA,10.31195,NA,NA,NA,4eb2461d-0f31-46d3-acc4-5e306b017035,2025-03-07,23:02:27,2025-03-07T23:02:27Z,2025-03-07T23:02:27Z,NA,v3,471459,471424,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.62372,-142.58923,19.25941,5.76911,-2.36873,-5.43438,0.46832,-1.8041,6.67308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-07,17:02:47,"Doyle, Liam",824604,Left,TEN_VOL,Undefined,Fastball,NA,NA,96.94674,-0.663704,0.61233,2506.832598,144.102329,10:45:00,5.71641,-0.66118,5.92268,-10.89882,19.34178,-13.18052,4.19224,-1.19133,86.77785,-2.81985,-1.754492,0.395792,6.84449,10.37485,0.61905,50,5.65693,-0.86129,-140.53539,-1.87833,13.41779,37.7196,-11.83542,3d29c9f0-6398-47f5-9224-62cb9688f328,NA,NA,NA,NA,NA,1000252349,"Tharnish, Jayce",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,STB_BON,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,STB_BON,LindseyNelsonStadium,D1,SEC,20250307-LindseyNelsonStadium-1,49ba2c30-fba8-11ef-8e13-fb5d82b71810,95.23298,NA,NA,10.16889,NA,NA,NA,4eb2461d-0f31-46d3-acc4-5e306b017035,2025-03-07,23:02:47,2025-03-07T23:02:47Z,2025-03-07T23:02:47Z,NA,v3,471459,471424,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.56977,-141.75661,18.8598,5.71154,-1.49514,-5.91771,0.65397,-1.2957,6.7089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-07,17:03:05,"Doyle, Liam",824604,Left,TEN_VOL,Undefined,Fastball,NA,NA,96.32249,-2.326472,1.942578,2435.664771,144.610655,10:45:00,5.67679,-0.36734,5.88763,-11.05808,19.65403,-13.13576,2.59263,0.34248,86.34587,-4.506039,-0.413568,0.398865,7.305,11.11733,0.21799,50,5.48272,-4.10756,-139.48844,-5.93617,14.12017,36.9138,-10.68493,c79ddbfe-6adc-4f99-bf5b-230c0caebec3,NA,NA,NA,NA,NA,1000252349,"Tharnish, Jayce",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,STB_BON,1,Top,0,3,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,STB_BON,LindseyNelsonStadium,D1,SEC,20250307-LindseyNelsonStadium-1,5490ada0-fba8-11ef-8e13-fb5d82b71810,94.49918,NA,NA,9.97662,NA,NA,NA,4eb2461d-0f31-46d3-acc4-5e306b017035,2025-03-07,23:03:05,2025-03-07T23:03:05Z,2025-03-07T23:03:05Z,NA,v3,471459,471424,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.60654,-140.70222,18.4569,5.67214,-5.58484,-5.34246,0.36069,-4.57185,7.06008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-07,17:03:22,"Doyle, Liam",824604,Left,TEN_VOL,Undefined,Fastball,NA,NA,98.40826,-1.570691,2.584242,2548.029938,150.481216,11:00:00,5.65902,-0.39159,5.92891,-10.06312,19.10182,-10.2306,3.36125,1.1552,88.7587,-3.555478,0.749356,0.388689,6.01071,10.5443,0.19062,50,5.52765,-5.94938,-142.63063,-4.15728,12.23981,36.32313,-10.70238,f7d5c1f7-f9de-46aa-a23a-1016c87ce1af,NA,NA,NA,NA,NA,1000252349,"Tharnish, Jayce",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,STB_BON,1,Top,0,3,2,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,TEN_VOL,STB_BON,LindseyNelsonStadium,D1,SEC,20250307-LindseyNelsonStadium-1,5e51c770-fba8-11ef-8e13-fb5d82b71810,96.97338,NA,NA,9.64956,NA,NA,NA,4eb2461d-0f31-46d3-acc4-5e306b017035,2025-03-07,23:03:22,2025-03-07T23:03:22Z,2025-03-07T23:03:22Z,NA,v3,471459,471424,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.5665,-143.78886,18.16157,5.65477,-3.81601,-5.35119,0.38655,-6.33967,6.11991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,17:04:11,"Doyle, Liam",824604,Left,TEN_VOL,Undefined,Fastball,NA,NA,96.27578,-0.050989,0.528769,2516.581582,158.447794,11:15:00,5.79782,-0.83171,5.9479,-12.09154,18.39725,-6.83422,4.74289,-0.91078,86.53307,-2.417612,-0.699018,0.397413,3.62425,9.70603,0.79319,50,5.7868,-0.96299,-139.63841,-0.43211,7.04916,35.82222,-13.29585,6fe2f627-40c1-484d-aa33-ae61ccf1d895,NA,NA,NA,NA,NA,1000241287,"Hoalcraft, Christopher",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,STB_BON,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,STB_BON,LindseyNelsonStadium,D1,SEC,20250307-LindseyNelsonStadium-1,7ba31ea0-fba8-11ef-8e13-fb5d82b71810,94.8446,NA,NA,9.74271,NA,NA,NA,4eb2461d-0f31-46d3-acc4-5e306b017035,2025-03-07,23:04:11,2025-03-07T23:04:11Z,2025-03-07T23:04:11Z,NA,v3,471459,471424,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.54506,-140.79956,17.91111,5.79383,-0.00114,-6.64793,0.82811,-1.19148,3.52458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-07,17:04:34,"Doyle, Liam",824604,Left,TEN_VOL,Undefined,Slider,NA,NA,82.30155,1.575225,0.455227,2552.581483,279.747459,03:15:00,5.49378,-0.77516,5.65109,-42.25368,-0.65961,11.29394,3.44222,0.59059,75.42218,-6.180017,2.473687,0.464181,-5.57674,-0.34913,0.72942,50,5.6006,-1.40893,-119.52875,1.82676,-8.0661,23.08765,-32.67903,ee50e7d6-124d-4fd5-9d66-7b0194668730,NA,NA,NA,NA,NA,1000241287,"Hoalcraft, Christopher",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,STB_BON,1,Top,0,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,STB_BON,LindseyNelsonStadium,D1,SEC,20250307-LindseyNelsonStadium-1,8907ec10-fba8-11ef-8e13-fb5d82b71810,81.20207,NA,NA,6.87937,NA,NA,NA,4eb2461d-0f31-46d3-acc4-5e306b017035,2025-03-07,23:04:34,2025-03-07T23:04:34Z,2025-03-07T23:04:34Z,NA,v3,471459,471424,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.84747,-120.46142999999999,11.54383,5.50013,3.14691,-16.33952,0.77975,-1.08308,-4.03305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-07,17:04:50,"Doyle, Liam",824604,Left,TEN_VOL,Undefined,Fastball,NA,NA,97.03656,-1.870406,2.963973,2576.729855,159.268282,11:15:00,5.6758,-0.75634,5.99251,-7.28599,22.70048,-8.18406,3.33237,1.31086,87.38937,-3.366619,1.495592,0.394125,5.09374,12.49473,0.52691,50,5.52394,-6.89233,-140.56181,-4.68866,10.06293,35.59333,-7.49006,313cb131-76b1-4ca0-9700-f789b931db0d,NA,NA,NA,NA,NA,1000241287,"Hoalcraft, Christopher",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,STB_BON,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,STB_BON,LindseyNelsonStadium,D1,SEC,20250307-LindseyNelsonStadium-1,92e25a40-fba8-11ef-8e13-fb5d82b71810,95.63571,NA,NA,9.6472,NA,NA,NA,4eb2461d-0f31-46d3-acc4-5e306b017035,2025-03-07,23:04:50,2025-03-07T23:04:50Z,2025-03-07T23:04:50Z,NA,v3,471459,471424,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.50214,-141.69726,17.79667,5.6697,-4.44972,-3.74503,0.7519,-7.21334,5.03146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.89626,2.000066,0.661248,1.338818,-1.75122,3.14248,-1.39115,-1.64887,6.32595,0.67248,127.27905,8.69569,7.01404,-1.25587,108.07578,-8.91733,6.41502,18.24414,-12.32813,0.58875,3.07369,1.26855,High,High,High,NA,NA,High,High,High
10,2025-03-07,17:05:40,"Doyle, Liam",824604,Left,TEN_VOL,Undefined,Slider,NA,NA,84.16678,-0.235014,0.281343,2587.329612,272.678408,03:00:00,5.42741,-0.90761,5.69827,-39.20179,0.64953,13.5506,1.9416,0.48377,77.02658,-7.432258,2.708141,0.454352,-6.79193,0.80386,0.87553,50,5.38342,-1.15711,-122.23993,-1.86592,-10.22272,25.28055,-30.96411,58fb9f48-70a2-40b9-83f4-299de5edaa21,NA,NA,NA,NA,NA,1000241287,"Hoalcraft, Christopher",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,STB_BON,1,Top,0,2,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,STB_BON,LindseyNelsonStadium,D1,SEC,20250307-LindseyNelsonStadium-1,b07b41c0-fba8-11ef-8e13-fb5d82b71810,82.95862,NA,NA,7.1402,NA,NA,NA,4eb2461d-0f31-46d3-acc4-5e306b017035,2025-03-07,23:05:40,2025-03-07T23:05:40Z,2025-03-07T23:05:40Z,NA,v3,471459,471424,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.80003,-123.22863,12.64027,5.43271,-0.65494,-15.48206,0.91297,-0.75731,-5.11136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
