PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,14:02:25,"Jones, Brady",805424,Right,GIT_YEL,Undefined,Sinker,NA,NA,93.0698,-2.279737,-4.99954,2195.209287,226.18757,01:30:00,5.65202,2.07366,6.07509,-17.52714,14.9915,14.43646,2.07285,-1.36106,84.27816,-5.616409,-2.413367,0.410429,-8.87091,8.72615,-1.69317,50,5.46555,11.12785,-134.54243,-5.90224,-16.13235,31.33322,-16.30493,753bb616-cf7a-46f1-a1db-047bae1c8431,NA,NA,NA,NA,NA,809569,"Niu, Maika",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MAR_THU,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250222-GeorgiaTech-1,8e2cdd30-f14f-11ef-b907-ddce69a9960c,91.83678,NA,NA,8.79164,NA,NA,NA,f1c83c78-bc4b-4d2c-a29f-f927af93b51f,2025-02-22,19:02:25,2025-02-22T19:02:25Z,2025-02-22T19:02:25Z,NA,v3,100,471347,22 February 2025 14:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.42132,-135.56819,15.66661,5.65003,-5.36846,-8.15246,-2.06611,11.65598,-8.06618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-22,14:02:38,"Jones, Brady",805424,Right,GIT_YEL,Undefined,Fastball,NA,NA,92.11019,-3.34073,-5.556514,2192.151348,222.306585,01:30:00,5.59689,2.21063,5.86483,-16.81005,17.13111,14.39095,1.07448,-1.7681,82.5863,-6.558669,-2.992552,0.41931,-9.11221,10.20599,-1.76708,50,5.31501,12.25307,-132.71204,-8.27311,-15.95385,33.2472,-14.30512,122e9986-f064-4820-907c-4035a93d6343,NA,NA,NA,NA,NA,809569,"Niu, Maika",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MAR_THU,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250222-GeorgiaTech-1,95749290-f14f-11ef-b907-ddce69a9960c,89.89164,NA,NA,9.52389,NA,NA,NA,f1c83c78-bc4b-4d2c-a29f-f927af93b51f,2025-02-22,19:02:38,2025-02-22T19:02:38Z,2025-02-22T19:02:38Z,NA,v3,100,471347,22 February 2025 14:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.62954,-133.86681,16.6236,5.59373,-7.77626,-7.15256,-2.20229,12.8072,-7.97692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-22,14:02:53,"Jones, Brady",805424,Right,GIT_YEL,Undefined,Cutter,NA,NA,86.95693,-0.482466,-3.755387,2101.459748,206.737725,01:00:00,5.38366,2.452,5.72604,-30.64486,6.87107,2.83209,2.37959,-0.81468,79.17077,-6.152016,-3.25021,0.440838,-2.55063,4.01736,-2.13998,50,5.32458,8.14798,-125.96257,-2.11713,-4.07256,27.0678,-25.75956,3d9b73c1-8653-4cb5-99d8-79dcee166899,NA,NA,NA,NA,NA,809569,"Niu, Maika",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MAR_THU,1,Top,0,2,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250222-GeorgiaTech-1,9e97beb0-f14f-11ef-b907-ddce69a9960c,85.50172,NA,NA,7.78616,NA,NA,NA,f1c83c78-bc4b-4d2c-a29f-f927af93b51f,2025-02-22,19:02:53,2025-02-22T19:02:53Z,2025-02-22T19:02:53Z,NA,v3,100,471347,22 February 2025 14:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.77111,-126.98369,13.5339,5.38612,-1.14537,-12.87978,-2.45025,8.30161,-2.03628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-22,14:03:04,"Jones, Brady",805424,Right,GIT_YEL,Undefined,Cutter,NA,NA,85.29813,-0.390191,-1.148725,2074.52595,192.197628,12:30:00,5.44586,2.22052,5.43726,-24.57635,15.153,2.95717,3.03237,1.39112,76.65945,-5.007241,-0.622505,0.453657,-1.84776,8.16182,-2.12091,50,5.39488,2.34573,-123.53747,-1.63801,-2.8068,28.52688,-19.77605,ff6bff5e-16ee-4c71-9341-0ec034aebb52,NA,NA,NA,NA,NA,809569,"Niu, Maika",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,MAR_THU,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250222-GeorgiaTech-1,a559c950-f14f-11ef-b907-ddce69a9960c,83.08584,NA,NA,8.63868,NA,NA,NA,f1c83c78-bc4b-4d2c-a29f-f927af93b51f,2025-02-22,19:03:04,2025-02-22T19:03:04Z,2025-02-22T19:03:04Z,NA,v3,100,471347,22 February 2025 14:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,55.05563,-124.69944,14.26344,5.4452,-0.83248,-9.88803,-2.21879,2.46006,-1.4034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-22,14:03:22,"Jones, Brady",805424,Right,GIT_YEL,Undefined,Fastball,NA,NA,92.75646,-1.255498,-4.699034,2199.801029,214.359131,01:15:00,5.46217,2.28335,5.93309,-11.75725,21.21131,13.69064,3.31348,-0.94514,83.53386,-3.569662,-2.252658,0.413258,-8.40772,11.54784,-1.91482,50,5.35485,10.40514,-134.1372,-3.21943,-15.14466,32.08808,-11.37312,182a6b6e-2e3d-49cb-bb43-0743d7113367,NA,NA,NA,NA,NA,809569,"Niu, Maika",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,MAR_THU,1,Top,0,3,1,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250222-GeorgiaTech-1,b004cdf0-f14f-11ef-b907-ddce69a9960c,91.20802,NA,NA,9.2226,NA,NA,NA,f1c83c78-bc4b-4d2c-a29f-f927af93b51f,2025-02-22,19:03:22,2025-02-22T19:03:22Z,2025-02-22T19:03:22Z,NA,v3,100,471347,22 February 2025 14:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.56261,-135.22425,16.04404,5.45739,-2.83414,-5.68656,-2.27601,10.9182,-7.57233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-22,14:03:49,"Jones, Brady",805424,Right,GIT_YEL,Undefined,Cutter,NA,NA,86.04261,-2.245461,-3.805824,2134.129947,216.713672,01:15:00,5.34219,2.5236,5.76446,-23.55903,14.81009,10.05264,1.28339,-0.18599,78.19229,-6.658836,-2.010539,0.445823,-6.23524,8.60626,-2.21421,50,5.14173,7.86025,-124.51848,-5.62963,-9.71853,26.69615,-18.75998,c1fdd9db-cb12-4cde-ac19-c1e36ea501db,NA,NA,NA,NA,NA,822961,"Halter, Jackson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MAR_THU,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250222-GeorgiaTech-1,c00b2140-f14f-11ef-b907-ddce69a9960c,84.54578,NA,NA,7.85032,NA,NA,NA,f1c83c78-bc4b-4d2c-a29f-f927af93b51f,2025-02-22,19:03:49,2025-02-22T19:03:49Z,2025-02-22T19:03:49Z,NA,v3,100,471347,22 February 2025 14:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.73186,-125.52887,13.34807,5.34136,-4.91961,-9.37999,-2.51866,8.22807,-4.85926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
7,2025-02-22,14:04:03,"Jones, Brady",805424,Right,GIT_YEL,Undefined,Fastball,NA,NA,93.56217,-2.346322,-3.692275,2225.378806,218.392996,01:15:00,5.53057,2.42009,5.78263,-13.73898,18.86462,14.00178,2.19691,0.1469,84.26834,-5.003099,-1.191245,0.410964,-8.23465,10.66052,-2.12347,50,5.32845,8.0820900000000009,-135.33744,-5.93666,-15.07307,33.1429,-12.66056,3a435af0-624c-4a83-b7f4-f6eab1745c7d,NA,NA,NA,NA,NA,822961,"Halter, Jackson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,MAR_THU,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250222-GeorgiaTech-1,c89c94b0-f14f-11ef-b907-ddce69a9960c,91.71706,NA,NA,9.29383,NA,NA,NA,f1c83c78-bc4b-4d2c-a29f-f927af93b51f,2025-02-22,19:04:03,2025-02-22T19:04:03Z,2025-02-22T19:04:03Z,NA,v3,100,471347,22 February 2025 14:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.71286,-136.48669,16.57145,5.52669,-5.49764,-6.33028,-2.41279,8.60476,-7.53654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-22,14:04:16,"Jones, Brady",805424,Right,GIT_YEL,Undefined,Fastball,NA,NA,92.95379,-2.295814,-4.098591,2237.013405,208.557008,01:00:00,5.47539,2.40297,5.71067,-11.98666,21.25434,10.88914,2.331,-0.51455,83.4678,-4.64613,-2.158655,0.414962,-6.80445,11.84725,-2.06595,50,5.27537,9.11642,-134.3304,-5.69236,-12.2395,33.32739,-10.86384,407677fc-ca66-476f-bfeb-7b8f56b556bb,NA,NA,NA,NA,NA,822961,"Halter, Jackson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,MAR_THU,1,Top,0,1,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250222-GeorgiaTech-1,cfe07980-f14f-11ef-b907-ddce69a9960c,90.83347,NA,NA,9.48599,NA,NA,NA,f1c83c78-bc4b-4d2c-a29f-f927af93b51f,2025-02-22,19:04:16,2025-02-22T19:04:16Z,2025-02-22T19:04:16Z,NA,v3,100,471347,22 February 2025 14:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.78393,-135.5121,16.66369,5.47038,-5.30716,-5.43192,-2.39689,9.5504,-6.11975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-22,14:04:28,"Jones, Brady",805424,Right,GIT_YEL,Undefined,Fastball,NA,NA,91.83652,-1.555191,-3.179378,2174.362782,213.71827,01:00:00,5.45223,2.30126,5.70623,-15.03017,19.0691,11.85426,2.74813,0.32378,82.19115,-4.462357,-1.06354,0.420285,-7.10335,10.58469,-2.04218,50,5.31281,6.84603,-132.88061,-4.04186,-12.43902,33.94333,-13.6387,e81b1f2c-9882-4bf9-b8bb-d0468b412ac6,NA,NA,NA,NA,-58.929705,822961,"Halter, Jackson",4235.397938,NA,84.91715,Left,34.523111,50.5936,62.87608,-97.67424,264.73953,106.99696,4.268081,-71.111413,1.27183,2.86339,-0.22325,NA,NA,NA,NA,NA,2,4,MAR_THU,1,Top,0,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250222-GeorgiaTech-1,d7268130-f14f-11ef-b907-ddce69a9960c,89.68307,69.74532,NA,9.64537,NA,NA,NA,f1c83c78-bc4b-4d2c-a29f-f927af93b51f,2025-02-22,19:04:28,2025-02-22T19:04:28Z,2025-02-22T19:04:28Z,FlyBall,v3,100,471347,22 February 2025 14:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.78976,-134.09853,16.97166,5.44906,-3.55248,-6.81935,-2.29583,7.29236,-6.21951,NA,1.27113,52.97479,-16.04902,3.8649,-0.9494,0.24563,-0.05281,0.00694,-3.8e-4,2.86418,70.56565,-21.16468,1.56715,-0.08517,-0.04993,0.01637,-0.00175,4e-5,-0.22297,-87.89773,16.01331,-4.57258,1.18207,-0.28277,0.05496,-0.00683,3.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
10,2025-02-22,14:04:54,"Jones, Brady",805424,Right,GIT_YEL,Undefined,ChangeUp,NA,NA,85.94163,-1.390559,-4.283687,2003.608463,253.623345,02:30:00,5.32188,2.50717,5.93143,-30.75821,7.30256,20.5293,1.46469,0.23616,78.39933,-7.099764,-0.604262,0.444028,-11.88103,4.49642,-2.17659,50,5.19301,8.51693,-124.52743,-4.03411,-18.5679,26.11217,-25.14695,05d7c5fc-79cf-4d67-a232-ffa80afa317e,NA,NA,NA,NA,7.975832,822961,"Halter, Jackson",4098.254011,NA,83.76757,Left,27.361793,109.25729,49.41324,12.75892,299.73433,293.60122,4.341039,5.011182,2.22286,1.59143,-0.24074,NA,NA,NA,NA,NA,2,5,MAR_THU,1,Top,0,1,2,Changeup,InPlay,Undefined,FlyBall,Out,1,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250222-GeorgiaTech-1,e6bb26f0-f14f-11ef-b907-ddce69a9960c,84.88756,59.64774,NA,7.5423,NA,NA,NA,f1c83c78-bc4b-4d2c-a29f-f927af93b51f,2025-02-22,19:04:54,2025-02-22T19:04:54Z,2025-02-22T19:04:54Z,LineDrive,v3,100,471347,22 February 2025 14:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.56951,-125.48195,13.05608,5.32367,-3.11487,-12.57347,-2.50033,9.19567,-9.28395,172.124869,2.22362,108.04192,-20.71909,5.20773,-1.06036,0.19128,-0.03281,0.00442,-2.8e-4,1.5918,56.45343,-13.56749,-0.71279,0.65214,-0.28544,0.07859,-0.01156,6.8e-4,-0.24057,15.13635,-4.73615,1.19843,-0.2453,0.04426,-0.00752,0.001,-6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
