PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:13:51,"Cassedy, Brandon",1000183671,Right,GEO_PAT,Undefined,Fastball,NA,NA,88.53195,-2.719439,-0.052984,2157.819744,195.615512,12:30:00,5.77339,0.51083,6.57397,-10.53123,23.97344,6.41201,2.40118,0.99659,81.50083,-4.797716,1.112475,0.422776,-3.385,13.6293,-0.50967,50,5.58139,-0.12265,-128.71875,-6.30422,-5.71847,24.98571,-9.14937,fe26ad37-d6a6-4015-98a5-5a604f472084,NA,NA,NA,NA,NA,1000121040,"DePino, Anthony",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,RHO_RAM,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-3,fdca7bd0-238a-11f0-ab64-072ddac54880,89.15465,NA,NA,7.03112,NA,NA,NA,d38ab0b9-d154-45e1-8f18-b01efdafadf2,2025-04-27,17:13:51,2025-04-27T17:13:51Z,2025-04-27T17:13:51Z,NA,v3,471300,471418,27 April 2025 13:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,53.92873,-129.47912,12.49285,5.769,-6.02579,-4.57469,-0.50859,0.05138,-2.85924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-27,13:14:09,"Cassedy, Brandon",1000183671,Right,GEO_PAT,Undefined,Cutter,NA,NA,83.41896,-1.837631,-1.085194,1527.047399,227.029112,01:30:00,5.74127,0.54351,5.88251,-27.40084,12.40363,12.07812,1.75036,0.54207,77.21252,-6.915221,1.084058,0.454085,-6.50906,7.17626,-0.46308,50,5.5768,1.83483,-121.25978,-4.74618,-9.77867,21.71479,-21.39308,5998802b-c860-4aa6-88e9-dd35ae91770f,NA,NA,NA,NA,-18.439478,1000121040,"DePino, Anthony",1255.413521,NA,87.7385,Right,21.459606,103.23504,33.43423,-37.97941,324.15146,313.48496,3.344939,-22.709907,1.70095,1.78746,-0.55038,NA,NA,NA,NA,NA,1,2,RHO_RAM,1,Top,0,0,1,Changeup,InPlay,Undefined,LineDrive,Out,1,0,NA,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-3,08e1fde0-238b-11f0-ab64-072ddac54880,83.00739,38.77714,NA,6.20643,NA,NA,NA,d38ab0b9-d154-45e1-8f18-b01efdafadf2,2025-04-27,17:14:09,2025-04-27T17:14:09Z,2025-04-27T17:14:09Z,LineDrive,v3,471300,471418,27 April 2025 13:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,54.62145,-122.08457,10.8574,5.74164,-3.93361,-10.69654,-0.53982,2.20625,-4.88933,142.10184,1.70083,113.6186,-13.84311,3.37301,-0.84352,0.28127,-0.09048,0.01752,-0.00138,1.78768,47.06916,-15.70432,0.33509,0.30311,-0.2641,0.10536,-0.02004,0.00146,-0.55026,-37.88488,-0.07037,0.16906,-0.03859,0.00219,8.2e-4,-1.5e-4,1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-04-27,13:14:44,"Cassedy, Brandon",1000183671,Right,GEO_PAT,Undefined,Fastball,NA,NA,90.13834,-2.866891,-1.242742,2178.967048,186.490538,12:15:00,5.64752,0.593,6.51835,-10.99575,22.87422,2.46929,2.09771,-0.34175,81.79664,-5.052838,-0.794521,0.41887,-1.66079,13.16505,-0.50735,50,5.44218,2.73835,-130.79592,-6.74645,-2.85372,29.67511,-9.55282,7bfd3205-6aa3-43ca-922f-4f50766820f2,NA,NA,NA,NA,NA,823759,"Genther, Eric",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,RHO_RAM,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-3,1dc0db50-238b-11f0-ab64-072ddac54880,89.98609,NA,NA,8.3417,NA,NA,NA,d38ab0b9-d154-45e1-8f18-b01efdafadf2,2025-04-27,17:14:44,2025-04-27T17:14:44Z,2025-04-27T17:14:44Z,NA,v3,471300,471418,27 April 2025 13:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,53.98139,-131.69613,14.83756,5.64244,-6.45667,-4.77641,-0.59173,2.82491,-1.42686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-27,13:15:02,"Cassedy, Brandon",1000183671,Right,GEO_PAT,Undefined,Cutter,NA,NA,79.70196,0.902791,0.947562,2488.243598,98.942424,09:15:00,5.57984,0.74967,5.70949,-40.55931,3.46008,-13.73768,3.04124,0.48781,73.44821,-6.553289,-1.511248,0.477522,7.26567,1.89957,-0.82026,50,5.6301,-1.39368,-115.84971,0.51103,9.92262,20.65327,-29.57983,8d75e91d-566f-4660-bdff-6d089d35b944,NA,NA,NA,NA,-96.592088,823759,"Genther, Eric",1978.546647,NA,77.0186,Left,49.140819,NA,NA,NA,NA,66.69857,NA,NA,0.87274,2.97831,-0.47333,NA,NA,NA,NA,NA,2,2,RHO_RAM,1,Top,1,0,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-3,280e2f90-238b-11f0-ab64-072ddac54880,78.93338,60.35082,NA,6.25375,NA,NA,NA,d38ab0b9-d154-45e1-8f18-b01efdafadf2,2025-04-27,17:15:02,2025-04-27T17:15:02Z,2025-04-27T17:15:02Z,NA,v3,471300,471418,27 April 2025 13:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,54.79455,-116.70133,10.32663,5.58388,1.73074,-14.78992,-0.75436,-1.80283,4.96131,NA,0.87274,-8.48382,-10.61689,3.2618,-0.6323,-0.39288,0.8117,-0.61812,0.18366,2.9783,85.43426,-31.37296,4.60156,-1.07924,0.40395,-0.30461,0.19398,-0.05526,-0.47333,-73.41024,10.56013,-2.9417,0.57953,0.21896,-0.52212,0.40244,-0.11987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
5,2025-04-27,13:15:29,"Cassedy, Brandon",1000183671,Right,GEO_PAT,Undefined,Curveball,NA,NA,73.60426,0.877115,2.094183,2562.574698,45.068852,07:30:00,5.66099,0.67555,5.69926,-69.58098,-15.7554,-18.02666,0.68057,1.12577,65.93987,-11.847666,-1.143962,0.528039,9.92197,-7.61296,-0.8403,50,5.6923,-3.22653,-106.57568,-0.59128,10.96393,25.00307,-40.58646,4f1f40ab-b1e4-4046-8fc5-379c73eed5c8,NA,NA,NA,NA,NA,823759,"Genther, Eric",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,RHO_RAM,1,Top,1,0,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-3,385bc510-238b-11f0-ab64-072ddac54880,71.38195,NA,NA,7.6644,NA,NA,NA,d38ab0b9-d154-45e1-8f18-b01efdafadf2,2025-04-27,17:15:29,2025-04-27T17:15:29Z,2025-04-27T17:15:29Z,NA,v3,471300,471418,27 April 2025 13:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,54.80385,-107.69678,12.50154,5.67801,1.22857,-20.29323,-0.6846,-3.71814,5.48197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-27,13:15:55,"Cassedy, Brandon",1000183671,Right,GEO_PAT,Undefined,Cutter,NA,NA,79.15599,-0.779709,0.69699,2532.788989,92.808362,09:00:00,5.63908,0.70484,5.64676,-43.06498,2.57595,-19.32218,1.32291,-0.25514,71.89322,-8.695222,-2.762514,0.486238,10.03477,2.03469,-0.75143,50,5.54569,-0.64493,-114.82316,-2.9661,13.17488,24.55181,-29.50266,85b7bbaf-acd3-46ad-805c-2bf4bb2b6949,NA,NA,NA,NA,NA,823759,"Genther, Eric",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,RHO_RAM,1,Top,1,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-3,47ca4530-238b-11f0-ab64-072ddac54880,77.51855,NA,NA,7.26277,NA,NA,NA,d38ab0b9-d154-45e1-8f18-b01efdafadf2,2025-04-27,17:15:55,2025-04-27T17:15:55Z,2025-04-27T17:15:55Z,NA,v3,471300,471418,27 April 2025 13:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,54.85517,-115.85666,12.27591,5.6444,-1.7242,-14.75133,-0.71261,-1.19952,6.58744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.1519,NA,NA,0.934399,NA,NA,NA,4.49962,4.94633,-1.4044,84.00026,5.65708,-40.78088,4.53304,90.32921,-5.6495,4.98032,14.07341,-14.28128,-1.46665,-48.62167,6.99916,High,High,High,NA,NA,High,High,High
7,2025-04-27,13:16:26,"Cassedy, Brandon",1000183671,Right,GEO_PAT,Undefined,Fastball,NA,NA,89.146,-2.81495,-0.525578,2182.639147,195.783233,12:30:00,5.68896,0.41492,6.48591,-11.75292,23.42726,6.23225,2.12275,0.45169,79.73726,-5.174483,0.605409,0.426894,-3.44248,13.62953,-0.38053,50,5.48562,0.9372,-129.21063,-6.56032,-5.67768,33.04877,-9.69477,34fad549-497a-4329-8717-31b0ffb62b41,NA,NA,NA,NA,NA,10095269,"Moroney, Reece",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,RHO_RAM,1,Top,2,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-3,5a6dffb0-238b-11f0-ab64-072ddac54880,88.29455,NA,NA,9.40874,NA,NA,NA,d38ab0b9-d154-45e1-8f18-b01efdafadf2,2025-04-27,17:16:26,2025-04-27T17:16:26Z,2025-04-27T17:16:26Z,NA,v3,471300,471418,27 April 2025 13:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,54.01294,-130.23299,16.52438,5.68392,-6.26041,-4.84739,-0.41224,1.11284,-2.83884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-27,13:17:07,"Cassedy, Brandon",1000183671,Right,GEO_PAT,Undefined,Cutter,NA,NA,79.89023,-0.069942,0.775437,2490.081519,91.775218,09:00:00,5.58016,0.63772,5.62507,-43.17522,1.96634,-8.25434,1.91696,0.67354,71.91751,-8.036352,-0.701164,0.48357,4.4604,1.49138,-0.69836,50,5.5467,-1.24122,-115.78357,-1.56425,5.9142,26.29993,-30.19658,5e739e6b-23f7-4416-b287-9d61219b4647,NA,NA,NA,NA,6.592742,10095269,"Moroney, Reece",2110.707953,NA,95.46064,Right,5.621674,NA,NA,NA,119.97681,119.97681,0.965785,9.757322,1.06273,1.9806,-0.67302,NA,NA,NA,NA,NA,3,2,RHO_RAM,1,Top,2,0,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-3,72c932a0-238b-11f0-ab64-072ddac54880,77.94614,4.73283,NA,7.97271,NA,NA,NA,d38ab0b9-d154-45e1-8f18-b01efdafadf2,2025-04-27,17:17:07,2025-04-27T17:17:07Z,2025-04-27T17:17:07Z,GroundBall,v3,471300,471418,27 April 2025 13:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,54.87509,-116.88568,13.14997,5.58574,-0.29884,-15.09829,-0.64115,-1.48906,2.9571,267.850853,1.16814,136.92124,-16.35906,NA,NA,NA,NA,NA,NA,2.03195,12.99091,-15.68013,NA,NA,NA,NA,NA,NA,-0.74182,16.9832,5.07484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-04-27,13:19:49,"Cullen, Jake",1000152846,Right,RHO_RAM,Undefined,ChangeUp,NA,NA,85.99265,-1.421921,-0.733619,1591.326181,240.069037,02:00:00,6.21627,0.93518,5.47429,-26.34651,13.93989,20.95442,2.68968,1.9948,75.17774,-6.41395,3.000352,0.456826,-10.63323,8.11934,-0.88452,50,6.07433,0.61354,-124.10163,-3.93101,-15.77834,36.02974,-20.12599,4a5ff660-36eb-4fbe-b53f-c238022003f3,NA,NA,NA,NA,NA,1000230336,"Clyne, Owen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,GEO_PAT,1,Bottom,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-3,d3180b40-238b-11f0-ab64-072ddac54880,82.5094,NA,NA,10.81491,NA,NA,NA,d38ab0b9-d154-45e1-8f18-b01efdafadf2,2025-04-27,17:19:49,2025-04-27T17:19:49Z,2025-04-27T17:19:49Z,NA,v3,471300,471418,27 April 2025 13:00-uri@georgemas,"Butler, Rob",1000090271,Right,RHO_RAM,55.01662,-125.54963,18.01487,6.21606,-3.12217,-10.063,-0.92192,1.24765,-7.88917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-27,13:20:03,"Cullen, Jake",1000152846,Right,RHO_RAM,Undefined,Fastball,NA,NA,91.99707,-2.94914,-2.479322,2136.561329,210.054426,01:00:00,6.19292,0.73595,5.24634,-9.56256,26.25005,14.16461,2.61937,-0.4152,79.60138,-4.944593,0.028996,0.430714,-8.10863,14.80682,-0.51902,50,5.91594,5.03001,-132.40316,-6.97285,-13.61699,42.43792,-7.3087,443c427a-160c-4821-9778-6129fbab85df,NA,NA,NA,NA,2.819943,1000230336,"Clyne, Owen",3443.964118,NA,95.77394,Left,37.824021,109.97907,79.59362,2.12879,362.12334,362.12334,5.610567,-2.934507,1.75439,2.68134,0.4102,NA,NA,NA,NA,NA,1,2,GEO_PAT,1,Bottom,0,1,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-3,dbc9d7f0-238b-11f0-ab64-072ddac54880,87.51144,111.7003,NA,12.39569,NA,NA,NA,d38ab0b9-d154-45e1-8f18-b01efdafadf2,2025-04-27,17:20:03,2025-04-27T17:20:03Z,2025-04-27T17:20:03Z,FlyBall,v3,471300,471418,27 April 2025 13:00-uri@georgemas,"Butler, Rob",1000090271,Right,RHO_RAM,55.24609,-134.0741,21.21896,6.18482,-6.68508,-3.65435,-0.72763,5.56616,-6.80849,166.078217,1.75968,110.72717,-21.90342,5.23154,-0.92902,0.12522,-0.01381,0.00125,-6e-5,2.68091,86.13577,-19.42008,1.04701,0.0957,-0.11394,0.03178,-0.00399,1.9e-4,0.41118,5.44111,-4.47491,1.17213,-0.23132,0.03494,-0.00392,3.1e-4,-1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
