PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,18:02:21,"Sullivan, Noah",813559,Right,MSU_BDG,Undefined,Fastball,NA,NA,88.23098,-3.425316,-2.624365,2004.3372,207.240771,01:00:00,6.4305,0.66025,5.21145,-20.11509,16.99316,8.10469,1.52598,-1.13394,80.52932,-7.162899,-1.189215,0.438436,-4.7811,9.82737,-0.42384,50,6.09857,5.48044,-127.64424,-8.33173,-7.86792,26.8999,-16.00186,ea678dc9-082b-4621-8180-2ca552c947a2,NA,NA,NA,NA,NA,832545,"Greer, Cade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MT,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,MT,MSST,D1,SEC,20250429-MSST-1,028c47b0-254e-11f0-82eb-cde08941a96d,85.97015,NA,NA,7.70166,NA,NA,NA,83a521e0-24b1-4e41-a806-3683a6430d08,2025-04-29,23:02:21,2025-04-29T23:02:21Z,2025-04-29T23:02:21Z,NA,v3,5080,471353,29 April 2025 19:00-memphis@missst,"Highfill, Ross",702620,Right,MSU_BDG,55.28548,-128.75329,13.44995,6.42847,-7.67199,-8.00093,-0.65647,5.80483,-3.93396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-29,18:02:48,"Sullivan, Noah",813559,Right,MSU_BDG,Undefined,Slider,NA,NA,83.10462,-3.181201,-2.591834,2381.348812,113.701103,09:45:00,6.25088,0.96231,4.9602,-39.05762,3.38268,-4.41729,-0.01552,-1.85609,76.13275,-10.205605,-3.37187,0.468879,1.41335,3.03335,-0.70738,50,5.91025,5.63003,-120.18305,-8.14363,2.04789,25.32038,-27.77886,789ae6ae-8ac5-4a37-a005-75ad59bcffff,NA,NA,NA,NA,NA,832545,"Greer, Cade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MT,1,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,MT,MSST,D1,SEC,20250429-MSST-1,12c19a40-254e-11f0-82eb-cde08941a96d,80.38846,NA,NA,6.97187,NA,NA,NA,83a521e0-24b1-4e41-a806-3683a6430d08,2025-04-29,23:02:48,2025-04-29T23:02:48Z,2025-04-29T23:02:48Z,NA,v3,5080,471353,29 April 2025 19:00-memphis@missst,"Highfill, Ross",702620,Right,MSU_BDG,55.53868,-121.34433,12.66019,6.25453,-6.86958,-13.88943,-0.96344,5.53611,1.02395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-29,18:03:04,"Sullivan, Noah",813559,Right,MSU_BDG,Undefined,Slider,NA,NA,82.48647,-0.85025,-0.872369,2379.951825,138.076052,10:30:00,6.2102,1.15009,4.87454,-36.9977,6.36146,-4.28599,2.32236,-0.03261,74.53603,-7.596707,-1.628122,0.473928,1.82646,3.87142,-1.06049,50,6.09581,2.00844,-119.40535,-3.14466,2.5931,26.55616,-26.67766,7fff542b-b0c4-447c-be49-43e4fb6e9687,NA,NA,NA,NA,120.244064,832545,"Greer, Cade",4580.539546,NA,79.32171,Right,14.055657,NA,NA,NA,NA,47.09779,NA,NA,0.24641,2.08416,0.07264,NA,NA,NA,NA,NA,1,3,MT,1,Top,0,1,1,Slider,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,MT,MSST,D1,SEC,20250429-MSST-1,1c2b9360-254e-11f0-82eb-cde08941a96d,79.53208,12.00909,NA,7.95044,NA,NA,NA,83a521e0-24b1-4e41-a806-3683a6430d08,2025-04-29,23:03:04,2025-04-29T23:03:04Z,2025-04-29T23:03:04Z,NA,v3,5080,471353,29 April 2025 19:00-memphis@missst,"Highfill, Ross",702620,Right,MSU_BDG,55.62131,-120.64908,13.27808,6.21383,-1.89525,-13.33883,-1.15171,1.887,1.29655,NA,0.24774,-56.88633,3.36318,NA,NA,NA,NA,NA,NA,2.08691,28.17599,-14.36333,NA,NA,NA,NA,NA,NA,0.10416,96.56621,-22.46158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
4,2025-04-29,18:03:26,"Sullivan, Noah",813559,Right,MSU_BDG,Undefined,Curveball,NA,NA,79.26605,-0.817136,-1.172094,2264.590039,14.217131,06:30:00,6.3853,0.65059,5.09193,-59.40314,-12.98142,-3.69276,0.66472,-0.76193,72.56558,-11.484716,-1.828269,0.490379,1.46701,-5.79134,-0.53676,50,6.26098,2.50236,-114.93331,-3.81512,1.93172,24.39859,-39.79991,4e6ebbc1-b85e-4021-a9a1-eb280c32d729,NA,NA,NA,NA,NA,832545,"Greer, Cade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,MT,1,Top,0,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,MT,MSST,D1,SEC,20250429-MSST-1,2980f780-254e-11f0-82eb-cde08941a96d,76.86389,NA,NA,6.70046,NA,NA,NA,83a521e0-24b1-4e41-a806-3683a6430d08,2025-04-29,23:03:26,2025-04-29T23:03:26Z,2025-04-29T23:03:26Z,NA,v3,5080,471353,29 April 2025 19:00-memphis@missst,"Highfill, Ross",702620,Right,MSU_BDG,55.4096,-116.076,12.1993,6.396,-1.95111,-19.89996,-0.65183,2.41189,0.96586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-29,18:03:45,"Sullivan, Noah",813559,Right,MSU_BDG,Undefined,Fastball,NA,NA,89.00957,-3.124555,-1.412898,2110.128317,204.501682,12:45:00,6.36704,0.70213,5.02447,-18.06572,18.98698,8.02831,1.90934,0.03764,80.30638,-6.518647,0.005131,0.438108,-4.47437,10.83812,-0.57386,50,6.05417,2.80575,-128.73599,-7.64001,-7.3962,30.46546,-14.25851,aef19e6a-90cc-4e70-a35a-2f15891a84e6,NA,NA,NA,NA,0.763383,832545,"Greer, Cade",2041.49712,NA,92.48189,Right,21.353516,109.90768,36.02161,4.49689,313.79873,308.70642,3.596046,4.35447,2.47844,2.13674,-0.01974,NA,NA,NA,NA,NA,1,5,MT,1,Top,0,2,2,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,NA,MSU_BDG,MT,MSST,D1,SEC,20250429-MSST-1,345b97a0-254e-11f0-82eb-cde08941a96d,86.03456,43.28771,NA,8.70319,NA,NA,NA,83a521e0-24b1-4e41-a806-3683a6430d08,2025-04-29,23:03:45,2025-04-29T23:03:45Z,2025-04-29T23:03:45Z,LineDrive,v3,5080,471353,29 April 2025 19:00-memphis@missst,"Highfill, Ross",702620,Right,MSU_BDG,55.47333,-130.02481,15.23273,6.36462,-7.03682,-7.12926,-0.69917,3.11864,-3.6981,207.916877,2.47799,126.33135,-21.06806,5.11961,-1.25764,0.33358,-0.08086,0.01269,-8.4e-4,2.13722,49.37488,-15.29919,-0.04374,0.40784,-0.19952,0.05682,-0.00806,4.2e-4,-0.01975,1.68351,4.4388,-1.94969,0.59632,-0.14342,0.02686,-0.0033,1.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-04-29,18:04:24,"Sullivan, Noah",813559,Right,MSU_BDG,Undefined,Fastball,NA,NA,88.76832,-2.564675,-1.209882,2026.322022,201.224057,12:45:00,6.46081,0.67748,5.27176,-18.30032,18.58245,6.68792,2.52462,0.09818,80.03871,-6.020554,-0.023188,0.437102,-3.75146,10.52477,-0.57212,50,6.21357,2.41132,-128.49291,-6.34883,-6.17588,30.42664,-14.84752,f3fb63d9-427e-4bc0-a4df-dea02c78b1ae,NA,NA,NA,NA,4.279153,813873,"Fogel, Justin",3680.063804,NA,94.55666,Left,36.817097,109.92265,78.33493,4.12418,350.78593,349.83548,5.650516,-3.065484,1.76297,2.75187,-0.0785,NA,NA,NA,NA,NA,2,1,MT,1,Top,1,0,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,MSU_BDG,MT,MSST,D1,SEC,20250429-MSST-1,4bebd970-254e-11f0-82eb-cde08941a96d,86.23252,109.85448,NA,8.72961,NA,NA,NA,83a521e0-24b1-4e41-a806-3683a6430d08,2025-04-29,23:04:24,2025-04-29T23:04:24Z,2025-04-29T23:04:24Z,FlyBall,v3,5080,471353,29 April 2025 19:00-memphis@missst,"Highfill, Ross",702620,Right,MSU_BDG,55.2251,-129.7243,15.21332,6.45835,-5.74794,-7.42376,-0.67476,2.66126,-3.08794,167.62327,1.76934,110.59826,-22.82118,5.32782,-0.88147,0.09874,-0.00782,5.8e-4,-3e-5,2.74978,83.13364,-18.0593,0.81889,0.0874,-0.09855,0.0284,-0.00366,1.8e-4,-0.07703,8.25791,-5.05226,1.07506,-0.15323,0.01191,-4.1e-4,4e-5,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-04-29,18:05:03,"Sullivan, Noah",813559,Right,MSU_BDG,Undefined,Slider,NA,NA,81.70063,-1.323899,-0.261151,2349.326842,105.363795,09:30:00,6.16331,0.9667,4.64581,-40.95242,3.19134,-6.22847,1.49236,0.1995,74.7101,-8.696658,-1.355972,0.478196,2.96894,2.39276,-0.93397,50,5.99073,0.81743,-118.37217,-4.31423,4.18547,23.9503,-28.80087,ca9ae915-deb7-4e41-acc6-df1b48651006,NA,NA,NA,NA,NA,1000122607,"Cox, Shane",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,MT,1,Top,2,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,MT,MSST,D1,SEC,20250429-MSST-1,6326a840-254e-11f0-82eb-cde08941a96d,78.82211,NA,NA,6.99053,NA,NA,NA,83a521e0-24b1-4e41-a806-3683a6430d08,2025-04-29,23:05:03,2025-04-29T23:05:03Z,2025-04-29T23:05:03Z,NA,v3,5080,471353,29 April 2025 19:00-memphis@missst,"Highfill, Ross",702620,Right,MSU_BDG,55.85197,-119.55034,11.97515,6.1681,-2.89745,-14.40043,-0.96911,0.61154,2.09273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-29,18:05:22,"Sullivan, Noah",813559,Right,MSU_BDG,Undefined,Curveball,NA,NA,77.81444,1.281595,-0.057685,2248.910404,16.236436,06:30:00,6.38015,0.65412,4.57131,-58.5372,-10.0056,-3.3576,2.72174,0.31943,71.53389,-9.178681,-0.647188,0.501399,1.61382,-4.72902,-0.64484,50,6.45787,0.25878,-112.86641,0.26661,2.07785,20.9014,-38.26279,6e6b84b6-0f50-491e-8de7-0a3314869c29,NA,NA,NA,NA,NA,1000122607,"Cox, Shane",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,MT,1,Top,2,0,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,MT,MSST,D1,SEC,20250429-MSST-1,6e15e1d0-254e-11f0-82eb-cde08941a96d,75.17449,NA,NA,6.28055,NA,NA,NA,83a521e0-24b1-4e41-a806-3683a6430d08,2025-04-29,23:05:22,2025-04-29T23:05:22Z,2025-04-29T23:05:22Z,NA,v3,5080,471353,29 April 2025 19:00-memphis@missst,"Highfill, Ross",702620,Right,MSU_BDG,55.92989,-113.95926,10.4507,6.39163,2.26722,-19.13139,-0.65553,0.15014,1.03893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-29,18:05:41,"Sullivan, Noah",813559,Right,MSU_BDG,Undefined,Curveball,NA,NA,77.8453,1.283449,-0.562682,2247.339652,16.053363,06:30:00,6.40587,0.63124,4.8571,-61.65078,-13.5339,-4.33847,2.48341,-0.26292,71.47966,-9.774871,-1.32883,0.499252,1.98728,-6.69481,-0.57181,50,6.47901,1.28703,-112.95587,0.24823,2.55211,21.72965,-40.77163,f90890ff-56c7-4e49-a5b0-36ab9b36bb0a,NA,NA,NA,NA,-26.637771,1000122607,"Cox, Shane",NA,NA,96.31851,Right,-5.032413,NA,NA,NA,25.02827,24.00167,0.168235,-24.316967000000002,2.20113,2.65489,0.27663,NA,NA,NA,NA,NA,3,3,MT,1,Top,2,0,2,Curveball,InPlay,Undefined,GroundBall,Single,0,0,NA,MSU_BDG,MT,MSST,D1,SEC,20250429-MSST-1,79b2c080-254e-11f0-82eb-cde08941a96d,75.49777,2.65489,NA,6.36564,NA,NA,NA,83a521e0-24b1-4e41-a806-3683a6430d08,2025-04-29,23:05:41,2025-04-29T23:05:41Z,2025-04-29T23:05:41Z,GroundBall,v3,5080,471353,29 April 2025 19:00-memphis@missst,"Highfill, Ross",702620,Right,MSU_BDG,55.64595,-114.03682,10.86483,6.41621,2.27644,-20.38582,-0.63267,1.16007,1.27606,54.479247,2.20168,125.74263,-19.3892,NA,NA,NA,NA,NA,NA,2.65542,-12.43368,-19.93521,NA,NA,NA,NA,NA,NA,0.27678,-63.10511,1.17736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-04-29,18:06:32,"Sullivan, Noah",813559,Right,MSU_BDG,Undefined,Fastball,NA,NA,87.46233,-1.332865,-0.144479,2061.370476,212.463568,01:00:00,6.41904,0.67902,5.19076,-19.74446,18.23111,10.73107,3.51958,1.43736,78.95771,-5.049429,1.756823,0.443531,-5.34992,9.87973,-0.67392,50,6.28105,-0.17812,-126.69503,-3.5912,-8.58675,28.91272,-16.31686,d81082db-26ce-4f64-a267-9b006d3b11bf,NA,NA,NA,NA,NA,832534,"Tucker, Cade",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,MT,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,MT,MSST,D1,SEC,20250429-MSST-1,986f4070-254e-11f0-82eb-cde08941a96d,84.98272,NA,NA,8.50461,NA,NA,NA,83a521e0-24b1-4e41-a806-3683a6430d08,2025-04-29,23:06:32,2025-04-29T23:06:32Z,2025-04-29T23:06:32Z,NA,v3,5080,471353,29 April 2025 19:00-memphis@missst,"Highfill, Ross",702620,Right,MSU_BDG,55.30389,-127.89968,14.45636,6.41652,-2.91136,-8.15843,-0.67396,0.17965,-4.29337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
