PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-16,11:05:13,"Eaton, Austin",1000118489,Right,TEX_BOB,Undefined,FourSeamFastBall,NA,NA,91.63596,-1.344684,-0.992709,1874.632542,186.876203,12:15:00,6.64833,0.73656,6.10443,-23.09552,9.67819,1.05098,3.47971,-0.09402,84.42963,-5.654957,-0.803234,0.412035,-0.79823,5.65087,-0.66077,50,6.53273,2.26407,-133.21645,-3.89171,-1.4441,26.81354,-21.95092,11c80fff-847a-4692-9268-8de3a52be24f,NA,NA,NA,NA,NA,1000119429,"Haskell, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BIN_BEA,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_BOB,BIN_BEA,TexasStateUniversity,D1,SBELT,20250216-TexasStateUniversity-1,304e25f0-ec88-11ef-87be-178dea703b93,91.4787,NA,NA,7.20633,NA,NA,NA,42a5b4e7-2211-4423-a857-eabc3f327513,2025-02-16,17:05:13,2025-02-16T17:05:13Z,2025-02-16T17:05:13Z,NA,v3,471452,471242,16 February 2025 14:00-sunybing@txstate,"Kummer, Theodore",1000274903,Right,TEX_BOB,54.39653,-134.09845,13.40677,6.64887,-3.16966,-10.97546,-0.73603,2.31158,-0.72205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-16,11:05:29,"Eaton, Austin",1000118489,Right,TEX_BOB,Undefined,FourSeamFastBall,NA,NA,91.6031,-2.355586,-3.445315,2045.908467,191.550055,12:30:00,6.62695,0.64722,6.4795,-19.76997,12.22225,2.3341,2.81125,-2.32581,85.65199,-6.051926,-3.022849,0.407093,-1.96091,7.18489,-0.40557,50,6.45184,7.92384,-133.12838,-6.07901,-3.59869,22.52357,-18.98831,0216ab51-5be8-4225-ad5a-d0498ba519f6,NA,NA,NA,NA,NA,1000119429,"Haskell, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,BIN_BEA,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_BOB,BIN_BEA,TexasStateUniversity,D1,SBELT,20250216-TexasStateUniversity-1,39983b00-ec88-11ef-87be-178dea703b93,92.5893,NA,NA,5.9511,NA,NA,NA,42a5b4e7-2211-4423-a857-eabc3f327513,2025-02-16,17:05:29,2025-02-16T17:05:29Z,2025-02-16T17:05:29Z,NA,v3,471452,471242,16 February 2025 14:00-sunybing@txstate,"Kummer, Theodore",1000274903,Right,TEX_BOB,54.02321,-133.80732,11.26179,6.62645,-5.50663,-9.49416,-0.64606,8.03232,-1.79934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-16,11:05:46,"Eaton, Austin",1000118489,Right,TEX_BOB,Undefined,FourSeamFastBall,NA,NA,92.61352,-1.890846,-0.901947,1984.603506,210.094721,01:00:00,6.51154,0.84905,6.42845,-20.70474,10.53449,5.65591,3.04731,0.49128,86.58177,-5.75819,0.12413,0.402274,-3.17232,6.18288,-0.78733,50,6.36715,1.90351,-134.87828,-5.10032,-5.97207,23.30046,-20.53439,732702d5-6b07-43c8-bd78-97fe51f32539,NA,NA,NA,NA,8.778099,1000119429,"Haskell, Logan",2347.270788,NA,67.67107,Right,-3.803607,NA,NA,NA,27.25451,24.79539,0.282907,8.939944,0.28338,3.16465,-0.45509,NA,NA,NA,NA,NA,1,3,BIN_BEA,1,Top,0,1,1,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,TEX_BOB,BIN_BEA,TexasStateUniversity,D1,SBELT,20250216-TexasStateUniversity-1,43fdd230-ec88-11ef-87be-178dea703b93,93.6985,3.16465,NA,6.03175,NA,NA,NA,42a5b4e7-2211-4423-a857-eabc3f327513,2025-02-16,17:05:46,2025-02-16T17:05:46Z,2025-02-16T17:05:46Z,GroundBall,v3,471452,471242,16 February 2025 14:00-sunybing@txstate,"Kummer, Theodore",1000274903,Right,TEX_BOB,54.07551,-135.5805,11.65023,6.51154,-4.48146,-10.26719,-0.8474,2.0835,-2.98603,281.276914,0.28495,97.79808,-12.87924,NA,NA,NA,NA,NA,NA,3.16613,-6.65352,-16.05846,NA,NA,NA,NA,NA,NA,-0.45649,15.17905,4.98407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Medium,NA,NA,NA
4,2025-02-16,11:06:19,"Eaton, Austin",1000118489,Right,TEX_BOB,Undefined,FourSeamFastBall,NA,NA,91.70799,-1.436534,-0.77785,2059.131481,197.918656,12:30:00,6.66157,0.69989,5.88553,-22.52458,10.01571,2.97457,3.45011,0.22538,85.6394,-5.599796,-0.243751,0.410565,-1.69898,5.71611,-0.63886,50,6.53239,1.68708,-133.48467,-4.12778,-3.13179,22.90134,-21.63744,b839aded-702a-418c-9d3d-8621a15d7e58,NA,NA,NA,NA,NA,10106000,"Bolton, Matthew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BIN_BEA,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_BOB,BIN_BEA,TexasStateUniversity,D1,SBELT,20250216-TexasStateUniversity-1,577186e0-ec88-11ef-87be-178dea703b93,91.80618,NA,NA,6.06858,NA,NA,NA,42a5b4e7-2211-4423-a857-eabc3f327513,2025-02-16,17:06:19,2025-02-16T17:06:19Z,2025-02-16T17:06:19Z,NA,v3,471452,471242,16 February 2025 14:00-sunybing@txstate,"Kummer, Theodore",1000274903,Right,TEX_BOB,54.61776,-134.27458,11.45067,6.66189,-3.38146,-10.81872,-0.69891,1.7951,-1.5659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-16,11:06:36,"Eaton, Austin",1000118489,Right,TEX_BOB,Undefined,FourSeamFastBall,NA,NA,89.85333,-2.578286,-1.263884,1905.46842,208.312025,01:00:00,6.60215,0.77041,6.10958,-24.52041,9.08654,4.44792,2.1724,-0.02786,84.23462,-7.101749,-0.46156,0.41724,-2.60043,5.51433,-0.67578,50,6.3908,2.71275,-130.75531,-6.6961,-4.60449,21.68294,-22.41002,347a5839-f62a-45eb-9395-cf6179c1d2cf,NA,NA,NA,NA,NA,10106000,"Bolton, Matthew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,BIN_BEA,1,Top,1,1,0,Four-Seam,InPlay,Undefined,Bunt,Single,0,0,NA,TEX_BOB,BIN_BEA,TexasStateUniversity,D1,SBELT,20250216-TexasStateUniversity-1,61b0aa50-ec88-11ef-87be-178dea703b93,90.33759,NA,NA,5.61871,NA,NA,NA,42a5b4e7-2211-4423-a857-eabc3f327513,2025-02-16,17:06:36,2025-02-16T17:06:36Z,2025-02-16T17:06:36Z,NA,v3,471452,471242,16 February 2025 14:00-sunybing@txstate,"Kummer, Theodore",1000274903,Right,TEX_BOB,54.39524,-131.48215,10.84147,6.60267,-5.94489,-11.20501,-0.7693,2.8671,-2.30225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-16,11:07:41,"Eaton, Austin",1000118489,Right,TEX_BOB,Undefined,FourSeamFastBall,NA,NA,92.00985,-3.041521,-0.67975,2022.427127,187.328327,12:15:00,6.56317,0.87717,6.08947,-18.78788,13.37194,1.61358,2.18103,0.38279,85.95504,-6.536376,-0.388887,0.408158,-0.98787,7.8578,-0.8256,50,6.31816,1.52204,-133.81163,-7.71515,-1.82852,23.22881,-17.62979,ce3cce41-8387-49f0-9358-626f8e1351d7,NA,NA,NA,NA,-2.767876,1000232964,"Bade, Devan",NA,NA,92.5667,Right,-11.014723,NA,NA,NA,11.91748,11.33235,0.086789,-5.620878,0.34255,2.18605,-0.57155,NA,NA,NA,NA,NA,3,1,BIN_BEA,1,Top,1,0,0,Four-Seam,InPlay,Undefined,GroundBall,Out,2,0,NA,TEX_BOB,BIN_BEA,TexasStateUniversity,D1,SBELT,20250216-TexasStateUniversity-1,88b2a090-ec88-11ef-87be-178dea703b93,92.34771,2.18605,NA,6.05481,NA,NA,NA,42a5b4e7-2211-4423-a857-eabc3f327513,2025-02-16,17:07:41,2025-02-16T17:07:41Z,2025-02-16T17:07:41Z,GroundBall,v3,471452,471242,16 February 2025 14:00-sunybing@txstate,"Kummer, Theodore",1000274903,Right,TEX_BOB,54.41411,-134.57571,11.61441,6.5624,-7.13524,-8.8149,-0.87666,1.58219,-0.91426,167.752377,0.34253,133.11124,-4.63969,NA,NA,NA,NA,NA,NA,2.18601,-25.93228,8.59413,NA,NA,NA,NA,NA,NA,-0.57153,-6.43777,-4.91471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
7,2025-02-16,11:11:30,"Rhein, Colin",1000122886,Right,BIN_BEA,Undefined,Fastball,NA,NA,88.05174,-0.74238,-2.752303,1958.528388,231.774497,01:45:00,6.16289,1.81176,6.86907,-23.64541,10.79945,12.44552,3.51496,0.33832,81.19407,-5.225671,-0.479001,0.422409,-7.2815,6.24902,-1.64037,50,6.10697,5.70378,-128.07842,-2.29886,-12.19421,24.42467,-21.70891,80a0c49d-0373-4752-86df-82011ae46ce0,NA,NA,NA,NA,NA,822903,"Farber, Ryne",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TEX_BOB,1,Bottom,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_BOB,BIN_BEA,TexasStateUniversity,D1,SBELT,20250216-TexasStateUniversity-1,1127a420-ec89-11ef-87be-178dea703b93,89.23201,NA,NA,6.85768,NA,NA,NA,42a5b4e7-2211-4423-a857-eabc3f327513,2025-02-16,17:11:30,2025-02-16T17:11:30Z,2025-02-16T17:11:30Z,NA,v3,471452,471242,16 February 2025 14:00-sunybing@txstate,"Rogacki, Zach",10026305,Right,BIN_BEA,53.6326,-128.7693,12.21234,6.1633,-1.68481,-10.85446,-1.80658,6.04871,-6.09711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
8,2025-02-16,11:11:47,"Rhein, Colin",1000122886,Right,BIN_BEA,Undefined,Fastball,NA,NA,88.56174,-1.276578,-1.84293,2008.918308,226.617837,01:30:00,6.09695,1.84128,6.61027,-23.49155,11.00225,10.54331,2.9692,1.03121,81.4472,-5.713079,0.075388,0.422709,-6.00398,6.45744,-1.71956,50,6.00019,3.73885,-128.77909,-3.54313,-10.12707,25.63661,-21.28212,77a0f7e9-dcc2-437f-b01f-4a3f462484c8,NA,NA,NA,NA,NA,822903,"Farber, Ryne",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,TEX_BOB,1,Bottom,0,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_BOB,BIN_BEA,TexasStateUniversity,D1,SBELT,20250216-TexasStateUniversity-1,1b5e8a30-ec89-11ef-87be-178dea703b93,89.1687,NA,NA,7.11454,NA,NA,NA,42a5b4e7-2211-4423-a857-eabc3f327513,2025-02-16,17:11:47,2025-02-16T17:11:47Z,2025-02-16T17:11:47Z,NA,v3,471452,471242,16 February 2025 14:00-sunybing@txstate,"Rogacki, Zach",10026305,Right,BIN_BEA,53.89049,-129.55127,12.81831,6.09726,-2.90211,-10.64106,-1.83677,4.04388,-5.06353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-16,11:12:10,"Rhein, Colin",1000122886,Right,BIN_BEA,Undefined,Fastball,NA,NA,88.55348,-1.094189,-1.137887,2014.398784,233.56826,01:45:00,6.09533,1.8255,6.60502,-25.47344,8.82351,10.64453,2.96987,1.67001,81.92669,-5.876872,0.799776,0.421502,-5.87855,5.23174,-1.75191,50,6.0101,2.15988,-128.89488,-3.21303,-9.98704,24.31957,-23.28587,73a4c3ea-0db4-4d6f-ad1a-4c46fa0fd14a,NA,NA,NA,NA,NA,822903,"Farber, Ryne",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,TEX_BOB,1,Bottom,0,0,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_BOB,BIN_BEA,TexasStateUniversity,D1,SBELT,20250216-TexasStateUniversity-1,29349000-ec89-11ef-87be-178dea703b93,89.42417,NA,NA,6.62679,NA,NA,NA,42a5b4e7-2211-4423-a857-eabc3f327513,2025-02-16,17:12:10,2025-02-16T17:12:10Z,2025-02-16T17:12:10Z,NA,v3,471452,471242,16 February 2025 14:00-sunybing@txstate,"Rogacki, Zach",10026305,Right,BIN_BEA,53.89721,-129.62811,12.15979,6.09638,-2.51097,-11.64293,-1.82157,2.46099,-4.99352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-16,11:12:33,"Rhein, Colin",1000122886,Right,BIN_BEA,Undefined,Slider,NA,NA,77.88658,-1.2146,-1.684147,2498.010647,91.465051,09:00:00,6.27345,1.65621,6.85165,-42.68766,1.6302,-11.83237,1.60806,-0.86582,72.10049,-9.168842,-3.849263,0.479138,5.91977,1.51079,-1.54444,50,6.18013,3.68798,-113.35086,-3.49482,7.69148,20.97947,-30.21111,bd024afe-e2dd-49e2-8ae2-4f0ef27cd73e,NA,NA,NA,NA,NA,822903,"Farber, Ryne",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,TEX_BOB,1,Bottom,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_BOB,BIN_BEA,TexasStateUniversity,D1,SBELT,20250216-TexasStateUniversity-1,368b0590-ec89-11ef-87be-178dea703b93,78.66716,NA,NA,5.78609,NA,NA,NA,42a5b4e7-2211-4423-a857-eabc3f327513,2025-02-16,17:12:33,2025-02-16T17:12:33Z,2025-02-16T17:12:33Z,NA,v3,471452,471242,16 February 2025 14:00-sunybing@txstate,"Rogacki, Zach",10026305,Right,BIN_BEA,53.65293,-114.02496,10.48974,6.27683,-2.5241,-15.10555,-1.65896,3.44084,3.84574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
