PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-09,13:06:22,"Ries, Nathan",10089073,Right,CSD_TRI,Undefined,Fastball,NA,NA,87.16825,-1.938841,-0.921412,2133.774572,195.911853,12:30:00,5.66495,1.46968,6.24712,-21.008,15.66465,4.09764,2.12522,0.96127,78.97324,-5.93724,-0.180722,0.435855,-2.40772,9.10934,-1.40308,50,5.51038,1.87045,-126.48606,-4.8711,-3.85428,28.65874,-17.59183,d09a457e-abd2-43cb-b9d5-a805fa1b89d0,NA,NA,NA,NA,NA,1000175598,"Alvarez, Noah",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CSU_BAK,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CSU_BAK,UCSanDiego,D1,WCC,20250309-UCSanDiego-1,f983fea0-fd21-11ef-bd87-9d6334338832,86.47924,NA,NA,8.19501,NA,NA,NA,25b1db86-6e5e-43f4-b701-ffee4b0325bd,2025-03-09,20:06:22,2025-03-09T20:06:22Z,2025-03-09T20:06:22Z,NA,v3,NA,471252,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.24896,-127.44514,14.32937,5.66354,-4.28238,-8.79592,-1.46783,1.99944,-1.92714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-09,13:06:38,"Ries, Nathan",10089073,Right,CSD_TRI,Undefined,Curveball,NA,NA,70.29263,1.7025,0.523212,2520.982259,42.454633,07:30:00,5.85224,1.16471,5.79503,-72.83937,-14.86816,-15.56737,1.36644,0.35412,63.83085,-11.618755,-2.277338,0.547996,8.12725,-7.57508,-1.19831,50,5.94899,-0.39942,-101.98598,0.87189,8.33844,20.81447,-39.94599,f8b1373b-f62e-48ad-99d6-c0e6af2d9dfb,NA,NA,NA,NA,NA,1000175598,"Alvarez, Noah",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,CSU_BAK,1,Top,0,0,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CSU_BAK,UCSanDiego,D1,WCC,20250309-UCSanDiego-1,02cbc9c0-fd22-11ef-bd87-9d6334338832,68.78231,NA,NA,6.46179,NA,NA,NA,25b1db86-6e5e-43f4-b701-ffee4b0325bd,2025-03-09,20:06:38,2025-03-09T20:06:38Z,2025-03-09T20:06:38Z,NA,v3,NA,471252,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.70729,-102.94221,10.40723,5.86678,2.70704,-19.973,-1.17116,-0.7825,4.16922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-09,13:06:54,"Ries, Nathan",10089073,Right,CSD_TRI,Undefined,ChangeUp,NA,NA,77.07587,-1.24672,-1.011123,1471.940121,232.16782,01:45:00,5.58406,1.35785,6.5329,-33.17451,13.11611,14.83111,1.67555,1.66618,70.20799,-7.506945,1.686199,0.489686,-8.04729,7.75398,-1.29327,50,5.48346,1.46901,-111.95469,-3.28339,-10.10481,22.21941,-22.43754,c286b771-4efe-4bf1-830a-c2a3f18656dc,NA,NA,NA,NA,NA,1000175598,"Alvarez, Noah",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,CSU_BAK,1,Top,0,0,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CSU_BAK,UCSanDiego,D1,WCC,20250309-UCSanDiego-1,0c93c160-fd22-11ef-bd87-9d6334338832,76.97262,NA,NA,6.86788,NA,NA,NA,25b1db86-6e5e-43f4-b701-ffee4b0325bd,2025-03-09,20:06:54,2025-03-09T20:06:54Z,2025-03-09T20:06:54Z,NA,v3,NA,471252,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,53.96358,-112.73859,11.10971,5.58533,-2.49179,-11.21877,-1.35139,1.82551,-5.05241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-09,13:07:10,"Ries, Nathan",10089073,Right,CSD_TRI,Undefined,Fastball,NA,NA,87.62906,-3.571495,-0.934904,2203.631888,186.426725,12:15:00,5.64317,1.34811,6.30535,-18.8256,17.46501,1.82189,0.77938,0.63857,79.518,-7.161202,-0.60518,0.433579,-1.24524,10.59693,-1.28041,50,5.37188,2.00198,-127.02073,-8.43541,-2.00973,28.96298,-15.07116,22a8545f-7b44-42ec-8ea7-9c44cf06afd7,NA,NA,NA,NA,NA,1000175598,"Alvarez, Noah",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CSU_BAK,1,Top,0,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CSU_BAK,UCSanDiego,D1,WCC,20250309-UCSanDiego-1,15c67de0-fd22-11ef-bd87-9d6334338832,86.93322,NA,NA,8.11107,NA,NA,NA,25b1db86-6e5e-43f4-b701-ffee4b0325bd,2025-03-09,20:07:10,2025-03-09T20:07:10Z,2025-03-09T20:07:10Z,NA,v3,NA,471252,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.19221,-127.97306,14.48149,5.6411,-7.93986,-7.53558,-1.34733,2.06806,-1.00487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-09,13:07:30,"Ries, Nathan",10089073,Right,CSD_TRI,Undefined,Fastball,NA,NA,88.11499,-2.040764,-1.535784,2098.392094,199.127242,12:45:00,5.47328,1.46306,6.35297,-19.06005,16.43757,5.29488,2.00509,0.49037,80.36595,-5.674855,-0.577195,0.428816,-3.21433,9.51886,-1.35409,50,5.31617,3.22484,-127.9574,-5.08191,-5.30486,27.5275,-16.46427,6d95741f-79cb-49e8-8507-141acd08c1fe,NA,NA,NA,NA,15.465267,1000175598,"Alvarez, Noah",NA,NA,74.0287,Left,-29.186386,NA,NA,NA,4.1565,4.1565,0.036582,6.117243,0.78237,1.94177,-0.48405,NA,NA,NA,NA,NA,1,5,CSU_BAK,1,Top,0,2,2,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,CSD_TRI,CSU_BAK,UCSanDiego,D1,WCC,20250309-UCSanDiego-1,21dc8430-fd22-11ef-bd87-9d6334338832,87.89886,1.94177,NA,7.74905,NA,NA,NA,25b1db86-6e5e-43f4-b701-ffee4b0325bd,2025-03-09,20:07:30,2025-03-09T20:07:30Z,2025-03-09T20:07:30Z,GroundBall,v3,NA,471252,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.14519,-128.84607,13.76375,5.47165,-4.55039,-8.23214,-1.46096,3.3961,-2.65243,NA,0.78102,91.58758,NA,NA,NA,NA,NA,NA,NA,1.94256,-53.07992,NA,NA,NA,NA,NA,NA,NA,-0.48442,25.33971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
6,2025-03-09,13:08:05,"Ries, Nathan",10089073,Right,CSD_TRI,Undefined,Fastball,NA,NA,88.01716,-2.08918,-2.568195,2102.975982,197.627936,12:30:00,5.53875,1.30428,6.36058,-14.41383,21.68541,6.46059,2.41214,-0.52243,79.08766,-4.922437,-1.400155,0.432435,-4.1963800000000004,12.34745,-1.12107,50,5.38033,5.45969,-127.53767,-4.96882,-6.78573,30.69345,-12.20777,6fbd9194-84a5-4f37-817d-eaac3ffc2752,NA,NA,NA,NA,NA,809923,"Cloyd, Evan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CSU_BAK,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CSU_BAK,UCSanDiego,D1,WCC,20250309-UCSanDiego-1,368e5e30-fd22-11ef-bd87-9d6334338832,87.16335,NA,NA,8.92951,NA,NA,NA,25b1db86-6e5e-43f4-b701-ffee4b0325bd,2025-03-09,20:08:05,2025-03-09T20:08:05Z,2025-03-09T20:08:05Z,NA,v3,NA,471252,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.13436,-128.5288,15.34672,5.53442,-4.57461,-6.10388,-1.30091,5.67881,-3.39287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-09,13:08:20,"Ries, Nathan",10089073,Right,CSD_TRI,Undefined,Curveball,NA,NA,70.19717,3.651961,0.2941,2456.984661,37.468764,07:15:00,5.85305,1.21205,5.44839,-75.3124,-16.63462,-14.34052,3.00074,0.29235,63.72668,-10.050289,-2.262027,0.551326,7.27044,-8.88823,-1.22791,50,6.12423,-0.00442,-101.70268,4.12414,7.47565,19.5245,-41.31319,17208c3d-5c80-45e7-a0e5-37c39b847537,NA,NA,NA,NA,NA,809923,"Cloyd, Evan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CSU_BAK,1,Top,1,0,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CSU_BAK,UCSanDiego,D1,WCC,20250309-UCSanDiego-1,3fe5b9b0-fd22-11ef-bd87-9d6334338832,68.36693,NA,NA,6.47049,NA,NA,NA,25b1db86-6e5e-43f4-b701-ffee4b0325bd,2025-03-09,20:08:20,2025-03-09T20:08:20Z,2025-03-09T20:08:20Z,NA,v3,NA,471252,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,55.0549,-102.66852,9.76225,5.86967,6.16781,-20.6566,-1.21855,-0.37422,3.73782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-09,13:08:37,"Ries, Nathan",10089073,Right,CSD_TRI,Undefined,Fastball,NA,NA,87.98306,-1.780984,-2.242434,2133.293876,190.06354,12:15:00,5.696,1.24946,6.02585,-16.2506,19.96076,3.32221,2.69055,-0.55156,79.84239,-4.905361,-1.645376,0.433106,-2.39563,11.19402,-1.07583,50,5.54786,4.86238,-127.61756,-4.40643,-3.91776,28.31011,-13.86755,a2ba8063-cac0-4c11-a25f-f605b25d295d,NA,NA,NA,NA,-6.374914,809923,"Cloyd, Evan",787.764844,NA,103.39086,Right,16.374625,109.45024,27.19066,-10.98297,312.59194,312.59194,2.901682,-5.697328,1.68417,2.74054,0.54937,NA,NA,NA,NA,NA,2,3,CSU_BAK,1,Top,1,0,2,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,CSD_TRI,CSU_BAK,UCSanDiego,D1,WCC,20250309-UCSanDiego-1,4a299810-fd22-11ef-bd87-9d6334338832,87.02828,31.55178,NA,8.14067,NA,NA,NA,25b1db86-6e5e-43f4-b701-ffee4b0325bd,2025-03-09,20:08:37,2025-03-09T20:08:37Z,2025-03-09T20:08:37Z,LineDrive,v3,NA,471252,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.47192,-128.60577,14.15505,5.69323,-3.92237,-6.93377,-1.24795,4.99913,-1.95888,189.517653,1.68416,144.59073,-22.85252,5.5554500000000004,-1.21587,0.24667,-0.04221,0.00491,-2.7e-4,2.74055,42.74707,-16.70459,0.64519,0.00269,-0.01821,0.00266,1.5e-4,-4e-5,0.54937,-16.15495,3.58467,-1.08336,0.27584,-0.06039,0.01033,-0.00117,6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
9,2025-03-09,13:09:22,"Ries, Nathan",10089073,Right,CSD_TRI,Undefined,Fastball,NA,NA,86.96402,-0.299651,-2.905722,1987.741812,187.569848,12:15:00,5.58403,1.36628,6.38259,-16.03824,20.77166,2.58524,3.9715,-1.0936,78.30819,-3.432032,-2.438559,0.43667,-2.26815,11.26694,-1.15801,50,5.55463,6.29611,-126.08228,-1.02274,-3.59737,29.15312,-14.30433,372a5d4f-6657-472d-9895-a4f35160b671,NA,NA,NA,NA,NA,1000114484,"Mascaro, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CSU_BAK,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CSU_BAK,UCSanDiego,D1,WCC,20250309-UCSanDiego-1,64d7bbb0-fd22-11ef-bd87-9d6334338832,86.31781,NA,NA,8.65583,NA,NA,NA,25b1db86-6e5e-43f4-b701-ffee4b0325bd,2025-03-09,20:09:22,2025-03-09T20:09:22Z,2025-03-09T20:09:22Z,NA,v3,NA,471252,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.11178,-127.02946,14.57656,5.58031,-0.558,-7.15217,-1.36447,6.41298,-1.79868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-09,13:09:43,"Ries, Nathan",10089073,Right,CSD_TRI,Undefined,Fastball,NA,NA,86.95178,-1.534431,-1.691851,2044.395938,205.738164,12:45:00,5.51592,1.44597,6.39008,-20.23564,16.537960000000002,7.33134,2.41731,0.50032,78.46509,-5.417058,-0.363835,0.436455,-4.40607,9.52867,-1.32772,50,5.39629,3.44826,-126.18796,-3.92115,-6.98856,29.58399,-17.06046,72f005fb-4f70-49e1-9dc7-56a6d80047dd,NA,NA,NA,NA,NA,1000114484,"Mascaro, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,CSU_BAK,1,Top,1,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CSU_BAK,UCSanDiego,D1,WCC,20250309-UCSanDiego-1,70f478c0-fd22-11ef-bd87-9d6334338832,86.36042,NA,NA,8.4867,NA,NA,NA,25b1db86-6e5e-43f4-b701-ffee4b0325bd,2025-03-09,20:09:43,2025-03-09T20:09:43Z,2025-03-09T20:09:43Z,NA,v3,NA,471252,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.10773,-127.14735,14.792,5.51448,-3.3679,-8.53023,-1.44322,3.6749,-3.49428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
