PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,19:03:15,"McCoy, Kyle",1000110052,Left,MAR_TER,Undefined,Sinker,NA,NA,93.37756,-0.622421,4.032241,1569.358773,99.314934,09:15:00,5.23783,-3.20987,5.49178,-28.71376,4.06748,-18.12505,2.2613,-0.94206,84.92535,-5.906874,0.810418,0.412082,10.26882,2.57138,2.86886,50,5.16394,-8.67788,-135.23376,-2.59267,18.93239,30.70899,-27.43328,d24f4b5c-33b2-4519-9dbe-33b5977eb179,NA,NA,NA,NA,NA,1000230350,"Hyde, Brennan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,RUT_SCA,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MAR_TER,RUT_SCA,BobSmithStadium,D1,BIG10,20250516-BobSmithStadium-1,f4683fe0-32a9-11f0-b59f-27eb1bf17013,91.4682,NA,NA,8.4522099999999991,NA,NA,NA,8f09be19-bd21-41e1-bd32-b141619ab32c,2025-05-16,23:03:15,2025-05-16T23:03:15Z,2025-05-16T23:03:15Z,NA,v3,471349,471422,16 May 2025 18:00-rutgers@maryland,"Calarco, Alex",701321,Right,MAR_TER,55.00659,-136.36592,15.3545,5.24088,-1.58128,-13.71664,3.20166,-9.37587,9.4662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-16,19:03:29,"McCoy, Kyle",1000110052,Left,MAR_TER,Undefined,Sinker,NA,NA,92.67493,-1.46899,7.0409,1631.15549,106.644905,09:30:00,5.20266,-3.32784,5.89659,-26.57663,6.66705,-18.35084,1.61348,1.71275,83.82372,-6.407442,3.782072,0.414979,11.81997,4.14268,2.77003,50,5.06812,-15.74156,-133.59389,-4.37512,21.13666,31.60629,-24.76606,ed2cc49b-98d8-4f92-a728-79196c8ac5a3,NA,NA,NA,NA,NA,1000230350,"Hyde, Brennan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,RUT_SCA,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MAR_TER,RUT_SCA,BobSmithStadium,D1,BIG10,20250516-BobSmithStadium-1,fc789c70-32a9-11f0-b59f-27eb1bf17013,90.82978,NA,NA,8.85121,NA,NA,NA,8f09be19-bd21-41e1-bd32-b141619ab32c,2025-05-16,23:03:29,2025-05-16T23:03:29Z,2025-05-16T23:03:29Z,NA,v3,471349,471422,16 May 2025 18:00-rutgers@maryland,"Calarco, Alex",701321,Right,MAR_TER,54.60501,-134.67895,15.80315,5.20372,-3.52488,-12.38303,3.32291,-16.4672,10.56833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-16,19:03:44,"McCoy, Kyle",1000110052,Left,MAR_TER,Undefined,Sinker,NA,NA,93.11617,-1.039619,6.401014,1639.560378,96.773906,09:15:00,5.19223,-3.55187,5.63867,-29.79994,3.27162,-17.97714,1.73285,0.94646,84.50456,-6.522493,3.216268,0.413903,11.05764,2.27791,3.01781,50,5.08425,-14.26411,-134.37216,-3.58125,20.09033,30.82306,-28.03539,e1335d5d-bb25-4a22-bd82-7b9c515253a4,NA,NA,NA,NA,NA,1000230350,"Hyde, Brennan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,RUT_SCA,1,Top,0,1,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MAR_TER,RUT_SCA,BobSmithStadium,D1,BIG10,20250516-BobSmithStadium-1,05528a90-32aa-11f0-b59f-27eb1bf17013,91.06585,NA,NA,8.61161,NA,NA,NA,8f09be19-bd21-41e1-bd32-b141619ab32c,2025-05-16,23:03:44,2025-05-16T23:03:44Z,2025-05-16T23:03:44Z,NA,v3,471349,471422,16 May 2025 18:00-rutgers@maryland,"Calarco, Alex",701321,Right,MAR_TER,54.861,-135.48262,15.41153,5.19508,-2.57123,-14.0177,3.54474,-14.9879,10.04516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-16,19:03:59,"McCoy, Kyle",1000110052,Left,MAR_TER,Undefined,Sinker,NA,NA,92.71773,-0.976131,5.122903,1540.061956,93.456905,09:00:00,5.36952,-3.23607,5.5939,-31.0858,2.15055,-17.0843,1.86391,0.13615,84.34381,-6.68571,2.087002,0.414933,10.23725,1.66205,2.80742,50,5.26511,-11.26042,-134.11207,-3.4792,18.53931,30.53744,-29.16412,7273ef46-ad9a-4f23-88a5-39043d0bd649,NA,NA,NA,NA,21.394525,1000230350,"Hyde, Brennan",NA,NA,72.35343,Right,82.520553,NA,NA,NA,NA,11.16918,NA,NA,2.65285,3.88843,-0.51006,NA,NA,NA,NA,NA,1,4,RUT_SCA,1,Top,0,1,2,Sinker,InPlay,Undefined,Popup,Out,1,0,NA,MAR_TER,RUT_SCA,BobSmithStadium,D1,BIG10,20250516-BobSmithStadium-1,0e5adbb0-32aa-11f0-b59f-27eb1bf17013,90.83979,99.73979,NA,8.37393,NA,NA,NA,8f09be19-bd21-41e1-bd32-b141619ab32c,2025-05-16,23:03:59,2025-05-16T23:03:59Z,2025-05-16T23:03:59Z,NA,v3,471349,471422,16 May 2025 18:00-rutgers@maryland,"Calarco, Alex",701321,Right,MAR_TER,54.90638,-135.22464,15.26872,5.37251,-2.41667,-14.58206,3.22998,-11.93587,9.26966,184.794723,2.65285,12.86329,-10.87784,3.90526,-0.58464,-0.45886,0.51691,-0.23404,0.04191,3.88843,105.21506,-28.09051,3.35453,-0.57944,0.11448,-0.04364,0.01566,-0.00269,-0.51006,5.03846,2.19574,-0.97919,0.1543,0.13803,-0.15408,0.06982,-0.01252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
5,2025-05-16,19:04:35,"McCoy, Kyle",1000110052,Left,MAR_TER,Undefined,Sinker,NA,NA,92.96013,-2.135959,4.160002,1598.410076,116.091188,09:45:00,5.36798,-2.83589,5.72355,-23.608,9.11375,-16.43442,1.40501,-0.32392,84.91806,-6.516901,1.226981,0.411708,9.60851,5.54985,2.49866,50,5.17457,-9.07081,-134.63594,-5.87753,17.61121,29.62511,-22.00185,2c85bc3b-f66a-459b-ab84-370262668b21,NA,NA,NA,NA,NA,802494,"Doucette, Ty",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,RUT_SCA,1,Top,1,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MAR_TER,RUT_SCA,BobSmithStadium,D1,BIG10,20250516-BobSmithStadium-1,23f6c790-32aa-11f0-b59f-27eb1bf17013,91.55131,NA,NA,8.04207,NA,NA,NA,8f09be19-bd21-41e1-bd32-b141619ab32c,2025-05-16,23:04:35,2025-05-16T23:04:35Z,2025-05-16T23:04:35Z,NA,v3,471349,471422,16 May 2025 18:00-rutgers@maryland,"Calarco, Alex",701321,Right,MAR_TER,54.77653,-135.68289,14.81256,5.36854,-5.09999,-11.00093,2.83022,-9.69319,8.80561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-16,19:04:54,"McCoy, Kyle",1000110052,Left,MAR_TER,Undefined,ChangeUp,NA,NA,87.07194,-1.24688,4.712826,1404.822795,86.813247,09:00:00,5.09873,-2.70673,6.16765,-36.46919,0.32087,-16.02355,0.90385,0.32087,79.57428,-7.988154,1.82954,0.436553,9.71162,0.86433,2.35723,50,4.98535,-9.77163,-126.1412,-3.9632,15.56916,26.85876,-30.78839,3dfdb404-3c84-4cdb-9bae-fc6449b51434,NA,NA,NA,NA,NA,802494,"Doucette, Ty",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,RUT_SCA,1,Top,1,0,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,MAR_TER,RUT_SCA,BobSmithStadium,D1,BIG10,20250516-BobSmithStadium-1,2f8f3970-32aa-11f0-b59f-27eb1bf17013,86.34108,NA,NA,7.49766,NA,NA,NA,8f09be19-bd21-41e1-bd32-b141619ab32c,2025-05-16,23:04:54,2025-05-16T23:04:54Z,2025-05-16T23:04:54Z,NA,v3,471349,471422,16 May 2025 18:00-rutgers@maryland,"Calarco, Alex",701321,Right,MAR_TER,54.33264,-127.06038,13.42938,5.10295,-2.90953,-15.3942,2.70076,-10.30446,7.78458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-16,19:05:09,"McCoy, Kyle",1000110052,Left,MAR_TER,Undefined,ChangeUp,NA,NA,87.8865,-0.143503,5.604341,1441.025789,87.018908,09:00:00,5.00692,-2.95956,6.17591,-35.75337,0.36626,-15.58883,1.89431,0.93364,80.20627,-6.760488,2.808187,0.432557,9.61516,0.62201,2.54209,50,4.97819,-11.84287,-127.17098,-1.52862,15.70749,26.67562,-31.15793,c1c893aa-d081-4b6e-81d8-7344b926e620,NA,NA,NA,NA,NA,802494,"Doucette, Ty",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,RUT_SCA,1,Top,1,0,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MAR_TER,RUT_SCA,BobSmithStadium,D1,BIG10,20250516-BobSmithStadium-1,38594910-32aa-11f0-b59f-27eb1bf17013,87.13871,NA,NA,7.68024,NA,NA,NA,8f09be19-bd21-41e1-bd32-b141619ab32c,2025-05-16,23:05:09,2025-05-16T23:05:09Z,2025-05-16T23:05:09Z,NA,v3,471349,471422,16 May 2025 18:00-rutgers@maryland,"Calarco, Alex",701321,Right,MAR_TER,54.32311,-128.07459,13.33781,5.0121,-0.47317,-15.57897,2.95227,-12.37495,7.85374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-16,19:05:27,"McCoy, Kyle",1000110052,Left,MAR_TER,Undefined,Sinker,NA,NA,93.16578,-0.991023,4.526217,1574.461204,123.055262,10:00:00,5.29281,-2.97292,5.68122,-22.59273,10.17217,-13.93205,2.48331,0.094,84.60414,-5.204541,2.045725,0.41198,8.21638,5.79004,2.59888,50,5.1951599999999996,-9.99434,-134.7767,-3.14568,15.05832,30.28157,-21.56257,3d1effea-1f6e-4efc-bbc7-1466ef5e76b9,NA,NA,NA,NA,-170.438795,802494,"Doucette, Ty",2590.756112,NA,80.07149,Right,6.248495,NA,NA,NA,128.52089,47.44132,1.327949,-169.342224,4.50874,2.30598,0.18622,NA,NA,NA,NA,NA,2,4,RUT_SCA,1,Top,1,1,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MAR_TER,RUT_SCA,BobSmithStadium,D1,BIG10,20250516-BobSmithStadium-1,42b606a0-32aa-11f0-b59f-27eb1bf17013,91.49097,6.03741,NA,8.56164,NA,NA,NA,8f09be19-bd21-41e1-bd32-b141619ab32c,2025-05-16,23:05:27,2025-05-16T23:05:27Z,2025-05-16T23:05:27Z,GroundBall,v3,471349,471422,16 May 2025 18:00-rutgers@maryland,"Calarco, Alex",701321,Right,MAR_TER,54.81258,-135.85368,15.14079,5.2934,-2.3788,-10.78128,2.96386,-10.5299,7.52916,192.10961,4.2864,-112.79264,10.99373,NA,NA,NA,NA,NA,NA,2.31067,12.75895,-10.92391,NA,NA,NA,NA,NA,NA,0.17388,-19.26484,0.93636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
9,2025-05-16,19:05:45,"McCoy, Kyle",1000110052,Left,MAR_TER,Undefined,Slider,NA,NA,83.86502,1.178133,3.577624,2019.893373,299.058473,04:00:00,5.16732,-2.96921,5.59304,-39.69979,1.45902,0.1639,2.96132,0.38919,75.22045,-6.150126,3.606779,0.461746,1.14803,0.77417,2.66191,50,5.24303,-7.58946,-121.27771,1.11756,1.67158,28.66528,-31.04681,57795fb0-7d78-4134-a834-b15d58ebf1a1,NA,NA,NA,NA,-4.703397,802494,"Doucette, Ty",2400.364347,NA,101.06166,Right,15.317656,109.01304,26.18808,-14.69999,289.84007,283.77506,2.97402,-13.107786,1.54931,2.99554,-0.3624,NA,NA,NA,NA,NA,2,5,RUT_SCA,1,Top,1,1,2,Slider,InPlay,Undefined,LineDrive,Out,1,0,NA,MAR_TER,RUT_SCA,BobSmithStadium,D1,BIG10,20250516-BobSmithStadium-1,4d77eea0-32aa-11f0-b59f-27eb1bf17013,81.63031,29.93726,NA,8.64457,NA,NA,NA,8f09be19-bd21-41e1-bd32-b141619ab32c,2025-05-16,23:05:45,2025-05-16T23:05:45Z,2025-05-16T23:05:45Z,LineDrive,v3,471349,471422,16 May 2025 18:00-rutgers@maryland,"Calarco, Alex",701321,Right,MAR_TER,54.90264,-122.43101,14.33264,5.17294,2.36668,-15.52341,2.96862,-7.65672,0.83579,133.949849,1.54933,142.47579,-27.3523,6.34742,-1.45093,0.31337,-0.05688,0.00702,-4.1e-4,2.99554,39.15638,-14.98768,0.58874,-0.01738,-0.01391,0.00474,-6.1e-4,3e-5,-0.36239,-11.72262,-6.689,1.9965,-0.53693,0.12768,-0.02419,0.00306,-1.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-05-16,19:06:17,"McCoy, Kyle",1000110052,Left,MAR_TER,Undefined,Slider,NA,NA,85.81621,-0.65396,4.956676,1941.218314,150.265396,11:00:00,5.154,-2.66021,5.78366,-34.15163,4.70918,-1.89898,1.69731,1.80459,77.65838,-6.962232,4.618513,0.44867,2.54291,3.05504,2.25175,50,5.07978,-10.67393,-124.00467,-2.59027,3.90412,28.03611,-27.48365,1476f5f1-6b01-42c8-aeee-5e3ccc1b02a0,NA,NA,NA,NA,NA,701906,"Cohen, Trevor",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,RUT_SCA,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MAR_TER,RUT_SCA,BobSmithStadium,D1,BIG10,20250516-BobSmithStadium-1,60736610-32aa-11f0-b59f-27eb1bf17013,84.00922,NA,NA,8.15783,NA,NA,NA,8f09be19-bd21-41e1-bd32-b141619ab32c,2025-05-16,23:06:17,2025-05-16T23:06:17Z,2025-05-16T23:06:17Z,NA,v3,471349,471422,16 May 2025 18:00-rutgers@maryland,"Calarco, Alex",701321,Right,MAR_TER,54.71112,-125.06527,14.01805,5.15811,-1.55057,-13.74182,2.65833,-10.82162,1.95206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
