PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-18,15:01:37,"Arvidson, Brandon",805312,Left,TEN_VOL,Undefined,Fastball,NA,NA,92.61859,-2.581234,0.951674,2353.714223,155.640165,11:15:00,6.5498,0.1595,5.23252,-12.68548,21.17387,-9.02981,3.06441,0.30164,83.52572,-5.027172,-0.649091,0.418804,4.8354799999999996,11.77079,-0.23995,50,6.30347,-1.80049,-134.10638,-6.42387,8.68745,32.6443,-11.02651,98e78610-f8cf-4938-98e2-b6675b99f87b,NA,NA,NA,NA,158.292262,10090813,"Lowe, Logan",2057.3369510000002,NA,73.59286,Right,25.379644,NA,NA,NA,NA,47.06135,NA,NA,1.76911,3.03608,-0.27654,NA,NA,NA,NA,NA,1,1,NCA_BUL,1,Top,0,0,0,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20250218-LindseyNelsonStadium-1,8b4c4f90-ee3b-11ef-ab06-d792c89d8ca2,90.00017,20.77009,NA,9.09288,NA,NA,NA,57aa50ef-efe6-4d5e-a2a5-983c63d0bf1b,2025-02-18,21:01:37,2025-02-18T21:01:37Z,2025-02-18T21:01:37Z,NA,v3,471459,1570,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.26397,-135.38167,16.32215,6.54602,-5.99311,-5.51325,-0.16298,-2.13988,4.34372,313.742199,1.76911,-90.60307,7.01839,-0.11475,-0.03313,0.03838,-0.0108,0.0042,-0.00141,3.03608,46.26291,-25.3325,2.91764,-0.61464,0.12865,-0.02205,0.00308,1.8e-4,-0.27654,36.06952,-8.7081,1.55635,-0.33801,0.06134,-0.01136,0.00203,-9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
2,2025-02-18,15:01:54,"Arvidson, Brandon",805312,Left,TEN_VOL,Undefined,ChangeUp,NA,NA,85.03742,-0.255347,-0.248992,1745.641765,119.865499,10:00:00,6.39447,-0.12788,5.34541,-28.61828,10.85855,-16.72501,3.77009,-1.75519,77.75326,-5.536226,-3.220896,0.452213,8.30965,5.90162,0.16264,50,6.35126,1.25881,-123.44362,-1.5466,12.79485,25.06083,-23.08701,f855ba69-302e-439a-8af7-70b0c5fb80c9,NA,NA,NA,NA,NA,10090813,"Lowe, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NCA_BUL,1,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20250218-LindseyNelsonStadium-1,95850a60-ee3b-11ef-ab06-d792c89d8ca2,83.35116,NA,NA,7.28416,NA,NA,NA,57aa50ef-efe6-4d5e-a2a5-983c63d0bf1b,2025-02-18,21:01:54,2025-02-18T21:01:54Z,2025-02-18T21:01:54Z,NA,v3,471459,1570,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.15209,-124.48518,12.53041,6.3956,-0.58708,-11.54351,0.12137,0.72704,6.39742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-18,15:02:11,"Arvidson, Brandon",805312,Left,TEN_VOL,Undefined,Fastball,NA,NA,92.61239,0.306533,0.22187,2040.313236,157.975057,11:15:00,6.50172,0.18743,5.32613,-14.07237,19.49981,-7.42158,5.61666,-0.22284,83.62111,-2.395038,-1.095967,0.417024,3.74666,9.96847,-0.20211,50,6.51972,-0.15918,-134.26184,0.2959,6.77557,31.58342,-14.14678,fa2fd784-ba75-487c-8c9d-6a7427dbfccd,NA,NA,NA,NA,NA,10090813,"Lowe, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NCA_BUL,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20250218-LindseyNelsonStadium-1,9f322700-ee3b-11ef-ab06-d792c89d8ca2,90.3843,NA,NA,8.99128,NA,NA,NA,57aa50ef-efe6-4d5e-a2a5-983c63d0bf1b,2025-02-18,21:02:11,2025-02-18T21:02:11Z,2025-02-18T21:02:11Z,NA,v3,471459,1570,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.16758,-135.472,15.79171,6.498,0.83795,-7.07339,-0.19103,-0.41879,3.38779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
4,2025-02-18,15:02:27,"Arvidson, Brandon",805312,Left,TEN_VOL,Undefined,Fastball,NA,NA,92.95666,-2.925261,0.747561,2164.258154,160.39299,11:15:00,6.49652,0.12125,5.20353,-10.06481,23.55919,-7.9593,2.904,0.16109,83.89688,-4.903428,-0.662442,0.417346,4.18532,12.98516,-0.18422,50,6.21876,-1.36815,-134.55035,-7.12276,7.58514,32.29647,-8.6407,b24889b7-5824-4f4e-82f4-2033c8c9b0a2,NA,NA,NA,NA,NA,10090813,"Lowe, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NCA_BUL,1,Top,0,2,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20250218-LindseyNelsonStadium-1,a8d42010-ee3b-11ef-ab06-d792c89d8ca2,90.31465,NA,NA,9.05979,NA,NA,NA,57aa50ef-efe6-4d5e-a2a5-983c63d0bf1b,2025-02-18,21:02:27,2025-02-18T21:02:27Z,2025-02-18T21:02:27Z,NA,v3,471459,1570,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.29143,-135.81453,16.14824,6.49094,-6.78453,-4.32035,-0.12485,-1.66505,3.79257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-18,15:02:45,"Arvidson, Brandon",805312,Left,TEN_VOL,Undefined,ChangeUp,NA,NA,85.01831,-1.726855,-0.143729,1547.911225,138.845075,10:45:00,6.3803,-0.10582,5.62308,-26.36702,13.10351,-10.24186,2.57113,-1.09344,77.13362,-6.641786,-1.974152,0.452176,5.12992,7.58748,0.12471,50,6.21647,0.74166,-123.2697,-4.5717,7.80306,27.12067,-20.63277,8a383232-d90d-47e1-8066-56f3ac9d5282,NA,NA,NA,NA,NA,10090813,"Lowe, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NCA_BUL,1,Top,0,2,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20250218-LindseyNelsonStadium-1,b3e78370-ee3b-11ef-ab06-d792c89d8ca2,83.35781,NA,NA,7.88469,NA,NA,NA,57aa50ef-efe6-4d5e-a2a5-983c63d0bf1b,2025-02-18,21:02:45,2025-02-18T21:02:45Z,2025-02-18T21:02:45Z,NA,v3,471459,1570,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.8722,-124.33702,13.56033,6.3804,-3.75971,-10.31638,0.10157,0.43457,3.90153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.75625,2.859419,1.82441,1.03501,-0.39385,2.35713,1.15682,-1.15826,4.23492,3.86556,70.76531,4.51111,-54.01336,-1.15856,72.37164,-2.78321,4.27388,15.63059,-14.90417,3.78918,-65.18517,9.06637,High,High,High,NA,NA,High,Medium,High
6,2025-02-18,15:03:11,"Arvidson, Brandon",805312,Left,TEN_VOL,Undefined,Fastball,NA,NA,93.44052,-1.882253,0.604294,2265.328324,157.758925,11:15:00,6.48329,-0.08538,5.43485,-11.50784,21.4058,-8.27658,3.76095,-0.20919,84.37905,-4.123543,-0.868449,0.412914,4.32071,11.6526,0.03769,50,6.3091,-1.03061,-135.41148,-4.75406,7.93599,32.54217,-10.77132,7c2c53a7-c2c8-4523-b923-029b26eae9b4,NA,NA,NA,NA,NA,801907,"Lanowitz, Corbin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NCA_BUL,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20250218-LindseyNelsonStadium-1,c335f870-ee3b-11ef-ab06-d792c89d8ca2,91.28405,NA,NA,9.06147,NA,NA,NA,57aa50ef-efe6-4d5e-a2a5-983c63d0bf1b,2025-02-18,21:03:11,2025-02-18T21:03:11Z,2025-02-18T21:03:11Z,NA,v3,471459,1570,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.05971,-136.62202,16.27109,6.47849,-4.35337,-5.38566,0.08152,-1.32582,3.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-18,15:03:28,"Arvidson, Brandon",805312,Left,TEN_VOL,Undefined,Fastball,NA,NA,93.85885,-4.132344,1.520187,2303.764149,162.140709,11:30:00,6.44507,0.22233,5.27545,-10.73284,22.34627,-6.80166,1.66136,1.08366,84.55633,-6.225272,0.313987,0.41395,3.8626,12.81013,-0.35601,50,6.05985,-3.26524,-135.6121,-10.07767,7.0929,33.51144,-8.65074,8a09901f-3407-400b-ac7d-ac7da93e6159,NA,NA,NA,NA,NA,801907,"Lanowitz, Corbin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NCA_BUL,1,Top,1,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20250218-LindseyNelsonStadium-1,cd56be70-ee3b-11ef-ab06-d792c89d8ca2,91.05547,NA,NA,9.30252,NA,NA,NA,57aa50ef-efe6-4d5e-a2a5-983c63d0bf1b,2025-02-18,21:03:28,2025-02-18T21:03:28Z,2025-02-18T21:03:28Z,NA,v3,471459,1570,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.21869,-136.89563,16.75572,6.43949,-9.74634,-4.32537,-0.22575,-3.5369,3.54645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-18,15:03:45,"Arvidson, Brandon",805312,Left,TEN_VOL,Undefined,Slider,NA,NA,85.44617,-4.38351,0.936319,2351.317716,189.332043,12:15:00,6.39082,-0.14811,5.2333,-35.92624,3.28988,0.34854,-0.73197,0.76112,79.38737,-10.832737,0.998341,0.450717,0.07024,3.0915,0.06166,50,5.95946,-2.03734,-123.77475,-10.81439,0.10949,23.60819,-27.35535,4ee919b1-dea6-4f3d-9377-baf123e21199,NA,NA,NA,NA,NA,801907,"Lanowitz, Corbin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NCA_BUL,1,Top,1,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20250218-LindseyNelsonStadium-1,d769a1c0-ee3b-11ef-ab06-d792c89d8ca2,83.62777,NA,NA,6.0588,NA,NA,NA,57aa50ef-efe6-4d5e-a2a5-983c63d0bf1b,2025-02-18,21:03:45,2025-02-18T21:03:45Z,2025-02-18T21:03:45Z,NA,v3,471459,1570,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.26735,-124.77537,11.80409,6.39325,-9.65495,-13.67767,0.14811,-2.04198,0.05475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-18,15:04:06,"Arvidson, Brandon",805312,Left,TEN_VOL,Undefined,Fastball,NA,NA,92.47784,-2.897212,0.295664,2267.221733,156.142247,11:15:00,6.41285,0.2453,5.47596,-12.70079,20.89505,-8.7102,2.64111,-0.20389,83.61418,-5.3475,-1.25561,0.417171,4.5063,11.80902,-0.26503,50,6.15028,-0.29228,-133.96924,-7.14366,8.09336,32.12131,-10.96489,ba4fe563-3038-4488-b1da-c87f378fb5aa,NA,NA,NA,NA,60.571397,801907,"Lanowitz, Corbin",NA,NA,67.42933,Left,-48.682446,NA,NA,NA,4.61804,2.81255,0.037167,29.869051,2.80698,2.7728,0.17691,NA,NA,NA,NA,NA,2,4,NCA_BUL,1,Top,1,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20250218-LindseyNelsonStadium-1,e43bcc20-ee3b-11ef-ab06-d792c89d8ca2,90.35251,2.7728,NA,8.86365,NA,NA,NA,57aa50ef-efe6-4d5e-a2a5-983c63d0bf1b,2025-02-18,21:04:06,2025-02-18T21:04:06Z,2025-02-18T21:04:06Z,GroundBall,v3,471459,1570,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.0209,-135.16772,16.06066,6.40919,-6.73455,-5.48244,-0.24849,-0.59425,4.04668,NA,2.80614,32.22303,NA,NA,NA,NA,NA,NA,NA,2.77475,-74.60445,NA,NA,NA,NA,NA,NA,NA,0.17541,57.11997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
10,2025-02-18,15:04:37,"Arvidson, Brandon",805312,Left,TEN_VOL,Undefined,Slider,NA,NA,83.81307,-0.123091,0.828466,2358.172495,342.371062,05:30:00,6.42283,-0.11632,4.8394,-44.41223,-2.44417,1.25366,2.60525,0.77263,75.91403,-8.156349,1.049534,0.466263,-0.35272,-0.78728,0.03323,50,6.3725,-1.81143,-121.40676,-1.99331,-0.51808,27.28853,-33.33044,c254fa62-528a-4524-b315-6b0c3613ee05,NA,NA,NA,NA,9.437053,801907,"Lanowitz, Corbin",NA,NA,85.55393,Left,-6.474663,NA,NA,NA,21.98981,21.98981,0.160546,6.282176,2.48013,2.76143,-0.78932,NA,NA,NA,NA,NA,2,5,NCA_BUL,1,Top,1,2,2,Slider,InPlay,Undefined,GroundBall,Single,0,0,NA,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20250218-LindseyNelsonStadium-1,f6cbd790-ee3b-11ef-ab06-d792c89d8ca2,80.83944,2.76143,NA,7.89904,NA,NA,NA,57aa50ef-efe6-4d5e-a2a5-983c63d0bf1b,2025-02-18,21:04:37,2025-02-18T21:04:37Z,2025-02-18T21:04:37Z,GroundBall,v3,471459,1570,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.6582,-122.67195,13.64426,6.42909,-0.44799,-16.66522,0.11666,-1.78741,-0.25904,11.625335,2.48041,122.96843,-14.16325,NA,NA,NA,NA,NA,NA,2.7618,-14.17983,-18.84221,NA,NA,NA,NA,NA,NA,-0.78924,20.43594,-3.31803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
