PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,14:05:52,"Little, Branton",703441,Right,WOF_TER,Undefined,Fastball,NA,NA,91.37931,-1.000743,-4.155821,2150.214091,223.170479,01:30:00,5.76571,2.13446,4.7682,-19.60029,16.11678,13.83603,3.18091,-0.65975,81.77807,-4.668287,-1.732859,0.430139,-8.08737,8.59567,-1.73005,50,5.649,8.87592,-131.86318,-3.02888,-13.98926,32.63546,-17.30557,ded26ef5-8b99-4e6b-94ef-066335f8f9c2,NA,NA,NA,NA,NA,1000230989,"Prince, Owen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,VIR_KEY,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,VIR_KEY,WoffordCollege,D1,SOCON,20250516-WoffordCollege-2,67752ae0-3280-11f0-ae21-41ab83baf01c,87.62842,NA,NA,9.60124,NA,NA,NA,71bb439e-48ab-4a43-b346-ab8fe6850fcc,2025-05-16,18:05:52,2025-05-16T18:05:52Z,2025-05-16T18:05:52Z,NA,v3,471512,471480,16 May 2025 14:00-vmi@wofford,"Feliz, Raul",1000102967,Right,WOF_TER,55.72802,-133.2733,16.31773,5.76371,-2.28114,-8.65279,-2.12662,9.48037,-6.99463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-16,14:06:04,"Little, Branton",703441,Right,WOF_TER,Undefined,Fastball,NA,NA,91.21981,0.777049,-1.24575,2182.396512,218.110529,01:15:00,5.59942,2.38865,4.92713,-18.46997,17.14615,12.37296,4.79507,2.24186,81.28002,-2.719438,0.934496,0.429531,-6.43433,8.53402,-2.27782,50,5.66075,2.23845,-131.89762,1.15222,-11.08728,33.76766,-17.46873,7b508175-c6dc-4123-8e4f-033adbde9585,NA,NA,NA,NA,NA,1000230989,"Prince, Owen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,VIR_KEY,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,VIR_KEY,WoffordCollege,D1,SOCON,20250516-WoffordCollege-2,6e8f8eb0-3280-11f0-ae21-41ab83baf01c,87.7525,NA,NA,9.9398,NA,NA,NA,71bb439e-48ab-4a43-b346-ab8fe6850fcc,2025-05-16,18:06:04,2025-05-16T18:06:04Z,2025-05-16T18:06:04Z,NA,v3,471512,471480,16 May 2025 14:00-vmi@wofford,"Feliz, Raul",1000102967,Right,WOF_TER,55.56696,-133.31522,16.88383,5.59699,1.88558,-8.73436,-2.38156,2.7039,-5.54364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-16,14:06:16,"Little, Branton",703441,Right,WOF_TER,Undefined,Fastball,NA,NA,91.16237,-0.890335,-3.137043,2140.828476,252.789598,02:30:00,5.58902,2.2441,4.62085,-28.28517,7.88985,20.86044,2.38413,0.99707,81.39132,-6.073704,0.517222,0.432888,-11.22922,4.55949,-1.94189,50,5.47211,6.15139,-131.6457,-3.22059,-19.24528,34.03956,-24.3597,574fad4e-9c14-43f2-8bfc-2df3b032efd7,NA,NA,NA,NA,7.218895,1000230989,"Prince, Owen",NA,NA,78.44434,Left,-32.959242,NA,NA,NA,4.35673,4.35673,0.036899,-7.309084,0.77808,2.31579,-1.00307,NA,NA,NA,NA,NA,1,3,VIR_KEY,1,Top,0,1,1,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,WOF_TER,VIR_KEY,WoffordCollege,D1,SOCON,20250516-WoffordCollege-2,763b0ef0-3280-11f0-ae21-41ab83baf01c,87.07197,2.31579,NA,9.77105,NA,NA,NA,71bb439e-48ab-4a43-b346-ab8fe6850fcc,2025-05-16,18:06:16,2025-05-16T18:06:16Z,2025-05-16T18:06:16Z,GroundBall,v3,471512,471480,16 May 2025 14:00-vmi@wofford,"Feliz, Raul",1000102967,Right,WOF_TER,55.87729,-133.15672,17.01978,5.59107,-2.13926,-12.17985,-2.23391,7.00569,-9.62264,NA,0.77656,96.02572,NA,NA,NA,NA,NA,NA,NA,2.31678,-62.76024,NA,NA,NA,NA,NA,NA,NA,-1.00327,12.16305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
4,2025-05-16,14:06:54,"Little, Branton",703441,Right,WOF_TER,Undefined,Cutter,NA,NA,87.2894,-1.229747,-2.687916,2437.646436,248.67792,02:15:00,5.67267,2.01298,5.11587,-33.21726,4.57299,8.66634,1.74461,0.20112,80.08205,-7.271974,-1.154907,0.442447,-5.09512,2.93729,-1.76698,50,5.53081,5.55798,-126.56112,-3.99023,-8.2678,25.71959,-27.40774,d97eea0e-510e-450f-9a45-11957c9ca967,NA,NA,NA,NA,-27.458086,10055071,"Garner, Bradley",2440.335609,NA,103.17576,Right,24.848114,95.38426,44.62986,-54.78869,367.50676,326.7355,4.121608,-36.059132,2.10029,2.00023,-0.23846,NA,NA,NA,NA,NA,2,1,VIR_KEY,1,Top,1,0,0,Slider,InPlay,Undefined,FlyBall,HomeRun,0,1,NA,WOF_TER,VIR_KEY,WoffordCollege,D1,SOCON,20250516-WoffordCollege-2,8c914a20-3280-11f0-ae21-41ab83baf01c,85.19087,60.75965,NA,7.20735,NA,NA,NA,71bb439e-48ab-4a43-b346-ab8fe6850fcc,2025-05-16,18:06:54,2025-05-16T18:06:54Z,2025-05-16T18:06:54Z,FlyBall,v3,471512,471480,16 May 2025 14:00-vmi@wofford,"Feliz, Raul",1000102967,Right,WOF_TER,55.38667,-127.6511,12.85979,5.6753,-2.82871,-13.70387,-2.00995,5.90836,-4.1339,NA,2.09989,121.85839,-25.31343,6.4943,-1.67758,0.43884,-0.09521,0.01266,-7.1e-4,2.0006,63.57838,-19.12264,1.12793,0.02425,-0.08185,0.02531,-0.00302,1.1e-4,-0.23781,-63.33238,3.29324,0.00164,-0.07915,0.00791,0.00312,-9.4e-4,7e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
5,2025-05-16,14:07:44,"Little, Branton",703441,Right,WOF_TER,Undefined,Fastball,NA,NA,89.92559,-1.587972,-2.287685,2114.813949,252.809945,02:30:00,5.59528,2.19295,5.06493,-28.26765,7.7765,21.05403,1.74068,1.78911,81.53984,-6.77111,1.43544,0.432104,-11.07327,4.73177,-1.99269,50,5.42226,4.18977,-130.22496,-4.7156,-18.8246,29.90775,-24.13004,a94cdc81-385c-4104-ab1f-f5f0416f4263,NA,NA,NA,NA,NA,1000230988,"Fitzwater, Grayson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,VIR_KEY,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,VIR_KEY,WoffordCollege,D1,SOCON,20250516-WoffordCollege-2,aaa777f0-3280-11f0-ae21-41ab83baf01c,87.22992,NA,NA,8.38575,NA,NA,NA,71bb439e-48ab-4a43-b346-ab8fe6850fcc,2025-05-16,18:07:44,2025-05-16T18:07:44Z,2025-05-16T18:07:44Z,NA,v3,471512,471480,16 May 2025 14:00-vmi@wofford,"Feliz, Raul",1000102967,Right,WOF_TER,55.43491,-131.46723,14.95388,5.59731,-3.71332,-12.06502,-2.18295,4.97168,-9.4123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-16,14:07:56,"Little, Branton",703441,Right,WOF_TER,Undefined,ChangeUp,NA,NA,85.45309,-0.111397,-1.957551,1880.441313,263.950706,02:45:00,5.38065,2.24649,5.28359,-36.11809,3.05193,17.08591,2.26613,1.83118,78.24576,-6.708338,1.076568,0.450452,-9.05886,1.95697,-2.08072,50,5.34415,3.48512,-124.00462,-1.58703,-14.09714,24.9337,-29.12866,cafc6bbf-977b-4058-849a-ac26dbb1d50b,NA,NA,NA,NA,NA,1000230988,"Fitzwater, Grayson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,VIR_KEY,1,Top,1,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,VIR_KEY,WoffordCollege,D1,SOCON,20250516-WoffordCollege-2,b1af3e20-3280-11f0-ae21-41ab83baf01c,83.67699,NA,NA,7.20733,NA,NA,NA,71bb439e-48ab-4a43-b346-ab8fe6850fcc,2025-05-16,18:07:56,2025-05-16T18:07:56Z,2025-05-16T18:07:56Z,NA,v3,471512,471480,16 May 2025 14:00-vmi@wofford,"Feliz, Raul",1000102967,Right,WOF_TER,55.218,-125.04941,12.46685,5.38508,-0.36647,-14.56433,-2.2391200000000002,4.07583,-7.04857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-16,14:08:09,"Little, Branton",703441,Right,WOF_TER,Undefined,Fastball,NA,NA,91.18578,-2.457328,-3.315761,2132.60564,228.855073,01:45:00,5.5582,2.17511,4.94995,-20.55166,14.33635,15.12887,1.51816,0.29907,83.47028,-6.246313,-0.651714,0.425118,-8.37469,8.08638,-1.86619,50,5.30276,6.91941,-132.00795,-6.44985,-14.81679,27.40615,-17.86738,baee8480-16b0-42d7-a086-a685391d602c,NA,NA,NA,NA,NA,1000230988,"Fitzwater, Grayson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,VIR_KEY,1,Top,1,2,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,VIR_KEY,WoffordCollege,D1,SOCON,20250516-WoffordCollege-2,b921ad00-3280-11f0-ae21-41ab83baf01c,88.66351,NA,NA,7.71549,NA,NA,NA,71bb439e-48ab-4a43-b346-ab8fe6850fcc,2025-05-16,18:08:09,2025-05-16T18:08:09Z,2025-05-16T18:08:09Z,NA,v3,471512,471480,16 May 2025 14:00-vmi@wofford,"Feliz, Raul",1000102967,Right,WOF_TER,55.55129,-133.15546,13.70307,5.55716,-5.70173,-8.93369,-2.1689,7.5398,-7.4084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-16,14:08:24,"Little, Branton",703441,Right,WOF_TER,Undefined,Fastball,NA,NA,90.9927,-0.417288,-2.5304,2134.100699,229.557129,01:45:00,5.56817,2.09627,4.92518,-20.61029,14.39745,15.58406,3.45575,1.00115,83.0344,-4.23345,0.214081,0.425847,-8.35524,7.54867,-1.86306,50,5.51084,5.06851,-131.90102,-1.73603,-14.74044,27.6825,-18.85656,3c1dd77a-b6f2-49cf-b853-699213e132e2,NA,NA,NA,NA,NA,1000230988,"Fitzwater, Grayson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,VIR_KEY,1,Top,1,3,0,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,WOF_TER,VIR_KEY,WoffordCollege,D1,SOCON,20250516-WoffordCollege-2,c258fd60-3280-11f0-ae21-41ab83baf01c,88.51173,NA,NA,7.9583,NA,NA,NA,71bb439e-48ab-4a43-b346-ab8fe6850fcc,2025-05-16,18:08:24,2025-05-16T18:08:24Z,2025-05-16T18:08:24Z,NA,v3,471512,471480,16 May 2025 14:00-vmi@wofford,"Feliz, Raul",1000102967,Right,WOF_TER,55.5752,-133.06596,13.84125,5.5672,-0.9425,-9.42828,-2.08941,5.68882,-7.37022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-16,14:09:00,"Little, Branton",703441,Right,WOF_TER,Undefined,Fastball,NA,NA,89.89086,-1.529006,-3.750454,2124.101208,245.846364,02:15:00,5.39877,2.21331,4.99044,-26.40801,9.46193,18.52922,1.75089,0.21095,82.21829,-6.360193,-0.485855,0.431059,-10.20934,5.4454,-1.86748,50,5.22992,7.65734,-130.16034,-4.5103,-17.53742,26.98287,-22.82008,fafb415f-beda-4b42-98af-66d7bc38816a,NA,NA,NA,NA,NA,10119138,"Torres, Boston",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,VIR_KEY,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,VIR_KEY,WoffordCollege,D1,SOCON,20250516-WoffordCollege-2,d7c5ea00-3280-11f0-ae21-41ab83baf01c,87.44149,NA,NA,7.67257,NA,NA,NA,71bb439e-48ab-4a43-b346-ab8fe6850fcc,2025-05-16,18:09:00,2025-05-16T18:09:00Z,2025-05-16T18:09:00Z,NA,v3,471512,471480,16 May 2025 14:00-vmi@wofford,"Feliz, Raul",1000102967,Right,WOF_TER,55.51158,-131.29795,13.49144,5.3998,-3.5482,-11.41004,-2.20591,8.39672,-8.76871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-16,14:09:19,"Little, Branton",703441,Right,WOF_TER,Undefined,ChangeUp,NA,NA,84.41383,-1.055334,-4.919404,1852.464134,248.121368,02:15:00,5.3843,2.31852,5.39451,-32.23163,7.81859,16.34985,1.70551,-0.94085,77.49673,-6.960727,-2.024397,0.455485,-9.56414,4.57677,-1.89037,50,5.26705,9.83136,-122.17947,-3.39041,-14.5142,23.18301,-25.22849,b1e16baf-ed00-4624-b448-7f6bc6776da4,NA,NA,NA,NA,NA,10119138,"Torres, Boston",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,VIR_KEY,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,VIR_KEY,WoffordCollege,D1,SOCON,20250516-WoffordCollege-2,e345f1e0-3280-11f0-ae21-41ab83baf01c,82.75237,NA,NA,6.91709,NA,NA,NA,71bb439e-48ab-4a43-b346-ab8fe6850fcc,2025-05-16,18:09:19,2025-05-16T18:09:19Z,2025-05-16T18:09:19Z,NA,v3,471512,471480,16 May 2025 14:00-vmi@wofford,"Feliz, Raul",1000102967,Right,WOF_TER,55.10822,-123.14492,11.5915,5.38637,-2.33978,-12.61425,-2.31238,10.4358,-7.2571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
