PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,13:02:47,"Kostic, AJ",1000122276,Right,CEN_MIC,Undefined,Fastball,NA,NA,87.47132,-1.296501,-3.250758,2122.627729,237.379664,02:00:00,5.83604,1.71099,6.17667,-23.31147,14.2528,19.70914,2.69392,0.34799,77.10129,-5.775282,0.301236,0.441122,-11.06367,8.28827,-1.47229,50,5.72628,6.27785,-126.3547,-3.52643,-17.23374,34.48663,-19.26349,5aa85f09-eeea-4979-a072-a52c940d8381,NA,NA,NA,NA,-173.928516,10005767,"Richter, Alex",1016.180983,NA,72.58721,Left,4.490112,NA,NA,NA,65.25781,60.64556,0.674274,-172.944136,1.21336,2.74624,-0.37008,NA,NA,NA,NA,NA,1,1,BAL_CAR,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CEN_MIC,BAL_CAR,KeilitzField,D1,MAC,20250426-KeilitzField-1,47a44ae0-22c0-11f0-9531-f9229481522b,85.44672,3.65482,NA,10.37002,NA,NA,NA,721c8cd1-46a7-4428-b48f-c3b447c72cae,2025-04-26,17:02:47,2025-04-26T17:02:47Z,2025-04-26T17:02:47Z,GroundBall,v3,471268,471238,26 April 2025 13:00-ballst@cmichigan,"Wright, Aydin",1000243631,Right,CEN_MIC,54.3115,-127.52603,17.24332,5.83494,-2.87216,-9.63175,-1.69546,6.86319,-8.61687,330.018074,1.21336,-105.53898,12.20984,-1.37239,0.29645,-0.05195,0.01035,-0.00327,7.7e-4,2.74624,8.33452,-19.41688,1.66485,-0.27298,0.06273,-0.01049,0.0018600000000000001,-3e-4,-0.37008,-11.22574,-0.06501,-0.16143,0.01371,-0.00442,5.5e-4,7e-5,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
2,2025-04-26,13:03:16,"Kostic, AJ",1000122276,Right,CEN_MIC,Undefined,Fastball,NA,NA,87.42943,-1.345214,-2.872168,2256.339678,237.414266,02:00:00,5.93049,1.55084,5.86553,-20.67989,17.0867,24.27576,2.9557,0.90343,77.53727,-5.31649,1.479222,0.442308,-13.43709,9.65544,-1.33204,50,5.80971,5.30259,-126.47615,-3.56999,-21.06598,33.51052,-17.036740000000002,bb292feb-2dbd-43a7-83ce-f81dd506ec5d,NA,NA,NA,NA,58.354302,10005767,"Richter, Alex",NA,NA,88.12641,Left,78.997601,NA,NA,NA,NA,15.81695,NA,NA,3.10464,2.60422,-2.25926,NA,NA,NA,NA,NA,1,2,BAL_CAR,1,Top,0,0,1,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,CEN_MIC,BAL_CAR,KeilitzField,D1,MAC,20250426-KeilitzField-1,58d589a0-22c0-11f0-9531-f9229481522b,85.21754,76.01199,NA,9.89216,NA,NA,NA,721c8cd1-46a7-4428-b48f-c3b447c72cae,2025-04-26,17:03:16,2025-04-26T17:03:16Z,2025-04-26T17:03:16Z,NA,v3,471268,471238,26 April 2025 13:00-ballst@cmichigan,"Wright, Aydin",1000243631,Right,CEN_MIC,54.63163,-127.69742,16.75526,5.92851,-2.94909,-8.5183700000000009,-1.53928,6.07033,-10.53299,NA,3.10464,12.9423,7.00227,-3.96709,1.43877,-0.46029,0.13706,-0.03474,0.00533,2.60422,126.87611,-38.38815,5.98964,-0.98675,0.08946,0.01564,-0.01077,0.00221,-2.25926,20.99985,-19.07231,7.90914,-2.51656,0.73923,-0.20675,0.04999,-0.0074400000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
3,2025-04-26,13:03:58,"Kostic, AJ",1000122276,Right,CEN_MIC,Undefined,Fastball,NA,NA,88.64493,-2.268213,-3.790322,2270.838466,233.686299,01:45:00,5.95185,1.62719,5.95185,-19.3145,17.3943,21.5682,2.23291,-0.09599,78.61509,-5.989372,0.077194,0.43607,-12.35686,10.1567,-1.33697,50,5.76043,7.53986,-128.04878,-5.62478,-19.8758,34.12712,-15.83718,af536fa5-3368-4b5b-b5a3-19f195d41441,NA,NA,NA,NA,NA,10012471,"Grego, Dylan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BAL_CAR,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CEN_MIC,BAL_CAR,KeilitzField,D1,MAC,20250426-KeilitzField-1,72218530-22c0-11f0-9531-f9229481522b,86.43664,NA,NA,10.02985,NA,NA,NA,721c8cd1-46a7-4428-b48f-c3b447c72cae,2025-04-26,17:03:58,2025-04-26T17:03:58Z,2025-04-26T17:03:58Z,NA,v3,471268,471238,26 April 2025 13:00-ballst@cmichigan,"Wright, Aydin",1000243631,Right,CEN_MIC,54.54391,-129.25413,17.06356,5.94921,-5.06542,-7.91859,-1.61567,8.24187,-9.9379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-26,13:04:13,"Kostic, AJ",1000122276,Right,CEN_MIC,Undefined,Fastball,NA,NA,88.09427,-2.597973,-2.073849,2184.529392,222.683072,01:30:00,6.27929,1.44761,6.10027,-17.69009,19.29517,16.34233,2.3991,0.89058,78.02126,-6.039338,0.870114,0.437709,-9.12146,11.33071,-1.29597,50,6.06997,3.91139,-127.3842,-6.23212,-14.47345,34.52418,-14.19507,5cc5bf93-d34a-4bbf-92fc-70929fbd0fee,NA,NA,NA,NA,NA,10012471,"Grego, Dylan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,BAL_CAR,1,Top,1,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CEN_MIC,BAL_CAR,KeilitzField,D1,MAC,20250426-KeilitzField-1,7ac12970-22c0-11f0-9531-f9229481522b,86.11294,NA,NA,10.07301,NA,NA,NA,721c8cd1-46a7-4428-b48f-c3b447c72cae,2025-04-26,17:04:13,2025-04-26T17:04:13Z,2025-04-26T17:04:13Z,NA,v3,471268,471238,26 April 2025 13:00-ballst@cmichigan,"Wright, Aydin",1000243631,Right,CEN_MIC,54.39384,-128.56953,17.26209,6.27557,-5.74476,-7.09754,-1.4388,4.40831,-7.23673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-26,13:04:34,"Kostic, AJ",1000122276,Right,CEN_MIC,Undefined,Fastball,NA,NA,90.34353,-2.384081,-1.908173,2315.099203,236.826652,02:00:00,5.96567,1.57216,5.89979,-20.51596,14.73418,20.33773,2.04018,1.49482,80.43955,-6.293194,1.743757,0.427319,-11.06871,8.80981,-1.43016,50,5.76227,3.45832,-130.72702,-6.07382,-18.57959,35.26064,-17.38616,66347f1a-fd50-4359-bd13-42b282e86c39,NA,NA,NA,NA,-156.922949,10012471,"Grego, Dylan",1469.644049,NA,71.55938,Left,19.014301,NA,NA,NA,128.74771,61.68379,1.593174,-155.101335,1.65199,1.83879,-1.35727,NA,NA,NA,NA,NA,2,3,BAL_CAR,1,Top,1,0,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CEN_MIC,BAL_CAR,KeilitzField,D1,MAC,20250426-KeilitzField-1,87bd22f0-22c0-11f0-9531-f9229481522b,88.20687,13.93281,NA,9.90397,NA,NA,NA,721c8cd1-46a7-4428-b48f-c3b447c72cae,2025-04-26,17:04:34,2025-04-26T17:04:34Z,2025-04-26T17:04:34Z,LineDrive,v3,471268,471238,26 April 2025 13:00-ballst@cmichigan,"Wright, Aydin",1000243631,Right,CEN_MIC,54.59705,-131.96114,17.63032,5.9642,-5.46531,-8.69308,-1.56258,4.10861,-9.28979,355.070817,1.65199,-91.28674,11.29858,-0.57036,0.09675,0.00642,-0.00403,2.8e-4,1e-5,1.83879,34.19431,-26.24754,3.30227,-0.65848,0.14878,-0.02518,0.00353,-3.2e-4,-1.35727,-38.89389,4.30277,-0.59604,0.12147,-0.02121,0.00327,-5.6e-4,6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
6,2025-04-26,13:05:03,"Kostic, AJ",1000122276,Right,CEN_MIC,Undefined,Fastball,NA,NA,90.0336,-2.273094,-2.983837,2404.502664,218.666137,01:15:00,6.08465,1.2416,5.95895,-13.90721,21.51922,16.05686,2.81382,-0.18986,80.00621,-5.015183,-0.102897,0.428386,-9.33548,12.27213,-1.01354,50,5.89642,6.09554,-130.21174,-5.50951,-15.56031,34.77051,-11.71889,2c310038-b452-49eb-a864-cd08ca630c13,NA,NA,NA,NA,-115.483479,10012471,"Grego, Dylan",4969.088962,NA,79.08389,Left,77.994958,NA,NA,NA,NA,20.76766,NA,NA,2.97744,2.72031,0.22443,NA,NA,NA,NA,NA,2,4,BAL_CAR,1,Top,1,0,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CEN_MIC,BAL_CAR,KeilitzField,D1,MAC,20250426-KeilitzField-1,9895e170-22c0-11f0-9531-f9229481522b,87.98711,51.70708,NA,10.02738,NA,NA,NA,721c8cd1-46a7-4428-b48f-c3b447c72cae,2025-04-26,17:05:03,2025-04-26T17:05:03Z,2025-04-26T17:05:03Z,NA,v3,471268,471238,26 April 2025 13:00-ballst@cmichigan,"Wright, Aydin",1000243631,Right,CEN_MIC,54.53841,-131.41805,17.38525,6.08051,-5.10295,-5.85945,-1.23438,6.63538,-7.78015,347.383393,2.97744,-10.38004,-4.16659,3.0343,-1.35027,0.53105,-0.19407,0.0602,-0.01123,2.72031,113.45275,-59.25018,12.46914,-2.65074,0.42291,-0.01595,-0.02039,0.00599,0.22443,-21.77837,-28.5961,15.51194,-6.24581,2.31575,-0.81381,0.24639,-0.04545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
7,2025-04-26,13:05:31,"Kostic, AJ",1000122276,Right,CEN_MIC,Undefined,ChangeUp,NA,NA,79.17692,4.096704,-0.158312,1785.917072,264.054325,02:45:00,5.71761,1.62583,5.92719,-42.18924,4.06599,20.68871,6.00965,3.20299,69.78068,-3.820567,3.550377,0.489499,-10.28339,1.23098,-1.62282,50,6.02358,-0.5551,-114.29699,6.85466,-13.13017,27.88665,-30.6023,42fc4c4a-ec6f-415f-8147-0717b56e79d6,NA,NA,NA,NA,NA,10012471,"Grego, Dylan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,BAL_CAR,1,Top,1,0,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CEN_MIC,BAL_CAR,KeilitzField,D1,MAC,20250426-KeilitzField-1,a9824f00-22c0-11f0-9531-f9229481522b,77.00207,NA,NA,9.39624,NA,NA,NA,721c8cd1-46a7-4428-b48f-c3b447c72cae,2025-04-26,17:05:31,2025-04-26T17:05:31Z,2025-04-26T17:05:31Z,NA,v3,471268,471238,26 April 2025 13:00-ballst@cmichigan,"Wright, Aydin",1000243631,Right,CEN_MIC,54.56331,-115.40499,13.94333,5.72707,8.07056,-15.30115,-1.61113,-0.03341,-6.56509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-26,13:05:52,"Kostic, AJ",1000122276,Right,CEN_MIC,Undefined,ChangeUp,NA,NA,78.12644,-0.165877,-3.606235,1978.616045,253.949189,02:30:00,5.69992,1.86292,6.1589,-39.18809,8.01544,20.654419999999998,2.2807,0.2481,68.98547,-7.560702,0.115438,0.494491,-11.97426,4.81847,-1.59849,50,5.66811,6.32803,-112.90726,-1.45194,-14.83404,28.26606,-26.20482,769ddd97-b013-4b8a-becc-f79b3692537e,NA,NA,NA,NA,NA,10012471,"Grego, Dylan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,BAL_CAR,1,Top,1,1,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,CEN_MIC,BAL_CAR,KeilitzField,D1,MAC,20250426-KeilitzField-1,b6012940-22c0-11f0-9531-f9229481522b,76.22469,NA,NA,9.14096,NA,NA,NA,721c8cd1-46a7-4428-b48f-c3b447c72cae,2025-04-26,17:05:52,2025-04-26T17:05:52Z,2025-04-26T17:05:52Z,NA,v3,471268,471238,26 April 2025 13:00-ballst@cmichigan,"Wright, Aydin",1000243631,Right,CEN_MIC,54.33528,-113.98742,14.13303,5.70446,-0.45055,-13.10241,-1.85114,6.8949,-7.41702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.73928,NA,1.954355,NA,0.089,2.10197,-0.25186,-0.97323,5.74596,-1.66741,NA,NA,NA,-0.85672,80.44253,-4.12905,5.86262,24.34094,-14.71786,-1.74535,-25.34053,2.27513,High,High,High,NA,NA,High,High,Low
9,2025-04-26,13:06:26,"Kostic, AJ",1000122276,Right,CEN_MIC,Undefined,Fastball,NA,NA,88.32179,-2.5977,-3.341618,2234.222436,234.234174,01:45:00,5.94165,1.80317,6.12019,-22.23052,14.43044,17.93615,1.68173,0.20493,78.62725,-6.839474,-0.112281,0.435786,-10.5206,8.82599,-1.5563,50,5.7309,6.7182,-127.70308,-6.45376,-16.84219,33.78549,-18.04476,385228ed-962e-4109-9bc5-55554db616e8,NA,NA,NA,NA,NA,1000271465,"Husovsky, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,BAL_CAR,1,Top,2,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CEN_MIC,BAL_CAR,KeilitzField,D1,MAC,20250426-KeilitzField-1,ca76e4a0-22c0-11f0-9531-f9229481522b,86.49301,NA,NA,9.69455,NA,NA,NA,721c8cd1-46a7-4428-b48f-c3b447c72cae,2025-04-26,17:06:26,2025-04-26T17:06:26Z,2025-04-26T17:06:26Z,NA,v3,471268,471238,26 April 2025 13:00-ballst@cmichigan,"Wright, Aydin",1000243631,Right,CEN_MIC,54.37772,-128.85606,16.89274,5.94064,-5.83796,-9.02238,-1.79537,7.29297,-8.4211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-26,13:06:47,"Kostic, AJ",1000122276,Right,CEN_MIC,Undefined,Slider,NA,NA,84.08778,-0.574539,-3.15321,2176.224797,199.219567,12:45:00,5.4856,1.9311,6.13848,-25.17131,14.5841,4.58599,2.85618,-0.6039,75.89193,-5.34355,-2.328211,0.453805,-3.38721,8.133,-1.69271,50,5.42881,6.53535,-121.86238,-1.94316,-5.01725,27.29579,-20.1272,c9e312e6-f95d-4887-9478-f4667b876461,NA,NA,NA,NA,-8.904192,1000271465,"Husovsky, Nick",NA,NA,93.69468,Right,-6.569738,NA,NA,NA,23.03259,23.03259,0.162953,-6.988949,1.45856,2.91219,0.61543,NA,NA,NA,NA,NA,3,2,BAL_CAR,1,Top,2,0,1,Cutter,InPlay,Undefined,GroundBall,Out,1,0,NA,CEN_MIC,BAL_CAR,KeilitzField,D1,MAC,20250426-KeilitzField-1,d6f808d0-22c0-11f0-9531-f9229481522b,83.05864,2.91219,NA,8.19585,NA,NA,NA,721c8cd1-46a7-4428-b48f-c3b447c72cae,2025-04-26,17:06:47,2025-04-26T17:06:47Z,2025-04-26T17:06:47Z,GroundBall,v3,471268,471238,26 April 2025 13:00-ballst@cmichigan,"Wright, Aydin",1000243631,Right,CEN_MIC,54.359610000000004,-122.835,13.64789,5.48527,-1.22597,-10.0636,-1.92876,6.71413,-2.50863,92.116807,1.4594,134.8022,-21.28348,NA,NA,NA,NA,NA,NA,2.91241,-15.7398,-13.0973,NA,NA,NA,NA,NA,NA,0.61544,-21.13103,0.9549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
