PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,18:02:34,"Farquhar, Tate",1000138503,Right,MIC_SPA,Undefined,Fastball,NA,NA,89.79494,-2.311752,-3.327159,2080.653476,239.13613,02:00:00,5.51973,1.21804,5.50977,-23.80332,11.50694,17.32367,1.36945,-0.45323,82.0737,-6.721714,-0.24321,0.427683,-9.63339,6.80378,-0.93932,50,5.30185,6.78083,-130.07895,-6.09951,-16.49401,27.46479,-20.52478,9dbc9c7f-8475-4c1e-a8f5-d23f08a2e324,NA,NA,NA,NA,NA,686574,"Fitzgerald, Josh",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MIN_GOL,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_SPA,MIN_GOL,MichiganState,D1,BIG10,20250516-MichiganState-2,7914b8d0-32a1-11f0-8588-e1c5eeb7373f,88.13176,NA,NA,7.72124,NA,NA,NA,3520504c-31f9-491a-96f8-9c003f8be457,2025-05-16,22:02:34,2025-05-16T22:02:34Z,2025-05-16T22:02:34Z,NA,v3,1551,471360,16 May 2025 18:05-minnesota@michiganst,"Bright, Noah",1000164088,Right,MIC_SPA,54.98885,-131.12807,13.7324,5.51987,-5.3155,-10.26239,-1.21037,7.41087,-8.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-16,18:02:47,"Farquhar, Tate",1000138503,Right,MIC_SPA,Undefined,Fastball,NA,NA,90.95136,-1.277334,-3.009776,2172.788814,227.974109,01:30:00,5.51618,1.23812,5.54894,-20.67824,13.76497,13.98938,2.59752,-0.41124,82.66621,-5.150685,-0.518316,0.422399,-7.89823,7.66252,-0.98673,50,5.39203,6.28798,-131.79995,-3.64678,-13.83016,29.19849,-18.75666,34195c31-c178-458d-95ab-2d07c223cec3,NA,NA,NA,NA,NA,686574,"Fitzgerald, Josh",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MIN_GOL,1,Top,0,0,1,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,MIC_SPA,MIN_GOL,MichiganState,D1,BIG10,20250516-MichiganState-2,813c9500-32a1-11f0-8588-e1c5eeb7373f,89.2341,NA,NA,8.28515,NA,NA,NA,3520504c-31f9-491a-96f8-9c003f8be457,2025-05-16,22:02:47,2025-05-16T22:02:47Z,2025-05-16T22:02:47Z,NA,v3,1551,471360,16 May 2025 18:05-minnesota@michiganst,"Bright, Noah",1000164088,Right,MIC_SPA,54.94827,-132.89165,14.59925,5.51527,-2.9455,-9.37833,-1.2315,6.80507,-6.91508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-16,18:03:06,"Farquhar, Tate",1000138503,Right,MIC_SPA,Undefined,Fastball,NA,NA,91.47,-0.920608,-3.459781,2173.516805,199.537,12:45:00,5.5611,0.98289,5.80207,-14.8154,18.84273,6.2978,3.46863,-1.71399,83.27632,-3.757183,-2.334829,0.417558,-4.17544,10.18028,-0.70216,50,5.47653,7.73555,-132.58446,-2.55753,-7.41953,28.80326,-14.0842,a06ecfb9-6950-42bb-a455-b8008e5a9b4b,NA,NA,NA,NA,NA,686574,"Fitzgerald, Josh",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MIN_GOL,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_SPA,MIN_GOL,MichiganState,D1,BIG10,20250516-MichiganState-2,8c01d860-32a1-11f0-8588-e1c5eeb7373f,90.26884,NA,NA,8.19368,NA,NA,NA,3520504c-31f9-491a-96f8-9c003f8be457,2025-05-16,22:03:06,2025-05-16T22:03:06Z,2025-05-16T22:03:06Z,NA,v3,1551,471360,16 May 2025 18:05-minnesota@michiganst,"Bright, Noah",1000164088,Right,MIC_SPA,54.69505,-133.60054,14.40163,5.55799,-2.06069,-7.0421,-0.97966,7.99729,-3.70977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-16,18:03:20,"Farquhar, Tate",1000138503,Right,MIC_SPA,Undefined,ChangeUp,NA,NA,81.46724,-1.881345,-3.968607,1774.894627,233.053825,01:45:00,5.47106,1.11146,5.1254,-31.05828,12.10871,14.37922,1.106,-1.43415,75.26552,-7.545943,-1.429811,0.472876,-8.18185,6.89705,-0.74987,50,5.26991,7.58954,-118.01672,-4.96251,-11.64582,20.51808,-22.357,f6e43bce-ba08-48b4-93b2-5b363b82974a,NA,NA,NA,NA,NA,686574,"Fitzgerald, Josh",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,MIN_GOL,1,Top,0,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_SPA,MIN_GOL,MichiganState,D1,BIG10,20250516-MichiganState-2,94e8e5e0-32a1-11f0-8588-e1c5eeb7373f,79.70894,NA,NA,6.20172,NA,NA,NA,3520504c-31f9-491a-96f8-9c003f8be457,2025-05-16,22:03:20,2025-05-16T22:03:20Z,2025-05-16T22:03:20Z,NA,v3,1551,471360,16 May 2025 18:05-minnesota@michiganst,"Bright, Noah",1000164088,Right,MIC_SPA,55.37467,-118.94747,10.25904,5.47202,-3.94834,-11.1785,-1.10613,8.11783,-5.82291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-16,18:03:39,"Farquhar, Tate",1000138503,Right,MIC_SPA,Undefined,ChangeUp,NA,NA,81.60916,-0.626597,-3.12671,1710.195939,234.241932,01:45:00,5.51258,1.12921,5.52287,-30.2336,12.36737,15.27969,2.40639,-0.52363,74.68821,-6.223197,-0.406441,0.469766,-8.64626,6.81926,-0.86774,50,5.43788,5.85955,-118.36124,-2.27345,-12.26409,22.61625,-22.50143,e2f90057-fac7-4c99-a119-0962c59e991b,NA,NA,NA,NA,-27.417187,686574,"Fitzgerald, Josh",NA,NA,90.30205,Right,-5.320682,NA,NA,NA,21.81797,21.81797,0.154409,-23.741908,2.42718,2.44713,0.59183,NA,NA,NA,NA,NA,1,5,MIN_GOL,1,Top,0,2,2,Changeup,InPlay,Undefined,GroundBall,Single,0,0,NA,MIC_SPA,MIN_GOL,MichiganState,D1,BIG10,20250516-MichiganState-2,9fdefd40-32a1-11f0-8588-e1c5eeb7373f,80.2367,2.44713,NA,6.92096,NA,NA,NA,3520504c-31f9-491a-96f8-9c003f8be457,2025-05-16,22:03:39,2025-05-16T22:03:39Z,2025-05-16T22:03:39Z,GroundBall,v3,1551,471360,16 May 2025 18:05-minnesota@michiganst,"Bright, Noah",1000164088,Right,MIC_SPA,54.97714,-119.30847,11.30813,5.51336,-1.33103,-11.25072,-1.1239,6.3732,-6.13204,50.265091,2.42768,117.01742,-22.03048,NA,NA,NA,NA,NA,NA,2.44775,-12.33447,-22.81218,NA,NA,NA,NA,NA,NA,0.59208,-60.74445,0.1207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-05-16,18:04:19,"Farquhar, Tate",1000138503,Right,MIC_SPA,Undefined,Fastball,NA,NA,90.39325,-1.607649,-2.775377,2124.140774,210.658718,01:00:00,5.57118,1.14825,5.44314,-16.98217,18.04895,9.99497,2.64857,-0.6195,82.085,-4.821829,-0.999112,0.425989,-5.8076,9.88296,-0.90974,50,5.41752,5.8865,-130.9517,-4.21681,-10.03511,28.91996,-15.09697,e18b295e-556e-489b-9fb7-8aca0d6ecbdd,NA,NA,NA,NA,NA,804994,"Berkland, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MIN_GOL,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_SPA,MIN_GOL,MichiganState,D1,BIG10,20250516-MichiganState-2,b7822ad0-32a1-11f0-8588-e1c5eeb7373f,88.48215,NA,NA,8.30826,NA,NA,NA,3520504c-31f9-491a-96f8-9c003f8be457,2025-05-16,22:04:19,2025-05-16T22:04:19Z,2025-05-16T22:04:19Z,NA,v3,1551,471360,16 May 2025 18:05-minnesota@michiganst,"Bright, Noah",1000164088,Right,MIC_SPA,55.05331,-132.06298,14.45998,5.56841,-3.63669,-7.54849,-1.14335,6.27211,-5.01755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-16,18:04:37,"Farquhar, Tate",1000138503,Right,MIC_SPA,Undefined,Slider,NA,NA,78.69005,2.892803,-1.165931,2187.273291,54.662115,07:45:00,5.39971,1.22338,5.04702,-49.74979,-3.40839,-6.693,3.98537,-0.43427,72.46334,-6.108345,-2.347386,0.489955,3.00449,-1.98284,-1.10672,50,5.63584,2.60137,-114.1507,3.9648,3.99331,19.57342,-34.80948,b8475c4b-b56f-4764-b1a2-4bd3cc8fc9e1,NA,NA,NA,NA,NA,804994,"Berkland, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,MIN_GOL,1,Top,0,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_SPA,MIN_GOL,MichiganState,D1,BIG10,20250516-MichiganState-2,c27b9d90-32a1-11f0-8588-e1c5eeb7373f,76.93043,NA,NA,6.22671,NA,NA,NA,3520504c-31f9-491a-96f8-9c003f8be457,2025-05-16,22:04:37,2025-05-16T22:04:37Z,2025-05-16T22:04:37Z,NA,v3,1551,471360,16 May 2025 18:05-minnesota@michiganst,"Bright, Noah",1000164088,Right,MIC_SPA,55.45356,-115.08202,9.78671,5.40779,5.62107,-17.40474,-1.22598,2.41136,1.99665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-16,18:05:10,"Farquhar, Tate",1000138503,Right,MIC_SPA,Undefined,ChangeUp,NA,NA,81.20138,-2.030123,-2.916186,1815.024514,260.864742,02:45:00,5.57186,1.20859,5.32038,-38.86254,4.54736,19.63985,0.42486,0.10615,74.70405,-9.097469,0.575645,0.474205,-10.73083,3.23713,-0.95934,50,5.35959,5.20305,-117.71733,-5.52801,-15.0448,22.52185,-27.63554,685dbc11-87f8-4843-80ac-86f7d5ab3764,NA,NA,NA,NA,NA,804994,"Berkland, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,MIN_GOL,1,Top,0,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_SPA,MIN_GOL,MichiganState,D1,BIG10,20250516-MichiganState-2,d6083170-32a1-11f0-8588-e1c5eeb7373f,79.48556,NA,NA,6.49732,NA,NA,NA,3520504c-31f9-491a-96f8-9c003f8be457,2025-05-16,22:05:10,2025-05-16T22:05:10Z,2025-05-16T22:05:10Z,NA,v3,1551,471360,16 May 2025 18:05-minnesota@michiganst,"Bright, Noah",1000164088,Right,MIC_SPA,55.18078,-118.70438,11.26093,5.57532,-4.31684,-13.81777,-1.20182,5.86241,-7.5224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.05456,NA,NA,0.855493,NA,NA,NA,-1.96193,5.5216,1.96793,64.20836,7.9471,60.58682,-1.9059,87.17254,-11.66522,5.52782,13.23982,-12.18394,1.97738,71.73087,-3.78397,High,High,High,NA,NA,High,High,High
9,2025-05-16,18:05:30,"Farquhar, Tate",1000138503,Right,MIC_SPA,Undefined,ChangeUp,NA,NA,81.27396,-1.635451,-1.434759,1668.248864,238.156472,02:00:00,5.60092,1.17901,5.1035,-33.13864,10.32209,14.44926,1.29746,1.03093,74.8414,-7.677644,1.123834,0.474482,-7.59052,5.98107,-1.05553,50,5.42088,2.34888,-117.92103,-4.52828,-10.72275,21.73898,-23.72485,9540be7d-fef4-4027-9873-0aca588e03a9,NA,NA,NA,NA,NA,804994,"Berkland, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,MIN_GOL,1,Top,0,2,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_SPA,MIN_GOL,MichiganState,D1,BIG10,20250516-MichiganState-2,e24c9ac0-32a1-11f0-8588-e1c5eeb7373f,79.43911,NA,NA,6.43256,NA,NA,NA,3520504c-31f9-491a-96f8-9c003f8be457,2025-05-16,22:05:30,2025-05-16T22:05:30Z,2025-05-16T22:05:30Z,NA,v3,1551,471360,16 May 2025 18:05-minnesota@michiganst,"Bright, Noah",1000164088,Right,MIC_SPA,55.3959,-118.91161,10.86949,5.60259,-3.44721,-11.86242,-1.1737,2.83748,-5.36137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.01393,2.077768,0.782285,1.295483,-0.13367,1.08578,-1.06235,-0.99534,5.93327,0.37802,127.27903,1.93934,1.46262,-0.83332,112.07739,-10.30559,5.93461,10.85487,-10.76508,0.32393,-2.43365,2.59843,High,High,High,NA,NA,High,Medium,Medium
10,2025-05-16,18:06:45,"Farquhar, Tate",1000138503,Right,MIC_SPA,Undefined,Fastball,NA,NA,90.42982,-1.691297,-2.06452,2080.201886,219.081024,01:15:00,5.49252,1.18994,5.50896,-17.96178,16.84922,12.74579,2.41257,0.32058,82.33573,-5.076746,0.205761,0.424648,-7.0591,9.34563,-1.01875,50,5.33313,4.16066,-131.14915,-4.46049,-12.24809,28.71999,-15.95866,338464ac-d0fc-475b-950a-6143498757b2,NA,NA,NA,NA,46.499818,804994,"Berkland, Drew",4279.805513,NA,75.41907,Right,59.552331,63.18169,109.98103,90.04485,160.80886,132.04241,5.434844,56.474212,1.23742,3.49252,-1.44855,NA,NA,NA,NA,NA,2,5,MIN_GOL,1,Top,0,3,1,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,MIC_SPA,MIN_GOL,MichiganState,D1,BIG10,20250516-MichiganState-2,0e8fc800-32a2-11f0-8588-e1c5eeb7373f,88.7615,118.34441,NA,8.09408,NA,NA,NA,3520504c-31f9-491a-96f8-9c003f8be457,2025-05-16,22:06:45,2025-05-16T22:06:45Z,2025-05-16T22:06:45Z,Popup,v3,1551,471360,16 May 2025 18:05-minnesota@michiganst,"Bright, Noah",1000164088,Right,MIC_SPA,54.99002,-132.23739,14.36,5.49069,-3.8558,-7.97933,-1.18519,4.62476,-6.12405,NA,1.24268,38.4732,-13.53444,3.66527,-0.35559,-0.12178,0.05058,-0.00718,3.7e-4,3.48452,95.49459,-23.98576,2.59068,-0.55925,0.0854,-0.00119,-0.00171,1.6e-4,-1.44274,40.54828,-7.76196,1.51276,0.08271,-0.14523,0.03937,-0.00471,2.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
