PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-13,13:06:14,"Murdock, Steele",10323102,Right,CSD_TRI,Undefined,Fastball,NA,NA,91.88104,-2.483172,-0.677443,2411.412561,209.115365,01:00:00,5.85808,1.48969,6.19984,-17.18473,15.6819,8.12611,2.1322,1.54148,83.73199,-5.754457,0.790186,0.412619,-4.40366,9.17678,-1.4427,50,5.66257,1.23647,-133.37863,-6.2827,-7.89277,30.04028,-15.72638,67560f56-3226-4ab6-95b3-919503174f61,NA,NA,NA,NA,NA,822617,"Gonzalez, Roberto",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CAL_MAT,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CAL_MAT,UCSanDiego,D1,BW,20250413-UCSanDiego-1,c13770d0-18a2-11f0-88e0-25486a482b55,91.3493,NA,NA,8.14905,NA,NA,NA,f7f71296-ff61-4cbc-85d2-b4ba7f5c3235,2025-04-13,20:06:14,2025-04-13T20:06:14Z,2025-04-13T20:06:14Z,NA,v3,NA,471256,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.29781,-134.34311,15.02014,5.85618,-5.77779,-7.86319,-1.48646,1.48988,-3.94638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-13,13:06:29,"Murdock, Steele",10323102,Right,CSD_TRI,Undefined,Fastball,NA,NA,92.34732,-2.363626,-1.151562,2344.677297,215.403818,01:15:00,5.91713,1.40435,6.27863,-17.49418,14.88123,9.82737,2.27898,1.16172,84.30485,-5.690542,0.625776,0.409524,-5.47768,8.7489,-1.32413,50,5.73404,2.29709,-134.12031,-6.05011,-9.94058,30.01192,-16.29703,fc71186e-87b1-4a88-9cca-c7839acdb28a,NA,NA,NA,NA,-161.502456,822617,"Gonzalez, Roberto",2637.536539,NA,76.15685,Left,27.508223,NA,NA,NA,NA,47.29991,NA,NA,2.74429,2.16958,-1.05414,NA,NA,NA,NA,NA,1,2,CAL_MAT,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CAL_MAT,UCSanDiego,D1,BW,20250413-UCSanDiego-1,ca0e2aa0-18a2-11f0-88e0-25486a482b55,92.03969,21.66095,NA,8.04247,NA,NA,NA,f7f71296-ff61-4cbc-85d2-b4ba7f5c3235,2025-04-13,20:06:29,2025-04-13T20:06:29Z,2025-04-13T20:06:29Z,NA,v3,NA,471256,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.2208,-135.06149,15.00596,5.91576,-5.53903,-8.14852,-1.40106,2.60883,-4.97029,10.146406,2.74429,-93.95047,7.44828,-0.30878,0.05959,-0.15357,0.59014,-1.0108,0.6696,2.16958,51.58993,-29.07842,3.69809,-0.70397,-0.44538,1.9513,-3.18324,2.0279,-1.05414,-31.43091,4.08447,-0.63762,0.11154,0.10662,-0.40613,0.65075,-0.41042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
3,2025-04-13,13:06:51,"Murdock, Steele",10323102,Right,CSD_TRI,Undefined,Fastball,NA,NA,92.80894,-2.686286,-1.286581,2358.33587,202.43336,12:45:00,5.88,1.51527,6.38054,-15.74965,16.41095,6.31366,2.09385,0.85762,84.16132,-5.715227,-0.142786,0.408163,-3.70768,9.73422,-1.42546,50,5.67901,2.76749,-134.67513,-6.74914,-6.73678,32.16533,-14.48723,110a2a9b-088c-4c33-9114-37014c5e35af,NA,NA,NA,NA,-78.037196,822617,"Gonzalez, Roberto",4787.178111,NA,79.44379,Left,50.371451,NA,NA,NA,NA,56.00618,NA,NA,2.69432,2.22073,-0.86111,NA,NA,NA,NA,NA,1,3,CAL_MAT,1,Top,0,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CAL_MAT,UCSanDiego,D1,BW,20250413-UCSanDiego-1,d725c270-18a2-11f0-88e0-25486a482b55,92.34659,59.20883,NA,8.64761,NA,NA,NA,f7f71296-ff61-4cbc-85d2-b4ba7f5c3235,2025-04-13,20:06:51,2025-04-13T20:06:51Z,2025-04-13T20:06:51Z,NA,v3,NA,471256,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.11761,-135.655,16.08266,5.87789,-6.3078,-7.24362,-1.51289,2.97272,-3.36839,NA,2.69432,15.4039,-10.3773,1.4173,-0.12572,-0.0363,0.02779,-0.01666,0.00488,2.22073,89.74115,-27.14414,3.41632,-0.65824,0.09955,-0.00635,-0.00606,0.00266,-0.86111,-72.70173,10.449,-4.01993,1.16717,-0.28678,0.06235,-0.00849,-3.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
4,2025-04-13,13:07:16,"Murdock, Steele",10323102,Right,CSD_TRI,Undefined,ChangeUp,NA,NA,87.55339,-2.926487,-2.292525,2022.766195,247.36435,02:15:00,5.7877,1.2557,5.78563,-27.58836,9.62056,19.82351,0.76151,0.7737,79.28082,-8.052321,1.262,0.439031,-10.94233,6.23453,-1.07915,50,5.52972,4.25559,-126.80507,-7.40519,-17.53257,29.78476,-22.18463,aef4f958-882d-40f7-b597-53f584531807,NA,NA,NA,NA,NA,822617,"Gonzalez, Roberto",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CAL_MAT,1,Top,0,1,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CAL_MAT,UCSanDiego,D1,BW,20250413-UCSanDiego-1,e626dac0-18a2-11f0-88e0-25486a482b55,85.85376,NA,NA,8.27257,NA,NA,NA,f7f71296-ff61-4cbc-85d2-b4ba7f5c3235,2025-04-13,20:07:16,2025-04-13T20:07:16Z,2025-04-13T20:07:16Z,NA,v3,NA,471256,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.71355,-127.90743,14.89238,5.7886,-6.58412,-11.09232,-1.24865,4.90449,-8.76628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-13,13:07:41,"Murdock, Steele",10323102,Right,CSD_TRI,Undefined,Fastball,NA,NA,94.44554,-2.551275,-1.039505,2323.20337,201.164249,12:45:00,5.86766,1.38388,6.25615,-15.37993,15.5893,5.6465,2.23147,0.89577,86.22869,-5.488101,-0.018877,0.400532,-3.23906,9.13674,-1.30948,50,5.67061,2.25064,-137.13949,-6.55771,-6.15174,31.09964,-14.82121,897c7dd7-d5ef-4620-94c6-a7f109282cd3,NA,NA,NA,NA,-50.624239,822617,"Gonzalez, Roberto",NA,NA,95.77631,Left,-23.119468,NA,NA,NA,6.49436,6.49436,0.039727,-48.573295,1.03575,2.19479,-0.89567,NA,NA,NA,NA,NA,1,5,CAL_MAT,1,Top,0,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CAL_MAT,UCSanDiego,D1,BW,20250413-UCSanDiego-1,f50b4350-18a2-11f0-88e0-25486a482b55,94.10605,2.19479,NA,8.21686,NA,NA,NA,f7f71296-ff61-4cbc-85d2-b4ba7f5c3235,2025-04-13,20:07:41,2025-04-13T20:07:41Z,2025-04-13T20:07:41Z,GroundBall,v3,NA,471256,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.24253,-138.09824,15.54982,5.86573,-6.10079,-7.41061,-1.38178,2.44029,-3.07587,NA,1.03489,82.09336,NA,NA,NA,NA,NA,NA,NA,2.19537,-55.24679,NA,NA,NA,NA,NA,NA,NA,-0.89462,-100.02834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
6,2025-04-13,13:08:09,"Murdock, Steele",10323102,Right,CSD_TRI,Undefined,ChangeUp,NA,NA,88.61602,-2.361516,-3.096409,1930.924216,244.618374,02:15:00,5.75637,1.53407,5.60327,-26.97624,10.05249,18.0443,1.29936,0.14439,79.15416,-7.398752,0.124032,0.437966,-10.30146,6.34622,-1.28106,50,5.5368,6.14109,-128.09419,-6.21436,-16.64094,33.29832,-21.92239,defd8f6c-0b85-4457-a218-7de6052cab90,NA,NA,NA,NA,18.815327,822617,"Gonzalez, Roberto",1374.187778,NA,92.38234,Left,10.286645,103.26427,12.26225,37.90061,207.04061,206.39479,1.882117,22.161937000000002,3.07553,1.5423,-0.14871,NA,NA,NA,NA,NA,1,6,CAL_MAT,1,Top,0,1,2,Sinker,InPlay,Undefined,GroundBall,Single,0,0,NA,CSD_TRI,CAL_MAT,UCSanDiego,D1,BW,20250413-UCSanDiego-1,05867880-18a3-11f0-88e0-25486a482b55,86.0624,12.25779,NA,9.46187,NA,NA,NA,f7f71296-ff61-4cbc-85d2-b4ba7f5c3235,2025-04-13,20:08:09,2025-04-13T20:08:09Z,2025-04-13T20:08:09Z,LineDrive,v3,NA,471256,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.89352,-129.36002,16.64916,5.7572,-5.38099,-10.96119,-1.52654,6.77369,-8.32047,226.390279,3.07553,126.19208,-19.33156,4.11088,-0.85003,0.16758,-0.03133,0.00466,-3.6e-4,1.5423,24.19542,-13.96657,0.33426,0.03404,-0.02065,0.00679,-0.00104,7e-5,-0.14871,42.99688,-0.46992,-0.33045,0.15202,-0.04426,0.00996,-0.00159,1.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-04-13,13:08:51,"Murdock, Steele",10323102,Right,CSD_TRI,Undefined,Fastball,NA,NA,93.02514,-4.080981,-1.392458,2390.25264,198.311552,12:30:00,5.84304,1.403,6.51964,-14.2091,17.8267,5.51571,0.9071,0.58477,84.15918,-6.833497,-0.390653,0.40737,-3.38016,11.04859,-1.30847,50,5.55235,3.06116,-134.8054,-9.98011,-6.12703,33.39119,-12.14682,e0eee904-64d3-43de-86b6-6cfbba95237b,NA,NA,NA,NA,NA,822681,"Panganiban, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CAL_MAT,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CAL_MAT,UCSanDiego,D1,BW,20250413-UCSanDiego-1,1e825840-18a3-11f0-88e0-25486a482b55,92.52622,NA,NA,8.86595,NA,NA,NA,f7f71296-ff61-4cbc-85d2-b4ba7f5c3235,2025-04-13,20:08:51,2025-04-13T20:08:51Z,2025-04-13T20:08:51Z,NA,v3,NA,471256,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,53.97953,-135.78755,16.69559,5.84064,-9.62283,-6.07341,-1.40116,3.24138,-3.06351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-13,13:09:13,"Murdock, Steele",10323102,Right,CSD_TRI,Undefined,Fastball,NA,NA,93.07446,-2.38205,-2.55396,2335.757161,204.609612,12:45:00,5.89905,1.44945,6.26692,-17.12355,15.13564,6.40319,2.27255,-0.3731,84.08898,-5.660444,-1.397816,0.408788,-4.13268,8.95056,-1.26332,50,5.71413,5.74576,-134.90254,-6.10903,-7.51186,33.08567,-15.90484,a08c5567-ead7-4e09-9d3d-f4ea36d11e2b,NA,NA,NA,NA,1.126551,822681,"Panganiban, Kyle",1156.184048,NA,93.97494,Right,4.193968,NA,NA,NA,95.1021,54.35241,0.75585,2.672426,0.89946,2.2445,0.36846,NA,NA,NA,NA,NA,2,2,CAL_MAT,1,Top,0,1,0,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,CSD_TRI,CAL_MAT,UCSanDiego,D1,BW,20250413-UCSanDiego-1,2bb937e0-18a3-11f0-88e0-25486a482b55,92.20537,3.65018,NA,8.98548,NA,NA,NA,f7f71296-ff61-4cbc-85d2-b4ba7f5c3235,2025-04-13,20:09:13,2025-04-13T20:09:13Z,2025-04-13T20:09:13Z,GroundBall,v3,NA,471256,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.229730000000004,-135.93595,16.54284,5.89718,-5.61225,-7.95242,-1.44645,5.98039,-3.75593,283.316976,0.95117,136.50416,-16.06246,NA,NA,NA,NA,NA,NA,2.27548,9.52441,-16.63412,NA,NA,NA,NA,NA,NA,0.35025,3.03214,3.16571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-04-13,13:11:26,"Murdock, Steele",10323102,Right,CSD_TRI,Undefined,Fastball,NA,NA,94.42605,-2.804413,-1.620751,2419.040035,209.068278,01:00:00,5.9848,1.45157,6.43895,-16.14713,14.713,7.60874,2.05905,0.59587,86.05089,-5.891034,-0.24092,0.399825,-4.45327,8.82256,-1.33968,50,5.77803,3.56249,-137.05655,-7.17329,-8.4271,31.74567,-15.47865,b855f651-e794-4583-9c31-af7185f9fe69,NA,NA,NA,NA,NA,1000365282,"Becker, Andrew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CAL_MAT,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,CAL_MAT,UCSanDiego,D1,BW,20250413-UCSanDiego-1,7ae6d750-18a3-11f0-88e0-25486a482b55,94.27225,NA,NA,8.37515,NA,NA,NA,f7f71296-ff61-4cbc-85d2-b4ba7f5c3235,2025-04-13,20:11:26,2025-04-13T20:11:26Z,2025-04-13T20:11:26Z,NA,v3,NA,471256,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.05916,-137.99355,15.87284,5.98302,-6.71642,-7.73933,-1.4485,3.81122,-4.21355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-13,13:11:46,"Murdock, Steele",10323102,Right,CSD_TRI,Undefined,Fastball,NA,NA,94.11379,-2.733957,-2.822828,2337.986595,214.161771,01:15:00,5.9026,1.49598,6.20252,-16.69025,14.82375,9.31977,1.98316,-0.33511,85.39356,-5.916634,-1.142326,0.404039,-5.73288,8.85434,-1.28851,50,5.68847,6.33601,-136.42272,-7.02102,-10.70141,32.67242,-15.64584,fa479612-77ee-4503-b468-4a4997c8571f,NA,NA,NA,NA,-20.650945,1000365282,"Becker, Andrew",NA,NA,82.34197,Left,49.612096,93.73242,103.28406,-57.56919,219.05558,93.13035,5.274156,-37.917952,1.56524,2.77847,-0.25083,NA,NA,NA,NA,NA,3,2,CAL_MAT,1,Top,0,0,1,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,CSD_TRI,CAL_MAT,UCSanDiego,D1,BW,20250413-UCSanDiego-1,8721f1d0-18a3-11f0-88e0-25486a482b55,93.28916,106.07675,NA,8.72023,NA,NA,NA,f7f71296-ff61-4cbc-85d2-b4ba7f5c3235,2025-04-13,20:11:46,2025-04-13T20:11:46Z,2025-04-13T20:11:46Z,FlyBall,v3,NA,471256,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.29646,-137.44784,16.33621,5.90106,-6.53012,-7.82292,-1.49258,6.67178,-5.35071,151.345011,1.57634,72.95659,-21.43133,4.49906,0.39593,-0.63637,0.19243,-0.02552,0.00128,2.76225,92.28443,-25.51291,3.64555,-1.2026,0.32749,-0.04744,0.00271,-1e-5,-0.24238,-27.77354,-1.73916,0.68957,0.3269,-0.27188,0.07513,-0.00946,4.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
