PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:02:08,"Cleaver, Ben",1000274380,Left,KEN_WIL,Undefined,Fastball,NA,NA,88.38949,-3.049927,0.961664,2084.187515,143.523082,10:45:00,6.09548,-2.47431,6.50324,-17.84021,17.11647,-11.83241,1.80652,-2.57764,81.04547,-6.451804,-1.187725,0.425536,6.42823,10.14331,2.41162,50,5.87401,-1.69255,-128.35718,-7.30166,10.72957,26.44636,-15.2435,b892980e-b69c-4830-bc63-d5ed9a937b42,NA,NA,NA,NA,NA,801791,"Stone, Evan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SOU_GAM,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KEN_WIL,SOU_GAM,UKentucky,D1,SEC,20250427-UKentucky-1,5b0632f0-2389-11f0-a49b-65b05c469b15,88.57635,NA,NA,7.34402,NA,NA,NA,d1e3e3dc-8472-4b31-ba54-972cf1118e8f,2025-04-27,17:02:08,2025-04-27T17:02:08Z,2025-04-27T17:02:08Z,NA,v3,471331,471441,27 April 2025 00:00-scarolina@kentucky,"Burkes, Devin",1000051659,Right,KEN_WIL,53.99409,-129.17749,13.22318,6.09316,-6.82884,-7.62175,2.46928,-2.02536,5.36479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-27,13:02:23,"Cleaver, Ben",1000274380,Left,KEN_WIL,Undefined,Fastball,NA,NA,88.40527,-1.604207,3.462522,2092.315294,142.75777,10:45:00,5.99453,-2.39799,6.64701,-17.98666,16.75509,-11.90823,3.02425,-0.21725,80.94615,-5.054646,1.299499,0.424226,7.27646,9.62359,2.16912,50,5.8787,-7.33219,-128.37832,-4.06015,12.15589,26.3219,-16.09712,faee51c3-ec2a-45ee-94de-fc88941f78ac,NA,NA,NA,NA,-171.174629,801791,"Stone, Evan",4504.836794,NA,73.68559,Right,71.821287,NA,NA,NA,NA,29.38496,NA,NA,2.71648,3.04057,0.27091,NA,NA,NA,NA,NA,1,2,SOU_GAM,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KEN_WIL,SOU_GAM,UKentucky,D1,SEC,20250427-UKentucky-1,63b28160-2389-11f0-a49b-65b05c469b15,88.84993,71.47797,NA,7.45912,NA,NA,NA,d1e3e3dc-8472-4b31-ba54-972cf1118e8f,2025-04-27,17:02:23,2025-04-27T17:02:23Z,2025-04-27T17:02:23Z,NA,v3,471331,471441,27 April 2025 00:00-scarolina@kentucky,"Burkes, Devin",1000051659,Right,KEN_WIL,53.85277,-129.16586,13.16095,5.99297,-3.57854,-8.04856,2.39394,-7.69589,6.07794,13.800066,2.71648,-33.31734,-4.56788,3.24553,-1.11822,0.32437,-0.08582,0.01949,-0.00269,3.04057,102.67795,-33.86295,5.13437,-1.01867,0.20609,-0.08285,0.04427,-0.01174,0.27091,-5.17291,7.1143,-2.82975,0.81946,-0.22353,0.06933,-0.02344,0.0049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
3,2025-04-27,13:02:42,"Cleaver, Ben",1000274380,Left,KEN_WIL,Undefined,Curveball,NA,NA,69.40855,2.411577,1.302609,2066.514257,336.901777,05:15:00,5.89382,-2.4131,6.41922,-70.13925,-13.36292,6.42142,2.26765,-0.68033,64.29727,-10.51719,2.469032,0.542319,-2.97055,-7.04559,2.31755,50,6.03544,-2.49432,-100.95786,2.38542,-3.06167,16.64703,-39.43577,a8f8bde8-a97e-4115-8588-2aa25365a8e8,NA,NA,NA,NA,NA,801791,"Stone, Evan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,SOU_GAM,1,Top,0,1,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,KEN_WIL,SOU_GAM,UKentucky,D1,SEC,20250427-UKentucky-1,6f2569e0-2389-11f0-a49b-65b05c469b15,69.5023,NA,NA,5.11128,NA,NA,NA,d1e3e3dc-8472-4b31-ba54-972cf1118e8f,2025-04-27,17:02:42,2025-04-27T17:02:42Z,2025-04-27T17:02:42Z,NA,v3,471331,471441,27 April 2025 00:00-scarolina@kentucky,"Burkes, Devin",1000051659,Right,KEN_WIL,54.08469,-101.62915,8.32352,5.90719,3.97568,-19.71788,2.41564,-2.37086,-1.53084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-27,13:02:58,"Cleaver, Ben",1000274380,Left,KEN_WIL,Undefined,Fastball,NA,NA,88.33005,-2.024926,3.100842,2060.307431,157.484945,11:15:00,5.96289,-2.3273,6.58182,-13.36371,21.57281,-8.4793,2.99004,-0.18942,80.72309,-4.637718,1.562481,0.425413,5.32508,12.2482,2.11799,50,5.81788,-6.62658,-128.23022,-4.82566,8.86555,26.53917,-11.78252,f2f1c02d-951e-4aa6-b89b-0248e2fa9539,NA,NA,NA,NA,103.660875,801791,"Stone, Evan",4800.760799,NA,71.57273,Right,60.304196,NA,NA,NA,NA,21.46974,NA,NA,0.67754,2.98136,0.19546,NA,NA,NA,NA,NA,1,4,SOU_GAM,1,Top,0,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KEN_WIL,SOU_GAM,UKentucky,D1,SEC,20250427-UKentucky-1,789ef360-2389-11f0-a49b-65b05c469b15,88.60189,37.20387,NA,7.60696,NA,NA,NA,d1e3e3dc-8472-4b31-ba54-972cf1118e8f,2025-04-27,17:02:58,2025-04-27T17:02:58Z,2025-04-27T17:02:58Z,NA,v3,471331,471441,27 April 2025 00:00-scarolina@kentucky,"Burkes, Devin",1000051659,Right,KEN_WIL,53.91654,-129.03826,13.26958,5.95935,-4.46692,-5.89126,2.32386,-6.89652,4.43277,330.517964,0.6898,-12.66664,-6.54378,NA,NA,NA,NA,NA,NA,2.99459,90.77591,-26.51912,NA,NA,NA,NA,NA,NA,0.20168,50.33918,-6.89475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
5,2025-04-27,13:03:16,"Cleaver, Ben",1000274380,Left,KEN_WIL,Undefined,Curveball,NA,NA,69.58244,1.309149,2.089378,2042.621826,331.284362,05:00:00,5.94287,-2.25638,5.97677,-69.68827,-12.31386,7.66363,1.3501,0.31995,64.77853,-11.391652,3.470215,0.545168,-3.41047,-6.38,2.08669,50,6.00693,-3.92987,-101.17904,0.37407,-3.53547,16.50374,-38.78789,aeb01f98-4e52-48a7-a430-4278262c9a9b,NA,NA,NA,NA,NA,801791,"Stone, Evan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,SOU_GAM,1,Top,0,1,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KEN_WIL,SOU_GAM,UKentucky,D1,SEC,20250427-UKentucky-1,834feb70-2389-11f0-a49b-65b05c469b15,69.13909,NA,NA,4.80392,NA,NA,NA,d1e3e3dc-8472-4b31-ba54-972cf1118e8f,2025-04-27,17:03:16,2025-04-27T17:03:16Z,2025-04-27T17:03:16Z,NA,v3,471331,471441,27 April 2025 00:00-scarolina@kentucky,"Burkes, Devin",1000051659,Right,KEN_WIL,54.52771,-101.9149,8.25187,5.9517,2.10352,-19.39395,2.2584,-3.77223,-1.76773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-27,13:03:37,"Cleaver, Ben",1000274380,Left,KEN_WIL,Undefined,Fastball,NA,NA,88.65243,-1.595764,4.482051,2158.618827,147.211659,11:00:00,5.82158,-2.70301,6.73454,-13.16969,21.8247,-13.24611,3.2611,0.29708,79.92055,-4.211879,2.07764,0.425766,8.32934,12.33843,2.41136,50,5.7102,-9.5463,-128.38842,-3.8247,13.72812,29.69797,-11.8383,17f737c0-3cba-4c9f-9b19-200851c0fb3c,NA,NA,NA,NA,NA,801791,"Stone, Evan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,SOU_GAM,1,Top,0,1,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,KEN_WIL,SOU_GAM,UKentucky,D1,SEC,20250427-UKentucky-1,8fdb21c0-2389-11f0-a49b-65b05c469b15,88.52858,NA,NA,8.73189,NA,NA,NA,d1e3e3dc-8472-4b31-ba54-972cf1118e8f,2025-04-27,17:03:37,2025-04-27T17:03:37Z,2025-04-27T17:03:37Z,NA,v3,471331,471441,27 April 2025 00:00-scarolina@kentucky,"Burkes, Devin",1000051659,Right,KEN_WIL,53.76075,-129.2554,14.84899,5.81682,-3.47909,-5.91915,2.69591,-9.94707,6.86406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.50502,2.417492,1.212365,1.205127,-1.91158,3.00969,-0.41338,-4.73157,6.63178,3.73972,74.48231,10.65033,50.28806,-4.63477,71.59828,-4.91816,6.69412,20.43926,-14.22266,3.76414,40.48579,-1.55627,High,High,High,NA,NA,High,High,High
7,2025-04-27,13:04:07,"Cleaver, Ben",1000274380,Left,KEN_WIL,Undefined,Fastball,NA,NA,89.43284,-2.241118,2.936609,2206.154219,152.276158,11:00:00,6.0774,-2.21775,6.55581,-13.98851,20.20044,-10.02804,2.85308,-0.35852,81.57352,-4.965181,1.117329,0.420837,5.96634,11.47253,2.01809,50,5.91554,-6.23778,-129.7343,-5.37655,10.16089,27.33154,-12.63596,1065470a-e48f-44d2-92d2-b9480b8a27cd,NA,NA,NA,NA,-168.149328,808793,"Kaczmar, Henry",2817.463204,NA,74.0286,Left,21.913543,-108.94108,20.44418,-15.22451,179.01626,51.90698,2.080292,-173.951483,1.64181,2.80338,0.35934,NA,NA,NA,NA,NA,2,1,SOU_GAM,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KEN_WIL,SOU_GAM,UKentucky,D1,SEC,20250427-UKentucky-1,a1bee7a0-2389-11f0-a49b-65b05c469b15,89.56532,21.630490000000002,NA,7.85931,NA,NA,NA,d1e3e3dc-8472-4b31-ba54-972cf1118e8f,2025-04-27,17:04:07,2025-04-27T17:04:07Z,2025-04-27T17:04:07Z,LineDrive,v3,471331,471441,27 April 2025 00:00-scarolina@kentucky,"Burkes, Devin",1000051659,Right,KEN_WIL,53.93794,-130.56128,13.66577,6.07244,-4.99422,-6.31798,2.21148,-6.54522,5.08044,58.092604,1.64181,-98.58336,8.38125,-1.69051,0.31962,-0.05842,0.01034,-0.00116,5e-5,2.80338,40.52099,-23.83914,2.57246,-0.52777,0.09838,-0.01743,0.00253,-1.5e-4,0.35934,-20.68609,8.67282,-2.30147,0.53975,-0.11454,0.0221,-0.00303,2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
8,2025-04-27,13:04:25,"Cleaver, Ben",1000274380,Left,KEN_WIL,Undefined,Fastball,NA,NA,89.41208,-2.68144,4.105427,2137.731178,147.089698,11:00:00,6.04843,-2.28369,6.57676,-16.0454,18.43131,-11.15249,2.24559,0.5561,81.1276,-5.787525,2.08502,0.422605,7.05032,10.81922,2.00566,50,5.85674,-8.85253,-129.48451,-6.46151,11.87541,29.02533,-13.95031,52dc9cc3-9b70-44ae-8910-106013f9a29a,NA,NA,NA,NA,NA,808793,"Kaczmar, Henry",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,SOU_GAM,1,Top,1,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,KEN_WIL,SOU_GAM,UKentucky,D1,SEC,20250427-UKentucky-1,ac8f0070-2389-11f0-a49b-65b05c469b15,89.19074,NA,NA,8.28449,NA,NA,NA,d1e3e3dc-8472-4b31-ba54-972cf1118e8f,2025-04-27,17:04:25,2025-04-27T17:04:25Z,2025-04-27T17:04:25Z,NA,v3,471331,471441,27 April 2025 00:00-scarolina@kentucky,"Burkes, Devin",1000051659,Right,KEN_WIL,53.91946,-130.36014,14.51267,6.04532,-6.04066,-6.97515,2.27812,-9.21078,5.93771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-27,13:04:41,"Cleaver, Ben",1000274380,Left,KEN_WIL,Undefined,Curveball,NA,NA,70.81202,3.072635,3.176739,2149.115036,338.859377,05:15:00,5.87609,-2.13528,6.49287,-70.54913,-15.35824,6.64429,2.82468,1.3376,64.78204,-9.970936,4.380825,0.534694,-2.45315,-8.37331,1.90996,50,6.0626,-5.91147,-102.72467,3.61969,-2.58669,19.11156,-41.00322,1c8b6834-de29-409c-82ff-8660fdc52a03,NA,NA,NA,NA,NA,808793,"Kaczmar, Henry",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,SOU_GAM,1,Top,1,0,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KEN_WIL,SOU_GAM,UKentucky,D1,SEC,20250427-UKentucky-1,b608ff20-2389-11f0-a49b-65b05c469b15,70.49349,NA,NA,6.02997,NA,NA,NA,d1e3e3dc-8472-4b31-ba54-972cf1118e8f,2025-04-27,17:04:41,2025-04-27T17:04:41Z,2025-04-27T17:04:41Z,NA,v3,471331,471441,27 April 2025 00:00-scarolina@kentucky,"Burkes, Devin",1000051659,Right,KEN_WIL,54.00998,-103.46802,9.55578,5.8908,5.21453,-20.50161,2.13793,-5.81086,-1.29335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-27,13:04:56,"Cleaver, Ben",1000274380,Left,KEN_WIL,Undefined,Fastball,NA,NA,89.1031,-1.102921,3.992878,2144.953517,140.86309,10:45:00,5.87053,-2.61814,6.61861,-14.83993,19.94781,-15.20595,3.62124,-0.22274,80.21778,-4.019692,1.235231,0.424507,9.27225,11.20438,2.3524,50,5.78903,-8.42492,-129.14065,-2.81654,15.42749,30.59554,-13.53176,5932acda-446c-4858-a36f-928fc6773808,NA,NA,NA,NA,-15.067643,808793,"Kaczmar, Henry",3614.846021,NA,83.87436,Left,29.58013,103.647,52.13934,-36.84154,271.9719,265.33429,4.087483,-27.619682,0.83882,3.64197,0.20876,NA,NA,NA,NA,NA,2,4,SOU_GAM,1,Top,1,1,2,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,KEN_WIL,SOU_GAM,UKentucky,D1,SEC,20250427-UKentucky-1,bee2ed40-2389-11f0-a49b-65b05c469b15,88.79117,58.70067,NA,8.88533,NA,NA,NA,d1e3e3dc-8472-4b31-ba54-972cf1118e8f,2025-04-27,17:04:56,2025-04-27T17:04:56Z,2025-04-27T17:04:56Z,FlyBall,v3,471331,471441,27 April 2025 00:00-scarolina@kentucky,"Burkes, Devin",1000051659,Right,KEN_WIL,53.87844,-130.05627,15.29777,5.86726,-2.41158,-6.76588,2.61144,-8.88661,7.71374,137.035164,0.83797,103.32957,-20.49819,4.75363,-1.28611,0.38488,-0.09752,0.01483,-0.00093000000000000005,3.64303,60.69556,-18.56491,1.00217,0.17222,-0.18368,0.06321,-0.00996,6e-4,0.20875,-27.8117,-3.19837,1.49177,-0.41848,0.07489,-0.00646,-2.3e-4,6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
