PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-15,18:03:07,"Tremain, Cole",695029,Right,CAL_BEA,Undefined,Fastball,NA,NA,89.54092,-1.422877,-2.88278,2258.192227,234.781631,01:45:00,5.82656,2.59729,5.89239,-23.05403,11.99481,15.3378,2.58232,1.19654,81.5288,-5.744262,-0.132275,0.426097,-8.6876,6.90288,-2.37372,50,5.69858,5.88639,-129.86619,-3.98113,-14.76603,28.40296,-20.44142,11f03b86-38a0-4ccb-bdd3-b85a1e421a74,NA,NA,NA,NA,NA,1000156206,"Roche, Pat",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BOC_EAG,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_BEA,BOC_EAG,CalBerkeley,D1,ACC,20250515-CalBerkeley-1,8779c830-31f1-11f0-b1e0-4102d27b8c99,88.45982,NA,NA,8.01212,NA,NA,NA,48cea2e4-db25-46f8-b2d6-4e77012c8f56,2025-05-16,01:03:07,2025-05-16T01:03:07Z,2025-05-16T01:03:07Z,NA,v3,471259,227,15 May 2025 21:00-bostoncoll@california,"Birge, Alex",801130,Right,CAL_BEA,54.60719,-130.86995,14.20148,5.82651,-3.25873,-10.22071,-2.59096,6.40822,-7.38301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-15,18:03:25,"Tremain, Cole",695029,Right,CAL_BEA,Undefined,Fastball,NA,NA,90.10983,-2.526839,-4.595634,2311.641614,226.284802,01:30:00,5.89058,2.43607,5.70935,-20.206,14.60166,14.10418,1.8434,-0.67948,82.49387,-6.305346,-2.083343,0.424628,-8.43378,8.45107,-2.05935,50,5.66569,9.87105,-130.39992,-6.43596,-14.55443,26.84127,-17.58979,f5f91f4f-157d-4a23-8024-6934e742a659,NA,NA,NA,NA,NA,1000156206,"Roche, Pat",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,BOC_EAG,1,Top,0,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_BEA,BOC_EAG,CalBerkeley,D1,ACC,20250515-CalBerkeley-1,925c7ea0-31f1-11f0-b1e0-4102d27b8c99,88.76578,NA,NA,7.61596,NA,NA,NA,48cea2e4-db25-46f8-b2d6-4e77012c8f56,2025-05-16,01:03:25,2025-05-16T01:03:25Z,2025-05-16T01:03:25Z,NA,v3,471259,227,15 May 2025 21:00-bostoncoll@california,"Birge, Alex",801130,Right,CAL_BEA,54.79109,-131.3824,13.42063,5.88949,-5.79211,-8.7949,-2.43042,10.40379,-7.27721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-15,18:03:42,"Tremain, Cole",695029,Right,CAL_BEA,Undefined,Fastball,NA,NA,90.45047,-1.870419,-4.484953,2188.842715,236.693792,02:00:00,5.90913,2.41606,5.71224,-22.85915,12.00103,16.40308,2.25568,-0.40392,81.95346,-6.146786,-1.561261,0.424948,-9.71044,7.02465,-2.05034,50,5.73806,9.54165,-130.83554,-5.05764,-16.68296,29.88317,-20.10539,c06545f3-ad6c-4246-a52f-72e6e53c39eb,NA,NA,NA,NA,107.472829,1000156206,"Roche, Pat",5445.725494,NA,71.88811,Right,58.150061,NA,NA,NA,NA,49.57176,NA,NA,1.7601,2.09028,0.42181,NA,NA,NA,NA,NA,1,3,BOC_EAG,1,Top,0,1,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_BEA,BOC_EAG,CalBerkeley,D1,ACC,20250515-CalBerkeley-1,9c9dc4f0-31f1-11f0-b1e0-4102d27b8c99,88.69884,65.11334,NA,8.49701,NA,NA,NA,48cea2e4-db25-46f8-b2d6-4e77012c8f56,2025-05-16,01:03:42,2025-05-16T01:03:42Z,2025-05-16T01:03:42Z,NA,v3,471259,227,15 May 2025 21:00-bostoncoll@california,"Birge, Alex",801130,Right,CAL_BEA,54.78721,-131.92442,14.94158,5.909,-4.32504,-10.0527,-2.4091,10.14954,-8.34148,329.292232,1.7601,-16.70634,-6.51401,2.40121,-0.5448,0.81715,-1.50401,1.16624,-0.3259,2.09028,89.56053,-27.56778,3.31268,-0.74164,0.45127,-0.5195,0.34052,-0.08649,0.42181,53.07083,-6.86562,1.25212,-0.25475,0.23601,-0.31445,0.21109,-0.05409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
4,2025-05-15,18:04:06,"Tremain, Cole",695029,Right,CAL_BEA,Undefined,Slider,NA,NA,82.13928,-0.860716,-4.876279,2547.523301,100.095254,09:15:00,5.63767,2.64009,5.52639,-39.73805,2.09587,-5.28146,1.51852,-2.3698,76.39131,-8.0623,-5.812161,0.465517,1.46453,1.62319,-2.21147,50,5.53578,10.36075,-118.99502,-3.16344,2.12112,20.67323,-29.82315,34c9b06d-fcdb-4f72-bea1-b6dde41149bf,NA,NA,NA,NA,NA,1000156206,"Roche, Pat",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,BOC_EAG,1,Top,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_BEA,BOC_EAG,CalBerkeley,D1,ACC,20250515-CalBerkeley-1,ab1c18b0-31f1-11f0-b1e0-4102d27b8c99,80.96897,NA,NA,5.74797,NA,NA,NA,48cea2e4-db25-46f8-b2d6-4e77012c8f56,2025-05-16,01:04:06,2025-05-16T01:04:06Z,2025-05-16T01:04:06Z,NA,v3,471259,227,15 May 2025 21:00-bostoncoll@california,"Birge, Alex",801130,Right,CAL_BEA,54.97543,-119.85629,10.33661,5.6417,-1.92096,-14.91158,-2.64128,10.27238,1.06056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-15,18:04:26,"Tremain, Cole",695029,Right,CAL_BEA,Undefined,Slider,NA,NA,79.89082,0.547687,-2.680788,2514.122742,85.004916,08:45:00,5.55774,2.78579,5.50086,-43.54542,0.65563,-7.07418,2.44179,-0.31296,73.88273,-7.385134,-3.939418,0.478506,2.89685,0.53409,-2.54636,50,5.57592,5.70472,-116.00081,-0.35937,3.96994,20.52786,-31.4421,8438eefb-9bc8-4c73-9b24-bb5c998ed885,NA,NA,NA,NA,-4.061198,1000156206,"Roche, Pat",2372.251364,NA,101.62113,Right,4.463534,NA,NA,NA,111.32048,111.32048,0.847903,-2.408871,1.11646,2.46936,0.24335,NA,NA,NA,NA,NA,1,5,BOC_EAG,1,Top,0,2,2,Slider,InPlay,Undefined,GroundBall,Single,0,0,NA,CAL_BEA,BOC_EAG,CalBerkeley,D1,ACC,20250515-CalBerkeley-1,b6efbed0-31f1-11f0-b1e0-4102d27b8c99,78.77104,4.32102,NA,6.00808,NA,NA,NA,48cea2e4-db25-46f8-b2d6-4e77012c8f56,2025-05-16,01:04:26,2025-05-16T01:04:26Z,2025-05-16T01:04:26Z,GroundBall,v3,471259,227,15 May 2025 21:00-bostoncoll@california,"Birge, Alex",801130,Right,CAL_BEA,55.0013,-116.8825,10.26393,5.56235,0.99111,-15.72105,-2.78772,5.53421,1.98497,279.243516,1.2287,146.40054,-19.80799,NA,NA,NA,NA,NA,NA,2.51999,10.78072,-16.28335,NA,NA,NA,NA,NA,NA,0.2018,-9.84508,4.87336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
6,2025-05-15,18:05:03,"Tremain, Cole",695029,Right,CAL_BEA,Undefined,Fastball,NA,NA,88.32236,-2.077786,-4.274722,2321.103503,212.441856,01:00:00,5.77641,2.59872,5.99077,-24.76021,11.14989,6.34933,1.7812,-0.84124,80.809,-6.692928,-3.137383,0.4313,-4.46343,6.67012,-2.26455,50,5.59844,9.29786,-127.89864,-5.4484,-7.38484,26.661740000000002,-21.1382,445f176d-6b8d-4e0b-85a7-89baccbca9f5,NA,NA,NA,NA,NA,828824,"Ragsdale, Josiah",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BOC_EAG,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_BEA,BOC_EAG,CalBerkeley,D1,ACC,20250515-CalBerkeley-1,ccaf1130-31f1-11f0-b1e0-4102d27b8c99,87.39255,NA,NA,7.51336,NA,NA,NA,48cea2e4-db25-46f8-b2d6-4e77012c8f56,2025-05-16,01:05:03,2025-05-16T01:05:03Z,2025-05-16T01:05:03Z,NA,v3,471259,227,15 May 2025 21:00-bostoncoll@california,"Birge, Alex",801130,Right,CAL_BEA,54.50831,-128.83501,13.330870000000001,5.77675,-4.70601,-10.5691,-2.59565,9.55722,-3.69242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-15,18:05:21,"Tremain, Cole",695029,Right,CAL_BEA,Undefined,Fastball,NA,NA,87.73961,-1.149398,-3.77732,2386.581092,237.818136,02:00:00,5.60992,2.79312,6.10993,-27.88836,8.12119,11.12969,2.22059,0.22266,80.5109,-6.340887,-1.776061,0.431897,-6.80894,4.83614,-2.50866,50,5.50678,7.96456,-127.29364,-3.45612,-11.19454,25.63615,-24.22298,d4d21571-0c93-453d-a568-ea0fe9e550c3,NA,NA,NA,NA,-22.239141,828824,"Ragsdale, Josiah",4309.279442,NA,88.68269,Left,16.983798,97.16505,25.59505,-51.56503,242.75311,241.81173,2.779087,-34.706098,-0.3097,2.01552,-0.15408,NA,NA,NA,NA,NA,2,2,BOC_EAG,1,Top,0,0,1,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,CAL_BEA,BOC_EAG,CalBerkeley,D1,ACC,20250515-CalBerkeley-1,d7535f10-31f1-11f0-b1e0-4102d27b8c99,87.27179,26.70503,NA,7.22871,NA,NA,NA,48cea2e4-db25-46f8-b2d6-4e77012c8f56,2025-05-16,01:05:21,2025-05-16T01:05:21Z,2025-05-16T01:05:21Z,LineDrive,v3,471259,227,15 May 2025 21:00-bostoncoll@california,"Birge, Alex",801130,Right,CAL_BEA,54.39128,-128.17496,12.81807,5.61128,-2.62338,-12.11149,-2.78908,8.34941,-5.59727,123.024333,-0.30977,115.14345,-25.4292,5.6353,-1.02621,0.09628,0.01133,-0.0051,5.3e-4,2.01561,37.99014,-15.10951,0.36531,-0.04848,0.08343,-0.0404,0.00927,-8.3e-4,-0.15418,-47.07692,-4.01303,2.14933,-0.50658,0.00945,0.03295,-0.00942,8.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-05-15,18:05:58,"Tremain, Cole",695029,Right,CAL_BEA,Undefined,Fastball,NA,NA,90.50132,-1.611859,-3.549438,2308.288104,216.142987,01:15:00,5.99278,2.48168,5.91295,-17.44005,16.6391,11.37564,3.04015,0.13108,82.8831,-4.912882,-1.512189,0.420161,-6.76181,9.27414,-2.20307,50,5.85323,7.65232,-131.24514,-4.22696,-11.83603,26.85548,-15.94044,ba5d869d-62c4-4e31-9f95-fe8881dfdb06,NA,NA,NA,NA,NA,809057,"Toomey, Jack",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,BOC_EAG,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CAL_BEA,BOC_EAG,CalBerkeley,D1,ACC,20250515-CalBerkeley-1,ed5315d0-31f1-11f0-b1e0-4102d27b8c99,89.70951,NA,NA,7.61823,NA,NA,NA,48cea2e4-db25-46f8-b2d6-4e77012c8f56,2025-05-16,01:05:58,2025-05-16T01:05:58Z,2025-05-16T01:05:58Z,NA,v3,471259,227,15 May 2025 21:00-bostoncoll@california,"Birge, Alex",801130,Right,CAL_BEA,54.58656,-132.18031,13.42774,5.99075,-3.67187,-7.97022,-2.47672,8.06449,-5.91802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-15,18:06:19,"Tremain, Cole",695029,Right,CAL_BEA,Undefined,ChangeUp,NA,NA,82.33104,-1.618057,-4.407472,1355.569447,249.020061,02:15:00,5.56871,2.79096,5.94433,-34.92026,6.1239,12.78186,1.15295,-0.24027,76.10584,-8.044816,-2.11714,0.461102,-7.77107,3.90047,-2.44673,50,5.41946,8.72553,-119.37247,-4.48648,-11.28982,21.50826,-26.50744,5069dd16-d484-450f-ac3e-d34aa5d20bc8,NA,NA,NA,NA,-153.390961,809057,"Toomey, Jack",NA,NA,45.04899,Right,-48.099785,NA,NA,NA,2.44285,3.57113,0.029313,-10.061337,3.56774,1.44905,0.15557000000000001,NA,NA,NA,NA,NA,3,2,BOC_EAG,1,Top,0,0,1,Changeup,InPlay,Undefined,Bunt,Sacrifice,1,0,NA,CAL_BEA,BOC_EAG,CalBerkeley,D1,ACC,20250515-CalBerkeley-1,f9f72b50-31f1-11f0-b1e0-4102d27b8c99,81.74425,1.44905,NA,6.2252,NA,NA,NA,48cea2e4-db25-46f8-b2d6-4e77012c8f56,2025-05-16,01:06:19,2025-05-16T01:06:19Z,2025-05-16T01:06:19Z,GroundBall,v3,471259,227,15 May 2025 21:00-bostoncoll@california,"Birge, Alex",801130,Right,CAL_BEA,54.55823,-120.19096,10.75413,5.57099,-3.47775,-13.25372,-2.78695,9.15515,-5.64491,NA,3.5687,-39.65686,NA,NA,NA,NA,NA,NA,NA,1.45026,-49.43382,NA,NA,NA,NA,NA,NA,NA,0.15606,-19.8665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
10,2025-05-15,18:06:58,"Tremain, Cole",695029,Right,CAL_BEA,Undefined,Fastball,NA,NA,90.66525,-2.477409,-5.561628,2489.950805,218.7702,01:15:00,5.9055,2.39546,5.88561,-18.2895,15.91769,11.91253,2.0685,-1.7927,83.04094,-5.919983,-3.439218,0.42095,-7.5667,9.13371,-1.9522,50,5.69398,12.24768,-131.0468,-6.26266,-13.20947,26.68495,-16.22902,0f7cb942-66c0-45db-b227-fb07254b8282,NA,NA,NA,NA,NA,813479,"Wolff, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,BOC_EAG,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_BEA,BOC_EAG,CalBerkeley,D1,ACC,20250515-CalBerkeley-1,11830050-31f2-11f0-b1e0-4102d27b8c99,89.54147,NA,NA,7.62431,NA,NA,NA,48cea2e4-db25-46f8-b2d6-4e77012c8f56,2025-05-16,01:06:58,2025-05-16T01:06:58Z,2025-05-16T01:06:58Z,NA,v3,471259,227,15 May 2025 21:00-bostoncoll@california,"Birge, Alex",801130,Right,CAL_BEA,54.61408,-131.98302,13.34248,5.90371,-5.69328,-8.11451,-2.39003,12.71112,-6.60473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
