PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,14:05:44,"Bales, Bryson",827520,Left,BAY_BEA,Undefined,Fastball,NA,NA,92.06212,-1.00154,2.654932,2005.813385,131.452309,10:30:00,6.01171,-0.3753,5.74023,-18.23017,15.26324,-15.96111,3.55881,0.76864,83.27378,-4.45857,-0.198679,0.416535,8.8293,8.38599,0.16355,50,5.91716,-5.44885,-133.43433,-2.91403,15.77558,31.11724,-17.19051,23bf7f7a-6af0-45c4-a16a-d2529cc99d7d,NA,NA,NA,NA,NA,823769,"Shupe, Hudson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,GON_BUL,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250222-Baylor-1,667626d0-f158-11ef-9126-a57489ed4b73,90.49052,NA,NA,8.78834,NA,NA,NA,96b1b2e5-6e4a-4fb1-8112-0348706e3be0,2025-02-22,20:05:44,2025-02-22T20:05:44Z,2025-02-22T20:05:44Z,NA,v3,3033,471307,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.75919,-134.53961,15.55862,6.00982,-2.30342,-8.59525,0.36704,-6.00919,7.88779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-22,14:05:59,"Bales, Bryson",827520,Left,BAY_BEA,Undefined,Fastball,NA,NA,92.98958,-2.204634,2.741706,2035.077969,119.978016,10:00:00,5.90347,-0.47137,5.84292,-19.64206,12.98182,-20.58611,2.21429,0.3632,84.54014,-5.898761,-0.947978,0.411092,11.24008,7.60398,0.25961,50,5.71212,-5.51876,-134.80163,-5.8455,20.55906,30.93414,-18.26572,c7a04e5d-482e-4123-8530-c676e8473f68,NA,NA,NA,NA,NA,823769,"Shupe, Hudson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,GON_BUL,1,Top,0,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250222-Baylor-1,6f82e4c0-f158-11ef-9126-a57489ed4b73,91.68856,NA,NA,8.44944,NA,NA,NA,96b1b2e5-6e4a-4fb1-8112-0348706e3be0,2025-02-22,20:05:59,2025-02-22T20:05:59Z,2025-02-22T20:05:59Z,NA,v3,3033,471307,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.6587,-135.8665,15.46707,5.90252,-5.21673,-9.13286,0.46177,-6.22647,10.27953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-22,14:06:19,"Bales, Bryson",827520,Left,BAY_BEA,Undefined,Slider,NA,NA,79.68227,2.093375,-2.298438,2065.568778,288.553137,03:30:00,5.90656,-0.42981,5.84385,-46.76117,-2.30291,11.29087,3.95778,-1.62618,72.42669,-6.529697,-0.275065,0.479897,-6.40363,-1.28886,0.61068,50,6.05028,4.19505,-115.55172,2.6911,-8.59108,23.08621,-33.90318,7f6708fa-b7eb-4ea1-b528-ce1b393c46e3,NA,NA,NA,NA,NA,823769,"Shupe, Hudson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,GON_BUL,1,Top,0,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250222-Baylor-1,7bc4b600-f158-11ef-9126-a57489ed4b73,78.54284,NA,NA,7.25558,NA,NA,NA,96b1b2e5-6e4a-4fb1-8112-0348706e3be0,2025-02-22,20:06:19,2025-02-22T20:06:19Z,2025-02-22T20:06:19Z,NA,v3,3033,471307,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.6581,-116.47865,11.54311,5.9149,4.05234,-16.95159,0.43532,4.53999,-4.29554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-22,14:06:36,"Bales, Bryson",827520,Left,BAY_BEA,Undefined,Slider,NA,NA,80.80438,-1.964666,1.986597,2132.322567,311.948482,04:30:00,5.83054,-0.36056,6.11731,-48.71459,-5.83122,8.07087,-0.04736,2.14957,74.22542,-10.876571,3.445706,0.47132,-3.57669,-2.03244,0.20397,50,5.65438,-4.36105,-117.27913,-5.5653,-4.92014,24.73135,-34.9699,f03318c8-5f06-40f3-a6a4-35c6e61ccbec,NA,NA,NA,NA,NA,823769,"Shupe, Hudson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,GON_BUL,1,Top,0,1,2,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250222-Baylor-1,85451d50-f158-11ef-9126-a57489ed4b73,79.97208,NA,NA,6.57897,NA,NA,NA,96b1b2e5-6e4a-4fb1-8112-0348706e3be0,2025-02-22,20:06:36,2025-02-22T20:06:36Z,2025-02-22T20:06:36Z,NA,v3,3033,471307,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.38702,-118.20063,12.36568,5.83747,-4.26231,-17.48495,0.36304,-4.17773,-2.46007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-22,14:06:55,"Bales, Bryson",827520,Left,BAY_BEA,Undefined,Fastball,NA,NA,91.81267,-1.600227,3.085858,2015.131984,142.809646,10:45:00,5.94308,-0.3426,5.69922,-13.6293,20.15383,-14.38761,3.31348,1.33696,82.94971,-4.237028,0.517807,0.418332,8.16626,11.02099,0.09197,50,5.80006,-6.5026,-132.97202,-4.08687,14.48545,30.98508,-12.62484,100263a2-b21c-4f52-83f6-ab642c36bae9,NA,NA,NA,NA,NA,823769,"Shupe, Hudson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,GON_BUL,1,Top,0,2,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250222-Baylor-1,90f2c4e0-f158-11ef-9126-a57489ed4b73,90.10165,NA,NA,8.86296,NA,NA,NA,96b1b2e5-6e4a-4fb1-8112-0348706e3be0,2025-02-22,20:06:55,2025-02-22T20:06:55Z,2025-02-22T20:06:55Z,NA,v3,3033,471307,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.80003,-134.08585,15.49254,5.93881,-3.63304,-6.31242,0.33508,-7.02332,7.24272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-22,14:07:11,"Bales, Bryson",827520,Left,BAY_BEA,Undefined,Fastball,NA,NA,91.28622,-0.822884,2.433698,2011.233302,111.064793,09:45:00,5.97495,-0.36977,5.82455,-24.41336,9.59536,-21.80442,3.17471,0.07721,82.53548,-5.393808,-1.474093,0.419727,11.87957,5.50465,0.18362,50,5.89329,-4.66339,-132.39031,-2.7403,20.8215,31.54792,-22.52595,c260f2ba-c282-4fea-ab4c-dd234192dbab,NA,NA,NA,NA,-25.952786,823769,"Shupe, Hudson",3007.920617,NA,87.51244,Left,0.089755,NA,NA,NA,45.96183,45.96183,0.37698,-26.848735,0.52552,3.07493,-0.00548,NA,NA,NA,NA,NA,1,6,GON_BUL,1,Top,0,3,2,Sinker,InPlay,Undefined,GroundBall,Single,0,0,NA,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250222-Baylor-1,9a8f8dd0-f158-11ef-9126-a57489ed4b73,89.80231,3.07493,NA,8.75074,NA,NA,NA,96b1b2e5-6e4a-4fb1-8112-0348706e3be0,2025-02-22,20:07:11,2025-02-22T20:07:11Z,2025-02-22T20:07:11Z,GroundBall,v3,3033,471307,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.67767,-133.50032,15.77396,5.97577,-1.94773,-11.26298,0.36059,-5.39599,10.41075,47.858154,0.53453,115.0878,-20.55867,NA,NA,NA,NA,NA,NA,3.08371,-0.11143,-21.46199,NA,NA,NA,NA,NA,NA,-0.0043,-56.21299,3.07049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-02-22,14:07:46,"Bales, Bryson",827520,Left,BAY_BEA,Undefined,Fastball,NA,NA,92.65297,-3.839368,3.596994,2083.260281,149.25958,11:00:00,5.91402,-0.49693,5.72266,-10.79442,22.47572,-12.65607,1.42569,1.8034,83.83456,-5.9586,1.339355,0.415144,7.47642,12.89753,0.20372,50,5.58554,-7.83522,-133.89953,-9.25226,13.45683,31.23269,-8.95976,453f9fa2-0edb-452b-95d6-2d89b57b57da,NA,NA,NA,NA,NA,1000119154,"Hankins, Josh",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,GON_BUL,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250222-Baylor-1,af569d80-f158-11ef-9126-a57489ed4b73,90.7937,NA,NA,8.8184,NA,NA,NA,96b1b2e5-6e4a-4fb1-8112-0348706e3be0,2025-02-22,20:07:46,2025-02-22T20:07:46Z,2025-02-22T20:07:46Z,NA,v3,3033,471307,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.77741,-135.00928,15.61635,5.90864,-8.9339,-4.47988,0.49061,-8.31337,6.72842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-22,14:08:03,"Bales, Bryson",827520,Left,BAY_BEA,Undefined,Fastball,NA,NA,92.30657,-2.089867,2.195684,2004.724245,141.218877,10:45:00,5.8272,-0.48831,5.75039,-13.67013,19.543,-14.79146,2.74004,0.32429,83.76995,-4.722081,-0.450076,0.414788,8.21973,10.92426,0.31516,50,5.64533,-4.47816,-133.85328,-5.27814,14.80988,30.751,-12.49123,bba6d0e6-bfab-4331-b235-97adedd34c1c,NA,NA,NA,NA,35.340891,1000119154,"Hankins, Josh",4505.58502,NA,81.31504,Right,29.245904,83.46731,53.2096,71.64605,260.60481,206.25134,4.194558,49.603929,0.63171,2.6488,-0.34649,NA,NA,NA,NA,NA,2,2,GON_BUL,1,Top,0,1,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250222-Baylor-1,b99a06b0-f158-11ef-9126-a57489ed4b73,90.87159,59.508,NA,8.53662,NA,NA,NA,96b1b2e5-6e4a-4fb1-8112-0348706e3be0,2025-02-22,20:08:03,2025-02-22T20:08:03Z,2025-02-22T20:08:03Z,LineDrive,v3,3033,471307,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.75211,-134.94059,15.3755,5.82415,-4.83647,-6.24562,0.48277,-5.00181,7.40494,213.093599,0.63095,84.90374,-22.82274,5.79625,-1.42263,0.34941,-0.06991,0.00863,-4.6e-4,2.65004,58.23428,-15.66054,0.08911,0.37435,-0.1874,0.0466,-0.00565,2.6e-4,-0.34668,60.19668,-5.79477,1.18114,-0.23822,0.05564,-0.01202,0.00159,-9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-02-22,14:08:37,"Bales, Bryson",827520,Left,BAY_BEA,Undefined,Slider,NA,NA,80.20989,-1.343384,0.964747,2158.104073,330.857489,05:00:00,5.95417,-0.44141,5.98529,-49.93676,-6.58489,4.42386,0.54716,0.82157,74.0746,-10.462974000000001,1.7632,0.473888,-2.01095,-2.65134,0.36272,50,5.82023,-2.12464,-116.56711,-4.33985,-2.75499,22.79177,-35.8064,a056cb0b-cd9e-427d-9cf7-b21664656be5,NA,NA,NA,NA,NA,1000119154,"Hankins, Josh",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,GON_BUL,1,Top,0,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250222-Baylor-1,cdb78ff0-f158-11ef-9126-a57489ed4b73,79.53875,NA,NA,6.13529,NA,NA,NA,96b1b2e5-6e4a-4fb1-8112-0348706e3be0,2025-02-22,20:08:37,2025-02-22T20:08:37Z,2025-02-22T20:08:37Z,NA,v3,3033,471307,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.51991,-117.44754,11.39588,5.96116,-2.95668,-17.9032,0.44274,-2.01821,-1.37749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-22,14:08:55,"Bales, Bryson",827520,Left,BAY_BEA,Undefined,Slider,NA,NA,79.02365,1.95828,-1.437582,2143.787923,290.215845,03:45:00,5.88238,-0.5262,5.71271,-46.75652,-1.78398,8.56937,3.81176,-1.15172,72.521960000000007,-6.622305,0.095499,0.482664,-4.73055,-0.98815,0.64128,50,6.01755,2.54801,-114.74916,2.38026,-6.31844,20.88573,-33.4939,d992108f-81a4-423d-bddd-2e316bdc8d79,NA,NA,NA,NA,NA,1000119154,"Hankins, Josh",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,GON_BUL,1,Top,0,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250222-Baylor-1,d88add10-f158-11ef-9126-a57489ed4b73,78.09247,NA,NA,6.50168,NA,NA,NA,96b1b2e5-6e4a-4fb1-8112-0348706e3be0,2025-02-22,20:08:55,2025-02-22T20:08:55Z,2025-02-22T20:08:55Z,NA,v3,3033,471307,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.79069,-115.61784,10.44287,5.88958,3.77333,-16.74695,0.52984,2.8108,-3.15922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
