PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,18:02:23,"Timmerman, Tucker",10156984,Right,NEB,Undefined,Sinker,NA,NA,89.22956,-2.11711,-4.192455,2017.330434,231.041659,01:45:00,4.87935,1.58143,6.15678,-23.3345,11.76851,13.0795,0.97266,-1.20897,81.19267,-6.50377,-1.840534,0.426426,-7.93146,7.06441,-1.26856,50,4.70608,8.92085,-129.19565,-5.51319,-13.33212,28.29541,-20.29936,8bcf3c72-8dff-41ee-9a04-9d44b36804fc,NA,NA,NA,NA,NA,830359,"Inoue, Shintaro",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,KAN_WIL,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NEB,KAN_WIL,UNebraska,D1,BIG10,20250429-UNebraska-1,0394b700-254e-11f0-b340-1b4089b1befa,88.39157,NA,NA,8.0369,NA,NA,NA,441ec96b-b1aa-4295-a56b-a31bb76945b1,2025-04-29,23:02:23,2025-04-29T23:02:23Z,2025-04-29T23:02:23Z,NA,v3,4865,471328,29 April 2025 19:05-kansasst@nebraska,"Helligso, Hogan",823087,Right,NEB,54.34266,-130.14327,14.14771,4.87933,-4.83336,-10.14968,-1.5748,9.36735,-6.66606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-29,18:02:34,"Timmerman, Tucker",10156984,Right,NEB,Undefined,Sinker,NA,NA,89.65739,-0.878015,-3.483579,2036.777288,235.819443,01:45:00,4.78556,1.6219,6.06709,-23.99423,11.01831,14.39036,1.9719,-0.40683,80.98397,-5.400389,-0.897304,0.425876,-8.43725,6.31642,-1.3587,50,4.70469,7.28922,-129.89824,-2.75832,-14.24076,30.29856,-21.5129,39b119d5-4ec5-47ff-8dd0-20de4557da8d,NA,NA,NA,NA,NA,830359,"Inoue, Shintaro",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,KAN_WIL,1,Top,0,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NEB,KAN_WIL,UNebraska,D1,BIG10,20250429-UNebraska-1,09e2ca20-254e-11f0-b340-1b4089b1befa,88.50563,NA,NA,8.67342,NA,NA,NA,441ec96b-b1aa-4295-a56b-a31bb76945b1,2025-04-29,23:02:34,2025-04-29T23:02:34Z,2025-04-29T23:02:34Z,NA,v3,4865,471328,29 April 2025 19:05-kansasst@nebraska,"Helligso, Hogan",823087,Right,NEB,54.4317,-130.92785,15.14928,4.786,-2.02727,-10.75645,-1.61463,7.77315,-7.12038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-29,18:02:45,"Timmerman, Tucker",10156984,Right,NEB,Undefined,Slider,NA,NA,82.20966,-0.221472,-1.156141,2452.972621,115.202897,09:45:00,5.2279,1.88583,5.74382,-38.8836,2.82429,-3.13402,1.78134,0.54802,75.21811,-7.378848,-1.717602,0.464816,1.26776,1.87311,-1.78767,50,5.18555,2.53158,-119.37975,-1.7515,1.8202,24.07504,-29.48469,1ff8f417-031e-4bb8-81a5-043ac3787c48,NA,NA,NA,NA,-0.417337,830359,"Inoue, Shintaro",3485.145726,NA,85.62762,Left,32.939974,109.9039,62.68702,-4.59641,306.18794,302.39782,4.828485,-3.501279,1.90829,1.89532,-0.54729,NA,NA,NA,NA,NA,1,3,KAN_WIL,1,Top,0,1,1,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,NEB,KAN_WIL,UNebraska,D1,BIG10,20250429-UNebraska-1,103a5320-254e-11f0-b340-1b4089b1befa,81.09117,77.02602,NA,6.99155,NA,NA,NA,441ec96b-b1aa-4295-a56b-a31bb76945b1,2025-04-29,23:02:45,2025-04-29T23:02:45Z,2025-04-29T23:02:45Z,FlyBall,v3,4865,471328,29 April 2025 19:05-kansasst@nebraska,"Helligso, Hogan",823087,Right,NEB,54.75821,-120.33551,12.03752,5.23185,-0.58099,-14.74234,-1.88674,2.45933,0.9101,165.609044,1.9117,105.31891,-20.92497,4.85389,-0.65987,-0.02352,0.02754,-0.00411,2e-4,1.89318,68.32966,-16.66827,0.42053,0.11722,-0.07669,0.0274,-0.00468,2.9e-4,-0.54681,-0.77969,-3.21019,1.39927,-0.35692,0.05449,-0.00379,-3e-5,1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
4,2025-04-29,18:03:16,"Timmerman, Tucker",10156984,Right,NEB,Undefined,Slider,NA,NA,80.84577,0.658503,-1.691743,2506.563393,77.094169,08:30:00,5.16199,2.30501,5.68719,-43.58498,-0.39909,-7.69996,2.144,0.08601,74.08905,-7.334792,-3.06856,0.472979,3.45685,-0.04591,-2.15753,50,5.18984,3.7629,-117.39251,-0.09919,4.80459,23.05567,-32.23783,e4795e95-ad97-49cd-b554-0b23202a1bc1,NA,NA,NA,NA,-50.039341,806131,"Kennedy, Dee",NA,NA,90.0532,Right,-6.777482,NA,NA,NA,18.58011,18.58011,0.1262,-43.700234,2.89151,2.26536,-0.21583,NA,NA,NA,NA,NA,2,1,KAN_WIL,1,Top,1,0,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NEB,KAN_WIL,UNebraska,D1,BIG10,20250429-UNebraska-1,23285d10-254e-11f0-b340-1b4089b1befa,79.69149,2.26536,NA,6.75672,NA,NA,NA,441ec96b-b1aa-4295-a56b-a31bb76945b1,2025-04-29,23:03:16,2025-04-29T23:03:16Z,2025-04-29T23:03:16Z,GroundBall,v3,4865,471328,29 April 2025 19:05-kansasst@nebraska,"Helligso, Hogan",823087,Right,NEB,54.81596,-118.33457,11.52783,5.16698,1.21806,-16.11892,-2.30728,3.56658,2.40229,34.287531,2.89152,84.2347,-5.6022,NA,NA,NA,NA,NA,NA,2.26544,-15.59433,-18.67928,NA,NA,NA,NA,NA,NA,-0.21582,-100.52893,4.13676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2025-04-29,18:03:31,"Timmerman, Tucker",10156984,Right,NEB,Undefined,Fastball,NA,NA,89.51437,-1.562294,-2.62449,2075.433231,224.188793,01:30:00,4.87153,2.06016,5.96884,-24.57722,10.80056,9.2339,1.37301,0.39456,80.66222,-6.18324,-0.965897,0.428092,-5.62225,6.42965,-1.85725,50,4.73404,5.55711,-129.70205,-4.33611,-9.40961,31.55876,-21.41313,34893f9f-819c-484e-9bf4-1dab393dee80,NA,NA,NA,NA,NA,806131,"Kennedy, Dee",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,KAN_WIL,1,Top,1,0,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NEB,KAN_WIL,UNebraska,D1,BIG10,20250429-UNebraska-1,2babc6c0-254e-11f0-b340-1b4089b1befa,88.0476,NA,NA,8.85215,NA,NA,NA,441ec96b-b1aa-4295-a56b-a31bb76945b1,2025-04-29,23:03:31,2025-04-29T23:03:31Z,2025-04-29T23:03:31Z,NA,v3,4865,471328,29 April 2025 19:05-kansasst@nebraska,"Helligso, Hogan",823087,Right,NEB,54.53104,-130.79989,15.77938,4.87192,-3.59121,-10.70657,-2.05626,5.88444,-4.70481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-29,18:03:45,"Timmerman, Tucker",10156984,Right,NEB,Undefined,Fastball,NA,NA,90.20442,-0.781122,-2.366689,2349.089589,203.382106,12:45:00,5.38026,1.88072,6.1598,-20.20639,13.71587,5.47803,2.97409,0.1495,82.62663,-4.596858,-1.379658,0.419193,-3.4674,7.62418,-1.70365,50,5.31043,5.18831,-131.02119,-2.4019,-6.04196,27.05509,-18.88894,f3281ebf-4c95-4cc2-9106-c6b1597b71aa,NA,NA,NA,NA,NA,806131,"Kennedy, Dee",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,KAN_WIL,1,Top,1,0,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,NEB,KAN_WIL,UNebraska,D1,BIG10,20250429-UNebraska-1,3460eed0-254e-11f0-b340-1b4089b1befa,89.91672,NA,NA,7.5778,NA,NA,NA,441ec96b-b1aa-4295-a56b-a31bb76945b1,2025-04-29,23:03:45,2025-04-29T23:03:45Z,2025-04-29T23:03:45Z,NA,v3,4865,471328,29 April 2025 19:05-kansasst@nebraska,"Helligso, Hogan",823087,Right,NEB,54.34093,-131.91452,13.52754,5.37944,-1.77821,-9.44447,-1.87825,5.38781,-3.02098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-29,18:04:15,"Timmerman, Tucker",10156984,Right,NEB,Undefined,Sinker,NA,NA,90.40093,-0.760128,-4.052819,2100.558676,245.635534,02:15:00,4.92478,1.80765,6.34908,-26.06332,7.53961,14.35702,2.05131,-0.73298,82.87275,-5.639643,-1.461076,0.417215,-8.55217,4.45638,-1.5192,50,4.8572,8.71423,-131.17484,-2.57494,-14.94349,27.00696,-24.38724,5ba77f44-3870-470d-b76b-430012ba5989,NA,NA,NA,NA,NA,830358,"Flores, Sam",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,KAN_WIL,1,Top,2,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NEB,KAN_WIL,UNebraska,D1,BIG10,20250429-UNebraska-1,464a32f0-254e-11f0-b340-1b4089b1befa,90.34299,NA,NA,7.52818,NA,NA,NA,441ec96b-b1aa-4295-a56b-a31bb76945b1,2025-04-29,23:04:15,2025-04-29T23:04:15Z,2025-04-29T23:04:15Z,NA,v3,4865,471328,29 April 2025 19:05-kansasst@nebraska,"Helligso, Hogan",823087,Right,NEB,54.15311,-132.02714,13.50348,4.92632,-1.80532,-12.19362,-1.80164,9.18582,-7.47175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-29,18:04:30,"Timmerman, Tucker",10156984,Right,NEB,Undefined,Sinker,NA,NA,90.02522,-1.209727,-2.868667,2193.231311,233.801557,01:45:00,4.80792,1.93855,6.04947,-24.35993,9.91032,12.07205,1.65642,0.28658,82.44847,-5.761964,-0.697664,0.421338,-6.96823,5.76996,-1.72128,50,4.70053,6.03658,-130.66872,-3.56155,-12.06463,27.17219,-22.18407,8d4fbf36-9e2f-4af7-aca6-670bcd7021b5,NA,NA,NA,NA,NA,830358,"Flores, Sam",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,KAN_WIL,1,Top,2,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NEB,KAN_WIL,UNebraska,D1,BIG10,20250429-UNebraska-1,4ece38e0-254e-11f0-b340-1b4089b1befa,89.45901,NA,NA,7.57675,NA,NA,NA,441ec96b-b1aa-4295-a56b-a31bb76945b1,2025-04-29,23:04:30,2025-04-29T23:04:30Z,2025-04-29T23:04:30Z,NA,v3,4865,471328,29 April 2025 19:05-kansasst@nebraska,"Helligso, Hogan",823087,Right,NEB,54.45136,-131.59112,13.5861,4.80865,-2.80848,-11.09204,-1.93315,6.44613,-6.03232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.58256,NA,1.484902,NA,-1.54929,1.34964,-0.25362,16.89403,-1.86173,0.05479,NA,NA,NA,16.90879,76.2892,-6.52371,-1.83265,17.23325,-17.66665,0.05017,-1.33838,0.91415,High,High,High,NA,NA,High,Low,Low
9,2025-04-29,18:04:46,"Timmerman, Tucker",10156984,Right,NEB,Undefined,Fastball,NA,NA,89.07183,0.240263,-2.286192,2330.697499,192.177173,12:30:00,5.28087,1.64787,6.37557,-21.67438,12.76272,2.53146,3.69592,-0.24578,81.68601,-3.859667,-1.828337,0.422362,-1.92835,6.9102,-1.48394,50,5.288,5.06842,-129.45737,-0.09139,-3.28526,26.0384,-20.40138,6a4ffab7-26ff-4f9d-ad03-a6a39a6f599f,NA,NA,NA,NA,NA,830358,"Flores, Sam",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,KAN_WIL,1,Top,2,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NEB,KAN_WIL,UNebraska,D1,BIG10,20250429-UNebraska-1,58d29d40-254e-11f0-b340-1b4089b1befa,89.24204,NA,NA,7.38582,NA,NA,NA,441ec96b-b1aa-4295-a56b-a31bb76945b1,2025-04-29,23:04:46,2025-04-29T23:04:46Z,2025-04-29T23:04:46Z,NA,v3,4865,471328,29 April 2025 19:05-kansasst@nebraska,"Helligso, Hogan",823087,Right,NEB,54.12553,-130.28452,13.0192,5.2806,0.55669,-10.20069,-1.6466,5.17278,-1.64263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-29,18:05:01,"Timmerman, Tucker",10156984,Right,NEB,Undefined,ChangeUp,NA,NA,85.22617,-0.782728,-1.8339,1473.78061,246.058337,02:15:00,4.88443,2.17667,6.04536,-35.04655,2.85091,3.99453,1.23878,0.81105,78.92416,-7.242316,-1.114367,0.443074,-2.52823,1.99772,-2.03589,50,4.80439,3.813,-123.92508,-2.84836,-3.96602,22.73944,-29.04029,3fce94e4-a4a3-4b26-85d3-9b9cb2153a79,NA,NA,NA,NA,NA,830358,"Flores, Sam",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,KAN_WIL,1,Top,2,1,2,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NEB,KAN_WIL,UNebraska,D1,BIG10,20250429-UNebraska-1,61bb3160-254e-11f0-b340-1b4089b1befa,85.07027,NA,NA,6.30201,NA,NA,NA,441ec96b-b1aa-4295-a56b-a31bb76945b1,2025-04-29,23:05:01,2025-04-29T23:05:01Z,2025-04-29T23:05:01Z,NA,v3,4865,471328,29 April 2025 19:05-kansasst@nebraska,"Helligso, Hogan",823087,Right,NEB,54.45772,-124.74036,11.36972,4.88785,-1.80718,-14.52014,-2.17515,3.9552,-1.98301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
