PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-04,13:06:32,"Blasche, Mason",10186595,Right,SAM_BUL,Undefined,Fastball,NA,NA,89.33819,-2.46705,-3.473408,2094.498195,213.391485,01:00:00,5.21949,2.28078,6.08591,-22.57462,12.89713,7.63012,1.05035,-0.30062,80.49275,-6.730898,-2.10174,0.42866,-5.07654,7.84504,-2.01634,50,5.01683,7.5274,-129.27345,-6.27295,-8.43791,31.41968,-19.13451,5d0c4441-7d8d-4752-9618-602f26650833,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MIA_RED,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,MIA_RED,SamfordUniversity,D1,SOCON,20250504-SamfordUniversity-1,a7a0d190-2912-11f0-8022-ad11f5442d7d,87.93091,NA,NA,8.84545,NA,NA,NA,e5087c64-9e17-422e-8544-521508b6facb,2025-05-04,18:06:32,2025-05-04T18:06:32Z,2025-05-04T18:06:32Z,NA,v3,471431,471355,04 May 2025 14:00-miamioh@samford,"Strand, Matthew",1000068590,Right,SAM_BUL,54.41133,-130.3412,15.70984,5.21896,-5.62269,-9.56726,-2.27702,7.81415,-4.21895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-04,13:06:47,"Blasche, Mason",10186595,Right,SAM_BUL,Undefined,Fastball,NA,NA,88.14579,-0.852998,-1.873719,2035.189496,211.924723,01:00:00,5.17617,2.19882,6.03713,-25.14411,11.37087,6.2187,2.2905,0.98142,79.02285,-5.605434,-0.754712,0.434917,-3.84855,6.53819,-2.05591,50,5.09621,3.92112,-127.7532,-2.68873,-6.21687,31.85248,-21.61237,b32bef13-c089-4c2a-b11f-4bb5c711c108,NA,NA,NA,NA,76.080478,1000034148,"Baker, Dillon",5325.07455,NA,52.11063,Right,60.958407,NA,NA,NA,89.05162,43.24919,3.499645,87.812947,2.05227,2.35252,-0.98987,NA,NA,NA,NA,NA,1,2,MIA_RED,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,MIA_RED,SamfordUniversity,D1,SOCON,20250504-SamfordUniversity-1,b0dd7920-2912-11f0-8022-ad11f5442d7d,86.66574,54.34606,NA,9.12294,NA,NA,NA,e5087c64-9e17-422e-8544-521508b6facb,2025-05-04,18:06:47,2025-05-04T18:06:47Z,2025-05-04T18:06:47Z,Popup,v3,471431,471355,04 May 2025 14:00-miamioh@samford,"Strand, Matthew",1000068590,Right,SAM_BUL,54.45983,-128.86035999999999,15.92624,5.17661,-1.93751,-10.80618,-2.19596,4.13722,-3.10844,NA,2.05239,8.92409,-4.90516,1.20671,-0.34253,0.14235,-0.04269,0.00665,-4.1e-4,2.3523,66.82398,-25.07202,3.02786,-0.60317,0.08279,-0.00881,8.1e-4,-4e-5,-0.98973,36.01114,-5.92074,1.45908,-0.41678,0.17425,-0.05243,0.0082,-5.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
3,2025-05-04,13:07:16,"Blasche, Mason",10186595,Right,SAM_BUL,Undefined,Fastball,NA,NA,88.69486,1.406244,-1.955672,1954.57367,230.032381,01:45:00,5.14415,2.45969,6.10755,-25.41324,9.6815,10.29705,4.32781,1.50859,81.21511,-3.355898,-0.101768,0.426376,-5.80162,4.95118,-2.31455,50,5.23889,3.97293,-128.85048,2.3502,-9.79436,25.72216,-23.8154,d60fee0f-06af-49e7-be6c-1035d8fccd08,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MIA_RED,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,MIA_RED,SamfordUniversity,D1,SOCON,20250504-SamfordUniversity-1,c204f3e0-2912-11f0-8022-ad11f5442d7d,88.40197,NA,NA,7.47975,NA,NA,NA,e5087c64-9e17-422e-8544-521508b6facb,2025-05-04,18:07:16,2025-05-04T18:07:16Z,2025-05-04T18:07:16Z,NA,v3,471431,471355,04 May 2025 14:00-miamioh@samford,"Strand, Matthew",1000068590,Right,SAM_BUL,54.39174,-129.72423,12.86108,5.14532,3.15918,-11.9077,-2.45515,4.30564,-4.89718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-04,13:07:34,"Blasche, Mason",10186595,Right,SAM_BUL,Undefined,Fastball,NA,NA,89.05066,-0.134184,-2.852703,1957.721382,233.123981,01:45:00,5.2488,2.22709,6.14584,-27.00706,7.48847,8.71363,2.87406,0.31495,82.40492,-5.154888,-1.283322,0.42272,-5.23681,4.19185,-2.01432,50,5.22441,6.10945,-129.47241,-1.18425,-8.99893,23.90547,-24.97081,95866f5b-693b-4c21-99e8-889289d79138,NA,NA,NA,NA,151.493661,1000034148,"Baker, Dillon",4651.522257,NA,70.64037,Right,43.512446,NA,NA,NA,NA,54.80591,NA,NA,1.50365,2.9857,-0.28543,NA,NA,NA,NA,NA,1,4,MIA_RED,1,Top,0,2,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,MIA_RED,SamfordUniversity,D1,SOCON,20250504-SamfordUniversity-1,cc7a90a0-2912-11f0-8022-ad11f5442d7d,89.16642,42.78596,NA,6.64573,NA,NA,NA,e5087c64-9e17-422e-8544-521508b6facb,2025-05-04,18:07:34,2025-05-04T18:07:34Z,2025-05-04T18:07:34Z,NA,v3,471431,471355,04 May 2025 14:00-miamioh@samford,"Strand, Matthew",1000068590,Right,SAM_BUL,54.35658,-130.27431,11.95273,5.25008,-0.34661,-12.4854,-2.22432,6.41132,-4.49947,326.350796,1.50366,-66.02855,-0.04971,1.12159,0.37545,-1.97385,2.97576,-2.12206,0.58755,2.9857,71.33341,-28.45348,3.43279,-0.1485,-1.50082,2.28758,-1.58244,0.42073,-0.28543,35.85959,-8.24304,1.33416,0.05064,-0.81003,1.17841,-0.80371,0.21062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
5,2025-05-04,13:07:55,"Blasche, Mason",10186595,Right,SAM_BUL,Undefined,Fastball,NA,NA,90.36603,-2.156341,-3.792485,2179.314207,209.356231,01:00:00,5.20426,2.22796,6.05777,-21.078,12.67914,6.59138,1.44651,-0.73824,83.61037,-6.088266,-2.609295,0.418171,-4.35166,7.37544,-1.93658,50,5.02489,8.42546,-131.12529,-5.62127,-7.66434,24.71388,-19.18406,da91e914-0dc5-4c7f-b6ce-247d72b19a0e,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,MIA_RED,1,Top,0,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,MIA_RED,SamfordUniversity,D1,SOCON,20250504-SamfordUniversity-1,d929f0c0-2912-11f0-8022-ad11f5442d7d,90.13635,NA,NA,6.75566,NA,NA,NA,e5087c64-9e17-422e-8544-521508b6facb,2025-05-04,18:07:55,2025-05-04T18:07:55Z,2025-05-04T18:07:55Z,NA,v3,471431,471355,04 May 2025 14:00-miamioh@samford,"Strand, Matthew",1000068590,Right,SAM_BUL,54.44397,-131.96021,12.35694,5.20385,-4.97316,-9.59203,-2.2256,8.68439,-3.83217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-04,13:08:15,"Blasche, Mason",10186595,Right,SAM_BUL,Undefined,Fastball,NA,NA,90.15783,-1.78082,-3.298004,2163.873311,216.19035,01:15:00,5.22139,2.20176,6.02816,-19.95757,14.45835,9.74103,1.90573,-0.04423,82.10967,-5.551254,-1.548716,0.422232,-6.01048,8.3104,-1.94904,50,5.07109,7.13159,-130.72398,-4.68531,-10.35157,28.77125,-17.8615,854d03b3-ba58-4e0a-8acf-d81e659d4287,NA,NA,NA,NA,-22.017586,1000034148,"Baker, Dillon",1739.238524,NA,99.16392,Right,12.562606,99.97842,13.55841,-45.87185,193.24489,157.32627,1.691107,-27.543484,2.29365,2.06415,0.07729,NA,NA,NA,NA,NA,1,6,MIA_RED,1,Top,0,3,2,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,SAM_BUL,MIA_RED,SamfordUniversity,D1,SOCON,20250504-SamfordUniversity-1,e565ce90-2912-11f0-8022-ad11f5442d7d,89.26951,13.6814,NA,8.04816,NA,NA,NA,e5087c64-9e17-422e-8544-521508b6facb,2025-05-04,18:08:15,2025-05-04T18:08:15Z,2025-05-04T18:08:15Z,LineDrive,v3,471431,471355,04 May 2025 14:00-miamioh@samford,"Strand, Matthew",1000068590,Right,SAM_BUL,54.4721,-131.70458,14.38563,5.2204,-4.07655,-8.93075,-2.19811,7.4844,-5.17578,78.298419,2.29365,131.605,-22.74227,3.23211,-0.65313,0.1158,-0.02057,0.00368,-3.8e-4,2.06415,31.63413,-23.80786,3.52199,-0.79069,0.19199,-0.03876,0.00633,-5.9e-4,0.07729,-53.21888,-1.67887,1.6224,-0.45489,0.12451,-0.02739,0.00467,-4.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-05-04,13:08:54,"Blasche, Mason",10186595,Right,SAM_BUL,Undefined,Fastball,NA,NA,88.28832,-2.025137,-3.517647,2133.185795,217.058829,01:15:00,5.15303,2.3654,5.97181,-22.08883,14.03131,9.6563,1.43045,-0.09525,80.19803,-6.184513,-1.78577,0.43256,-6.04693,8.18741,-2.09204,50,4.98015,7.46691,-127.9025,-5.21327,-9.93433,28.41132,-18.72322,db788bfe-fb94-485d-9a3e-2f330abb47b6,NA,NA,NA,NA,NA,10035937,"Novak, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MIA_RED,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,MIA_RED,SamfordUniversity,D1,SOCON,20250504-SamfordUniversity-1,fc90e5f0-2912-11f0-8022-ad11f5442d7d,87.13813,NA,NA,8.09028,NA,NA,NA,e5087c64-9e17-422e-8544-521508b6facb,2025-05-04,18:08:54,2025-05-04T18:08:54Z,2025-05-04T18:08:54Z,NA,v3,471431,471355,04 May 2025 14:00-miamioh@samford,"Strand, Matthew",1000068590,Right,SAM_BUL,54.52769,-128.90433,14.20566,5.15233,-4.55306,-9.36161,-2.36151,7.8172,-4.96716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-04,13:09:16,"Blasche, Mason",10186595,Right,SAM_BUL,Undefined,Fastball,NA,NA,88.70738,-0.778058,-3.744221,2242.621825,217.749591,01:15:00,5.1664,2.4763,6.10888,-21.27328,14.40741,10.1841,2.67256,-0.1423,80.18944,-4.81704,-1.914482,0.42992,-6.4291,8.04225,-2.19372,50,5.09545,7.99369,-128.52668,-2.38174,-10.6317,29.47006,-18.87473,668e8309-8885-4652-9c20-9375f6ada8a7,NA,NA,NA,NA,-4.420593,10035937,"Novak, Ryan",NA,NA,49.54311,Left,-29.178231,NA,NA,NA,6.01224,2.83396,0.072036,-0.873481,1.42074,2.57107,0.26325,NA,NA,NA,NA,NA,2,2,MIA_RED,1,Top,0,0,1,Four-Seam,InPlay,Undefined,GroundBall,Out,2,0,NA,SAM_BUL,MIA_RED,SamfordUniversity,D1,SOCON,20250504-SamfordUniversity-1,09996290-2913-11f0-8022-ad11f5442d7d,87.6731,2.57107,NA,8.51794,NA,NA,NA,e5087c64-9e17-422e-8544-521508b6facb,2025-05-04,18:09:16,2025-05-04T18:09:16Z,2025-05-04T18:09:16Z,GroundBall,v3,471431,471355,04 May 2025 14:00-miamioh@samford,"Strand, Matthew",1000068590,Right,SAM_BUL,54.38975,-129.5293,14.73503,5.16556,-1.73959,-9.43737,-2.47183,8.3554,-5.31585,180,1.41523,63.72932,NA,NA,NA,NA,NA,NA,NA,2.57415,-35.69152,NA,NA,NA,NA,NA,NA,NA,0.26367,-4.92675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
9,2025-05-04,13:09:57,"Blasche, Mason",10186595,Right,SAM_BUL,Undefined,Fastball,NA,NA,84.18199,-2.763711,-4.019237,1984.348216,232.653504,01:45:00,4.9452,2.49298,6.05494,-26.05293,13.41268,15.86084,0.20758,0.08817,77.01493,-7.63308,-1.169868,0.452148,-9.47599,8.09563,-2.18915,50,4.71569,7.97962,-121.94464,-6.6786,-14.22121,24.72762,-20.02439,16b54de1-a363-4194-9b47-c38e55d3ffe4,NA,NA,NA,NA,NA,1000113533,"Zarlingo, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,MIA_RED,1,Top,2,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,MIA_RED,SamfordUniversity,D1,SOCON,20250504-SamfordUniversity-1,21c40fa0-2913-11f0-8022-ad11f5442d7d,83.36303,NA,NA,7.16706,NA,NA,NA,e5087c64-9e17-422e-8544-521508b6facb,2025-05-04,18:09:57,2025-05-04T18:09:57Z,2025-05-04T18:09:57Z,NA,v3,471431,471355,04 May 2025 14:00-miamioh@samford,"Strand, Matthew",1000068590,Right,SAM_BUL,54.44743,-122.84317,12.36381,4.94515,-5.95097,-10.0122,-2.48849,8.49637,-7.1106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-04,13:10:14,"Blasche, Mason",10186595,Right,SAM_BUL,Undefined,Fastball,NA,NA,89.88894,-1.010415,-2.624509,2233.740758,244.492428,02:15:00,5.13409,2.35046,6.09361,-24.75757,9.81398,18.11343,2.13526,1.4306,81.66052,-5.658469,0.637778,0.423186,-10.09501,5.71567,-2.15733,50,5.04318,5.21614,-130.43579,-3.10296,-17.25821,29.40037,-22.40265,7e285a4c-709b-4cd9-878d-a38205d0c923,NA,NA,NA,NA,NA,1000113533,"Zarlingo, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,MIA_RED,1,Top,2,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,MIA_RED,SamfordUniversity,D1,SOCON,20250504-SamfordUniversity-1,2c2476b0-2913-11f0-8022-ad11f5442d7d,89.06835,NA,NA,8.22842,NA,NA,NA,e5087c64-9e17-422e-8544-521508b6facb,2025-05-04,18:10:14,2025-05-04T18:10:14Z,2025-05-04T18:10:14Z,NA,v3,471431,471355,04 May 2025 14:00-miamioh@samford,"Strand, Matthew",1000068590,Right,SAM_BUL,54.40582,-131.42511,14.70018,5.13491,-2.34911,-11.20132,-2.34263,5.79688,-8.6291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
