PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-11,15:04:52,"Katskee, Cooper",811683,Right,MIA_RED,Undefined,Fastball,NA,NA,92.39253,-1.940884,-3.526393,2271.137961,216.376672,01:15:00,6.23568,1.69452,5.93074,-15.81174,16.85595,11.66709,3.11321,-0.6091,84.64079,-4.943261,-1.436085,0.411368,-6.91622,9.46847,-1.41915,50,6.07136,7.74926,-133.98574,-5.02446,-12.62118,27.90162,-14.89532,0d544713-f663-45d2-8ab5-61130f390160,NA,NA,NA,NA,NA,10080570,"Rienstra-Kiracofe, Micah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,KS_GF,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250411-McKieFieldStad-1,d99a8dc0-1707-11f0-871f-af4f266f1fa8,91.62704,NA,NA,7.75174,NA,NA,NA,88b6d39d-beb4-4e1d-b5e9-14350e784d69,2025-04-11,19:04:52,2025-04-11T19:04:52Z,2025-04-11T19:04:52Z,NA,v3,471355,471330,11 April 2025 15:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,54.56719,-134.93348,13.95081,6.23343,-4.5185,-7.44766,-1.68965,8.17796,-6.31059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-11,15:05:10,"Katskee, Cooper",811683,Right,MIA_RED,Undefined,Fastball,NA,NA,91.91625,-2.193743,-3.929418,2320.572386,212.841517,01:00:00,6.2109,1.6044,5.92988,-15.81056,17.1678,10.43032,2.8522,-1.17785,84.3948,-5.190865,-2.062358,0.41332,-6.36827,9.68386,-1.29597,50,6.02618,8.70245,-133.23952,-5.58942,-11.51874,26.97013,-14.65815,67525952-3f5d-4feb-8f5a-2f7a5b5b9141,NA,NA,NA,NA,NA,10080570,"Rienstra-Kiracofe, Micah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,KS_GF,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250411-McKieFieldStad-1,e49b7a90-1707-11f0-871f-af4f266f1fa8,91.1944,NA,NA,7.52145,NA,NA,NA,88b6d39d-beb4-4e1d-b5e9-14350e784d69,2025-04-11,19:05:10,2025-04-11T19:05:10Z,2025-04-11T19:05:10Z,NA,v3,471355,471330,11 April 2025 15:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,54.56825,-134.16103,13.48507,6.20861,-5.08858,-7.32908,-1.60004,9.09602,-5.75937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-11,15:05:30,"Katskee, Cooper",811683,Right,MIA_RED,Undefined,Fastball,NA,NA,91.27554,-2.160054,-4.057383,2272.750953,221.127222,01:15:00,6.19217,1.71098,5.94023,-18.90714,14.73178,11.9104,2.60688,-1.0665,83.36643,-5.724446,-1.924717,0.417438,-7.27977,8.4989,-1.39402,50,6.00893,8.87668,-132.23399,-5.59464,-12.88057,28.38373,-17.13643,e0023b83-f7cb-479a-abb3-56ff93c3d3aa,NA,NA,NA,NA,-7.458197,10080570,"Rienstra-Kiracofe, Micah",NA,NA,87.4896,Right,-45.379957,NA,NA,NA,4.13523,4.13523,0.028575,10.142652,1.51062,2.6163,1.06334,NA,NA,NA,NA,NA,1,3,KS_GF,1,Top,0,1,1,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250411-McKieFieldStad-1,f0b10bb0-1707-11f0-871f-af4f266f1fa8,90.29464,2.6163,NA,7.90912,NA,NA,NA,88b6d39d-beb4-4e1d-b5e9-14350e784d69,2025-04-11,19:05:30,2025-04-11T19:05:30Z,2025-04-11T19:05:30Z,GroundBall,v3,471355,471330,11 April 2025 15:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,54.55831,-133.20883,14.19187,6.19097,-5.00609,-8.56822,-1.70648,9.31907,-6.44029,NA,1.50962,89.58689,NA,NA,NA,NA,NA,NA,NA,2.61732,-91.55762,NA,NA,NA,NA,NA,NA,NA,1.06347,-11.72785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
4,2025-04-11,15:06:12,"Katskee, Cooper",811683,Right,MIA_RED,Undefined,Fastball,NA,NA,91.69271,-1.971392,-3.934505,2300.29395,220.170807,01:15:00,6.19088,1.77753,6.06759,-17.36615,15.66481,12.35264,2.91435,-0.8398,84.00653,-5.260968,-1.717037,0.413649,-7.40516,8.91221,-1.4787,50,6.02838,8.61757,-132.93149,-5.10764,-13.29839,27.52928,-16.16924,3c11b47d-e71b-422d-a8ae-a8b654965f4c,NA,NA,NA,NA,NA,1000132209,"Jatczak, Hayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,KS_GF,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250411-McKieFieldStad-1,096952c0-1708-11f0-871f-af4f266f1fa8,91.12175,NA,NA,7.68618,NA,NA,NA,88b6d39d-beb4-4e1d-b5e9-14350e784d69,2025-04-11,19:06:12,2025-04-11T19:06:12Z,2025-04-11T19:06:12Z,NA,v3,471355,471330,11 April 2025 15:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,54.43029,-133.84583,13.76464,6.1891,-4.57061,-8.08462,-1.77225,9.05925,-6.6492000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-11,15:06:31,"Katskee, Cooper",811683,Right,MIA_RED,Undefined,Curveball,NA,NA,78.07849,-0.0856,-0.925201,2644.691897,30.541134,07:00:00,6.25227,1.60733,5.34919,-61.24826,-14.29816,-9.30741,1.06795,-0.03614,72.04874,-11.124161,-2.586093,0.493162,4.42988,-6.80548,-1.51709,50,6.20019,2.19183,-113.4128,-2.3055,5.72838,22.13067,-40.97435,8bd44412-ee3d-4bf4-b8d9-bd0495507c8e,NA,NA,NA,NA,NA,1000132209,"Jatczak, Hayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,KS_GF,1,Top,1,0,1,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250411-McKieFieldStad-1,14cbe790-1708-11f0-871f-af4f266f1fa8,76.43012,NA,NA,6.02976,NA,NA,NA,88b6d39d-beb4-4e1d-b5e9-14350e784d69,2025-04-11,19:06:31,2025-04-11T19:06:31Z,2025-04-11T19:06:31Z,NA,v3,471355,471330,11 April 2025 15:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,55.15337,-114.41398,11.06533,6.26256,-0.45185,-20.48717,-1.61038,1.93268,2.86419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-11,15:06:54,"Katskee, Cooper",811683,Right,MIA_RED,Undefined,Slider,NA,NA,80.41819,0.632696,-1.494909,2388.820089,70.73841,08:15:00,6.03459,2.0075,5.54593,-45.55743,-1.89311,-9.17776,2.82963,-0.15463,74.08553,-7.678252,-3.13223,0.475592,4.23941,-0.74039,-1.87181,50,6.05906,3.40995,-116.81305,-0.26812,5.8651,21.74418,-33.19835,5c739a92-b7b3-4abc-851f-94651d9e4ba7,NA,NA,NA,NA,NA,1000132209,"Jatczak, Hayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,KS_GF,1,Top,1,0,2,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250411-McKieFieldStad-1,22add440-1708-11f0-871f-af4f266f1fa8,79.25368,NA,NA,6.33267,NA,NA,NA,88b6d39d-beb4-4e1d-b5e9-14350e784d69,2025-04-11,19:06:54,2025-04-11T19:06:54Z,2025-04-11T19:06:54Z,NA,v3,471355,471330,11 April 2025 15:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,54.95364,-117.73153,10.87209,6.04077,1.13419,-16.59917,-2.01061,3.1622,2.93255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-11,15:07:36,"Katskee, Cooper",811683,Right,MIA_RED,Undefined,Fastball,NA,NA,92.16586,-3.753175,-3.665842,2337.381099,213.06955,01:00:00,6.37044,1.76916,5.98837,-12.77174,20.51737,12.58213,1.81563,-0.58441,83.42396,-6.234916,-1.409791,0.415262,-7.55937,12.01879,-1.48654,50,6.06644,7.98682,-133.2621,-9.07943,-13.46352,31.1981,-10.76815,6e7d88bb-f109-491e-830d-a0a30be188e2,NA,NA,NA,NA,NA,10158373,"Casey, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,KS_GF,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250411-McKieFieldStad-1,3b94f380-1708-11f0-871f-af4f266f1fa8,90.76779,NA,NA,8.74189,NA,NA,NA,88b6d39d-beb4-4e1d-b5e9-14350e784d69,2025-04-11,19:07:36,2025-04-11T19:07:36Z,2025-04-11T19:07:36Z,NA,v3,471355,471330,11 April 2025 15:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,54.50776,-134.31327,15.59905,6.36625,-8.71662,-5.38407,-1.76328,8.44046,-6.73176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-11,15:07:58,"Katskee, Cooper",811683,Right,MIA_RED,Undefined,Curveball,NA,NA,77.00879,1.373412,0.437448,2483.256119,34.616191,07:15:00,6.33091,1.75402,5.6352,-59.83712,-12.33261,-9.50898,2.62609,1.36973,71.03987,-9.510166,-1.265798,0.496065,4.92016,-6.11776,-1.78516,50,6.40972,-0.49183,-111.92997,0.67576,6.2341,20.43536,-39.9256,e07e2fe4-c505-4597-ae73-81ab8dbe4c07,NA,NA,NA,NA,NA,10158373,"Casey, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,KS_GF,1,Top,2,1,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250411-McKieFieldStad-1,48370d30-1708-11f0-871f-af4f266f1fa8,75.98281,NA,NA,5.96892,NA,NA,NA,88b6d39d-beb4-4e1d-b5e9-14350e784d69,2025-04-11,19:07:58,2025-04-11T19:07:58Z,2025-04-11T19:07:58Z,NA,v3,471355,471330,11 April 2025 15:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,54.8667,-112.815,10.21768,6.34301,2.40488,-19.9628,-1.75802,-0.76182,3.11705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-11,15:08:19,"Katskee, Cooper",811683,Right,MIA_RED,Undefined,Fastball,NA,NA,91.31727,-2.617572,-2.218315,2342.023428,201.315908,12:45:00,6.29659,1.76375,6.00714,-12.89489,20.5971,7.60638,2.79345,0.34142,83.25589,-5.11286,-0.851535,0.416526,-4.51177,11.63186,-1.59347,50,6.08351,4.79918,-132.42832,-6.38147,-7.99759,28.76016,-11.55541,07eaa5d6-13fe-46a2-a285-5d2a03f4ca3f,NA,NA,NA,NA,-170.538861,10158373,"Casey, Jake",1523.941428,NA,76.12357,Right,14.267802,-108.06555,8.1486,-20.53806,142.06258,45.33464,1.497954,-169.049794,1.8983,2.68985,-0.31939,NA,NA,NA,NA,NA,3,3,KS_GF,1,Top,2,2,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250411-McKieFieldStad-1,55089b50-1708-11f0-871f-af4f266f1fa8,90.49251,11.81615,NA,8.06138,NA,NA,NA,88b6d39d-beb4-4e1d-b5e9-14350e784d69,2025-04-11,19:08:19,2025-04-11T19:08:19Z,2025-04-11T19:08:19Z,LineDrive,v3,471355,471330,11 April 2025 15:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,54.48877,-133.39961,14.38008,6.29244,-5.99122,-5.7777,-1.76011,5.06927,-3.9988,331.728214,1.8171,-105.96588,7.80158,NA,NA,NA,NA,NA,NA,2.8892,25.68137,-18.51167,NA,NA,NA,NA,NA,NA,-0.2942,-18.02016,0.12464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
10,2025-04-11,15:08:44,"Katskee, Cooper",811683,Right,MIA_RED,Undefined,ChangeUp,NA,NA,84.50226,-1.308801,-1.762271,1803.97537,209.82841,01:00:00,6.10388,1.9646,6.44915,-27.71942,11.37961,5.67292,2.59071,0.81777,75.92897,-6.570115,-0.733045,0.450043,-3.59547,6.8202,-1.84225,50,5.99888,3.56123,-122.57434,-3.57599,-5.34286,29.48154,-22.0393,f733f93b-6440-4a34-99f9-dfc033089eed,NA,NA,NA,NA,-25.045488,10158373,"Casey, Jake",NA,NA,53.65168,Right,-23.624829,NA,NA,NA,9.131,8.86171,0.086111,-22.518346,2.87161,2.74701,-0.84952,NA,NA,NA,NA,NA,3,4,KS_GF,1,Top,2,2,1,Changeup,InPlay,Undefined,GroundBall,Single,0,0,NA,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250411-McKieFieldStad-1,63c94f40-1708-11f0-871f-af4f266f1fa8,83.75292,2.74701,NA,8.5733,NA,NA,NA,88b6d39d-beb4-4e1d-b5e9-14350e784d69,2025-04-11,19:08:44,2025-04-11T19:08:44Z,2025-04-11T19:08:44Z,GroundBall,v3,471355,471330,11 April 2025 15:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,54.04686,-123.54386,14.74077,6.10456,-2.85122,-11.01965,-1.96225,3.73694,-2.67143,140.055649,2.87164,65.31019,-8.19353,NA,NA,NA,NA,NA,NA,2.747,-31.53278,-4.27263,NA,NA,NA,NA,NA,NA,-0.84951,-30.52229,-2.58789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
