PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-29,14:54:05,"Benko, Troy",10267339,Right,MIA_RED,Undefined,Fastball,NA,NA,88.95034,-1.166787,-1.582022,2178.380798,218.917658,01:15:00,6.07844,0.876,6.50147,-18.27284,16.86174,12.55087,3.48424,0.46951,79.82971,-4.70728,0.696472,0.426618,-7.00886,9.563,-0.76987,50,5.98858,3.04741,-129.03,-3.08623,-11.58292,31.78501,-16.37015,4f652977-b6fc-4e20-a52d-d7cd2df7011a,NA,NA,NA,NA,NA,10021383,"Mally, Tanner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,WMI_BRO,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,WMI_BRO,McKieFieldStad,D1,MAC,20250329-McKieFieldStad-2,30dda100-0ccf-11f0-8006-69ea90d30230,88.35177,NA,NA,9.12063,NA,NA,NA,a17bc8cf-963e-4a6e-8b7a-dcfe947dbbcc,2025-03-29,18:54:05,2025-03-29T18:54:05Z,2025-03-29T18:54:05Z,NA,v3,471355,471491,NA,"Novak, David",1000076952,Right,MIA_RED,53.99136,-130.0095,15.89251,6.07592,-2.58176,-8.18508,-0.86928,3.40436,-5.79146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-29,14:54:18,"Benko, Troy",10267339,Right,MIA_RED,Undefined,Fastball,NA,NA,89.25408,-0.10315,-2.012492,2227.961087,212.631621,01:00:00,6.01491,0.95022,6.51643,-14.853,20.16434,12.04804,4.68245,0.10688,79.6294,-3.040744,0.173851,0.425905,-6.90689,10.90713,-0.8142,50,6.00068,4.04581,-129.41023,-0.54237,-11.43512,32.97233,-14.11604,22f05640-18cf-4660-9b93-42da1a00ac26,NA,NA,NA,NA,NA,10021383,"Mally, Tanner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,WMI_BRO,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,WMI_BRO,McKieFieldStad,D1,MAC,20250329-McKieFieldStad-2,3840cda0-0ccf-11f0-8006-69ea90d30230,88.49956,NA,NA,9.62468,NA,NA,NA,a17bc8cf-963e-4a6e-8b7a-dcfe947dbbcc,2025-03-29,18:54:18,2025-03-29T18:54:18Z,2025-03-29T18:54:18Z,NA,v3,471355,471491,NA,"Novak, David",1000076952,Right,MIA_RED,53.97533,-130.41917,16.48617,6.01067,-0.11042,-7.05802,-0.94335,4.39572,-5.71756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-29,14:54:33,"Benko, Troy",10267339,Right,MIA_RED,Undefined,Fastball,NA,NA,89.44441,-1.435557,-2.806899,2221.491147,219.539833,01:15:00,6.01855,0.80601,6.49862,-17.64265,17.18808,13.09694,3.22881,-0.68102,80.17788,-4.86104,-0.43219,0.424769,-7.7291,9.83036,-0.61438,50,5.91003,5.81877,-129.63316,-3.69044,-12.88292,32.27344,-15.78869,8e39c6df-4c22-4d0d-a3bd-9dca114afc99,NA,NA,NA,NA,NA,10021383,"Mally, Tanner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,WMI_BRO,1,Top,0,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,WMI_BRO,McKieFieldStad,D1,MAC,20250329-McKieFieldStad-2,4110d0b0-0ccf-11f0-8006-69ea90d30230,88.73631,NA,NA,9.26653,NA,NA,NA,a17bc8cf-963e-4a6e-8b7a-dcfe947dbbcc,2025-03-29,18:54:33,2025-03-29T18:54:33Z,2025-03-29T18:54:33Z,NA,v3,471355,471491,NA,"Novak, David",1000076952,Right,MIA_RED,53.99492,-130.62395,16.13672,6.01589,-3.20573,-7.89435,-0.79908,6.21428,-6.44146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-29,14:54:47,"Benko, Troy",10267339,Right,MIA_RED,Undefined,Fastball,NA,NA,90.0984,-3.876354,-3.400274,2316.943632,218.254521,01:15:00,6.00812,0.80503,6.31167,-14.97343,19.73706,14.50398,1.17791,-1.12211,80.91914,-6.791445,-0.78151,0.424035,-8.6641,11.93776,-0.56236,50,5.71619,7.14171,-130.25236,-9.20163,-14.59023,32.40446,-12.07109,79a16c3d-de09-4691-896a-750263c60400,NA,NA,NA,NA,NA,10021383,"Mally, Tanner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,WMI_BRO,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,WMI_BRO,McKieFieldStad,D1,MAC,20250329-McKieFieldStad-2,4980d970-0ccf-11f0-8006-69ea90d30230,88.88989,NA,NA,9.17926,NA,NA,NA,a17bc8cf-963e-4a6e-8b7a-dcfe947dbbcc,2025-03-29,18:54:47,2025-03-29T18:54:47Z,2025-03-29T18:54:47Z,NA,v3,471355,471491,NA,"Novak, David",1000076952,Right,MIA_RED,54.18377,-131.28908,16.20223,6.0044,-8.81544,-6.03554,-0.79832,7.60849,-7.29511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-29,14:55:03,"Benko, Troy",10267339,Right,MIA_RED,Undefined,Fastball,NA,NA,89.03711,-1.721292,-2.995988,2220.994703,216.831616,01:15:00,6.0802,0.99519,6.51201,-16.1519,18.93985,13.19654,3.15204,-0.65685,79.93149,-4.875513,-0.603409,0.426358,-7.87245,10.85217,-0.79122,50,5.95271,6.22547,-129.0446,-4.26063,-13.02158,31.63097,-14.22373,329e17d5-8fc7-4876-8a86-dbc1ebc16191,NA,NA,NA,NA,NA,10021383,"Mally, Tanner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,WMI_BRO,1,Top,0,3,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,WMI_BRO,McKieFieldStad,D1,MAC,20250329-McKieFieldStad-2,53895c80-0ccf-11f0-8006-69ea90d30230,88.4057,NA,NA,9.10562,NA,NA,NA,a17bc8cf-963e-4a6e-8b7a-dcfe947dbbcc,2025-03-29,18:55:03,2025-03-29T18:55:03Z,2025-03-29T18:55:03Z,NA,v3,471355,471491,NA,"Novak, David",1000076952,Right,MIA_RED,53.98276,-130.01718,15.81549,6.07699,-3.82329,-7.11187,-0.98879,6.62585,-6.51079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-29,14:55:20,"Benko, Troy",10267339,Right,MIA_RED,Undefined,Fastball,NA,NA,88.46146,-0.9728,-1.960096,2228.797436,209.158921,01:00:00,6.07342,0.93296,6.53031,-15.65052,20.00851,10.38847,3.87622,-8e-5,78.95654,-4.056575,-0.074189,0.42979,-6.05221,11.1604,-0.80052,50,5.99863,3.96378,-128.24379,-2.51444,-9.83273,32.56634,-14.04233,1dfa7303-070c-423c-b63a-49c219e2b986,NA,NA,NA,NA,NA,10021383,"Mally, Tanner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,WMI_BRO,1,Top,0,3,2,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,MIA_RED,WMI_BRO,McKieFieldStad,D1,MAC,20250329-McKieFieldStad-2,5d6c7d40-0ccf-11f0-8006-69ea90d30230,87.69968,NA,NA,9.50492,NA,NA,NA,a17bc8cf-963e-4a6e-8b7a-dcfe947dbbcc,2025-03-29,18:55:20,2025-03-29T18:55:20Z,2025-03-29T18:55:20Z,NA,v3,471355,471491,NA,"Novak, David",1000076952,Right,MIA_RED,53.96158,-129.24588,16.28317,6.06935,-2.08235,-7.02117,-0.92714,4.26635,-4.91636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-29,14:55:51,"Benko, Troy",10267339,Right,MIA_RED,Undefined,Fastball,NA,NA,89.37063,-2.169685,-2.152396,2232.928805,223.329277,01:30:00,6.01541,1.71094,6.25585,-18.80678,16.31576,14.15536,2.44511,0.90486,80.41661,-5.778265,0.405091,0.426544,-8.06036,9.56276,-1.55789,50,5.8451,4.29071,-129.54901,-5.43051,-13.44519,31.72511,-16.22271,85d85046-55ee-40e0-b642-2e684d676ead,NA,NA,NA,NA,-110.502057,1000215896,"Mee, Grady",3724.265421,NA,65.24779,Left,47.908926,NA,NA,NA,NA,16.9907,NA,NA,1.28754,2.30761,-0.94416,NA,NA,NA,NA,NA,2,1,WMI_BRO,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,WMI_BRO,McKieFieldStad,D1,MAC,20250329-McKieFieldStad-2,6feaae60-0ccf-11f0-8006-69ea90d30230,88.36697,19.4891,NA,8.95402,NA,NA,NA,a17bc8cf-963e-4a6e-8b7a-dcfe947dbbcc,2025-03-29,18:55:51,2025-03-29T18:55:51Z,2025-03-29T18:55:51Z,NA,v3,471355,471491,NA,"Novak, David",1000076952,Right,MIA_RED,54.24007,-130.58323,15.86256,6.0135,-4.90166,-8.11136,-1.70491,4.72901,-6.7226,NA,1.2874,-22.45954,1.07213,NA,NA,NA,NA,NA,NA,2.30797,70.99598,-17.73567,NA,NA,NA,NA,NA,NA,-0.94427,-60.0777,1.35037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
8,2025-03-29,14:56:41,"Benko, Troy",10267339,Right,MIA_RED,Undefined,ChangeUp,NA,NA,83.60775,-0.844695,-1.437033,1923.305698,271.95198,03:00:00,5.986,1.55997,5.95213,-40.29171,1.18146,18.19926,1.84468,1.74357,73.97785,-8.355378,1.839975,0.463506,-9.82969,1.49937,-1.45549,50,5.89716,2.28164,-120.97253,-3.11835,-13.95453,32.81724,-30.04548,bfcc116a-090e-45ca-aa9c-d34292e1f5f1,NA,NA,NA,NA,NA,1000215896,"Mee, Grady",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,WMI_BRO,1,Top,0,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,WMI_BRO,McKieFieldStad,D1,MAC,20250329-McKieFieldStad-2,8d94ace0-0ccf-11f0-8006-69ea90d30230,81.32037,NA,NA,9.62989,NA,NA,NA,a17bc8cf-963e-4a6e-8b7a-dcfe947dbbcc,2025-03-29,18:56:41,2025-03-29T18:56:41Z,2025-03-29T18:56:41Z,NA,v3,471355,471491,NA,"Novak, David",1000076952,Right,MIA_RED,54.54037,-122.19803,16.40862,5.99266,-1.99636,-15.02274,-1.55042,2.80274,-6.97727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-29,14:56:59,"Benko, Troy",10267339,Right,MIA_RED,Undefined,Fastball,NA,NA,88.30185,-1.141648,-1.726561,2223.797038,212.872302,01:00:00,5.99484,1.45084,6.26494,-16.09895,20.16139,12.09221,3.6001,0.86623000000000006,78.59624,-4.300369,0.458171,0.433398,-6.82091,11.22839,-1.32827,50,5.90226,3.34766,-127.93024,-2.92484,-10.99317,33.1505,-14.0774,b81b9d5c-7109-4977-adb8-7d217a796a94,NA,NA,NA,NA,NA,1000215896,"Mee, Grady",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,WMI_BRO,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,WMI_BRO,McKieFieldStad,D1,MAC,20250329-McKieFieldStad-2,98620690-0ccf-11f0-8006-69ea90d30230,86.96949,NA,NA,9.7056,NA,NA,NA,a17bc8cf-963e-4a6e-8b7a-dcfe947dbbcc,2025-03-29,18:56:59,2025-03-29T18:56:59Z,2025-03-29T18:56:59Z,NA,v3,471355,471491,NA,"Novak, David",1000076952,Right,MIA_RED,54.22706,-129.02094,16.57525,5.99087,-2.46167,-7.0387,-1.44436,3.70935,-5.49658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-29,14:57:34,"Benko, Troy",10267339,Right,MIA_RED,Undefined,Fastball,NA,NA,89.13029,-1.723093,-2.684411,2221.544304,219.587111,01:15:00,5.98226,1.60308,6.2292,-14.97544,21.59359,16.41131,3.14239,0.4923,77.45115,-4.730556,0.276508,0.435239,-9.58678,12.34824,-1.41003,50,5.84616,5.32454,-128.70433,-4.1856,-15.23962,39.68233,-12.54469,09d0bf76-6fd3-4027-b7ff-c9bdfdbe6f15,NA,NA,NA,NA,-160.178866,1000215896,"Mee, Grady",2548.59754,NA,66.24275,Left,32.417230000000004,NA,NA,NA,NA,43.94982,NA,NA,1.16156,3.13336,-0.49964,NA,NA,NA,NA,NA,2,4,WMI_BRO,1,Top,0,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MIA_RED,WMI_BRO,McKieFieldStad,D1,MAC,20250329-McKieFieldStad-2,ad41f570-0ccf-11f0-8006-69ea90d30230,86.60164,24.19855,NA,11.67914,NA,NA,NA,a17bc8cf-963e-4a6e-8b7a-dcfe947dbbcc,2025-03-29,18:57:34,2025-03-29T18:57:34Z,2025-03-29T18:57:34Z,NA,v3,471355,471491,NA,"Novak, David",1000076952,Right,MIA_RED,54.25993,-130.01112,19.84116,5.9772,-3.77248,-6.27235,-1.59364,5.8264,-7.61981,357.510492,1.16156,-77.1568,6.62739,0.36806,-0.16824,0.07643,-0.01751,0.0024,0,3.13336,52.08339,-28.83279,3.75734,-0.78837,0.16641,-0.03186,0.00882,-0.00207,-0.49964,-27.81031,2.0292,-0.03249,-0.01315,0.01279,-0.00402,0.00141,-4.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
