PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,14:02:27,"Quevedo, Michael",827016,Left,KAN_WIL,Undefined,Fastball,NA,NA,88.99411,-1.482991,6.721797,2185.800406,134.047225,10:30:00,5.494,-2.60781,5.67784,-18.34383,17.82288,-17.13198,2.57301,2.25953,80.65626,-4.957949,3.69172,0.432839,10.57548,9.81603,2.0495,50,5.35676,-14.36103,-128.28651,-3.89865,17.55769,27.4696,-15.8772,49e214d8-7c43-49cc-87a1-22abf46bb190,NA,NA,NA,NA,NA,1000072654,"Kim, Jonathan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MIC_WOL,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,MIC_WOL,Arlington,D1,BIG10,20250222-Arlington-1,f0ced3f0-f157-11ef-82ba-539ef0f79d08,87.08195,NA,NA,8.33785,NA,NA,NA,d249f111-4e06-41fe-be4e-f1bd177df421,2025-02-22,20:02:27,2025-02-22T20:02:27Z,2025-02-22T20:02:27Z,NA,v3,471328,2290,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.81889,-129.31425,13.7348,5.49151,-3.30463,-7.9386,2.59909,-15.01793,8.77885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-22,14:02:40,"Quevedo, Michael",827016,Left,KAN_WIL,Undefined,Fastball,NA,NA,88.22315,-1.253035,4.59419,2086.059452,121.278531,10:00:00,5.46309,-2.60884,5.56511,-22.6595,14.00383,-21.00741,2.40029,-0.05846,80.18007,-5.491071,0.860346,0.4358,11.98426,7.80748,2.2262,50,5.34001,-9.34955,-127.68252,-3.55609,19.70326,27.29107,-19.33781,0a555542-604f-4895-a83f-6010182541f4,NA,NA,NA,NA,-32.529303,1000072654,"Kim, Jonathan",5021.595645,NA,63.2843,Left,29.358244,85.50848,32.74768,-69.19732,178.67921,176.99439,2.991727,-43.285962,0.8228,2.38817,0.09074,NA,NA,NA,NA,NA,1,2,MIC_WOL,1,Top,0,1,0,Sinker,InPlay,Undefined,LineDrive,Double,0,0,NA,KAN_WIL,MIC_WOL,Arlington,D1,BIG10,20250222-Arlington-1,f8e9b7d0-f157-11ef-82ba-539ef0f79d08,86.4902,33.47582,NA,8.04308,NA,NA,NA,d249f111-4e06-41fe-be4e-f1bd177df421,2025-02-22,20:02:40,2025-02-22T20:02:40Z,2025-02-22T20:02:40Z,FlyBall,v3,471328,2290,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.93392,-128.73279,13.64554,5.46254,-2.81189,-9.6689,2.6006,-10.10781,9.85163,130.920847,0.82256,68.21574,-13.87762,3.31976,-1.06403,0.46448,-0.17181,0.03562,-0.00293,2.38834,45.49765,-17.89244,0.91731,0.1364,-0.20465,0.09133,-0.01815,0.00135,0.09088,-43.50549,0.36009,0.44228,-0.15469,0.034,-0.00603,5.2e-4,-1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-02-22,14:03:29,"Quevedo, Michael",827016,Left,KAN_WIL,Undefined,Fastball,NA,NA,87.55673,-1.640507,3.357771,2116.565519,120.856128,10:00:00,5.2781,-2.9356,5.74392,-23.13529,13.88639,-21.09005,1.81971,-1.56326,79.43251,-5.982397,-0.412581,0.437925,11.63146,7.93122,2.66875,50,5.1275,-6.52061,-126.83917,-4.3802,18.80304,27.8067,-19.35268,219c9f0b-db08-4470-b2a7-a514676015c7,NA,NA,NA,NA,NA,830090,"Ladehoff, Cade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MIC_WOL,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,MIC_WOL,Arlington,D1,BIG10,20250222-Arlington-1,16205b10-f158-11ef-82ba-539ef0f79d08,86.07059,NA,NA,8.12422,NA,NA,NA,d249f111-4e06-41fe-be4e-f1bd177df421,2025-02-22,20:03:29,2025-02-22T20:03:29Z,2025-02-22T20:03:29Z,NA,v3,471328,2290,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.75264,-127.87684,13.90335,5.27748,-3.65802,-9.67634,2.92517,-7.22228,9.40152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-22,14:03:45,"Quevedo, Michael",827016,Left,KAN_WIL,Undefined,ChangeUp,NA,NA,79.97786,0.356238,2.800865,1921.351889,111.763628,09:45:00,5.33841,-2.81949,5.29958,-36.05671,8.91481,-18.53662,2.66853,-1.73264,72.76528,-6.280816,-0.487341,0.482659,10.0413,4.8226,2.57857,50,5.34494,-4.89971,-115.90227,-0.49497,13.58264,22.79083,-25.65065,d7674564-a515-4c13-a098-7a20e739c343,NA,NA,NA,NA,NA,830090,"Ladehoff, Cade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,MIC_WOL,1,Top,0,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,MIC_WOL,Arlington,D1,BIG10,20250222-Arlington-1,1f5b7c00-f158-11ef-82ba-539ef0f79d08,78.09336,NA,NA,7.21257,NA,NA,NA,d249f111-4e06-41fe-be4e-f1bd177df421,2025-02-22,20:03:45,2025-02-22T20:03:45Z,2025-02-22T20:03:45Z,NA,v3,471328,2290,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,55.19729,-116.91979,11.39541,5.34148,0.65023,-12.82533,2.81086,-5.50612,6.79132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-22,14:04:03,"Quevedo, Michael",827016,Left,KAN_WIL,Undefined,Fastball,NA,NA,88.99297,-1.058152,4.691771,2240.696952,128.039953,10:15:00,5.43191,-2.78584,5.66367,-19.91131,16.05725,-18.94277,2.78253,0.02026,80.67122,-4.817235,1.320917,0.431651,11.04772,8.82784,2.40094,50,5.32986,-9.75328,-128.77744,-3.01901,18.43846,28.27165,-17.440550000000002,1619a884-6c16-4af6-97d4-904f3ac42cc0,NA,NA,NA,NA,50.484382,830090,"Ladehoff, Cade",5238.417199,NA,78.58933,Right,59.434104,41.68582,113.09986,101.79533,179.29059,92.60336,5.278008,71.216682,1.00185,3.02551,0.01948,NA,NA,NA,NA,NA,2,3,MIC_WOL,1,Top,0,2,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,MIC_WOL,Arlington,D1,BIG10,20250222-Arlington-1,2a516c50-f158-11ef-82ba-539ef0f79d08,87.32152,114.64414,NA,8.32175,NA,NA,NA,d249f111-4e06-41fe-be4e-f1bd177df421,2025-02-22,20:04:03,2025-02-22T20:04:03Z,2025-02-22T20:04:03Z,Popup,v3,471328,2290,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.83509,-129.83459,14.13582,5.43056,-2.36686,-8.72028,2.77853,-10.44274,9.21923,205.780351,1.01049,37.00078,-15.44129,2.42991,1.68393,-1.25532,0.35775,-0.04764,0.00244,3.00893,99.54689,-28.2272,4.46802,-1.38314,0.33709,-0.0443,0.00199,4e-5,0.01284,45.35213,-4.64049,1.1563,-0.61467,0.26987,-0.06746,0.00861,-4.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
6,2025-02-22,14:04:47,"Quevedo, Michael",827016,Left,KAN_WIL,Undefined,Fastball,NA,NA,87.97873,-1.683308,5.254874,2210.836278,119.101562,10:00:00,5.32842,-2.80366,5.77362,-23.51911,13.46217,-21.73718,1.79506,0.28851,79.29268,-6.107617,1.381415,0.437686,12.65764,7.77394,2.38146,50,5.17478,-10.74364,-127.08577,-4.50305,20.43405,29.17623,-19.62408,c49caff0-e4c0-4dbd-9990-78055067c420,NA,NA,NA,NA,NA,830090,"Ladehoff, Cade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,MIC_WOL,1,Top,0,2,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,MIC_WOL,Arlington,D1,BIG10,20250222-Arlington-1,44a49eb0-f158-11ef-82ba-539ef0f79d08,86.1176,NA,NA,8.68605,NA,NA,NA,d249f111-4e06-41fe-be4e-f1bd177df421,2025-02-22,20:04:47,2025-02-22T20:04:47Z,2025-02-22T20:04:47Z,NA,v3,471328,2290,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.72311,-128.16551,14.58811,5.32799,-3.77681,-9.81204,2.79305,-11.49985,10.21702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-22,14:05:11,"Quevedo, Michael",827016,Left,KAN_WIL,Undefined,Fastball,NA,NA,88.78575,-0.279034,5.526763,2171.172091,125.243329,10:15:00,5.39811,-2.80908,5.6525,-20.69178,15.73009,-20.40159,3.41233,0.66136,79.93466,-4.192481,1.904984,0.434363,11.93386,8.41319,2.35222,50,5.36146,-11.48801,-128.22302,-1.27844,19.65851,29.12202,-18.31511,9e30f37b-b857-4faa-8a14-382e0cfb38a2,NA,NA,NA,NA,NA,830090,"Ladehoff, Cade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,MIC_WOL,1,Top,0,2,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,KAN_WIL,MIC_WOL,Arlington,D1,BIG10,20250222-Arlington-1,5285ef20-f158-11ef-82ba-539ef0f79d08,86.77641,NA,NA,8.8511,NA,NA,NA,d249f111-4e06-41fe-be4e-f1bd177df421,2025-02-22,20:05:11,2025-02-22T20:05:11Z,2025-02-22T20:05:11Z,NA,v3,471328,2290,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.84329,-129.31835,14.56101,5.39659,-0.58958,-9.15755,2.79821,-12.2274,9.82925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-22,14:05:50,"Quevedo, Michael",827016,Left,KAN_WIL,Undefined,Fastball,NA,NA,87.75238,-1.717482,4.353304,2122.757631,123.263539,10:00:00,5.44613,-2.60359,5.77885,-22.35678,14.60139,-20.25336,1.97994,-0.23305,79.38943,-5.928222,0.737124,0.437549,11.70091,8.35268,2.25634,50,5.29071,-8.81452,-126.98218,-4.52334,18.90772,28.50716,-18.67681,48f53848-25d9-4b5e-a51a-a3e6ab3a65e1,NA,NA,NA,NA,9.703289,822709,"Ybarra, Jeter",3425.418563,NA,107.63886,Left,9.05653,108.29944,15.10384,19.26717,267.96528,263.45888,2.325585,11.4077,1.92333,1.9913,0.22805,NA,NA,NA,NA,NA,3,1,MIC_WOL,1,Top,1,0,0,Sinker,InPlay,Undefined,LineDrive,Double,0,1,NA,KAN_WIL,MIC_WOL,Arlington,D1,BIG10,20250222-Arlington-1,69b74810-f158-11ef-82ba-539ef0f79d08,86.14453,16.49109,NA,8.36295,NA,NA,NA,d249f111-4e06-41fe-be4e-f1bd177df421,2025-02-22,20:05:50,2025-02-22T20:05:50Z,2025-02-22T20:05:50Z,LineDrive,v3,471328,2290,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.71952,-128.03731,14.25358,5.44533,-3.83206,-9.33841,2.59554,-9.51435,9.45386,185.616437,1.92334,153.67173,-28.01742,6.60864,-1.58242,0.50691,-0.17569,0.04016,-0.00397,1.99126,24.85031,-9.58054,-1.5762100000000001,1.02908,-0.66532,0.30827,-0.07789,0.00806,0.22807,26.27655,-3.71393,1.7394,-0.73479,0.37941,-0.16207,0.03996,-0.00409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-02-22,14:06:09,"Quevedo, Michael",827016,Left,KAN_WIL,Undefined,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000233563,"Voit, Mitchell",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,MIC_WOL,1,Top,1,0,0,NA,BallIntentional,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,MIC_WOL,Arlington,D1,BIG10,20250222-Arlington-1,c05bc0f0-f20d-11ef-96f8-978ab62a863d,NA,NA,NA,NA,NA,NA,NA,d249f111-4e06-41fe-be4e-f1bd177df421,2025-02-22,20:06:09,2025-02-22T20:06:09Z,2025-02-22T20:06:09Z,NA,v3,471328,2290,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-02-22,14:06:28,"Quevedo, Michael",827016,Left,KAN_WIL,Undefined,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000233563,"Voit, Mitchell",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,MIC_WOL,1,Top,1,1,0,NA,BallIntentional,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,MIC_WOL,Arlington,D1,BIG10,20250222-Arlington-1,c05bc0f1-f20d-11ef-96f8-978ab62a863d,NA,NA,NA,NA,NA,NA,NA,d249f111-4e06-41fe-be4e-f1bd177df421,2025-02-22,20:06:28,2025-02-22T20:06:28Z,2025-02-22T20:06:28Z,NA,v3,471328,2290,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
