PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-15,18:07:37,"Tompkins, Mason",10094249,Right,WIN_EAG,Undefined,Fastball,NA,NA,86.88065,-0.944937,-0.531662,2056.192171,207.45149,01:00:00,5.62279,0.91518,5.52401,-16.72698,21.08147,10.27772,3.34536,1.27461,78.72062,-4.142613,1.30031,0.442554,-5.29965,11.26886,-0.87578,50,5.52974,0.71309,-126.00121,-2.5515,-8.45366,27.46159,-14.19867,a3773431-1fb4-47a4-8172-d2f6d3c75b99,NA,NA,NA,NA,NA,1000268620,"Durschlag, Konni",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,HIG_PAN,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WIN_EAG,HIG_PAN,WinthropUniversity,D1,BSOU,20250515-WinthropUniversity-1,02828da0-31d9-11f0-b4d5-4fad63707fe4,85.17035,NA,NA,8.16002,NA,NA,NA,5f7045b3-91e2-47d9-b462-a34fe5686d01,2025-05-15,22:07:37,2025-05-15T22:07:37Z,2025-05-15T22:07:37Z,NA,v3,471494,471515,15 May 2025 18:00-highpoint@winthrop,"Chronis, Nathanial",1000238620,Right,WIN_EAG,54.96945,-127.07968,13.73079,5.61899,-1.99389,-7.09934,-0.91031,1.04508,-4.22683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-15,18:07:55,"Tompkins, Mason",10094249,Right,WIN_EAG,Undefined,Fastball,NA,NA,87.90984,-1.192413,-1.898509,2070.351249,214.890973,01:15:00,5.62111,1.01033,5.47418,-17.95253,18.83784,12.30312,3.0085,0.25843,80.15871,-4.584339,0.291495,0.436555,-6.76016,10.19977,-0.85232,50,5.50451,3.69262,-127.54615,-3.21735,-11.11763,26.63838,-15.39968,d6a05477-e376-4bcb-b4b6-aa92976c2a74,NA,NA,NA,NA,2.560245,1000268620,"Durschlag, Konni",3668.017924,NA,82.69789,Right,28.58294,109.40233,50.91514,11.4503,300.99748,296.17341,4.342929,11.556206,0.77277,3.01286,-0.25486,NA,NA,NA,NA,NA,1,2,HIG_PAN,1,Top,0,1,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,WIN_EAG,HIG_PAN,WinthropUniversity,D1,BSOU,20250515-WinthropUniversity-1,0d94b880-31d9-11f0-b4d5-4fad63707fe4,86.34072,59.73868,NA,7.75113,NA,NA,NA,5f7045b3-91e2-47d9-b462-a34fe5686d01,2025-05-15,22:07:55,2025-05-15T22:07:55Z,2025-05-15T22:07:55Z,LineDrive,v3,471494,471515,15 May 2025 18:00-highpoint@winthrop,"Chronis, Nathanial",1000238620,Right,WIN_EAG,55.02277,-128.59088,13.31919,5.61886,-2.61338,-7.69984,-1.0057,4.12865,-5.55881,214.831983,0.77498,106.34792,-17.27919,3.30556,-0.31628,-0.07999,0.03232,-0.00378,1.3e-4,3.01177,58.05177,-16.0159,0.6228,8.9e-4,-0.04052,0.02391,-0.00509,3.6e-4,-0.25515,4.76507,5.94855,-2.12595,0.56346,-0.1128,0.0186,-0.00223,1.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-05-15,18:08:37,"Tompkins, Mason",10094249,Right,WIN_EAG,Undefined,Fastball,NA,NA,87.13405,-1.35632,-1.241911,1959.791091,209.011913,01:00:00,5.51961,1.2362,5.5858,-18.58273,18.98977,9.8039,2.704,0.89332,78.89408,-4.88607,0.507589,0.441171,-5.29126,10.37583,-1.13588,50,5.39127,2.30476,-126.3215,-3.54332,-8.47163,27.92749,-15.5617,055d1b8a-ace4-4f92-a1b0-b4dce2515308,NA,NA,NA,NA,NA,1000118288,"Echazarreta, Miggy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,HIG_PAN,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WIN_EAG,HIG_PAN,WinthropUniversity,D1,BSOU,20250515-WinthropUniversity-1,2686fb50-31d9-11f0-b4d5-4fad63707fe4,85.43735,NA,NA,8.23997,NA,NA,NA,5f7045b3-91e2-47d9-b462-a34fe5686d01,2025-05-15,22:08:37,2025-05-15T22:08:37Z,2025-05-15T22:08:37Z,NA,v3,471494,471515,15 May 2025 18:00-highpoint@winthrop,"Chronis, Nathanial",1000238620,Right,WIN_EAG,54.9075,-127.40184000000001,13.96375,5.51669,-2.94134,-7.78085,-1.23137,2.63248,-4.23582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-15,18:08:56,"Tompkins, Mason",10094249,Right,WIN_EAG,Undefined,Fastball,NA,NA,87.72013,-0.693439,-1.348459,2100.956415,214.877883,01:15:00,5.54087,1.10521,5.56256,-18.41257,18.37836,11.9854,3.35846,0.84403,79.99659,-4.17462,0.78916,0.436558,-6.40666,9.82737,-0.99679,50,5.46912,2.47032,-127.31894,-2.10636,-10.5061,26.37363,-16.05848,3e4bfcf6-8d02-4ef0-9343-340bf8d6e6e7,NA,NA,NA,NA,NA,1000118288,"Echazarreta, Miggy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,HIG_PAN,1,Top,1,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WIN_EAG,HIG_PAN,WinthropUniversity,D1,BSOU,20250515-WinthropUniversity-1,321c11d0-31d9-11f0-b4d5-4fad63707fe4,86.34006,NA,NA,7.72353,NA,NA,NA,5f7045b3-91e2-47d9-b462-a34fe5686d01,2025-05-15,22:08:56,2025-05-15T22:08:56Z,2025-05-15T22:08:56Z,NA,v3,471494,471515,15 May 2025 18:00-highpoint@winthrop,"Chronis, Nathanial",1000238620,Right,WIN_EAG,54.93287,-128.33669,13.18681,5.53845,-1.48666,-8.02924,-1.09995,2.87574,-5.25305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-15,18:09:14,"Tompkins, Mason",10094249,Right,WIN_EAG,Undefined,Fastball,NA,NA,86.97786,-1.818427,-0.968375,2057.546006,214.89939,01:15:00,5.59643,1.19928,5.44497,-19.77855,17.8043,11.57568,2.2449,1.25719,79.51562,-5.525953,1.092573,0.441231,-6.08622,9.83237,-1.12191,50,5.42244,1.6269,-126.19854,-4.63913,-9.81288,25.73594,-16.32119,debcd9ff-b3f3-4246-ac65-6864e8eb5add,NA,NA,NA,NA,NA,1000118288,"Echazarreta, Miggy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,HIG_PAN,1,Top,1,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WIN_EAG,HIG_PAN,WinthropUniversity,D1,BSOU,20250515-WinthropUniversity-1,3cfcf380-31d9-11f0-b4d5-4fad63707fe4,85.42561,NA,NA,7.46223,NA,NA,NA,5f7045b3-91e2-47d9-b462-a34fe5686d01,2025-05-15,22:09:14,2025-05-15T22:09:14Z,2025-05-15T22:09:14Z,NA,v3,471494,471515,15 May 2025 18:00-highpoint@winthrop,"Chronis, Nathanial",1000238620,Right,WIN_EAG,55.05099,-127.22443,12.86797,5.5944,-3.98853,-8.16059,-1.19456,2.01806,-4.90644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-15,18:09:33,"Tompkins, Mason",10094249,Right,WIN_EAG,Undefined,Fastball,NA,NA,87.69945,-0.197049,-1.308606,2076.34613,217.888435,01:15:00,5.53647,1.19191,5.42252,-20.60808,16.40717,11.84068,3.63452,0.95272,79.93002,-4.063136,0.797721,0.437887,-6.28567,8.65201,-1.08413,50,5.50497,2.37653,-127.2621,-1.11228,-10.295959999999999,26.41025,-18.00206,ab158465-4d70-48b2-99ff-2b1bff2c62d2,NA,NA,NA,NA,NA,1000118288,"Echazarreta, Miggy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,HIG_PAN,1,Top,1,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WIN_EAG,HIG_PAN,WinthropUniversity,D1,BSOU,20250515-WinthropUniversity-1,47bedb80-31d9-11f0-b4d5-4fad63707fe4,86.07808,NA,NA,7.76942,NA,NA,NA,5f7045b3-91e2-47d9-b462-a34fe5686d01,2025-05-15,22:09:33,2025-05-15T22:09:33Z,2025-05-15T22:09:33Z,NA,v3,471494,471515,15 May 2025 18:00-highpoint@winthrop,"Chronis, Nathanial",1000238620,Right,WIN_EAG,55.07257,-128.31047,13.20513,5.53493,-0.39767,-9.00103,-1.18657,2.78524,-5.1479799999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-15,18:09:51,"Tompkins, Mason",10094249,Right,WIN_EAG,Undefined,Fastball,NA,NA,88.07157,-2.310442,-2.006954,2230.235792,216.630002,01:15:00,5.45247,1.38212,5.49593,-19.1417,17.67832,12.21135,1.69372,0.52173,80.10786,-5.913005,0.168134,0.43673,-6.73489,9.96103,-1.21503,50,5.23766,3.93294,-127.63105,-5.75898,-11.04845,27.61027,-15.83319,5706a124-7db0-4f42-a9f1-1e62b6aee327,NA,NA,NA,NA,NA,1000118288,"Echazarreta, Miggy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,HIG_PAN,1,Top,1,3,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WIN_EAG,HIG_PAN,WinthropUniversity,D1,BSOU,20250515-WinthropUniversity-1,527bba70-31d9-11f0-b4d5-4fad63707fe4,86.30598,NA,NA,7.96371,NA,NA,NA,5f7045b3-91e2-47d9-b462-a34fe5686d01,2025-05-15,22:09:51,2025-05-15T22:09:51Z,2025-05-15T22:09:51Z,NA,v3,471494,471515,15 May 2025 18:00-highpoint@winthrop,"Chronis, Nathanial",1000238620,Right,WIN_EAG,54.99958,-128.70806,13.80513,5.45026,-5.14136,-7.91659,-1.37685,4.36391,-5.52423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-15,18:10:09,"Tompkins, Mason",10094249,Right,WIN_EAG,Undefined,Fastball,NA,NA,87.59137,-1.895063,-1.702003,2160.279649,206.78333,01:00:00,5.48065,1.33637,5.53187,-19.02363,17.93481,8.45028,2.12254,0.44917,80.0459,-5.472213,-0.19582,0.437551,-4.76036,9.9593,-1.19446,50,5.30368,3.41293,-127.07285,-4.80694,-7.7793,26.17629,-15.89873,2a16ceba-caf3-411e-bbb9-7608b74f5844,NA,NA,NA,NA,-50.106167,1000118288,"Echazarreta, Miggy",4696.989441,NA,70.82675,Right,48.951777,50.45065,73.8692,-97.74803,181.47715,97.39908,4.204122,-67.612762,0.83096,2.43613,-0.97313,NA,NA,NA,NA,NA,2,6,HIG_PAN,1,Top,1,3,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WIN_EAG,HIG_PAN,WinthropUniversity,D1,BSOU,20250515-WinthropUniversity-1,5dc1c690-31d9-11f0-b4d5-4fad63707fe4,86.14418,74.13633,NA,7.54547,NA,NA,NA,5f7045b3-91e2-47d9-b462-a34fe5686d01,2025-05-15,22:10:09,2025-05-15T22:10:09Z,2025-05-15T22:10:09Z,Popup,v3,471494,471515,15 May 2025 18:00-highpoint@winthrop,"Chronis, Nathanial",1000238620,Right,WIN_EAG,54.96491,-128.09151,13.08814,5.4787,-4.18823,-7.94936,-1.33316,3.71567,-3.88965,140.030268,0.85817,43.123,-13.48903,0.09975,2.81842,-1.44439,0.29785,-0.02111,-2.1e-4,2.42214,78.72743,-27.41775,7.05242,-4.87631,2.52334,-0.75524,0.11695,-0.00726,-0.95475,-52.81721,5.2352,-4.34018,4.49838,-2.48587,0.73452,-0.10956,0.00648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
9,2025-05-15,18:10:39,"Tompkins, Mason",10094249,Right,WIN_EAG,Undefined,Fastball,NA,NA,87.39405,-0.372556,-0.997547,2171.58861,196.535936,12:30:00,5.56267,1.15485,5.6067,-16.04871,21.82174,6.03681,3.87746,0.72668,77.8425,-3.495641,0.079858,0.442916,-3.36299,11.52823,-1.07337,50,5.52083,1.92987,-126.51103,-1.23813,-5.31638,31.71981,-13.9496,7cf1a37a-24a5-4ac1-9d1f-8d070f0e5144,NA,NA,NA,NA,NA,1000118288,"Echazarreta, Miggy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,HIG_PAN,1,Top,1,3,2,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,WIN_EAG,HIG_PAN,WinthropUniversity,D1,BSOU,20250515-WinthropUniversity-1,6f846fe0-31d9-11f0-b4d5-4fad63707fe4,85.10058,NA,NA,9.55155,NA,NA,NA,5f7045b3-91e2-47d9-b462-a34fe5686d01,2025-05-15,22:10:39,2025-05-15T22:10:39Z,2025-05-15T22:10:39Z,NA,v3,471494,471515,15 May 2025 18:00-highpoint@winthrop,"Chronis, Nathanial",1000238620,Right,WIN_EAG,54.88323,-127.72952,15.85991,5.5581,-0.70226,-6.9748,-1.15143,2.1341,-2.65819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-15,18:11:14,"Tompkins, Mason",10094249,Right,WIN_EAG,Undefined,ChangeUp,NA,NA,79.85701,1.158748,-1.120971,1864.399875,227.509693,01:30:00,5.54704,1.33333,5.65762,-33.75396,11.04516,10.31394,3.81515,1.14734,72.02773,-5.142012,0.721754,0.481733,-5.55394,5.70516,-1.24501,50,5.62413,1.85161,-115.75349,1.2887,-7.42869,24.46349,-24.54311,84b895a4-1a17-4c2e-878a-b0b6e41d5507,NA,NA,NA,NA,NA,1000074537,"Johnson, Landen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,HIG_PAN,1,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WIN_EAG,HIG_PAN,WinthropUniversity,D1,BSOU,20250515-WinthropUniversity-1,842a6300-31d9-11f0-b4d5-4fad63707fe4,78.24347,NA,NA,7.82929,NA,NA,NA,5f7045b3-91e2-47d9-b462-a34fe5686d01,2025-05-15,22:11:14,2025-05-15T22:11:14Z,2025-05-15T22:11:14Z,NA,v3,471494,471515,15 May 2025 18:00-highpoint@winthrop,"Chronis, Nathanial",1000238620,Right,WIN_EAG,54.83585,-116.77104,12.23174,5.5493,2.30955,-12.27156,-1.32845,2.1606,-3.71434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
