PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,14:06:30,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Fastball,NA,NA,96.20864,-2.990353,-4.397626,2403.171202,222.764153,01:30:00,6.02051,2.26719,6.16712,-11.71418,18.58379,16.19942,2.27155,-0.45282,87.06566,-5.279723,-1.48676,0.396167,-9.64209,10.79296,-1.94124,50,5.78696,9.9717,-139.165,-7.58129,-18.75647,33.58481,-11.17889,417bd277-7bb6-4f50-863d-003f6036d90c,NA,NA,NA,NA,NA,1000113202,"Wilmes, Ben",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,IOW_HAW,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,IOW_HAW,BaintonField,D1,BIG10,20250307-BaintonField-1,48e8fc80-fb87-11ef-8dbd-714d429de288,95.14281,NA,NA,9.14298,NA,NA,NA,5cdfa2de-478a-42c9-91a5-8ae32791c764,2025-03-07,19:06:30,2025-03-07T19:06:30Z,2025-03-07T19:06:30Z,NA,v3,471422,1232,NA,"Jones, JD",1000091706,Right,RUT_SCA,54.33001,-140.20607,16.79241,6.0166,-7.23476,-5.58944,-2.25936,10.55312,-9.37824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-07,14:06:47,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Fastball,NA,NA,94.92125,-2.194845,-4.787513,2251.516281,219.20271,01:15:00,6.0874,2.11793,6.48102,-13.52268,17.02934,13.0706,2.93717,-1.19898,86.46232,-4.813573,-2.427654,0.397824,-8.14961,9.8128,-1.7859,50,5.92621,10.95993,-137.45885,-5.62882,-15.56886,30.90474,-13.42789,fb36fc84-c705-4c86-8db1-71554bfbf552,NA,NA,NA,NA,NA,1000113202,"Wilmes, Ben",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,IOW_HAW,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,IOW_HAW,BaintonField,D1,BIG10,20250307-BaintonField-1,52b49da0-fb87-11ef-8dbd-714d429de288,94.74643,NA,NA,8.45893,NA,NA,NA,5cdfa2de-478a-42c9-91a5-8ae32791c764,2025-03-07,19:06:47,2025-03-07T19:06:47Z,2025-03-07T19:06:47Z,NA,v3,471422,1232,NA,"Jones, JD",1000091706,Right,RUT_SCA,54.01669,-138.35896,15.45237,6.08446,-5.23773,-6.71394,-2.11172,11.41339,-7.78443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,14:07:03,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Fastball,NA,NA,94.17614,-2.077324,-4.94856,2319.441611,231.237227,01:45:00,5.96477,2.39456,6.27198,-12.36465,19.28355,22.56021,3.01141,-0.29859,84.68214,-4.512897,-0.889609,0.404898,-13.14698,10.95016,-2.03781,50,5.80424,10.79183,-136.18983,-5.24139,-24.36018,33.66014,-11.88441,0b464088-e1a2-42ed-817d-10a3dad20600,NA,NA,NA,NA,NA,1000113202,"Wilmes, Ben",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,IOW_HAW,1,Top,0,1,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,IOW_HAW,BaintonField,D1,BIG10,20250307-BaintonField-1,5c7a7260-fb87-11ef-8dbd-714d429de288,93.09111,NA,NA,9.494,NA,NA,NA,5cdfa2de-478a-42c9-91a5-8ae32791c764,2025-03-07,19:07:03,2025-03-07T19:07:03Z,2025-03-07T19:07:03Z,NA,v3,471422,1232,NA,"Jones, JD",1000091706,Right,RUT_SCA,54.22496,-137.23008,16.83007,5.96054,-4.8741,-5.9422,-2.38296,11.54467,-12.18009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-07,14:07:21,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Curveball,NA,NA,79.47595,2.463874,-2.439454,2064.454444,33.725466,07:00:00,5.96385,1.93163,6.09966,-60.81472,-15.38477,-11.48831,3.17815,-1.28322,70.90054,-8.766186,-4.507895,0.485113,4.95709,-8.31969,-1.73809,50,6.12272,5.33752,-115.05111,2.97651,6.4015,28.60303,-42.91797,52230a18-b7c7-43df-a68a-d34d55f8c9b5,NA,NA,NA,NA,5.197968,1000113202,"Wilmes, Ben",NA,NA,81.07441,Right,-9.750548,NA,NA,NA,16.90509,16.14717,0.135536,9.431282,1.21265,3.17279,1.30762,NA,NA,NA,NA,NA,1,4,IOW_HAW,1,Top,0,1,2,Curveball,InPlay,Undefined,GroundBall,Single,0,0,NA,RUT_SCA,IOW_HAW,BaintonField,D1,BIG10,20250307-BaintonField-1,66d38670-fb87-11ef-8dbd-714d429de288,77.69831,3.17279,NA,8.57541,NA,NA,NA,5cdfa2de-478a-42c9-91a5-8ae32791c764,2025-03-07,19:07:21,2025-03-07T19:07:21Z,2025-03-07T19:07:21Z,GroundBall,v3,471422,1232,NA,"Jones, JD",1000091706,Right,RUT_SCA,54.39897,-116.13959,14.30152,5.97838,4.60975,-21.45899,-1.93657,5.09391,3.20075,345.334651,1.21285,116.68956,-19.16558,NA,NA,NA,NA,NA,NA,3.17326,-20.18411,-23.84667,NA,NA,NA,NA,NA,NA,1.30755,10.62396,1.23781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2025-03-07,14:07:55,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Fastball,NA,NA,94.79954,-2.032762,-5.044255,2229.169833,224.452471,01:30:00,5.82515,2.3804,6.3941,-12.49509,18.23265,16.8945,2.90629,-0.863,86.3041,-4.466361,-2.000059,0.398967,-10.33477,10.42961,-2.02526,50,5.67282,11.43032,-137.28924,-5.21091,-19.68683,30.94076,-12.30656,d30efb9a-f0cd-491e-a717-9e0ee654d86f,NA,NA,NA,NA,NA,1000236672,"Mitchell, Gable",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,IOW_HAW,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,IOW_HAW,BaintonField,D1,BIG10,20250307-BaintonField-1,7b1846c0-fb87-11ef-8dbd-714d429de288,94.47513,NA,NA,8.49545,NA,NA,NA,5cdfa2de-478a-42c9-91a5-8ae32791c764,2025-03-07,19:07:55,2025-03-07T19:07:55Z,2025-03-07T19:07:55Z,NA,v3,471422,1232,NA,"Jones, JD",1000091706,Right,RUT_SCA,54.10646,-138.21162,15.47038,5.82269,-4.84404,-6.15328,-2.37475,12.0172,-9.84342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-07,14:08:12,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Fastball,NA,NA,94.35377,-2.050316,-4.726243,2299.558636,224.989533,01:30:00,5.8394,2.45319,6.25491,-12.59422,18.92844,17.76922,2.89194,-0.43421,84.93141,-4.52169,-1.530073,0.404094,-10.77197,10.82323,-2.11038,50,5.68052,10.53181,-136.51137,-5.21645,-20.04358,33.96036,-12.03508,d8a6c02c-a391-4518-b475-83112554afb8,NA,NA,NA,NA,-46.548785,1000236672,"Mitchell, Gable",NA,NA,33.32684,Left,-49.197084,NA,NA,NA,2.77197,2.65801,0.075758,-29.08005,0.72744,2.85513,0.44205,NA,NA,NA,NA,NA,2,2,IOW_HAW,1,Top,0,1,0,Sinker,InPlay,Undefined,Bunt,Sacrifice,1,0,NA,RUT_SCA,IOW_HAW,BaintonField,D1,BIG10,20250307-BaintonField-1,856525d0-fb87-11ef-8dbd-714d429de288,93.27635,2.85513,NA,9.42236,NA,NA,NA,5cdfa2de-478a-42c9-91a5-8ae32791c764,2025-03-07,19:08:12,2025-03-07T19:08:12Z,2025-03-07T19:08:12Z,GroundBall,v3,471422,1232,NA,"Jones, JD",1000091706,Right,RUT_SCA,54.24367,-137.56303,16.98018,5.83629,-4.84375,-6.01754,-2.44614,11.15251,-10.02179,180,0.72246,22.37524,NA,NA,NA,NA,NA,NA,NA,2.86352,-37.68782,NA,NA,NA,NA,NA,NA,NA,0.44731,-23.61882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-03-07,14:08:54,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Cutter,NA,NA,82.62213,-0.162253,-3.091095,2188.768915,106.833708,09:30:00,5.80031,2.44864,6.09059,-38.42305,3.51047,-6.03906,2.44808,-0.91668,73.7437,-7.335732,-4.1769,0.466071,1.9765,2.29291,-2.20694,50,5.76776,6.68774,-119.58631,-1.53085,2.76676,30.22105,-28.96439,a442a0c8-a27f-416f-a866-1ab58e6f5c55,NA,NA,NA,NA,NA,808868,"Moore, Reese",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,IOW_HAW,1,Top,1,0,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,IOW_HAW,BaintonField,D1,BIG10,20250307-BaintonField-1,9e763b40-fb87-11ef-8dbd-714d429de288,80.8727,NA,NA,8.87843,NA,NA,NA,5cdfa2de-478a-42c9-91a5-8ae32791c764,2025-03-07,19:08:54,2025-03-07T19:08:54Z,2025-03-07T19:08:54Z,NA,v3,471422,1232,NA,"Jones, JD",1000091706,Right,RUT_SCA,54.40568,-120.69455,15.11053,5.80442,-0.4687,-14.4822,-2.45032,6.58628,1.38338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-07,14:09:09,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Fastball,NA,NA,94.92714,-1.710636,-4.746497,2434.3752,216.095048,01:15:00,5.82568,2.41906,6.32678,-11.25768,20.00407,13.7095,3.30635,-0.81949,84.87878,-3.95442,-2.278591,0.402419,-8.79119,11.35327,-2.07846,50,5.69512,10.81676,-137.27815,-4.36209,-16.42018,36.39987,-10.96833,e1f73763-8a4d-433b-af29-4275c4aa5c4f,NA,NA,NA,NA,NA,808868,"Moore, Reese",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,IOW_HAW,1,Top,1,0,1,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,IOW_HAW,BaintonField,D1,BIG10,20250307-BaintonField-1,a779d170-fb87-11ef-8dbd-714d429de288,93.66477,NA,NA,10.04836,NA,NA,NA,5cdfa2de-478a-42c9-91a5-8ae32791c764,2025-03-07,19:09:09,2025-03-07T19:09:09Z,2025-03-07T19:09:09Z,NA,v3,471422,1232,NA,"Jones, JD",1000091706,Right,RUT_SCA,54.17068,-138.3796,18.19993,5.82209,-4.03019,-5.48417,-2.41329,11.31363,-8.21009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-07,14:09:46,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Fastball,NA,NA,94.72391,-2.255753,-4.8678,2391.185258,216.603239,01:15:00,5.90633,2.28355,6.41863,-6.93516,24.41852,17.22269,3.24614,-0.76691,84.49267,-3.73079,-1.76257,0.40301,-10.73402,13.91493,-1.94313,50,5.74154,10.94259,-136.94151,-5.47244,-19.91622,36.6988,-6.35583,a5797ca7-b9b3-4e46-9ab3-f02d0f1eeabd,NA,NA,NA,NA,NA,10074496,"Wulf, Caleb",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,IOW_HAW,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,IOW_HAW,BaintonField,D1,BIG10,20250307-BaintonField-1,bd525120-fb87-11ef-8dbd-714d429de288,93.52736,NA,NA,10.23124,NA,NA,NA,5cdfa2de-478a-42c9-91a5-8ae32791c764,2025-03-07,19:09:46,2025-03-07T19:09:46Z,2025-03-07T19:09:46Z,NA,v3,471422,1232,NA,"Jones, JD",1000091706,Right,RUT_SCA,54.07941,-138.03042,18.3494,5.90112,-5.28386,-3.17792,-2.27657,11.53354,-9.95811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-07,14:10:06,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Fastball,NA,NA,93.99489,-2.653621,-3.890372,2206.449864,206.863144,01:00:00,5.8354799999999996,2.34042,6.33685,-11.84682,20.11895,9.55052,2.39764,-0.45112,83.89139,-5.008369,-2.167981,0.406924,-6.40929,11.82225,-2.06146,50,5.63637,8.85061,-135.95618,-6.58476,-11.68802,36.94574,-10.61495,d1ac2c96-531e-4cea-8d01-939a3bb0d12e,NA,NA,NA,NA,NA,10074496,"Wulf, Caleb",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,IOW_HAW,1,Top,1,0,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,IOW_HAW,BaintonField,D1,BIG10,20250307-BaintonField-1,c9501480-fb87-11ef-8dbd-714d429de288,92.62761,NA,NA,10.1035,NA,NA,NA,5cdfa2de-478a-42c9-91a5-8ae32791c764,2025-03-07,19:10:06,2025-03-07T19:10:06Z,2025-03-07T19:10:06Z,NA,v3,471422,1232,NA,"Jones, JD",1000091706,Right,RUT_SCA,54.16074,-137.08219,18.47287,5.83213,-6.26125,-5.30748,-2.33663,9.20683,-5.84401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-03-07,14:10:26,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,ChangeUp,NA,NA,86.95653,-1.345605,-2.621573,1281.456879,257.364098,02:30:00,5.70211,2.4632,6.30344,-32.90309,4.41902,13.18686,1.71896,1.14518,77.89003,-7.51816,-0.235088,0.439698,-7.93843,3.11402,-2.27734,50,5.5875,5.27263,-126.03872,-3.98415,-12.40414,32.44934,-27.30827,0d995d45-78b8-41da-839b-4940c8c5036d,NA,NA,NA,NA,NA,10074496,"Wulf, Caleb",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,IOW_HAW,1,Top,1,0,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,RUT_SCA,IOW_HAW,BaintonField,D1,BIG10,20250307-BaintonField-1,d53c99d0-fb87-11ef-8dbd-714d429de288,85.72347,NA,NA,9.06651,NA,NA,NA,5cdfa2de-478a-42c9-91a5-8ae32791c764,2025-03-07,19:10:26,2025-03-07T19:10:26Z,2025-03-07T19:10:26Z,NA,v3,471422,1232,NA,"Jones, JD",1000091706,Right,RUT_SCA,54.19552,-127.11429,16.22467,5.70455,-3.07899,-13.65414,-2.45892,5.68378,-6.20207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
