PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:06:07,"Heppner, Jacob",1000313312,Left,UTA_WOL,Undefined,Fastball,NA,NA,87.18222,-0.615323,1.786026,2045.549098,153.403205,11:00:00,5.6998,-3.03149,5.48558,-20.04328,17.09052,-7.99528,3.45356,-2.02629,80.01113,-4.368765,0.362634,0.438587,4.49044,9.11989,2.88049,50,5.63245,-3.59946,-126.58573,-2.00667,7.32848,24.43369,-17.29018,7fdfe7d1-dd30-42d9-a79e-303366ab0805,NA,NA,NA,NA,NA,10277888,"Ramirez, Christian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CAL_LAN,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_WOL,CAL_LAN,UCCUBallpark,D1,WAC,20250427-UCCUBallpark-1,ad2cde60-239a-11f0-b3b1-3fc62c4f5b1f,85.94058,NA,NA,7.17109,NA,NA,NA,d6c91ef8-6ae3-4134-87ca-d67c814944af,2025-04-27,19:06:07,2025-04-27T19:06:07Z,2025-04-27T19:06:07Z,NA,v3,471519,471762,27 April 2025 14:05-californiabaptist@utvalley,"Strong, Mason",701767,Right,UTA_WOL,55.01145,-127.54937,12.21685,5.69815,-1.32476,-8.64509,3.02815,-3.88849,3.66424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-27,13:06:21,"Heppner, Jacob",1000313312,Left,UTA_WOL,Undefined,Fastball,NA,NA,87.61629,-1.950613,2.647231,2204.895415,162.126028,11:30:00,5.71677,-2.75574,5.69098,-17.41119,19.73162,-5.93677,2.44528,-0.78158,79.23086,-5.274142,1.58732,0.438641,3.82024,10.99418,2.53685,50,5.542,-5.60909,-126.89015,-4.82412,6.16102,28.59243,-14.44347,d9b7769a-122a-4104-8149-b09e72b306b2,NA,NA,NA,NA,NA,10277888,"Ramirez, Christian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,CAL_LAN,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_WOL,CAL_LAN,UCCUBallpark,D1,WAC,20250427-UCCUBallpark-1,b543f1b0-239a-11f0-b3b1-3fc62c4f5b1f,85.9301,NA,NA,8.38543,NA,NA,NA,d6c91ef8-6ae3-4134-87ca-d67c814944af,2025-04-27,19:06:21,2025-04-27T19:06:21Z,2025-04-27T19:06:21Z,NA,v3,471519,471762,27 April 2025 14:05-californiabaptist@utvalley,"Strong, Mason",701767,Right,UTA_WOL,54.80358,-127.96797,14.29621,5.71359,-4.27966,-7.22174,2.75267,-5.84134,3.08051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-27,13:06:34,"Heppner, Jacob",1000313312,Left,UTA_WOL,Undefined,ChangeUp,NA,NA,79.15972,-2.355565,2.5974,1428.219946,143.111763,10:45:00,5.55839,-2.99513,5.78997,-35.44687,9.13682,-5.85579,0.40974,-1.06524,73.33706,-8.858916,1.547817,0.480573,3.6828,5.68126,2.78482,50,5.34279,-4.99499,-114.87453,-5.82829,4.95206,20.02903,-24.53477,4486e48d-a4cd-49d7-9c71-e0208fc4eab8,NA,NA,NA,NA,NA,10277888,"Ramirez, Christian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,CAL_LAN,1,Top,0,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_WOL,CAL_LAN,UCCUBallpark,D1,WAC,20250427-UCCUBallpark-1,bd551190-239a-11f0-b3b1-3fc62c4f5b1f,78.43227,NA,NA,5.82266,NA,NA,NA,d6c91ef8-6ae3-4134-87ca-d67c814944af,2025-04-27,19:06:34,2025-04-27T19:06:34Z,2025-04-27T19:06:34Z,NA,v3,471519,471762,27 April 2025 14:05-californiabaptist@utvalley,"Strong, Mason",701767,Right,UTA_WOL,54.70878,-115.69262,10.01452,5.56038,-4.82616,-12.26738,2.99297,-5.19726,2.47603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-27,13:06:49,"Heppner, Jacob",1000313312,Left,UTA_WOL,Undefined,Fastball,NA,NA,88.95162,-1.757638,2.883897,2246.617078,157.552665,11:15:00,5.679,-2.9286,5.69582,-16.76288,19.05536,-7.37394,2.64158,-0.85336,80.86562,-4.948447,1.567657,0.430748,4.51012,10.48611,2.69058,50,5.52067,-6.15604,-128.86177,-4.44008,7.55669,27.66528,-14.60461,bb2ea71e-9851-4e19-acb8-27fa6b426bca,NA,NA,NA,NA,NA,10277888,"Ramirez, Christian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CAL_LAN,1,Top,0,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UTA_WOL,CAL_LAN,UCCUBallpark,D1,WAC,20250427-UCCUBallpark-1,c5cfa1a0-239a-11f0-b3b1-3fc62c4f5b1f,87.50457,NA,NA,8.08601,NA,NA,NA,d6c91ef8-6ae3-4134-87ca-d67c814944af,2025-04-27,19:06:49,2025-04-27T19:06:49Z,2025-04-27T19:06:49Z,NA,v3,471519,471762,27 April 2025 14:05-californiabaptist@utvalley,"Strong, Mason",701767,Right,UTA_WOL,54.797,-129.88756,13.83264,5.67527,-3.89856,-7.30231,2.92403,-6.43623,3.77835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-27,13:07:09,"Heppner, Jacob",1000313312,Left,UTA_WOL,Undefined,ChangeUp,NA,NA,78.41616,-0.072634,2.115314,1349.676264,191.257924,12:30:00,5.42831,-3.08766,5.79241,-38.61994,7.89,1.22465,2.14237,-1.01704,70.65751,-7.255103,2.334632,0.490845,0.09134,4.51796,2.91281,50,5.3994,-4.24276,-113.62518,-1.32063,0.11689,24.9424,-26.39298,718a1c02-68e4-4ee0-885b-ee2610846bd3,NA,NA,NA,NA,18.649486,10277888,"Ramirez, Christian",2859.06392,NA,82.66912,Right,19.814605,103.57804,28.43549,37.03351,249.13547,248.29265,2.942508,21.081761,2.82469,2.31315,1.06612,NA,NA,NA,NA,NA,1,5,CAL_LAN,1,Top,0,2,2,Slider,InPlay,Undefined,LineDrive,Single,0,0,NA,UTA_WOL,CAL_LAN,UCCUBallpark,D1,WAC,20250427-UCCUBallpark-1,d2873f20-239a-11f0-b3b1-3fc62c4f5b1f,76.79092,29.82741,NA,7.75865,NA,NA,NA,d6c91ef8-6ae3-4134-87ca-d67c814944af,2025-04-27,19:07:09,2025-04-27T19:07:09Z,2025-04-27T19:07:09Z,LineDrive,v3,471519,471762,27 April 2025 14:05-californiabaptist@utvalley,"Strong, Mason",701767,Right,UTA_WOL,54.70343,-114.653,12.4712,5.43141,-0.23303,-13.19649,3.08774,-4.24758,0.05844,201.697887,2.8248,108.0752,-15.6509,2.88747,-0.45095,-0.00453,0.03243,-0.00947,9.6e-4,2.31308,41.10341,-16.78723,1.38418,-0.36273,0.13357,-0.04358,0.00918,-8.4e-4,1.06616,36.47505,-3.17582,0.52299,-0.05321,-0.02577,0.0166,-0.00419,4.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-04-27,13:07:44,"Heppner, Jacob",1000313312,Left,UTA_WOL,Undefined,Fastball,NA,NA,88.0799,-1.848533,2.597113,2200.873263,150.455903,11:00:00,5.75451,-2.68316,5.56561,-17.66639,19.13458,-10.12221,2.55311,-1.09889,79.8668,-5.203581,0.793587,0.436617,5.86126,10.58005,2.46576,50,5.58359,-5.33817,-127.59599,-4.65072,9.59239,28.04123,-14.859,cefd6df4-0bdd-4395-a4d4-189ced90e639,NA,NA,NA,NA,NA,1000325644,"Rocha, Bubba",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CAL_LAN,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_WOL,CAL_LAN,UCCUBallpark,D1,WAC,20250427-UCCUBallpark-1,e6adc910-239a-11f0-b3b1-3fc62c4f5b1f,86.32834,NA,NA,8.2131,NA,NA,NA,d6c91ef8-6ae3-4134-87ca-d67c814944af,2025-04-27,19:07:44,2025-04-27T19:07:44Z,2025-04-27T19:07:44Z,NA,v3,471519,471762,27 April 2025 14:05-californiabaptist@utvalley,"Strong, Mason",701767,Right,UTA_WOL,54.92934,-128.67473,14.02061,5.75151,-4.0791,-7.4295,2.67821,-5.70719,4.79619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-27,13:08:19,"Heppner, Jacob",1000313312,Left,UTA_WOL,Undefined,Fastball,NA,NA,88.75545,-3.124203,3.496976,2221.965055,156.268506,11:15:00,5.68522,-2.87973,5.8337,-16.22469,19.55879,-8.0767,1.42097,-0.29838,81.02374,-6.209582,2.052774,0.430539,5.10693,11.22568,2.599,50,5.42025,-7.50936,-128.49526,-7.48725,8.52593,26.98577,-13.43295,192f4159-c270-4d7d-91af-e32b12ded329,NA,NA,NA,NA,NA,1000325644,"Rocha, Bubba",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CAL_LAN,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_WOL,CAL_LAN,UCCUBallpark,D1,WAC,20250427-UCCUBallpark-1,fbc0aed0-239a-11f0-b3b1-3fc62c4f5b1f,87.54702,NA,NA,7.73172,NA,NA,NA,d6c91ef8-6ae3-4134-87ca-d67c814944af,2025-04-27,19:08:19,2025-04-27T19:08:19Z,2025-04-27T19:08:19Z,NA,v3,471519,471762,27 April 2025 14:05-californiabaptist@utvalley,"Strong, Mason",701767,Right,UTA_WOL,54.66299,-129.47084,13.49288,5.68215,-7.00162,-6.71647,2.87605,-7.81759,4.26296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-27,13:08:39,"Heppner, Jacob",1000313312,Left,UTA_WOL,Undefined,Fastball,NA,NA,88.75794,-1.938992,1.996608,2262.453066,160.84112,11:15:00,5.66976,-2.74,5.71589,-16.86194,19.078,-6.205,2.45657,-1.39642,80.66912,-5.14947,0.887375,0.43148,3.71874,10.60796,2.57681,50,5.49719,-4.21314,-128.67605,-4.84867,6.20168,28.03072,-14.48344,956fc5b0-2093-41d8-9edc-a4a7f8511fd7,NA,NA,NA,NA,NA,1000325644,"Rocha, Bubba",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,CAL_LAN,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_WOL,CAL_LAN,UCCUBallpark,D1,WAC,20250427-UCCUBallpark-1,07d1d320-239b-11f0-b3b1-3fc62c4f5b1f,87.35627,NA,NA,8.08882,NA,NA,NA,d6c91ef8-6ae3-4134-87ca-d67c814944af,2025-04-27,19:08:39,2025-04-27T19:08:39Z,2025-04-27T19:08:39Z,NA,v3,471519,471762,27 April 2025 14:05-californiabaptist@utvalley,"Strong, Mason",701767,Right,UTA_WOL,54.77902,-129.71293,14.01536,5.66664,-4.31292,-7.24172,2.7369,-4.44254,3.10084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-27,13:08:58,"Heppner, Jacob",1000313312,Left,UTA_WOL,Undefined,Fastball,NA,NA,88.23879,-2.212348,3.824741,2244.746636,158.335558,11:15:00,5.67585,-2.67071,5.59858,-17.60225,18.93166,-7.0389,2.13794,0.31875,80.43835,-5.539706,2.572631,0.435029,4.63067,10.5593,2.34724,50,5.47464,-8.22981,-127.72326,-5.4764,7.6356,26.74716,-14.76262,ba259c5d-ff6d-4023-b534-6f79dff640c5,NA,NA,NA,NA,NA,1000325644,"Rocha, Bubba",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,CAL_LAN,1,Top,0,2,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,UTA_WOL,CAL_LAN,UCCUBallpark,D1,WAC,20250427-UCCUBallpark-1,12e2c580-239b-11f0-b3b1-3fc62c4f5b1f,86.64324,NA,NA,7.80044,NA,NA,NA,d6c91ef8-6ae3-4134-87ca-d67c814944af,2025-04-27,19:08:58,2025-04-27T19:08:58Z,2025-04-27T19:08:58Z,NA,v3,471519,471762,27 April 2025 14:05-californiabaptist@utvalley,"Strong, Mason",701767,Right,UTA_WOL,54.89715,-128.74471,13.37358,5.67301,-4.91262,-7.38131,2.6671,-8.52141,3.8178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-27,13:09:53,"Heppner, Jacob",1000313312,Left,UTA_WOL,Undefined,Fastball,NA,NA,88.96755,-2.974257,3.93264,2216.985382,170.26463,11:45:00,5.77696,-2.78756,5.66995,-17.36997,18.48336,-2.96941,1.5474,0.63731,81.30135,-6.247484,3.40403,0.430959,2.62055,10.58804,2.45705,50,5.51439,-8.7224,-128.73183,-7.23394,4.39211,27.0314,-14.42823,9f48426c-5969-44b4-a7d2-429c915057b4,NA,NA,NA,NA,NA,1000325644,"Rocha, Bubba",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,CAL_LAN,1,Top,0,2,2,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,UTA_WOL,CAL_LAN,UCCUBallpark,D1,WAC,20250427-UCCUBallpark-1,33862de0-239b-11f0-b3b1-3fc62c4f5b1f,87.46173,NA,NA,7.6662,NA,NA,NA,d6c91ef8-6ae3-4134-87ca-d67c814944af,2025-04-27,19:09:53,2025-04-27T19:09:53Z,2025-04-27T19:09:53Z,NA,v3,471519,471762,27 April 2025 14:05-californiabaptist@utvalley,"Strong, Mason",701767,Right,UTA_WOL,54.82717,-129.74149,13.5157,5.77453,-6.69503,-7.21412,2.78591,-8.88645,2.19605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
