PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,13:03:58,"McGehee, Blake",701585,Right,LOU_CAJ,Undefined,Fastball,NA,NA,89.42087,-1.239054,-3.333444,2008.508578,243.842902,02:15:00,5.89515,2.32772,5.11904,-27.13088,8.70091,15.51851,2.4649200000000002,0.47734,82.2731,-6.198313,-0.591436,0.43083,-8.55776,4.98331,-2.0264,50,5.75746,6.82935,-129.64447,-3.85272,-14.67208,25.23607,-23.63026,ee2aed9a-4e5f-43bb-82fe-0e6ebb7d733b,NA,NA,NA,NA,NA,1000039263,"Lewis, Jeriah",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SAN_SPA,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,SAN_SPA,LouisianaLafayette,D1,SBELT,20250215-LouisianaLafayette-1,9c7fe600-ebcf-11ef-b19c-f1d2c12dc5ab,87.488,NA,NA,7.14777,NA,NA,NA,85dd4c05-bb55-4ed2-aa34-dbd83f30542f,2025-02-15,19:03:58,2025-02-15T19:03:58Z,2025-02-15T19:03:58Z,NA,v3,5075,471435,15 February 2025 15:00-sanjosest@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,55.38099,-130.68771,12.61804,5.89654,-2.87586,-11.81513,-2.32126,7.43589,-7.33604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-15,13:04:11,"McGehee, Blake",701585,Right,LOU_CAJ,Undefined,ChangeUp,NA,NA,81.9944,0.023225,-2.667592,1471.045161,244.08995,02:15:00,5.75791,2.31944,5.32452,-35.98663,6.30552,10.35249,2.78085,0.67708,75.44706,-6.558029,-0.830155,0.46806,-5.93122,3.51736,-2.08586,50,5.73394,5.12268,-118.99831,-1.20348,-8.54613,21.79716,-27.10599,3d630c89-07e1-47a0-8e5b-ee0eec7f1f7d,NA,NA,NA,NA,19.948914,1000039263,"Lewis, Jeriah",2359.641684,NA,105.39818,Left,4.479412,NA,NA,NA,90.78052,87.64042,0.639805,20.52579,1.92701,2.81189,-0.77778,NA,NA,NA,NA,NA,1,2,SAN_SPA,1,Top,0,0,1,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,LOU_CAJ,SAN_SPA,LouisianaLafayette,D1,SBELT,20250215-LouisianaLafayette-1,a494d670-ebcf-11ef-b19c-f1d2c12dc5ab,80.5291,4.1265,NA,6.54735,NA,NA,NA,85dd4c05-bb55-4ed2-aa34-dbd83f30542f,2025-02-15,19:04:11,2025-02-15T19:04:11Z,2025-02-15T19:04:11Z,GroundBall,v3,5075,471435,15 February 2025 15:00-sanjosest@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,55.17631,-119.94272,10.89858,5.76064,-0.02906,-13.553,-2.31583,5.49296,-4.27306,325.516392,1.97104,143.93227,-22.18915,NA,NA,NA,NA,NA,NA,2.86362,10.97263,-24.26141,NA,NA,NA,NA,NA,NA,-0.78349,52.705,-2.69264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-02-15,13:04:45,"McGehee, Blake",701585,Right,LOU_CAJ,Undefined,Sinker,NA,NA,92.48205,-2.698813,-4.77512,2194.556538,227.410987,01:30:00,6.03301,1.68612,4.99682,-17.71245,16.35477,16.55788,1.99822,-1.45278,84.29866,-5.996882,-1.865712,0.420088,-9.51693,9.17855,-1.23998,50,5.75858,10.35273,-133.59542,-6.96288,-17.20226,28.73924,-15.58343,4a775b0d-ce3f-4dea-8f3c-c1b906bc4b6d,NA,NA,NA,NA,NA,1000115400,"Caballero, Rocco",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SAN_SPA,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,SAN_SPA,LouisianaLafayette,D1,SBELT,20250215-LouisianaLafayette-1,b88cd650-ebcf-11ef-b19c-f1d2c12dc5ab,89.72521,NA,NA,8.1834,NA,NA,NA,85dd4c05-bb55-4ed2-aa34-dbd83f30542f,2025-02-15,19:04:45,2025-02-15T19:04:45Z,2025-02-15T19:04:45Z,NA,v3,5075,471435,15 February 2025 15:00-sanjosest@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,55.50244,-134.77391,14.36962,6.031,-6.32386,-7.79172,-1.67897,11.05813,-8.60113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-15,13:04:58,"McGehee, Blake",701585,Right,LOU_CAJ,Undefined,Sinker,NA,NA,88.36252,-2.600675,-4.417337,2019.005647,240.496814,02:00:00,5.88618,1.91344,5.12995,-26.66966,10.82162,16.72099,1.20543,-0.86162,79.96948,-7.510174,-1.466828,0.440694,-9.70693,6.58394,-1.51172,50,5.621,9.08883,-127.59468,-6.79688,-15.81849,29.07164,-21.44485,2ca4de8b-a5eb-4afa-aa45-0bfad079cc55,NA,NA,NA,NA,NA,1000115400,"Caballero, Rocco",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,SAN_SPA,1,Top,1,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,SAN_SPA,LouisianaLafayette,D1,SBELT,20250215-LouisianaLafayette-1,c03cea70-ebcf-11ef-b19c-f1d2c12dc5ab,85.52981,NA,NA,8.39304,NA,NA,NA,85dd4c05-bb55-4ed2-aa34-dbd83f30542f,2025-02-15,19:04:58,2025-02-15T19:04:58Z,2025-02-15T19:04:58Z,NA,v3,5075,471435,15 February 2025 15:00-sanjosest@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,55.36842,-128.81203,14.53582,5.88681,-5.89889,-10.72242,-1.90617,9.75121,-7.90925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-15,13:05:11,"McGehee, Blake",701585,Right,LOU_CAJ,Undefined,Fastball,NA,NA,89.8582,-0.312828,-4.437746,2017.388381,248.337748,02:15:00,5.76296,2.02864,5.51787,-28.58352,6.90209,14.32666,3.08762,-0.93518,81.51085,-5.595509,-1.893764,0.428743,-8.54434,3.93225,-1.6513,50,5.71665,9.448,-130.03088,-1.75694,-14.52896,29.0049,-25.48758,b3c9585c-fc35-4092-9671-c20320c13962,NA,NA,NA,NA,NA,1000115400,"Caballero, Rocco",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,SAN_SPA,1,Top,1,2,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,SAN_SPA,LouisianaLafayette,D1,SBELT,20250215-LouisianaLafayette-1,c82c7890-ebcf-11ef-b19c-f1d2c12dc5ab,87.91376,NA,NA,8.34734,NA,NA,NA,85dd4c05-bb55-4ed2-aa34-dbd83f30542f,2025-02-15,19:05:11,2025-02-15T19:05:11Z,2025-02-15T19:05:11Z,NA,v3,5075,471435,15 February 2025 15:00-sanjosest@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,54.98093,-131.13723,14.50245,5.76512,-0.78475,-12.74379,-2.02225,10.00219,-7.26448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-15,13:05:25,"McGehee, Blake",701585,Right,LOU_CAJ,Undefined,Fastball,NA,NA,88.66385,-1.896576,-3.874169,1993.306065,247.870377,02:15:00,5.77352,2.14267,5.06867,-27.89659,9.42343,19.79985,1.65586,0.13428,80.02721,-7.029051,-0.379911,0.439686,-11.10241,5.66618,-1.79105,50,5.5713800000000004,7.76231,-128.15146,-5.30491,-18.2016,29.98285,-22.88473,70b9b4c3-8e61-4740-945d-366c9055a8b8,NA,NA,NA,NA,NA,1000115400,"Caballero, Rocco",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,SAN_SPA,1,Top,1,3,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,SAN_SPA,LouisianaLafayette,D1,SBELT,20250215-LouisianaLafayette-1,d0625e80-ebcf-11ef-b19c-f1d2c12dc5ab,85.72589,NA,NA,8.63665,NA,NA,NA,85dd4c05-bb55-4ed2-aa34-dbd83f30542f,2025-02-15,19:05:25,2025-02-15T19:05:25Z,2025-02-15T19:05:25Z,NA,v3,5075,471435,15 February 2025 15:00-sanjosest@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,55.43026,-129.41571,14.99142,5.77472,-4.33996,-11.44237,-2.13454,8.5298,-9.1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-15,13:05:39,"McGehee, Blake",701585,Right,LOU_CAJ,Undefined,Fastball,NA,NA,88.94351,-0.546116,-4.258962,2019.167427,244.850337,02:15:00,5.72071,2.11856,5.38053,-30.34427,6.00481,10.1926,2.67865,-1.03185,80.90235,-6.122872,-2.45321,0.433928,-6.36418,3.53752,-1.74423,50,5.65043,9.12629,-128.71462,-2.36077,-10.62061,28.02701,-26.27055,57e02ea0-285c-400c-9e48-394613a760dd,NA,NA,NA,NA,NA,1000115400,"Caballero, Rocco",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,SAN_SPA,1,Top,1,3,1,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,LOU_CAJ,SAN_SPA,LouisianaLafayette,D1,SBELT,20250215-LouisianaLafayette-1,d8fbe840-ebcf-11ef-b19c-f1d2c12dc5ab,86.86328,NA,NA,8.04117,NA,NA,NA,85dd4c05-bb55-4ed2-aa34-dbd83f30542f,2025-02-15,19:05:39,2025-02-15T19:05:39Z,2025-02-15T19:05:39Z,NA,v3,5075,471435,15 February 2025 15:00-sanjosest@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,55.11805,-129.82427,14.0135,5.72331,-1.32067,-13.13528,-2.11388,9.54678,-5.31031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
8,2025-02-15,13:06:10,"McGehee, Blake",701585,Right,LOU_CAJ,Undefined,ChangeUp,NA,NA,84.44253,-0.801475,-3.74022,1479.942242,237.770605,02:00:00,5.677,2.31175,5.65232,-32.97037,6.14209,8.04371,2.18031,-0.51132,78.43634,-6.838173,-2.306224,0.450121,-5.02579,3.60752,-1.99979,50,5.58762,7.69815,-122.59594,-2.84051,-7.75694,21.02697,-26.60609,d32de231-de8d-4fa9-87fc-a829a62d6f77,NA,NA,NA,NA,NA,1000137460,"Chamizo, Zach",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,SAN_SPA,1,Top,1,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,SAN_SPA,LouisianaLafayette,D1,SBELT,20250215-LouisianaLafayette-1,eb17ae10-ebcf-11ef-b19c-f1d2c12dc5ab,83.73849,NA,NA,6.00619,NA,NA,NA,85dd4c05-bb55-4ed2-aa34-dbd83f30542f,2025-02-15,19:06:10,2025-02-15T19:06:10Z,2025-02-15T19:06:10Z,NA,v3,5075,471435,15 February 2025 15:00-sanjosest@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,54.85015,-123.425,10.51349,5.67893,-1.79147,-13.30305,-2.30935,8.004,-3.87847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-15,13:06:30,"McGehee, Blake",701585,Right,LOU_CAJ,Undefined,Curveball,NA,NA,74.62622,0.792587,-0.105475,2486.357777,46.191762,07:30:00,5.73552,2.11863,4.74908,-65.6659,-12.25886,-14.8293,1.01513,0.78282,67.74197,-10.988907,-2.721456,0.525982,7.2313,-5.70465,-2.09419,50,5.75707,0.80369,-108.08257,-0.87358,8.36143,22.79103,-38.77022,c0275c8e-c1cc-429d-bfae-c4603677bc4b,NA,NA,NA,NA,NA,1000137460,"Chamizo, Zach",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,SAN_SPA,1,Top,1,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,SAN_SPA,LouisianaLafayette,D1,SBELT,20250215-LouisianaLafayette-1,f77ff310-ebcf-11ef-b19c-f1d2c12dc5ab,71.66113,NA,NA,6.88425,NA,NA,NA,85dd4c05-bb55-4ed2-aa34-dbd83f30542f,2025-02-15,19:06:30,2025-02-15T19:06:30Z,2025-02-15T19:06:30Z,NA,v3,5075,471435,15 February 2025 15:00-sanjosest@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,55.75209,-109.28877,11.39552,5.74901,1.1783,-19.38511,-2.12502,0.36117,4.18072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-15,13:06:57,"McGehee, Blake",701585,Right,LOU_CAJ,Undefined,Curveball,NA,NA,75.0432,0.998503,0.080391,2382.2597,48.39378,07:30:00,5.5693,2.12574,5.11947,-64.28641,-12.00312,-15.74851,1.15276,0.8891,67.80648,-10.635033,-2.715676,0.520419,7.79634,-5.63819,-2.12073,50,5.61373,0.48112,-108.69743,-0.35335,9.08091,23.74747,-38.74124,c4105d26-b9de-4b1a-9a96-7cda420753a8,NA,NA,NA,NA,NA,1000137460,"Chamizo, Zach",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,SAN_SPA,1,Top,1,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,SAN_SPA,LouisianaLafayette,D1,SBELT,20250215-LouisianaLafayette-1,0744f7a0-ebd0-11ef-b19c-f1d2c12dc5ab,72.42713,NA,NA,7.23672,NA,NA,NA,85dd4c05-bb55-4ed2-aa34-dbd83f30542f,2025-02-15,19:06:57,2025-02-15T19:06:57Z,2025-02-15T19:06:57Z,NA,v3,5075,471435,15 February 2025 15:00-sanjosest@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,55.38047,-109.86663,11.87373,5.58418,1.55406,-19.37062,-2.13341,0.03403,4.54045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
