PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,13:08:05,"Riggins, Miller",1000112663,Left,SAM_BUL,Undefined,Fastball,NA,NA,88.38709,-0.047584,3.246481,1962.305223,133.091748,10:30:00,5.60302,-2.04107,6.05928,-21.65363,14.39162,-14.00721,3.7544400000000002,-0.20024,79.64905,-4.164855,0.729682,0.432111,8.17256,7.78548,1.79581,50,5.5878,-6.67004,-128.0809,-0.75148,13.39845,29.68048,-19.41026,8cd4c88d-130e-4d43-9f6d-bae4bdc06f42,NA,NA,NA,NA,NA,1000115409,"Corn, Brayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,WCC,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,WCC,SamfordUniversity,D1,SOCON,20250426-SamfordUniversity-1,7d893400-22c9-11f0-ac9d-6fec4a1fe88d,87.22858,NA,NA,8.73804,NA,NA,NA,107a6a8e-19a3-43eb-9e04-5df0d11458b3,2025-04-26,18:08:05,2025-04-26T18:08:05Z,2025-04-26T18:08:05Z,NA,v3,471431,471488,26 April 2025 15:00-wcarolina@samford,"Carr, Cade",1000090767,Right,SAM_BUL,54.43751,-129.10511,14.84024,5.60217,-0.08166,-9.70513,2.03396,-7.13239,6.69923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-26,13:08:22,"Riggins, Miller",1000112663,Left,SAM_BUL,Undefined,Fastball,NA,NA,88.56964,-1.911437,3.193698,2061.237737,150.071091,11:00:00,5.55254,-2.15104,6.1347,-16.97462,18.72796,-10.06099,2.36791,-0.03458,80.20033,-5.174,1.383469,0.430052,6.12918,10.59658,1.9119,50,5.39743,-6.73999,-128.33518,-4.73869,10.12678,28.86689,-14.66604,cbd4e1ea-1935-46b7-80ce-5488a9b17978,NA,NA,NA,NA,NA,1000115409,"Corn, Brayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,WCC,1,Top,0,1,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,WCC,SamfordUniversity,D1,SOCON,20250426-SamfordUniversity-1,877d92d0-22c9-11f0-ac9d-6fec4a1fe88d,87.64617,NA,NA,8.36931,NA,NA,NA,107a6a8e-19a3-43eb-9e04-5df0d11458b3,2025-04-26,18:08:22,2025-04-26T18:08:22Z,2025-04-26T18:08:22Z,NA,v3,471431,471488,26 April 2025 15:00-wcarolina@samford,"Carr, Cade",1000090767,Right,SAM_BUL,54.3623,-129.31269,14.43345,5.54949,-4.24207,-7.33302,2.14594,-7.08291,5.06339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-26,13:08:40,"Riggins, Miller",1000112663,Left,SAM_BUL,Undefined,Fastball,NA,NA,89.66396,-0.57552,2.451528,2079.294815,142.532479,10:45:00,5.51202,-2.11215,6.07423,-18.11777,16.68769,-11.87603,3.46916,-0.83198,81.19611,-4.04087,0.315013,0.424615,6.80217,9.09945,1.9282300000000001,50,5.45771,-5.0595,-130.07023,-1.82231,11.55692,29.3854,-16.71403,1d8a781e-6400-4b0d-86ca-80e9421b4945,NA,NA,NA,NA,NA,1000115409,"Corn, Brayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,WCC,1,Top,0,1,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,WCC,SamfordUniversity,D1,SOCON,20250426-SamfordUniversity-1,92881c90-22c9-11f0-ac9d-6fec4a1fe88d,88.76857,NA,NA,8.46785,NA,NA,NA,107a6a8e-19a3-43eb-9e04-5df0d11458b3,2025-04-26,18:08:40,2025-04-26T18:08:40Z,2025-04-26T18:08:40Z,NA,v3,471431,471488,26 April 2025 15:00-wcarolina@samford,"Carr, Cade",1000090767,Right,SAM_BUL,54.42282,-131.06562,14.6927,5.50985,-1.25615,-8.35702,2.10625,-5.45097,5.77846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-26,13:09:01,"Riggins, Miller",1000112663,Left,SAM_BUL,Undefined,Fastball,NA,NA,90.04503,-0.635941,2.830728,2064.763403,137.773698,10:30:00,5.53644,-2.15227,6.03048,-20.03615,14.71375,-12.22642,3.27708,-0.54751,81.19105,-4.450356,0.633701,0.424276,7.13477,8.11678,1.93719,50,5.47588,-5.92453,-130.51735,-2.0524,12.14507,30.84587,-18.35738,6629e58f-a4be-421b-8f93-9379764f7b69,NA,NA,NA,NA,NA,1000115409,"Corn, Brayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,WCC,1,Top,0,1,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SAM_BUL,WCC,SamfordUniversity,D1,SOCON,20250426-SamfordUniversity-1,9f180dd0-22c9-11f0-ac9d-6fec4a1fe88d,88.83951,NA,NA,8.85397,NA,NA,NA,107a6a8e-19a3-43eb-9e04-5df0d11458b3,2025-04-26,18:09:01,2025-04-26T18:09:01Z,2025-04-26T18:09:01Z,NA,v3,471431,471488,26 April 2025 15:00-wcarolina@samford,"Carr, Cade",1000090767,Right,SAM_BUL,54.46633,-131.56867,15.42294,5.53516,-1.42673,-9.17869,2.14617,-6.33847,6.07254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.7668,3.377744,1.870029,1.507715,-1.08358,3.07783,0.52212,-1.47823,4.84784,4.28919,75.36982,13.12684,-49.42275,-1.35201,55.94327,-3.33859,5.05143,28.8283,-15.53541,4.19129,-39.30266,2.4703,High,High,High,NA,NA,High,High,High
5,2025-04-26,13:09:38,"Riggins, Miller",1000112663,Left,SAM_BUL,Undefined,Fastball,NA,NA,87.87965,-1.286519,3.459133,2036.192426,140.58174,10:45:00,5.7797,-1.45033,6.14803,-19.82848,16.46032,-12.47528,2.93618,0.7103,79.45859,-5.071731,1.214421,0.433568,7.46981,9.26189,1.19282,50,5.67136,-7.18038,-127.33501,-3.42149,12.13212,28.77879,-17.13136,8b03fcc8-64b3-42b4-8489-d0168721a962,NA,NA,NA,NA,NA,1000262919,"Friese, Hayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,WCC,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,WCC,SamfordUniversity,D1,SOCON,20250426-SamfordUniversity-1,b4c69750-22c9-11f0-ac9d-6fec4a1fe88d,86.93538,NA,NA,8.42106,NA,NA,NA,107a6a8e-19a3-43eb-9e04-5df0d11458b3,2025-04-26,18:09:38,2025-04-26T18:09:38Z,2025-04-26T18:09:38Z,NA,v3,471431,471488,26 April 2025 15:00-wcarolina@samford,"Carr, Cade",1000090767,Right,SAM_BUL,54.3492,-128.3142,14.38939,5.77786,-2.8386,-8.56568,1.44416,-7.59318,6.06606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-26,13:09:54,"Riggins, Miller",1000112663,Left,SAM_BUL,Undefined,ChangeUp,NA,NA,78.72865,0.341432,2.48377,1929.334238,259.311026,02:45:00,5.99018,-1.39104,5.92633,-42.88983,2.53992,5.39335,2.73315,1.36454,71.79678,-7.580927,3.451587,0.485111,-1.99232,1.69,1.18934,50,5.99358,-5.15739,-114.19821,-0.65767,-2.60654,22.85561,-29.96306,0e26655c-054f-4243-bb2a-00227a554f16,NA,NA,NA,NA,NA,1000262919,"Friese, Hayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,WCC,1,Top,1,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,WCC,SamfordUniversity,D1,SOCON,20250426-SamfordUniversity-1,be6d2440-22c9-11f0-ac9d-6fec4a1fe88d,77.69851,NA,NA,6.93187,NA,NA,NA,107a6a8e-19a3-43eb-9e04-5df0d11458b3,2025-04-26,18:09:54,2025-04-26T18:09:54Z,2025-04-26T18:09:54Z,NA,v3,471431,471488,26 April 2025 15:00-wcarolina@samford,"Carr, Cade",1000090767,Right,SAM_BUL,54.57194,-115.1096,11.42781,5.99598,0.53714,-14.98153,1.39292,-5.05345,-1.30327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-26,13:10:13,"Riggins, Miller",1000112663,Left,SAM_BUL,Undefined,Slider,NA,NA,82.19855,-1.179945,3.249759,2035.064677,230.667275,01:45:00,5.90842,-1.52657,5.98381,-36.80002,4.65351,4.05252,1.74615,1.82657,75.38332,-7.966578,3.977122,0.463396,-1.13272,3.16079,1.26752,50,5.79495,-6.9246,-119.19544,-3.63168,-1.62277,23.80757,-27.64577,db9bfb66-aabb-4cfd-8158-1e8547f1e04e,NA,NA,NA,NA,NA,1000262919,"Friese, Hayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,WCC,1,Top,1,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,WCC,SamfordUniversity,D1,SOCON,20250426-SamfordUniversity-1,c9bc7f30-22c9-11f0-ac9d-6fec4a1fe88d,81.33962,NA,NA,6.81523,NA,NA,NA,107a6a8e-19a3-43eb-9e04-5df0d11458b3,2025-04-26,18:10:13,2025-04-26T18:10:13Z,2025-04-26T18:10:13Z,NA,v3,471431,471488,26 April 2025 15:00-wcarolina@samford,"Carr, Cade",1000090767,Right,SAM_BUL,54.51503,-120.09387,11.90379,5.91231,-2.58841,-13.82289,1.52768,-6.86336,-0.81138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-26,13:10:34,"Riggins, Miller",1000112663,Left,SAM_BUL,Undefined,Fastball,NA,NA,87.83732,-1.828995,2.951585,1984.342807,139.091733,10:45:00,5.6443,-1.45118,6.05486,-20.56399,15.83233,-12.61324,2.23479,0.23229,79.59272,-5.732744,0.683757,0.43421,7.40496,9.08961,1.2283,50,5.49095,-6.04809,-127.31991,-4.67282,12.03245,28.60254,-17.40419,2881f419-bb7c-42f3-bff7-8fff323c1aa8,NA,NA,NA,NA,-59.90015,1000262919,"Friese, Hayden",5052.62582,NA,78.80143,Left,33.424955,47.54391,50.68359,-99.19462,229.75257,115.35476,3.446844,-68.722194,0.79785,2.17714,-0.08846,NA,NA,NA,NA,NA,2,4,WCC,1,Top,1,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,WCC,SamfordUniversity,D1,SOCON,20250426-SamfordUniversity-1,d634c9c0-22c9-11f0-ac9d-6fec4a1fe88d,86.80684,51.59275,NA,8.2446,NA,NA,NA,107a6a8e-19a3-43eb-9e04-5df0d11458b3,2025-04-26,18:10:34,2025-04-26T18:10:34Z,2025-04-26T18:10:34Z,FlyBall,v3,471431,471488,26 April 2025 15:00-wcarolina@samford,"Carr, Cade",1000090767,Right,SAM_BUL,54.44382,-128.31433,14.30127,5.64289,-4.06773,-8.70209,1.44584,-6.46642,6.01622,NA,0.79798,48.37078,-15.38406,4.25815,-0.89031,0.17564,-0.03287,0.00419,-2.3e-4,2.17692,63.67101,-23.1733,2.19729,-0.44712,0.10346,-0.0236,0.00354,-2.2e-4,-0.08859,-83.44823,13.04619,-3.45711,0.68854,-0.1229,0.01957,-0.002,8e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
9,2025-04-26,13:11:22,"Riggins, Miller",1000112663,Left,SAM_BUL,Undefined,Fastball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000262919,"Friese, Hayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,WCC,1,Top,1,2,2,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,WCC,SamfordUniversity,D1,SOCON,20250426-SamfordUniversity-1,ee1db2e0-22c9-11f0-ac9d-6fec4a1fe88d,NA,NA,NA,NA,NA,NA,NA,107a6a8e-19a3-43eb-9e04-5df0d11458b3,2025-04-26,18:11:22,2025-04-26T18:11:22Z,2025-04-26T18:11:22Z,NA,v3,471431,471488,26 April 2025 15:00-wcarolina@samford,"Carr, Cade",1000090767,Right,SAM_BUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-04-26,13:11:23,"Riggins, Miller",1000112663,Left,SAM_BUL,Undefined,Fastball,NA,NA,89.13773,-1.599455,2.844072,2126.490546,167.285722,11:30:00,5.74876,-1.59044,6.08917,-15.24725,20.26096,-4.2767,2.99636,0.68626,80.19937,-4.562139,2.075247,0.42888,3.13902,11.35111,1.37317,50,5.61728,-6.2385,-129.14471,-3.99743,5.21245,31.10307,-13.32517,a09f1db3-0717-4a53-8203-9f0bdf73d2d3,NA,NA,NA,NA,-1.734197,1000262919,"Friese, Hayden",4459.08987,NA,89.85252,Left,41.254474,109.34955,92.21886,-11.94363,280.91334,261.20184,5.604803,-10.719279,1.46805,3.00897,-0.78503,NA,NA,NA,NA,NA,2,6,WCC,1,Top,1,3,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,SAM_BUL,WCC,SamfordUniversity,D1,SOCON,20250426-SamfordUniversity-1,f37ad650-22c9-11f0-ac9d-6fec4a1fe88d,87.88573,111.9602,NA,8.93836,NA,NA,NA,107a6a8e-19a3-43eb-9e04-5df0d11458b3,2025-04-26,18:11:23,2025-04-26T18:11:23Z,2025-04-26T18:11:23Z,FlyBall,v3,471431,471488,26 April 2025 15:00-wcarolina@samford,"Carr, Cade",1000090767,Right,SAM_BUL,54.40838,-130.20209,15.55154,5.74548,-3.54443,-6.66259,1.58827,-6.4157,2.60622,163.197388,1.47453,98.90036,-25.20164,6.38528,-1.02647,0.05719,0.01179,-0.00225,1.1e-4,3.00358,86.99007,-19.3657,0.80238,0.05392,-0.05374,0.0167,-0.00244,1.3e-4,-0.78406,-3.02074,-5.03716,1.90413,-0.45202,0.06498,-0.00405,-9e-5,2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
