PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,18:00:39,"Packard, Ryan",1000136067,Right,BIN_BEA,Undefined,Fastball,NA,NA,92.02858,-2.790782,-3.61564,2074.570469,212.219031,01:00:00,6.39944,1.86203,6.34393,-17.6371,15.1082,8.82162,2.35335,-0.73579,83.73707,-6.151981,-2.022866,0.411857,-5.64311,9.01626,-1.60284,50,6.18766,8.05804,-133.31942,-7.01205,-10.09741,30.2197,-16.04091,717b573f-2a15-4ed1-9ec7-46966aace042,NA,NA,NA,NA,NA,1000085353,"Myers, Luke",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ALB_GRE,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,BIN_BEA,ALB_GRE,BinghamtonUniversity,D1,AMEAST,20250516-BinghamtonUniversity-1,3473c090-32a1-11f0-9eb6-b14b4ce40556,91.51835,NA,NA,8.29151,NA,NA,NA,caf1aabc-f30d-43b6-ab73-ed2b241db6da,2025-05-16,22:00:39,2025-05-16T22:00:39Z,2025-05-16T22:00:39Z,NA,v3,471242,albany,16 May 2025 18:00-albany@sunybing,"Rogacki, Zach",10026305,Right,BIN_BEA,54.1534,-134.25757,15.10985,6.39762,-6.51406,-8.02046,-1.85786,8.37152,-5.04871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-16,18:00:55,"Packard, Ryan",1000136067,Right,BIN_BEA,Undefined,Fastball,NA,NA,92.64754,-1.96305,-3.226009,2143.946213,213.946935,01:15:00,6.26767,1.82946,6.15804,-15.72985,16.79548,10.55595,3.13973,-0.27434,84.04873,-4.981651,-1.32584,0.410471,-6.44237,9.6104,-1.58971,50,6.11032,7.12449,-134.31086,-5.05629,-11.67686,31.19674,-14.75511,d62fc48f-4788-4530-b849-7054e0e5f898,NA,NA,NA,NA,50.120196,1000085353,"Myers, Luke",4605.820504,NA,80.61584,Right,67.490534,NA,NA,NA,NA,34.4672,NA,NA,1.2987899999999999,2.7755,1.04246,NA,NA,NA,NA,NA,1,2,ALB_GRE,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,BIN_BEA,ALB_GRE,BinghamtonUniversity,D1,AMEAST,20250516-BinghamtonUniversity-1,3dd2e440-32a1-11f0-9eb6-b14b4ce40556,91.82731,67.78164,NA,8.59881,NA,NA,NA,caf1aabc-f30d-43b6-ab73-ed2b241db6da,2025-05-16,22:00:55,2025-05-16T22:00:55Z,2025-05-16T22:00:55Z,NA,v3,471242,albany,16 May 2025 18:00-albany@sunybing,"Rogacki, Zach",10026305,Right,BIN_BEA,54.34023,-135.31522,15.59837,6.26546,-4.58126,-7.37756,-1.82513,7.50042,-5.83843,216.164818,1.2987899999999999,29.02307,-12.81192,4.34645,-1.19685,0.30474,-0.0757,0.01649,-0.00228,2.7755,109.22868,-35.27782,5.45314,-1.04199,0.16199,-0.02121,0.0017,-9e-5,1.04246,34.73608,5.88472,-4.03465,1.45041,-0.44292,0.12398,-0.02942,0.00413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
3,2025-05-16,18:01:24,"Packard, Ryan",1000136067,Right,BIN_BEA,Undefined,Slider,NA,NA,79.03744,0.472308,-3.10057,2532.086787,64.59928,08:15:00,6.09785,2.26407,5.43859,-50.37503,-4.24512,-12.23536,2.34286,-1.66173,72.08391,-8.69184,-5.274276,0.488835,5.20622,-1.87677,-1.98072,50,6.10478,6.68196,-114.51145,-0.77258,6.81698,23.88329,-34.63146,9750b675-904e-48da-b4cc-286e061fb9ee,NA,NA,NA,NA,122.073528,1000085353,"Myers, Luke",2746.344888,NA,57.05017,Right,0.650148,NA,NA,NA,35.63696,33.71852,0.451038,121.059526,1.72067,2.6051,1.34912,NA,NA,NA,NA,NA,1,3,ALB_GRE,1,Top,0,0,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,BIN_BEA,ALB_GRE,BinghamtonUniversity,D1,AMEAST,20250516-BinghamtonUniversity-1,4f7c3930-32a1-11f0-9eb6-b14b4ce40556,77.10662,2.61969,NA,6.95353,NA,NA,NA,caf1aabc-f30d-43b6-ab73-ed2b241db6da,2025-05-16,22:01:24,2025-05-16T22:01:24Z,2025-05-16T22:01:24Z,GroundBall,v3,471242,albany,16 May 2025 18:00-albany@sunybing,"Rogacki, Zach",10026305,Right,BIN_BEA,55.06133,-115.56225,11.94164,6.10525,0.75112,-17.31573,-2.26811,6.38203,3.40849,NA,1.72426,-44.53625,-0.12871,NA,NA,NA,NA,NA,NA,2.60998,0.80481,-14.63706,NA,NA,NA,NA,NA,NA,1.35914,70.5987,-13.19099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
4,2025-05-16,18:01:47,"Packard, Ryan",1000136067,Right,BIN_BEA,Undefined,Fastball,NA,NA,92.23152,-0.615842,-4.236194,2270.656776,204.007848,12:45:00,6.28784,1.88939,6.5036,-14.51143,17.84336,7.46949,4.51177,-1.38326,83.74411,-3.432348,-2.886259,0.409393,-5.11205,9.81083,-1.59565,50,6.23787,9.5922,-133.6863,-1.79199,-9.20698,30.11215,-14.50437,07b687e5-7c92-4bcb-ba57-61bed6cdec03,NA,NA,NA,NA,NA,1000085353,"Myers, Luke",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ALB_GRE,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BIN_BEA,ALB_GRE,BinghamtonUniversity,D1,AMEAST,20250516-BinghamtonUniversity-1,5ccdccc0-32a1-11f0-9eb6-b14b4ce40556,92.06903,NA,NA,8.4874,NA,NA,NA,caf1aabc-f30d-43b6-ab73-ed2b241db6da,2025-05-16,22:01:47,2025-05-16T22:01:47Z,2025-05-16T22:01:47Z,NA,v3,471242,albany,16 May 2025 18:00-albany@sunybing,"Rogacki, Zach",10026305,Right,BIN_BEA,53.99268,-134.58262,15.05608,6.28479,-1.36025,-7.25218,-1.88525,9.86626,-4.60349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-16,18:02:05,"Packard, Ryan",1000136067,Right,BIN_BEA,Undefined,Slider,NA,NA,76.87448,0.731931,-0.851977,2474.21211,56.527229,08:00:00,6.07114,2.21949,5.5242000000000004,-57.79046,-9.15965,-16.42099,1.93966,0.0545,70.00738,-9.791853,-3.785777,0.501912,8.02339,-4.38583,-2.1341,50,6.09622,2.28678,-111.53622,-0.50392,9.9266,23.40543,-37.60023,a7558467-f487-4d43-830a-482918bbb34d,NA,NA,NA,NA,79.429235,1000085353,"Myers, Luke",4375.560467,NA,72.37729,Right,25.242978,NA,NA,NA,NA,75.2163,NA,NA,0.31624,2.30803,-0.05665,NA,NA,NA,NA,NA,1,5,ALB_GRE,1,Top,0,1,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,BIN_BEA,ALB_GRE,BinghamtonUniversity,D1,AMEAST,20250516-BinghamtonUniversity-1,67f50640-32a1-11f0-9eb6-b14b4ce40556,75.09777,32.07882,NA,6.86709,NA,NA,NA,caf1aabc-f30d-43b6-ab73-ed2b241db6da,2025-05-16,22:02:05,2025-05-16T22:02:05Z,2025-05-16T22:02:05Z,NA,v3,471242,albany,16 May 2025 18:00-albany@sunybing,"Rogacki, Zach",10026305,Right,BIN_BEA,54.97669,-112.57571,11.70272,6.08152,1.166,-18.80012,-2.22588,1.84592,4.9633,NA,0.31624,17.61418,-8.16856,1.17,-0.23832,0.04601,-0.00616,7.3e-4,-7e-5,2.30803,45.26986,-13.95776,1.29991,-0.15708,0.042,-0.00831,0.00105,-8e-5,-0.05665,94.38685,-11.12768,0.6171,-0.10271,0.00573,0.00219,-6.6e-4,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
6,2025-05-16,18:02:32,"Packard, Ryan",1000136067,Right,BIN_BEA,Undefined,Fastball,NA,NA,91.23193,-2.195765,-2.578686,2081.384946,200.679933,12:45:00,6.28971,1.81031,6.219,-15.94961,17.55564,6.18713,2.93134,-0.05525,82.68541,-5.2627370000000004,-1.462833,0.416608,-4.00713,10.1243,-1.62024,50,6.11717,5.70278,-132.29251,-5.51215,-7.03106,30.831,-14.40952,386679f2-8988-41f8-aca4-f14c849d4ae7,NA,NA,NA,NA,1.056203,1000085353,"Myers, Luke",4152.760208,NA,86.68691,Right,50.355024,109.92321,117.04994,4.10867,266.47815,266.47815,5.831411,3.2479460000000002,1.76481,3.06028,0.02347,NA,NA,NA,NA,NA,1,6,ALB_GRE,1,Top,0,1,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,BIN_BEA,ALB_GRE,BinghamtonUniversity,D1,AMEAST,20250516-BinghamtonUniversity-1,77ef2490-32a1-11f0-9eb6-b14b4ce40556,90.47453,129.1165,NA,8.54652,NA,NA,NA,caf1aabc-f30d-43b6-ab73-ed2b241db6da,2025-05-16,22:02:32,2025-05-16T22:02:32Z,2025-05-16T22:02:32Z,FlyBall,v3,471242,albany,16 May 2025 18:00-albany@sunybing,"Rogacki, Zach",10026305,Right,BIN_BEA,54.27873,-133.28594,15.4155,6.2873,-5.04784,-7.20476,-1.80764,5.92933,-3.51553,182.812934,1.7656,81.05268,-20.79215,5.98005,-0.96351,4.1e-4,0.03485,-0.0061,3.4e-4,3.02311,98.54288,-24.87912,4.8267,-2.2835,0.78725,-0.15369,0.01511,-5.8e-4,0.0232,1.50138,0.51876,-0.09994,-0.0068,0.01096,-0.00308,3.8e-4,-2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-05-16,18:03:04,"Packard, Ryan",1000136067,Right,BIN_BEA,Undefined,Fastball,NA,NA,91.46027,-1.161748,-1.940872,1889.095336,210.796057,01:00:00,6.34076,2.08462,6.1942,-19.35745,13.61276,7.50083,3.65435,0.91718,83.71673,-4.823218,-0.587499,0.413268,-4.39902,7.67863,-1.94204,50,6.24337,4.18711,-132.86221,-3.28409,-7.87435,28.08727,-18.42916,97b6c8a4-d548-4931-a400-4a3c4ae05524,NA,NA,NA,NA,NA,10023193,"Ferremi, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ALB_GRE,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BIN_BEA,ALB_GRE,BinghamtonUniversity,D1,AMEAST,20250516-BinghamtonUniversity-1,8acf72e0-32a1-11f0-9eb6-b14b4ce40556,91.20572,NA,NA,7.74354,NA,NA,NA,caf1aabc-f30d-43b6-ab73-ed2b241db6da,2025-05-16,22:03:04,2025-05-16T22:03:04Z,2025-05-16T22:03:04Z,NA,v3,471242,albany,16 May 2025 18:00-albany@sunybing,"Rogacki, Zach",10026305,Right,BIN_BEA,54.3036,-133.76891,14.04364,6.33978,-2.68917,-9.21458,-2.08131,4.4413,-3.93718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-16,18:03:21,"Packard, Ryan",1000136067,Right,BIN_BEA,Undefined,ChangeUp,NA,NA,82.1129,-2.58408,-3.713684,1648.607932,256.011852,02:30:00,5.86429,2.49875,6.15278,-35.90506,5.40709,16.26698,0.47805,0.41834,75.37911,-9.219586,-0.779843,0.462605,-9.56193,3.91894,-2.22464,50,5.64883,7.13122,-119.01739,-6.47825,-13.66133,23.68256,-26.57498,92aedc5c-513b-4ac6-a87c-1f23ece8511e,NA,NA,NA,NA,NA,10023193,"Ferremi, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ALB_GRE,1,Top,1,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BIN_BEA,ALB_GRE,BinghamtonUniversity,D1,AMEAST,20250516-BinghamtonUniversity-1,956f7b00-32a1-11f0-9eb6-b14b4ce40556,81.47866,NA,NA,6.73379,NA,NA,NA,caf1aabc-f30d-43b6-ab73-ed2b241db6da,2025-05-16,22:03:21,2025-05-16T22:03:21Z,2025-05-16T22:03:21Z,NA,v3,471242,albany,16 May 2025 18:00-albany@sunybing,"Rogacki, Zach",10026305,Right,BIN_BEA,54.34789,-119.87943,11.84128,5.86703,-5.51093,-13.28749,-2.49326,7.62849,-6.83066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-16,18:03:42,"Packard, Ryan",1000136067,Right,BIN_BEA,Undefined,Fastball,NA,NA,91.45542,-2.298411,-3.308424,2186.415261,204.22321,12:45:00,6.35322,2.08301,6.05538,-14.50391,18.83312,7.98465,3.01239,-0.31739,83.45435,-5.082173,-1.874488,0.415561,-5.04906,10.67977,-1.82994,50,6.16644,7.32727,-132.58647,-5.72754,-8.97674,28.67109,-13.18652,022c7a2a-5c86-4cbe-9a2e-0b0e0fb9419f,NA,NA,NA,NA,-46.857448,10023193,"Ferremi, Ryan",3442.323343,NA,60.04086,Left,37.823584,66.95082,43.13161,-87.2785,187.12066,167.84965,3.348894,-55.373503,0.66898,3.03336,0.29533,NA,NA,NA,NA,NA,2,3,ALB_GRE,1,Top,1,2,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,BIN_BEA,ALB_GRE,BinghamtonUniversity,D1,AMEAST,20250516-BinghamtonUniversity-1,a1643db0-32a1-11f0-9eb6-b14b4ce40556,90.7025,44.06827,NA,8.00107,NA,NA,NA,caf1aabc-f30d-43b6-ab73-ed2b241db6da,2025-05-16,22:03:42,2025-05-16T22:03:42Z,2025-05-16T22:03:42Z,Popup,v3,471242,albany,16 May 2025 18:00-albany@sunybing,"Rogacki, Zach",10026305,Right,BIN_BEA,54.44301,-133.54379,14.33555,6.35033,-5.28724,-6.59326,-2.0796,7.627,-4.48837,131.578686,0.66922,47.56166,-9.42222,2.55455,-0.66103,0.2389,-0.10382,0.02647,-0.00253,3.03388,53.98013,-19.25212,0.90375,0.34992,-0.37838,0.1574,-0.03034,0.0022,0.29487,-50.73735,1.62915,0.26469,-0.36643,0.20202,-0.06254,0.0096,-5.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-05-16,18:04:08,"Packard, Ryan",1000136067,Right,BIN_BEA,Undefined,Fastball,NA,NA,90.99358,-2.842312,-2.136672,2230.773406,211.129299,01:00:00,6.24599,2.14987,6.12118,-16.14867,17.82832,10.0191,2.26863,1.00857,82.13745,-5.947258,-0.331575,0.419531,-5.85898,10.47579,-1.99137,50,6.01974,4.49621,-131.83906,-6.99335,-10.16176,31.84307,-14.00487,9ba5914e-bad2-4b13-8987-b696b7eada97,NA,NA,NA,NA,-29.475199,10023193,"Ferremi, Ryan",NA,NA,85.99154,Left,42.058004,90.18057,83.43087,-62.98739,304.31119,127.44453,5.223063,-41.814835,1.54997,2.81274,-1.41475,NA,NA,NA,NA,NA,2,4,ALB_GRE,1,Top,1,2,1,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,BIN_BEA,ALB_GRE,BinghamtonUniversity,D1,AMEAST,20250516-BinghamtonUniversity-1,b14afb10-32a1-11f0-9eb6-b14b4ce40556,89.8443,99.5955,NA,8.85613,NA,NA,NA,caf1aabc-f30d-43b6-ab73-ed2b241db6da,2025-05-16,22:04:08,2025-05-16T22:04:08Z,2025-05-16T22:04:08Z,FlyBall,v3,471242,albany,16 May 2025 18:00-albany@sunybing,"Rogacki, Zach",10026305,Right,BIN_BEA,54.37573,-132.89173,15.92154,6.24328,-6.53038,-7.00243,-2.14556,4.83214,-5.08088,147.771409,1.55914,81.33655,-17.6541,3.47895,-0.09586,-0.19204,0.05651,-0.00659,2.8e-4,2.8107,84.51254,-21.69017,1.84386,-0.15523,-0.07735,0.03687,-0.00602,3.4e-4,-1.41503,-46.06762,1.83733,0.18184,-0.2051,0.07996,-0.01819,0.00222,-1.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
