PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,18:34:52,"Pendley, Brady",832008,Right,GEO_EAG,Undefined,Fastball,NA,NA,89.88565,-3.084857,-3.241344,2550.907826,227.279836,01:30:00,5.41461,1.02815,5.16598,-19.8097,16.36792,16.28028,0.85296,-0.66907,81.14328,-6.790135,-0.362372,0.432904,-9.18048,9.52363,-0.73888,50,5.11183,6.6039,-129.9022,-7.69776,-15.4745,30.64993,-16.12108,3332e71e-8e0a-4a9f-9d58-30de00cb037a,NA,NA,NA,NA,NA,10281913,"Langley, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,JMU_DUK,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_EAG,JMU_DUK,GeorgiaSouthern,D1,SBELT,20250502-GeorgiaSouthern-1,ac796790-27a5-11f0-866c-abcba31457b3,87.06885,NA,NA,8.74237,NA,NA,NA,0b09eaa0-6c6f-4e78-b5a0-07261fdafc79,2025-05-02,22:34:52,2025-05-02T22:34:52Z,2025-05-02T22:34:52Z,NA,v3,471303,471327,02 May 2025 18:30-jamesmad@georgiasou,"White, Sean",831997,Right,GEO_EAG,55.33301,-131.15447,15.32497,5.41288,-7.0391,-8.06054,-1.02161,7.23615,-7.73725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-02,18:35:06,"Pendley, Brady",832008,Right,GEO_EAG,Undefined,Fastball,NA,NA,90.37855,-1.799331,-2.15431,2515.308978,224.205621,01:30:00,5.31376,1.08365,5.11142,-20.38718,15.443,13.72733,1.91788,0.197,81.32826,-5.61602,0.273164,0.43082,-7.53343,8.64028,-0.89197,50,5.12897,4.27033,-130.78265,-4.83216,-12.83756,31.72566,-17.45036,4c025c2d-789e-42fc-9d62-9b32a71fcf07,NA,NA,NA,NA,NA,10281913,"Langley, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,JMU_DUK,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_EAG,JMU_DUK,GeorgiaSouthern,D1,SBELT,20250502-GeorgiaSouthern-1,b4b12240-27a5-11f0-866c-abcba31457b3,87.48998,NA,NA,9.0503,NA,NA,NA,0b09eaa0-6c6f-4e78-b5a0-07261fdafc79,2025-05-02,22:35:06,2025-05-02T22:35:06Z,2025-05-02T22:35:06Z,NA,v3,471303,471327,02 May 2025 18:30-jamesmad@georgiasou,"White, Sean",831997,Right,GEO_EAG,55.38623,-132.08279,15.86283,5.31234,-4.11703,-8.72518,-1.07775,4.79643,-6.41878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-02,18:35:23,"Pendley, Brady",832008,Right,GEO_EAG,Undefined,Fastball,NA,NA,90.08139,-1.864515,-3.634291,2551.798404,209.840681,01:00:00,5.34868,0.9317,5.16033,-20.8532,14.89993,7.84544,1.85175,-1.83996,81.81704,-5.742619,-2.249099,0.430357,-4.95445,8.32107,-0.59826,50,5.15878,7.90494,-130.30089,-4.99177,-8.47146,28.77181,-17.94613,6220a716-d62d-46fb-991e-ad1497ba6ebb,NA,NA,NA,NA,NA,10281913,"Langley, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,JMU_DUK,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_EAG,JMU_DUK,GeorgiaSouthern,D1,SBELT,20250502-GeorgiaSouthern-1,be5c9130-27a5-11f0-866c-abcba31457b3,87.58419,NA,NA,8.26435,NA,NA,NA,0b09eaa0-6c6f-4e78-b5a0-07261fdafc79,2025-05-02,22:35:23,2025-05-02T22:35:23Z,2025-05-02T22:35:23Z,NA,v3,471303,471327,02 May 2025 18:30-jamesmad@georgiasou,"White, Sean",831997,Right,GEO_EAG,55.33685,-131.47404,14.38591,5.3474,-4.26002,-8.97306,-0.92762,8.25036,-4.23573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-02,18:35:38,"Pendley, Brady",832008,Right,GEO_EAG,Undefined,Fastball,NA,NA,89.67434,-2.856523,-2.079536,2471.454072,215.636052,01:15:00,5.31031,1.15499,5.02663,-16.57084,19.63418,13.17914,1.22997,0.29014,81.47297,-5.972364,0.247029,0.433068,-7.13071,10.92981,-0.96708,50,5.0241,4.08811,-129.79104,-7.03072,-12.09691,28.55607,-13.63216,a0952561-4242-44ce-a6f0-3c9716de3c09,NA,NA,NA,NA,NA,10281913,"Langley, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,JMU_DUK,1,Top,0,2,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_EAG,JMU_DUK,GeorgiaSouthern,D1,SBELT,20250502-GeorgiaSouthern-1,c7a01690-27a5-11f0-866c-abcba31457b3,87.03587,NA,NA,8.20138,NA,NA,NA,0b09eaa0-6c6f-4e78-b5a0-07261fdafc79,2025-05-02,22:35:38,2025-05-02T22:35:38Z,2025-05-02T22:35:38Z,NA,v3,471303,471327,02 May 2025 18:30-jamesmad@georgiasou,"White, Sean",831997,Right,GEO_EAG,55.4716,-130.98935,14.27804,5.30713,-6.45866,-6.81608,-1.14928,4.59574,-6.04845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-02,18:35:52,"Pendley, Brady",832008,Right,GEO_EAG,Undefined,Slider,NA,NA,88.7505,-0.785489,-0.999908,2824.274166,168.082178,11:30:00,5.44986,0.92104,4.84542,-32.60018,4.08516,-0.63161,1.98934,-0.07837,81.75667,-6.682291,-1.111196,0.435931,0.05173,2.52323,-0.82164,50,5.34427,2.27775,-128.82363,-3.08756,0.08739,25.35351,-27.91001,28bba30c-d644-44f0-873d-418ade13cf67,NA,NA,NA,NA,-132.02168,10281913,"Langley, Kyle",4551.978982,NA,68.94639,Left,29.211654,-77.99039,24.88359,-77.57229,166.62453,51.508,2.285495,-137.079575,2.05048,1.80001,0.2953,NA,NA,NA,NA,NA,1,5,JMU_DUK,1,Top,0,2,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_EAG,JMU_DUK,GeorgiaSouthern,D1,SBELT,20250502-GeorgiaSouthern-1,d01cf090-27a5-11f0-866c-abcba31457b3,86.46424,27.09985,NA,6.99384,NA,NA,NA,0b09eaa0-6c6f-4e78-b5a0-07261fdafc79,2025-05-02,22:35:52,2025-05-02T22:35:52Z,2025-05-02T22:35:52Z,FlyBall,v3,471303,471327,02 May 2025 18:30-jamesmad@georgiasou,"White, Sean",831997,Right,GEO_EAG,55.65572,-129.93195,12.67675,5.45257,-1.86748,-13.95501,-0.92113,2.27393,0.04369,38.172108,2.05045,-59.08085,0.98952,0.86105,-0.40362,0.23627,-0.10967,0.03159,-0.00385,1.80001,49.35107,-26.78031,3.18741,-0.69975,0.14688,-0.03063,0.00611,-6e-4,0.29526,-65.56561,8.83441,-1.18893,0.04073,0.18204,-0.1187,0.03699,-0.00465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
6,2025-05-02,18:36:09,"Pendley, Brady",832008,Right,GEO_EAG,Undefined,Curveball,NA,NA,79.05111,0.600454,-0.26133,3031.855347,23.797968,06:45:00,5.59138,0.561,4.62984,-64.37826,-16.95965,-8.19418,0.79731,-0.37025,72.24655,-10.882021,-1.704429,0.495616,3.97555,-8.22894,-0.52608,50,5.5926,0.86838,-114.61003,-1.2794,5.20987,24.0987,-42.95784,f2acfeb6-65f3-4d6f-aaf6-22cc63f26712,NA,NA,NA,NA,56.070034,10281913,"Langley, Kyle",NA,NA,77.06267,Left,-9.104191,NA,NA,NA,10.81977,10.81977,0.072316,40.623993,3.70119,1.29508,0.33916,NA,NA,NA,NA,NA,1,6,JMU_DUK,1,Top,0,2,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_EAG,JMU_DUK,GeorgiaSouthern,D1,SBELT,20250502-GeorgiaSouthern-1,da5228f0-27a5-11f0-866c-abcba31457b3,76.05164,1.29508,NA,6.80456,NA,NA,NA,0b09eaa0-6c6f-4e78-b5a0-07261fdafc79,2025-05-02,22:36:09,2025-05-02T22:36:09Z,2025-05-02T22:36:09Z,GroundBall,v3,471303,471327,02 May 2025 18:30-jamesmad@georgiasou,"White, Sean",831997,Right,GEO_EAG,55.87459,-115.83867,12.04935,5.602,0.91076,-21.47892,-0.56358,0.60276,2.60493,180,3.70019,62.378660000000004,NA,NA,NA,NA,NA,NA,NA,1.29536,-17.90845,NA,NA,NA,NA,NA,NA,NA,0.33769,92.72445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-05-02,18:36:29,"Pendley, Brady",832008,Right,GEO_EAG,Undefined,Fastball,NA,NA,90.74826,-2.342561,-2.237699,2560.835886,216.98835,01:15:00,5.44365,0.89717,5.1268,-17.00678,18.62178,13.00461,1.81715,-0.12777,81.44128,-5.566839,0.061969,0.429606,-7.25331,10.44256,-0.69768,50,5.21113,4.51716,-131.24387,-5.93693,-12.41288,32.65836,-14.30326,776cb1fd-766c-4d88-8b6d-e7e4a987e369,NA,NA,NA,NA,-6.869446,10281913,"Langley, Kyle",3005.018431,NA,95.98754,Left,21.186616,108.15772,36.61252,-20.0475,335.06912,335.06912,3.752198,-17.574575,2.40771,1.92824,0.09002,NA,NA,NA,NA,NA,1,7,JMU_DUK,1,Top,0,2,2,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,NA,GEO_EAG,JMU_DUK,GeorgiaSouthern,D1,SBELT,20250502-GeorgiaSouthern-1,e6445390-27a5-11f0-866c-abcba31457b3,87.73714,46.08373,NA,9.30699,NA,NA,NA,0b09eaa0-6c6f-4e78-b5a0-07261fdafc79,2025-05-02,22:36:29,2025-05-02T22:36:29Z,2025-05-02T22:36:29Z,LineDrive,v3,471303,471327,02 May 2025 18:30-jamesmad@georgiasou,"White, Sean",831997,Right,GEO_EAG,55.37127,-132.57371,16.32918,5.44102,-5.35451,-7.15163,-0.89191,5.02261,-6.20644,132.44275,2.40717,130.33967,-23.68849,5.7562,-1.39387,0.35575,-0.08202,0.01233,-7.9e-4,1.92884,50.86224,-14.96299,-0.30412,0.54098,-0.23821,0.0633,-0.00861,4.4e-4,0.09,-15.69984,-8.36125,3.22851,-0.96192,0.23496,-0.04499,0.00559,-3.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-05-02,18:37:21,"Pendley, Brady",832008,Right,GEO_EAG,Undefined,Slider,NA,NA,83.8954,0.098342,-1.393197,2949.714839,99.465754,09:15:00,5.47437,0.98668,4.7466,-39.0312,2.41646,-6.70796,2.31508,-0.89401,76.93215,-6.949057,-2.572232,0.463363,2.93823,1.48599,-0.84019,50,5.44964,3.25613,-121.68544,-1.30956,4.40248,24.03439,-29.94755,ca889371-fa97-487c-84bc-9f7dad689a5f,NA,NA,NA,NA,-43.045819,1000244290,"Dooley, Ryan",2446.804902,NA,33.04353,Left,41.251933,NA,NA,NA,72.13687,64.59058,2.067002,-43.871888,3.28235,2.65745,0.77141,NA,NA,NA,NA,NA,2,1,JMU_DUK,1,Top,0,0,0,Slider,InPlay,Undefined,Bunt,Out,1,0,NA,GEO_EAG,JMU_DUK,GeorgiaSouthern,D1,SBELT,20250502-GeorgiaSouthern-1,04eada80-27a6-11f0-866c-abcba31457b3,81.34535,17.93727,NA,6.96325,NA,NA,NA,0b09eaa0-6c6f-4e78-b5a0-07261fdafc79,2025-05-02,22:37:21,2025-05-02T22:37:21Z,2025-05-02T22:37:21Z,GroundBall,v3,471303,471327,02 May 2025 18:30-jamesmad@georgiasou,"White, Sean",831997,Right,GEO_EAG,55.75468,-122.8168,12.01719,5.47811,0.10015,-14.97377,-0.98859,3.04889,2.20124,125.875491,3.28272,26.60073,-2.17815,-0.4247,2.14109,-2.40191,1.27099,-0.30733,0.02628,2.65763,31.94073,-17.19657,0.036,1.55899,-2.04598,1.37298,-0.45411,0.05803,0.77135,-24.86322,-0.12191,0.76791,-1.42037,1.7505,-1.23466,0.43857,-0.06051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-05-02,18:37:55,"Pendley, Brady",832008,Right,GEO_EAG,Undefined,Slider,NA,NA,85.48241,0.776054,-0.958125,2903.819429,96.483456,09:15:00,5.49076,0.8788,4.68852,-38.22203,1.70421,-4.17725,3.04261,-0.37913,78.36972,-6.123758,-1.691582,0.454779,1.78575,0.9911,-0.77749,50,5.53518,2.26741,-123.99095,0.13644,2.7858,24.30631,-30.62791,adab7c17-07ca-4201-a230-60a9dc296c26,NA,NA,NA,NA,NA,1000091807,"Calabrese, Coleman",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,JMU_DUK,1,Top,1,0,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,GEO_EAG,JMU_DUK,GeorgiaSouthern,D1,SBELT,20250502-GeorgiaSouthern-1,192c6680-27a6-11f0-866c-abcba31457b3,82.88073,NA,NA,7.11269,NA,NA,NA,0b09eaa0-6c6f-4e78-b5a0-07261fdafc79,2025-05-02,22:37:55,2025-05-02T22:37:55Z,2025-05-02T22:37:55Z,NA,v3,471303,471327,02 May 2025 18:30-jamesmad@georgiasou,"White, Sean",831997,Right,GEO_EAG,55.81145,-125.12499,12.15315,5.49548,1.56544,-15.31396,-0.88025,2.13743,1.3929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-02,18:38:14,"Pendley, Brady",832008,Right,GEO_EAG,Undefined,Slider,NA,NA,85.82894,-1.056625,-1.740121,2876.919279,146.377915,11:00:00,5.46401,0.98932,4.7933,-34.42419,4.82445,-2.44823,1.59342,-0.86427,79.34043,-7.264237,-2.170871,0.450904,0.76555,2.98394,-0.81346,50,5.32861,3.89503,-124.54651,-3.65896,1.21239,23.0881,-27.44854,04f40668-3540-436d-8784-3aa57c12a53d,NA,NA,NA,NA,NA,1000091807,"Calabrese, Coleman",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,JMU_DUK,1,Top,1,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,GEO_EAG,JMU_DUK,GeorgiaSouthern,D1,SBELT,20250502-GeorgiaSouthern-1,24599370-27a6-11f0-866c-abcba31457b3,83.59309,NA,NA,6.4885,NA,NA,NA,0b09eaa0-6c6f-4e78-b5a0-07261fdafc79,2025-05-02,22:38:14,2025-05-02T22:38:14Z,2025-05-02T22:38:14Z,NA,v3,471303,471327,02 May 2025 18:30-jamesmad@georgiasou,"White, Sean",831997,Right,GEO_EAG,55.70738,-125.60007,11.54405,5.467,-2.40642,-13.72427,-0.98994,3.8397,0.60619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
