PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:04:00,"Mozoki, Todd",1000242926,Right,JMU_DUK,Undefined,Sinker,NA,NA,89.59282,-0.903872,-5.460185,2239.988605,249.040549,02:15:00,4.31786,2.70339,6.16977,-27.71671,6.72095,14.85615,1.16943,-1.11708,82.43479,-6.053081,-2.796076,0.422365,-9.12945,4.01736,-2.29647,50,4.23486,11.81067,-129.77161,-2.96542,-15.68127,25.31294,-25.2736,1bd02286-1335-4f5e-b2ec-20c21eb6be36,NA,NA,NA,NA,NA,10275343,"Cox, Bennett",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CAN_GRI,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,8faef0a0-f210-11ef-903e-2ffcf1b04313,89.24134,NA,NA,7.15803,NA,NA,NA,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:04:00,2025-02-23T18:04:00Z,2025-02-23T18:04:00Z,NA,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,54.33085,-130.61365,12.65647,4.31952,-2.1247,-12.6368,-2.69803,12.33231,-7.84063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-23,13:04:17,"Mozoki, Todd",1000242926,Right,JMU_DUK,Undefined,Sinker,NA,NA,90.62235,-0.728921,-6.29435,2340.104777,254.197218,02:30:00,4.2388,2.77425,5.77546,-29.09293,5.20622,14.71481,1.13197,-1.88013,83.24707,-6.082232,-3.681961,0.421515,-9.11449,3.16681,-2.26139,50,4.16062,13.80779,-130.97603,-2.72318,-15.94448,25.83496,-26.63419,f0e6340a-d22c-4d91-bc31-3f2c5f6e47ac,NA,NA,NA,NA,NA,10275343,"Cox, Bennett",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,CAN_GRI,1,Top,0,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,997f73c0-f210-11ef-903e-2ffcf1b04313,89.42133,NA,NA,7.37528,NA,NA,NA,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:04:17,2025-02-23T18:04:17Z,2025-02-23T18:04:17Z,NA,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,54.72426,-131.9046,12.91748,4.2413,-1.76589,-13.31709,-2.76798,14.38087,-7.97224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-23,13:04:32,"Mozoki, Todd",1000242926,Right,JMU_DUK,Undefined,Sinker,NA,NA,89.52594,1.061869,-3.775346,2303.67961,244.792921,02:15:00,4.31928,2.65157,5.93874,-28.25809,6.63638,11.76005,2.95175,0.12427,81.65867,-4.19567,-1.669423,0.425157,-7.12725,3.41685,-2.35701,50,4.38809,8.08047,-129.82958,1.4516,-12.15847,27.3153,-26.34521,6f8dcc1d-3403-4f19-a579-8660e801bf95,NA,NA,NA,NA,-16.984349,10275343,"Cox, Bennett",1564.459362,NA,100.5037,Right,20.1673,104.95576,37.12093,-32.92726,361.0194,314.48798,4.055609,-18.029686,1.73647,2.93931,-0.12485,NA,NA,NA,NA,NA,1,3,CAN_GRI,1,Top,0,2,0,Sinker,InPlay,Undefined,LineDrive,Double,0,0,NA,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,a2946f10-f210-11ef-903e-2ffcf1b04313,88.65526,50.21032,NA,7.86727,NA,NA,NA,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:04:32,2025-02-23T18:04:32Z,2025-02-23T18:04:32Z,LineDrive,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,54.56091,-130.78564,13.65765,4.32115,2.37371,-13.1726,-2.64728,8.50603,-6.07924,166.458681,1.73574,132.35217,-22.81934,5.34481,-1.33644,0.34304,-0.0745,0.01018,-5.9e-4,2.94026,50.79477,-14.32009,0.12763,0.30784,-0.17027,0.05025,-0.00729,4e-4,-0.12437,-40.432,4.5149,-0.4076,0.07815,-0.05194,0.01899,-0.00326,2.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
4,2025-02-23,13:05:15,"Mozoki, Todd",1000242926,Right,JMU_DUK,Undefined,Sinker,NA,NA,89.07387,0.030745,-3.367752,2274.835664,278.255135,03:15:00,4.27276,2.98117,5.75711,-36.88183,-1.31508,17.04666,1.22795,1.26332,81.28164,-6.74768,-0.317954,0.429233,-9.64264,-0.32095,-2.71216,50,4.25293,6.86645,-129.19919,-1.28865,-16.23328,27.92788,-32.71435,dd12d8ec-c37f-4963-8696-e051c00d7d33,NA,NA,NA,NA,NA,10293513,"Glassford, Ronan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CAN_GRI,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,bc4bd6a0-f210-11ef-903e-2ffcf1b04313,87.81339,NA,NA,7.79222,NA,NA,NA,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:05:15,2025-02-23T18:05:15Z,2025-02-23T18:05:15Z,NA,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,54.74261,-130.22033,13.96394,4.27818,-0.0925,-16.35718,-2.97407,7.45999,-8.11664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-23,13:05:35,"Mozoki, Todd",1000242926,Right,JMU_DUK,Undefined,Sinker,NA,NA,90.08415,1.129132,-4.991177,2303.556485,275.128605,03:15:00,4.25047,2.90882,5.81243,-35.70663,-0.70236,21.30789,2.32899,0.03159,81.48974,-5.458549,-1.1896,0.425826,-12.37993,-0.35181,-2.51178,50,4.32211,10.45571,-130.33777,1.26907,-21.10829,29.65119,-32.77387,597d35f5-8979-4ab9-97e6-adb98f6cc064,NA,NA,NA,NA,-101.477128,10293513,"Glassford, Ronan",NA,NA,92.65053,Left,-47.455883,NA,NA,NA,2.11853,2.11853,0.022699,-77.494195,0.87451,2.2768,-0.02052,NA,NA,NA,NA,NA,2,2,CAN_GRI,1,Top,0,1,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,c854bd90-f210-11ef-903e-2ffcf1b04313,88.51611,2.2768,NA,8.5944,NA,NA,NA,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:05:35,2025-02-23T18:05:35Z,2025-02-23T18:05:35Z,GroundBall,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,54.68746,-131.39981,14.82559,4.25563,2.44297,-16.38694,-2.89982,11.21177,-10.55415,NA,0.87464,-18.31692,NA,NA,NA,NA,NA,NA,NA,2.2775,-100.30586,NA,NA,NA,NA,NA,NA,NA,-0.01989,-90.21485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
6,2025-02-23,13:06:05,"Mozoki, Todd",1000242926,Right,JMU_DUK,Undefined,Slider,NA,NA,81.22198,1.308316,-0.595433,2530.588074,93.015375,09:00:00,4.01747,2.91423,4.83909,-42.74345,1.92421,-6.37311,1.69458,1.81933,73.38321,-6.468264,-1.717514,0.481025,2.91512,1.05221,-2.84967,50,4.11085,1.50803,-117.58828,1.07209,4.02648,25.10463,-30.7207,32ef3f91-39b1-49e0-85f3-269b39c30202,NA,NA,NA,NA,NA,10293513,"Glassford, Ronan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,CAN_GRI,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,d9bc9cb0-f210-11ef-903e-2ffcf1b04313,78.35851,NA,NA,7.83878,NA,NA,NA,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:06:05,2025-02-23T18:06:05Z,2025-02-23T18:06:05Z,NA,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,55.65562,-118.78959,12.55231,4.02437,2.54215,-15.36035,-2.91722,1.31535,2.01324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-23,13:06:26,"Mozoki, Todd",1000242926,Right,JMU_DUK,Undefined,Sinker,NA,NA,89.22881,1.191892,-5.245911,2347.785199,269.484593,03:00:00,4.2632,2.85269,5.79722,-34.55533,1.56795,21.30462,2.49702,-0.26496,79.80493,-5.217634,-1.449037,0.432579,-12.62044,0.78032,-2.43334,50,4.34107,10.905,-128.88216,1.45372,-20.80085,31.80659,-30.88795,12435331-496e-47da-b0df-99d1f3499ab1,NA,NA,NA,NA,-7.047594,10293513,"Glassford, Ronan",1719.530259,NA,79.67956,Left,-0.52572700000000006,NA,NA,NA,43.1181,41.02951,0.372951,-7.672871,1.45956,2.53511,0.2832,NA,NA,NA,NA,NA,2,4,CAN_GRI,1,Top,0,2,1,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,e6567900-f210-11ef-903e-2ffcf1b04313,87.13428,2.53511,NA,9.42388,NA,NA,NA,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:06:26,2025-02-23T18:06:26Z,2025-02-23T18:06:26Z,GroundBall,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,54.7008,-130.03709,15.9033,4.26792,2.57529,-15.44397,-2.84303,11.6603,-10.40043,91.161794,1.46407,115.81384,-13.8707,NA,NA,NA,NA,NA,NA,2.53772,-1.16515,-15.13908,NA,NA,NA,NA,NA,NA,0.2862,-14.44508,-4.73597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,High,High,NA,NA,NA
8,2025-02-23,13:07:02,"Mozoki, Todd",1000242926,Right,JMU_DUK,Undefined,Slider,NA,NA,83.39559,0.912944,-3.279227,2632.597528,108.78816,09:45:00,4.20489,3.033,5.13106,-37.93018,3.52603,-6.5904,1.90529,-0.6078,76.40825,-5.989143,-4.441605,0.463411,2.39177,1.8385,-2.71959,50,4.2612,7.2024,-120.85002,0.54227,3.53448,23.71559,-29.45717,cfd5d7bb-5b87-4a16-aa31-5ff4dfe4f34e,NA,NA,NA,NA,0.1598,1000309801,"Spinosa, JC",4337.806125,NA,67.47561,Right,38.978522,109.77781,60.70543,6.98643,207.98127,202.41524,4.091814,6.627643,2.72904,2.06734,0.50389,NA,NA,NA,NA,NA,3,1,CAN_GRI,1,Top,1,0,0,Slider,InPlay,Undefined,FlyBall,Single,0,1,NA,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,fbfdd690-f210-11ef-903e-2ffcf1b04313,81.33697,61.01988,NA,6.98734,NA,NA,NA,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:07:02,2025-02-23T18:07:02Z,2025-02-23T18:07:02Z,FlyBall,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,55.36847,-121.89897,11.8578,4.20841,1.84518,-14.72858,-3.03469,7.04607,1.76724,193.75977,2.72948,76.92593,-15.05714,3.90772,-0.75667,0.12302,-0.02231,0.00373,-2.9e-4,2.06808,62.22448,-17.58799,0.45305,0.31329,-0.22574,0.07455,-0.01204,7.5e-4,0.5038,0.21637,2.52658,-0.47897,0.0789,-0.02092,0.00736,-0.00146,1.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-02-23,13:07:51,"Mozoki, Todd",1000242926,Right,JMU_DUK,Undefined,FourSeamFastBall,NA,NA,91.22221,1.370403,-3.463164,2365.666663,231.423989,01:45:00,4.41919,2.83582,5.66777,-24.70423,9.44493,10.4152,3.64084,0.47081,82.63507,-3.238164,-1.607147,0.420592,-6.24906,4.73221,-2.54947,50,4.51978,7.51821,-132.12617,2.29386,-10.98752,29.55897,-23.85358,dc6cb3a5-4229-477e-b087-d4179416dee2,NA,NA,NA,NA,NA,1000121677,"Rumley, Trent",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,CAN_GRI,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,18de6a90-f211-11ef-903e-2ffcf1b04313,89.61752,NA,NA,8.58714,NA,NA,NA,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:07:51,2025-02-23T18:07:51Z,2025-02-23T18:07:51Z,NA,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,54.82799,-133.2019,14.77949,4.4205,3.16196,-11.92679,-2.83035,7.91807,-5.49376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-23,13:08:12,"Mozoki, Todd",1000242926,Right,JMU_DUK,Undefined,FourSeamFastBall,NA,NA,90.52757,-0.039651,-4.464056,2303.617457,236.027353,01:45:00,4.29028,2.86007,5.65942,-27.46214,7.22788,9.02489,1.96468,-0.55918,82.33318,-5.12586,-2.858581,0.42391,-5.84788,4.03008,-2.4874,50,4.26969,9.82541,-131.03735,-1.0792,-10.12834,28.69323,-25.19405,7979c884-8b9c-4c0a-b54e-0ca5723b7534,NA,NA,NA,NA,NA,1000121677,"Rumley, Trent",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,CAN_GRI,1,Top,1,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,25594d30-f211-11ef-903e-2ffcf1b04313,88.91612,NA,NA,8.19439,NA,NA,NA,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:08:12,2025-02-23T18:08:12Z,2025-02-23T18:08:12Z,NA,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,54.83749,-132.09237,14.34662,4.29234,-0.15284,-12.59702,-2.85551,10.19782,-5.06417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
