PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-14,17:30:35,"Gold, Ryan",823234,Left,KEN_OWL,Undefined,Fastball,NA,NA,88.09672,-2.533167,4.417981,2012.073457,140.795615,10:45:00,6.261,-3.06921,6.17947,-19.18552,16.65399,-12.62694,2.3144,-0.03347,80.48553,-6.171803,2.148452,0.430876,7.80126,9.69335,2.74123,50,6.05916,-9.35624,-127.57526,-6.20593,12.84453,26.48157,-16.21424,4882bce3-937c-4a47-910f-205f8bad43f3,NA,NA,NA,NA,-139.252945,701906,"Cohen, Trevor",4834.77465,NA,67.97711,Left,47.58607,NA,NA,NA,NA,41.37465,NA,NA,1.96657,2.24334,0.15185,NA,NA,NA,NA,NA,1,1,RUT_SCA,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KEN_OWL,RUT_SCA,KennesawWalterKelly,D1,CUSA,20250214-KennesawWalterKelly-2,4fb35430-eb23-11ef-8f16-855423b4e5cd,87.4786,39.99612,NA,7.61119,NA,NA,NA,1fe24a20-1d59-469e-9760-2134b3c029da,2025-02-14,22:30:35,2025-02-14T22:30:35Z,2025-02-14T22:30:35Z,NA,v3,471506,471422,NA,"McGee, James",10071772,Right,KEN_OWL,54.3202,-128.4689,13.24079,6.25936,-5.65876,-8.10712,3.06428,-9.78969,6.42227,34.243934,1.96657,-50.94515,-0.60046,1.43751,-0.44089,0.12658,-0.02798,0.00607,-8.9e-4,2.24334,73.60735,-28.59904,3.90687,-0.84746,0.16989,-0.02967,0.00605,-7.6e-4,0.15185,-43.89259,8.58914,-0.43324,-0.03352,0.05683,-0.01629,0.00404,-7.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
2,2025-02-14,17:30:56,"Gold, Ryan",823234,Left,KEN_OWL,Undefined,Fastball,NA,NA,88.79723,-1.217352,5.453138,2118.541898,129.125748,10:15:00,6.21446,-3.01514,6.19058,-23.18564,12.27028,-13.61253,3.15309,0.90049,80.71275,-5.585775,3.012222,0.428564,8.60119,7.06036,2.60958,50,6.1106,-11.70024,-128.42279,-3.4467,14.29763,27.74707,-20.4377,983a1a41-c7a3-472f-a989-54c56dbddc9c,NA,NA,NA,NA,NA,701906,"Cohen, Trevor",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,RUT_SCA,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KEN_OWL,RUT_SCA,KennesawWalterKelly,D1,CUSA,20250214-KennesawWalterKelly-2,5c0a0d00-eb23-11ef-8f16-855423b4e5cd,87.95055,NA,NA,8.08448,NA,NA,NA,1fe24a20-1d59-469e-9760-2134b3c029da,2025-02-14,22:30:56,2025-02-14T22:30:56Z,2025-02-14T22:30:56Z,NA,v3,471506,471422,NA,"McGee, James",10071772,Right,KEN_OWL,54.3075,-129.35012,13.87354,6.21438,-2.76365,-10.21885,3.00859,-12.17807,7.14882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-14,17:31:12,"Gold, Ryan",823234,Left,KEN_OWL,Undefined,Fastball,NA,NA,88.34366,-0.882734,3.723751,2155.769009,126.527906,10:15:00,6.218,-3.13658,6.10173,-23.84966,12.35497,-14.86198,3.41236,-0.92639,79.40526,-5.399658,1.052053,0.433065,8.82619,7.04603,2.85722,50,6.13761,-7.69733,-127.90608,-2.70405,14.36844,30.64275,-20.70356,0bd57a52-f3eb-4733-9d9c-d3f175080226,NA,NA,NA,NA,NA,701906,"Cohen, Trevor",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,RUT_SCA,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KEN_OWL,RUT_SCA,KennesawWalterKelly,D1,CUSA,20250214-KennesawWalterKelly-2,65b1d270-eb23-11ef-8f16-855423b4e5cd,87.0364,NA,NA,8.9384,NA,NA,NA,1fe24a20-1d59-469e-9760-2134b3c029da,2025-02-14,22:31:12,2025-02-14T22:31:12Z,2025-02-14T22:31:12Z,NA,v3,471506,471422,NA,"McGee, James",10071772,Right,KEN_OWL,54.39426,-128.95452,15.32138,6.21801,-1.99567,-10.35178,3.129,-8.18895,7.18422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-14,17:31:29,"Gold, Ryan",823234,Left,KEN_OWL,Undefined,Fastball,NA,NA,88.60316,-1.855977,4.128427,2111.291334,130.808934,10:15:00,6.16144,-3.02369,6.22253,-21.2132,15.13206,-15.77926,2.67608,-0.52265,78.67461,-5.931656,1.287244,0.433906,9.70611,8.94146,2.72206,50,6.0119,-8.59355,-128.05619,-4.75719,15.61302,34.14433,-17.79101,161e2a93-9e87-40a1-9e28-ea6febf5210a,NA,NA,NA,NA,23.841409,701906,"Cohen, Trevor",NA,NA,101.44775,Left,-16.12211,NA,NA,NA,11.39891,9.49102,0.064587,22.271115000000002,2.09004,2.67306,0.58211,NA,NA,NA,NA,NA,1,4,RUT_SCA,1,Top,0,2,1,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,KEN_OWL,RUT_SCA,KennesawWalterKelly,D1,CUSA,20250214-KennesawWalterKelly-2,6f60eae0-eb23-11ef-8f16-855423b4e5cd,86.86784,2.67306,NA,9.92855,NA,NA,NA,1fe24a20-1d59-469e-9760-2134b3c029da,2025-02-14,22:31:29,2025-02-14T22:31:29Z,2025-02-14T22:31:29Z,GroundBall,v3,471506,471422,NA,"McGee, James",10071772,Right,KEN_OWL,54.27327,-129.19057,17.07217,6.16013,-4.16611,-8.89551,3.01618,-9.11226,7.80651,180,2.08772,130.96403,NA,NA,NA,NA,NA,NA,NA,2.6738,-41.38725,NA,NA,NA,NA,NA,NA,NA,0.58109,57.87512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2025-02-14,17:31:58,"Gold, Ryan",823234,Left,KEN_OWL,Undefined,ChangeUp,NA,NA,76.00667,0.688165,3.129867,1540.311422,111.536278,09:45:00,6.30521,-3.08996,5.94424,-40.83664,8.19489,-16.27068,3.54147,-1.53978,68.68366,-6.925114,0.209965,0.503975,9.28516,4.52221,2.84932,50,6.33755,-5.42073,-110.12013,0.13355,11.23142,22.27681,-26.70393,48b1aea9-bfeb-438f-b88b-03b88d2ac9b1,NA,NA,NA,NA,NA,1000230350,"Hyde, Brennan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,RUT_SCA,1,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KEN_OWL,RUT_SCA,KennesawWalterKelly,D1,CUSA,20250214-KennesawWalterKelly-2,810c89c0-eb23-11ef-8f16-855423b4e5cd,74.79028,NA,NA,7.32301,NA,NA,NA,1fe24a20-1d59-469e-9760-2134b3c029da,2025-02-14,22:31:58,2025-02-14T22:31:58Z,2025-02-14T22:31:58Z,NA,v3,471506,471422,NA,"McGee, James",10071772,Right,KEN_OWL,54.55239,-111.03724,11.13841,6.30943,1.23292,-13.35197,3.082,-5.88311,5.61571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-14,17:32:12,"Gold, Ryan",823234,Left,KEN_OWL,Undefined,ChangeUp,NA,NA,77.99927,-2.842035,6.62653,1973.57034,120.619895,10:00:00,6.1755,-2.92644,5.98901,-35.79652,11.09056,-15.848,0.53859,1.92185,70.92867,-9.470647,3.800496,0.492831,10.22985,7.07941,2.41038,50,5.93007,-12.47818,-112.3614,-6.65087,12.9293,22.52024,-23.22649,0481c5f3-90f9-4703-bafc-3da6b92feeba,NA,NA,NA,NA,NA,1000230350,"Hyde, Brennan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,RUT_SCA,1,Top,1,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KEN_OWL,RUT_SCA,KennesawWalterKelly,D1,CUSA,20250214-KennesawWalterKelly-2,894a8600-eb23-11ef-8f16-855423b4e5cd,76.48148,NA,NA,7.07059,NA,NA,NA,1fe24a20-1d59-469e-9760-2134b3c029da,2025-02-14,22:32:12,2025-02-14T22:32:12Z,2025-02-14T22:32:12Z,NA,v3,471506,471422,NA,"McGee, James",10071772,Right,KEN_OWL,54.50952,-113.26162,11.26012,6.17737,-5.72241,-11.61325,2.91951,-12.99501,6.46465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-14,17:32:33,"Gold, Ryan",823234,Left,KEN_OWL,Undefined,Fastball,NA,NA,87.98244,0.045996,3.995218,2058.325797,150.368727,11:00:00,6.22204,-2.87055,6.18547,-16.18942,19.92666,-10.62623,4.9155,-0.06103,79.50445,-3.089826,2.084959,0.432536,6.6428,10.6104,2.57357,50,6.217,-8.45708,-127.44745,-0.29578,10.83207,28.29088,-14.87224,d7df01e7-3237-4c09-b8d3-da7f7b885a43,NA,NA,NA,NA,NA,1000230350,"Hyde, Brennan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,RUT_SCA,1,Top,1,2,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KEN_OWL,RUT_SCA,KennesawWalterKelly,D1,CUSA,20250214-KennesawWalterKelly-2,960027b0-eb23-11ef-8f16-855423b4e5cd,87.14298,NA,NA,8.47799,NA,NA,NA,1fe24a20-1d59-469e-9760-2134b3c029da,2025-02-14,22:32:33,2025-02-14T22:32:33Z,2025-02-14T22:32:33Z,NA,v3,471506,471422,NA,"McGee, James",10071772,Right,KEN_OWL,54.31013,-128.40066,14.14544,6.21852,0.20531,-7.43612,2.86466,-8.82205,5.41604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-14,17:32:51,"Gold, Ryan",823234,Left,KEN_OWL,Undefined,Fastball,NA,NA,87.88283,-1.188418,3.855752,1996.244495,155.441721,11:15:00,6.20011,-2.99022,6.14647,-18.49324,17.79493,-7.55174,3.55821,-0.05125,79.52167,-4.729955,2.498757,0.433565,5.04957,9.90646,2.69994,50,6.0998,-8.26502,-127.2819,-3.14758,8.20398,28.47309,-16.07906,61806e97-7835-466c-8104-77280f918365,NA,NA,NA,NA,NA,1000230350,"Hyde, Brennan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,RUT_SCA,1,Top,1,3,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,KEN_OWL,RUT_SCA,KennesawWalterKelly,D1,CUSA,20250214-KennesawWalterKelly-2,a0ab0540-eb23-11ef-8f16-855423b4e5cd,86.93614,NA,NA,8.36116,NA,NA,NA,1fe24a20-1d59-469e-9760-2134b3c029da,2025-02-14,22:32:51,2025-02-14T22:32:51Z,2025-02-14T22:32:51Z,NA,v3,471506,471422,NA,"McGee, James",10071772,Right,KEN_OWL,54.34941,-128.25118,14.23655,6.19763,-2.60022,-8.03953,2.98605,-8.54429,4.10199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-14,17:33:46,"Gold, Ryan",823234,Left,KEN_OWL,Undefined,Fastball,NA,NA,88.16098,-1.444217,4.388156,1945.697354,153.253713,11:00:00,6.2305,-3.06032,5.99236,-16.41855,20.24493,-9.49847,3.51966,0.22277,78.98825,-4.626952,2.68817,0.435801,6.27146,11.21796,2.71872,50,6.10723,-9.36554,-127.41789,-3.63693,10.11797,30.73496,-14.07573,371b8fd4-8bf6-4619-bf79-5a879cb0528f,NA,NA,NA,NA,NA,1000230350,"Hyde, Brennan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,RUT_SCA,1,Top,1,3,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,KEN_OWL,RUT_SCA,KennesawWalterKelly,D1,CUSA,20250214-KennesawWalterKelly-2,c1417550-eb23-11ef-8f16-855423b4e5cd,86.49004,NA,NA,9.17273,NA,NA,NA,1fe24a20-1d59-469e-9760-2134b3c029da,2025-02-14,22:33:46,2025-02-14T22:33:46Z,2025-02-14T22:33:46Z,NA,v3,471506,471422,NA,"McGee, James",10071772,Right,KEN_OWL,54.50126,-128.49908,15.36748,6.22646,-3.14178,-7.03786,3.05444,-9.72147,5.05898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-14,17:34:07,"Gold, Ryan",823234,Left,KEN_OWL,Undefined,Fastball,NA,NA,88.85888,-3.179408,4.174399,2081.777366,152.018945,11:00:00,6.1658,-3.01863,6.21086,-13.74394,22.22261,-11.04745,2.0753,-0.07977,79.43314,-5.889956,2.187723,0.431639,7.16516,13.00843,2.71042,50,5.91966,-8.91441,-128.36456,-7.45127,11.67569,32.36172,-10.97673,a58d58c2-2f71-4ca4-b37a-66c8564a93d4,NA,NA,NA,NA,163.698357,1000230350,"Hyde, Brennan",2302.887332,NA,67.23724,Right,28.183926,NA,NA,NA,NA,46.51729,NA,NA,2.16048,2.14177,0.08983,NA,NA,NA,NA,NA,2,6,RUT_SCA,1,Top,1,3,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KEN_OWL,RUT_SCA,KennesawWalterKelly,D1,CUSA,20250214-KennesawWalterKelly-2,ce1107a0-eb23-11ef-8f16-855423b4e5cd,87.32394,22.14968,NA,9.42574,NA,NA,NA,1fe24a20-1d59-469e-9760-2134b3c029da,2025-02-14,22:34:07,2025-02-14T22:34:07Z,2025-02-14T22:34:07Z,NA,v3,471506,471422,NA,"McGee, James",10071772,Right,KEN_OWL,54.28531,-129.44041000000001,16.18086,6.16131,-7.08635,-5.48837,3.01323,-9.30257,5.83784,336.616531,2.16048,-83.42783,7.62013,-0.4955,0.19841,-0.36496,0.82095,-0.95476,0.43609,2.14177,46.57599,-22.68328,2.17325,-0.56651,0.86271,-1.79458,2.0859,-0.95963,0.08983,24.39859,-3.23932,-0.38541,0.11432,-0.27323,0.57201,-0.66958,0.3118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
