PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,11:02:44,"Hoslett, Ian",1000212515,Right,NMS_AGG,Undefined,Fastball,NA,NA,88.62222,-1.622944,-4.781062,2207.13165,209.325775,01:00:00,5.98188,2.66761,5.30892,-18.25458,18.59473,9.72772,2.93153,-1.02004,80.31959,-5.063592,-3.063667,0.436904,-6.25209,10.14197,-2.24002,50,5.82132,10.26181,-128.03823,-4.22338,-10.31618,27.92409,-15.43939,985ef807-6eab-4338-b55c-2c0bc91e3e48,NA,NA,NA,NA,NA,1000190975,"Snider, Eston",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MTSU_BLU,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NMS_AGG,MTSU_BLU,PresleyAskewField,D1,CUSA,20250427-PresleyAskewField-1,707ce390-2389-11f0-9107-57a65748faa2,86.27165,NA,NA,8.30262,NA,NA,NA,10786da6-0acd-4aec-82ac-e5035d60c96a,2025-04-27,17:02:44,2025-04-27T17:02:44Z,2025-04-27T17:02:44Z,NA,v3,471379,471359,27 April 2025 13:00-mtennst@nmstate,"Woodcook, Dane",1000263614,Right,NMS_AGG,55.18778,-129.16469,13.96205,5.97912,-3.60055,-7.7197,-2.66238,10.67796,-5.15809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-27,11:02:57,"Hoslett, Ian",1000212515,Right,NMS_AGG,Undefined,Slider,NA,NA,78.50777,1.226819,-2.67028,2403.124243,42.306812,07:30:00,5.86684,2.92227,4.58027,-56.7535,-7.82918,-8.83749,2.30601,-0.3565,70.5644,-8.9735,-4.217301,0.503424,3.33721,-3.66406,-2.6371000000000002,50,5.94119,5.67873,-113.40158,0.24763,4.23223,25.78409,-36.8208,cbfe8aaf-f42c-4e07-8a18-4401f834a1fc,NA,NA,NA,NA,NA,1000190975,"Snider, Eston",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MTSU_BLU,1,Top,0,0,1,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,NMS_AGG,MTSU_BLU,PresleyAskewField,D1,CUSA,20250427-PresleyAskewField-1,78648270-2389-11f0-9107-57a65748faa2,74.87217,NA,NA,7.94337,NA,NA,NA,10786da6-0acd-4aec-82ac-e5035d60c96a,2025-04-27,17:02:57,2025-04-27T17:02:57Z,2025-04-27T17:02:57Z,NA,v3,471379,471359,27 April 2025 13:00-mtennst@nmstate,"Woodcook, Dane",1000263614,Right,NMS_AGG,55.91736,-114.73912,12.89205,5.8788,2.1577,-18.4104,-2.92599,5.45919,2.11611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-27,11:03:11,"Hoslett, Ian",1000212515,Right,NMS_AGG,Undefined,Slider,NA,NA,77.94077,0.504144,-2.291309,2455.295264,38.301448,07:15:00,5.99227,2.72577,4.67985,-55.30129,-6.59827,-6.52544,1.86299,0.00488,71.12617,-9.412436,-3.437397,0.502284,2.51984,-3.06587,-2.48622,50,5.99302,4.78596,-112.88017,-1.05461,3.21054,22.94863,-36.08029,d2a34679-1d09-4ca6-b815-94d6e8aee67b,NA,NA,NA,NA,NA,1000190975,"Snider, Eston",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MTSU_BLU,1,Top,0,0,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NMS_AGG,MTSU_BLU,PresleyAskewField,D1,CUSA,20250427-PresleyAskewField-1,80a39020-2389-11f0-9107-57a65748faa2,75.04208,NA,NA,6.8146,NA,NA,NA,10786da6-0acd-4aec-82ac-e5035d60c96a,2025-04-27,17:03:11,2025-04-27T17:03:11Z,2025-04-27T17:03:11Z,NA,v3,471379,471359,27 April 2025 13:00-mtennst@nmstate,"Woodcook, Dane",1000263614,Right,NMS_AGG,55.82203,-114.05765,11.47431,5.99964,0.79665,-18.04014,-2.72756,4.62123,1.60527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-27,11:03:31,"Hoslett, Ian",1000212515,Right,NMS_AGG,Undefined,Slider,NA,NA,76.49751,0.514768,-3.509785,2507.30919,51.670799,07:45:00,5.99236,2.70184,4.79241,-57.61109,-7.51615,-11.49434,1.6802,-1.58636,70.48956,-9.783871,-5.527456,0.509411,4.69201,-3.51843,-2.34058,50,5.99296,7.25388,-110.79639,-1.07389,5.80132,20.78234,-36.52433,78adf6ba-b57a-4b7c-9e1f-94f741aadc0a,NA,NA,NA,NA,120.709721,1000190975,"Snider, Eston",5158.83031,NA,56.13773,Right,54.798111,NA,NA,NA,NA,24.91742,NA,NA,2.81803,1.85202,1.41344,NA,NA,NA,NA,NA,1,4,MTSU_BLU,1,Top,0,0,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NMS_AGG,MTSU_BLU,PresleyAskewField,D1,CUSA,20250427-PresleyAskewField-1,8cbca3b0-2389-11f0-9107-57a65748faa2,73.99219,32.51731,NA,6.00795,NA,NA,NA,10786da6-0acd-4aec-82ac-e5035d60c96a,2025-04-27,17:03:31,2025-04-27T17:03:31Z,2025-04-27T17:03:31Z,NA,v3,471379,471359,27 April 2025 13:00-mtennst@nmstate,"Woodcook, Dane",1000263614,Right,NMS_AGG,55.71074,-111.86244,10.39117,5.99999,0.79965,-18.26216,-2.70505,6.9563,2.90066,321.569986,2.81803,-24.23862,-2.97738,1.33572,0.08832,-1.50417,2.98501,-3.03554,1.27437,1.85203,67.2782,-21.83892,1.89833,-0.39085,0.27924,-0.46906,0.47191,-0.19792,1.41344,40.80707,-6.10905,1.71458,-0.00914,-1.14493,2.2763,-2.31419,0.97124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
5,2025-04-27,11:03:50,"Hoslett, Ian",1000212515,Right,NMS_AGG,Undefined,Fastball,NA,NA,90.9071,-0.91534,-4.841034,2396.392891,220.863697,01:15:00,5.91239,2.84176,5.25651,-19.45785,15.56654,12.43292,3.42771,-0.68158,82.421,-4.557304,-2.647884,0.425948,-7.66784,8.40347,-2.40679,50,5.81431,10.55653,-131.41576,-2.78482,-13.33643,29.26351,-17.55816,83997a0e-484f-4d63-85df-6c773a807f1f,NA,NA,NA,NA,49.392278,1000190975,"Snider, Eston",5192.028142,NA,79.17836,Right,51.610233,59.73999,108.5904,92.36403,224.27896,89.80835,5.379755,61.594084,1.66151,3.33797,0.42114,NA,NA,NA,NA,NA,1,5,MTSU_BLU,1,Top,0,0,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NMS_AGG,MTSU_BLU,PresleyAskewField,D1,CUSA,20250427-PresleyAskewField-1,97a8f710-2389-11f0-9107-57a65748faa2,88.49066,111.35106,NA,8.4861,NA,NA,NA,10786da6-0acd-4aec-82ac-e5035d60c96a,2025-04-27,17:03:50,2025-04-27T17:03:50Z,2025-04-27T17:03:50Z,FlyBall,v3,471379,471359,27 April 2025 13:00-mtennst@nmstate,"Woodcook, Dane",1000263614,Right,NMS_AGG,55.24279,-132.57808,14.63176,5.91108,-2.08742,-8.77908,-2.83661,11.08624,-6.66822,203.115204,1.6645,46.8658,-15.44873,3.91704,-0.30918,-0.16788,0.06281,-0.00853,4.2e-4,3.33344,91.0968,-22.7973,2.20361,-0.43829,0.0548,0.00477,-0.00225,1.7e-4,0.4214,54.73878,-8.04717,1.64188,-0.17317,-0.01903,0.00957,-0.00121,5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
6,2025-04-27,11:04:15,"Hoslett, Ian",1000212515,Right,NMS_AGG,Undefined,ChangeUp,NA,NA,79.61406,0.405753,-3.729418,1990.683938,257.220489,02:30:00,5.71033,2.90475,5.6903,-38.72297,5.84827,19.44615,2.8624,1.04448,72.80047,-6.73473,-0.25815,0.480506,-11.00997,3.24713,-2.60353,50,5.72013,6.78667,-115.44534,-0.41796,-14.83309,21.83644,-27.79939,231771c2-3c80-4772-a54c-7e3d63832007,NA,NA,NA,NA,-70.252301,1000190975,"Snider, Eston",NA,NA,65.20649,Right,-38.745265,NA,NA,NA,6.42376,5.28847,0.052126,-44.14818,3.28865,3.13653,-0.79543,NA,NA,NA,NA,NA,1,6,MTSU_BLU,1,Top,0,0,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NMS_AGG,MTSU_BLU,PresleyAskewField,D1,CUSA,20250427-PresleyAskewField-1,a684ad10-2389-11f0-9107-57a65748faa2,78.44324,3.13653,NA,6.81359,NA,NA,NA,10786da6-0acd-4aec-82ac-e5035d60c96a,2025-04-27,17:04:15,2025-04-27T17:04:15Z,2025-04-27T17:04:15Z,GroundBall,v3,471379,471359,27 April 2025 13:00-mtennst@nmstate,"Woodcook, Dane",1000263614,Right,NMS_AGG,54.8114,-116.35185,10.91822,5.71353,0.7361,-13.8997,-2.89805,7.40245,-7.41655,180,3.28752,25.33595,NA,NA,NA,NA,NA,NA,NA,3.13919,-60.17187,NA,NA,NA,NA,NA,NA,NA,-0.79231,-70.57537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
7,2025-04-27,11:04:36,"Hoslett, Ian",1000212515,Right,NMS_AGG,Undefined,Slider,NA,NA,76.20988,0.948532,-3.282302,2178.175323,46.873811,07:30:00,5.96657,2.61338,4.91027,-55.0559,-4.71233,-6.77937,2.2771,-1.05881,69.8474,-8.959814,-4.474983,0.510674,2.40567,-2.25579,-2.28628,50,6.01278,6.5966,-110.36702,-0.1027,2.9456,20.98126,-34.93611,53769cfb-75ad-4e2d-a7a7-0a871ab86721,NA,NA,NA,NA,-29.130575,1000190975,"Snider, Eston",NA,NA,85.07275,Right,-12.97335,NA,NA,NA,14.02523,13.68046,0.091927,-18.78526,3.49192,2.58099,0.93734,NA,NA,NA,NA,NA,1,7,MTSU_BLU,1,Top,0,0,2,Curveball,InPlay,Undefined,GroundBall,Single,0,0,NA,NMS_AGG,MTSU_BLU,PresleyAskewField,D1,CUSA,20250427-PresleyAskewField-1,b3133ec0-2389-11f0-9107-57a65748faa2,73.80925,2.58099,NA,6.36249,NA,NA,NA,10786da6-0acd-4aec-82ac-e5035d60c96a,2025-04-27,17:04:36,2025-04-27T17:04:36Z,2025-04-27T17:04:36Z,GroundBall,v3,471379,471359,27 April 2025 13:00-mtennst@nmstate,"Woodcook, Dane",1000263614,Right,NMS_AGG,55.59175,-111.42497,10.49063,5.97354,1.6589,-17.46805,-2.61516,6.44807,1.4728,180,3.48826,106.45627,NA,NA,NA,NA,NA,NA,NA,2.58196,-28.07655,NA,NA,NA,NA,NA,NA,NA,0.93938,-59.32723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-04-27,11:05:14,"Hoslett, Ian",1000212515,Right,NMS_AGG,Undefined,Slider,NA,NA,74.33979,1.512253,-2.949642,2207.75215,60.976213,08:00:00,6.11039,2.79269,4.20875,-55.37409,-0.81185,-4.85185,2.94669,-0.43951,67.65259,-8.379453,-3.792237,0.53164,1.41965,-0.29213,-2.46272,50,6.21929,5.74325,-107.43799,0.77389,1.64241,20.38729,-32.512,c111b894-6a79-4a66-8ac5-e383e37de6e5,NA,NA,NA,NA,NA,1000278129,"Rodgers, Brett",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MTSU_BLU,1,Top,0,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NMS_AGG,MTSU_BLU,PresleyAskewField,D1,CUSA,20250427-PresleyAskewField-1,ca0b5f40-2389-11f0-9107-57a65748faa2,70.89845,NA,NA,6.6872,NA,NA,NA,10786da6-0acd-4aec-82ac-e5035d60c96a,2025-04-27,17:05:14,2025-04-27T17:05:14Z,2025-04-27T17:05:14Z,NA,v3,471379,471359,27 April 2025 13:00-mtennst@nmstate,"Woodcook, Dane",1000263614,Right,NMS_AGG,56.28948,-108.62492,10.19365,6.11913,2.6667,-16.256,-2.7943,5.64763,0.8212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-27,11:05:29,"Hoslett, Ian",1000212515,Right,NMS_AGG,Undefined,Slider,NA,NA,75.89762,-1.228696,-2.816552,2274.750957,85.362568,08:45:00,6.14634,2.58573,4.53835,-50.56861,1.56776,-4.58902,0.76083,-0.48054,68.88189,-10.297135,-3.620255,0.519687,1.3089,1.64654,-2.28739,50,5.97061,5.58463,-109.67509,-4.17543,1.56192,23.06564,-30.20923,94c7b211-e2a7-4800-93aa-2ac9bed84092,NA,NA,NA,NA,NA,1000278129,"Rodgers, Brett",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,MTSU_BLU,1,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NMS_AGG,MTSU_BLU,PresleyAskewField,D1,CUSA,20250427-PresleyAskewField-1,d2eaa490-2389-11f0-9107-57a65748faa2,72.52914,NA,NA,7.01572,NA,NA,NA,10786da6-0acd-4aec-82ac-e5035d60c96a,2025-04-27,17:05:29,2025-04-27T17:05:29Z,2025-04-27T17:05:29Z,NA,v3,471379,471359,27 April 2025 13:00-mtennst@nmstate,"Woodcook, Dane",1000263614,Right,NMS_AGG,55.96045,-110.92154,11.53282,6.15214,-2.54295,-15.10461,-2.5869,5.50023,0.78096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-27,11:05:44,"Hoslett, Ian",1000212515,Right,NMS_AGG,Undefined,Fastball,NA,NA,89.18972,-1.967405,-3.73416,2301.657506,215.518306,01:15:00,6.02942,2.74132,4.9148,-19.09788,17.64714,11.70599,2.57296,0.18098,81.08613,-5.52533,-1.676847,0.436285,-6.88693,9.65516,-2.38676,50,5.82176,7.86997,-129.00182,-5.11858,-11.56088,27.79608,-15.96627,62734bbd-aeea-4e76-bec6-83abdcb8a324,NA,NA,NA,NA,-173.497031,1000278129,"Rodgers, Brett",1887.870923,NA,73.64408,Left,10.059918,NA,NA,NA,121.82518,56.93856,1.308713,-171.112715,1.70388,2.60052,-0.17482,NA,NA,NA,NA,NA,2,3,MTSU_BLU,1,Top,0,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NMS_AGG,MTSU_BLU,PresleyAskewField,D1,CUSA,20250427-PresleyAskewField-1,dc0d5b80-2389-11f0-9107-57a65748faa2,86.39401,7.95601,NA,8.10359,NA,NA,NA,10786da6-0acd-4aec-82ac-e5035d60c96a,2025-04-27,17:05:44,2025-04-27T17:05:44Z,2025-04-27T17:05:44Z,GroundBall,v3,471379,471359,27 April 2025 13:00-mtennst@nmstate,"Woodcook, Dane",1000263614,Right,NMS_AGG,55.58433,-130.19952,13.89804,6.02749,-4.43061,-7.98314,-2.7366,8.36812,-5.78044,255.556183,1.70388,-105.66627,11.43399,-1.89283,0.36696,-0.06329,0.01149,-0.00198,1.9e-4,2.60052,18.86717,-17.25633,1.23657,-0.22576,0.04795,-0.00741,0.0012,-1.4e-4,-0.17482,-12.0447,-2.09052,0.39295,-0.07805,0.01456,-0.00254,4.4e-4,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
