PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,15:06:33,"Nunez, Michael",813718,Right,LOY_LIO,Undefined,Splitter,NA,NA,82.46894,0.316658,-0.889503,954.437369,271.011734,03:00:00,6.14254,1.50671,5.52625,-40.27825,1.1285,5.4626,3.08212,1.13022,76.03639,-7.045849,0.085246,0.463134,-2.99366,0.86701,-1.43305,50,6.14306,1.63837,-119.83595,-0.74595,-4.37566,22.04421,-30.90681,13f99d17-3391-4d05-8f62-e9f799ed0a5b,NA,NA,NA,NA,NA,809737,"Moore, Hayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SLU_BILL,1,Top,0,0,0,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SLU_BILL,LoyolaMarymount,D1,WCC,20250301-LoyolaMarymount-1,d23ab9f0-f6f1-11ef-a201-f31eba6961ec,81.38555,NA,NA,6.43255,NA,NA,NA,9c294b4e-20f7-477d-8afb-cbe3879de33d,2025-03-01,23:06:33,2025-03-01T23:06:33Z,2025-03-01T23:06:33Z,NA,v3,471343,471427,01 March 2025 18:00-stlouis@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.97845,-120.74827,11.0221,6.14746,0.53317,-15.45341,-1.50461,1.81946,-2.18783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-01,15:06:49,"Nunez, Michael",813718,Right,LOY_LIO,Undefined,Splitter,NA,NA,83.41645,-1.306361,-1.178074,1077.623432,270.51357,03:00:00,6.0894,1.39311,5.52293,-39.67707,1.24236,11.35091,1.56106,1.23736,76.38125,-8.555466,0.849672,0.460401,-6.1102,1.38728,-1.29844,50,5.94896,2.02573,-121.05816,-4.15442,-9.01151,24.9926,-30.12802,87fe7c92-515b-4a45-91cf-f1b329937214,NA,NA,NA,NA,143.48765,809737,"Moore, Hayden",NA,NA,52.11135,Left,-60.795037,NA,NA,NA,1.1416,2.02664,0.02364,-38.572468,1.60412,1.58386,-1.23858,NA,NA,NA,NA,NA,1,2,SLU_BILL,1,Top,0,0,1,Splitter,InPlay,Undefined,GroundBall,Out,1,0,NA,LOY_LIO,SLU_BILL,LoyolaMarymount,D1,WCC,20250301-LoyolaMarymount-1,db711ff0-f6f1-11ef-a201-f31eba6961ec,81.86874,1.58386,NA,7.0352,NA,NA,NA,9c294b4e-20f7-477d-8afb-cbe3879de33d,2025-03-01,23:06:49,2025-03-01T23:06:49Z,2025-03-01T23:06:49Z,GroundBall,v3,471343,471427,01 March 2025 18:00-stlouis@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.98163,-122.08229,12.4963,6.0939,-2.91985,-15.06401,-1.38901,2.395,-4.50575,NA,1.60461,-30.10093,NA,NA,NA,NA,NA,NA,NA,1.58494,-66.99814,NA,NA,NA,NA,NA,NA,NA,-1.23894,22.28356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
3,2025-03-01,15:07:23,"Nunez, Michael",813718,Right,LOY_LIO,Undefined,Fastball,NA,NA,88.95152,-1.372033,-2.189088,2353.76091,206.653657,01:00:00,6.25941,1.11562,5.51001,-14.55383,21.57659,10.20434,3.76224,-0.08233,80.5682,-4.172327,-0.372583,0.432621,-5.80103,11.65611,-0.93151,50,6.1302,4.47382,-128.93112,-3.49896,-9.68936,28.73839,-12.70505,a6ab27f6-3ade-4600-9c4c-1fd1a87554b5,NA,NA,NA,NA,NA,809738,"Sitzman, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SLU_BILL,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SLU_BILL,LoyolaMarymount,D1,WCC,20250301-LoyolaMarymount-1,efb6a390-f6f1-11ef-a201-f31eba6961ec,87.12573,NA,NA,8.38333,NA,NA,NA,9c294b4e-20f7-477d-8afb-cbe3879de33d,2025-03-01,23:07:23,2025-03-01T23:07:23Z,2025-03-01T23:07:23Z,NA,v3,471343,471427,01 March 2025 18:00-stlouis@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.99193,-130.03904,14.36919,6.25565,-3.00916,-6.35252,-1.11118,4.84736,-4.84468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-01,15:07:39,"Nunez, Michael",813718,Right,LOY_LIO,Undefined,Slider,NA,NA,78.32059,0.615916,-0.837604,2719.658101,79.350793,08:45:00,6.2087,1.43534,5.10288,-47.59699,-0.75591,-11.62213,2.82277,-0.32253,72.12773,-8.001592,-2.895087,0.492589,5.56107,-0.12591,-1.34672,50,6.2294,2.13239,-113.70517,-0.45959,7.28626,20.69278,-32.33901,bbecd372-ff46-48fe-aaee-2ad195708552,NA,NA,NA,NA,NA,809738,"Sitzman, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,SLU_BILL,1,Top,1,1,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SLU_BILL,LoyolaMarymount,D1,WCC,20250301-LoyolaMarymount-1,f978ced0-f6f1-11ef-a201-f31eba6961ec,76.519,NA,NA,6.19286,NA,NA,NA,9c294b4e-20f7-477d-8afb-cbe3879de33d,2025-03-01,23:07:39,2025-03-01T23:07:39Z,2025-03-01T23:07:39Z,NA,v3,471343,471427,01 March 2025 18:00-stlouis@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,55.40235,-114.68411,10.34639,6.21496,1.07031,-16.16951,-1.43945,1.78768,3.64313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-01,15:07:54,"Nunez, Michael",813718,Right,LOY_LIO,Undefined,Slider,NA,NA,78.39863,2.192137,0.038275000000000003,2919.940445,93.134062,09:00:00,6.18762,1.26454,5.06554,-44.71002,2.53256,-17.70245,4.52996,-0.17457,71.29538,-5.9635,-3.089419,0.494696,8.76331,1.08118,-1.25352,50,6.36083,0.65957,-113.63139,2.77634,11.3753,22.22329,-30.7706,e2f70e21-8523-49ae-9030-d2505430c53e,NA,NA,NA,NA,NA,809738,"Sitzman, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,SLU_BILL,1,Top,1,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SLU_BILL,LoyolaMarymount,D1,WCC,20250301-LoyolaMarymount-1,0213df30-f6f2-11ef-a201-f31eba6961ec,76.19316,NA,NA,7.10325,NA,NA,NA,9c294b4e-20f7-477d-8afb-cbe3879de33d,2025-03-01,23:07:54,2025-03-01T23:07:54Z,2025-03-01T23:07:54Z,NA,v3,471343,471427,01 March 2025 18:00-stlouis@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,55.43789,-114.68997,11.11165,6.19368,4.24205,-15.3853,-1.27203,0.11773,5.68765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-01,15:08:09,"Nunez, Michael",813718,Right,LOY_LIO,Undefined,Slider,NA,NA,77.06815,0.366287,0.486103,2848.522805,69.579545,08:15:00,6.11716,1.48019,4.88977,-52.30456,-3.49866,-13.45961,2.10499,0.81844,71.0157,-9.046526,-1.890496,0.502814,6.84122,-1.46595,-1.51573,50,6.10844,-0.40965,-111.87824,-1.15459,8.66376,20.3389,-34.03052,dbbcd0fd-9a89-4f78-93f9-8f440e0d9db3,NA,NA,NA,NA,-18.855685,809738,"Sitzman, Ethan",1840.057263,NA,96.28602,Right,23.363306,103.96897,43.26387,-35.92081,377.91459,356.08239,4.37016,-20.649736,1.81807,2.08048,-0.5697,NA,NA,NA,NA,NA,2,4,SLU_BILL,1,Top,1,2,1,Curveball,InPlay,Undefined,FlyBall,HomeRun,0,1,NA,LOY_LIO,SLU_BILL,LoyolaMarymount,D1,WCC,20250301-LoyolaMarymount-1,0b20c430-f6f2-11ef-a201-f31eba6961ec,74.96294,60.05502,NA,6.05245,NA,NA,NA,9c294b4e-20f7-477d-8afb-cbe3879de33d,2025-03-01,23:08:09,2025-03-01T23:08:09Z,2025-03-01T23:08:09Z,LineDrive,v3,471343,471427,01 March 2025 18:00-stlouis@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,55.61695,-112.89476,10.16945,6.12365,0.54622,-17.01526,-1.48444,-0.84265,4.33188,NA,1.81817,122.68312,-20.84959,5.02202,-1.07877,0.2271,-0.04452,0.0061,-3.7e-4,2.08144,55.9749,-13.23772,-0.83152,0.71399,-0.30992,0.08381,-0.01205,6.9e-4,-0.56989,-41.89341,6.87889,-2.11429,0.51474,-0.10164,0.01576,-0.00172,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-03-01,15:08:55,"Nunez, Michael",813718,Right,LOY_LIO,Undefined,Fastball,NA,NA,90.07198,-0.60876,-1.046421,2295.326324,211.760747,01:00:00,6.19014,1.38614,5.48021,-16.19721,19.04029,11.04225,4.27061,1.32702,81.56692,-3.697331,0.919763,0.427242,-5.84559,10.10808,-1.30185,50,6.12601,1.87948,-130.63357,-1.88011,-10.02232,29.52785,-14.84362,548c1e4a-c19b-4ce6-be24-c327d5a56ba4,NA,NA,NA,NA,NA,1000094154,"Iffrig, Riley",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,SLU_BILL,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SLU_BILL,LoyolaMarymount,D1,WCC,20250301-LoyolaMarymount-1,268391d0-f6f2-11ef-a201-f31eba6961ec,88.22268,NA,NA,8.50506,NA,NA,NA,9c294b4e-20f7-477d-8afb-cbe3879de33d,2025-03-01,23:08:55,2025-03-01T23:08:55Z,2025-03-01T23:08:55Z,NA,v3,471343,471427,01 March 2025 18:00-stlouis@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,55.02079,-131.76357,14.76393,6.18709,-1.31206,-7.42181,-1.38112,2.26302,-5.01116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-01,15:09:07,"Nunez, Michael",813718,Right,LOY_LIO,Undefined,Fastball,NA,NA,90.03448,-2.168529,-0.93752,2346.172187,214.775125,01:15:00,6.24677,1.283,5.2541,-15.18387,20.32659,13.28119,2.94243,1.5087,81.85924,-5.05057,1.417824,0.428893,-6.88099,11.1267,-1.20711,50,6.03695,1.51485,-130.50307,-5.41199,-11.81083,28.67219,-13.07565,fd12d000-dac6-482d-aaa6-a787de6911a4,NA,NA,NA,NA,NA,1000094154,"Iffrig, Riley",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,SLU_BILL,1,Top,1,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SLU_BILL,LoyolaMarymount,D1,WCC,20250301-LoyolaMarymount-1,2de67050-f6f2-11ef-a201-f31eba6961ec,87.88301,NA,NA,8.17524,NA,NA,NA,9c294b4e-20f7-477d-8afb-cbe3879de33d,2025-03-01,23:09:07,2025-03-01T23:09:07Z,2025-03-01T23:09:07Z,NA,v3,471343,471427,01 March 2025 18:00-stlouis@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,55.24771,-131.65097,14.33609,6.24314,-4.8885,-6.53783,-1.27722,1.9877,-5.90542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-01,15:09:20,"Nunez, Michael",813718,Right,LOY_LIO,Undefined,Fastball,NA,NA,89.28411,-1.839324,-1.900525,2415.693018,211.327368,01:00:00,6.11085,1.34307,5.59181,-15.36835,20.36163,11.64587,3.11105,0.53819,80.98363,-4.781408,0.176699,0.430217,-6.43933,11.19808,-1.18752,50,5.94307,3.77607,-129.43072,-4.59991,-10.84713,28.77508,-13.31078,e1d38eee-1568-48ff-9709-93ee9535d3aa,NA,NA,NA,NA,NA,1000094154,"Iffrig, Riley",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,SLU_BILL,1,Top,1,2,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SLU_BILL,LoyolaMarymount,D1,WCC,20250301-LoyolaMarymount-1,352991d0-f6f2-11ef-a201-f31eba6961ec,87.6126,NA,NA,8.30048,NA,NA,NA,9c294b4e-20f7-477d-8afb-cbe3879de33d,2025-03-01,23:09:20,2025-03-01T23:09:20Z,2025-03-01T23:09:20Z,NA,v3,471343,471427,01 March 2025 18:00-stlouis@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.90993,-130.51773,14.38754,6.10734,-4.09708,-6.65539,-1.33791,4.18583,-5.42356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-01,15:09:36,"Nunez, Michael",813718,Right,LOY_LIO,Undefined,Fastball,NA,NA,89.90174,0.014412,-0.802171,2362.493839,218.702009,01:15:00,6.22559,1.33961,5.41433,-15.62237,19.83639,14.92843,4.93723,1.83204,81.36113,-2.972751,1.852652,0.428581,-7.68544,10.28646,-1.27877,50,6.21636,1.13309,-130.39029,-0.4331,-13.12518,29.46808,-14.60685,0e208bec-9e17-46a0-a452-a3d6f34fe63a,NA,NA,NA,NA,NA,1000094154,"Iffrig, Riley",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,SLU_BILL,1,Top,1,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SLU_BILL,LoyolaMarymount,D1,WCC,20250301-LoyolaMarymount-1,3f2c4880-f6f2-11ef-a201-f31eba6961ec,87.94703,NA,NA,8.54061,NA,NA,NA,9c294b4e-20f7-477d-8afb-cbe3879de33d,2025-03-01,23:09:36,2025-03-01T23:09:36Z,2025-03-01T23:09:36Z,NA,v3,471343,471427,01 March 2025 18:00-stlouis@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,55.08665,-131.53484,14.73404,6.22216,0.13423,-7.30343,-1.33268,1.64288,-6.56259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
