PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-06,17:07:34,"Kalfsbeek, Luke",1000373329,Left,CAL_MUS,Undefined,Fastball,NA,NA,85.10115,-0.338727,3.150113,2211.387444,136.749596,10:30:00,6.15839,-2.62288,6.26077,-21.89922,16.49658,-14.27851,4.02064,-0.90518,77.09971,-4.517465,0.574353,0.445978,8.28378,9.03115,2.39539,50,6.12238,-6.22409,-123.42321,-1.32376,12.67348,26.44118,-18.35722,5d9d1103-50c2-4b99-a24e-4e6e28ba22c1,NA,NA,NA,NA,NA,809825,"Cardinale, Joe",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,PEP_WAV,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,PEP_WAV,BaggettStadium,D1,BW,20250506-BaggettStadium-1,47349910-2ad7-11f0-a7c0-a31ba5dede9b,84.51636,NA,NA,8.00144,NA,NA,NA,d315d4f7-d0b0-47c2-b721-f667a117ab3c,2025-05-07,00:07:34,2025-05-07T00:07:34Z,2025-05-07T00:07:34Z,NA,v3,471251,471410,06 May 2025 20:00-pepperdine@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.23711,-124.32762,13.22059,6.15692,-0.69585,-9.17861,2.6157,-6.65759,6.33674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-06,17:08:08,"Kalfsbeek, Luke",1000373329,Left,CAL_MUS,Undefined,Fastball,NA,NA,85.06921,-1.705709,3.448036,2169.184344,131.496736,10:30:00,6.07968,-2.75451,6.33525,-24.06671,14.2467,-14.62202,2.50023,-0.7943,77.34895,-6.263479,0.806209,0.445499,8.64556,8.31607,2.50966,50,5.94375,-6.87525,-123.35283,-4.35332,13.22057,26.26489,-19.45737,b8943ae7-7d68-45d4-b1bf-fa9ea381295d,NA,NA,NA,NA,43.833423,809825,"Cardinale, Joe",4433.115294,NA,76.55025,Right,47.962798,64.50995,88.89124,89.09799,222.99394,98.98578,4.873038,60.054492,0.51949,2.78694,1.24286,NA,NA,NA,NA,NA,1,2,PEP_WAV,1,Top,0,1,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,PEP_WAV,BaggettStadium,D1,BW,20250506-BaggettStadium-1,5ba91bf0-2ad7-11f0-a7c0-a31ba5dede9b,84.60723,90.61636,NA,7.72027,NA,NA,NA,d315d4f7-d0b0-47c2-b721-f667a117ab3c,2025-05-07,00:08:08,2025-05-07T00:08:08Z,2025-05-07T00:08:08Z,FlyBall,v3,471251,471410,06 May 2025 20:00-pepperdine@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.16481,-124.23645,13.13245,6.0792,-3.69872,-9.72869,2.74844,-7.32003,6.61029,212.951577,0.54068,53.76274,-15.75118,1.7221,1.82311,-1.17444,0.31207,-0.03938,0.00193,2.78346,83.43171,-23.26009,1.86625,0.12823,-0.28215,0.10888,-0.01805,0.0011,1.24271,52.05638,-3.85072,-0.14655,0.4695,-0.24775,0.07004,-0.01008,5.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
3,2025-05-06,17:08:31,"Kalfsbeek, Luke",1000373329,Left,CAL_MUS,Undefined,Fastball,NA,NA,85.23387,-2.470002,3.497023,2175.564171,150.188203,11:00:00,6.13502,-2.71595,6.26273,-20.22635,17.97186,-9.56422,2.16638,-0.28455,77.74115,-6.317241,1.772538,0.444829,5.98185,10.43182,2.46101,50,5.94152,-7.18248,-123.53258,-5.87993,9.20664,25.52575,-16.11846,ac9c2283-48e9-4bde-9c76-808369d15266,NA,NA,NA,NA,NA,809825,"Cardinale, Joe",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,PEP_WAV,1,Top,0,1,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,PEP_WAV,BaggettStadium,D1,BW,20250506-BaggettStadium-1,692e69b0-2ad7-11f0-a7c0-a31ba5dede9b,84.7347,NA,NA,7.49273,NA,NA,NA,d315d4f7-d0b0-47c2-b721-f667a117ab3c,2025-05-07,00:08:31,2025-05-07T00:08:31Z,2025-05-07T00:08:31Z,NA,v3,471251,471410,06 May 2025 20:00-pepperdine@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.23714,-124.40502,12.76287,6.13308,-5.32902,-8.05923,2.71188,-7.49716,4.60332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-06,17:08:48,"Kalfsbeek, Luke",1000373329,Left,CAL_MUS,Undefined,Fastball,NA,NA,86.93486,-1.645189,2.397902,2194.663423,145.868021,10:45:00,6.17135,-2.68166,6.09418,-18.9841,18.04973,-11.36422,3.06582,-1.40936,78.81772,-5.272647,0.352217,0.437997,6.58922,10.18693,2.50269,50,6.03445,-4.82103,-126.09076,-4.14814,10.51034,27.84511,-15.925,16b215a8-b9c9-45ae-b327-dc71ef8df053,NA,NA,NA,NA,42.48372,809825,"Cardinale, Joe",3369.023913,NA,80.23952,Right,28.765152,75.74261,50.19458,79.76806,275.8771,178.72315,4.079035,52.253429,0.76332,3.00688,1.37901,NA,NA,NA,NA,NA,1,4,PEP_WAV,1,Top,0,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,PEP_WAV,BaggettStadium,D1,BW,20250506-BaggettStadium-1,734da910-2ad7-11f0-a7c0-a31ba5dede9b,86.05644,56.5441,NA,8.11714,NA,NA,NA,d315d4f7-d0b0-47c2-b721-f667a117ab3c,2025-05-07,00:08:48,2025-05-07T00:08:48Z,2025-05-07T00:08:48Z,FlyBall,v3,471251,471410,06 May 2025 20:00-pepperdine@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.40501,-127.05981,13.92256,6.16917,-3.59393,-7.9625,2.67684,-5.1868,5.25517,211.782897,0.7627,76.09623,-17.54833,4.32923,-1.07244,0.2819,-0.06278,0.00864,-5.1e-4,3.00775,56.60783,-15.89816,0.3529,0.23992,-0.15419,0.04512,-0.0064,3.5e-4,1.37863,69.68396,-7.95921,1.84354,-0.45816,0.12997,-0.03116,0.00445,-2.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
5,2025-05-06,17:09:11,"Kalfsbeek, Luke",1000373329,Left,CAL_MUS,Undefined,Fastball,NA,NA,87.18332,-3.647416,3.047917,2136.56844,145.949966,10:45:00,6.12192,-2.5761,6.11924,-21.24458,15.84186,-9.79367,0.96998,-0.57164,78.97134,-7.664341,1.284519,0.438308,6.05453,9.74327,2.34754,50,5.83074,-6.32827,-126.1523,-8.66681,9.62317,28.94554,-16.68797,11a75b44-1a27-4014-870f-73e84b4dc20e,NA,NA,NA,NA,NA,809825,"Cardinale, Joe",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,PEP_WAV,1,Top,0,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,PEP_WAV,BaggettStadium,D1,BW,20250506-BaggettStadium-1,80e3bfb0-2ad7-11f0-a7c0-a31ba5dede9b,85.9954,NA,NA,8.21198,NA,NA,NA,d315d4f7-d0b0-47c2-b721-f667a117ab3c,2025-05-07,00:09:11,2025-05-07T00:09:11Z,2025-05-07T00:09:11Z,NA,v3,471251,471410,06 May 2025 20:00-pepperdine@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.38048,-127.15342,14.47277,6.12052,-8.08963,-8.34398,2.57216,-6.6611,4.81158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-06,17:09:26,"Kalfsbeek, Luke",1000373329,Left,CAL_MUS,Undefined,Fastball,NA,NA,86.51144,-1.848552,2.986296,2084.135084,144.819164,10:45:00,6.20518,-2.56849,6.22136,-21.14836,16.34717,-10.55264,2.73413,-0.68973,78.00254,-5.885946,1.083276,0.440718,6.45615,9.47501,2.35001,50,6.05616,-6.12425,-125.35837,-4.6368,10.10599,29.19667,-17.34257,cb682149-e755-4500-b4c7-85a4121c500f,NA,NA,NA,NA,1.144646,809825,"Cardinale, Joe",767.328335,NA,99.33583,Right,6.697146,109.92306,4.89274,4.11171,144.40585,144.40585,1.177872,2.294113,1.45782,2.71055,0.59898,NA,NA,NA,NA,NA,1,6,PEP_WAV,1,Top,0,2,2,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,CAL_MUS,PEP_WAV,BaggettStadium,D1,BW,20250506-BaggettStadium-1,8a2437d0-2ad7-11f0-a7c0-a31ba5dede9b,85.52499,6.83422,NA,8.5089,NA,NA,NA,d315d4f7-d0b0-47c2-b721-f667a117ab3c,2025-05-07,00:09:26,2025-05-07T00:09:26Z,2025-05-07T00:09:26Z,LineDrive,v3,471251,471410,06 May 2025 20:00-pepperdine@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.27762,-126.35072,14.59833,6.20374,-4.04735,-8.67128,2.564,-6.46774,5.053,258.107177,1.72492,141.49907,-17.53868,NA,NA,NA,NA,NA,NA,2.81998,15.70199,-15.43302,NA,NA,NA,NA,NA,NA,0.5691,3.25036,1.01474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-05-06,17:10:43,"Kalfsbeek, Luke",1000373329,Left,CAL_MUS,Undefined,ChangeUp,NA,NA,81.22356,-1.835127,2.593262,1586.065233,109.53065,09:45:00,6.1541,-2.44101,6.15324,-34.84592,7.17457,-16.43332,1.55239,-1.41277,74.62089,-8.297157,-0.373377,0.466554,9.1841,4.66335,2.2517,50,5.99671,-4.72204,-117.89969,-4.83677,12.91177,22.66361,-25.61792,1f203e4c-4cd1-4315-aaac-8e9db51a0309,NA,NA,NA,NA,NA,803173,"Rubin, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,PEP_WAV,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,PEP_WAV,BaggettStadium,D1,BW,20250506-BaggettStadium-1,b8136760-2ad7-11f0-a7c0-a31ba5dede9b,80.78902,NA,NA,6.60267,NA,NA,NA,d315d4f7-d0b0-47c2-b721-f667a117ab3c,2025-05-07,00:10:43,2025-05-07T00:10:43Z,2025-05-07T00:10:43Z,NA,v3,471251,471410,06 May 2025 20:00-pepperdine@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.34736,-118.73243,11.33181,6.15714,-3.89548,-12.80896,2.43392,-5.19647,6.45589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-06,17:11:04,"Kalfsbeek, Luke",1000373329,Left,CAL_MUS,Undefined,Fastball,NA,NA,86.30963,-1.791811,2.788579,2203.244984,144.508008,10:45:00,6.13234,-2.43271,6.19492,-18.15556,19.36162,-12.85969,2.96263,-0.92782,78.10034,-5.283864,0.470368,0.440846,7.55599,10.98343,2.22906,50,5.98812,-5.59316,-125.15261,-4.39398,11.84635,27.97097,-14.95414,49e6dc1e-2e31-4d13-8ef5-b6f0cc226626,NA,NA,NA,NA,23.199545,803173,"Rubin, Justin",NA,NA,78.08127,Right,46.14679,91.94199,88.4098,60.38766,210.00227,118.28091,4.92762,39.012181,1.08164,2.40205,0.41185,NA,NA,NA,NA,NA,2,2,PEP_WAV,1,Top,0,1,0,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,CAL_MUS,PEP_WAV,BaggettStadium,D1,BW,20250506-BaggettStadium-1,c4cf4aa0-2ad7-11f0-a7c0-a31ba5dede9b,85.50032,89.67522,NA,8.2093,NA,NA,NA,d315d4f7-d0b0-47c2-b721-f667a117ab3c,2025-05-07,00:11:04,2025-05-07T00:11:04Z,2025-05-07T00:11:04Z,FlyBall,v3,471251,471410,06 May 2025 20:00-pepperdine@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.30505,-126.1111,13.98549,6.12991,-3.88155,-7.47707,2.42768,-5.9991,5.92317,209.040842,1.09192,72.67661,-21.36161,4.49913,0.39898,-0.66551,0.209,-0.02885,0.00151,2.3924,82.76982,-23.48364,2.77308,-0.78771,0.19062,-0.01753,-0.00114,2e-4,0.40753,31.34858,0.40338,-0.68086,-0.0468,0.12261,-0.03826,0.00499,-2.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
9,2025-05-06,17:11:54,"Kalfsbeek, Luke",1000373329,Left,CAL_MUS,Undefined,Fastball,NA,NA,85.82964,-2.752181,2.637565,2091.002638,126.375404,10:15:00,6.1297,-2.54294,6.05864,-26.15749,11.94859,-14.42371,1.39782,-1.30184,78.10529,-7.646078,0.040376,0.444292,8.30717,7.38626,2.34588,50,5.90158,-5.16927,-124.4059,-6.78761,12.89107,27.24523,-20.71201,472c3a3d-4cb9-47b3-921b-91bad2a8b772,NA,NA,NA,NA,63.305445,824676,"Upstill, Nick",NA,NA,61.26327,Left,-23.050925,NA,NA,NA,6.90792,4.58133,0.046209,39.8344,3.58302,1.63071,1.00124,NA,NA,NA,NA,NA,3,1,PEP_WAV,1,Top,1,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,PEP_WAV,BaggettStadium,D1,BW,20250506-BaggettStadium-1,e2331860-2ad7-11f0-a7c0-a31ba5dede9b,84.83705,1.63071,NA,7.72436,NA,NA,NA,d315d4f7-d0b0-47c2-b721-f667a117ab3c,2025-05-07,00:11:54,2025-05-07T00:11:54Z,2025-05-07T00:11:54Z,GroundBall,v3,471251,471410,06 May 2025 20:00-pepperdine@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.44256,-125.37506,13.62262,6.12993,-6.05085,-10.356,2.53791,-5.62782,6.44553,NA,3.58217,37.25615,NA,NA,NA,NA,NA,NA,NA,1.63152,-35.28982,NA,NA,NA,NA,NA,NA,NA,0.99955,74.09315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
10,2025-05-06,17:12:24,"Kalfsbeek, Luke",1000373329,Left,CAL_MUS,Undefined,Fastball,NA,NA,85.29369,0.147523,2.844504,2143.361411,138.142142,10:30:00,6.01623,-2.56657,6.37065,-24.95206,12.69068,-10.33418,4.0728,-0.80821,78.12087,-4.563079,0.975858,0.441583,6.13851,6.93048,2.36542,50,6.01517,-5.76205,-123.89917,-0.39256,9.56585,24.1746,-21.37403,5d1ab2a7-87de-446e-a395-348efa16c232,NA,NA,NA,NA,NA,824676,"Upstill, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,PEP_WAV,1,Top,1,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,PEP_WAV,BaggettStadium,D1,BW,20250506-BaggettStadium-1,f4141f20-2ad7-11f0-a7c0-a31ba5dede9b,85.35762,NA,NA,7.17282,NA,NA,NA,d315d4f7-d0b0-47c2-b721-f667a117ab3c,2025-05-07,00:12:24,2025-05-07T00:12:24Z,2025-05-07T00:12:24Z,NA,v3,471251,471410,06 May 2025 20:00-pepperdine@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.12948,-124.70229,12.0873,6.01641,0.31752,-10.68701,2.56213,-6.07985,4.78293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
