PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,14:06:44,"Gonzalez, Andres",1000247860,Right,SOU_IND16,Undefined,Cutter,NA,NA,80.40234,0.75919,-1.583574,2170.254963,176.090381,11:45:00,5.85308,1.47821,6.10858,-24.77482,18.36151,-1.15689,4.49091,-0.08303,72.99789,-3.950478,-1.791815,0.472708,0.12252,9.65949,-1.35592,50,5.8984,3.26991,-116.68957,0.88891,0.16781,23.29003,-18.94199,6bd963e9-5e2c-488c-b24f-fd12b12271ec,NA,NA,NA,NA,NA,1000189099,"Stanley, Brett",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,EIU_PAN,1,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,EIU_PAN,USIField,D1,OVC,20250427-USIField-1,6127efd0-2392-11f0-9e03-39979df71eb7,79.73728,NA,NA,7.40444,NA,NA,NA,89d0a557-296f-4e10-8825-d11ef2d31b4a,2025-04-27,18:06:44,2025-04-27T18:06:44Z,2025-04-27T18:06:44Z,NA,v3,southernindiana,471287,27 April 2025 14:00-eillinois@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.39114,-117.56273,11.64502,5.85176,1.59906,-9.471,-1.4784,3.26362,0.08391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-27,14:06:58,"Gonzalez, Andres",1000247860,Right,SOU_IND16,Undefined,Cutter,NA,NA,82.61257,-1.618721,-1.417923,2250.312476,180.521555,12:00:00,5.71221,1.65732,5.98945,-22.54871,18.19237,0.15394,2.33197,0.35567,75.7639,-5.867853,-1.390254,0.459396,-0.46823,10.19127,-1.54549,50,5.57191,2.96373,-119.97288,-4.02678,-0.68331,22.93333,-17.30144,8f59b096-4b89-4515-95ad-594fe1e473b0,NA,NA,NA,NA,NA,1000189099,"Stanley, Brett",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,EIU_PAN,1,Top,0,1,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,EIU_PAN,USIField,D1,OVC,20250427-USIField-1,698f6d10-2392-11f0-9e03-39979df71eb7,82.04773,NA,NA,6.84866,NA,NA,NA,89d0a557-296f-4e10-8825-d11ef2d31b4a,2025-04-27,18:06:58,2025-04-27T18:06:58Z,2025-04-27T18:06:58Z,NA,v3,southernindiana,471287,27 April 2025 14:00-eillinois@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.51307,-120.83249,11.46667,5.71069,-3.37827,-8.65072,-1.65705,2.98934,-0.34165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-27,14:07:15,"Gonzalez, Andres",1000247860,Right,SOU_IND16,Undefined,Cutter,NA,NA,81.58011,0.117255,-2.404685,2170.064729,164.471483,11:30:00,5.69487,1.67459,5.83981,-28.37002,13.95997,-3.49059,3.43978,-0.85269,74.27308,-5.192952,-3.029385,0.468269,1.06071,7.51756,-1.47645,50,5.6879,5.10828,-118.31014,-0.61201,1.49562,23.66275,-21.57405,d36243f0-f86d-4e78-b54f-c430800fa16c,NA,NA,NA,NA,170.377846,1000189099,"Stanley, Brett",NA,NA,70.41634,Right,5.581962,NA,NA,NA,75.8733,31.81527,0.818564,173.740044,2.28217,3.44082,0.60348,NA,NA,NA,NA,NA,1,3,EIU_PAN,1,Top,0,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,EIU_PAN,USIField,D1,OVC,20250427-USIField-1,7359fcc0-2392-11f0-9e03-39979df71eb7,80.4931,4.83886,NA,7.30703,NA,NA,NA,89d0a557-296f-4e10-8825-d11ef2d31b4a,2025-04-27,18:07:15,2025-04-27T18:07:15Z,2025-04-27T18:07:15Z,GroundBall,v3,southernindiana,471287,27 April 2025 14:00-eillinois@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.6597,-119.23847,11.83138,5.69531,0.23437,-10.78702,-1.67571,5.04961,0.74781,NA,2.27636,-101.24595,7.73737,NA,NA,NA,NA,NA,NA,3.46868,9.58817,-16.92951,NA,NA,NA,NA,NA,NA,0.64199,16.54206,-8.87251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
4,2025-04-27,14:07:46,"Gonzalez, Andres",1000247860,Right,SOU_IND16,Undefined,Cutter,NA,NA,79.59862,-0.360552,-2.562071,2144.887361,177.314436,12:00:00,5.63036,1.82537,5.9069,-30.63521,13.02953,-0.55323,2.74239,-0.60068,73.68749,-6.042637,-2.66123,0.475594,-0.35118,7.15217,-1.61902,50,5.58364,5.19574,-115.66658,-1.6393,-0.48066,19.4913,-22.38486,7593803b-535b-42bb-8e9e-7ae7f866ab5d,NA,NA,NA,NA,12.096446,1000189099,"Stanley, Brett",NA,NA,76.40751,Right,54.108813,103.02837,108.98974,38.5377,193.51498,176.10839000000001,5.303369,23.262346,2.04188,2.37803,0.3984,NA,NA,NA,NA,NA,1,4,EIU_PAN,1,Top,0,1,2,Changeup,InPlay,Undefined,FlyBall,Out,1,0,NA,SOU_IND16,EIU_PAN,USIField,D1,OVC,20250427-USIField-1,8612c5e0-2392-11f0-9e03-39979df71eb7,79.25332,108.99806,NA,5.91113,NA,NA,NA,89d0a557-296f-4e10-8825-d11ef2d31b4a,2025-04-27,18:07:46,2025-04-27T18:07:46Z,2025-04-27T18:07:46Z,FlyBall,v3,southernindiana,471287,27 April 2025 14:00-eillinois@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.59775,-116.43878,9.74565,5.63101,-0.75246,-11.19243,-1.82524,5.21478,-0.24033,NA,2.04403,64.17971,-17.30233,4.6418,-0.68114,-0.02035,0.02876,-0.00447,2.3e-4,2.3749,90.84089,-22.8322,1.943,-0.20858,-0.04044,0.02659,-0.00495,3.1e-4,0.39791,13.7837,1.99262,-0.95029,0.16429,0.01947,-0.01476,0.0025,-1.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
5,2025-04-27,14:08:16,"Gonzalez, Andres",1000247860,Right,SOU_IND16,Undefined,Fastball,NA,NA,88.01952,-0.821615,-2.416663,2263.554128,211.660947,01:00:00,5.8658,1.43547,6.2502,-14.92477,20.78592,12.09434,3.86357,0.2131,80.05937,-3.718363,-0.233935,0.430101,-6.93457,11.3443,-1.26118,50,5.79697,4.9026,-127.788,-2.19098,-11.42483,27.23204,-13.48414,1e04635b-8d71-4ef7-a2a4-ff1ba6ee1172,NA,NA,NA,NA,NA,10034522,"Worcester, Chris",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,EIU_PAN,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,EIU_PAN,USIField,D1,OVC,20250427-USIField-1,97f10d80-2392-11f0-9e03-39979df71eb7,87.63624,NA,NA,7.96015,NA,NA,NA,89d0a557-296f-4e10-8825-d11ef2d31b4a,2025-04-27,18:08:16,2025-04-27T18:08:16Z,2025-04-27T18:08:16Z,NA,v3,southernindiana,471287,27 April 2025 14:00-eillinois@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.25157,-128.69083,13.61602,5.8622,-1.74394,-6.74207,-1.43,5.28136,-5.71241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-27,14:08:30,"Gonzalez, Andres",1000247860,Right,SOU_IND16,Undefined,Cutter,NA,NA,81.63889,-2.360094,-2.401955,2158.530115,174.47259,11:45:00,5.59926,1.58314,6.07975,-27.79415,13.50079,-1.19193,1.09617,-0.73998,75.75305,-7.515253,-2.616486,0.462508,0.02165,7.93284,-1.39661,50,5.4015,5.01715,-118.57902,-5.70759,0.03112,20.5334,-20.76524,06a18694-f766-4b42-9be6-3adbb4520459,NA,NA,NA,NA,NA,10034522,"Worcester, Chris",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,EIU_PAN,1,Top,1,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,EIU_PAN,USIField,D1,OVC,20250427-USIField-1,a0b80fe0-2392-11f0-9e03-39979df71eb7,81.49567,NA,NA,5.88583,NA,NA,NA,89d0a557-296f-4e10-8825-d11ef2d31b4a,2025-04-27,18:08:30,2025-04-27T18:08:30Z,2025-04-27T18:08:30Z,NA,v3,southernindiana,471287,27 April 2025 14:00-eillinois@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.42504,-119.34281,10.2667,5.59944,-4.93517,-10.38262,-1.58321,5.01599,0.01556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-27,14:08:49,"Gonzalez, Andres",1000247860,Right,SOU_IND16,Undefined,Cutter,NA,NA,81.86018,-0.402265,-1.213214,2149.665223,177.940133,12:00:00,5.6745,1.87782,6.03227,-26.42627,14.74024,-0.48669,3.09969,0.71352,75.43522,-5.348599,-1.300775,0.461789,-0.06213,8.07477,-1.78269,50,5.6286,2.53861,-119.02212,-1.60666,-0.08969,21.44867,-20.51535,927d9957-104f-40c3-b06f-3ddccc6f2026,NA,NA,NA,NA,-61.295976,10034522,"Worcester, Chris",3879.514002,NA,93.79618,Right,59.807068,NA,NA,NA,NA,70.59227,NA,NA,2.9379,1.73223,-0.16695,NA,NA,NA,NA,NA,2,3,EIU_PAN,1,Top,1,2,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,EIU_PAN,USIField,D1,OVC,20250427-USIField-1,abbccd40-2392-11f0-9e03-39979df71eb7,81.62267,121.22515,NA,6.42496,NA,NA,NA,89d0a557-296f-4e10-8825-d11ef2d31b4a,2025-04-27,18:08:49,2025-04-27T18:08:49Z,2025-04-27T18:08:49Z,NA,v3,southernindiana,471287,27 April 2025 14:00-eillinois@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.47189,-119.82528,10.72434,5.67438,-0.83846,-10.25767,-1.87782,2.54197,-0.04484,NA,2.93793,33.22487,-18.48265,6.18057,-1.86105,1.2787,-1.07464,0.49536,-0.09,1.73221,118.90634,-28.2812,3.133,-0.42053,-0.22284,0.34322,-0.17947,0.03432,-0.16697,-60.68128,14.6792,-3.9843,1.0251,-0.59827,0.47177,-0.21251,0.03814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
8,2025-04-27,14:09:16,"Gonzalez, Andres",1000247860,Right,SOU_IND16,Undefined,Cutter,NA,NA,82.23195,-0.701858,-1.384008,2182.539061,153.512141,11:00:00,5.65498,1.61034,6.00354,-25.86639,15.19989,-6.94197,2.84888,-0.25084,75.45176,-5.550978,-2.631908,0.461226,3.20142,8.40248,-1.49761,50,5.58551,3.14951,-119.4744,-2.21805,4.63245,22.7826,-20.01567,ee6aec20-b8d7-4251-bf47-875687e60717,NA,NA,NA,NA,20.330856,10034522,"Worcester, Chris",NA,NA,90.92133,Right,33.389986,98.55341,67.44915,48.85921,319.86001,266.83121,5.078728,36.681512,0.79598,2.92723,0.38259,NA,NA,NA,NA,NA,2,4,EIU_PAN,1,Top,1,2,1,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,SOU_IND16,EIU_PAN,USIField,D1,OVC,20250427-USIField-1,bbbcdf00-2392-11f0-9e03-39979df71eb7,81.72222,86.43028,NA,6.78019,NA,NA,NA,89d0a557-296f-4e10-8825-d11ef2d31b4a,2025-04-27,18:09:16,2025-04-27T18:09:16Z,2025-04-27T18:09:16Z,FlyBall,v3,southernindiana,471287,27 April 2025 14:00-eillinois@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.49951,-120.32935,11.3913,5.65465,-1.46693,-10.00783,-1.61253,2.97567,2.31623,NA,0.80092,104.3087,-25.91329,6.16986,-0.98554,0.0581,0.00854,-0.00138,4e-5,2.92678,73.38267,-17.23243,0.08858,0.44006,-0.2146,0.05806,-0.00798,4.3e-4,0.38243,38.68488,2.33758,-1.69447,0.56778,-0.1304,0.02083,-0.00205,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-04-27,14:09:52,"Gonzalez, Andres",1000247860,Right,SOU_IND16,Undefined,Fastball,NA,NA,87.34956,0.122012,-1.446185,2267.597447,202.925561,12:45:00,5.8404,1.4522,6.53906,-14.33076,22.04568,8.75288,4.75813,0.85479,78.23525,-2.723045,0.143142,0.434092,-5.00922,11.82989,-1.35496,50,5.84199,2.84745,-126.73437,-0.00431,-7.98609,30.67113,-13.31389,512a5db8-01fa-4d30-819e-20821fc8b42a,NA,NA,NA,NA,NA,1000072641,"O'Conor, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,EIU_PAN,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,EIU_PAN,USIField,D1,OVC,20250427-USIField-1,d107c4b0-2392-11f0-9e03-39979df71eb7,86.83059,NA,NA,9.11431,NA,NA,NA,89d0a557-296f-4e10-8825-d11ef2d31b4a,2025-04-27,18:09:52,2025-04-27T18:09:52Z,2025-04-27T18:09:52Z,NA,v3,southernindiana,471287,27 April 2025 14:00-eillinois@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,53.95878,-127.68885,15.33557,5.83568,0.41001,-6.65694,-1.44744,3.09597,-3.99305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-27,14:10:09,"Gonzalez, Andres",1000247860,Right,SOU_IND16,Undefined,Slider,NA,NA,72.85965,2.388638,-1.274114,2037.899704,98.083754,09:15:00,5.66068,1.74771,5.67674,-49.72995,3.42166,-12.54056,3.74533,-0.48541,66.82161,-6.756115,-3.513155,0.524722,5.97689,1.6011,-1.6323,50,5.83129,2.80237,-105.72164,2.91916,6.75895,18.16459,-30.36346,93c560f7-c01e-4f3e-94c1-a43d239687f0,NA,NA,NA,NA,NA,1000072641,"O'Conor, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,EIU_PAN,1,Top,2,1,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,EIU_PAN,USIField,D1,OVC,20250427-USIField-1,db5d0830-2392-11f0-9e03-39979df71eb7,71.83312,NA,NA,6.03804,NA,NA,NA,89d0a557-296f-4e10-8825-d11ef2d31b4a,2025-04-27,18:10:09,2025-04-27T18:10:09Z,2025-04-27T18:10:09Z,NA,v3,southernindiana,471287,27 April 2025 14:00-eillinois@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.82637,-106.54765,9.0823,5.66715,4.29991,-15.18173,-1.75275,2.49501,3.37948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
