PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,16:00:18,"Peters, Treyson",824288,Right,WES_HIL,Undefined,FourSeamFastBall,NA,NA,90.91208,-1.834225,-2.626201,2190.890054,213.695796,01:00:00,6.43465,0.95232000000000006,6.40971,-17.80292,15.47371,9.59178,3.2622,-0.6648,82.89859,-5.235582,-0.889738,0.415185,-5.76174,8.93418,-0.76843,50,6.29494,5.66799,-131.97191,-4.72399,-10.12738,28.96416,-16.47041,745c622e-78c5-4eed-85a8-8fe24c39446e,NA,NA,NA,NA,16.228715,1000143471,"Colella, Matthew",3688.863263,NA,91.50014,Right,28.969604,102.77555,57.25437,39.20694,289.79232,267.17234,4.754133,29.528483,0.30507,3.1472,0.67984,NA,NA,NA,NA,NA,1,1,LAF_LEP,1,Top,0,0,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,WES_HIL,LAF_LEP,NickDenesField,D1,CUSA,20250222-NickDenesField-1,0819d5c0-f160-11ef-8b0f-99f1e2f3c575,90.78476,72.32308,NA,8.01349,NA,NA,NA,8fcbdc90-d8c4-4aeb-a827-1f9843222d23,2025-02-22,21:00:18,2025-02-22T21:00:18Z,2025-02-22T21:00:18Z,FlyBall,v3,471490,471333,22 February 2025 17:00-lafayette@wkentucky,"Westbrook, Anthony",1000077635,Right,WES_HIL,54.09053,-132.86663,14.48208,6.43301,-4.21521,-8.23521,-0.94835,5.98083,-5.06369,211.719695,0.30482,112.73704,-27.05555,6.41359,-1.47228,0.33389,-0.067,0.00876,-4.9e-4,3.14916,64.95333,-16.46776,0.32689,0.35133,-0.20717,0.05969,-0.00832,4.5e-4,0.68031,32.80584,1.40669,-1.37286,0.43884,-0.09237,0.01256,-8.5e-4,2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
2,2025-02-22,16:00:49,"Peters, Treyson",824288,Right,WES_HIL,Undefined,FourSeamFastBall,NA,NA,91.2582,-3.389584,-3.519549,2332.198476,216.227894,01:15:00,6.38057,1.0189,5.94405,-17.22773,16.29871,11.17245,1.79111,-1.31892,83.8165,-6.635261,-1.516794,0.41674,-6.65071,9.57859,-0.74437,50,6.09993,7.65126,-132.19367,-8.37031,-11.82405,26.94015,-15.14465,696ca5a2-86e4-41e7-beaa-a783a4c58dfd,NA,NA,NA,NA,NA,1000235010,"Swidler, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,LAF_LEP,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,LAF_LEP,NickDenesField,D1,CUSA,20250222-NickDenesField-1,1aaca050-f160-11ef-8b0f-99f1e2f3c575,90.44598,NA,NA,7.4417,NA,NA,NA,8fcbdc90-d8c4-4aeb-a827-1f9843222d23,2025-02-22,21:00:49,2025-02-22T21:00:49Z,2025-02-22T21:00:49Z,NA,v3,471490,471333,22 February 2025 17:00-lafayette@wkentucky,"Westbrook, Anthony",1000077635,Right,WES_HIL,54.55663,-133.11904,13.47008,6.37851,-7.8501,-7.57233,-1.01416,8.05741,-5.91202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-22,16:01:00,"Peters, Treyson",824288,Right,WES_HIL,Undefined,FourSeamFastBall,NA,NA,92.10305,-2.47367,-2.267873,2299.872036,211.76638,01:00:00,6.48177,1.0213,6.13835,-16.19989,16.53343,9.57796,2.84236,-0.27763,84.09299,-5.561298,-0.542042,0.411781,-5.64622,9.59863,-0.85332,50,6.28447,4.90049,-133.66504,-6.25215,-10.18919,29.48768,-14.85237,6db86901-92c1-4341-89e9-d0f564c5dd92,NA,NA,NA,NA,9.586642,1000235010,"Swidler, Ethan",3365.842431,NA,100.39093,Right,21.730363,107.09565,41.36697,25.10984,318.13388,314.72973,4.175451,19.595632,1.03301,2.75783,0.27734,NA,NA,NA,NA,NA,2,2,LAF_LEP,1,Top,1,1,0,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,NA,WES_HIL,LAF_LEP,NickDenesField,D1,CUSA,20250222-NickDenesField-1,20f29d20-f160-11ef-8b0f-99f1e2f3c575,91.53509,54.28085,NA,8.01007,NA,NA,NA,8fcbdc90-d8c4-4aeb-a827-1f9843222d23,2025-02-22,21:01:00,2025-02-22T21:01:00Z,2025-02-22T21:01:00Z,LineDrive,v3,471490,471333,22 February 2025 17:00-lafayette@wkentucky,"Westbrook, Anthony",1000077635,Right,WES_HIL,54.36349,-134.62422,14.74384,6.47998,-5.76903,-7.42618,-1.01811,5.23192,-5.0946,218.863048,1.03198,134.89359,-31.13573,7.8836,-2.00273,0.50072,-0.10612,0.01427,-8.2e-4,2.759,54.48362,-14.70891,-0.51066,0.71807,-0.31178,0.08134,-0.01112,6e-4,0.27693,22.79063,5.77923,-3.43842,1.12059,-0.25045,0.03719,-0.0031,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-02-22,16:01:39,"Peters, Treyson",824288,Right,WES_HIL,Undefined,TwoSeamFastBall,NA,NA,91.46353,-1.515717,-2.659327,2333.447554,238.265065,02:00:00,6.31794,1.05819,5.83513,-21.73289,11.78816,17.32332,3.09615,0.02816,83.58549,-5.581001,0.444972,0.416706,-9.63028,6.77185,-0.85158,50,6.18137,5.41754,-132.73667,-4.24651,-17.16655,28.64171,-20.10277,05a7b683-a8fe-4dd7-97d9-47cc529b94ed,NA,NA,NA,NA,0.486354,1000235013,"Zarrillo, Michael",3618.038739,NA,99.34251,Left,33.108162,109.78619,72.08193,-6.85076,338.04383,248.21171,5.55438,-11.881781,0.32545,2.50622,0.66647,NA,NA,NA,NA,NA,3,1,LAF_LEP,1,Top,2,0,0,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,WES_HIL,LAF_LEP,NickDenesField,D1,CUSA,20250222-NickDenesField-1,38780980-f160-11ef-8b0f-99f1e2f3c575,90.45323,102.46709,NA,7.87804,NA,NA,NA,8fcbdc90-d8c4-4aeb-a827-1f9843222d23,2025-02-22,21:01:39,2025-02-22T21:01:39Z,2025-02-22T21:01:39Z,FlyBall,v3,471490,471333,22 February 2025 17:00-lafayette@wkentucky,"Westbrook, Anthony",1000077635,Right,WES_HIL,54.66672,-133.73986,14.32086,6.31777,-3.5424,-10.05138,-1.05187,6.01881,-8.58328,153.70154,0.3325,121.90729,-29.7351,7.22357,-1.19527,0.09155,0.00566,-0.00152,8e-5,2.50236,79.64861,-16.48672,-0.33764,0.49281,-0.18018,0.04109,-0.00506,2.5e-4,0.66934,0.97748,-9.67111,3.47267,-0.82423,0.12585,-0.01105,4.8e-4,-1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
5,2025-02-22,16:04:50,"Skapinetz, Joe",1000235168,Right,LAF_LEP,Undefined,Fastball,NA,NA,89.76853,-1.724233,-4.506222,2195.764634,214.368777,01:15:00,5.0931,2.28329,7.42228,-21.84852,11.19351,6.89922,1.71217,-1.21391,81.71446,-5.931115,-3.237135,0.413718,-5.06559,6.92847,-2.041,50,4.99409,10.02344,-130.21414,-4.43905,-8.63358,29.21465,-20.36549,55a7850a-870e-48df-803c-1ec7171be280,NA,NA,NA,NA,NA,1000338044,"Vasquez, Carlos",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,WES_HIL,1,Bottom,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,LAF_LEP,NickDenesField,D1,CUSA,20250222-NickDenesField-1,aa4333a0-f160-11ef-8b0f-99f1e2f3c575,91.10651,NA,NA,8.05407,NA,NA,NA,8fcbdc90-d8c4-4aeb-a827-1f9843222d23,2025-02-22,21:04:50,2025-02-22T21:04:50Z,2025-02-22T21:04:50Z,NA,v3,471490,471333,22 February 2025 17:00-lafayette@wkentucky,"Swidler, Ethan",1000235010,Right,LAF_LEP,53.07675,-130.90262,14.60732,5.09304,-3.95911,-10.18274,-2.27961,10.22689,-4.31679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-22,16:05:04,"Skapinetz, Joe",1000235168,Right,LAF_LEP,Undefined,Fastball,NA,NA,89.21106,-1.592669,-3.11494,2259.955894,219.410761,01:15:00,5.21621,2.15966,7.72848,-21.8497,10.95201,8.13937,1.96516,0.04276,81.58758,-5.82022,-1.604216,0.412211,-5.39461,6.80099,-2.00933,50,5.13401,6.81223,-129.77152,-4.07641,-9.16282,28.16514,-20.62249,adf469be-db9d-465d-a4e5-2d6b637283bc,NA,NA,NA,NA,17.870903,1000338044,"Vasquez, Carlos",NA,NA,106.84587,Right,-8.929463,NA,NA,NA,12.7468,11.53339,0.076787,16.63476,0.88895,1.86952,-0.0023,NA,NA,NA,NA,NA,1,2,WES_HIL,1,Bottom,0,1,0,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,WES_HIL,LAF_LEP,NickDenesField,D1,CUSA,20250222-NickDenesField-1,b28c5370-f160-11ef-8b0f-99f1e2f3c575,91.43965,1.86952,NA,7.62348,NA,NA,NA,8fcbdc90-d8c4-4aeb-a827-1f9843222d23,2025-02-22,21:05:04,2025-02-22T21:05:04Z,2025-02-22T21:05:04Z,GroundBall,v3,471490,471333,22 February 2025 17:00-lafayette@wkentucky,"Swidler, Ethan",1000235010,Right,LAF_LEP,52.77324,-130.37202,14.08257,5.21623,-3.63672,-10.31124,-2.15666,7.00759,-4.58141,180,0.88722,147.47784,NA,NA,NA,NA,NA,NA,NA,1.86981,-24.34684,NA,NA,NA,NA,NA,NA,NA,-0.00286,47.55135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,High,High,NA,NA,NA
7,2025-02-22,16:05:44,"Skapinetz, Joe",1000235168,Right,LAF_LEP,Undefined,Slider,NA,NA,78.38569,2.607846,-1.527049,2482.952766,87.049479,09:00:00,4.90165,2.62702,6.72267,-43.82872,0.61272,-16.18962,3.63536,-0.11819,71.32651,-5.624266,-4.473287,0.479806,8.05993,-0.02638,-2.52067,50,5.05769,3.57711,-113.85317,4.00122,10.47244,22.87643,-32.20834,177c12ff-e5aa-4755-b982-7b5688dc4c46,NA,NA,NA,NA,NA,801886,"Lizama, Ethan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,WES_HIL,1,Bottom,0,0,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,LAF_LEP,NickDenesField,D1,CUSA,20250222-NickDenesField-1,ca7822c0-f160-11ef-8b0f-99f1e2f3c575,78.55768,NA,NA,7.05918,NA,NA,NA,8fcbdc90-d8c4-4aeb-a827-1f9843222d23,2025-02-22,21:05:44,2025-02-22T21:05:44Z,2025-02-22T21:05:44Z,NA,v3,471490,471333,22 February 2025 17:00-lafayette@wkentucky,"Swidler, Ethan",1000235010,Right,LAF_LEP,53.77871,-114.60991,11.43821,4.90771,5.06665,-16.10417,-2.63326,3.23069,5.23622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-22,16:06:06,"Skapinetz, Joe",1000235168,Right,LAF_LEP,Undefined,FourSeamFastBall,NA,NA,89.38729,-0.136939,-3.463846,2202.528112,207.645026,01:00:00,5.1306,2.28661,7.53652,-19.99253,12.66788,6.13595,3.34111,-0.32267,82.19956,-4.000084,-2.330823,0.411322,-4.26603,7.24867,-2.10767,50,5.11827,7.6762,-130.05647,-0.74637,-7.34479,25.94943,-19.69404,4df91f5d-82f4-43f8-b7a6-278fd991df29,NA,NA,NA,NA,-157.234025,801886,"Lizama, Ethan",2534.9087720000002,NA,67.12695,Left,20.739467,NA,NA,NA,NA,41.06321,NA,NA,0.16238,3.18607,0.39658,NA,NA,NA,NA,NA,2,2,WES_HIL,1,Bottom,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,LAF_LEP,NickDenesField,D1,CUSA,20250222-NickDenesField-1,d7a9ab30-f160-11ef-8b0f-99f1e2f3c575,91.63722,14.73441,NA,7.18773,NA,NA,NA,8fcbdc90-d8c4-4aeb-a827-1f9843222d23,2025-02-22,21:06:06,2025-02-22T21:06:06Z,2025-02-22T21:06:06Z,NA,v3,471490,471333,22 February 2025 17:00-lafayette@wkentucky,"Swidler, Ethan",1000235010,Right,LAF_LEP,52.96538,-130.6468,12.97472,5.13015,-0.29835,-9.84702,-2.2842,7.84329,-3.6724,38.567019,0.16203,-84.89014,4.8125,NA,NA,NA,NA,NA,NA,3.19378,34.6419,-21.10428,NA,NA,NA,NA,NA,NA,0.39325,-35.53318,4.91595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
9,2025-02-22,16:06:28,"Skapinetz, Joe",1000235168,Right,LAF_LEP,Undefined,Fastball,NA,NA,90.35457,1.216408,-2.925783,2144.242795,218.588204,01:15:00,5.13064,2.16157,7.47571,-18.96139,13.45489,9.88808,4.64795,0.34752,81.93464,-2.482427,-1.100561,0.409782,-6.20886,7.25733,-2.00778,50,5.18985,6.3693,-131.34178,2.38908,-10.764709999999999,29.75713,-19.59153,3fa2f9c2-ac91-4aae-846a-c2ed17ee525d,NA,NA,NA,NA,NA,801886,"Lizama, Ethan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,WES_HIL,1,Bottom,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,LAF_LEP,NickDenesField,D1,CUSA,20250222-NickDenesField-1,e4bdc090-f160-11ef-8b0f-99f1e2f3c575,91.98171,NA,NA,8.41993,NA,NA,NA,8fcbdc90-d8c4-4aeb-a827-1f9843222d23,2025-02-22,21:06:28,2025-02-22T21:06:28Z,2025-02-22T21:06:28Z,NA,v3,471490,471333,22 February 2025 17:00-lafayette@wkentucky,"Swidler, Ethan",1000235010,Right,LAF_LEP,53.02341,-132.02499,14.87857,5.12983,2.8389,-9.79576,-2.15685,6.61646,-5.38236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-22,16:06:47,"Skapinetz, Joe",1000235168,Right,LAF_LEP,Undefined,Cutter,NA,NA,85.65412,1.302665,-2.225157,2307.947005,183.308246,12:00:00,5.1107,2.24498,7.04368,-29.72604,6.78878,0.3261,3.81798,0.24978,78.16717,-4.347173,-2.165422,0.434917,-0.80941,3.63662,-2.11042,50,5.18019,4.82664,-124.51622,2.04584,-1.26719,25.65194,-26.48059,84495480-1638-456f-86f6-4316b957364e,NA,NA,NA,NA,NA,801886,"Lizama, Ethan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,WES_HIL,1,Bottom,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,WES_HIL,LAF_LEP,NickDenesField,D1,CUSA,20250222-NickDenesField-1,f0484fc0-f160-11ef-8b0f-99f1e2f3c575,86.6659,NA,NA,7.48695,NA,NA,NA,8fcbdc90-d8c4-4aeb-a827-1f9843222d23,2025-02-22,21:06:47,2025-02-22T21:06:47Z,2025-02-22T21:06:47Z,NA,v3,471490,471333,22 February 2025 17:00-lafayette@wkentucky,"Swidler, Ethan",1000235010,Right,LAF_LEP,53.45531,-125.22604,12.82597,5.11345,2.77858,-13.2403,-2.24446,4.8617,-0.6336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
