PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,15:06:58,"Beckner, Drew",1000319974,Left,EMU_EAG,Undefined,Fastball,NA,NA,86.1555,-2.623909,2.732152,2153.28798,131.618081,10:30:00,5.77164,-1.23809,4.76498,-22.46954,16.84847,-17.54131,1.40667,-0.10733,78.96648,-6.752374,-0.349241,0.451302,9.33741,9.35721,0.98027,50,5.48909,-5.13664,-124.74055,-6.53991,14.75565,24.39963,-17.38706,e6d6bfa3-0126-42ad-b3ae-a2fdf0e32d6a,NA,NA,NA,NA,NA,10101934,"Parcell, Charlie",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NIU_HUS,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,NIU_HUS,OestrikeStadium,D1,MAC,20250502-OestrikeStadium-1,9f94f3e0-2788-11f0-b8c6-4302c420732f,83.51936,NA,NA,7.18902,NA,NA,NA,691792f6-c9a2-493d-81c3-f9be153460ad,2025-05-02,19:06:58,2025-05-02T19:06:58Z,2025-05-02T19:06:58Z,NA,v3,471289,471392,02 May 2025 15:00-nillinois@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,55.73515,-125.85736,12.19981,5.77023,-5.74407,-8.69353,1.23084,-5.81203,7.37783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-02,15:07:14,"Beckner, Drew",1000319974,Left,EMU_EAG,Undefined,Fastball,NA,NA,86.62841,-1.199412,2.872932,2249.497083,128.55208,10:15:00,5.81969,-1.21956,4.93239,-24.09486,14.77619,-16.88513,2.67644,0.09128,78.73756,-5.653087,-0.101139,0.448729,9.22174,8.03666,0.95471,50,5.68345,-5.52588,-125.45279,-3.50085,14.62007,26.61133,-19.43277,0a247b54-fe64-4770-ab1e-e487d0473025,NA,NA,NA,NA,17.683835,10101934,"Parcell, Charlie",1471.740385,NA,97.91101,Left,4.216102,NA,NA,NA,101.29798,93.42254,0.761858,18.245633,1.77802,2.79027,-0.13071,NA,NA,NA,NA,NA,1,2,NIU_HUS,1,Top,0,0,1,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,EMU_EAG,NIU_HUS,OestrikeStadium,D1,MAC,20250502-OestrikeStadium-1,a8b49d90-2788-11f0-b8c6-4302c420732f,83.99816,4.21015,NA,7.89086,NA,NA,NA,691792f6-c9a2-493d-81c3-f9be153460ad,2025-05-02,19:07:14,2025-05-02T19:07:14Z,2025-05-02T19:07:14Z,GroundBall,v3,471289,471392,02 May 2025 15:00-nillinois@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,55.56788,-126.62835,13.30567,5.81914,-2.6424,-9.71638,1.21308,-6.17173,7.31004,306.694,1.82404,135.62704,-15.48861,NA,NA,NA,NA,NA,NA,2.82585,9.92514,-17.95303,NA,NA,NA,NA,NA,NA,-0.13007,43.49302,-2.22362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-05-02,15:07:45,"Beckner, Drew",1000319974,Left,EMU_EAG,Undefined,Fastball,NA,NA,86.45349,-3.066247,2.867872,2164.426132,141.563175,10:45:00,5.80445,-1.22086,4.6663,-19.8821,19.78115,-14.57083,1.22854,0.29137,78.36082,-6.760636,0.314225,0.453279,7.95658,10.99312,0.94219,50,5.47422,-5.56123,-124.90503,-7.39297,12.47011,27.02054,-14.9449,24812fc1-2120-403b-8a32-9e76ef56db1c,NA,NA,NA,NA,NA,1000380520,"Gregorio, Logan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NIU_HUS,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,NIU_HUS,OestrikeStadium,D1,MAC,20250502-OestrikeStadium-1,bb2f7350-2788-11f0-b8c6-4302c420732f,83.15507,NA,NA,8.09267,NA,NA,NA,691792f6-c9a2-493d-81c3-f9be153460ad,2025-05-02,19:07:45,2025-05-02T19:07:45Z,2025-05-02T19:07:45Z,NA,v3,471289,471392,02 May 2025 15:00-nillinois@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,55.83132,-126.1602,13.51027,5.80152,-6.69874,-7.47245,1.21397,-6.1405,6.23506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-02,15:07:59,"Beckner, Drew",1000319974,Left,EMU_EAG,Undefined,Fastball,NA,NA,86.4529,-2.691164,3.304827,2284.420506,132.765145,10:30:00,5.80402,-1.2083,4.75612,-22.45182,16.95119,-16.85025,1.37478,0.52507,78.62205,-6.83371,0.347668,0.45179,9.20717,9.49646,0.89182,50,5.51427,-6.42283,-124.97637,-6.69504,14.49247,26.31059,-17.22621,a5c44ad0-ca29-46f9-968d-59c80b56a601,NA,NA,NA,NA,NA,1000380520,"Gregorio, Logan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NIU_HUS,1,Top,1,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,NIU_HUS,OestrikeStadium,D1,MAC,20250502-OestrikeStadium-1,c3ecb1b0-2788-11f0-b8c6-4302c420732f,83.4292,NA,NA,7.83085,NA,NA,NA,691792f6-c9a2-493d-81c3-f9be153460ad,2025-05-02,19:07:59,2025-05-02T19:07:59Z,2025-05-02T19:07:59Z,NA,v3,471289,471392,02 May 2025 15:00-nillinois@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,55.74265,-126.17955,13.1553,5.80242,-5.90729,-8.61311,1.20069,-7.08557,7.24624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-02,15:08:14,"Beckner, Drew",1000319974,Left,EMU_EAG,Undefined,ChangeUp,NA,NA,76.74942,1.407595,2.390483,2159.452925,123.498192,10:00:00,5.72538,-1.17325,5.21049,-34.42258,14.60765,-19.57848,4.18196,-0.55547,69.65437,-4.965673,-1.075247,0.503968,10.41571,7.35414,0.96732,50,5.83031,-3.8537,-111.19125,1.64506,12.96275,21.03653,-23.02153,b47d0006-6751-459e-82d0-20684e35557e,NA,NA,NA,NA,NA,1000380520,"Gregorio, Logan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NIU_HUS,1,Top,1,2,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,NIU_HUS,OestrikeStadium,D1,MAC,20250502-OestrikeStadium-1,ccceb620-2788-11f0-b8c6-4302c420732f,74.79127,NA,NA,7.09505,NA,NA,NA,691792f6-c9a2-493d-81c3-f9be153460ad,2025-05-02,19:08:14,2025-05-02T19:08:14Z,2025-05-02T19:08:14Z,NA,v3,471289,471392,02 May 2025 15:00-nillinois@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,55.28795,-112.18723,10.51827,5.72662,2.73502,-11.51076,1.1643,-4.46742,6.48137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-02,15:08:30,"Beckner, Drew",1000319974,Left,EMU_EAG,Undefined,Fastball,NA,NA,86.59211,-2.240692,3.491953,2271.650364,141.16818,10:45:00,5.79117,-1.1304,4.68528,-19.40871,19.97946,-14.97733,2.04104,0.94145,78.58893,-5.856057,0.869227,0.451704,8.29682,10.80568,0.78927,50,5.54646,-6.91839,-125.15634,-5.57802,13.09719,26.38589,-15.11641,9b9bc8ec-e5f2-4218-9137-0da09021c380,NA,NA,NA,NA,NA,1000380520,"Gregorio, Logan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NIU_HUS,1,Top,1,3,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,NIU_HUS,OestrikeStadium,D1,MAC,20250502-OestrikeStadium-1,d636b370-2788-11f0-b8c6-4302c420732f,83.44494,NA,NA,8.00318,NA,NA,NA,691792f6-c9a2-493d-81c3-f9be153460ad,2025-05-02,19:08:30,2025-05-02T19:08:30Z,2025-05-02T19:08:30Z,NA,v3,471289,471392,02 May 2025 15:00-nillinois@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,55.81236,-126.37578,13.19295,5.78811,-4.8794,-7.55821,1.123,-7.52368,6.5486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-02,15:08:45,"Beckner, Drew",1000319974,Left,EMU_EAG,Undefined,ChangeUp,NA,NA,77.20769,0.169107,3.095395,2151.270782,103.340461,09:30:00,5.64982,-1.25624,5.31989,-40.80447,7.10288,-23.56497,2.40839,-0.31215,70.84878,-7.297682,-1.087601,0.498164,12.73367,3.93823,0.99369,50,5.63559,-5.14624,-111.99923,-1.00545,16.18423,20.10989,-27.16862,0063f552-35de-426b-a456-51dfc2f2209b,NA,NA,NA,NA,60.138451,1000380520,"Gregorio, Logan",NA,NA,52.75952,Left,-63.029339,NA,NA,NA,2.31059,1.48263,0.034464,35.461854,1.27599,2.39168,0.28502,NA,NA,NA,NA,NA,2,5,NIU_HUS,1,Top,1,3,1,Changeup,InPlay,Undefined,GroundBall,Single,0,0,NA,EMU_EAG,NIU_HUS,OestrikeStadium,D1,MAC,20250502-OestrikeStadium-1,df3f2ba0-2788-11f0-b8c6-4302c420732f,75.6627,2.39168,NA,6.35891,NA,NA,NA,691792f6-c9a2-493d-81c3-f9be153460ad,2025-05-02,19:08:45,2025-05-02T19:08:45Z,2025-05-02T19:08:45Z,GroundBall,v3,471289,471392,02 May 2025 15:00-nillinois@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,55.18294,-112.92601,10.05495,5.65308,0.24664,-13.58431,1.24804,-5.8921,8.09212,NA,1.27538,17.58326,NA,NA,NA,NA,NA,NA,NA,2.39407,-69.39629,NA,NA,NA,NA,NA,NA,NA,0.28397,30.62577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
8,2025-05-02,15:09:22,"Beckner, Drew",1000319974,Left,EMU_EAG,Undefined,Fastball,NA,NA,87.09465,-2.638005,1.575096,2196.616613,141.759148,10:45:00,5.8161,-1.14668,4.80048,-18.71851,19.78907,-14.5906,1.75385,-0.86969,79.52265,-6.118073,-0.99106,0.446627,7.58146,10.83052,1.00301,50,5.53762,-2.77815,-126.12848,-6.45858,12.2062,25.78484,-14.73686,6049677a-d7e4-4676-87ee-4dfd8f747c13,NA,NA,NA,NA,NA,811782,"Gauthier, J.P.",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NIU_HUS,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,NIU_HUS,OestrikeStadium,D1,MAC,20250502-OestrikeStadium-1,f4dfab60-2788-11f0-b8c6-4302c420732f,84.39364,NA,NA,7.57201,NA,NA,NA,691792f6-c9a2-493d-81c3-f9be153460ad,2025-05-02,19:09:22,2025-05-02T19:09:22Z,2025-05-02T19:09:22Z,NA,v3,471289,471392,02 May 2025 15:00-nillinois@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,55.69824,-127.28806,12.89242,5.81317,-5.79584,-7.36843,1.14029,-3.32708,6.1031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-02,15:09:40,"Beckner, Drew",1000319974,Left,EMU_EAG,Undefined,Fastball,NA,NA,87.30293,-2.57787,3.341122,2213.971897,135.324027,10:30:00,5.81856,-1.09391,4.86366,-20.32761,18.10261,-16.59651,1.67895,0.68886,79.43051,-6.352721,0.423502,0.446178,9.11213,10.03831,0.77922,50,5.54752,-6.58957,-126.25234,-6.40701,14.65545,26.55333,-16.02897,9be29f7e-f37b-45d4-ad8c-d68fcfcd38a2,NA,NA,NA,NA,NA,811782,"Gauthier, J.P.",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NIU_HUS,1,Top,1,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,NIU_HUS,OestrikeStadium,D1,MAC,20250502-OestrikeStadium-1,0007a830-2789-11f0-b8c6-4302c420732f,84.47852,NA,NA,7.87242,NA,NA,NA,691792f6-c9a2-493d-81c3-f9be153460ad,2025-05-02,19:09:40,2025-05-02T19:09:40Z,2025-05-02T19:09:40Z,NA,v3,471289,471392,02 May 2025 15:00-nillinois@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,55.63528,-127.43204,13.27666,5.81635,-5.69488,-8.01449,1.08644,-7.24068,7.32773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-02,15:10:00,"Beckner, Drew",1000319974,Left,EMU_EAG,Undefined,ChangeUp,NA,NA,77.30825,0.644498,1.790019,2246.124096,123.344254,10:00:00,5.68859,-1.15655,5.08569,-34.60148,13.99095,-18.73099,3.41295,-1.02968,70.15641,-5.740797,-1.520989,0.501713,9.77315,7.24626,1.00232,50,5.72304,-2.72814,-112.01657,0.13186,12.32092,21.70579,-23.03875,0959e04f-2918-4265-8251-a10a0c7bf11a,NA,NA,NA,NA,NA,811782,"Gauthier, J.P.",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NIU_HUS,1,Top,1,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EMU_EAG,NIU_HUS,OestrikeStadium,D1,MAC,20250502-OestrikeStadium-1,0bd4bea0-2789-11f0-b8c6-4302c420732f,75.12742,NA,NA,7.15184,NA,NA,NA,691792f6-c9a2-493d-81c3-f9be153460ad,2025-05-02,19:10:00,2025-05-02T19:10:00Z,2025-05-02T19:10:00Z,NA,v3,471289,471392,02 May 2025 15:00-nillinois@emichigan,"Kleiman, Brendan",1000272555,Right,EMU_EAG,55.41207,-113.06042,10.8529,5.69006,1.23981,-11.51938,1.14777,-3.32066,6.16046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
