PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:03:59,"Lavelle, Declan",1000294734,Right,ELO_PHO,Undefined,Fastball,NA,NA,90.14015,-2.89568,-0.524967,2393.502883,186.194218,12:15:00,5.97352,0.76292,6.64229,-12.57154,21.43844,2.18902,2.27281,0.46477,81.10357,-5.390056,-0.126471,0.419735,-1.32547,12.61091,-0.72829,50,5.77244,1.11226,-130.7467,-6.85695,-2.25172,32.34832,-10.75036,5f13c70a-fb84-4d4a-86be-a746cc948d08,NA,NA,NA,NA,NA,10108069,"Wyche, Bruce",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NOR_AGG,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20250427-LathamPark-1,9d45e2a0-2389-11f0-ad64-d351fef3e97c,89.80067,NA,NA,9.03658,NA,NA,NA,4516a6d2-42fb-4c40-bfbb-7959d3a2d9ff,2025-04-27,17:03:59,2025-04-27T17:03:59Z,2025-04-27T17:03:59Z,NA,v3,471503,471385,27 April 2025 13:00-ncat@elon,"Duffey, Alex",824545,Right,ELO_PHO,53.8547,-131.69695,16.17416,5.96923,-6.54116,-5.37518,-0.76194,1.1784,-1.12586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-27,13:04:12,"Lavelle, Declan",1000294734,Right,ELO_PHO,Undefined,Slider,NA,NA,84.73637,-1.518447,-1.15827,2427.003041,179.147039,12:00:00,5.85118,1.05283,5.98694,-32.46423,7.18422,-0.08429,1.73786,-0.02787,76.14598,-7.580588,-1.173445,0.453194,-0.36146,4.65173,-0.96139,50,5.71369,2.48609,-122.79492,-4.29082,-0.53846,29.82739,-25.24421,bfbe4bec-82cc-4835-b877-44c8b4a515a5,NA,NA,NA,NA,NA,10108069,"Wyche, Bruce",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NOR_AGG,1,Top,0,0,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20250427-LathamPark-1,a4a16e20-2389-11f0-ad64-d351fef3e97c,83.17058,NA,NA,8.59038,NA,NA,NA,4516a6d2-42fb-4c40-bfbb-7959d3a2d9ff,2025-04-27,17:04:12,2025-04-27T17:04:12Z,2025-04-27T17:04:12Z,NA,v3,471503,471385,27 April 2025 13:00-ncat@elon,"Duffey, Alex",824545,Right,ELO_PHO,54.5097,-123.8855,14.91369,5.8537,-3.36782,-12.6221,-1.05265,2.50578,-0.26923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-27,13:04:30,"Lavelle, Declan",1000294734,Right,ELO_PHO,Undefined,Slider,NA,NA,84.63167,-0.988024,-1.560432,2359.294615,183.668552,12:00:00,5.72643,1.01574,6.2102,-31.84108,6.79532,0.35595,2.1606900000000002,-0.39514,77.45077,-6.921375,-1.496128,0.447373,-0.63772,4.1717,-0.89886,50,5.63634,3.33584,-122.94927,-3.10373,-0.97214,25.31284,-25.8147,4ab342c9-eb45-4079-85ae-007235b16c0f,NA,NA,NA,NA,10.565801,10108069,"Wyche, Bruce",2168.540359,NA,102.64819,Right,3.03322,NA,NA,NA,78.1386,76.92611,0.551234,13.279516,1.03715,2.07915,0.40309,NA,NA,NA,NA,NA,1,3,NOR_AGG,1,Top,0,0,2,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20250427-LathamPark-1,af6be1a0-2389-11f0-ad64-d351fef3e97c,84.25282,2.78766,NA,7.1809,NA,NA,NA,4516a6d2-42fb-4c40-bfbb-7959d3a2d9ff,2025-04-27,17:04:30,2025-04-27T17:04:30Z,2025-04-27T17:04:30Z,GroundBall,v3,471503,471385,27 April 2025 13:00-ncat@elon,"Duffey, Alex",824545,Right,ELO_PHO,54.28959,-123.82926,12.65642,5.72864,-2.20629,-12.90735,-1.01541,3.36964,-0.48607,292.382272,1.05773,147.29008,-20.46768,NA,NA,NA,NA,NA,NA,2.09913,7.47848,-20.53695,NA,NA,NA,NA,NA,NA,0.3838,28.04035,6.9964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-04-27,13:05:11,"Lavelle, Declan",1000294734,Right,ELO_PHO,Undefined,Fastball,NA,NA,90.2412,-2.531689,-0.511635,2333.551809,200.53981,12:45:00,5.86994,0.79529,6.56353,-14.45796,19.26064,6.78162,2.34252,0.89135,81.91651,-5.345348,0.721249,0.417932,-3.68071,11.18733,-0.76246,50,5.68887,0.89615,-131.00117,-6.11955,-6.34163,29.87936,-12.89905,4d0d697f-72fd-4b98-b2a6-88db98630159,NA,NA,NA,NA,NA,10106530,"Smith, Tyler",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NOR_AGG,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20250427-LathamPark-1,c7c16f40-2389-11f0-ad64-d351fef3e97c,90.18789,NA,NA,8.32469,NA,NA,NA,4516a6d2-42fb-4c40-bfbb-7959d3a2d9ff,2025-04-27,17:05:11,2025-04-27T17:05:11Z,2025-04-27T17:05:11Z,NA,v3,471503,471385,27 April 2025 13:00-ncat@elon,"Duffey, Alex",824545,Right,ELO_PHO,53.9331,-131.8952,14.93968,5.86619,-5.7336,-6.44952,-0.79211,1.08591,-3.17081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-27,13:05:24,"Lavelle, Declan",1000294734,Right,ELO_PHO,Undefined,Slider,NA,NA,85.656720000000007,-2.517403,-2.100324,2409.380607,180.966212,12:00:00,5.73572,1.01643,6.0241,-30.20419,8.33937,0.11705,0.88404,-0.91999,77.59425,-8.139293,-2.079251,0.446835,-0.75579,5.4854,-0.85207,50,5.52203,4.54821,-124.13962,-6.41218,-1.15822,29.01755,-23.76804,fc7209b2-d36d-4c1a-97f0-38d3acbf87fc,NA,NA,NA,NA,NA,10106530,"Smith, Tyler",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NOR_AGG,1,Top,1,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20250427-LathamPark-1,cff0ec90-2389-11f0-ad64-d351fef3e97c,84.35424,NA,NA,8.06247,NA,NA,NA,4516a6d2-42fb-4c40-bfbb-7959d3a2d9ff,2025-04-27,17:05:24,2025-04-27T17:05:24Z,2025-04-27T17:05:24Z,NA,v3,471503,471385,27 April 2025 13:00-ncat@elon,"Duffey, Alex",824545,Right,ELO_PHO,54.47616,-125.18155,14.50877,5.73695,-5.55875,-11.88402,-1.01613,4.5898,-0.57911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-27,13:05:39,"Lavelle, Declan",1000294734,Right,ELO_PHO,Undefined,Slider,NA,NA,83.31108,-0.546295,-0.557849,2260.871307,167.311395,11:30:00,5.75571,1.09652,5.94759,-35.35238,5.06681,-0.83587,2.30294,0.50943,75.93245,-7.102238,-0.708214,0.457578,0.26272,3.13752,-1.05164,50,5.69233,1.21023,-120.9866,-2.28793,0.386,25.54005,-27.56435,3e5f4e57-9599-4909-a325-7431582ef3b8,NA,NA,NA,NA,3.985688,10106530,"Smith, Tyler",1202.808591,NA,88.99432,Left,18.315922,109.92901,27.78915,3.94803,273.42996,273.42996,2.951087,0.628674,1.47159,2.33976,-0.48863,NA,NA,NA,NA,NA,2,3,NOR_AGG,1,Top,1,2,0,Slider,InPlay,Undefined,LineDrive,Single,0,0,NA,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20250427-LathamPark-1,d8d5fe40-2389-11f0-ad64-d351fef3e97c,82.37375,29.92162,NA,7.37863,NA,NA,NA,4516a6d2-42fb-4c40-bfbb-7959d3a2d9ff,2025-04-27,17:05:39,2025-04-27T17:05:39Z,2025-04-27T17:05:39Z,LineDrive,v3,471503,471385,27 April 2025 13:00-ncat@elon,"Duffey, Alex",824545,Right,ELO_PHO,54.55215,-121.94376,12.77003,5.75872,-1.2549,-13.78218,-1.09673,1.19576,0.193,140.94952,1.47142,123.61929,-17.74572,4.03331,-0.97228,0.26876,-0.07355,0.01313,-9.4e-4,2.33988,41.0138,-16.1184,0.54967,0.14725,-0.09132,0.02667,-0.00249,-1.1e-4,-0.48864,8.61347,-5.95361,2.35715,-0.71429,0.17766,-0.03702,0.0051,-3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-04-27,13:06:17,"Lavelle, Declan",1000294734,Right,ELO_PHO,Undefined,Fastball,NA,NA,90.37409,-2.055086,-2.837716,2326.298405,202.836917,12:45:00,5.92381,0.80633,6.6184,-14.95375,18.86127,7.42374,2.79246,-1.17598,81.44519,-4.979488,-1.48924,0.41853,-4.78213,10.9056,-0.61608,50,5.77741,6.19481,-131.0184,-5.04198,-8.18585,31.61279,-13.50629,14b620ec-2983-4691-bdd2-9be175925ac5,NA,NA,NA,NA,NA,822979,"Taylor, JT",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NOR_AGG,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20250427-LathamPark-1,ef23adf0-2389-11f0-ad64-d351fef3e97c,90.0592,NA,NA,8.9289,NA,NA,NA,4516a6d2-42fb-4c40-bfbb-7959d3a2d9ff,2025-04-27,17:06:17,2025-04-27T17:06:17Z,2025-04-27T17:06:17Z,NA,v3,471503,471385,27 April 2025 13:00-ncat@elon,"Duffey, Alex",824545,Right,ELO_PHO,53.87753,-131.95067,15.80639,5.92023,-4.64367,-6.75314,-0.80232,6.43621,-4.09292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-27,13:06:35,"Lavelle, Declan",1000294734,Right,ELO_PHO,Undefined,Fastball,NA,NA,90.10958,-2.577814,-1.256717,2306.031129,198.285939,12:30:00,5.95667,0.86727,6.50186,-15.1819,18.7595,5.80914,2.3233,0.1977,81.72974,-5.521873,-0.20209,0.419311,-3.41288,10.94859,-0.78165,50,5.7693,2.63604,-130.76871,-6.25228,-5.85259,30.06618,-13.39886,021b341b-0a0e-4d96-8c08-cbee0caea1f6,NA,NA,NA,NA,NA,822979,"Taylor, JT",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NOR_AGG,1,Top,1,0,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20250427-LathamPark-1,fa478c10-2389-11f0-ad64-d351fef3e97c,89.89137,NA,NA,8.37984,NA,NA,NA,4516a6d2-42fb-4c40-bfbb-7959d3a2d9ff,2025-04-27,17:06:35,2025-04-27T17:06:35Z,2025-04-27T17:06:35Z,NA,v3,471503,471385,27 April 2025 13:00-ncat@elon,"Duffey, Alex",824545,Right,ELO_PHO,53.9955,-131.68414,15.03309,5.95345,-5.84432,-6.69943,-0.86463,2.81424,-2.92629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-27,13:07:09,"Lavelle, Declan",1000294734,Right,ELO_PHO,Undefined,Fastball,NA,NA,89.3804,0.381929,-1.457899,2326.000422,201.41799,12:45:00,6.14364,0.81103,6.35377,-15.45272,19.30304,7.09461,5.20758,0.06006,80.56419,-2.632383,-0.17417,0.424311,-4.10504,10.23457,-0.70817,50,6.16366,3.00507,-129.72305,0.50038,-6.90706,30.32234,-14.95353,1ecd4443-7dbc-4f63-9c84-5029e2ec6853,NA,NA,NA,NA,NA,822979,"Taylor, JT",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NOR_AGG,1,Top,1,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20250427-LathamPark-1,0e5b2a40-238a-11f0-ad64-d351fef3e97c,88.83201,NA,NA,8.81621,NA,NA,NA,4516a6d2-42fb-4c40-bfbb-7959d3a2d9ff,2025-04-27,17:07:09,2025-04-27T17:07:09Z,2025-04-27T17:07:09Z,NA,v3,471503,471385,27 April 2025 13:00-ncat@elon,"Duffey, Alex",824545,Right,ELO_PHO,54.14142,-130.6875,15.16117,6.14017,0.97601,-7.47676,-0.80725,3.22476,-3.45353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-27,13:07:30,"Lavelle, Declan",1000294734,Right,ELO_PHO,Undefined,Fastball,NA,NA,90.12703,-1.35027,-1.542561,2372.65477,197.879843,12:30:00,5.97433,0.87215,6.63888,-13.69729,20.08596,6.0974,3.5961,-0.03222,81.44915,-4.045989,-0.433169,0.418333,-3.65618,11.2956,-0.76997,50,5.87683,3.27883,-130.85815,-3.36823,-6.26519,30.64281,-12.81803,e8e79218-e319-48fa-91b8-19218488df47,NA,NA,NA,NA,NA,822979,"Taylor, JT",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NOR_AGG,1,Top,1,1,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20250427-LathamPark-1,1acce520-238a-11f0-ad64-d351fef3e97c,90.10155,NA,NA,8.67788,NA,NA,NA,4516a6d2-42fb-4c40-bfbb-7959d3a2d9ff,2025-04-27,17:07:30,2025-04-27T17:07:30Z,2025-04-27T17:07:30Z,NA,v3,471503,471385,27 April 2025 13:00-ncat@elon,"Duffey, Alex",824545,Right,ELO_PHO,53.8571,-131.75827,15.32141,5.97024,-2.9917,-6.40902,-0.86899,3.46287,-3.1326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
