PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:07:05,"Frederick, Victor",10151602,Right,STJ_RED,Undefined,Fastball,NA,NA,90.04856,-2.594907,-4.917971,2317.513311,226.609362,01:30:00,5.41122,1.65765,6.55035,-16.73745,17.52442,17.20757,1.6265,-1.42922,81.20535,-5.838568,-1.806035,0.421286,-10.57127,10.3752,-1.32385,50,5.22388,10.52483,-130.23899,-6.33866,-17.90884,30.84712,-14.59733,8136c483-f6a6-4145-b5d4-6fbf68603a34,NA,NA,NA,NA,NA,10111517,"Rispoli, Robert",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,UCO_HUS,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STJ_RED,UCO_HUS,JackKaiser,D1,BEAST,20250427-JackKaiser-1,0bd91340-238a-11f0-b0cc-fb6213f26934,89.46994,NA,NA,8.84321,NA,NA,NA,129c5da3-9571-49f1-b6db-327c72d97081,2025-04-27,17:07:05,2025-04-27T17:07:05Z,2025-04-27T17:07:05Z,NA,v3,4285,471275,27 April 2025 13:00-uconn@stjohns,"Agresti, Adam",823812,Right,STJ_RED,53.94741,-131.1706,15.42356,5.40865,-5.89781,-7.29867,-1.64988,11.06569,-8.95442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-27,13:07:20,"Frederick, Victor",10151602,Right,STJ_RED,Undefined,Sinker,NA,NA,87.0643,-0.286658,-4.244595,1946.692572,267.765564,03:00:00,4.97092,1.78826,6.72202,-34.1284,1.78398,15.87891,1.86416,-0.77514,79.51577,-6.684179,-1.35659,0.431314,-9.62839,1.37158,-1.51291,50,4.9389,8.79751,-126.3533,-1.65083,-15.50261,26.71956,-29.96565,75016659-7e22-4324-801b-2882b9229b09,NA,NA,NA,NA,NA,10111517,"Rispoli, Robert",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,UCO_HUS,1,Top,0,1,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,STJ_RED,UCO_HUS,JackKaiser,D1,BEAST,20250427-JackKaiser-1,14f6e830-238a-11f0-b0cc-fb6213f26934,87.38981,NA,NA,7.54852,NA,NA,NA,129c5da3-9571-49f1-b6db-327c72d97081,2025-04-27,17:07:20,2025-04-27T17:07:20Z,2025-04-27T17:07:20Z,NA,v3,4285,471275,27 April 2025 13:00-uconn@stjohns,"Agresti, Adam",823812,Right,STJ_RED,53.77838,-127.14979,13.35978,4.9748,-0.75758,-14.98283,-1.78205,9.25963,-7.75131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-27,13:07:37,"Frederick, Victor",10151602,Right,STJ_RED,Undefined,Curveball,NA,NA,74.05539,2.378569,0.840967,2005.995309,68.703371,08:15:00,5.03741,1.70685,6.25134,-55.50527,-5.33918,-17.57658,2.60701,1.01774,68.1679,-7.881922,-2.337603,0.509773,9.31371,-2.9161,-1.76122,50,5.18749,-0.98593,-107.665,2.88063,10.93336,18.67518,-35.59726,bf840897-d9de-45a5-8d8f-f865e1c16d6d,NA,NA,NA,NA,NA,10111517,"Rispoli, Robert",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,UCO_HUS,1,Top,0,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STJ_RED,UCO_HUS,JackKaiser,D1,BEAST,20250427-JackKaiser-1,1ed68680-238a-11f0-b0cc-fb6213f26934,73.93971,NA,NA,5.88749,NA,NA,NA,129c5da3-9571-49f1-b6db-327c72d97081,2025-04-27,17:07:37,2025-04-27T17:07:37Z,2025-04-27T17:07:37Z,NA,v3,4285,471275,27 April 2025 13:00-uconn@stjohns,"Agresti, Adam",823812,Right,STJ_RED,54.25093,-108.39984,9.33759,5.04658,4.28133,-17.79863,-1.71397,-1.41614,5.46668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-27,13:07:55,"Frederick, Victor",10151602,Right,STJ_RED,Undefined,Sinker,NA,NA,88.38616,0.7107,-3.109847,1934.506381,262.572694,02:45:00,5.0935,1.61043,6.61781,-31.73006,3.06205,15.1865,3.10119,0.02513,80.84589,-5.240903,-0.350074,0.424533,-8.8167,1.76587,-1.40457,50,5.12907,6.39464,-128.42193,0.61785,-14.72344,26.60214,-29.22515,25824a21-a99e-41e5-b562-df95f3aa97ab,NA,NA,NA,NA,NA,10111517,"Rispoli, Robert",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,UCO_HUS,1,Top,0,2,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,STJ_RED,UCO_HUS,JackKaiser,D1,BEAST,20250427-JackKaiser-1,2a097fd0-238a-11f0-b0cc-fb6213f26934,88.78559,NA,NA,7.54027,NA,NA,NA,129c5da3-9571-49f1-b6db-327c72d97081,2025-04-27,17:07:55,2025-04-27T17:07:55Z,2025-04-27T17:07:55Z,NA,v3,4285,471275,27 April 2025 13:00-uconn@stjohns,"Agresti, Adam",823812,Right,STJ_RED,53.88186,-129.22354,13.30107,5.09719,1.4985,-14.61258,-1.60395,6.8383,-7.36172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-27,13:08:15,"Frederick, Victor",10151602,Right,STJ_RED,Undefined,Sinker,NA,NA,88.5128,0.690143,-2.791542,1961.950417,252.422505,02:30:00,5.0115,1.64198,6.64729,-29.59569,5.25209,12.95627,3.17766,0.16456,80.46885,-4.891403,-0.43532,0.424873,-7.46532,2.99736,-1.45717,50,5.04695,5.73147,-128.5036,0.64118,-12.41989,27.88647,-27.18743,cd99ce25-3d9d-4403-88b3-35cd3b6c009b,NA,NA,NA,NA,164.560953,10111517,"Rispoli, Robert",3175.018341,NA,74.66459,Right,13.157602,NA,NA,NA,126.63306,49.17024,1.291865,168.108615,-0.542,2.78491,-0.1032,NA,NA,NA,NA,NA,1,5,UCO_HUS,1,Top,0,2,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,STJ_RED,UCO_HUS,JackKaiser,D1,BEAST,20250427-JackKaiser-1,35e64db0-238a-11f0-b0cc-fb6213f26934,88.71462,9.85273,NA,8.04395,NA,NA,NA,129c5da3-9571-49f1-b6db-327c72d97081,2025-04-27,17:08:15,2025-04-27T17:08:15Z,2025-04-27T17:08:15Z,LineDrive,v3,4285,471275,27 April 2025 13:00-uconn@stjohns,"Agresti, Adam",823812,Right,STJ_RED,53.84736,-129.33581,13.94324,5.01571,1.45253,-13.59371,-1.63374,6.10212,-6.20995,313.336543,-0.51921,-103.02062,5.79396,NA,NA,NA,NA,NA,NA,2.91423,23.56179,-20.05586,NA,NA,NA,NA,NA,NA,-0.03355,27.64244,-5.77899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
6,2025-04-27,13:08:37,"Frederick, Victor",10151602,Right,STJ_RED,Undefined,Curveball,NA,NA,72.98942,1.637101,-2.022577,2230.959582,57.085911,08:00:00,4.83112,1.67092,5.84574,-62.7109,-9.44556,-17.38599,1.12792,-1.65825,66.68484,-9.840503,-5.141011,0.52528300000000006,8.26934,-4.8904,-1.49591,50,4.92763,4.34069,-105.91063,1.14603,9.23833,20.86132,-37.63752,711021f2-afdf-40bd-a8b8-28058ed08a3c,NA,NA,NA,NA,NA,10111517,"Rispoli, Robert",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,UCO_HUS,1,Top,0,2,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STJ_RED,UCO_HUS,JackKaiser,D1,BEAST,20250427-JackKaiser-1,430b2bf0-238a-11f0-b0cc-fb6213f26934,71.75638,NA,NA,6.30457,NA,NA,NA,129c5da3-9571-49f1-b6db-327c72d97081,2025-04-27,17:08:37,2025-04-27T17:08:37Z,2025-04-27T17:08:37Z,NA,v3,4285,471275,27 April 2025 13:00-uconn@stjohns,"Agresti, Adam",823812,Right,STJ_RED,54.65642,-106.82387,10.43066,4.84139,2.79368,-18.81876,-1.67708,3.93626,4.61916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-27,13:08:56,"Frederick, Victor",10151602,Right,STJ_RED,Undefined,Sinker,NA,NA,89.3804,0.18114,-3.585288,1889.138789,267.133877,03:00:00,4.96677,1.6413,6.63704,-32.28565,1.68524,12.86658,2.44246,-0.57302,81.95677,-5.859135,-1.247422,0.419493,-7.7591,1.15866,-1.40359,50,4.96608,7.64737,-129.84434,-0.59495,-13.26528,26.82301,-30.19316,bea2ac83-eea1-414d-9eb8-9c241d0a5fef,NA,NA,NA,NA,63.327855,10111517,"Rispoli, Robert",5051.784388,NA,83.97266,Right,32.2017,37.18324,53.59957,103.52469,260.76867,126.42752,3.925762,79.635405,-0.02247,2.3226,0.66899,NA,NA,NA,NA,NA,1,7,UCO_HUS,1,Top,0,3,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,STJ_RED,UCO_HUS,JackKaiser,D1,BEAST,20250427-JackKaiser-1,4ddb1db0-238a-11f0-b0cc-fb6213f26934,89.85233,58.94906,NA,7.42363,NA,NA,NA,129c5da3-9571-49f1-b6db-327c72d97081,2025-04-27,17:08:56,2025-04-27T17:08:56Z,2025-04-27T17:08:56Z,FlyBall,v3,4285,471275,27 April 2025 13:00-uconn@stjohns,"Agresti, Adam",823812,Right,STJ_RED,53.86338,-130.63999,13.41151,4.97045,0.30067,-15.09658,-1.63626,8.04085,-6.63264,NA,-0.02095,46.73991,-18.47219,4.9526,-0.94288,0.05074,0.02211,-0.00579,4.9e-4,2.32261,65.62934,-21.8284,1.94035,-0.1783,-0.05184,0.03049,-0.00565,3.4e-4,0.6691,93.12678,-10.02198,1.06361,-0.13874,0.0878,-0.0474,0.01091,-9.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
8,2025-04-27,13:09:32,"Frederick, Victor",10151602,Right,STJ_RED,Undefined,Sinker,NA,NA,88.2361,0.505385,-4.313103,1857.026547,293.900112,03:45:00,4.90206,1.64671,6.80118,-38.71782,-3.88059,11.25548,2.13812,-1.35898,80.67986,-6.728313,-2.263932,0.424808,-7.16485,-1.81091,-1.37064,50,4.92134,9.23702,-128.06041,-0.06956,-11.86186,27.19614,-35.17212,942164d3-581a-4e58-8789-5b86c2513031,NA,NA,NA,NA,NA,10111517,"Rispoli, Robert",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,UCO_HUS,1,Top,0,3,2,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,NA,STJ_RED,UCO_HUS,JackKaiser,D1,BEAST,20250427-JackKaiser-1,63dfdd80-238a-11f0-b0cc-fb6213f26934,88.7281,NA,NA,7.55625,NA,NA,NA,129c5da3-9571-49f1-b6db-327c72d97081,2025-04-27,17:09:32,2025-04-27T17:09:32Z,2025-04-27T17:09:32Z,NA,v3,4285,471275,27 April 2025 13:00-uconn@stjohns,"Agresti, Adam",823812,Right,STJ_RED,53.69882,-128.84354,13.59807,4.90876,0.94323,-17.58606,-1.64154,9.57859,-5.93093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-27,13:10:04,"Frederick, Victor",10151602,Right,STJ_RED,Undefined,Sinker,NA,NA,88.04869,-0.594199,-3.988903,1914.562017,282.930666,03:30:00,5.04263,2.02278,6.56483,-37.39518,-1.69158,12.89418,1.38031,-0.5654,79.7103,-7.576876,-1.648686,0.430059,-8.07481,-0.335,-1.75293,50,4.98629,8.40948,-127.65776,-2.51092,-13.11418,30.1578,-32.71813,a4213b97-0f3f-4266-89fb-546ee5b8736d,NA,NA,NA,NA,NA,1000137213,"Shpur, Caleb",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,UCO_HUS,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STJ_RED,UCO_HUS,JackKaiser,D1,BEAST,20250427-JackKaiser-1,76f608e0-238a-11f0-b0cc-fb6213f26934,87.6449,NA,NA,8.33839,NA,NA,NA,129c5da3-9571-49f1-b6db-327c72d97081,2025-04-27,17:10:04,2025-04-27T17:10:04Z,2025-04-27T17:10:04Z,NA,v3,4285,471275,27 April 2025 13:00-uconn@stjohns,"Agresti, Adam",823812,Right,STJ_RED,53.93436,-128.58385,15.0789,5.04797,-1.5062,-16.35907,-2.01736,8.8122,-6.55709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-27,13:10:22,"Frederick, Victor",10151602,Right,STJ_RED,Undefined,Fastball,NA,NA,88.49791,0.514385,-3.202708,2177.168227,216.755251,01:15:00,5.22569,1.81682,6.62166,-21.71781,13.45139,9.12174,3.88767,-0.35896,79.79305,-3.652169,-1.546825,0.426828,-5.76449,7.26481,-1.60252,50,5.25157,6.82231,-128.35995,0.57251,-9.49095,29.8312,-20.21292,631a1dcd-00ca-4e2d-93a4-635c1d8bf038,NA,NA,NA,NA,NA,1000137213,"Shpur, Caleb",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,UCO_HUS,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STJ_RED,UCO_HUS,JackKaiser,D1,BEAST,20250427-JackKaiser-1,81871ce0-238a-11f0-b0cc-fb6213f26934,88.30833,NA,NA,8.70487,NA,NA,NA,129c5da3-9571-49f1-b6db-327c72d97081,2025-04-27,17:10:22,2025-04-27T17:10:22Z,2025-04-27T17:10:22Z,NA,v3,4285,471275,27 April 2025 13:00-uconn@stjohns,"Agresti, Adam",823812,Right,STJ_RED,53.873779999999996,-129.2571,14.9156,5.22521,1.1804,-10.10646,-1.81198,7.10774,-4.74547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
