PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,14:03:52,"Volini, Joey",804123,Left,FLO_SEM,Undefined,Fastball,NA,NA,91.4459,-3.805773,2.807234,2057.743251,145.273554,10:45:00,6.23695,-0.42303,6.38651,-18.37804,14.1693,-9.17906,1.19523,1.39642,84.80234,-7.256636,1.14575,0.41061,5.46697,8.61666,0.22491,50,5.95368,-6.14091,-132.68734,-9.3773,9.87229,24.95554,-16.61403,5dbcefb6-63fa-4ce5-9d84-83e8cedaab01,NA,NA,NA,NA,NA,10281913,"Langley, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,JMU_DUK,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FLO_SEM,JMU_DUK,DickHowserStadium,D1,ACC,20250215-DickHowserStadium-1,994cce80-ebcf-11ef-bdb0-c5aa8b29ee5f,91.79628,NA,NA,6.64356,NA,NA,NA,b4307d61-9981-4724-ab28-c240938920a8,2025-02-15,19:03:52,2025-02-15T19:03:52Z,2025-02-15T19:03:52Z,NA,v3,101,471327,15 February 2025 14:00-jamesmad@floridast,"Carns, Hunter",1000072330,Right,FLO_SEM,54.11501,-133.45903,12.47777,6.23571,-8.86355,-8.30701,0.41953,-6.44618,4.93615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-15,14:04:06,"Volini, Joey",804123,Left,FLO_SEM,Undefined,Fastball,NA,NA,90.83634,-2.842622,2.078887,2044.209923,142.862332,10:45:00,6.16482,-0.72914,6.15403,-19.50718,13.54142,-9.58245,1.90894,0.39392,84.53405,-6.484296,0.350657,0.413759,5.44925,7.95556,0.57595,50,5.93823,-4.40517,-132.01994,-7.16934,9.78369,23.55061,-17.89056,25b1d064-1b07-4ece-8a87-637cc772c114,NA,NA,NA,NA,NA,10281913,"Langley, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,JMU_DUK,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,FLO_SEM,JMU_DUK,DickHowserStadium,D1,ACC,20250215-DickHowserStadium-1,a19b6c90-ebcf-11ef-bdb0-c5aa8b29ee5f,91.0975,NA,NA,6.30229,NA,NA,NA,b4307d61-9981-4724-ab28-c240938920a8,2025-02-15,19:04:06,2025-02-15T19:04:06Z,2025-02-15T19:04:06Z,NA,v3,101,471327,15 February 2025 14:00-jamesmad@floridast,"Carns, Hunter",1000072330,Right,FLO_SEM,54.3483,-132.79335,11.77531,6.16402,-6.58181,-8.94528,0.7259,-4.72647,4.89185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-15,14:04:21,"Volini, Joey",804123,Left,FLO_SEM,Undefined,Curveball,NA,NA,77.12987,0.957221,2.020277,2769.418467,320.222823,04:45:00,5.9267,-1.02909,5.79605,-65.14633,-17.44536,15.83895,1.38886,2.17083,70.72841,-10.890489,4.864168,0.49709,-7.40347,-8.67575,0.85352,50,5.96706,-4.54314,-111.99491,-0.27892,-9.25655,23.16729,-43.02137,3bc55264-1d90-446b-be52-d7b95f0c2da5,NA,NA,NA,NA,NA,10281913,"Langley, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,JMU_DUK,1,Top,0,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FLO_SEM,JMU_DUK,DickHowserStadium,D1,ACC,20250215-DickHowserStadium-1,aa74e580-ebcf-11ef-bdb0-c5aa8b29ee5f,75.82618,NA,NA,6.40145,NA,NA,NA,b4307d61-9981-4724-ab28-c240938920a8,2025-02-15,19:04:21,2025-02-15T19:04:21Z,2025-02-15T19:04:21Z,NA,v3,101,471327,15 February 2025 14:00-jamesmad@floridast,"Carns, Hunter",1000072330,Right,FLO_SEM,54.70933,-112.96488,11.58365,5.94103,1.52231,-21.51069,1.03562,-4.15558,-4.62828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-15,14:04:36,"Volini, Joey",804123,Left,FLO_SEM,Undefined,Fastball,NA,NA,90.35887,-2.544843,1.893799,2062.098972,158.677491,11:15:00,5.96138,-0.88216,6.0924,-19.03792,14.76662,-5.36737,2.01805,0.42299,83.21784,-6.12422,0.927041,0.418465,3.29933,8.62485,0.73908,50,5.75491,-4.12506,-131.24121,-6.42105,5.78637,26.33528,-17.04783,842d1508-c9ab-4917-ab88-7de0c60b0bfe,NA,NA,NA,NA,-115.053946,10281913,"Langley, Kyle",5057.591939,NA,65.51425,Left,49.220034,NA,NA,NA,NA,41.93017,NA,NA,1.93854,1.77177,-0.1701,NA,NA,NA,NA,NA,1,4,JMU_DUK,1,Top,0,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FLO_SEM,JMU_DUK,DickHowserStadium,D1,ACC,20250215-DickHowserStadium-1,b35dc7c0-ebcf-11ef-bdb0-c5aa8b29ee5f,90.07311,42.56562,NA,7.14103,NA,NA,NA,b4307d61-9981-4724-ab28-c240938920a8,2025-02-15,19:04:36,2025-02-15T19:04:36Z,2025-02-15T19:04:36Z,NA,v3,101,471327,15 February 2025 14:00-jamesmad@floridast,"Carns, Hunter",1000072330,Right,FLO_SEM,54.40982,-132.12314,13.16764,5.96038,-5.85015,-8.52391,0.88047,-4.31884,2.89318,41.886586,1.93854,-26.57757,-4.50765,1.60918,0.46523,-2.5797,3.97071,-2.86678,0.78753,1.77177,72.75961,-24.23314,2.48358,-0.41451,-0.12874,0.27251,-0.1761,0.03838,-0.17011,-56.85476,8.7288,-1.682,-0.00587,0.89422,-1.37344,0.96853,-0.2568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
5,2025-02-15,14:04:57,"Volini, Joey",804123,Left,FLO_SEM,Undefined,Curveball,NA,NA,77.5874,2.669563,-1.102401,2874.111223,331.373857,05:00:00,5.96638,-0.62394,5.48338,-68.6009,-20.69426,12.22371,2.74967,-0.63687,70.37285,-9.793707,1.080567,0.498161,-6.48666,-10.71016,0.71221,50,6.15434,1.67904,-112.50731,2.83371,-8.15917,23.96292,-45.64566,ef8b6d23-0a35-433a-9353-0d631ac7c003,NA,NA,NA,NA,NA,10281913,"Langley, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,JMU_DUK,1,Top,0,2,2,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,FLO_SEM,JMU_DUK,DickHowserStadium,D1,ACC,20250215-DickHowserStadium-1,bfd8f880-ebcf-11ef-bdb0-c5aa8b29ee5f,75.66324,NA,NA,7.21455,NA,NA,NA,b4307d61-9981-4724-ab28-c240938920a8,2025-02-15,19:04:57,2025-02-15T19:04:57Z,2025-02-15T19:04:57Z,NA,v3,101,471327,15 February 2025 14:00-jamesmad@floridast,"Carns, Hunter",1000072330,Right,FLO_SEM,55.02178,-113.57186,11.98146,5.98342,4.86152,-22.82283,0.62957,2.04151,-4.07958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.43397,2.735171,1.713101,1.02207,-0.8388,2.34887,0.59249,-0.17733,4.90586,-2.26835,73.29684,8.02114,-51.49552,-0.1231,77.33031,-5.37069,4.95308,17.55327,-14.2306,-2.34993,-54.59244,6.358,High,High,High,NA,NA,High,High,High
6,2025-02-15,14:05:25,"Volini, Joey",804123,Left,FLO_SEM,Undefined,Fastball,NA,NA,91.48638,-2.842856,2.253483,2297.152724,157.607449,11:15:00,6.19472,-0.60494,6.17329,-14.77536,18.47355,-7.15103,2.3336,0.88153,83.29579,-5.68275,0.964365,0.415012,4.43142,10.79678,0.43819,50,5.97192,-4.93713,-132.71392,-7.00373,7.85429,30.05135,-13.03774,d826aeb8-b01c-4481-bf90-0362fa89099d,NA,NA,NA,NA,NA,1000115813,"Peifer, Wyatt",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,JMU_DUK,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,FLO_SEM,JMU_DUK,DickHowserStadium,D1,ACC,20250215-DickHowserStadium-1,d0bfc0c0-ebcf-11ef-bdb0-c5aa8b29ee5f,90.82261,NA,NA,8.19059,NA,NA,NA,b4307d61-9981-4724-ab28-c240938920a8,2025-02-15,19:05:25,2025-02-15T19:05:25Z,2025-02-15T19:05:25Z,NA,v3,101,471327,15 February 2025 14:00-jamesmad@floridast,"Carns, Hunter",1000072330,Right,FLO_SEM,54.32871,-133.69051,15.02567,6.19264,-6.58004,-6.51887,0.60278,-5.19237,3.92715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-15,14:05:42,"Volini, Joey",804123,Left,FLO_SEM,Undefined,ChangeUp,NA,NA,85.85721,-0.11156,1.185739,1128.453208,97.568008,09:15:00,5.89061,-0.94606,5.67728,-35.03541,3.27087,-15.3108,2.86697,-1.11639,78.44332,-6.565575,-1.553921,0.445458,8.09371,2.08205,0.85574,50,5.85931,-1.93417,-124.67194,-1.47583,12.68797,25.99603,-28.91012,e89fa41f-ddf6-4661-8979-8427a7a61629,NA,NA,NA,NA,NA,1000115813,"Peifer, Wyatt",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,JMU_DUK,1,Top,1,0,1,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,FLO_SEM,JMU_DUK,DickHowserStadium,D1,ACC,20250215-DickHowserStadium-1,daf45ce0-ebcf-11ef-bdb0-c5aa8b29ee5f,84.6151,NA,NA,7.41389,NA,NA,NA,b4307d61-9981-4724-ab28-c240938920a8,2025-02-15,19:05:42,2025-02-15T19:05:42Z,2025-02-15T19:05:42Z,NA,v3,101,471327,15 February 2025 14:00-jamesmad@floridast,"Carns, Hunter",1000072330,Right,FLO_SEM,54.82312,-125.67361,12.99802,5.89471,-0.36187,-14.45506,0.93968,-2.42306,6.34398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-15,14:06:01,"Volini, Joey",804123,Left,FLO_SEM,Undefined,ChangeUp,NA,NA,86.84487,-1.32059,2.17758,1123.674475,87.713565,09:00:00,5.93941,-0.87912,5.8148,-36.77411,0.61035,-15.72808,1.64584,-0.16398,79.34653,-8.081563,-0.645574,0.440065,8.74418,1.03067,0.71034,50,5.80912,-4.1516,-126.04261,-4.19175,13.96346,27.37497,-30.52819,54004caf-08d7-4ee9-89e4-2fe4a1ea46ef,NA,NA,NA,NA,-72.036669,1000115813,"Peifer, Wyatt",NA,NA,63.95175,Right,-39.196246,NA,NA,NA,4.31852,3.11242,0.030628,-30.319486,3.03902,1.82136,-0.05545,NA,NA,NA,NA,NA,2,3,JMU_DUK,1,Top,1,0,2,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FLO_SEM,JMU_DUK,DickHowserStadium,D1,ACC,20250215-DickHowserStadium-1,e5b9c750-ebcf-11ef-bdb0-c5aa8b29ee5f,85.65194,1.82136,NA,7.49834,NA,NA,NA,b4307d61-9981-4724-ab28-c240938920a8,2025-02-15,19:06:01,2025-02-15T19:06:01Z,2025-02-15T19:06:01Z,GroundBall,v3,101,471327,15 February 2025 14:00-jamesmad@floridast,"Carns, Hunter",1000072330,Right,FLO_SEM,54.68731,-127.05656,13.68748,5.94344,-3.061,-15.26409,0.8737,-4.66879,6.98173,NA,3.03866,22.49026,NA,NA,NA,NA,NA,NA,NA,1.8223,-59.46713,NA,NA,NA,NA,NA,NA,NA,-0.05435,-69.36893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
9,2025-02-15,14:06:25,"Volini, Joey",804123,Left,FLO_SEM,Undefined,Fastball,NA,NA,91.27205,-2.050842,1.224253,2273.348678,159.132278,11:15:00,6.27126,-0.44426,6.31746,-14.19855,18.73477,-6.75016,3.19782,0.12103,83.59782,-4.785757,0.003154,0.413037,3.85662,10.63595,0.35782,50,6.11418,-2.56217,-132.62859,-5.11822,6.88045,27.9429,-13.19887,1684ee0d-7647-4b9f-9f5a-ce2be9e19dfa,NA,NA,NA,NA,66.083638,1000115813,"Peifer, Wyatt",2443.293338,NA,86.13731,Right,16.42648,36.85945,23.45366,103.6406,241.92098,114.16111,2.503845,76.167532,1.03221,3.39189,-0.22872,NA,NA,NA,NA,NA,2,4,JMU_DUK,1,Top,1,0,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FLO_SEM,JMU_DUK,DickHowserStadium,D1,ACC,20250215-DickHowserStadium-1,f47fab60-ebcf-11ef-bdb0-c5aa8b29ee5f,91.25675,23.81095,NA,7.67423,NA,NA,NA,b4307d61-9981-4724-ab28-c240938920a8,2025-02-15,19:06:25,2025-02-15T19:06:25Z,2025-02-15T19:06:25Z,LineDrive,v3,101,471327,15 February 2025 14:00-jamesmad@floridast,"Carns, Hunter",1000072330,Right,FLO_SEM,54.18316,-133.50702,13.97145,6.26856,-4.7033,-6.59944,0.44177,-2.77846,3.44022,NA,1.03222,49.12586,-16.93099,4.02136,-0.90129,0.1856,-0.03395,0.00453,-2.9e-4,3.39189,35.7254,-16.482,0.81807,-0.07071,-3.3e-4,0.00235,-1.6e-4,-1e-5,-0.22872,110.77338,-9.79325,1.74431,-0.28918,0.04463,-0.00692,9.1e-4,-6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
10,2025-02-15,14:06:44,"Volini, Joey",804123,Left,FLO_SEM,Undefined,Curveball,NA,NA,77.74906,1.557887,0.212905,2839.121215,327.542899,05:00:00,6.04217,-0.60607,5.79698,-67.49271,-20.13194,13.90776,1.86724,0.75095,70.42695,-10.765493,2.71442,0.495314,-7.07095,-10.46028,0.57994,50,6.12955,-0.93541,-112.841,0.84172,-8.87954,25.51645,-45.30983,0a0c3d59-8212-4e13-a025-6428f172f5d3,NA,NA,NA,NA,-36.845327,1000115813,"Peifer, Wyatt",2068.548288,NA,100.30985,Right,19.781022,84.61246,29.16391,-70.28904,279.57453,277.85605,2.69099,-44.603733,2.83166,2.02125,-0.71199,NA,NA,NA,NA,NA,2,5,JMU_DUK,1,Top,1,0,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FLO_SEM,JMU_DUK,DickHowserStadium,D1,ACC,20250215-DickHowserStadium-1,ffa473e0-ebcf-11ef-bdb0-c5aa8b29ee5f,76.09803,31.90521,NA,7.32211,NA,NA,NA,b4307d61-9981-4724-ab28-c240938920a8,2025-02-15,19:06:44,2025-02-15T19:06:44Z,2025-02-15T19:06:44Z,LineDrive,v3,101,471327,15 February 2025 14:00-jamesmad@floridast,"Carns, Hunter",1000072330,Right,FLO_SEM,54.7081,-113.90066,12.75823,6.05552,2.72336,-22.65492,0.61113,-0.56665,-4.43977,NA,2.83154,110.79301,-23.41238,5.73857,-1.16291,0.1148,0.0159,-0.00755,8.2e-4,2.02128,49.78814,-23.15883,2.39936,-0.43599,0.08772,-0.01959,0.00373,-3.4e-4,-0.7121,-83.01097,2.69706,1.16377,-0.44974,0.0588,0.01322,-0.00583,6.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
