PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,13:01:28,"Noland, Walker",1000215989,Right,AND_TRO,Undefined,TwoSeamFastBall,NA,NA,88.51642,-1.490923,-1.44799,2214.840276,241.301903,02:00:00,6.04907,1.5267,6.63064,-27.94297,6.98634,10.60469,2.35465,1.08436,80.56262,-6.75637,0.484008,0.42537,-6.05815,4.47709,-1.43276,50,5.93675,2.85513,-128.62051,-4.17231,-10.04633,29.1838,-24.74961,9450cd2e-8f0c-4b12-b487-5893c287e54b,NA,NA,NA,NA,-29.190383,1000322708,"Calef-Boring, Zach",2009.049098,NA,96.15545,Right,20.86589,95.07079,36.59257,-55.33069,358.79589,352.13206,3.84684,-32.907594,2.15732,2.54678,-0.83497,NA,NA,NA,NA,NA,1,1,DAV_ELK,1,Top,0,0,0,Sinker,InPlay,Undefined,FlyBall,Double,0,0,NA,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20250301-AndersonUniversity-1,f0170520-f6c7-11ef-b799-5bc6cd04a327,88.61103,47.69742,NA,7.9538,NA,NA,NA,7dd74e0a-f034-4941-b061-559eeabf7e0a,2025-03-01,18:01:28,2025-03-01T18:01:28Z,2025-03-01T18:01:28Z,LineDrive,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,53.86946,-129.49551,14.5919,6.05072,-3.43026,-12.37481,-1.52288,3.15635,-5.02317,NA,2.15722,115.04501,-18.44212,4.1354,-0.88658,0.19697,-0.03956,0.00512,-2.8e-4,2.54657,50.23858,-14.91422,0.65468,-0.07005,-0.01777,0.01075,-0.00158,6e-5,-0.83476,-64.27566,6.53671,-1.38846,0.3034,-0.07032,0.01411,-0.00173,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
2,2025-03-01,13:02:10,"Noland, Walker",1000215989,Right,AND_TRO,Undefined,Fastball,NA,NA,89.42545,-0.706867,-2.495915,2137.488582,219.177372,01:15:00,6.11238,1.49856,6.68168,-24.05253,10.32831,7.41559,3.46077,-0.16797,80.71062,-5.291949,-1.146122,0.422017,-4.69347,6.0378,-1.33428,50,6.05561,5.36784,-129.78996,-2.28195,-7.88336,31.04712,-22.03265,747f9750-1c23-4d2a-9640-71d218550ccf,NA,NA,NA,NA,NA,1000216010,"Kusan, Larry",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,DAV_ELK,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20250301-AndersonUniversity-1,093a4300-f6c8-11ef-b799-5bc6cd04a327,89.315,NA,NA,8.71483,NA,NA,NA,7dd74e0a-f034-4941-b061-559eeabf7e0a,2025-03-01,18:02:10,2025-03-01T18:02:10Z,2025-03-01T18:02:10Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,53.81543,-130.69946,15.52356,6.113,-1.63652,-11.01633,-1.4949,5.59878,-3.94168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-01,13:02:28,"Noland, Walker",1000215989,Right,AND_TRO,Undefined,Fastball,NA,NA,89.75626,-3.703559,-3.319525,2043.920169,214.528906,01:15:00,6.13835,1.34499,6.89284,-22.81367,10.66079,6.61823,0.85277,-1.13107,82.62222,-8.006611,-2.110418,0.416417,-4.49209,7.01481,-1.13761,50,5.89564,7.3237,-130.2091,-9.06015,-7.7179,27.14628,-20.12186,393691c9-67dd-46bc-a5bd-580a315fa2ab,NA,NA,NA,NA,NA,1000216010,"Kusan, Larry",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,DAV_ELK,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20250301-AndersonUniversity-1,13f3c690-f6c8-11ef-b799-5bc6cd04a327,90.51615,NA,NA,7.13404,NA,NA,NA,7dd74e0a-f034-4941-b061-559eeabf7e0a,2025-03-01,18:02:28,2025-03-01T18:02:28Z,2025-03-01T18:02:28Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,53.60944,-130.95944,13.57314,6.13838,-8.50397,-10.06093,-1.34299,7.53703,-3.85895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-01,13:02:45,"Noland, Walker",1000215989,Right,AND_TRO,Undefined,Fastball,NA,NA,88.99554,-1.8051,-1.970628,2112.484083,207.951239,01:00:00,6.06611,1.4733,6.51438,-16.67788,18.28513,9.02764,3.01833,0.41657,80.22699,-5.043844,-0.332078,0.425575,-5.32929,10.50745,-1.33929,50,5.93261,4.08001,-129.1012,-4.47255,-8.85562,30.74567,-14.71401,2d81664f-8866-4568-a2e2-d75e3ac7df50,NA,NA,NA,NA,NA,1000216010,"Kusan, Larry",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,DAV_ELK,1,Top,0,2,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20250301-AndersonUniversity-1,1de31c50-f6c8-11ef-b799-5bc6cd04a327,88.56833,NA,NA,8.76855,NA,NA,NA,7dd74e0a-f034-4941-b061-559eeabf7e0a,2025-03-01,18:02:45,2025-03-01T18:02:45Z,2025-03-01T18:02:45Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,53.98199,-130.04605,15.37284,6.06311,-4.02036,-7.357,-1.46885,4.35216,-4.42781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-01,13:03:03,"Noland, Walker",1000215989,Right,AND_TRO,Undefined,TwoSeamFastBall,NA,NA,89.14227,-1.060374,-2.664556,2178.004457,230.725491,01:45:00,6.11921,1.43879,6.61185,-23.95966,10.29678,11.2576,3.15018,-0.0654,81.49903,-5.593565,-0.617871,0.421252,-6.66158,6.0528,-1.2616,50,6.03707,5.59481,-129.50992,-3.09088,-11.29602,27.45189,-21.91029,843a227b-d535-4b29-841f-5aa9b9aaeca2,NA,NA,NA,NA,NA,1000216010,"Kusan, Larry",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,DAV_ELK,1,Top,0,2,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20250301-AndersonUniversity-1,291d68a0-f6c8-11ef-b799-5bc6cd04a327,89.47707,NA,NA,7.64324,NA,NA,NA,7dd74e0a-f034-4941-b061-559eeabf7e0a,2025-03-01,18:03:03,2025-03-01T18:03:03Z,2025-03-01T18:03:03Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,53.88772,-130.33139,13.72595,6.11975,-2.43524,-10.95514,-1.43408,5.93283,-5.64801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-01,13:03:26,"Noland, Walker",1000215989,Right,AND_TRO,Undefined,Slider,NA,NA,77.98943,0.182457,-2.213222,2578.531511,49.932789,07:45:00,6.13345,1.48879,5.94383,-50.20137,-3.93591,-6.513,2.11938,-1.10795,71.32249,-9.038965,-3.384091,0.489553,2.66059,-1.62354,-1.30875,50,6.11992,4.61337,-113.19546,-1.21561,3.41452,22.75989,-34.25764,8821c9a2-ec3c-4971-ae9f-c4982fd6031e,NA,NA,NA,NA,NA,1000216010,"Kusan, Larry",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,DAV_ELK,1,Top,0,2,2,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20250301-AndersonUniversity-1,36cfb9d0-f6c8-11ef-b799-5bc6cd04a327,76.99354,NA,NA,6.66694,NA,NA,NA,7dd74e0a-f034-4941-b061-559eeabf7e0a,2025-03-01,18:03:26,2025-03-01T18:03:26Z,2025-03-01T18:03:26Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,54.55678,-114.108,11.37994,6.14113,0.15792,-17.12882,-1.49097,4.47647,1.70726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-01,13:03:53,"Noland, Walker",1000215989,Right,AND_TRO,Undefined,TwoSeamFastBall,NA,NA,88.78139,-2.610002,-3.102596,2190.725834,242.339868,02:00:00,6.04139,1.5193,6.50905,-25.89726,8.73213,14.60954,1.48283,-0.11337,81.64752,-7.459755,-0.450678,0.423539,-8.56465,5.61292,-1.30876,50,5.84746,6.43938,-128.88573,-6.65869,-14.43105,26.36014,-22.71655,21317f8f-bf1d-4da9-9582-776d2d33a985,NA,NA,NA,NA,NA,1000216012,"Brenneman, Mason",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,DAV_ELK,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20250301-AndersonUniversity-1,469b7520-f6c8-11ef-b799-5bc6cd04a327,88.99394,NA,NA,7.13387,NA,NA,NA,7dd74e0a-f034-4941-b061-559eeabf7e0a,2025-03-01,18:03:53,2025-03-01T18:03:53Z,2025-03-01T18:03:53Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,53.99281,-129.69978,13.18007,6.04226,-5.95716,-11.35827,-1.5145,6.88503,-7.21553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-01,13:04:09,"Noland, Walker",1000215989,Right,AND_TRO,Undefined,TwoSeamFastBall,NA,NA,88.36663,-3.127437,-3.07749,2197.707454,240.121947,02:00:00,6.03211,1.58176,6.45658,-25.81395,9.19528,14.1332,1.00094,-0.07031,81.43337,-7.948603,-0.514181,0.425856,-8.31867,5.97264,-1.37033,50,5.79874,6.37336,-128.24261,-7.79035,-13.89417,25.7907,-22.19833,2e654b37-5523-4605-92ee-2c2a4674900c,NA,NA,NA,NA,NA,1000216012,"Brenneman, Mason",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,DAV_ELK,1,Top,1,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20250301-AndersonUniversity-1,504d9ad0-f6c8-11ef-b799-5bc6cd04a327,88.50985,NA,NA,6.93327,NA,NA,NA,7dd74e0a-f034-4941-b061-559eeabf7e0a,2025-03-01,18:04:09,2025-03-01T18:04:09Z,2025-03-01T18:04:09Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,54.04593,-129.05371,12.89535,6.03277,-7.09222,-11.09917,-1.57764,6.81033,-6.94709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-01,13:04:26,"Noland, Walker",1000215989,Right,AND_TRO,Undefined,TwoSeamFastBall,NA,NA,88.38213,-0.121194,-0.146669,2157.609733,235.977414,01:45:00,6.08871,1.4924,6.46609,-25.71848,9.98623,12.79587,3.83419,2.42401,79.20573,-5.016274,2.175751,0.430065,-6.64744,5.66571,-1.48674,50,6.06904,-0.19782,-128.24288,-1.02812,-10.81626,32.19459,-22.95519,c1539b45-f2a3-466d-824c-71e0f07de9bc,NA,NA,NA,NA,NA,1000216012,"Brenneman, Mason",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,DAV_ELK,1,Top,1,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20250301-AndersonUniversity-1,5a1b85e0-f6c8-11ef-b799-5bc6cd04a327,87.64356,NA,NA,9.1764,NA,NA,NA,7dd74e0a-f034-4941-b061-559eeabf7e0a,2025-03-01,18:04:26,2025-03-01T18:04:26Z,2025-03-01T18:04:26Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,54.02861,-129.25028,16.09729,6.08997,-0.30983,-11.4776,-1.48584,0.14063,-5.40813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-01,13:04:44,"Noland, Walker",1000215989,Right,AND_TRO,Undefined,TwoSeamFastBall,NA,NA,88.5733,-1.022634,-0.931048,2080.860516,232.643826,01:45:00,6.103,1.49118,6.49266,-25.63135,9.41477,10.78264,3.02804,1.53495,80.51513,-5.864775,1.027686,0.42608,-5.89894,5.60363,-1.43011,50,6.02019,1.66565,-128.68533,-3.05908,-9.80233,28.95657,-22.8624,514e55f8-f32b-4b55-ba7f-ae2d3b1377f5,NA,NA,NA,NA,NA,1000216012,"Brenneman, Mason",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,DAV_ELK,1,Top,1,2,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20250301-AndersonUniversity-1,65110100-f6c8-11ef-b799-5bc6cd04a327,88.46324,NA,NA,8.05817,NA,NA,NA,7dd74e0a-f034-4941-b061-559eeabf7e0a,2025-03-01,18:04:44,2025-03-01T18:04:44Z,2025-03-01T18:04:44Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,54.00544,-129.58349,14.47828,6.10408,-2.34994,-11.4312,-1.48649,1.96969,-4.90116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
