PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-21,16:30:02,"Moring, Reed",823810,Right,SAN_GAU,Undefined,Fastball,NA,NA,93.64691,-1.731691,-1.104371,2531.497799,181.942328,12:00:00,6.30662,0.23891,5.58072,-8.53347,24.60808,0.78894,3.9775,-0.72683,83.1349,-3.485388,-0.96367100000000006,0.414341,-0.79118,13.35087,-0.14449,50,6.1525,2.57303,-135.4624,-4.21929,-1.42929,37.24082,-8.05471,b0ea39cc-c2b0-4127-b1e4-0e0a02163784,NA,NA,NA,NA,NA,1000325644,"Rocha, Bubba",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CAL_LAN,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAL_LAN,CaesarUyesaka,D1,BW,20250421-CaesarUyesaka-1,71116ee0-1f09-11f0-9c43-4d1dbd93ccb3,90.96964,NA,NA,10.51201,NA,NA,NA,62a27630-456a-4430-b9cc-a6bc1e1b7c80,2025-04-21,23:30:02,2025-04-21T23:30:02Z,2025-04-21T23:30:02Z,NA,v3,471258,471762,21 April 2025 19:35-californiabaptist@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.90966,-136.80548,18.62041,6.29944,-3.9288,-4.02736,-0.23822,2.62458,-0.71465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-21,16:30:14,"Moring, Reed",823810,Right,SAN_GAU,Undefined,Fastball,NA,NA,92.63002,-4.03068,-2.275786,2453.1247750000002,201.988616,12:45:00,6.28987,0.17504,5.48625,-10.15839,24.01934,9.12245,1.66327,-1.19496,82.29692,-6.066994,-0.652832,0.420769,-5.38288,13.90556,0.01815,50,5.92971,4.87416,-133.63892,-9.63022,-9.45911,36.3929,-7.73835,3696c534-179f-44a7-9da0-64c220350c4d,NA,NA,NA,NA,NA,1000325644,"Rocha, Bubba",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,CAL_LAN,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAL_LAN,CaesarUyesaka,D1,BW,20250421-CaesarUyesaka-1,7848a980-1f09-11f0-9c43-4d1dbd93ccb3,89.57999,NA,NA,10.3331,NA,NA,NA,62a27630-456a-4430-b9cc-a6bc1e1b7c80,2025-04-21,23:30:14,2025-04-21T23:30:14Z,2025-04-21T23:30:14Z,NA,v3,471258,471762,21 April 2025 19:35-californiabaptist@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,55.00547,-134.99514,18.19645,6.28322,-9.34184,-3.86917,-0.17006,5.22666,-4.72955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-21,16:30:27,"Moring, Reed",823810,Right,SAN_GAU,Undefined,Fastball,NA,NA,92.83354,-2.9298670000000002,-0.471736,2495.246745,204.498132,12:45:00,6.30968,0.07882,5.28622,-12.26572,21.73714,9.29087,2.53381,0.41008,82.89443,-5.322223,1.177067,0.419691,-4.76292,12.21264,-0.04276,50,6.03431,0.64785,-134.19743,-7.19425,-8.4843,35.31465,-10.4193,49a5f746-f9bf-435f-a0df-e4c03db307c4,NA,NA,NA,NA,NA,1000325644,"Rocha, Bubba",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,CAL_LAN,1,Top,0,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAL_LAN,CaesarUyesaka,D1,BW,20250421-CaesarUyesaka-1,806b5590-1f09-11f0-9c43-4d1dbd93ccb3,89.81007,NA,NA,9.93911,NA,NA,NA,62a27630-456a-4430-b9cc-a6bc1e1b7c80,2025-04-21,23:30:27,2025-04-21T23:30:27Z,2025-04-21T23:30:27Z,NA,v3,471258,471762,21 April 2025 19:35-californiabaptist@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,55.20541,-135.56033,17.65733,6.3042,-6.79214,-5.20965,-0.07408,0.97529,-4.24215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-21,16:30:40,"Moring, Reed",823810,Right,SAN_GAU,Undefined,Fastball,NA,NA,92.84287,-2.70104,-0.98946,2505.09026,182.999184,12:00:00,6.25198,0.21531,5.54893,-8.29087,25.43088,1.26122,3.03485,-0.60428,82.64403,-4.406242,-0.76466,0.417952,-0.97602,14.07052,-0.13052,50,6.01295,2.25735,-134.23817,-6.44204,-1.73609,35.87748,-7.14609,b0a39949-aa13-477d-a204-8893f38759ac,NA,NA,NA,NA,NA,1000325644,"Rocha, Bubba",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CAL_LAN,1,Top,0,2,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAL_LAN,CaesarUyesaka,D1,BW,20250421-CaesarUyesaka-1,88041120-1f09-11f0-9c43-4d1dbd93ccb3,90.18367,NA,NA,10.19884,NA,NA,NA,62a27630-456a-4430-b9cc-a6bc1e1b7c80,2025-04-21,23:30:40,2025-04-21T23:30:40Z,2025-04-21T23:30:40Z,NA,v3,471258,471762,21 April 2025 19:35-californiabaptist@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.94144,-135.55242,17.93874,6.24414,-6.18027,-3.57304,-0.21438,2.32094,-0.86804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-21,16:30:56,"Moring, Reed",823810,Right,SAN_GAU,Undefined,Fastball,NA,NA,93.86493,-2.570793,-1.354648,2520.697565,185.325892,12:15:00,6.24341,0.14767,5.66886,-8.61937,24.28997,2.13917,3.12596,-0.9373,83.38876,-4.337055,-0.972569,0.412887,-1.55626,13.5245,-0.03461,50,6.02097,3.10596,-135.71549,-6.21926,-2.82279,37.30537,-7.64284,b36c5b35-b8bc-48a5-8330-b3565bd86a83,NA,NA,NA,NA,NA,1000325644,"Rocha, Bubba",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,CAL_LAN,1,Top,0,2,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SAN_GAU,CAL_LAN,CaesarUyesaka,D1,BW,20250421-CaesarUyesaka-1,916530a0-1f09-11f0-9c43-4d1dbd93ccb3,91.28999,NA,NA,10.47617,NA,NA,NA,62a27630-456a-4430-b9cc-a6bc1e1b7c80,2025-04-21,23:30:56,2025-04-21T23:30:56Z,2025-04-21T23:30:56Z,NA,v3,471258,471762,21 April 2025 19:35-californiabaptist@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.82143,-137.03439,18.65268,6.23607,-5.94906,-3.82142,-0.14619,3.20576,-1.41139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.91269,2.53222,1.342157,1.190063,-1.31451,2.91573,0.9832,-4.77628,4.92286,5.00595,67.64402,8.71682,57.12511,-4.69736,66.52711,-4.80868,5.01003,21.45083,-15.38933,5.03322,46.48899,-2.27807,High,High,High,NA,NA,High,High,High
6,2025-04-21,16:31:23,"Moring, Reed",823810,Right,SAN_GAU,Undefined,Fastball,NA,NA,93.28468,-2.503469,-0.380638,2459.041923,187.506181,12:15:00,6.29308,0.25861,5.45913,-7.61717,26.35958,3.27366,3.3135,0.17513,81.87047,-4.117429,0.202008,0.419529,-1.79551,14.65292,-0.22741,50,6.06832,0.73717,-134.71707,-5.97093,-3.16577,40.31206,-6.33852,d4bc54dd-35e1-4159-9825-fbf32c5da9d4,NA,NA,NA,NA,-48.681598,825094,"Dumesnil, Nick",3279.064926,NA,101.72038,Right,56.57065,NA,NA,NA,NA,77.79118,NA,NA,1.55978,3.09285,-0.72352,NA,NA,NA,NA,NA,2,1,CAL_LAN,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAL_LAN,CaesarUyesaka,D1,BW,20250421-CaesarUyesaka-1,a13aaff0-1f09-11f0-9c43-4d1dbd93ccb3,89.84461,120.85185,NA,11.41421,NA,NA,NA,62a27630-456a-4430-b9cc-a6bc1e1b7c80,2025-04-21,23:31:23,2025-04-21T23:31:23Z,2025-04-21T23:31:23Z,NA,v3,471258,471762,21 April 2025 19:35-californiabaptist@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,55.03165,-136.2144,20.15603,6.28573,-5.7355,-3.16926,-0.25698,0.85476,-1.58289,NA,1.55981,54.26064,-23.56907,7.10057,-1.38189,0.52672,-0.85477,0.64576,-0.16596,3.09283,124.51088,-28.64746,3.4666,-0.91264,0.26278,0.1521,-0.20445,0.0598,-0.72352,-61.72805,12.45667,-3.04283,0.61718,-0.22869,0.23107,-0.14967,0.03628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
7,2025-04-21,16:31:49,"Moring, Reed",823810,Right,SAN_GAU,Undefined,Curveball,NA,NA,78.62302,1.812697,1.035257,2443.021289,21.653548,06:45:00,6.44087,-0.21109,4.64807,-59.72066,-11.71386,-5.32154,3.18737,0.32923,71.33586,-8.907813,0.100117,0.498681,2.90953,-5.70548,0.11033,50,6.57175,-1.82277,-113.8432,1.28145,3.76401,23.67407,-39.55519,697638de-61ac-46b6-acbf-a8cfe3c558c6,NA,NA,NA,NA,NA,825094,"Dumesnil, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CAL_LAN,1,Top,1,0,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAL_LAN,CaesarUyesaka,D1,BW,20250421-CaesarUyesaka-1,b0f1f8e0-1f09-11f0-9c43-4d1dbd93ccb3,75.58428,NA,NA,7.28717,NA,NA,NA,62a27630-456a-4430-b9cc-a6bc1e1b7c80,2025-04-21,23:31:49,2025-04-21T23:31:49Z,2025-04-21T23:31:49Z,NA,v3,471258,471762,21 April 2025 19:35-californiabaptist@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,55.84993,-115.05328,11.83703,6.45457,3.30328,-19.7776,0.20842,-2.01516,1.88201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-21,16:32:03,"Moring, Reed",823810,Right,SAN_GAU,Undefined,Curveball,NA,NA,77.64481,1.14929,-0.024328,2555.697037,33.132485,07:00:00,6.46722,-0.34298,4.88006,-64.70897,-15.50954,-11.32599,2.16232,-1.30983,70.1814,-10.493982,-2.026834,0.504837,5.58048,-7.54272,0.35551,50,6.52502,0.52075,-112.45273,-0.14844,6.96728,25.14047,-41.59116,aa7115b6-7211-44ef-ae54-8ff84202b53d,NA,NA,NA,NA,-3.103763,825094,"Dumesnil, Nick",NA,NA,68.74579,Right,-7.72412,NA,NA,NA,14.0628,13.76489,0.131079,2.718863,1.17366,2.15032,1.32275,NA,NA,NA,NA,NA,2,3,CAL_LAN,1,Top,1,0,2,Curveball,InPlay,Undefined,GroundBall,Out,1,0,NA,SAN_GAU,CAL_LAN,CaesarUyesaka,D1,BW,20250421-CaesarUyesaka-1,b94726a0-1f09-11f0-9c43-4d1dbd93ccb3,74.66252,2.15032,NA,7.46341,NA,NA,NA,62a27630-456a-4430-b9cc-a6bc1e1b7c80,2025-04-21,23:32:03,2025-04-21T23:32:03Z,2025-04-21T23:32:03Z,GroundBall,v3,471258,471762,21 April 2025 19:35-californiabaptist@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,55.61942,-113.70209,12.57023,6.48103,1.91844,-20.79558,0.33823,0.17451,3.48364,341.705476,1.17371,99.76147,-11.83866,NA,NA,NA,NA,NA,NA,2.15057,-13.5769,-21.60348,NA,NA,NA,NA,NA,NA,1.3227,-5.40476,3.07715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-04-21,16:32:33,"Moring, Reed",823810,Right,SAN_GAU,Undefined,Curveball,NA,NA,78.08365,3.004264,-0.409309,2579.968598,25.200121,06:45:00,6.45235,-0.19663,4.80649,-60.16192,-11.68056,-6.30555,4.28779,-1.10988,70.59806,-7.844915,-1.519163,0.50114,2.93181,-6.06418,0.24302,50,6.69949,1.08121,-112.99832,3.6439,3.73444,23.4424,-39.89836,a62431e8-1638-48c8-a928-ab58eb31d086,NA,NA,NA,NA,NA,1000113248,"Kim, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CAL_LAN,1,Top,2,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAL_LAN,CaesarUyesaka,D1,BW,20250421-CaesarUyesaka-1,cb2a5040-1f09-11f0-9c43-4d1dbd93ccb3,75.21345,NA,NA,7.48559,NA,NA,NA,62a27630-456a-4430-b9cc-a6bc1e1b7c80,2025-04-21,23:32:33,2025-04-21T23:32:33Z,2025-04-21T23:32:33Z,NA,v3,471258,471762,21 April 2025 19:35-californiabaptist@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,55.69118,-114.1729,11.7212,6.46683,5.643,-19.94918,0.19353,0.89409,1.86722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-21,16:32:45,"Moring, Reed",823810,Right,SAN_GAU,Undefined,Curveball,NA,NA,77.0664,2.651608,0.677378,2572.37414,16.688085,06:30:00,6.44275,-0.24509,4.84998,-64.98358,-15.56371,-5.16709,3.53955,-0.03441,70.18967,-9.032682,-0.233869,0.505966,2.73256,-7.87146,0.18282,50,6.64904,-1.10189,-111.66658,2.73568,3.41345,22.11318,-42.00685,fdd19176-b1b6-4b7e-a658-b404c79d37e6,NA,NA,NA,NA,NA,1000113248,"Kim, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,CAL_LAN,1,Top,2,1,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAL_LAN,CaesarUyesaka,D1,BW,20250421-CaesarUyesaka-1,d2298af0-1f09-11f0-9c43-4d1dbd93ccb3,74.49585,NA,NA,6.87673,NA,NA,NA,62a27630-456a-4430-b9cc-a6bc1e1b7c80,2025-04-21,23:32:45,2025-04-21T23:32:45Z,2025-04-21T23:32:45Z,NA,v3,471258,471762,21 April 2025 19:35-californiabaptist@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,55.65041,-112.77996,11.05659,6.45805,4.85071,-21.00343,0.24262,-1.27375,1.70673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
