PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-22,14:04:34,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Fastball,NA,NA,87.83438,-0.456724,-1.808595,2008.092106,232.372317,01:45:00,5.71112,1.4098,5.63521,-26.73265,9.20965,10.72339,3.05707,0.61551,81.67943,-5.37769,0.106923,0.431494,-5.87485,5.07922,-1.26305,50,5.655,3.58506,-127.75579,-1.95367,-9.88338,21.9015,-23.62919,6bddcab3-7518-44c4-a5cb-7c27a7f77bd9,NA,NA,NA,NA,NA,801751,"Jaconski, Joe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,PEN_NIT,1,Top,0,0,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,PEN_NIT,TDAmeritrade,D1,BIG10,20250522-TDAmeritrade-2,37f77aa0-3737-11f0-a0d1-cbe1fa001129,87.35342,NA,NA,6.15495,NA,NA,NA,d864abc1-556f-470e-b66d-143b83a52445,2025-05-22,18:04:34,2025-05-22T18:04:34Z,2025-05-22T18:04:34Z,NA,v3,5047,5326,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.86559,-128.58721,10.95075,5.71214,-1.05668,-11.81459,-1.40627,3.96025,-4.94169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-22,14:04:54,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Curveball,NA,NA,75.35912,2.312458,0.12909,2398.905318,40.149698,07:15:00,5.76885,1.38103,5.13331,-59.69759,-9.39626,-9.14985,2.97292,0.74011,69.71416,-8.459741,-1.492346,0.510459,4.58252,-4.81559,-1.38577,50,5.9392,0.11071,-109.45379,2.34803,5.59263,18.22855,-38.05114,f223bc2f-2549-4650-accc-c9d5a43b0177,NA,NA,NA,NA,NA,801751,"Jaconski, Joe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,PEN_NIT,1,Top,0,0,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,PEN_NIT,TDAmeritrade,D1,BIG10,20250522-TDAmeritrade-2,43f58c20-3737-11f0-a0d1-cbe1fa001129,73.84022,NA,NA,5.64497,NA,NA,NA,d864abc1-556f-470e-b66d-143b83a52445,2025-05-22,18:04:54,2025-05-22T18:04:54Z,2025-05-22T18:04:54Z,NA,v3,5047,5326,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,55.36944,-110.3444,9.11427,5.77907,4.20713,-19.02557,-1.3845,-0.16254,2.79632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-22,14:05:13,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Slider,NA,NA,79.54359,-0.435543,-0.467444,900.169157,296.938666,04:00:00,5.63524,1.4934,5.65616,-50.06644,-5.5515,13.62367,1.05683,2.19276,73.40155,-9.550213,1.975074,0.480202,-7.1276,-2.38591,-1.46291,50,5.56609,0.43192,-115.61694,-2.54622,-9.62604,22.00835,-35.39629,6827541f-b96c-40b5-a019-303123b3dc2d,NA,NA,NA,NA,NA,801751,"Jaconski, Joe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,PEN_NIT,1,Top,0,0,2,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,PEN_NIT,TDAmeritrade,D1,BIG10,20250522-TDAmeritrade-2,4f1b8d20-3737-11f0-a0d1-cbe1fa001129,78.49282,NA,NA,6.14204,NA,NA,NA,d864abc1-556f-470e-b66d-143b83a52445,2025-05-22,18:05:13,2025-05-22T18:05:13Z,2025-05-22T18:05:13Z,NA,v3,5047,5326,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.8461,-116.53577,11.00418,5.64154,-1.06845,-17.69815,-1.48933,0.8338,-4.81302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-22,14:05:29,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,ChangeUp,NA,NA,80.22629,0.300552,-1.299997,873.687688,299.136907,04:00:00,5.65526,1.5928,5.55713,-47.7607,-3.79059,9.27174,1.95609,1.15062,73.72247,-8.411575,0.356936,0.477255,-5.10937,-1.68437,-1.48695,50,5.64921,2.28752,-116.53947,-1.01025,-7.00967,22.39734,-34.4849,6febb3e1-07e0-4754-984c-73d801b82608,NA,NA,NA,NA,NA,801751,"Jaconski, Joe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,PEN_NIT,1,Top,0,1,2,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,PEN_NIT,TDAmeritrade,D1,BIG10,20250522-TDAmeritrade-2,58ca5770-3737-11f0-a0d1-cbe1fa001129,78.97765,NA,NA,6.50382,NA,NA,NA,d864abc1-556f-470e-b66d-143b83a52445,2025-05-22,18:05:29,2025-05-22T18:05:29Z,2025-05-22T18:05:29Z,NA,v3,5047,5326,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.94427,-117.48585,11.19867,5.66111,0.44688,-17.24245,-1.58987,2.5837,-3.50483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-22,14:05:52,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Fastball,NA,NA,89.20095,-1.289442,-2.183577,2000.46446,242.217961,02:00:00,5.85579,1.10971,5.73298,-24.67112,10.56835,17.99131,2.598,0.57454,81.84081,-5.871971,1.03644,0.427254,-9.84292,6.05603,-0.93932,50,5.73308,4.18628,-129.54687,-3.75906,-16.76162,26.53747,-21.86113,f65d99ba-dd9a-4c02-9598-1cc3bb40087e,NA,NA,NA,NA,NA,801751,"Jaconski, Joe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,PEN_NIT,1,Top,0,1,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,PEN_NIT,TDAmeritrade,D1,BIG10,20250522-TDAmeritrade-2,66729680-3737-11f0-a0d1-cbe1fa001129,88.22025,NA,NA,7.36015,NA,NA,NA,d864abc1-556f-470e-b66d-143b83a52445,2025-05-22,18:05:52,2025-05-22T18:05:52Z,2025-05-22T18:05:52Z,NA,v3,5047,5326,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.7679,-130.51991,13.26874,5.85622,-2.95749,-10.93056,-1.10408,4.80087,-8.38081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-22,14:06:18,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Curveball,NA,NA,77.78673,0.393174,0.281142,2453.844223,31.035967,07:00:00,5.81292,1.25657,5.2639,-58.87704,-11.86886,-7.96398,1.27587,0.85703,72.19866,-10.212319,-1.136984,0.493467,4.10918,-5.78256,-1.27605,50,5.80443,-0.24955,-113.0866,-1.27449,5.33703,20.05167,-39.68448,f8a2ee2e-1206-486f-89f1-6b9b373fa6c7,NA,NA,NA,NA,NA,801751,"Jaconski, Joe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,PEN_NIT,1,Top,0,1,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,PEN_NIT,TDAmeritrade,D1,BIG10,20250522-TDAmeritrade-2,7661df60-3737-11f0-a0d1-cbe1fa001129,76.3829,NA,NA,5.58808,NA,NA,NA,d864abc1-556f-470e-b66d-143b83a52445,2025-05-22,18:06:18,2025-05-22T18:06:18Z,2025-05-22T18:06:18Z,NA,v3,5047,5326,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,55.24002,-114.01194,10.02584,5.82099,0.55685,-19.84224,-1.25885,-0.49584,2.66851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-22,14:06:43,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Slider,NA,NA,78.56019,0.286268,-1.580253,2454.827086,7.630257,06:15:00,5.84925,1.16796,5.20909,-65.31039,-18.47139,-2.68028,0.67602,-0.54184,72.20149,-11.452645,-2.057407,0.492578,0.85217,-8.93028,-1.0197,50,5.82593,3.2527,-114.02328,-1.78947,1.10887,23.23902,-43.79436,63e9f5fc-1a3f-42c9-8984-de31a34a1ed6,NA,NA,NA,NA,NA,801751,"Jaconski, Joe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,PEN_NIT,1,Top,0,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,PEN_NIT,TDAmeritrade,D1,BIG10,20250522-TDAmeritrade-2,84ca6130-3737-11f0-a0d1-cbe1fa001129,76.52072,NA,NA,6.3587,NA,NA,NA,d864abc1-556f-470e-b66d-143b83a52445,2025-05-22,18:06:43,2025-05-22T18:06:43Z,2025-05-22T18:06:43Z,NA,v3,5047,5326,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,55.29445,-115.09728,11.61951,5.86186,0.2345,-21.89718,-1.16885,3.20146,0.55444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-22,14:07:02,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,ChangeUp,NA,NA,82.73241,-0.791268,-2.131949,982.003034,260.925792,02:45:00,5.76951,1.37027,5.75559,-37.71632,3.19169,12.17603,1.88937,0.39948,76.20928,-7.717163,0.050012,0.460337,-6.80241,2.20858,-1.201,50,5.68076,3.9951,-120.16975,-2.92165,-9.97296,22.71733,-28.93606,2d26a3e2-ef56-441f-a0a3-d050e9190f49,NA,NA,NA,NA,NA,801751,"Jaconski, Joe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,PEN_NIT,1,Top,0,2,2,Splitter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SOU_TRO,PEN_NIT,TDAmeritrade,D1,BIG10,20250522-TDAmeritrade-2,907a79c0-3737-11f0-a0d1-cbe1fa001129,81.88012,NA,NA,6.52313,NA,NA,NA,d864abc1-556f-470e-b66d-143b83a52445,2025-05-22,18:07:02,2025-05-22T18:07:02Z,2025-05-22T18:07:02Z,NA,v3,5047,5326,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.74449,-121.06334,11.35867,5.7733,-1.78344,-14.46803,-1.36586,4.38739,-4.98648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.04355,NA,NA,0.811914,NA,NA,NA,5.73919,5.42372,2.37188,67.22734,8.45288,57.55368,5.83382,83.29953,-9.40419,5.4301,12.9995,-11.41966,2.45818,74.8364,-8.53975,High,High,High,NA,NA,High,Medium,High
9,2025-05-22,14:07:37,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Curveball,NA,NA,77.93879,0.415045,-0.486433,2513.567692,18.01239,06:30:00,5.83317,1.12156,5.0417,-63.26125,-15.61202,-5.56768,0.95294,0.19872,71.83113,-10.933623,-1.474533,0.49682,2.63252,-7.48776,-1.07048,50,5.82148,1.18515,-113.16626,-1.48613,3.39158,21.91087,-41.82085,f251d0fe-1893-4df2-b57b-0a8ca0d6a6e6,NA,NA,NA,NA,NA,702265,"Kling, Paxton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,PEN_NIT,1,Top,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,PEN_NIT,TDAmeritrade,D1,BIG10,20250522-TDAmeritrade-2,a4f9f920-3737-11f0-a0d1-cbe1fa001129,75.86732,NA,NA,6.10766,NA,NA,NA,d864abc1-556f-470e-b66d-143b83a52445,2025-05-22,18:07:37,2025-05-22T18:07:37Z,2025-05-22T18:07:37Z,NA,v3,5047,5326,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,55.4616,-114.21883,10.95543,5.84461,0.52287,-20.91043,-1.1235,1.02222,1.69579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-22,14:07:53,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,OneSeamFastBall,NA,NA,77.35693,0.087771,-0.998172,2484.07159,20.872258,06:45:00,5.78038,1.34918,4.95702,-66.12948,-17.24198,-7.20252,0.35253,-0.19419,70.98333,-11.748516,-2.275199,0.503235,3.24961,-8.08548,-1.24629,50,5.73403,2.24911,-112.21247,-2.26001,4.08457,22.994,-42.33701,0da9a795-3a1f-471e-9e3b-ca6ce42000df,NA,NA,NA,NA,NA,702265,"Kling, Paxton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,PEN_NIT,1,Top,1,1,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,PEN_NIT,TDAmeritrade,D1,BIG10,20250522-TDAmeritrade-2,ae7cf880-3737-11f0-a0d1-cbe1fa001129,74.90034,NA,NA,6.3736,NA,NA,NA,d864abc1-556f-470e-b66d-143b83a52445,2025-05-22,18:07:53,2025-05-22T18:07:53Z,2025-05-22T18:07:53Z,NA,v3,5047,5326,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,55.54573,-113.34318,11.497,5.79397,-0.17814,-21.16851,-1.35195,2.04826,2.04228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
