PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,12:59:50,"Lycette, Luke",1000371861,Right,WIL_CAR,Undefined,Fastball,NA,NA,85.23693,0.302333,-2.69356,2405.078665,231.919147,01:45:00,4.80064,2.16823,5.44453,-32.22376,6.59528,6.98863,2.39874,0.22658,78.61486,-5.606015,-1.451251,0.448429,-4.20118,3.58977,-1.93485,50,4.80509,5.5269,-123.75378,-0.49239,-6.57568,22.54961,-26.55534,78efe8d5-6d3b-4c5c-b18f-adaf5b398445,NA,NA,NA,NA,NA,1000390996,"Mooney, Brandon",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,LOY_UNI,1,Top,0,0,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,WIL_CAR,LOY_UNI,WilliamCarey,NAIA,NAIA,20250426-WilliamCarey-1,37ae78b0-22c8-11f0-82dd-a3de9d8bf692,84.05442,NA,NA,6.62206,NA,NA,NA,568e461a-77ab-4f40-996a-cb5930949975,2025-04-26,17:59:50,2025-04-26T17:59:50Z,2025-04-26T17:59:50Z,NA,v3,NA,NA,NA,"Coffey, Brayden",1000231207,Right,WIL_CAR,55.05985,-124.67234,11.27481,4.80312,0.58935,-13.27767,-2.16544,5.79476,-3.28784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-26,13:00:07,"Lycette, Luke",1000371861,Right,WIL_CAR,Undefined,Fastball,NA,NA,85.88439,-0.652704,-2.562812,2429.268963,209.313366,01:00:00,4.85613,2.02575,5.45903,-30.45372,8.01193,3.83028,1.70667,-0.05576,78.81554,-6.251797,-1.881526,0.446383,-2.6289,4.57296,-1.80233,50,4.77766,5.41419,-124.60761,-2.49686,-4.14274,24.50466,-24.96771,a84da0bb-0249-41b9-99b9-3480414fcdc2,NA,NA,NA,NA,NA,1000390996,"Mooney, Brandon",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,LOY_UNI,1,Top,0,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WIL_CAR,LOY_UNI,WilliamCarey,NAIA,NAIA,20250426-WilliamCarey-1,41ba5720-22c8-11f0-82dd-a3de9d8bf692,84.43965,NA,NA,7.06885,NA,NA,NA,568e461a-77ab-4f40-996a-cb5930949975,2025-04-26,18:00:07,2025-04-26T18:00:07Z,2025-04-26T18:00:07Z,NA,v3,NA,NA,NA,"Coffey, Brayden",1000231207,Right,WIL_CAR,55.04438,-125.59569,12.25233,4.85804,-1.49011,-12.48386,-2.02401,5.58123,-2.07137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-26,13:00:27,"Lycette, Luke",1000371861,Right,WIL_CAR,Undefined,Slider,NA,NA,74.34347,1.315005,0.65405,2780.443221,71.689363,08:30:00,5.26107,2.10881,5.14045,-57.88798,-5.39548,-21.67269,1.67569,0.91868,67.88727,-9.175989,-3.189285,0.521459,11.10253,-2.69575,-2.15219,50,5.33913,-0.41089,-107.85107000000001,0.54285,12.92036,20.85526,-35.31117,f059cacd-5c58-4ccb-8c72-bc2350f5a6a6,NA,NA,NA,NA,NA,1000390996,"Mooney, Brandon",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,LOY_UNI,1,Top,0,0,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WIL_CAR,LOY_UNI,WilliamCarey,NAIA,NAIA,20250426-WilliamCarey-1,4e49fa40-22c8-11f0-82dd-a3de9d8bf692,72.28265,NA,NA,6.4562,NA,NA,NA,568e461a-77ab-4f40-996a-cb5930949975,2025-04-26,18:00:27,2025-04-26T18:00:27Z,2025-04-26T18:00:27Z,NA,v3,NA,NA,NA,"Coffey, Brayden",1000231207,Right,WIL_CAR,55.36661,-108.88387,10.42763,5.26894,2.29154,-17.65558,-2.116,-1.05073,6.46018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-26,13:00:49,"Lycette, Luke",1000371861,Right,WIL_CAR,Undefined,Fastball,NA,NA,86.54067,-0.158083,-2.007225,2304.022613,232.82314,01:45:00,4.83289,2.14561,5.46395,-30.16092,7.08977,8.0739,2.17142,0.93883,80.56858,-5.674655,-0.570012,0.439277,-4.5554,3.90276,-1.97453,50,4.79802,4.07391,-125.8519,-1.43013,-7.44267,21.06539,-25.79765,cbcf310b-6ae3-4f13-b5db-73bcb20c92e6,NA,NA,NA,NA,NA,1000390996,"Mooney, Brandon",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,LOY_UNI,1,Top,0,1,2,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,WIL_CAR,LOY_UNI,WilliamCarey,NAIA,NAIA,20250426-WilliamCarey-1,5b3fb230-22c8-11f0-82dd-a3de9d8bf692,85.80561,NA,NA,5.97209,NA,NA,NA,568e461a-77ab-4f40-996a-cb5930949975,2025-04-26,18:00:49,2025-04-26T18:00:49Z,2025-04-26T18:00:49Z,NA,v3,NA,NA,NA,"Coffey, Brayden",1000231207,Right,WIL_CAR,55.04236,-126.69309,10.53269,4.83456,-0.39997,-12.89883,-2.14315,4.37112,-3.72134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.88841,NA,NA,0.9375,NA,NA,NA,1.50674,4.40638,-5.99114,74.60749,3.69789,-50.18615,1.52055,82.00514,-4.33726,4.42406,12.26267,-13.93597,-6.03111,-54.15689,7.59084,High,High,High,NA,NA,High,High,High
5,2025-04-26,13:01:23,"Lycette, Luke",1000371861,Right,WIL_CAR,Undefined,Fastball,NA,NA,86.06601,-1.47401,-2.129262,2332.533674,243.297931,02:00:00,4.74166,2.22562,5.65148,-31.79454,5.66563,9.30327,0.71596,1.01389,80.27488,-7.284703,-0.466087,0.440511,-5.30071,3.47335,-2.05129,50,4.59579,4.28666,-125.15413,-4.32593,-8.54918,21.26808,-26.57214,cbd5ca4a-920b-49fb-a673-136bcec9c854,NA,NA,NA,NA,NA,1000082356,"Felix, Garrett",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,LOY_UNI,1,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WIL_CAR,LOY_UNI,WilliamCarey,NAIA,NAIA,20250426-WilliamCarey-1,6f506a30-22c8-11f0-82dd-a3de9d8bf692,85.56535,NA,NA,5.79113,NA,NA,NA,568e461a-77ab-4f40-996a-cb5930949975,2025-04-26,18:01:23,2025-04-26T18:01:23Z,2025-04-26T18:01:23Z,NA,v3,NA,NA,NA,"Coffey, Brayden",1000231207,Right,WIL_CAR,54.85617,-125.97666,10.63404,4.74323,-3.29827,-13.28607,-2.22347,4.6173,-4.27459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-26,13:01:46,"Lycette, Luke",1000371861,Right,WIL_CAR,Undefined,Fastball,NA,NA,85.70014,0.220573,-2.560425,2357.114987,234.244469,01:45:00,4.73909,2.32834,5.51281,-32.09911,5.96,6.85741,2.27065,0.50374,79.53371,-5.655668,-1.339538,0.444018,-4.0987,3.2511,-2.10969,50,4.73645,5.2888,-124.55339,-0.6561,-6.53681,21.44307,-26.98898,405ca2b1-2e6c-4b38-a6b4-8977b0c3d7f0,NA,NA,NA,NA,1.840895,1000082356,"Felix, Garrett",2613.349249,NA,103.38905,Left,23.880235,109.99446,46.81805,-1.02827,416.59224,407.69484,5.023679,-6.301995,1.68709,2.31492,-0.50648,NA,NA,NA,NA,NA,2,2,LOY_UNI,1,Top,1,1,0,Slider,InPlay,Undefined,LineDrive,HomeRun,0,1,NA,WIL_CAR,LOY_UNI,WilliamCarey,NAIA,NAIA,20250426-WilliamCarey-1,7cdb3630-22c8-11f0-82dd-a3de9d8bf692,84.88942,74.5566,NA,6.16643,NA,NA,NA,568e461a-77ab-4f40-996a-cb5930949975,2025-04-26,18:01:46,2025-04-26T18:01:46Z,2025-04-26T18:01:46Z,FlyBall,v3,NA,NA,NA,"Coffey, Brayden",1000231207,Right,WIL_CAR,54.99349,-125.41012,10.72154,4.74113,0.42221,-13.49449,-2.32622,5.54997,-3.26841,155.22371,1.68705,138.59079,-24.77511,5.69452,-1.2524,0.26317,-0.04633,0.0053,-2.7e-4,2.31684,61.33421,-13.21182,-0.35684,0.43542,-0.18658,0.04661,-0.00601,3.1e-4,-0.50639,4.45613,-7.07589,2.01659,-0.46973,0.08565,-0.01132,9.7e-4,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-04-26,13:02:38,"Lycette, Luke",1000371861,Right,WIL_CAR,Undefined,Cutter,NA,NA,76.12684,0.701603,-0.543524,2880.601936,96.011441,09:15:00,4.9849,1.81506,4.93544,-46.76412,3.45732,-17.27221,1.75115,-0.13808,69.65837,-7.778008,-3.590715,0.510054,8.36355,1.99827,-1.74712,50,5.0146,1.74734,-110.40147,-0.26932,10.26326,20.70622,-29.72188,cea37074-5b2e-43cd-8d37-edc251a37ec1,NA,NA,NA,NA,NA,1000390999,"Romero, Cole",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,LOY_UNI,1,Top,1,0,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,WIL_CAR,LOY_UNI,WilliamCarey,NAIA,NAIA,20250426-WilliamCarey-1,9bc751a0-22c8-11f0-82dd-a3de9d8bf692,73.89897,NA,NA,6.46848,NA,NA,NA,568e461a-77ab-4f40-996a-cb5930949975,2025-04-26,18:02:38,2025-04-26T18:02:38Z,2025-04-26T18:02:38Z,NA,v3,NA,NA,NA,"Coffey, Brayden",1000231207,Right,WIL_CAR,55.56813,-111.4409,10.35311,4.99067,1.22269,-14.86094,-1.8219,1.23214,5.13163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-26,13:02:56,"Lycette, Luke",1000371861,Right,WIL_CAR,Undefined,Cutter,NA,NA,76.69607,1.583509,-1.645075,3281.71769,77.64275,08:30:00,5.17887,1.75034,4.9782400000000004,-51.9833,-2.52937,-18.76812,2.34358,-1.36789,70.23978,-7.813063,-4.954154,0.506141,8.83741,-1.28665,-1.57517,50,5.28919,3.9468,-111.20281,1.24766,10.99488,21.14127,-33.77481,f906aaa0-cbbe-4c6a-8b87-eee326de2fbc,NA,NA,NA,NA,NA,1000390999,"Romero, Cole",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,LOY_UNI,1,Top,1,0,1,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,WIL_CAR,LOY_UNI,WilliamCarey,NAIA,NAIA,20250426-WilliamCarey-1,a6ddc240-22c8-11f0-82dd-a3de9d8bf692,74.47018,NA,NA,6.45629,NA,NA,NA,568e461a-77ab-4f40-996a-cb5930949975,2025-04-26,18:02:56,2025-04-26T18:02:56Z,2025-04-26T18:02:56Z,NA,v3,NA,NA,NA,"Coffey, Brayden",1000231207,Right,WIL_CAR,55.5275,-112.24875,10.57064,5.18613,2.91863,-16.88741,-1.75698,3.40284,5.49744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-26,13:03:16,"Lycette, Luke",1000371861,Right,WIL_CAR,Undefined,Cutter,NA,NA,76.91443,-0.20452,-3.097487,3276.41722,75.338551,08:30:00,5.16713,1.73731,4.91308,-53.08542,-3.64988,-19.94592,0.54966,-2.85684,70.83123,-9.716779,-6.606085,0.506047,9.1165,-1.47169,-1.41635,50,5.10212,6.80653,-111.44618,-2.25815,11.3634,21.69584,-34.00847,afffaed9-241b-431f-acdb-111403e4f6d8,NA,NA,NA,NA,NA,1000390999,"Romero, Cole",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,LOY_UNI,1,Top,1,0,2,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,WIL_CAR,LOY_UNI,WilliamCarey,NAIA,NAIA,20250426-WilliamCarey-1,b2b9ccd0-22c8-11f0-82dd-a3de9d8bf692,74.48401,NA,NA,6.0832,NA,NA,NA,568e461a-77ab-4f40-996a-cb5930949975,2025-04-26,18:03:16,2025-04-26T18:03:16Z,2025-04-26T18:03:16Z,NA,v3,NA,NA,NA,"Coffey, Brayden",1000231207,Right,WIL_CAR,55.59451,-112.53003,10.84792,5.1725,-0.55922,-17.00423,-1.7422,6.23886,5.6817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-26,13:03:37,"Lycette, Luke",1000371861,Right,WIL_CAR,Undefined,Slider,NA,NA,74.85676,0.537029,-1.445346,2937.632407,51.733732,07:45:00,5.45139,1.72473,4.81565,-64.48763,-11.63946,-17.13324,0.58635,-1.07258,68.24048,-11.020625,-4.467314,0.523223,8.06449,-5.57906,-1.56504,50,5.44825,3.40744,-108.45394,-1.25405,9.40655,22.62567,-38.68155,ae288061-7610-43c7-b49b-64161507d9d2,NA,NA,NA,NA,NA,1000390999,"Romero, Cole",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,LOY_UNI,1,Top,1,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WIL_CAR,LOY_UNI,WilliamCarey,NAIA,NAIA,20250426-WilliamCarey-1,bf1ae5e0-22c8-11f0-82dd-a3de9d8bf692,72.039,NA,NA,6.61628,NA,NA,NA,568e461a-77ab-4f40-996a-cb5930949975,2025-04-26,18:03:37,2025-04-26T18:03:37Z,2025-04-26T18:03:37Z,NA,v3,NA,NA,NA,"Coffey, Brayden",1000231207,Right,WIL_CAR,55.69159,-109.63489,11.31284,5.46101,0.76494,-19.34077,-1.73008,2.91647,4.70327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
