PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:06:57,"Bozenhard, Ryland",832047,Right,FGCU,Undefined,FourSeamFastBall,NA,NA,91.84813,0.817947,-3.448512,2098.122741,226.779645,01:30:00,5.69163,2.47734,5.01366,-19.78099,15.62887,15.06595,4.81664,0.47419,81.07054,-2.930002,-0.795229,0.428285,-8.58583,7.7954,-2.15876,50,5.75523,7.21093,-132.4895,1.20392,-14.80065,36.26016,-18.73603,0694f1a6-288b-449d-9f85-22b0ab17bded,NA,NA,NA,NA,NA,828304,"Brown, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,QUN_RYL,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FGCU,QUN_RYL,SwansonStadium,D1,ASUN,20250427-SwansonStadium-1,0716f750-238a-11f0-9251-897550978562,88.00775,NA,NA,10.77759,NA,NA,NA,9cc67f40-91e5-4980-8739-c979f37998eb,2025-04-27,17:06:57,2025-04-27T17:06:57Z,2025-04-27T17:06:57Z,NA,v3,4964,queensnc,27 April 2025 13:00-queensnc@flgulfcst,"Moise, Mac",832045,Right,FGCU,55.47608,-133.97983,18.13008,5.68992,1.97399,-9.36802,-2.46763,7.81925,-7.40033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-27,13:07:09,"Bozenhard, Ryland",832047,Right,FGCU,Undefined,FourSeamFastBall,NA,NA,92.24242,-1.462359,-2.795017,2214.428188,224.094356,01:30:00,5.83261,2.43606,5.07279,-19.86753,15.05576,13.19359,2.79638,0.89839,81.85987,-5.20989,-0.46549,0.425333,-7.61906,8.4104,-2.18201,50,5.67904,5.86704,-133.23822,-4.11519,-13.28462,36.6381,-17.50961,bc8e60bf-6482-4fe6-aa75-49dd67f416c7,NA,NA,NA,NA,-31.440708,828304,"Brown, Ryan",2441.721169,NA,99.54606,Right,24.924473,91.84164,46.08652,-60.54013,359.50724,354.98222,4.335501,-37.726029,2.26099,2.66557,-0.78774,NA,NA,NA,NA,NA,1,2,QUN_RYL,1,Top,0,1,0,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,NA,FGCU,QUN_RYL,SwansonStadium,D1,ASUN,20250427-SwansonStadium-1,0e28a890-238a-11f0-9251-897550978562,88.61868,62.86488,NA,10.38255,NA,NA,NA,9cc67f40-91e5-4980-8739-c979f37998eb,2025-04-27,17:07:09,2025-04-27T17:07:09Z,2025-04-27T17:07:09Z,FlyBall,v3,4964,queensnc,27 April 2025 13:00-queensnc@flgulfcst,"Moise, Mac",832045,Right,FGCU,55.42228,-134.721,18.31905,5.83125,-3.40656,-8.75481,-2.43034,6.40469,-6.64231,146.784834,2.25992,112.99411,-23.71066,6.11076,-1.57781,0.42,-0.09505,0.01329,-7.8e-4,2.66742,61.47822,-16.87782,0.32457,0.42107,-0.25787,0.07688,-0.01112,6.2e-4,-0.78752,-69.06902,6.71573,-0.80667,0.12351,-0.04949,0.01757,-0.00321,2.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
3,2025-04-27,13:07:56,"Bozenhard, Ryland",832047,Right,FGCU,Undefined,TwoSeamFastBall,NA,NA,93.54623,-2.552118,-2.332039,2162.373942,221.583921,01:30:00,5.71022,2.49185,4.8236,-15.71143,18.24249,15.02883,1.98018,1.53432,83.83532,-5.523456,0.310745,0.419388,-8.11201,10.16001,-2.27404,50,5.44428,4.72988,-135.14526,-6.576,-14.72688,34.50316,-13.72912,7c0865d7-4584-47e2-8774-659fed1a672f,NA,NA,NA,NA,NA,10072107,"Barbour, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,QUN_RYL,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FGCU,QUN_RYL,SwansonStadium,D1,ASUN,20250427-SwansonStadium-1,2a7ed6e0-238a-11f0-9251-897550978562,89.8748,NA,NA,9.71092,NA,NA,NA,9cc67f40-91e5-4980-8739-c979f37998eb,2025-04-27,17:07:56,2025-04-27T17:07:56Z,2025-04-27T17:07:56Z,NA,v3,4964,queensnc,27 April 2025 13:00-queensnc@flgulfcst,"Moise, Mac",832045,Right,FGCU,55.67044,-136.58527,17.25158,5.70678,-6.00301,-6.86456,-2.48427,5.34451,-7.36344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-27,13:08:09,"Bozenhard, Ryland",832047,Right,FGCU,Undefined,TwoSeamFastBall,NA,NA,92.16123,-1.925967,-3.701451,2249.317402,216.299962,01:15:00,5.69555,2.20123,4.92957,-16.51351,18.46107,12.55477,2.49438,-0.25627,82.33888,-5.059014,-1.494348,0.425645,-7.25441,10.04477,-1.85072,50,5.49467,7.93778,-132.94708,-5.02367,-12.73933,33.5063,-14.53462,d2e637e5-66a2-481d-95c4-9645086a33ae,NA,NA,NA,NA,NA,10072107,"Barbour, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,QUN_RYL,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FGCU,QUN_RYL,SwansonStadium,D1,ASUN,20250427-SwansonStadium-1,31d30f60-238a-11f0-9251-897550978562,88.55367,NA,NA,9.82235,NA,NA,NA,9cc67f40-91e5-4980-8739-c979f37998eb,2025-04-27,17:08:09,2025-04-27T17:08:09Z,2025-04-27T17:08:09Z,NA,v3,4964,queensnc,27 April 2025 13:00-queensnc@flgulfcst,"Moise, Mac",832045,Right,FGCU,55.5591,-134.34082,16.75315,5.69106,-4.41909,-7.26731,-2.19193,8.46769,-6.36967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-27,13:08:26,"Bozenhard, Ryland",832047,Right,FGCU,Undefined,FourSeamFastBall,NA,NA,91.1679,-2.543536,-2.769025,2165.059922,234.457939,01:45:00,5.63332,2.44048,5.05491,-23.31497,11.62942,14.63166,1.28727,1.04634,83.07907,-6.832663,-0.184376,0.425461,-8.0628,6.85583,-2.18905,50,5.37277,5.68455,-131.96945,-6.75878,-14.16261,29.12716,-20.13155,b7538a17-0669-4389-abc2-5ab7a86dceef,NA,NA,NA,NA,NA,10072107,"Barbour, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,QUN_RYL,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FGCU,QUN_RYL,SwansonStadium,D1,ASUN,20250427-SwansonStadium-1,3bf9c8d0-238a-11f0-9251-897550978562,88.5919,NA,NA,8.08883,NA,NA,NA,9cc67f40-91e5-4980-8739-c979f37998eb,2025-04-27,17:08:26,2025-04-27T17:08:26Z,2025-04-27T17:08:26Z,NA,v3,4964,queensnc,27 April 2025 13:00-queensnc@flgulfcst,"Moise, Mac",832045,Right,FGCU,55.44261,-133.16528,14.56358,5.63329,-5.93227,-10.06577,-2.43437,6.26601,-7.0813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-27,13:08:40,"Bozenhard, Ryland",832047,Right,FGCU,Undefined,TwoSeamFastBall,NA,NA,90.83435,-3.22699,-4.189871,2256.548644,226.993959,01:30:00,5.64191,2.37272,4.81767,-21.47533,14.3045,13.98225,0.78419,-0.43791,82.43947,-7.182565,-1.73713,0.430517,-8.19075,8.37709,-1.96899,50,5.30255,8.93513,-131.12455,-8.23166,-14.15346,29.66723,-17.69855,b9b8537a-da27-493a-93db-95412256371b,NA,NA,NA,NA,NA,10072107,"Barbour, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,QUN_RYL,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FGCU,QUN_RYL,SwansonStadium,D1,ASUN,20250427-SwansonStadium-1,446f28c0-238a-11f0-9251-897550978562,87.55153,NA,NA,8.39488,NA,NA,NA,9cc67f40-91e5-4980-8739-c979f37998eb,2025-04-27,17:08:40,2025-04-27T17:08:40Z,2025-04-27T17:08:40Z,NA,v3,4964,queensnc,27 April 2025 13:00-queensnc@flgulfcst,"Moise, Mac",832045,Right,FGCU,55.68045,-132.40352,14.83362,5.64097,-7.46866,-8.84928,-2.36735,9.5453,-7.07673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-27,13:08:55,"Bozenhard, Ryland",832047,Right,FGCU,Undefined,TwoSeamFastBall,NA,NA,91.60315,-2.317804,-4.823369,2250.01557,236.405658,02:00:00,5.65976,2.47067,4.6081,-22.90033,12.79804,17.25733,1.53842,-0.68852,82.46276,-6.529936,-1.811631,0.430027,-10.00745,7.35973,-1.99022,50,5.39993,10.28244,-132.07424,-6.27862,-17.42879,31.80943,-19.3565,60890baa-77c8-4789-bf79-b22fdf9b95d1,NA,NA,NA,NA,NA,10072107,"Barbour, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,QUN_RYL,1,Top,0,3,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FGCU,QUN_RYL,SwansonStadium,D1,ASUN,20250427-SwansonStadium-1,4d7f9030-238a-11f0-9251-897550978562,87.65134,NA,NA,9.14039,NA,NA,NA,9cc67f40-91e5-4980-8739-c979f37998eb,2025-04-27,17:08:55,2025-04-27T17:08:55Z,2025-04-27T17:08:55Z,NA,v3,4964,queensnc,27 April 2025 13:00-queensnc@flgulfcst,"Moise, Mac",832045,Right,FGCU,55.88912,-133.48507,15.90472,5.65937,-5.42011,-9.67825,-2.46342,11.05545,-8.7144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-27,13:09:14,"Bozenhard, Ryland",832047,Right,FGCU,Undefined,TwoSeamFastBall,NA,NA,92.44049,-1.632174,-3.386517,2254.311503,227.192985,01:30:00,5.75845,2.32701,5.3193,-20.71694,13.35607,13.04178,2.4972,0.23199,83.04499,-5.514608,-1.074949,0.420123,-7.67185,7.59095,-2.03003,50,5.59597,7.29697,-133.68375,-4.55517,-13.64108,33.51214,-18.67683,5edbea65-710c-438e-b79c-4e5d8a6b6a6d,NA,NA,NA,NA,10.770581,10072107,"Barbour, Jake",3619.812841,NA,93.9585,Left,28.721451,108.53507,56.87765,17.89229,340.6246,338.39215,4.897092,6.980782,1.98269,2.39987,-0.26104,NA,NA,NA,NA,NA,2,6,QUN_RYL,1,Top,0,3,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,FGCU,QUN_RYL,SwansonStadium,D1,ASUN,20250427-SwansonStadium-1,58da5cd0-238a-11f0-9251-897550978562,89.71764,78.63896,NA,9.3955,NA,NA,NA,9cc67f40-91e5-4980-8739-c979f37998eb,2025-04-27,17:09:14,2025-04-27T17:09:14Z,2025-04-27T17:09:14Z,FlyBall,v3,4964,queensnc,27 April 2025 13:00-queensnc@flgulfcst,"Moise, Mac",832045,Right,FGCU,55.17711,-134.97532,16.75607,5.7576599999999996,-3.83535,-9.33842,-2.32139,7.8227,-6.82054,170.863477,1.98328,118.70994,-24.05791,5.88829,-1.27612,0.2699,-0.04949,0.00588,-3.1e-4,2.40143,66.18829,-14.82592,-0.22951,0.49445,-0.2374,0.06046,-0.00773,3.9e-4,-0.26083,22.57965,-6.90646,1.73305,-0.37937,0.07935,-0.0142,0.00165,-9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-04-27,13:09:51,"Bozenhard, Ryland",832047,Right,FGCU,Undefined,Curveball,NA,NA,80.78087,0.46149,-2.980281,2786.753818,54.009203,07:45:00,5.78839,2.46697,4.24822,-50.23365,-4.41477,-8.10485,2.04458,-1.06361,74.04924,-8.471049,-4.389661,0.487185,3.04189,-1.82484,-2.13225,50,5.78683,6.45745,-116.90657,-1.10497,4.19209,22.9054,-34.68889,d8ffb85c-32bf-41b1-bac4-021d65b90791,NA,NA,NA,NA,NA,1000215442,"Alderfer, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,QUN_RYL,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FGCU,QUN_RYL,SwansonStadium,D1,ASUN,20250427-SwansonStadium-1,6ea98db0-238a-11f0-9251-897550978562,77.36787,NA,NA,6.73163,NA,NA,NA,9cc67f40-91e5-4980-8739-c979f37998eb,2025-04-27,17:09:51,2025-04-27T17:09:51Z,2025-04-27T17:09:51Z,NA,v3,4964,queensnc,27 April 2025 13:00-queensnc@flgulfcst,"Moise, Mac",832045,Right,FGCU,56.25065,-118.12491,11.4527,5.79653,0.74013,-17.34445,-2.4698,6.23447,2.09604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-27,13:10:03,"Bozenhard, Ryland",832047,Right,FGCU,Undefined,FourSeamFastBall,NA,NA,91.15689,-2.007752,-3.878914,2400.538322,205.43202,12:45:00,5.60848,2.42409,5.03128,-16.00154,19.34639,8.58422,2.37559,-0.52588,82.11778,-5.039696,-2.368116,0.427911,-5.44134,10.56036,-2.06004,50,5.40412,8.50755,-131.67147,-5.15002,-9.43562,31.15841,-13.86174,7c73f8fe-cd36-413d-ada4-db16e2263d13,NA,NA,NA,NA,NA,1000215442,"Alderfer, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,QUN_RYL,1,Top,1,1,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,FGCU,QUN_RYL,SwansonStadium,D1,ASUN,20250427-SwansonStadium-1,7628cdd0-238a-11f0-9251-897550978562,88.08474,NA,NA,9.03911,NA,NA,NA,9cc67f40-91e5-4980-8739-c979f37998eb,2025-04-27,17:10:03,2025-04-27T17:10:03Z,2025-04-27T17:10:03Z,NA,v3,4964,queensnc,27 April 2025 13:00-queensnc@flgulfcst,"Moise, Mac",832045,Right,FGCU,55.46293,-132.95792,15.57921,5.60494,-4.57771,-6.93087,-2.41934,8.89712,-4.71781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
