PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:04:48,"Kribbs, Andrew",801418,Right,CHA_FOR,Undefined,Fastball,NA,NA,91.23602,-2.59276,-4.786785,2240.00559,215.463291,01:15:00,5.57852,2.29129,5.47032,-14.35768,20.14808,13.50725,1.94551,-1.07318,82.83627,-5.336843,-2.394061,0.422783,-8.13497,11.21418,-1.87889,50,5.3402,10.41032,-131.81873,-6.41088,-14.26152,28.97254,-12.51427,da15727b-215b-4fe9-9fa0-385269c60e89,NA,NA,NA,NA,NA,1000115748,"Morales, Efrain",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,OLD_MON,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CHA_FOR,OLD_MON,UNCCharlotte,D1,AMER,20250223-UNCCharlotte-1,948298c0-f210-11ef-b576-5d4503790a94,89.15322,NA,NA,8.39975,NA,NA,NA,15b3a4a5-2818-40b5-9219-2777ad8f488c,2025-02-23,18:04:48,2025-02-23T18:04:48Z,2025-02-23T18:04:48Z,NA,v3,471371,3090,23 February 2025 13:00-olddom@charlotte,"Poteet, Logan",804751,Right,CHA_FOR,55.02594,-132.9188,14.48627,5.57459,-5.93572,-6.25714,-2.28444,10.95181,-7.13076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-23,13:05:06,"Kribbs, Andrew",801418,Right,CHA_FOR,Undefined,Curveball,NA,NA,85.67536,0.309121,-2.726223,2318.619344,319.469246,04:45:00,5.31643,2.17019,5.13401,-42.93006,-3.74028,4.23847,2.03036,-0.04583,78.63007,-7.461234,-1.97634,0.450565,-2.88606,-1.64713,-1.91787,50,5.31179,5.73287,-124.26767,-0.98655,-4.51237,24.93373,-34.74932,6f8c2539-c440-4065-8f7b-de03ab757244,NA,NA,NA,NA,NA,1000115748,"Morales, Efrain",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,OLD_MON,1,Top,0,0,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CHA_FOR,OLD_MON,UNCCharlotte,D1,AMER,20250223-UNCCharlotte-1,9f9deb60-f210-11ef-b576-5d4503790a94,83.65586,NA,NA,7.04529,NA,NA,NA,15b3a4a5-2818-40b5-9219-2777ad8f488c,2025-02-23,18:05:06,2025-02-23T18:05:06Z,2025-02-23T18:05:06Z,NA,v3,471371,3090,23 February 2025 13:00-olddom@charlotte,"Poteet, Logan",804751,Right,CHA_FOR,55.36636,-125.33978,12.46686,5.32209,0.50761,-17.37466,-2.16854,5.9269,-2.25618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-23,13:05:33,"Kribbs, Andrew",801418,Right,CHA_FOR,Undefined,Fastball,NA,NA,91.39617,-0.728668,-4.335795,2200.7978,220.859012,01:15:00,5.58263,2.08496,5.61172,-12.84753,21.70332,17.63895,3.8299,-0.49974,81.7455,-3.248891,-1.199121,0.423059,-10.25268,11.53146,-1.72512,50,5.5122,9.1887,-132.09664,-2.00296,-17.7961,32.77238,-12.15828,87b9b374-9d37-449b-8160-7bf76fd14682,NA,NA,NA,NA,NA,1000115748,"Morales, Efrain",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,OLD_MON,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CHA_FOR,OLD_MON,UNCCharlotte,D1,AMER,20250223-UNCCharlotte-1,af4814f0-f210-11ef-b576-5d4503790a94,89.09506,NA,NA,9.65067,NA,NA,NA,15b3a4a5-2818-40b5-9219-2777ad8f488c,2025-02-23,18:05:33,2025-02-23T18:05:33Z,2025-02-23T18:05:33Z,NA,v3,471371,3090,23 February 2025 13:00-olddom@charlotte,"Poteet, Logan",804751,Right,CHA_FOR,54.88257,-133.30247,16.38619,5.57767,-1.55561,-6.07914,-2.07526,9.84349,-8.89805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-23,13:05:52,"Kribbs, Andrew",801418,Right,CHA_FOR,Undefined,Fastball,NA,NA,92.24693,-1.943016,-4.253823,2283.957991,223.403941,01:30:00,5.61148,2.02028,5.37427,-13.94619,20.22288,17.91044,2.62197,-0.48251,82.78545,-4.635574,-1.081702,0.420715,-10.37756,11.14363,-1.65188,50,5.42775,9.07283,-133.29051,-4.94674,-18.37362,32.88652,-12.44414,a9bcfeae-3ca8-4aec-b8d9-722ffb3f0fbf,NA,NA,NA,NA,NA,1000115748,"Morales, Efrain",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,OLD_MON,1,Top,0,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CHA_FOR,OLD_MON,UNCCharlotte,D1,AMER,20250223-UNCCharlotte-1,baa356c0-f210-11ef-b576-5d4503790a94,89.59136,NA,NA,9.46148,NA,NA,NA,15b3a4a5-2818-40b5-9219-2777ad8f488c,2025-02-23,18:05:52,2025-02-23T18:05:52Z,2025-02-23T18:05:52Z,NA,v3,471371,3090,23 February 2025 13:00-olddom@charlotte,"Poteet, Logan",804751,Right,CHA_FOR,55.12254,-134.54845,16.44326,5.60787,-4.47074,-6.22207,-2.01237,9.77563,-9.18681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-23,13:06:17,"Kribbs, Andrew",801418,Right,CHA_FOR,Undefined,Fastball,NA,NA,92.45439,-0.642849,-4.161177,2209.089933,221.6568,01:30:00,5.51675,2.41918,5.15611,-17.35918,16.73607,13.80954,3.46341,-0.3539,83.35493,-3.917571,-1.725667,0.42026,-8.17426,8.88036,-2.04116,50,5.44396,9.06351,-133.68297,-2.10422,-14.63634,31.65746,-16.27336,c997cd6e-e176-4291-b05f-9c0275fa0dda,NA,NA,NA,NA,131.3253,1000115748,"Morales, Efrain",4801.018489,NA,73.94724,Right,58.570315,NA,NA,NA,NA,35.93007,NA,NA,0.72793,3.54699,0.33366,NA,NA,NA,NA,NA,1,5,OLD_MON,1,Top,0,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CHA_FOR,OLD_MON,UNCCharlotte,D1,AMER,20250223-UNCCharlotte-1,c9facc70-f210-11ef-b576-5d4503790a94,89.6883,51.70101,NA,9.09946,NA,NA,NA,15b3a4a5-2818-40b5-9219-2777ad8f488c,2025-02-23,18:06:17,2025-02-23T18:06:17Z,2025-02-23T18:06:17Z,NA,v3,471371,3090,23 February 2025 13:00-olddom@charlotte,"Poteet, Logan",804751,Right,CHA_FOR,55.34082,-134.9418,15.82873,5.51476,-1.45713,-8.13668,-2.41313,9.64551,-7.31817,NA,0.72793,-37.34479,-6.0429,3.69731,-1.26783,0.37243,-0.10164,0.0239,-0.00342,3.54699,92.54322,-33.55822,4.95189,-0.90707,0.12712,-0.00721,-0.00676,0.00294,0.33366,42.47085,-11.03731,3.98002,-1.11143,0.28359,-0.06829,0.01294,-0.00112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
6,2025-02-23,13:06:40,"Kribbs, Andrew",801418,Right,CHA_FOR,Undefined,Curveball,NA,NA,85.67109,2.024479,-3.458913,2284.169668,21.075077,06:45:00,5.25235,2.24874,5.10556,-45.09282,-6.13048,-2.78016,3.40636,-1.24588,79.17768,-6.107851,-3.949008,0.449256,0.52169,-3.21658,-1.92005,50,5.40796,7.63149,-124.22702,2.62478,0.82358,22.49606,-37.25206,74e12ebe-bfd9-4d0f-a996-48792c0da156,NA,NA,NA,NA,NA,1000115748,"Morales, Efrain",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,OLD_MON,1,Top,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CHA_FOR,OLD_MON,UNCCharlotte,D1,AMER,20250223-UNCCharlotte-1,d7932d00-f210-11ef-b576-5d4503790a94,83.89968,NA,NA,6.4934,NA,NA,NA,15b3a4a5-2818-40b5-9219-2777ad8f488c,2025-02-23,18:06:40,2025-02-23T18:06:40Z,2025-02-23T18:06:40Z,NA,v3,471371,3090,23 February 2025 13:00-olddom@charlotte,"Poteet, Logan",804751,Right,CHA_FOR,55.39547,-125.20027,11.24803,5.25954,4.23641,-18.62603,-2.24944,7.59586,0.41179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-23,13:07:01,"Kribbs, Andrew",801418,Right,CHA_FOR,Undefined,Curveball,NA,NA,86.15021,-1.02247,-3.764821,2306.401607,330.32144,05:00:00,5.28787,2.37385,5.19634,-43.12014,-4.39803,3.18299,0.7306,-0.90725,79.38361,-8.798808,-3.201507,0.447869,-2.63484,-1.59051,-2.02697,50,5.15995,8.07588,-124.83326,-3.90037,-4.16151,24.91661,-34.68614,7210430f-6a16-4597-9fb8-4e8b0d26d04f,NA,NA,NA,NA,NA,1000115748,"Morales, Efrain",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,OLD_MON,1,Top,0,2,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,CHA_FOR,OLD_MON,UNCCharlotte,D1,AMER,20250223-UNCCharlotte-1,e3bf0540-f210-11ef-b576-5d4503790a94,84.15953,NA,NA,6.7666,NA,NA,NA,15b3a4a5-2818-40b5-9219-2777ad8f488c,2025-02-23,18:07:01,2025-02-23T18:07:01Z,2025-02-23T18:07:01Z,NA,v3,471371,3090,23 February 2025 13:00-olddom@charlotte,"Poteet, Logan",804751,Right,CHA_FOR,55.3039,-125.88746,12.4583,5.29392,-2.43283,-17.34307,-2.37238,8.25195,-2.08075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-23,13:07:37,"Kribbs, Andrew",801418,Right,CHA_FOR,Undefined,Fastball,NA,NA,91.8394,-3.37484,-4.341339,2177.757563,220.479564,01:15:00,5.49291,2.13839,5.62402,-16.41918,17.32639,13.82859,0.9627,-0.76811,83.80645,-6.473697,-1.88107,0.4181,-8.19311,10.04945,-1.77672,50,5.1938,9.45189,-132.77268,-8.3696,-14.61854,28.55076,-14.24339,ee835569-1284-4cb2-8483-f104434fa22a,NA,NA,NA,NA,NA,10109727,"Aiken, TJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,OLD_MON,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CHA_FOR,OLD_MON,UNCCharlotte,D1,AMER,20250223-UNCCharlotte-1,f9572090-f210-11ef-b576-5d4503790a94,90.15182,NA,NA,8.03295,NA,NA,NA,15b3a4a5-2818-40b5-9219-2777ad8f488c,2025-02-23,18:07:37,2025-02-23T18:07:37Z,2025-02-23T18:07:37Z,NA,v3,471371,3090,23 February 2025 13:00-olddom@charlotte,"Poteet, Logan",804751,Right,CHA_FOR,54.87344,-133.81654,14.27538,5.49028,-7.84884,-7.1217,-2.13206,9.98637,-7.30927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-23,13:07:54,"Kribbs, Andrew",801418,Right,CHA_FOR,Undefined,Curveball,NA,NA,85.24471,0.411865,-3.036987,2459.039524,7.24329,06:15:00,5.37302,2.27681,5.06516,-43.73711,-4.0978,-0.67339,2.11716,-0.64557,78.42623,-7.483216,-3.155869,0.453142,-0.49185,-1.87768,-1.98757,50,5.37694,6.58812,-123.62645,-0.80129,-0.76251,24.2526,-35.08493,5b4e0efa-c599-4f58-ae28-c882193809fe,NA,NA,NA,NA,NA,10109727,"Aiken, TJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,OLD_MON,1,Top,1,1,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CHA_FOR,OLD_MON,UNCCharlotte,D1,AMER,20250223-UNCCharlotte-1,0354ce30-f211-11ef-b576-5d4503790a94,83.18014,NA,NA,6.81849,NA,NA,NA,15b3a4a5-2818-40b5-9219-2777ad8f488c,2025-02-23,18:07:54,2025-02-23T18:07:54Z,2025-02-23T18:07:54Z,NA,v3,471371,3090,23 February 2025 13:00-olddom@charlotte,"Poteet, Logan",804751,Right,CHA_FOR,55.43576,-124.68826,12.1263,5.37839,0.73477,-17.54246,-2.27673,6.62151,-0.38126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-23,13:08:17,"Kribbs, Andrew",801418,Right,CHA_FOR,Undefined,Fastball,NA,NA,92.42332,-1.809491,-3.452087,2348.575879,224.457941,01:30:00,5.51908,2.07832,5.18128,-15.22796,18.8167,17.26965,2.54392,0.26554,83.43142,-4.706083,-0.399818,0.419948,-9.55678,10.23508,-1.77045,50,5.33954,7.21054,-133.67778,-4.71814,-17.13103,31.33573,-13.82714,dfa34e3b-457c-47ff-9355-1f49dd2ad031,NA,NA,NA,NA,NA,10109727,"Aiken, TJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,OLD_MON,1,Top,1,1,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CHA_FOR,OLD_MON,UNCCharlotte,D1,AMER,20250223-UNCCharlotte-1,112c0c80-f211-11ef-b576-5d4503790a94,89.75492,NA,NA,8.99189,NA,NA,NA,15b3a4a5-2818-40b5-9219-2777ad8f488c,2025-02-23,18:08:17,2025-02-23T18:08:17Z,2025-02-23T18:08:17Z,NA,v3,471371,3090,23 February 2025 13:00-olddom@charlotte,"Poteet, Logan",804751,Right,CHA_FOR,55.31378,-134.91764,15.66786,5.5154,-4.17104,-6.91357,-2.06916,7.88837,-8.56552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
