PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,12:00:13,"Davidsmeier, William",10068091,Right,ILL_WES,Undefined,Fastball,NA,NA,85.06545,-0.273112,-1.215004,1846.734148,244.93072,02:15:00,5.95845,1.43469,6.61071,-28.1075,9.17111,17.28025,3.36594,1.76165,78.40907,-5.560895,1.930418,0.439442,-9.53528,5.21792,-1.35917,50,5.92802,2.02806,-123.84369,-1.37916,-14.87987,23.62124,-24.03143,202421a4-7d83-427a-bda5-7f9f65a446e5,NA,NA,NA,NA,NA,10041631,"Bond, Max",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,DEP_UNI,1,Top,0,0,0,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,ILL_WES,DEP_UNI,IllinoisWesleyan,D3,Team,20250426-IllinoisWesleyan-1,ec167cc0-22bf-11f0-ab3b-1f2642c1803c,85.77348,NA,NA,6.65638,NA,NA,NA,019657a9-daaa-43e8-a72a-a710d025a487,2025-04-26,17:00:13,2025-04-26T17:00:13Z,2025-04-26T17:00:13Z,NA,v3,NA,NA,NA,"Woltman, Tyler",1000098209,Right,ILL_WES,53.89226,-124.58386,11.81062,5.95944,-0.62613,-12.01571,-1.43002,2.49433,-7.43994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-26,12:00:40,"Davidsmeier, William",10068091,Right,ILL_WES,Undefined,Fastball,NA,NA,85.1037,-1.878291,-2.980033,2004.333671,247.909443,02:15:00,5.74642,1.95335,6.49336,-29.87218,7.78154,16.31154,1.52984,0.5745,78.32327,-7.462604,-0.018994,0.441647,-9.40796,4.93437,-1.75128,50,5.6014099999999996,5.846,-123.62477,-4.93272,-14.58875,24.1814,-24.52242,c13fbd93-a448-4b84-bf8c-2eff769d126e,NA,NA,NA,NA,10.309078,10093991,"Johnson, Grady",838.792681,NA,96.91265,Left,2.364119,NA,NA,NA,63.28614,62.13873,0.47215,10.92969,0.87461,1.4869,-0.54757,NA,NA,NA,NA,NA,2,1,DEP_UNI,1,Top,0,0,0,Changeup,InPlay,Undefined,GroundBall,Out,2,0,NA,ILL_WES,DEP_UNI,IllinoisWesleyan,D3,Team,20250426-IllinoisWesleyan-1,fc074c40-22bf-11f0-ab3b-1f2642c1803c,85.34518,1.91874,NA,6.78043,NA,NA,NA,019657a9-daaa-43e8-a72a-a710d025a487,2025-04-26,17:00:40,2025-04-26T17:00:40Z,2025-04-26T17:00:40Z,GroundBall,v3,NA,NA,NA,"Woltman, Tyler",1000098209,Right,ILL_WES,54.00845,-124.40637,12.0907,5.74804,-4.1401,-12.26121,-1.94786,6.31754,-7.29438,294.282374,0.89196,139.23089,-20.22234,NA,NA,NA,NA,NA,NA,1.49814,5.54329,-18.50847,NA,NA,NA,NA,NA,NA,-0.55304,25.57224,2.16895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-04-26,12:01:06,"Davidsmeier, William",10068091,Right,ILL_WES,Undefined,Fastball,NA,NA,86.30648,-2.557244,-0.945141,2024.063088,207.038879,01:00:00,6.44501,0.91623,6.95824,-19.70359,16.1506,7.68725,2.47438,0.69679,79.47389,-6.327263,0.463462,0.430964,-4.3691,9.65087,-0.85997,50,6.2793,1.80851,-125.53322,-6.07554,-6.99747,24.53878,-16.71743,948e4d1f-8569-471d-a2d4-5ff3c96220bb,NA,NA,NA,NA,0.422407,1000095687,"Knoll, Carter",5641.590822,NA,94.12574,Right,10.30316,109.97845,15.6875,-2.16495,227.48037,227.48037,2.271848,-1.943972,1.21604,2.42694,-0.68529,NA,NA,NA,NA,NA,3,1,DEP_UNI,1,Top,2,0,0,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,ILL_WES,DEP_UNI,IllinoisWesleyan,D3,Team,20250426-IllinoisWesleyan-1,0bd48e30-22c0-11f0-ab3b-1f2642c1803c,87.46067,15.98163,NA,6.83259,NA,NA,NA,019657a9-daaa-43e8-a72a-a710d025a487,2025-04-26,17:01:06,2025-04-26T17:01:06Z,2025-04-26T17:01:06Z,LineDrive,v3,NA,NA,NA,"Woltman, Tyler",1000098209,Right,ILL_WES,53.54235,-126.22376,12.26939,6.44365,-5.6051,-8.35871,-0.91363,2.00542,-3.49873,158.321884,1.21599,135.82375,-24.13331,5.35735,-1.22123,0.32736,-0.08608,0.01483,-0.00109,2.42703,24.68537,-10.7233,-0.92972,0.704,-0.38244,0.1374,-0.02619,0.002,-0.68535,1.00559,-4.07095,1.87247,-0.778,0.3352,-0.10993,0.02051,-0.00157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-04-26,12:01:37,"Davidsmeier, William",10068091,Right,ILL_WES,Undefined,Fastball,NA,NA,84.39904,-1.309923,-2.700969,1849.427074,253.064692,02:30:00,5.82168,1.74815,6.57065,-32.06844,5.7604,15.4308,1.94702,0.55636,78.29804,-7.287435,0.105006,0.442673,-8.81067,3.68205,-1.56856,50,5.71794,5.24618,-122.76665,-3.74393,-13.59004,21.87493,-26.49467,fb2fd855-ed87-4141-b89b-0add2402268b,NA,NA,NA,NA,NA,10046286,"Morrow, Cuinn",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,DEP_UNI,1,Top,2,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ILL_WES,DEP_UNI,IllinoisWesleyan,D3,Team,20250426-IllinoisWesleyan-1,1df5d240-22c0-11f0-ab3b-1f2642c1803c,85.14736,NA,NA,6.101,NA,NA,NA,019657a9-daaa-43e8-a72a-a710d025a487,2025-04-26,17:01:37,2025-04-26T17:01:37Z,2025-04-26T17:01:37Z,NA,v3,NA,NA,NA,"Woltman, Tyler",1000098209,Right,ILL_WES,53.93186,-123.46526,10.93747,5.824,-2.89779,-13.24734,-1.74303,5.68019,-6.79502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-26,12:01:51,"Davidsmeier, William",10068091,Right,ILL_WES,Undefined,Slider,NA,NA,74.03704,2.101866,-1.584455,2564.032046,38.164324,07:15:00,6.46162,1.07192,5.97226,-58.7981,-8.11859,-7.55705,3.51203,-1.02716,68.39261,-8.676616,-2.943518,0.512375,3.42776,-4.20303,-0.94242,50,6.59594,3.24133,-107.58876,2.16841,4.02532,18.33673,-37.10982,2738ae60-73aa-4226-a1ce-025539a5287f,NA,NA,NA,NA,NA,10046286,"Morrow, Cuinn",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,DEP_UNI,1,Top,2,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ILL_WES,DEP_UNI,IllinoisWesleyan,D3,Team,20250426-IllinoisWesleyan-1,269d17a0-22c0-11f0-ab3b-1f2642c1803c,73.56422,NA,NA,5.64443,NA,NA,NA,019657a9-daaa-43e8-a72a-a710d025a487,2025-04-26,17:01:51,2025-04-26T17:01:51Z,2025-04-26T17:01:51Z,NA,v3,NA,NA,NA,"Woltman, Tyler",1000098209,Right,ILL_WES,54.53061,-108.35818,9.16836,6.47228,3.72554,-18.55491,-1.07489,3.07242,2.01266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-26,12:02:05,"Davidsmeier, William",10068091,Right,ILL_WES,Undefined,Fastball,NA,NA,87.89189,-0.991109,-2.216827,2100.165422,207.826338,01:00:00,6.32183,1.21544,6.97847,-17.43241,17.15796,8.49646,3.96692,-0.09381,80.55553,-4.362798,-0.661501,0.423301,-5.0928,9.72898,-1.0809,50,6.25411,4.63824,-127.82026,-2.60334,-8.44729,25.70786,-16.03683,e17ad5a6-9e0d-4ebc-92bd-e76a241536bd,NA,NA,NA,NA,NA,10046286,"Morrow, Cuinn",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,DEP_UNI,1,Top,2,1,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ILL_WES,DEP_UNI,IllinoisWesleyan,D3,Team,20250426-IllinoisWesleyan-1,2eeec2f0-22c0-11f0-ab3b-1f2642c1803c,89.04409,NA,NA,7.33636,NA,NA,NA,019657a9-daaa-43e8-a72a-a710d025a487,2025-04-26,17:02:05,2025-04-26T17:02:05Z,2025-04-26T17:02:05Z,NA,v3,NA,NA,NA,"Woltman, Tyler",1000098209,Right,ILL_WES,53.5199,-128.52625,12.85393,6.31955,-2.16293,-8.01842,-1.21146,4.87022,-4.22365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-26,12:02:22,"Davidsmeier, William",10068091,Right,ILL_WES,Undefined,Fastball,NA,NA,88.34095,-1.314375,-2.899415,2044.25393,208.478722,01:00:00,6.33468,1.15546,6.90186,-19.95454,14.30375,7.20922,3.47283,-0.88702,81.32402,-5.126592,-1.582652,0.421264,-4.56134,8.26477,-0.97481,50,6.24434,6.2402,-128.42296,-3.45074,-7.66775,24.95522,-18.28067,b6f6a216-fd85-4a5c-ae6f-81db68b717ea,NA,NA,NA,NA,NA,10046286,"Morrow, Cuinn",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,DEP_UNI,1,Top,2,1,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,ILL_WES,DEP_UNI,IllinoisWesleyan,D3,Team,20250426-IllinoisWesleyan-1,38e5b9d0-22c0-11f0-ab3b-1f2642c1803c,89.47465,NA,NA,7.01693,NA,NA,NA,019657a9-daaa-43e8-a72a-a710d025a487,2025-04-26,17:02:22,2025-04-26T17:02:22Z,2025-04-26T17:02:22Z,NA,v3,NA,NA,NA,"Woltman, Tyler",1000098209,Right,ILL_WES,53.59726,-129.12009,12.47761,6.33361,-2.94006,-9.14034,-1.15212,6.4544,-3.83387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-26,12:04:28,"Lewis, Jamison",10128693,Right,DEP_UNI,Undefined,Fastball,NA,NA,80.42043,0.021454,-2.531829,1711.174828,213.589089,01:00:00,5.72441,2.01124,6.26184,-32.8149,9.83914,5.63532,3.00963,0.14488,73.61111,-6.120533,-1.514333,0.470058,-3.63587,5.518,-1.82614,50,5.70999,4.95934,-116.7891,-0.89708,-5.01488,22.27548,-24.56321,afde8680-ee92-4c06-9aa9-4ab63cefafbc,NA,NA,NA,NA,-127.000938,1000413760,"Hudik, Matt",3990.590182,NA,70.78455,Left,33.436598,NA,NA,NA,NA,35.27383,NA,NA,-0.27377,2.76372,-0.03586,NA,NA,NA,NA,NA,1,1,ILL_WES,1,Bottom,0,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ILL_WES,DEP_UNI,IllinoisWesleyan,D3,Team,20250426-IllinoisWesleyan-1,83f593a0-22c0-11f0-ab3b-1f2642c1803c,80.18678,21.56286,NA,6.80932,NA,NA,NA,019657a9-daaa-43e8-a72a-a710d025a487,2025-04-26,17:04:28,2025-04-26T17:04:28Z,2025-04-26T17:04:28Z,NA,v3,NA,NA,NA,"Dorsey, Bryson",1000170782,Right,DEP_UNI,54.23702,-117.59446,11.13774,5.72637,-0.00901,-12.2816,-2.00871,5.14065,-2.50744,NA,-0.25929,-52.60142,-1.9176,NA,NA,NA,NA,NA,NA,2.7858,56.51146,-29.99091,NA,NA,NA,NA,NA,NA,-0.05221,-68.67737,16.5023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
9,2025-04-26,12:04:43,"Lewis, Jamison",10128693,Right,DEP_UNI,Undefined,Fastball,NA,NA,76.33812,0.267478,0.068237,1651.630859,221.011899,01:15:00,5.57324,2.05676,5.3883,-43.63624,5.36099,3.27693,2.18759,2.3938,69.89675,-7.723884,0.651589,0.503799,-1.61689,3.13103,-2.0652,50,5.56672,-0.26005,-110.77823,-0.90491,-2.00229,20.42715,-28.29673,4a2fe2b6-f22a-471a-9925-68fc725260e6,NA,NA,NA,NA,NA,1000413760,"Hudik, Matt",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ILL_WES,1,Bottom,0,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ILL_WES,DEP_UNI,IllinoisWesleyan,D3,Team,20250426-IllinoisWesleyan-1,8cc5bdc0-22c0-11f0-ab3b-1f2642c1803c,74.81646,NA,NA,6.44136,NA,NA,NA,019657a9-daaa-43e8-a72a-a710d025a487,2025-04-26,17:04:43,2025-04-26T17:04:43Z,2025-04-26T17:04:43Z,NA,v3,NA,NA,NA,"Dorsey, Bryson",1000170782,Right,DEP_UNI,55.10943,-111.71641,10.21358,5.57844,0.39471,-14.14836,-2.05537,-0.16809,-1.00115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-26,12:04:55,"Lewis, Jamison",10128693,Right,DEP_UNI,Undefined,Fastball,NA,NA,81.01555,-1.551306,-1.773864,1908.062687,230.894198,01:45:00,5.80864,2.07287,5.97149,-31.70537,10.74375,11.55721,1.72725,1.39088,74.38742,-7.44021,0.305162,0.468928,-6.40693,6.37319,-1.93864,50,5.66817,3.20078,-117.62978,-4.14957,-8.97668,22.31621,-23.24466,88efe1bf-9616-4559-a20c-400f9513d392,NA,NA,NA,NA,NA,1000413760,"Hudik, Matt",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ILL_WES,1,Bottom,0,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ILL_WES,DEP_UNI,IllinoisWesleyan,D3,Team,20250426-IllinoisWesleyan-1,93bc6cf0-22c0-11f0-ab3b-1f2642c1803c,80.3801,NA,NA,6.62813,NA,NA,NA,019657a9-daaa-43e8-a72a-a710d025a487,2025-04-26,17:04:55,2025-04-26T17:04:55Z,2025-04-26T17:04:55Z,NA,v3,NA,NA,NA,"Dorsey, Bryson",1000170782,Right,DEP_UNI,54.5273,-118.48556,11.1581,5.81021,-3.25819,-11.62233,-2.06799,3.54502,-4.48834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
