PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,14:02:10,"McKee, Tate",90000217564,Right,GIT_YEL,Undefined,Fastball,NA,NA,93.75734,-1.136782,-1.17729,2377.745523,213.981386,01:15:00,6.13609,0.88979,5.86763,-14.42351,17.86123,11.24603,3.87781,0.73321,84.31884,-3.924846,0.840061,0.40895,-6.13166,9.83906,-0.80103,50,6.03586,2.28633,-135.96142,-3.11078,-11.28879,34.3833,-14.05965,9a45eb52-1930-48f9-90ef-83efce301e90,NA,NA,NA,NA,NA,809569,"Niu, Maika",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MAR_THU,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250221-GeorgiaTech-1,5a895bd0-f086-11ef-849c-e7c8b8cac755,92.16884,NA,NA,9.4385,NA,NA,NA,6e261e76-40ee-48f1-9140-3a2210b82ad4,2025-02-21,19:02:10,2025-02-21T19:02:10Z,2025-02-21T19:02:10Z,NA,v3,100,471347,21 February 2025 16:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.62882,-137.12701,17.19165,6.13324,-2.63416,-7.02982,-0.88502,2.66901,-5.64439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-21,14:02:36,"McKee, Tate",90000217564,Right,GIT_YEL,Undefined,Cutter,NA,NA,87.9504,-2.526363,-3.210196,2584.730493,204.100205,12:45:00,5.84163,1.27443,5.70891,-28.28805,8.71422,3.30248,1.12532,-1.44435,79.68188,-7.765603,-2.620196,0.43781,-2.71166,5.6252,-1.00744,50,5.61227,6.99699,-127.25962,-6.59053,-4.38271,29.63128,-23.08227,8fa5fd48-93ea-425b-89db-9af84beaea64,NA,NA,NA,NA,NA,809569,"Niu, Maika",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MAR_THU,1,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250221-GeorgiaTech-1,69acf040-f086-11ef-849c-e7c8b8cac755,86.09317,NA,NA,8.26852,NA,NA,NA,6e261e76-40ee-48f1-9140-3a2210b82ad4,2025-02-21,19:02:36,2025-02-21T19:02:36Z,2025-02-21T19:02:36Z,NA,v3,100,471347,21 February 2025 16:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.78794,-128.36961,14.81564,5.84296,-5.72587,-11.54113,-1.27262,7.16117,-2.19136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-21,14:02:49,"McKee, Tate",90000217564,Right,GIT_YEL,Undefined,Sinker,NA,NA,93.90836,-1.894529,-4.597611,2194.971581,249.7341,02:15:00,5.85887,1.20527,5.63768,-23.99678,8.39997,19.70611,2.08535,-1.45098,85.17486,-6.351542,-1.088812,0.409659,-11.2952,5.16256,-0.82631,50,5.68217,9.99693,-135.82007,-5.39132,-20.94822,31.73259,-22.59948,bd77a4f3-b718-4c4d-9908-88272370ca68,NA,NA,NA,NA,NA,809569,"Niu, Maika",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MAR_THU,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250221-GeorgiaTech-1,7189b9b0-f086-11ef-849c-e7c8b8cac755,92.00934,NA,NA,8.7335,NA,NA,NA,6e261e76-40ee-48f1-9140-3a2210b82ad4,2025-02-21,19:02:49,2025-02-21T19:02:49Z,2025-02-21T19:02:49Z,NA,v3,100,471347,21 February 2025 16:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.8603,-136.95091,15.8663,5.85995,-4.58596,-11.29974,-1.19587,10.74345,-10.47411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-21,14:03:03,"McKee, Tate",90000217564,Right,GIT_YEL,Undefined,Sinker,NA,NA,94.55743,-1.865246,-2.585194,2296.237981,240.623032,02:00:00,5.85241,1.36053,5.7397,-19.82068,12.05048,19.37269,2.46151,0.56612,85.35872,-5.595677,0.880746,0.406322,-10.73379,7.05977,-1.15762,50,5.6851,5.30549,-137.02488,-5.14967,-20.12278,34.22087,-18.939,8a54ffb1-6155-44b6-9f2c-210981ed2f22,NA,NA,NA,NA,-25.319505,809569,"Niu, Maika",1630.377622,NA,81.38164,Right,4.719552,NA,NA,NA,76.37645,73.25775,0.67761,-26.196611,2.14455,2.43633,-0.44877,NA,NA,NA,NA,NA,1,4,MAR_THU,1,Top,0,2,1,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250221-GeorgiaTech-1,7a1783a0-f086-11ef-849c-e7c8b8cac755,92.76499,3.59649,NA,9.19872,NA,NA,NA,6e261e76-40ee-48f1-9140-3a2210b82ad4,2025-02-21,19:03:03,2025-02-21T19:03:03Z,2025-02-21T19:03:03Z,GroundBall,v3,100,471347,21 February 2025 16:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.75907,-138.20831,17.11044,5.85186,-4.49472,-9.4695,-1.35313,6.00138,-10.06139,51.087836,2.17092,107.00042,-13.43431,NA,NA,NA,NA,NA,NA,2.46554,9.23816,-19.06261,NA,NA,NA,NA,NA,NA,-0.44748,-50.89955,2.65665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2025-02-21,14:03:35,"McKee, Tate",90000217564,Right,GIT_YEL,Undefined,Fastball,NA,NA,95.10321,-2.406753,-2.254539,2362.042772,201.175278,12:45:00,6.19071,1.02925,5.96549,-10.30851,20.90643,7.66587,3.0971,-0.4234,85.82323,-4.445467,-0.878357,0.402117,-4.64961,11.81859,-0.85477,50,5.9941,5.08241,-137.82415,-6.03558,-8.83136,34.21704,-9.72614,9f6470ef-32ab-4db5-99bb-f60ebb95b7e8,NA,NA,NA,NA,NA,822961,"Halter, Jackson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MAR_THU,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250221-GeorgiaTech-1,8cad3460-f086-11ef-849c-e7c8b8cac755,93.73495,NA,NA,9.27997,NA,NA,NA,6e261e76-40ee-48f1-9140-3a2210b82ad4,2025-02-21,19:03:35,2025-02-21T19:03:35Z,2025-02-21T19:03:35Z,NA,v3,100,471347,21 February 2025 16:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.53176,-138.94468,17.10852,6.18654,-5.71708,-4.86307,-1.02594,5.37162,-4.41568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-21,14:03:54,"McKee, Tate",90000217564,Right,GIT_YEL,Undefined,Fastball,NA,NA,94.40758,-2.823267,-2.580452,2396.488888,207.349596,01:00:00,6.08071,0.97608,5.83857,-12.50985,19.3821,9.42717,2.40946,-0.63824,85.17499,-5.252759,-0.892374,0.406455,-5.6376,11.13249,-0.77134,50,5.84316,5.73381,-136.69677,-7.08722,-10.52651,33.84114,-11.38746,d58f9100-4dde-451f-b90e-d802e6434fff,NA,NA,NA,NA,-37.178642,822961,"Halter, Jackson",NA,NA,71.69321,Left,74.308364,NA,NA,NA,89.67282,33.48254,5.268004,-69.148417,1.55315,2.31926,0.98875,NA,NA,NA,NA,NA,2,2,MAR_THU,1,Top,1,0,1,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250221-GeorgiaTech-1,981ac5b0-f086-11ef-849c-e7c8b8cac755,92.73466,118.45338,NA,9.23259,NA,NA,NA,6e261e76-40ee-48f1-9140-3a2210b82ad4,2025-02-21,19:03:54,2025-02-21T19:03:54Z,2025-02-21T19:03:54Z,Popup,v3,100,471347,21 February 2025 16:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.65851,-137.84522,16.92057,6.07712,-6.70076,-5.69373,-0.97198,6.09105,-5.26325,166.029716,1.53782,22.91716,-12.75556,5.29681,-1.6858900000000001,0.37726,-0.04775,0.00243,1e-5,2.31401,101.31155,-27.57946,3.4095,-0.63557,0.08902,-0.0089,3.9e-4,1e-5,0.97523,-16.92656,-2.40443,2.569,-1.47829,0.52618,-0.10774,0.01152,-5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
7,2025-02-21,14:04:31,"McKee, Tate",90000217564,Right,GIT_YEL,Undefined,Sinker,NA,NA,94.48023,-1.562366,-1.858393,2336.368279,244.659953,02:15:00,5.80535,1.23826,5.70563,-21.22962,10.82579,20.36493,2.57939,1.20321,85.01264,-5.549144,1.785239,0.407495,-10.98737,6.3567,-1.0955,50,5.66141,3.50351,-136.93095,-4.48365,-20.48344,35.34126,-20.32345,e47f1c7f-3ddd-456a-b70f-34d18cb00f58,NA,NA,NA,NA,NA,1000334186,"Wilson, Nolan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,MAR_THU,1,Top,2,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250221-GeorgiaTech-1,ae008bd0-f086-11ef-849c-e7c8b8cac755,92.49795,NA,NA,9.46759,NA,NA,NA,6e261e76-40ee-48f1-9140-3a2210b82ad4,2025-02-21,19:04:31,2025-02-21T19:04:31Z,2025-02-21T19:04:31Z,NA,v3,100,471347,21 February 2025 16:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.79231,-138.16229,17.67063,5.80529,-3.77556,-10.16173,-1.22999,4.21718,-10.24172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-21,14:04:50,"McKee, Tate",90000217564,Right,GIT_YEL,Undefined,Fastball,NA,NA,94.4553,-1.414807,-2.213311,2396.492412,212.245158,01:00:00,6.22778,0.69088,6.04132,-12.59304,18.84966,11.20127,3.86719,-0.42594,85.40671,-3.867469,-0.199058,0.403582,-6.44355,10.45445,-0.52428,50,6.11065,4.79975,-137.01736,-3.71663,-12.1251,33.14743,-12.50143,25c963d0-e9d7-48e3-b58a-8495705816a1,NA,NA,NA,NA,16.22212,1000334186,"Wilson, Nolan",4799.165987,NA,93.78119,Right,35.126005,103.5505,75.4116,37.11184,312.80545,310.90904,5.422583,27.102535,0.51544,3.7815,0.39845,NA,NA,NA,NA,NA,3,2,MAR_THU,1,Top,2,0,1,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250221-GeorgiaTech-1,b9815700-f086-11ef-849c-e7c8b8cac755,93.39484,100.45752,NA,9.04859,NA,NA,NA,6e261e76-40ee-48f1-9140-3a2210b82ad4,2025-02-21,19:04:50,2025-02-21T19:04:50Z,2025-02-21T19:04:50Z,FlyBall,v3,100,471347,21 February 2025 16:00-marshall@gatech,"Lackey, Vahn",822518,Right,GIT_YEL,54.4561,-138.09118,16.57371,6.22449,-3.31164,-6.25072,-0.68613,5.19255,-6.06255,199.801795,0.51659,108.00252,-26.11202,6.38919,-1.31554,0.23129,-0.03324,0.00327,-1.5e-4,3.7844,79.07225,-18.03557,0.76257,0.12409,-0.10325,0.02814,-0.00356,1.7e-4,0.39882,31.42018,-1.49474,0.11589,-0.00868,0.0092,-0.00368,5.7e-4,-3e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-02-21,14:07:26,"Blevins, Bryce",10009817,Left,MAR_THU,Undefined,Fastball,NA,NA,82.19853,0.582757,1.325758,2259.956426,141.780541,10:45:00,5.72021,-0.57634,5.60759,-26.01808,16.2243,-11.6139,4.09617,-0.30643,74.26336,-4.313143,-0.746924,0.467784,6.24461,8.45327,0.47045,50,5.75359,-2.2756,-119.17429,0.42021,8.88167,25.26084,-20.15103,161ffd75-eb1f-4693-904b-433e357cf09d,NA,NA,NA,NA,NA,827517,"Lodise, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,GIT_YEL,1,Bottom,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250221-GeorgiaTech-1,16c11ae0-f087-11ef-849c-e7c8b8cac755,80.57655,NA,NA,7.93517,NA,NA,NA,6e261e76-40ee-48f1-9140-3a2210b82ad4,2025-02-21,19:07:26,2025-02-21T19:07:26Z,2025-02-21T19:07:26Z,NA,v3,100,471347,21 February 2025 16:00-marshall@gatech,"Wilson, Nolan",1000334186,Right,MAR_THU,54.88733,-120.20577,12.63042,5.71963,1.24303,-10.07552,0.57077,-2.63827,4.44083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-21,14:07:35,"Blevins, Bryce",10009817,Left,MAR_THU,Undefined,Slider,NA,NA,72.82586,2.69667,-0.78813,2162.946787,295.992181,03:45:00,5.47465,-1.13317,5.01562,-57.71983,-2.67559,9.35371,3.21184,-1.09756,66.16963,-7.785803,0.864124,0.533983,-4.84189,-1.53929,1.20085,50,5.68701,1.08436,-105.46565,3.03158,-5.39899,19.61114,-33.89045,14756879-bdc0-4b0e-a3a5-ba3d8d31510c,NA,NA,NA,NA,NA,827517,"Lodise, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,GIT_YEL,1,Bottom,0,1,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GIT_YEL,MAR_THU,GeorgiaTech,D1,ACC,20250221-GeorgiaTech-1,1c17d5b0-f087-11ef-849c-e7c8b8cac755,70.58736,NA,NA,6.65623,NA,NA,NA,6e261e76-40ee-48f1-9140-3a2210b82ad4,2025-02-21,19:07:35,2025-02-21T19:07:35Z,2025-02-21T19:07:35Z,NA,v3,100,471347,21 February 2025 16:00-marshall@gatech,"Wilson, Nolan",1000334186,Right,MAR_THU,55.4824,-106.48021,9.80557,5.48482,4.78487,-16.94523,1.13753,1.36367,-2.69949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
