PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:05:13,"Timbes, Jake",806320,Right,BEL_BRU,Undefined,Fastball,NA,NA,89.08621,-2.064018,-3.561158,2413.899375,221.07249,01:15:00,4.79425,2.39483,6.12364,-18.22808,17.12501,13.83387,1.36269,0.25137,80.61802,-5.549846,-1.07301,0.427942,-8.26174,9.85142,-2.12925,50,4.62656,7.46511,-129.0544,-5.17286,-13.78305,29.56282,-15.73895,23b14c31-aaf5-472c-92ea-a128872ba8c7,NA,NA,NA,NA,NA,1000095633,"Lawrence, Luke",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,KEN_WIL,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,KEN_WIL,ESRosePark,D1,MVC,20250223-ESRosePark-1,1cda2fa0-f219-11ef-b931-eb4f2ec986f4,88.07834,NA,NA,8.46818,NA,NA,NA,73ccb4ac-97f8-4c00-8538-01ed342af9d1,2025-02-23,19:05:13,2025-02-23T19:05:13Z,2025-02-23T19:05:13Z,NA,v3,471514,471331,23 February 2025 14:00-kentucky@belmont,"Sprockett, Michael",1000119908,Right,BEL_BRU,54.37388,-130.05247,14.78141,4.79223,-4.6415,-7.86948,-2.38913,7.93044,-6.89153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
2,2025-02-23,13:05:27,"Timbes, Jake",806320,Right,BEL_BRU,Undefined,Fastball,NA,NA,89.10157,-1.624885,-4.362213,2398.330788,215.979351,01:15:00,4.84219,2.33073,5.97116,-18.5758,17.13816,11.49906,1.78301,-0.76301,80.32261,-5.172851,-2.303959,0.430121,-7.33107,9.7034300000000009,-1.99135,50,4.70304,9.35595,-128.90942,-4.20672,-12.1616,30.33322,-16.0769,7521cc72-d220-486a-b9f6-cb9a07d273a3,NA,NA,NA,NA,NA,1000095633,"Lawrence, Luke",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,KEN_WIL,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,KEN_WIL,ESRosePark,D1,MVC,20250223-ESRosePark-1,24f38ce0-f219-11ef-b931-eb4f2ec986f4,87.63224,NA,NA,8.77897,NA,NA,NA,73ccb4ac-97f8-4c00-8538-01ed342af9d1,2025-02-23,19:05:27,2025-02-23T19:05:27Z,2025-02-23T19:05:27Z,NA,v3,471514,471331,23 February 2025 14:00-kentucky@belmont,"Sprockett, Michael",1000119908,Right,BEL_BRU,54.5262,-129.97011,15.16661,4.84032,-3.64455,-8.03845,-2.32594,9.78121,-6.0808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-23,13:05:46,"Timbes, Jake",806320,Right,BEL_BRU,Undefined,Fastball,NA,NA,90.22867,-1.682486,-2.402988,2496.357586,218.710484,01:15:00,5.00785,2.43358,5.70995,-14.79607,20.44194,15.31107,2.20553,1.46945,80.87661,-4.552752,0.333279,0.427245,-8.5828,11.32776,-2.24201,50,4.85811,4.80262,-130.65439,-4.24399,-14.54685,32.53093,-12.97479,6cc5db24-cce9-491a-a1f4-fb88697a6dda,NA,NA,NA,NA,-14.60466,1000095633,"Lawrence, Luke",2579.944972,NA,93.5025,Right,14.903054,104.57934,22.73209,-34.10515,270.43202,262.68167,2.686416,-21.617083,1.06317,2.16254,-1.44211,NA,NA,NA,NA,NA,1,3,KEN_WIL,1,Top,0,0,2,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,NA,BEL_BRU,KEN_WIL,ESRosePark,D1,MVC,20250223-ESRosePark-1,3090e0c0-f219-11ef-b931-eb4f2ec986f4,88.22202,24.45757,NA,9.35206,NA,NA,NA,73ccb4ac-97f8-4c00-8538-01ed342af9d1,2025-02-23,19:05:46,2025-02-23T19:05:46Z,2025-02-23T19:05:46Z,LineDrive,v3,471514,471331,23 February 2025 14:00-kentucky@belmont,"Sprockett, Michael",1000119908,Right,BEL_BRU,54.78589,-131.84061,16.26547,5.00424,-3.77087,-6.4874,-2.4268,5.33307,-7.27343,131.08736,1.06308,128.24698,-20.98411,4.71688,-1.10033,0.29703,-0.07808,0.01355,-0.00102,2.16268,35.26121,-14.24495,0.00951,0.37066,-0.23427,0.085,-0.01589,0.00121,-1.44223,-33.40847,-3.23999,1.60418,-0.66791,0.2744,-0.08558,0.01544,-0.00117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-02-23,13:06:19,"Timbes, Jake",806320,Right,BEL_BRU,Undefined,Fastball,NA,NA,88.97766,-1.892365,-3.792328,2336.215026,223.700544,01:30:00,4.89282,2.50456,6.24866,-19.10859,16.16706,14.25879,1.55074,0.19022,80.52587,-5.544665,-1.222631,0.427473,-8.578,9.33792,-2.22917,50,4.74242,7.96919,-128.90492,-4.80206,-14.27825,29.48174,-16.63091,f9d9e55e-b218-4f8f-9d3c-47806368126d,NA,NA,NA,NA,NA,1000125066,"Montoya, Shaun",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,KEN_WIL,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,KEN_WIL,ESRosePark,D1,MVC,20250223-ESRosePark-1,43e0e0d0-f219-11ef-b931-eb4f2ec986f4,88.17497,NA,NA,8.45179,NA,NA,NA,73ccb4ac-97f8-4c00-8538-01ed342af9d1,2025-02-23,19:06:19,2025-02-23T19:06:19Z,2025-02-23T19:06:19Z,NA,v3,471514,471331,23 February 2025 14:00-kentucky@belmont,"Sprockett, Michael",1000119908,Right,BEL_BRU,54.2488,-129.87302,14.74087,4.89114,-4.25595,-8.31545,-2.49856,8.43805,-7.13912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-23,13:06:33,"Timbes, Jake",806320,Right,BEL_BRU,Undefined,ChangeUp,NA,NA,82.84196,0.971278,-0.902621,1810.758789,274.210394,03:15:00,4.83485,2.27154,5.9041,-40.83124,0.18906,16.25757,2.33405,2.7884,75.28266,-6.58132,2.018503,0.460968,-8.54099,0.25949,-2.20802,50,4.88996,1.2404,-120.26865,0.67567,-12.38254,25.54145,-31.79785,2f5d9525-1baf-49e1-8e13-dd16178814d1,NA,NA,NA,NA,NA,1000125066,"Montoya, Shaun",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,KEN_WIL,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,KEN_WIL,ESRosePark,D1,MVC,20250223-ESRosePark-1,4c5cd070-f219-11ef-b931-eb4f2ec986f4,81.76802,NA,NA,7.5593,NA,NA,NA,73ccb4ac-97f8-4c00-8538-01ed342af9d1,2025-02-23,19:06:33,2025-02-23T19:06:33Z,2025-02-23T19:06:33Z,NA,v3,471514,471331,23 February 2025 14:00-kentucky@belmont,"Sprockett, Michael",1000119908,Right,BEL_BRU,54.59365,-121.24028,12.77073,4.84125,1.8853,-15.89892,-2.26416,1.71144,-6.19127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-23,13:06:48,"Timbes, Jake",806320,Right,BEL_BRU,Undefined,ChangeUp,NA,NA,81.45056,0.649024,-3.582057,1793.909765,262.150151,02:45:00,4.86249,2.33842,5.94605,-38.84506,3.5439,15.35741,2.2286,0.29141,74.08559,-6.550921,-0.827702,0.468595,-8.98902,2.01441,-2.06179,50,4.89237,6.80893,-118.09484,0.10975,-12.59829,24.08033,-29.35082,35715dff-61f0-44f4-8266-f21b82df8bc4,NA,NA,NA,NA,3.802409,1000125066,"Montoya, Shaun",2804.895881,NA,73.40286,Left,4.928682,NA,NA,NA,65.16493,54.20197,0.629816,0.985572,2.27706,2.22205,-0.29609,NA,NA,NA,NA,NA,2,3,KEN_WIL,1,Top,1,1,1,Changeup,InPlay,Undefined,LineDrive,Out,1,0,NA,BEL_BRU,KEN_WIL,ESRosePark,D1,MVC,20250223-ESRosePark-1,553781e0-f219-11ef-b931-eb4f2ec986f4,80.43711,3.23192,NA,7.36497,NA,NA,NA,73ccb4ac-97f8-4c00-8538-01ed342af9d1,2025-02-23,19:06:48,2025-02-23T19:06:48Z,2025-02-23T19:06:48Z,GroundBall,v3,471514,471331,23 February 2025 14:00-kentucky@belmont,"Sprockett, Michael",1000119908,Right,BEL_BRU,54.55318,-119.01964,12.04017,4.86651,1.23696,-14.67541,-2.33258,7.29276,-6.29915,60.399386,2.28599,106.83236,-11.15247,NA,NA,NA,NA,NA,NA,2.24512,8.7562,-19.6175,NA,NA,NA,NA,NA,NA,-0.27742,6.71174,-7.17526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
7,2025-02-23,13:07:22,"Timbes, Jake",806320,Right,BEL_BRU,Undefined,Fastball,NA,NA,88.36087,0.017401,-4.265662,2597.006936,206.858724,01:00:00,4.81814,2.39082,6.41598,-17.60178,18.25001,8.56477,3.36737,-0.82424,79.15643,-3.402916,-2.720413,0.43095,-5.8424,9.86205,-2.08911,50,4.81111,9.18808,-127.88213,-0.39061,-9.49276,31.0055,-16.15022,09198994-1bd2-4706-997d-851b235c8ee4,NA,NA,NA,NA,NA,1000092706,"Hage, Cole",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,KEN_WIL,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,KEN_WIL,ESRosePark,D1,MVC,20250223-ESRosePark-1,696bc770-f219-11ef-b931-eb4f2ec986f4,87.46361,NA,NA,9.20444,NA,NA,NA,73ccb4ac-97f8-4c00-8538-01ed342af9d1,2025-02-23,19:07:22,2025-02-23T19:07:22Z,2025-02-23T19:07:22Z,NA,v3,471514,471331,23 February 2025 14:00-kentucky@belmont,"Sprockett, Michael",1000119908,Right,BEL_BRU,54.07755,-128.86696,15.50275,4.81537,0.12237,-8.07511,-2.38574,9.4896,-4.74638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-23,13:07:35,"Timbes, Jake",806320,Right,BEL_BRU,Undefined,Fastball,NA,NA,88.78394,0.359656,-2.305463,2477.005621,216.077817,01:15:00,4.96563,2.28539,6.00696,-16.97796,19.25958,12.98576,3.88429,1.23045,78.87911,-2.949159,0.02774,0.433262,-7.39819,10.11162,-2.11082,50,4.98464,4.60292,-128.53311,0.3727,-12.04391,33.31034,-15.71283,30af6018-9aed-4601-a021-6bfcf4903012,NA,NA,NA,NA,NA,1000092706,"Hage, Cole",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,KEN_WIL,1,Top,2,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,KEN_WIL,ESRosePark,D1,MVC,20250223-ESRosePark-1,714b5000-f219-11ef-b931-eb4f2ec986f4,86.99685,NA,NA,9.90483,NA,NA,NA,73ccb4ac-97f8-4c00-8538-01ed342af9d1,2025-02-23,19:07:35,2025-02-23T19:07:35Z,2025-02-23T19:07:35Z,NA,v3,471514,471331,23 February 2025 14:00-kentucky@belmont,"Sprockett, Michael",1000119908,Right,BEL_BRU,54.48476,-129.69016,16.65517,4.96221,0.91849,-7.85642,-2.27797,5.02127,-6.02196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-23,13:07:49,"Timbes, Jake",806320,Right,BEL_BRU,Undefined,Fastball,NA,NA,87.19404,-0.854424,-2.723005,2475.35146,212.000403,01:00:00,4.867,2.43824,6.32605,-20.06273,16.79233,9.62784,2.40733,0.73107,78.22625,-4.717827,-0.983229,0.436938,-5.93985,9.423,-2.24385,50,4.79511,5.63283,-126.40037,-2.42105,-9.41301,30.68278,-17.24122,dd1f03aa-22a6-4e47-8be3-620267ebd6ba,NA,NA,NA,NA,NA,1000092706,"Hage, Cole",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,KEN_WIL,1,Top,2,2,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,KEN_WIL,ESRosePark,D1,MVC,20250223-ESRosePark-1,79fde000-f219-11ef-b931-eb4f2ec986f4,86.26496,NA,NA,8.96779,NA,NA,NA,73ccb4ac-97f8-4c00-8538-01ed342af9d1,2025-02-23,19:07:49,2025-02-23T19:07:49Z,2025-02-23T19:07:49Z,NA,v3,471514,471331,23 February 2025 14:00-kentucky@belmont,"Sprockett, Michael",1000119908,Right,BEL_BRU,54.1699,-127.40856,15.34139,4.86535,-1.85452,-8.62061,-2.43401,5.94213,-4.70651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-23,13:08:09,"Timbes, Jake",806320,Right,BEL_BRU,Undefined,Slider,NA,NA,82.34033,1.768294,-3.063484,2449.665814,105.988784,09:30:00,4.99728,2.24054,5.57848,-37.31597,5.14697,-12.75201,3.54199,-1.68598,74.31518,-5.129621,-5.329462,0.469004,5.41437,2.48689,-1.96844,50,5.12566,6.90678,-119.16143,2.42558,7.65864,26.36608,-28.65635,9dd745fe-6e35-4925-b0d2-6dc3d2537a69,NA,NA,NA,NA,NA,1000092706,"Hage, Cole",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,KEN_WIL,1,Top,2,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,KEN_WIL,ESRosePark,D1,MVC,20250223-ESRosePark-1,85ae94d0-f219-11ef-b931-eb4f2ec986f4,80.36703,NA,NA,8.02514,NA,NA,NA,73ccb4ac-97f8-4c00-8538-01ed342af9d1,2025-02-23,19:08:09,2025-02-23T19:08:09Z,2025-02-23T19:08:09Z,NA,v3,471514,471331,23 February 2025 14:00-kentucky@belmont,"Sprockett, Michael",1000119908,Right,BEL_BRU,54.91697,-120.24446,13.18304,5.00185,3.60269,-14.32817,-2.24569,6.59219,3.82932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
