PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,15:06:01,"Cremarosa, Aidan",809093,Right,FRE_BUL,Undefined,Fastball,NA,NA,89.03761,-3.233426,-4.886995,2220.325622,205.301141,12:45:00,6.13379,2.13409,6.48504,-13.25942,21.99135,9.77241,2.04618,-1.54929,80.17304,-5.848921,-3.123792,0.427322,-6.6476,12.88894,-1.79403,50,5.89945,10.60387,-128.62545,-7.55701,-10.96766,30.45841,-10.90898,1a407ec3-0e44-4d2a-9171-43b29dc19aeb,NA,NA,NA,NA,NA,1000271443,"Burdick, Cam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CAL_FUL,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,CAL_FUL,PeteBeidenField,D1,MW,20250222-PeteBeidenField-1,95f562e0-f171-11ef-a030-bffa3384d5ee,88.20613,NA,NA,8.86457,NA,NA,NA,90678185-3df0-4394-9fe1-4655f8dd21f3,2025-02-22,23:06:01,2025-02-22T23:06:01Z,2025-02-22T23:06:01Z,NA,v3,471253,471254,21 February 2025 21:05-calstfull@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.00974,-129.57148,15.2292,6.12891,-7.21818,-5.45449,-2.12867,10.94451,-5.48383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-22,15:06:17,"Cremarosa, Aidan",809093,Right,FRE_BUL,Undefined,Fastball,NA,NA,88.36795,-2.60093,-3.78621,2254.083395,213.066171,01:00:00,6.13161,2.09163,6.36569,-15.18776,20.75296,12.61607,2.46571,-0.34619,79.29966,-5.574314,-1.508377,0.431484,-7.79158,12.04123,-1.82295,50,5.93579,7.94811,-127.85159,-6.16344,-12.64993,31.06279,-12.62468,5f74661d-5398-4c25-acee-f59a676d5b73,NA,NA,NA,NA,NA,1000271443,"Burdick, Cam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,CAL_FUL,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,CAL_FUL,PeteBeidenField,D1,MW,20250222-PeteBeidenField-1,9f9008f0-f171-11ef-a030-bffa3384d5ee,87.35537,NA,NA,9.06829,NA,NA,NA,90678185-3df0-4394-9fe1-4655f8dd21f3,2025-02-22,23:06:17,2025-02-22T23:06:17Z,2025-02-22T23:06:17Z,NA,v3,471253,471254,21 February 2025 21:05-calstfull@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.129,-128.85087,15.5314,6.12753,-5.75731,-6.31234,-2.08518,8.35505,-6.32497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-22,15:06:35,"Cremarosa, Aidan",809093,Right,FRE_BUL,Undefined,Fastball,NA,NA,89.25126,-2.414156,-4.424588,2276.761764,220.341659,01:15:00,6.1081,1.8278,6.33632,-16.72969,18.92592,14.82422,2.48325,-1.01874,79.31365,-5.68324,-1.752285,0.429769,-9.22591,11.08764,-1.51133,50,5.92372,9.3497,-128.90695,-5.85306,-15.07863,33.9562,-14.05266,0d51e1cf-9c7f-467a-be29-17d18e7045dd,NA,NA,NA,NA,NA,1000271443,"Burdick, Cam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,CAL_FUL,1,Top,0,1,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,CAL_FUL,PeteBeidenField,D1,MW,20250222-PeteBeidenField-1,aa8d4c40-f171-11ef-a030-bffa3384d5ee,87.70392,NA,NA,9.93761,NA,NA,NA,90678185-3df0-4394-9fe1-4655f8dd21f3,2025-02-22,23:06:35,2025-02-22T23:06:35Z,2025-02-22T23:06:35Z,NA,v3,471253,471254,21 February 2025 21:05-calstfull@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.15634,-129.99719,16.9781,6.10441,-5.40187,-7.02633,-1.81929,9.83383,-7.53931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-22,15:06:55,"Cremarosa, Aidan",809093,Right,FRE_BUL,Undefined,Cutter,NA,NA,85.3413,-2.036384,-1.042969,2493.560538,172.913079,11:45:00,5.99439,2.2149,6.09393,-23.13363,15.0419,-1.71524,2.18195,1.10717,78.02426,-6.389378,-1.352097,0.444697,0.58535,8.72402,-2.1337,50,5.82528,2.32313,-123.89624,-5.08291,0.90714,25.45028,-18.65454,a3b13c3c-7b7a-47e8-b076-1038ea4b278a,NA,NA,NA,NA,NA,1000271443,"Burdick, Cam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CAL_FUL,1,Top,0,1,2,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,CAL_FUL,PeteBeidenField,D1,MW,20250222-PeteBeidenField-1,b6352770-f171-11ef-a030-bffa3384d5ee,84.75989,NA,NA,7.31705,NA,NA,NA,90678185-3df0-4394-9fe1-4655f8dd21f3,2025-02-22,23:06:55,2025-02-22T23:06:55Z,2025-02-22T23:06:55Z,NA,v3,471253,471254,21 February 2025 21:05-calstfull@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.4028,-124.79736,12.72514,5.9935600000000004,-4.4224,-9.32727,-2.21538,2.29101,0.45357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-22,15:07:18,"Cremarosa, Aidan",809093,Right,FRE_BUL,Undefined,Cutter,NA,NA,82.97223,-2.157797,-3.23587,2493.045419,164.322131,11:30:00,5.99072,2.04444,6.20293,-32.08738,8.06296,-1.9165,1.32091,-1.10529,76.50019,-8.09979,-3.581335,0.456054,0.10909,5.15394,-1.80022,50,5.81221,6.87646,-120.37131,-5.51207,0.16032,23.04092,-24.60108,97cbd8ec-7941-4ee6-9aa2-aa8ed22a35b1,NA,NA,NA,NA,NA,1000271443,"Burdick, Cam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,CAL_FUL,1,Top,0,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,CAL_FUL,PeteBeidenField,D1,MW,20250222-PeteBeidenField-1,c3c1ef40-f171-11ef-a030-bffa3384d5ee,82.64911,NA,NA,6.47204,NA,NA,NA,90678185-3df0-4394-9fe1-4655f8dd21f3,2025-02-22,23:07:18,2025-02-22T23:07:18Z,2025-02-22T23:07:18Z,NA,v3,471253,471254,21 February 2025 21:05-calstfull@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.29533,-121.19071,11.52046,5.99268,-4.63719,-12.30054,-2.04467,6.87076,0.08016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-22,15:07:40,"Cremarosa, Aidan",809093,Right,FRE_BUL,Undefined,Fastball,NA,NA,90.93354,-1.022678,-3.842327,2315.831332,214.354317,01:15:00,6.21481,2.04255,6.23513,-15.33143,18.81631,11.96367,3.99157,-0.51027,81.27097,-4.01692,-1.688222,0.420584,-7.445,10.43064,-1.76107,50,6.13064,8.32169,-131.59092,-2.732,-12.7748,33.49908,-14.27617,e08911bc-3f02-4f25-9c90-ecf10e5c5add,NA,NA,NA,NA,NA,1000271443,"Burdick, Cam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,CAL_FUL,1,Top,0,3,2,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,FRE_BUL,CAL_FUL,PeteBeidenField,D1,MW,20250222-PeteBeidenField-1,d0cf4de0-f171-11ef-a030-bffa3384d5ee,89.61939,NA,NA,9.66257,NA,NA,NA,90678185-3df0-4394-9fe1-4655f8dd21f3,2025-02-22,23:07:40,2025-02-22T23:07:40Z,2025-02-22T23:07:40Z,NA,v3,471253,471254,21 February 2025 21:05-calstfull@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.2584,-132.67055,16.74954,6.21128,-2.2719,-7.13808,-2.03591,8.7334,-6.3874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
7,2025-02-22,15:08:14,"Cremarosa, Aidan",809093,Right,FRE_BUL,Undefined,Fastball,NA,NA,89.24735,-3.149237,-4.38527,2213.649172,206.737195,01:00:00,6.1328,2.0989,6.51906,-11.91757,23.08056,10.96548,2.23877,-1.01878,80.29637,-5.527079,-2.402979,0.425789,-7.11512,13.44056,-1.79722,50,5.90701,9.45333,-129.03632,-7.32885,-11.80787,30.78484,-9.86891,84b5744d-ede1-42ea-ac86-fc7b306c6a39,NA,NA,NA,NA,NA,1000091514,"Johnstone, Carter",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CAL_FUL,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,CAL_FUL,PeteBeidenField,D1,MW,20250222-PeteBeidenField-1,e56366b0-f171-11ef-a030-bffa3384d5ee,88.52385,NA,NA,8.95097,NA,NA,NA,90678185-3df0-4394-9fe1-4655f8dd21f3,2025-02-22,23:08:14,2025-02-22T23:08:14Z,2025-02-22T23:08:14Z,NA,v3,471253,471254,21 February 2025 21:05-calstfull@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,53.97576,-129.98137,15.39242,6.12734,-7.02588,-4.93446,-2.09299,9.81582,-5.90393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-22,15:08:35,"Cremarosa, Aidan",809093,Right,FRE_BUL,Undefined,Fastball,NA,NA,87.01833,-1.449625,-2.414301,2072.596044,203.663693,12:45:00,6.13438,2.34685,6.44908,-14.21804,22.60537,9.2965,3.61624,0.90212,78.03128,-4.265188,-0.73027,0.43675,-5.61386,12.63843,-2.17937,50,6.02472,4.9455,-126.1399,-3.47406,-8.86873,30.32024,-12.20795,a032aac8-4d0c-40c3-acad-a9457e907632,NA,NA,NA,NA,NA,1000091514,"Johnstone, Carter",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CAL_FUL,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,CAL_FUL,PeteBeidenField,D1,MW,20250222-PeteBeidenField-1,f205f590-f171-11ef-a030-bffa3384d5ee,86.30202,NA,NA,8.98705,NA,NA,NA,90678185-3df0-4394-9fe1-4655f8dd21f3,2025-02-22,23:08:35,2025-02-22T23:08:35Z,2025-02-22T23:08:35Z,NA,v3,471253,471254,21 February 2025 21:05-calstfull@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.04435,-127.10832,15.16012,6.12945,-3.08414,-6.10398,-2.34185,5.22876,-4.43436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-22,15:08:58,"Cremarosa, Aidan",809093,Right,FRE_BUL,Undefined,Fastball,NA,NA,88.90478,-4.265437,-3.624967,2193.900338,203.836764,12:45:00,6.12941,2.15054,6.36995,-15.02194,20.90076,8.57934,0.93769,-0.4744,79.26853,-7.209302,-2.075564,0.431376,-5.81099,12.87934,-1.89239,50,5.81338,7.78979,-128.3464,-9.93421,-9.41159,33.74734,-11.31449,a3d60288-7028-4cf9-a7a6-d1deb9c29c99,NA,NA,NA,NA,NA,1000091514,"Johnstone, Carter",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,CAL_FUL,1,Top,0,2,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,CAL_FUL,PeteBeidenField,D1,MW,20250222-PeteBeidenField-1,ff53dfa0-f171-11ef-a030-bffa3384d5ee,87.37722,NA,NA,9.63625,NA,NA,NA,90678185-3df0-4394-9fe1-4655f8dd21f3,2025-02-22,23:08:58,2025-02-22T23:08:58Z,2025-02-22T23:08:58Z,NA,v3,471253,471254,21 February 2025 21:05-calstfull@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.12539,-129.42658,16.87367,6.12556,-9.57206,-5.65724,-2.14654,8.09103,-4.70579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-22,15:09:22,"Cremarosa, Aidan",809093,Right,FRE_BUL,Undefined,Fastball,NA,NA,87.39805,-1.457801,-3.375897,2193.633532,201.5547,12:45:00,6.0961,2.2308,6.24408,-13.04398,23.98045,8.89693,3.6619,-0.14507,77.9585,-4.06326,-1.77299,0.437941,-5.72677,13.27079,-1.98328,50,5.9806,7.08845,-126.46903,-3.46396,-9.0548,31.50189,-11.19114,cfff65d0-e89f-4b19-8a8b-1390aba4b24e,NA,NA,NA,NA,NA,1000091514,"Johnstone, Carter",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,CAL_FUL,1,Top,0,3,0,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,FRE_BUL,CAL_FUL,PeteBeidenField,D1,MW,20250222-PeteBeidenField-1,0d9cf290-f172-11ef-a030-bffa3384d5ee,86.06737,NA,NA,9.43956,NA,NA,NA,90678185-3df0-4394-9fe1-4655f8dd21f3,2025-02-22,23:09:22,2025-02-22T23:09:22Z,2025-02-22T23:09:22Z,NA,v3,471253,471254,21 February 2025 21:05-calstfull@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.24814,-127.5228,15.75094,6.09022,-3.08961,-5.59557,-2.22547,7.39134,-4.5274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
