PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-18,15:02:55,"Willadsen, Matt",1000036922,Right,NOR_WOL,Undefined,Sinker,NA,NA,86.87322,-2.165499,-3.40112,2084.281663,250.751717,02:15:00,5.56013,1.97916,6.18919,-28.61478,8.59638,20.7495,1.17169,0.56435,78.59848,-7.526197,0.342623,0.439044,-11.91682,5.52721,-1.73312,50,5.38218,6.66837,-125.87539,-5.65666,-18.82212,29.26121,-23.44404,f33a0d06-d596-44fc-b861-d550ea03a7c9,NA,NA,NA,NA,NA,1000092865,"Decandido, Riley",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,LIB_FLA,1,Top,0,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,LIB_FLA,DoakField,D1,ACC,20250218-DoakField-1,58eb8eb0-ee33-11ef-a28c-f5e7f4ec63a0,85.85117,NA,NA,8.27475,NA,NA,NA,01560836-2ebf-4528-9a65-b190de7a6559,2025-02-18,20:02:55,2025-02-18T20:02:55Z,2025-02-18T20:02:55Z,NA,v3,471387,471336,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.31052,-126.87347,14.6306,5.56148,-4.857,-11.72202,-1.97152,7.31037,-9.41106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-18,15:03:10,"Willadsen, Matt",1000036922,Right,NOR_WOL,Undefined,ChangeUp,NA,NA,77.24033,-0.715336,-3.081123,1861.002571,242.849914,02:00:00,5.66548,1.93404,6.52173,-36.77384,10.15359,16.17792,1.9437,0.45256,69.21916,-7.67725,-0.144039,0.493043,-9.62536,6.08666,-1.72614,50,5.60005,5.47759,-111.93836,-2.35307,-11.87428,25.42339,-24.66526,0f316f1c-a004-4f28-b6ae-aee60aed6cff,NA,NA,NA,NA,-30.070847,1000092865,"Decandido, Riley",4645.319234,NA,63.38977,Left,23.729177,90.28832,13.61771,-62.83324,140.74252,140.74252,1.964227,-36.324684,2.64841,2.09006,-0.40914,NA,NA,NA,NA,NA,1,2,LIB_FLA,1,Top,0,0,1,Changeup,InPlay,Undefined,LineDrive,Single,0,0,NA,NOR_WOL,LIB_FLA,DoakField,D1,ACC,20250218-DoakField-1,6233a7f0-ee33-11ef-a28c-f5e7f4ec63a0,76.4486,18.75435,NA,8.02117,NA,NA,NA,01560836-2ebf-4528-9a65-b190de7a6559,2025-02-18,20:03:10,2025-02-18T20:03:10Z,2025-02-18T20:03:10Z,LineDrive,v3,471387,471336,NA,"Sosa, Alex",806227,Right,NOR_WOL,53.97537,-112.83763,12.7117,5.66785,-1.48061,-12.33263,-1.92732,5.89761,-5.93714,86.231944,2.64839,73.65734,-11.95121,2.37448,-0.52922,0.08072,0.01076,-0.01304,0.00248,2.09006,37.41331,-22.69213,2.2076,-0.43047,0.06199,0.00282,-0.00437,7.6e-4,-0.40916,-42.64512,-1.27856,1.31386,-0.49257,0.15465,-0.02181,-0.0046,0.00163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-02-18,15:03:50,"Willadsen, Matt",1000036922,Right,NOR_WOL,Undefined,Slider,NA,NA,75.94318,1.949878,-1.684328,2425.930759,83.799951,08:45:00,5.53026,2.09774,5.54439,-51.2531,-1.02051,-26.32919,3.08291,-1.6709,68.48373,-7.466354,-6.370378,0.51011,12.63619,-0.62051,-1.93426,50,5.66592,4.24981,-109.99127,2.09589,15.09721,24.00543,-32.91542,d527ba43-39b9-48f4-8854-d3044b6fceda,NA,NA,NA,NA,NA,1000266900,"Marsh, Tanner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,LIB_FLA,1,Top,0,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,LIB_FLA,DoakField,D1,ACC,20250218-DoakField-1,79b2abb0-ee33-11ef-a28c-f5e7f4ec63a0,73.89075,NA,NA,7.45946,NA,NA,NA,01560836-2ebf-4528-9a65-b190de7a6559,2025-02-18,20:03:50,2025-02-18T20:03:50Z,2025-02-18T20:03:50Z,NA,v3,471387,471336,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.95439,-111.0673,12.00271,5.5389099999999996,3.57129,-16.45771,-2.10959,3.57309,7.5486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-18,15:04:06,"Willadsen, Matt",1000036922,Right,NOR_WOL,Undefined,Sinker,NA,NA,84.52099,-0.470663,-3.611106,2095.799993,249.00287,02:15:00,5.55058,2.04704,6.21093,-30.44155,8.5878,18.87462,2.57853,0.28275,76.71337,-6.1787,-0.208283,0.449642,-10.91863,4.9765,-1.7853,50,5.50003,7.01472,-122.57759,-1.93135,-16.45504,26.37119,-24.67417,d391cf97-7beb-4794-9378-cce98f83cd6c,NA,NA,NA,NA,28.079181,1000266900,"Marsh, Tanner",NA,NA,83.32278,Right,66.153746,NA,NA,NA,110.57781,53.80093,5.896794,37.859131,2.01957,2.71054,-0.63767,NA,NA,NA,NA,NA,2,2,LIB_FLA,1,Top,0,1,0,Changeup,InPlay,Undefined,FlyBall,Out,1,0,NA,NOR_WOL,LIB_FLA,DoakField,D1,ACC,20250218-DoakField-1,839aae70-ee33-11ef-a28c-f5e7f4ec63a0,83.82764,145.0122,NA,7.80762,NA,NA,NA,01560836-2ebf-4528-9a65-b190de7a6559,2025-02-18,20:04:06,2025-02-18T20:04:06Z,2025-02-18T20:04:06Z,Popup,v3,471387,471336,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.28871,-123.49681,13.1856,5.55236,-1.07128,-12.33708,-2.03981,7.58829,-8.22752,NA,2.01148,43.70701,-18.99334,6.73749,-1.81481,0.37605,-0.05236,0.00408,-1.3e-4,2.68717,112.18963,-28.96815,5.03493,-1.90967,0.62169,-0.12606,0.01337,-5.7e-4,-0.63748,23.24058,-6.46394,1.81455,-0.31417,0.02081,0.00378,-8.9e-4,5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
5,2025-02-18,15:04:59,"Willadsen, Matt",1000036922,Right,NOR_WOL,Undefined,Slider,NA,NA,72.51097,3.416477,-0.254828,2299.019752,76.148443,08:30:00,5.44299,2.07901,5.35633,-59.3294,-3.66508,-23.42899,3.70679,-0.11239,65.0238,-7.463518,-4.414407,0.536982,11.49713,-2.31083,-2.03934,50,5.70913,1.36928,-104.87339,4.35713,12.47574,21.97834,-34.68158,f6b9427b-048a-4d1b-bd3d-f73e68fb535b,NA,NA,NA,NA,NA,701641,"Sorenson, Jaxon",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,LIB_FLA,1,Top,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,LIB_FLA,DoakField,D1,ACC,20250218-DoakField-1,a35675f0-ee33-11ef-a28c-f5e7f4ec63a0,70.19309,NA,NA,7.48717,NA,NA,NA,01560836-2ebf-4528-9a65-b190de7a6559,2025-02-18,20:04:59,2025-02-18T20:04:59Z,2025-02-18T20:04:59Z,NA,v3,471387,471336,NA,"Sosa, Alex",806227,Right,NOR_WOL,55.14137,-105.94539,10.98917,5.45535,6.04873,-17.34079,-2.09129,0.76078,6.23787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-18,15:05:18,"Willadsen, Matt",1000036922,Right,NOR_WOL,Undefined,Sinker,NA,NA,86.95045,0.103535,-2.11168,2132.110669,256.160071,02:30:00,5.67998,2.01225,6.41493,-30.4238,6.02666,19.52159,3.23992,1.69678,79.05206,-5.611305,1.42729,0.434533,-10.74406,3.50484,-1.8692,50,5.67385,3.88573,-126.31159,-0.70996,-17.22001,27.63506,-26.5567,7f899f6a-5733-4f20-a0ac-ace222a907d7,NA,NA,NA,NA,NA,701641,"Sorenson, Jaxon",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,LIB_FLA,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,LIB_FLA,DoakField,D1,ACC,20250218-DoakField-1,ae85c5c0-ee33-11ef-a28c-f5e7f4ec63a0,86.74242,NA,NA,7.89839,NA,NA,NA,01560836-2ebf-4528-9a65-b190de7a6559,2025-02-18,20:05:18,2025-02-18T20:05:18Z,2025-02-18T20:05:18Z,NA,v3,471387,471336,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.08361,-127.20188,13.81753,5.68294,0.14559,-13.27835,-2.00332,4.44049,-8.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-18,15:05:38,"Willadsen, Matt",1000036922,Right,NOR_WOL,Undefined,Sinker,NA,NA,86.21155,-0.284883,-3.60115,2074.42766,243.227199,02:00:00,5.62305,1.98223,6.37009,-27.38454,9.55406,16.63477,3.07836,0.05053,78.8863,-5.430211,-0.594355,0.437433,-9.70906,5.40429,-1.72945,50,5.58962,7.2511,-125.1704,-1.43768,-15.40908,25.17942,-23.59701,a75fa8a4-2d7e-48ab-8ba2-03b0274e60ea,NA,NA,NA,NA,11.797276,701641,"Sorenson, Jaxon",913.491235,NA,106.43639,Left,17.325925,107.00917,29.76232,25.47328,327.18725,324.58158,3.049472,16.257564,1.33256,3.19072,-0.03307,NA,NA,NA,NA,NA,3,3,LIB_FLA,1,Top,1,1,1,Changeup,InPlay,Undefined,LineDrive,Double,0,1,NA,NOR_WOL,LIB_FLA,DoakField,D1,ACC,20250218-DoakField-1,ba6b9450-ee33-11ef-a28c-f5e7f4ec63a0,86.16734,35.52485,NA,7.32524,NA,NA,NA,01560836-2ebf-4528-9a65-b190de7a6559,2025-02-18,20:05:38,2025-02-18T20:05:38Z,2025-02-18T20:05:38Z,LineDrive,v3,471387,471336,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.13044,-125.99855,12.58971,5.62414,-0.66158,-11.7985,-1.97627,7.7579,-7.70454,227.901314,1.33283,145.86506,-24.88086,5.833,-1.19459,0.21419,-0.0344,0.00419,-2.5e-4,3.19043,46.50045,-18.00806,1.1236,-0.21704,0.06895,-0.01863,0.00318,-2.2e-4,-0.03334,30.4782,1.47525,-1.10028,0.28594,-0.03757,4.9e-4,5.2e-4,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
8,2025-02-18,15:06:29,"Willadsen, Matt",1000036922,Right,NOR_WOL,Undefined,Slider,NA,NA,76.61164,1.546305,-0.706348,2334.60288,85.326202,08:45:00,5.46126,2.1771,5.74783,-48.12967,-0.18965,-20.51281,2.89053,-0.18994,70.31389,-7.292486,-4.377831,0.498334,10.20339,-0.05547,-2.10598,50,5.56056,2.13772,-111.28299,1.48465,12.75122,20.60864,-32.24339,58c9d5fa-2e02-4b5d-a377-acf3425fd0eb,NA,NA,NA,NA,NA,809775,"Barone, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,LIB_FLA,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,LIB_FLA,DoakField,D1,ACC,20250218-DoakField-1,d8739150-ee33-11ef-a28c-f5e7f4ec63a0,75.63691,NA,NA,6.29775,NA,NA,NA,01560836-2ebf-4528-9a65-b190de7a6559,2025-02-18,20:06:29,2025-02-18T20:06:29Z,2025-02-18T20:06:29Z,NA,v3,471387,471336,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.7529,-112.15973,10.30432,5.46823,2.85636,-16.1217,-2.18538,1.59525,6.37561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-18,15:06:45,"Willadsen, Matt",1000036922,Right,NOR_WOL,Undefined,ChangeUp,NA,NA,75.07442,-0.757199,-1.621723,1597.483337,238.200205,02:00:00,5.81184,1.84386,6.6804500000000004,-39.28912,8.58134,11.50957,1.8448,1.31917,69.37367,-8.112942,0.47748,0.497972,-6.50595,5.19327,-1.73959,50,5.74572,2.72862,-109.21431,-2.43394,-7.88404,18.63701,-25.88074,eccd726e-1f42-446c-a97e-6bb121bf2c7e,NA,NA,NA,NA,NA,809775,"Barone, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,LIB_FLA,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,LIB_FLA,DoakField,D1,ACC,20250218-DoakField-1,e25d41c0-ee33-11ef-a28c-f5e7f4ec63a0,75.69184,NA,NA,5.70075,NA,NA,NA,01560836-2ebf-4528-9a65-b190de7a6559,2025-02-18,20:06:45,2025-02-18T20:06:45Z,2025-02-18T20:06:45Z,NA,v3,471387,471336,NA,"Sosa, Alex",806227,Right,NOR_WOL,53.81896,-109.86407,9.3185,5.81484,-1.53164,-12.94037,-1.83951,3.00349,-3.94202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-18,15:07:03,"Willadsen, Matt",1000036922,Right,NOR_WOL,Undefined,ChangeUp,NA,NA,75.50257,0.49881,-3.329204,1861.489608,245.183955,02:15:00,5.72588,1.75868,6.45202,-41.04341,7.00678,11.87371,2.76464,-0.31386,69.26741,-7.171515,-1.178707,0.498906,-7.10032,4.01807,-1.52754,50,5.74322,5.97677,-109.6177,-0.14356,-8.63659,19.43357,-27.28663,7eb28151-4f22-49c3-a6e5-ce1fc27c80b8,NA,NA,NA,NA,NA,809775,"Barone, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,LIB_FLA,1,Top,1,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,LIB_FLA,DoakField,D1,ACC,20250218-DoakField-1,ecf4be60-ee33-11ef-a28c-f5e7f4ec63a0,75.55013,NA,NA,6.23515,NA,NA,NA,01560836-2ebf-4528-9a65-b190de7a6559,2025-02-18,20:07:03,2025-02-18T20:07:03Z,2025-02-18T20:07:03Z,NA,v3,471387,471336,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.04633,-110.33272,9.71678,5.73003,0.8604,-13.64332,-1.75329,6.29454,-4.3183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
