PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-29,16:04:50,"Bayles, Max",814742,Right,SAN_BRO,Undefined,Fastball,NA,NA,91.79624,-3.002354,0.299924,2402.407749,189.526993,12:15:00,6.63424,0.53158,7.01681,-10.48087,21.68088,3.44599,3.02955,1.09134,82.98575,-5.111698,0.931667,0.40817,-1.72532,12.80682,-0.55062,50,6.44645,-0.83095,-133.26465,-7.13324,-3.06222,32.12634,-9.44366,0c02553e-915b-480a-9223-aaeab0a621ce,NA,NA,NA,NA,NA,1000091515,"Potestio, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CSD_TRI,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_BRO,CSD_TRI,StephenSchottBBS,D1,WCC,20250329-StephenSchottBBS-1,12eca2e0-0cd9-11f0-b5a7-afd2d65adf1a,92.34489,NA,NA,8.81049,NA,NA,NA,5b64b994-cf7a-4861-999c-a98620515430,2025-03-29,20:04:50,2025-03-29T20:04:50Z,2025-03-29T20:04:50Z,NA,v3,471436,NA,NA,"Luetzow, Jonny",1000228292,Right,SAN_BRO,53.47959,-134.10086,16.06317,6.62891,-6.88744,-4.72183,-0.53003,-0.75124,-1.53111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-29,16:05:01,"Bayles, Max",814742,Right,SAN_BRO,Undefined,Fastball,NA,NA,91.43009,-3.415974,-1.04263,2363.37329,193.67627,12:30:00,6.56641,0.71409,6.58304,-13.21985,19.63761,4.50276,2.32999,0.13371,83.07363,-5.994812,-0.223869,0.412561,-2.68516,11.69902,-0.64441,50,6.32622,2.23716,-132.65158,-8.21754,-4.74349,30.64442,-11.50699,6249f465-cc42-497f-924c-130ed9fa9454,NA,NA,NA,NA,-15.015388,1000091515,"Potestio, Anthony",NA,NA,82.83378,Left,57.210684,97.02324,126.75381,-51.83111,207.88968,90.5784,5.65293,-32.7374,0.88532,2.73976,-0.5752,NA,NA,NA,NA,NA,1,2,CSD_TRI,1,Top,0,1,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,SAN_BRO,CSD_TRI,StephenSchottBBS,D1,WCC,20250329-StephenSchottBBS-1,19177690-0cd9-11f0-b5a7-afd2d65adf1a,91.36206,127.44531,NA,8.35646,NA,NA,NA,5b64b994-cf7a-4861-999c-a98620515430,2025-03-29,20:05:01,2025-03-29T20:05:01Z,2025-03-29T20:05:01Z,FlyBall,v3,471436,NA,NA,"Luetzow, Jonny",1000228292,Right,SAN_BRO,53.91591,-133.55315,15.32221,6.563,-7.879,-5.75349,-0.71227,2.37671,-2.37175,154.830875,0.88597,63.491,-17.5602,4.25664,-0.23164,-0.24243,0.08365,-0.01111,5.4e-4,2.72373,102.40093,-26.47777,3.81043,-1.15858,0.28072,-0.0374,0.00192,0,-0.57146,-17.13539,-3.86011,1.16844,0.19126,-0.23424,0.06836,-0.00881,4.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
3,2025-03-29,16:05:35,"Bayles, Max",814742,Right,SAN_BRO,Undefined,Slider,NA,NA,81.05598,1.051406,0.446355,2761.747723,32.152251,07:00:00,6.56048,1.1193,5.98274,-50.66286,-8.09315,-5.95563,3.31328,1.03675,74.1291,-8.262851,-0.626565,0.469593,3.18004,-4.00646,-1.15136,50,6.61594,-0.68814,-117.77141,0.47875,4.43372,23.89093,-37.76004,d7806757-86bf-433d-8740-1e271dfa2648,NA,NA,NA,NA,NA,814761,"Camacho, Gabe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CSD_TRI,1,Top,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_BRO,CSD_TRI,StephenSchottBBS,D1,WCC,20250329-StephenSchottBBS-1,2d5b9aa0-0cd9-11f0-b5a7-afd2d65adf1a,80.26617,NA,NA,6.92688,NA,NA,NA,5b64b994-cf7a-4861-999c-a98620515430,2025-03-29,20:05:35,2025-03-29T20:05:35Z,2025-03-29T20:05:35Z,NA,v3,471436,NA,NA,"Luetzow, Jonny",1000228292,Right,SAN_BRO,54.51861,-118.68451,11.94547,6.57006,1.92192,-18.88002,-1.12182,-0.85759,2.21686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-29,16:05:46,"Bayles, Max",814742,Right,SAN_BRO,Undefined,Slider,NA,NA,82.15053,-0.131183,-0.003778,2800.782676,46.361669,07:30:00,6.5001,0.91786,5.88517,-48.31239,-6.81465,-8.52556,2.35225,0.20389,75.45869,-8.97724,-1.538146,0.463643,4.36307,-3.04295,-0.91266,50,6.46179,0.33972,-119.39347,-1.90972,6.26539,24.09297,-36.54376,184c2d7d-54b1-4025-a824-d53d20acbaf0,NA,NA,NA,NA,NA,814761,"Camacho, Gabe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CSD_TRI,1,Top,1,1,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_BRO,CSD_TRI,StephenSchottBBS,D1,WCC,20250329-StephenSchottBBS-1,3429da40-0cd9-11f0-b5a7-afd2d65adf1a,81.29627,NA,NA,6.69184,NA,NA,NA,5b64b994-cf7a-4861-999c-a98620515430,2025-03-29,20:05:46,2025-03-29T20:05:46Z,2025-03-29T20:05:46Z,NA,v3,471436,NA,NA,"Luetzow, Jonny",1000228292,Right,SAN_BRO,54.61665,-120.32147,12.04649,6.50824,-0.50214,-18.27188,-0.9211,0.09839,3.1327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-29,16:05:57,"Bayles, Max",814742,Right,SAN_BRO,Undefined,Slider,NA,NA,81.90741,-0.496848,-1.076986,2931.155823,32.755209,07:00:00,6.37869,1.28759,5.97443,-49.89629,-8.26957,-6.16422,1.75997,-0.22465,75.36976,-9.626282,-2.188435,0.464363,2.88213,-3.81634,-1.19883,50,6.3113,2.46734,-119.05295,-2.67511,4.11148,24.14625,-37.61823,eac9d831-8049-42bb-89fe-5ca7af6ddde8,NA,NA,NA,NA,NA,814761,"Camacho, Gabe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,CSD_TRI,1,Top,1,1,1,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_BRO,CSD_TRI,StephenSchottBBS,D1,WCC,20250329-StephenSchottBBS-1,3af4e590-0cd9-11f0-b5a7-afd2d65adf1a,81.17023,NA,NA,6.53765,NA,NA,NA,5b64b994-cf7a-4861-999c-a98620515430,2025-03-29,20:05:57,2025-03-29T20:05:57Z,2025-03-29T20:05:57Z,NA,v3,471436,NA,NA,"Luetzow, Jonny",1000228292,Right,SAN_BRO,54.52875,-119.96795,12.07313,6.38566,-1.2496,-18.80912,-1.28938,2.31154,2.05574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-29,16:06:15,"Bayles, Max",814742,Right,SAN_BRO,Undefined,Fastball,NA,NA,91.82224,-2.892468,-0.762611,2374.70773,196.315585,12:30:00,6.68854,0.60509,6.70075,-13.17906,19.29863,5.3154,2.94298,0.35068,83.1895,-5.476575,0.206167,0.41017,-3.06323,11.45784,-0.55637,50,6.49069,1.57095,-133.30874,-7.0282,-5.44624,31.86679,-11.80281,df6f39b7-950b-4acf-8892-4f6fdcef527d,NA,NA,NA,NA,-41.543836,814761,"Camacho, Gabe",4638.008912,NA,85.20019,Left,69.047886,33.85671,117.78462,-104.65994,147.79821,58.41486,5.651494,-73.915382,1.05743,2.74721,-0.30128,NA,NA,NA,NA,NA,2,4,CSD_TRI,1,Top,1,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_BRO,CSD_TRI,StephenSchottBBS,D1,WCC,20250329-StephenSchottBBS-1,452da060-0cd9-11f0-b5a7-afd2d65adf1a,91.89466,140.2915,NA,8.63275,NA,NA,NA,5b64b994-cf7a-4861-999c-a98620515430,2025-03-29,20:06:15,2025-03-29T20:06:15Z,2025-03-29T20:06:15Z,Popup,v3,471436,NA,NA,"Luetzow, Jonny",1000228292,Right,SAN_BRO,53.79886,-134.21376,15.9334,6.68553,-6.693,-5.9014,-0.60319,1.72563,-2.72312,NA,1.04785,33.54011,-17.80976,5.95458,-1.08336,-0.02237,0.05642,-0.01012,5.8e-4,2.756,116.48291,-31.09651,2.53778,0.74422,-0.54441,0.13802,-0.01665,7.9e-4,-0.32398,-29.24996,-3.28721,3.65152,-1.81064,0.53419,-0.08749,0.00716,-2.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
7,2025-03-29,16:06:39,"Bayles, Max",814742,Right,SAN_BRO,Undefined,Slider,NA,NA,83.78474,-2.67989,-1.123871,2853.789077,53.695181,07:45:00,6.59425,0.75107,5.86043,-43.52176,-3.85063,-6.79103,0.47539,-0.85911,77.98885,-10.577278,-2.346586,0.453324,3.22626,-1.01067,-0.65576,50,6.35077,2.64453,-121.72708,-7.16735,4.86148,22.9403,-33.69695,c550514f-77d6-4cda-bab0-d477ca82d1f1,NA,NA,NA,NA,NA,814761,"Camacho, Gabe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,CSD_TRI,1,Top,1,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SAN_BRO,CSD_TRI,StephenSchottBBS,D1,WCC,20250329-StephenSchottBBS-1,5401b540-0cd9-11f0-b5a7-afd2d65adf1a,83.14682,NA,NA,5.79589,NA,NA,NA,5b64b994-cf7a-4861-999c-a98620515430,2025-03-29,20:06:39,2025-03-29T20:06:39Z,2025-03-29T20:06:39Z,NA,v3,471436,NA,NA,"Luetzow, Jonny",1000228292,Right,SAN_BRO,54.64319,-122.599,11.47015,6.59885,-5.88659,-16.84847,-0.75276,2.45975,2.43074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-29,16:07:05,"Bayles, Max",814742,Right,SAN_BRO,Undefined,Slider,NA,NA,84.23316,-2.783157,-1.476979,2844.472773,46.782522,07:30:00,6.57105,0.62854,5.90518,-45.33762,-6.28233,-7.81788,0.2065,-1.39429,78.80131,-10.987616,-2.886056,0.449792,3.68843,-2.29197,-0.50521,50,6.32069,3.44992,-122.4171,-7.48938,5.64207,22.34892,-35.68001,948e4f9c-feef-4c6c-9817-d9dded9165e4,NA,NA,NA,NA,NA,10130838,"Crossland, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CSD_TRI,1,Top,2,0,0,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,SAN_BRO,CSD_TRI,StephenSchottBBS,D1,WCC,20250329-StephenSchottBBS-1,637cb880-0cd9-11f0-b5a7-afd2d65adf1a,83.79975,NA,NA,5.43186,NA,NA,NA,5b64b994-cf7a-4861-999c-a98620515430,2025-03-29,20:07:05,2025-03-29T20:07:05Z,2025-03-29T20:07:05Z,NA,v3,471436,NA,NA,"Luetzow, Jonny",1000228292,Right,SAN_BRO,54.59928,-123.2539,11.17446,6.5761,-6.15343,-17.84,-0.63042,3.23866,2.82104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-29,16:07:16,"Bayles, Max",814742,Right,SAN_BRO,Undefined,Fastball,NA,NA,92.4001,-4.348382,-1.503935,2447.810504,178.678759,12:00:00,6.62989,0.62648,6.94894,-16.12607,15.15662,-0.3285,1.31982,-0.76987,85.50764,-7.418502,-1.564093,0.402554,-0.20547,9.49843,-0.53294,50,6.35323,3.53445,-134.17102,-10.6104,-0.37771,26.72574,-14.71286,589cd95e-908c-4f77-a237-aab36d8ff4a4,NA,NA,NA,NA,NA,10130838,"Crossland, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,CSD_TRI,1,Top,2,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_BRO,CSD_TRI,StephenSchottBBS,D1,WCC,20250329-StephenSchottBBS-1,69987100-0cd9-11f0-b5a7-afd2d65adf1a,93.63336,NA,NA,6.89246,NA,NA,NA,5b64b994-cf7a-4861-999c-a98620515430,2025-03-29,20:07:16,2025-03-29T20:07:16Z,2025-03-29T20:07:16Z,NA,v3,471436,NA,NA,"Luetzow, Jonny",1000228292,Right,SAN_BRO,53.55258,-134.87681,13.36287,6.6283,-10.22185,-7.35643,-0.62641,3.54443,-0.18886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-29,16:07:27,"Bayles, Max",814742,Right,SAN_BRO,Undefined,Fastball,NA,NA,92.04736,-4.09206,-1.633703,2454.384443,182.386398,12:00:00,6.58969,0.64834,6.53482,-14.11127,17.87178,0.70598,1.65226,-0.79179,85.15326,-6.782978,-1.505493,0.407035,-0.77823,10.7115,-0.53531,50,6.29892,3.78357,-133.61897,-9.92675,-1.42135,26.03022,-12.61038,08454fb4-2bdf-4dec-b5af-01edd08384bc,NA,NA,NA,NA,NA,10130838,"Crossland, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,CSD_TRI,1,Top,2,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_BRO,CSD_TRI,StephenSchottBBS,D1,WCC,20250329-StephenSchottBBS-1,70816490-0cd9-11f0-b5a7-afd2d65adf1a,92.60254,NA,NA,6.89411,NA,NA,NA,5b64b994-cf7a-4861-999c-a98620515430,2025-03-29,20:07:27,2025-03-29T20:07:27Z,2025-03-29T20:07:27Z,NA,v3,471436,NA,NA,"Luetzow, Jonny",1000228292,Right,SAN_BRO,53.96623,-134.38941,13.01511,6.58721,-9.55351,-6.30519,-0.64792,3.82564,-0.71067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
